/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月15日 17時52分 ～ 2024年11月16日 04時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、お部屋は用意できたよ。   (2024/11/15 17:52:38)
澪> 布面積も少ないので糸もすくなくて済みますからね（正座をしながらあやとりをするように蜘蛛の糸で完成品パンツを作るとたたむだけたたんで）   (2024/11/15 18:06:11)

エロガキ♂19b ◆> 澪ちゃんはエッチなものを作るのが得意っと(メモメモ)   (2024/11/15 18:07:38)

澪> 料理も得意ですよっ。オリハルコンのミネストローネ……は止められたんでしたっけ。えっととにかく得意ですっ   (2024/11/15 18:08:29)

エロガキ♂19b ◆> 普通に作ろうね...普通の定義は人によって違うけど～、少なくとも鉱石は使わないよ！   (2024/11/15 18:09:16)

澪> 私にとっておいしいものを入れるとほかの人にとっては毒になるみたいで……入れるものが毎回困ります   (2024/11/15 18:10:09)

エロガキ♂19b ◆> 何が食べれるかを確認してから作るのとかはどう？   (2024/11/15 18:11:11)

澪> もちろん、今はそうしていますよ？　私が作ったものを部下にどくみ……もとい味見をしてもらって人間でもおいしく食べられるようにしていますので   (2024/11/15 18:12:15)

エロガキ♂19b ◆> そっかぁ...(部下の人には可愛そうだけど犠牲になって貰おう...)、、食関係は改善してるようで良かった良かった   (2024/11/15 18:14:22)

人造人間21号> と、すみません、ちょっと通販の注文をしておりました（ぺこりっ   (2024/11/15 18:15:31)

澪> おかえりなさいませ   (2024/11/15 18:15:49)

エロガキ♂19b ◆> おかえりなさい～   (2024/11/15 18:16:01)

澪> えぇ、なので料理も得意なんですよ   (2024/11/15 18:16:06)

エロガキ♂19b ◆> いつか食べてみたいものだねぇ～...多分その機会がくるのは、希かもしれないけど！   (2024/11/15 18:18:09)

人造人間21号> とりあえず、お料理の話でしょうかね   (2024/11/15 18:18:31)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/11/15 18:18:35)

澪> お料理の話とかですかね   (2024/11/15 18:18:44)

エロガキ♂19b ◆> おっ帰り～   (2024/11/15 18:18:48)

澪> あ、こんばんは   (2024/11/15 18:18:55)

エロガキ♂18D ◆> すいません、改めてよろしくお願い致します。こんばんはです。   (2024/11/15 18:19:11)

エロガキ♂19b ◆> お料理の話と胡桃ちゃんにはかせる下着の話を少々～   (2024/11/15 18:19:14)

エロガキ♂18D ◆> なるほどです……料理の話は興味がありますね……一体どなたが料理を……？   (2024/11/15 18:19:49)

澪> 正確には私が人間の食べられる料理を練習中という話ですね   (2024/11/15 18:20:11)

人造人間21号> はぁ、胡桃さんに、前張りかバンドエイドなど如何でしょうか？   (2024/11/15 18:20:18)

エロガキ♂19b ◆> バンドエイドはありだね...   (2024/11/15 18:20:46)

エロガキ♂19b ◆> ついでに乳首にも貼ろう...これで完璧だ！！   (2024/11/15 18:22:05)

澪> バンドエイド……なるほど。そんなものが？   (2024/11/15 18:22:08)

エロガキ♂11T> バンドエイドもやらしい…   (2024/11/15 18:22:09)

エロガキ♂18D ◆> なるほどです……人の食べられる料理、ですか…取り敢えずパスタ関係は普通に失敗がほとんど無い、という印象でしょうか…後はスープ……汁物とか……   (2024/11/15 18:22:12)

人造人間21号> あぁ、でも履いていませんね。困りました   (2024/11/15 18:22:27)

澪> あら、ノーパン族だったのですか   (2024/11/15 18:22:47)

エロガキ♂18D ◆> バンドエイド…本来傷を外気から護るための物ですけど…一部はそう言う嗜好がありますね…なんなら、御札とかを張り付けるのも見たような()   (2024/11/15 18:23:07)

澪> 私はたいていのものが食べられてしまうので、人間が食べられる食べられないを見極めるところから始めないといけないというのが……   (2024/11/15 18:23:12)

エロガキ♂19b ◆> そこで、澪ちゃんお手製のドスケベ下着の出番というわけですね？   (2024/11/15 18:23:17)

エロガキ♂18D ◆> なるほどです。大抵のものが食べられるのですね…そう考えると人間は毒とか嗜好があるから中々ハードな気がしますね…   (2024/11/15 18:24:09)

澪> ふむ……私だと小さいものだと乳輪が隠れ切らない可能性がありますねバンドエイド……   (2024/11/15 18:24:17)

エロガキ♂19b ◆> 隠しきれないのがエッチでとてもいいと思います！！   (2024/11/15 18:24:46)

澪> そうなんです。人間は歯が弱いと聞いたのでアダマンタイトを粉々にして汁ものにしたら全力で止められました！おしいのに……   (2024/11/15 18:25:05)

澪> あ、丸いのもあるんですね。これなら乳首に丁度よさそうです！少々小さいですが……針もついて？すぽーるばん？？亜種みたいなものでしょうか？   (2024/11/15 18:26:03)

エロガキ♂18D ◆> やるにしても粉々……ミクロレベルまで粉砕するのも手ですが……そもそもアダマン……って何でしたっけ？   (2024/11/15 18:26:11)

エロガキ♂11T> 隠しきれないほうがいいかも…   (2024/11/15 18:26:19)

澪> よくわからないですが、伝説級の金属みたいですよ？　アダマンタイト   (2024/11/15 18:26:52)

澪> ふむ、なるほど、チラリズムというものですね。アニメでみたのでなんとなくわかりますよっ   (2024/11/15 18:27:24)

エロガキ♂11T> 伝説の金属か…それはめっちゃ硬そう…   (2024/11/15 18:27:36)

エロガキ♂18D ◆> なるほどです、人は食物からでしか金属類は接種できないので…困りましたねぇ…   (2024/11/15 18:27:43)

澪> 硬いみたいですよ？？（とりあえず、勝負下着の候補にバンドエイドをいれ）   (2024/11/15 18:28:58)

エロガキ♂18D ◆> やるとするならば……牡蠣とかで亜鉛を摂取とかでしょうか……貝の一種なのですけど…   (2024/11/15 18:30:24)

エロガキ♂11T> まずは澪さんに勝負下着を色々履いてもらって、鑑賞会なんか…どうです？(笑)   (2024/11/15 18:30:57)

澪> ここにいる人たちの意見は非常に参考になりそうなので……お願いしたいぐらいではありますが＜鑑賞会   (2024/11/15 18:31:35)

エロガキ♂18D ◆> 自分達の知識で良ければ……？(参考になるんでしょうか…)   (2024/11/15 18:32:30)

澪> 貝もおいしいですよね。殻をしょりしなきゃいけないので人間相手の料理の時は難しいんですが   (2024/11/15 18:32:41)

エロガキ♂18D ◆> 殻処理するのは大変ではありますが   (2024/11/15 18:33:13)

澪> とっても参考になりますっ！若様はまったく意見をいただけませんので！   (2024/11/15 18:33:29)

エロガキ♂18D ◆> 大変ではありますが、牡蠣は精力増強とかの代名詞みたいなものですし……？   (2024/11/15 18:33:38)

エロガキ♂11T> ではでは、鑑賞会を始めてみます？   (2024/11/15 18:33:49)

澪> 牡蠣……覚えておかなければいけない食材のようですね……   (2024/11/15 18:34:05)

澪> さっそく！　といきたいところですがここは下着とか全裸は大丈夫なんでしょうか？？？   (2024/11/15 18:34:36)

エロガキ♂18D ◆> カキフライとか、色々ありますからね…あ、生でも食べられますけど、それこそお腹壊すので……   (2024/11/15 18:34:41)

エロガキ♂19b ◆> アウトー！！   (2024/11/15 18:34:47)

エロガキ♂18D ◆> アウトでした……よね？多分……   (2024/11/15 18:34:59)

澪> ですよね……残念ながら今は難しそうです   (2024/11/15 18:35:04)

エロガキ♂11T> 多目的に移動したほうが良さそうですよね   (2024/11/15 18:35:05)

澪> するならそうなりますか   (2024/11/15 18:35:45)

エロガキ♂11T> 澪さん次第ですかね   (2024/11/15 18:36:21)

エロガキ♂18D ◆> 是非とも参加したいところではありますが……自分はこれからまた用事なので…これにて一度失礼させて貰おうかと   (2024/11/15 18:36:26)

エロガキ♂18D ◆> 澪さんのお力になれず申し訳ない…   (2024/11/15 18:36:58)

澪> 私もしばらくしたら離れなければいけないので……今すぐは難しいかと残念です   (2024/11/15 18:37:12)

エロガキ♂11T> 21号さんは居ますか？   (2024/11/15 18:37:21)

エロガキ♂18D ◆> そうでしたか…   (2024/11/15 18:37:25)

エロガキ♂11T> そうなんですね…澪さん、残念です   (2024/11/15 18:37:44)

エロガキ♂18D ◆> では、勝手ではございますが、自分はこれにて。お付き合い誠にありがとうございました。   (2024/11/15 18:37:51)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/11/15 18:37:59)

エロガキ♂11T> お疲れさまでした～   (2024/11/15 18:38:00)

澪> お疲れさまでした   (2024/11/15 18:38:01)

エロガキ♂19b ◆> 俺はすぐに多目的はあんまり好きじゃないんだよね～、勝負で下して悔しそうな顔を眺めながら干渉するのが好きなもんでしてねぇ   (2024/11/15 18:38:38)

エロガキ♂19b ◆> お疲れさま～   (2024/11/15 18:38:48)

澪> １９ｂさんはさでぃすとなんですね（いい笑顔で）   (2024/11/15 18:39:16)

エロガキ♂19b ◆> そんなことないよ～、ただ苛めるのが好きなだけ～、って昼も言った気がするぞ！？   (2024/11/15 18:40:03)

エロガキ♂11T> 勝負してからでもいいですよ   (2024/11/15 18:40:13)

澪> 私は勝負してからでもどちらでも好きですよ。勝負下着鑑賞会は勝負の前の方がいろいろ楽しいのか元は思ったりもしますが   (2024/11/15 18:41:12)

エロガキ♂19b ◆> 澪ちゃんは用事があるみたいですし～また今度...ちゃーんと下してから遊んであげますからね～(ケラケラ)   (2024/11/15 18:41:23)

澪> その時はよろしくお願いしますね（ふふふと笑い）   (2024/11/15 18:41:48)

人造人間21号> と、すみません、いろいろ買い付けに合わせて、調べ物に手間取っております。（こほこほっ）   (2024/11/15 18:42:11)

人造人間21号> 一旦私も抜けますね   (2024/11/15 18:42:14)

おしらせ> 人造人間21号さんが退室しました。  (2024/11/15 18:42:21)

澪> お疲れさまでした   (2024/11/15 18:42:23)

エロガキ♂19b ◆> お疲れさま！！   (2024/11/15 18:42:27)

エロガキ♂11T> 自分もおちますね   (2024/11/15 18:43:27)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/15 18:43:30)

澪> お疲れ様です。私もおちましょうか。またご飯の跡に遊びに来ますね   (2024/11/15 18:43:47)

おしらせ> 澪さんが退室しました。  (2024/11/15 18:43:53)

エロガキ♂19b ◆> 雪崩だねぇ...みんなおつかれさまー！！   (2024/11/15 18:43:55)

エロガキ♂19b ◆> さてさて...俺もいきますか～！！   (2024/11/15 18:53:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/15 18:53:54)

おしらせ> 銀狼さんが入室しました♪  (2024/11/15 19:33:33)

おしらせ> 澪さんが入室しました♪  (2024/11/15 19:33:54)

澪> こんばんは、はじめまして   (2024/11/15 19:34:01)

銀狼> こんばんはっ...初めまして...とはいっても私はホログラムだから君に触れることはできないけどね。   (2024/11/15 19:35:03)

澪> おや、そうなんですか……試してみても大丈夫ですか？？   (2024/11/15 19:35:26)

銀狼> 好きにどうぞー...本体の私は部屋のソファに座ってるからね、触ることはできないよ。   (2024/11/15 19:36:08)

澪> ……ていっ（すり抜ける前提で衣服をはぎ取るように手を振るおうと）   (2024/11/15 19:37:18)

銀狼> 無駄だよ...頑張ってもダメ...何てったってそこに私はいないんだから。それに私は指名手配もされてるからね。おいそれと姿は表さないよっ   (2024/11/15 19:38:37)

澪> あら、そうだったんですか……ホログラム……食べてみたかったんですけどね。残念です   (2024/11/15 19:39:03)

銀狼> 残念..ホログラムは食べられないんだ...物体じゃないからね。   (2024/11/15 19:39:50)

澪> 物体ではない……光みたいなものなんですかね……不思議です   (2024/11/15 19:41:44)

銀狼> まぁ、そんな感じ...細かく説明すると大変だから省略させてもらうね。私はここからどこか遠いところからホログラムを通じて君と話しているってわけ   (2024/11/15 19:42:56)

澪> えぇ、私が聞いてもわからないでしょうし……魔法通信をパワーアップさせたものだと思っておきますね（そういいながら正座して）   (2024/11/15 19:44:31)

銀狼> 因みにわたしを捕まえれたら51億信用ポイント貰えるから頑張ってみてね。まぁ...無理だと思うけど   (2024/11/15 19:45:48)

澪> お金……みたいなものですかね。異世界の異世界のお金……私に使い道があれば考えようかしら   (2024/11/15 19:46:37)

銀狼> そう、私のところでのお金だね。でもそれだけのお金が私にかかっているということはそれだけ私が脅威ってこと...現にこうやってホログラムをとばしたりしてるわけだからね   (2024/11/15 19:48:38)

澪> なるほど……確かに私の世界にも賞金首というものがありますからあなたはそれということですね（ホログラムが光っぽい何かだということは理解し……特撮でそういえばそんな単語があったなとさらに思い出し……自分の闇属性の魔法で光をゆがめられたりしないかなと考え始め）
  (2024/11/15 19:50:18)

銀狼> 因みにいま...勝負部屋が面白いことになってるのは気づいてるかな？   (2024/11/15 19:50:19)

澪> あら、そうなんですか？？   (2024/11/15 19:50:30)

澪> なるほど……これは悩みますね……   (2024/11/15 19:51:09)

銀狼> そう。わかりやすく説明してあげると...アナザー部屋と勝負部屋で面白いすれ違いが起きてるんだ。彼は彼女の基準を満たしている、けど20時まで粘るといってしまった以上残らないといけない...面白いでしょ？   (2024/11/15 19:51:53)

澪> 運命的なすれ違い……面白いような悲しいような……私たちはただ見ることしかできませんね   (2024/11/15 19:53:09)

銀狼> 声をかけるのも無粋だからね...いまはこの状況を楽しませてもらおう～   (2024/11/15 19:54:10)

澪> 気が付くのを願っていましょう……でも、ショタの定義は人により難しいと聞いたこともありますね   (2024/11/15 19:54:47)

銀狼> 14歳ならショタにはいるんじゃない？まだ中学生だろうし...でも人によって変わるのは否定できないね   (2024/11/15 19:55:41)

澪> なんでしたっけ……DSでしたっけ、そこまでがショタという人もいるとかいないとか   (2024/11/15 19:56:17)

銀狼> なにも知らない小学生が好きな人もいるらしいからね。私にとってはどうでもいいことだけど。   (2024/11/15 19:57:19)

澪> 難しいお話なんですね……（正座して）   (2024/11/15 19:57:49)

銀狼> この辺の話は戦争が起こるって聞いたことがある...   (2024/11/15 19:59:01)

澪> 戦争が起こるならしかたないですね……私も小さな男の子は好きですが   (2024/11/15 20:00:03)

銀狼> ...初対面であの言い方はないね。とても非常識だよ   (2024/11/15 20:01:04)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/15 20:01:17)

澪> こんばんは   (2024/11/15 20:01:59)

エロガキ♂14C ◆> よいしょ、っと。こんばんはー。   (2024/11/15 20:02:03)

銀狼> こんばんは。てっきりこのままあっちにいくかと思ってたけどこっちに来たみたいだね。   (2024/11/15 20:02:45)

澪> はじめまして……ではないですね？お昼に会いました……っけ？   (2024/11/15 20:03:13)

エロガキ♂14C ◆> ……何だか見られてたっぽい？から一応コメントしておくと、敢えてあっちで待機してるってことは何かしら思うところがあって来なかった、って可能性もあるわけだし。それにほら、僕のプロフを見れば何となくその疑問も解決するかもよ？  
(2024/11/15 20:03:59)

エロガキ♂14C ◆> 澪おねーさんはお昼ぶりだね、うん。お昼会った時は成長した時の姿だったからね！時空の歪み！   (2024/11/15 20:04:38)

澪> ひょっとして、ここですか？（ぽんぽんっと自分の胸をたたいてみて）あ、やっぱりそうですよね。弟かと思いました   (2024/11/15 20:05:16)

銀狼> そういうこと...となると、、少し同情してしまうね。私の胸に飛び込んで見る？すり抜けるけど   (2024/11/15 20:05:48)

エロガキ♂14C ◆> せーかいっ♪年齢もそうだけど、こういう嗜好の擦り合わせっていうのもあるから仕方ない事だと思ってるしねっ。……銀狼おねーさんは、その状態じゃセクハラどころか、おさわりすらできないよね？   (2024/11/15 20:07:22)

銀狼> せいか～い。私の本体は自室のソファでゆっくりくつろいでいるよ。カップ麺を啜りながらね。   (2024/11/15 20:08:34)

澪> せっかくですから相思相愛な状況で楽しみたいですからね……（うなずきつつ）   (2024/11/15 20:08:54)

おしらせ> エロガキ♂14L ◆4j1CscU.Ngさんが入室しました♪  (2024/11/15 20:09:06)

澪> こんばんは、はじめまして   (2024/11/15 20:09:22)

エロガキ♂14C ◆> ホログラムだから何されてもセーフってずるいなあ、っていうか、かなり自堕落感すごい。   (2024/11/15 20:09:59)

エロガキ♂14C ◆> こんばんはー。   (2024/11/15 20:10:01)

エロガキ♂14L ◆> こんばんは〜(元気に部屋の中に入ってきては扉をちゃんと閉めて)   (2024/11/15 20:10:05)

銀狼> こんばんは。   (2024/11/15 20:10:13)

エロガキ♂14C ◆> ……（/が足りないせいで3715cmになってる！！！！）   (2024/11/15 20:10:37)

澪> こう、ハッキング！ホログラム改造！裸に！！みたいなことができる人がそのうち現れるかもしれませんね？（偏った特撮知識）   (2024/11/15 20:11:07)

エロガキ♂14L ◆> (おっと、これで大丈夫かな)   (2024/11/15 20:11:08)

エロガキ♂14C ◆> 澪おねーさんは脱ぐとすごいんです、メソッドでそこはだけるとすごいよね。（胸元じとー。）   (2024/11/15 20:11:21)

銀狼> だから私はここオンリー、対戦部屋には違う人をいかせるよ。ハッキングは私の専門分野、私に勝とうなんて思わないでね。   (2024/11/15 20:11:43)

エロガキ♂14C ◆> なるほどー？違う人……カフカおねーさんとか出てくるのかな？（きょとん）   (2024/11/15 20:12:17)

澪> 着物ですから……これでもつぶれている方なんですよ？脱いだらすごいは当然かもしれません（ちょっと自慢気に胸を張って）   (2024/11/15 20:12:29)

エロガキ♂14C ◆> ……なんか黒いコート着てたにーさんと同じ匂いがする。（14Lくんをじーっと。きっとそのつもり？だよね、きっと。）   (2024/11/15 20:13:20)

銀狼> それは星がつれてくると思うよ。私は....少しシステムをハッキングして....違うところから連れてくるつもり   (2024/11/15 20:13:20)

エロガキ♂14C ◆> 着物だと形崩れないように頑張って潰すとか聞いたことある！（どうせ胸張るならもーすこし……いや、ここだとそれはアウトか。がっくり。）   (2024/11/15 20:14:40)

エロガキ♂14C ◆> 違うところから……期待しとこ！   (2024/11/15 20:14:57)

エロガキ♂14L ◆> ん？もしかして17おにーさんの事かな？(14C君を見つめ返してからくすっと笑みを浮かべて)どうだろうね？知り合いかもしれないし、そうじゃないかもしれないよ〜   (2024/11/15 20:15:19)

澪> えぇ、頑張っているんですよ……？（がっくりしたのをみてふふっと楽しそうに笑い）   (2024/11/15 20:16:03)

銀狼> ヒントをあげよう...君は既にあっている。勝負も最近しているよ...あれもぜーんぶ私がハッキングして起こしたこと。＞14C君   (2024/11/15 20:16:33)

エロガキ♂14C ◆> ふーん？……ま、匂いだけだから仕方ないか。（見分けたのはトリップなんだけどね（メタ））   (2024/11/15 20:16:49)

エロガキ♂14C ◆> ……なんとなーく、察しはついてるけど敢えて答えは口にしないでおこうかなっ>銀狼おねーさん   (2024/11/15 20:17:35)

エロガキ♂14L ◆> まぁ、そのうちわかるよ〜(メタいな…まぁあってるけどさ)＞14C   (2024/11/15 20:17:53)

銀狼> 私の手にかかればいろんな所からいろんな人を連れてこられるから...違うかもよ？...君の答えはあってそうだけど   (2024/11/15 20:18:56)

エロガキ♂14C ◆> まあここでおっぱい大好きなのをアピールしても、ゲーム部屋で勝たなきゃどうしようもないんだけもさ……！（ばんばん）   (2024/11/15 20:19:07)

澪> ルール上、完全に運ですから……いつか勝てますよ   (2024/11/15 20:20:32)

エロガキ♂14C ◆> それ以前にそういうおねーさんが来るかどうかも運なんだけどね！さっきは見事に待機空振りしたし！   (2024/11/15 20:21:06)

澪> 突撃しても良かったんですが……２１時ぐらいまでは安定しなくて見守るしかできなかったんですよね   (2024/11/15 20:21:59)

エロガキ♂14C ◆> とりあえず銀狼おねーさんが今度誰を連れて来ちゃうのかは楽しみにさせてもらおっと！   (2024/11/15 20:22:36)

エロガキ♂14L ◆> 勝負は楽しそうだけどな〜、なんかその後までする勇気が出ないかなっ！   (2024/11/15 20:22:38)

銀狼> 私は勝負はできるけど罰はできないね。物理的にも   (2024/11/15 20:23:02)

エロガキ♂14C ◆> あるあるだよねー、でも澪おねーさんがやる気十分なのは何となく伝わった！   (2024/11/15 20:23:16)

エロガキ♂14C ◆> 罰って言ったって別に酷いことする必要はないと思うんだけどなー？命令なんだから、一緒におしゃべりとかだけでも言い訳だし！   (2024/11/15 20:23:54)

澪> あるあるです。それでも少し早めに終われそうなので少し安心というかタイミングが悪いというか……   (2024/11/15 20:23:58)

エロガキ♂14C ◆> 言い訳→いい訳……予測変換リセットしようかな、最近誤変換多すぎて…   (2024/11/15 20:24:27)

エロガキ♂14L ◆> それもそうか、なら今度僕も行ってみようかな？   (2024/11/15 20:24:54)

銀狼> もう彼のインターバルは過ぎてるからいつでも待機にはいける、、つまりいつ勝負が起こっても可笑しくないね。   (2024/11/15 20:25:06)

澪> あぁ、確かに命令権がもらえると思えば何を命令してもいいんですもんね……相手の趣味と自分の趣味さえ合えば   (2024/11/15 20:25:14)

エロガキ♂14C ◆> （変顔するとかは出来るのでは？と思ったけど、ホログラムだとその辺難しいからやっぱ無理なのかもしれない。）<銀狼おねーさん（ホロ）への罰   (2024/11/15 20:25:42)

エロガキ♂14C ◆> そーいうことっ。……僕たちが手緩い罰ゲームすると、エロガキなのにエロい事しないのかよ？ってツッコミとかありそうだけど、それも気分とかによるしねー？   (2024/11/15 20:26:42)

銀狼> できないことはないけど...私自体に何の影響もないからね。君たちからしてもあまり面白くないんじゃないかい？ちなみに脱がせると本来はエラーがでて落ちるけど、私はそれを突破済み。つまりこのホログラムを私の操作一つで脱がすこともできる  
(2024/11/15 20:27:16)

澪> そうですね。気分にもよりますし、相手にもよりますよね……思いっきり泣かせてみたい相手もいれば甘やかしたい子もいるので   (2024/11/15 20:27:29)

エロガキ♂14L ◆> それなら、少しは気分的には楽になるかな？   (2024/11/15 20:28:18)

エロガキ♂14C ◆> インターバルは過ぎてるんだけど、もー少し一休みしてからにしよっかなって。……ホログラムで脱がれても……脱がれても……！   (2024/11/15 20:28:23)

エロガキ♂14C ◆> 澪おねーさんの甘やかしたい相手はともかく、泣かせたい相手……？   (2024/11/15 20:28:55)

澪> 写真でも興奮できると聞いていましたが……人間っていろいろ難しいんですね。   (2024/11/15 20:29:13)

エロガキ♂14C ◆> （ちなみに気分にもよるとは言ったけど、余程えっちな事に積極的な相手だって判断出来ない限りは、僕は罰ゲームゆるくしたりする）   (2024/11/15 20:29:51)

澪> 泣かせたいというのははねっかりというか……自信満々な子は７回、８回と抜いてもう無理って泣かせたいなって思うだけですよ   (2024/11/15 20:29:52)

銀狼> よし...彼女を連れてこよう(ピコピコ)   (2024/11/15 20:30:32)

エロガキ♂14C ◆> ……すごくえっちだけど、すごくヒュンってする内容だった……！<7回も8回も   (2024/11/15 20:30:35)

おしらせ> 銀狼さんが退室しました。  (2024/11/15 20:30:45)

エロガキ♂14C ◆> 誰とチェンジなんだろ？   (2024/11/15 20:31:07)

澪> 甘やかしたい子は授乳手コキでしたっけ……それをしながらずぅぅっとシコシコ７，８回？？？（自身でやってる子と同じだなと気が付いて）   (2024/11/15 20:31:36)

おしらせ> シンデレラさんが入室しました♪  (2024/11/15 20:31:54)

エロガキ♂14L ◆> 澪おねーさん言ってることが穏やかじゃないよ〜？(ビクビク)   (2024/11/15 20:31:59)

エロガキ♂14C ◆> （まああと僕の言ってるのはあくまでする側の立場の話だから、される側になった時は諦めよう、って思ってる（がっくり））   (2024/11/15 20:32:03)

エロガキ♂14C ◆> 案の定だし！！！   (2024/11/15 20:32:15)

澪> こんばんははじめまして   (2024/11/15 20:32:25)

エロガキ♂14C ◆> 授乳手コキだけで搾られ続ける……すごく興味はある……（ぁ）   (2024/11/15 20:32:49)

シンデレラ> こんばんは...なんだか呼ばれた気がしたから美しい私が来たわよ♡   (2024/11/15 20:32:54)

澪> といっても私はミルクはでないので……なめたり吸ったりするだけですけど   (2024/11/15 20:33:38)

エロガキ♂14C ◆> （お部屋の中のおっぱい偏差値が途端に上がった）   (2024/11/15 20:33:41)

エロガキ♂14L ◆> んー、僕はそろそろ眠いかな……(目コシコシ)   (2024/11/15 20:34:26)

澪> あら、おやすみなさいですか？   (2024/11/15 20:34:49)

エロガキ♂14C ◆> 大体のおねーさん母乳出ないと思うなー？あれって飲むことよりも吸うのが大事だと思ってる<授乳   (2024/11/15 20:34:57)

エロガキ♂14C ◆> 眠いなら無理しちゃダメだよー？   (2024/11/15 20:35:05)

澪> たしかに吸うことが大事だと思いますが、出ると勘違いさせてがっかりさせる可能性もありましたので？   (2024/11/15 20:35:39)

エロガキ♂14L ◆> うん、そうする〜、17おにーさん呼んでくる...あの人暇そうにしてたし...(トテトテ扉から出ていく)   (2024/11/15 20:36:08)

おしらせ> エロガキ♂14L ◆4j1CscU.Ngさんが退室しました。  (2024/11/15 20:36:10)

澪> １４Lさんはおやすみなさい   (2024/11/15 20:36:52)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/11/15 20:37:17)

エロガキ♂14C ◆> その時は……出ないですよ？って言ってあげたほうが期待しなくていいのかも？   (2024/11/15 20:37:24)

エロガキ♂14C ◆> おかえりというべきかこんばんはというべきか。   (2024/11/15 20:37:52)

澪> えぇ、ですのででないですとあらかじめ宣言しておこうかと、あ、こんばんは   (2024/11/15 20:37:54)

エロガキ♂17L ◆> なんか……14に呼ばれたわ、てことでこんばんはっと(扉から入ってきてちゃんと扉閉めて冷気遮断徹底しつつ)   (2024/11/15 20:38:37)

