/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月14日 03時40分 ～ 2024年10月14日 13時04分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> ……そしてどうしよう。4時になるよ？   (2024/10/14 03:40:59)
胡桃 ◆> うーん……正直今日は疲れたかなぁ〜？……寝なよって言われそう。   (2024/10/14 04:04:04)

胡桃 ◆> (そして彼はユニコーン君なんだね)   (2024/10/14 04:04:23)

ベアトリス ◆> お母様から命令されてさえ無ければあんな事にはならないのよ、それとベティを憐れまないでくれるかしら！   (2024/10/14 04:04:29)

エロガキ♂12Ω ◆> 疲れたなら寝ろよ。無理すんなって毎回言ってんだろー？   (2024/10/14 04:04:29)

胡桃 ◆> 毎回言われてたっけ？(てへっ)   (2024/10/14 04:04:57)

エロガキ♂19b ◆> 荒らしの対応とかしてたもんね～、、ほんとどこにでもでるんだからそれこそ、おちびちゃんに消し飛ばして貰いたいなぁ   (2024/10/14 04:05:07)

ベアトリス ◆> お母様に会ってから寝るなら繋げるのよ。それは命令に含まれてるのよ   (2024/10/14 04:05:10)

エロガキ♂12Ω ◆> でもベアト姉ちゃん可愛いから仕方ないよなー。俺も抱っこしていい？   (2024/10/14 04:05:14)

ベアトリス ◆> 気安く触れるなかしら。ベティがさっき抱きつかれたのは命令の範囲だから動けなかっただけなのよ   (2024/10/14 04:06:00)

エロガキ♂12Ω ◆> 皆心配してっし胡桃姉ちゃんのお陰で助かってるよ。だから無理すんなって言ってんのに。   (2024/10/14 04:06:15)

胡桃 ◆> まぁ、あの話はやめとこっか〜。あんなの1モラの価値すらない時間だったんだから(べーっ)   (2024/10/14 04:07:10)

エロガキ♂12Ω ◆> 命令かー。そう言うので無理矢理ってのもなー？ベアト姉ちゃんと仲良くなりたいだけなんだけど、ダメー？(あざとく首傾げじぃー)   (2024/10/14 04:07:20)

胡桃 ◆> つまり私が抱きしめる分には大丈夫……？(お目目きらん…)   (2024/10/14 04:07:38)

エロガキ♂19b ◆> 俺が近付くと消し飛ばされるからな、写真撮って後でペタペタ貼るのに留めとこ   (2024/10/14 04:08:13)

ベアトリス ◆> 、、何も言わないかしら(ぷいっ、)   (2024/10/14 04:08:25)

胡桃 ◆> うーん…そんなに心配されなくたって大丈夫だよ？皆が思う程私休んでないわけじゃないしさ。   (2024/10/14 04:08:25)

エロガキ♂12Ω ◆> きっと二人共そういう事してっからベアト姉ちゃん警戒すんだよ。   (2024/10/14 04:09:04)

エロガキ♂19b ◆> 好奇心や性欲には逆らえないんだよー、たとえ痛い思いをしてもね   (2024/10/14 04:10:05)

ベアトリス ◆> もっと言ってやるのよ、ベティはおもちゃじゃないのよ   (2024/10/14 04:10:06)

エロガキ♂12Ω ◆> 胡桃姉ちゃんが大丈夫なら良いんだけどさ。荒らしとか関わるだけで怠いし、こう言うのは日頃からお礼だのお節介言っとくだけで損はないでしょ。   (2024/10/14 04:10:21)

エロガキ♂19b ◆> おもちゃというか、、ほんと抱き枕には最適な大きさ？っていうのかな...可愛いし、抱きつかれても仕方ないよなぁ～   (2024/10/14 04:11:46)

エロガキ♂12Ω ◆> うむ、ベアト姉ちゃんはちゃんとした淑女だもんなー。甘えん坊なお子様のお強請り、ちょっとだけ叶えてくんない？胡桃姉ちゃんも19兄ちゃんもヤバいのばっかし、避難しにおいでよー。(ソファ腰掛け両腕広げカモ～ン待機)   (2024/10/14
04:11:57)

エロガキ♂19b ◆> ヤバイのはなんだ！ヤバイのとは！！(ブーブー！)   (2024/10/14 04:12:40)

ベアトリス ◆> どれもいい選択になり得ないのよ   (2024/10/14 04:12:42)

ベアトリス ◆> それとそこの娘。眠いのならさっさと寝るかしら   (2024/10/14 04:13:04)

エロガキ♂12Ω ◆> おっと、確かに。俺等が駄弁ってたら胡桃姉ちゃんも寝れないだろうし解散する？   (2024/10/14 04:13:41)

エロガキ♂12Ω ◆> 19兄ちゃんは鏡というのを見てからいってもろて。   (2024/10/14 04:14:03)

胡桃 ◆> 私を理由に解散しなくていいから！！   (2024/10/14 04:14:20)

エロガキ♂19b ◆> なんだよ～、ちょっと女の子とイチャイチャ(意味深)してるだけじゃないかよ～！   (2024/10/14 04:14:31)

胡桃 ◆> そして私より小さい子に早く寝るように言われてる……！？   (2024/10/14 04:14:55)

ベアトリス ◆> おまえはお母様に会うのかしら、会わないのかしら。さっさと選ぶのよ。(服裾ぐい、)   (2024/10/14 04:15:02)

エロガキ♂12Ω ◆> 俺も実際結構眠いし丁度いいタイミングなんだよー。先に寝るぞー？   (2024/10/14 04:15:18)

胡桃 ◆> 12Ω君おやすみ〜！夢にヒルチャール出てくるようにおまじないかけとくね〜！   (2024/10/14 04:15:51)

エロガキ♂19b ◆> とんでもないおまじないだ！？お休み12Ω   (2024/10/14 04:16:16)

エロガキ♂12Ω ◆> あいよー。今度胡桃姉ちゃんのあそこにお札貼っつけてガムテ脱毛の刑するわー。   (2024/10/14 04:16:31)

胡桃 ◆> ベアトリスちゃんが私の服引っ張ってる…。可愛いっ…(じぃ、、)   (2024/10/14 04:16:58)

エロガキ♂19b ◆> それ面白そうだな、、やるときは俺もよんでくれ   (2024/10/14 04:17:09)

胡桃 ◆> 私今とんでもない羞恥にあわされてない！？   (2024/10/14 04:17:45)

エロガキ♂12Ω ◆> 今度向こうで負けたら覚えとけよー。んじゃおやすみー。   (2024/10/14 04:18:17)

ベアトリス ◆> 話が進まないのかしら！この人間頭寝てるのかしら！(顔逸らして服裾握って、)   (2024/10/14 04:18:17)

エロガキ♂12Ω ◆> あ、ベアト姉ちゃんも今度仲良くしてなー。   (2024/10/14 04:18:43)

エロガキ♂12Ω ◆> んじゃ、ばーい。   (2024/10/14 04:19:02)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/14 04:19:05)

エロガキ♂19b ◆> おやすみ～   (2024/10/14 04:19:15)

胡桃 ◆> 12Ω君と勝負する時が来たら私色々と守らないと酷い目に遭わない……？おやすみ〜、いい夢見てねー！   (2024/10/14 04:19:20)

ベアトリス ◆> 断るかしら。ベティはもう来ないかしら！言い逃げしやがったのよ、、   (2024/10/14 04:19:20)

胡桃 ◆> さてと…私もベアトリスちゃんがずっと服引っ張ってくるし。用事があるかもだから少し行ってくるね   (2024/10/14 04:19:52)

胡桃 ◆> 堂主の朝は早いね〜…(時計見ながら、もう4時半……え、4時半！？)   (2024/10/14 04:20:36)

エロガキ♂19b ◆> はいよ～いってらっしゃいな～   (2024/10/14 04:21:07)

ベアトリス ◆> もうそれでいいのよ！お母様に会ってから寝るといいかしら！(引っ張って押し入れに押し込んで)   (2024/10/14 04:21:34)

胡桃 ◆> あぁん……この子強引ーー……19b君も今度遊べたら遊ぼうね〜   (2024/10/14 04:22:12)

エロガキ♂19b ◆> 子供がいなければ、前みたいにたくさんいじめてあげるよ～、二人ともいってらー   (2024/10/14 04:22:56)

ベアトリス ◆> 良いから行くならさっさと行くかしら！(後ろからお尻蹴るのよ、)   (2024/10/14 04:23:17)

胡桃 ◆> いったぁ！？この子酷い！！もー……いってきまーす…(お尻押さえながらむすくれた顔。)   (2024/10/14 04:23:56)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/14 04:24:09)

エロガキ♂19b ◆> 俺も勝負部屋にいってこよー   (2024/10/14 04:24:51)

ベアトリス ◆> お疲れ様かしら人間、ベティはさっさと行くのよ   (2024/10/14 04:24:53)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/14 04:24:53)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/14 04:25:01)

ベアトリス ◆> (押し入れに帰って。開けても普通の押し入れにして)   (2024/10/14 04:25:20)

おしらせ> ベアトリス ◆r8To80Q7JEさんが退室しました。  (2024/10/14 04:25:22)

エロガキ♂19b ◆> おっと、お疲れベアトリスちゃん♡また次はゆっくりお話ししようよねー   (2024/10/14 04:25:24)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/14 04:25:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/14 05:44:56)

エロガキ♂14C ◆> ……いや、不夜城だな。マジで。おはようございます。   (2024/10/14 05:45:21)

エロガキ♂14C ◆> 僕が起きてる理由？知らないよ！   (2024/10/14 05:45:37)

エロガキ♂14C ◆> とりあえず……堂主、昨夜はありがとね。それはさておきマジに寝てね。じゃないと罰ゲームで無理やり添い寝直行させてやるから（違）   (2024/10/14 05:46:36)

エロガキ♂14C ◆> こんな早朝からどうでもいいネタを一つ。版権の方はまあいうまでもなくなんだけど、エロガキ側のお兄さんたちで素でやってるよーって方どれくらいいるんだろ。   (2024/10/14 05:48:22)

エロガキ♂14C ◆> っていうのも僕はまあ、言わずもがな素ではなかったりだから素の自分に一度戻っちゃうと切り替えるのにちょーっと時間がかかったりするんですよね、うん。   (2024/10/14 05:50:00)

エロガキ♂14C ◆> ……まあ、その結果昨日はほぼ素のまま罰ゲーム突入したもんだから内心「うわやっば、早く切り替わってくれよ、もう1人の僕に！！！」ってなってました、ハイ。   (2024/10/14 05:51:34)

エロガキ♂14C ◆> それはもうおねーさんごめんなさーい！って話ですよ、ええ。（トオイメ）   (2024/10/14 05:53:00)

エロガキ♂14C ◆> なので、遊んでる時に僕の様子がおかしかったら「こいつ素に戻りやがったな」と内心で笑ってあげてください。とってもとっても不器用なんですー！   (2024/10/14 05:54:27)

エロガキ♂14C ◆> ちなみにここにいる時は完全な素じゃない事の方が大半だよー。って見ればわかるか。   (2024/10/14 05:56:21)

エロガキ♂14C ◆> ちなみに昨日言われて初めて気付いたけど、素直に甘えてるなんて言いながら煽ったりしてるの色々とやべーやつだった。ﾎﾞｸｿﾝﾅﾆｺﾜｸﾅｲﾖｰ   (2024/10/14 05:58:41)

エロガキ♂14C ◆> では早朝のどうでもいいトークはこれにて。次の僕はちゃんといつもの甘えん坊の煽り屋です（？）それでは皆さま良い連休最終日をー！   (2024/10/14 06:00:42)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/14 06:00:45)

おしらせ> サトノダイヤモンド ◆6bEJgFcMrAさんが入室しました♪  (2024/10/14 10:07:36)

サトノダイヤモンド ◆> （お昼時とは思えない賑わいにびっくりダイヤモンド、秋の章。とても気持ちの良い気候なのでのんびりお昼寝の構え……。）   (2024/10/14 10:08:27)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/14 10:12:34)

エロガキ♂17L ◆> ふぅ……あ、こんにちは(？)   (2024/10/14 10:13:19)

サトノダイヤモンド ◆> こんにちは、今日はとっても賑やかですね。   (2024/10/14 10:14:04)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/14 10:14:26)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/14 10:14:36)

エロガキ♂17L ◆> えぇ、少し疲れましたね、人の多さに……(バタリ)   (2024/10/14 10:14:56)

エロガキ♀15kb> どうも、アタシはメスガキ、どうも   (2024/10/14 10:15:16)

サトノダイヤモンド ◆> ぞ、続々と……ん？（耳ぴこ。いないはずの……慣れ親しんだ匂いが！）   (2024/10/14 10:15:19)

雪花ラミィ> ん゛ーーどっこいせーー。いやあ、エロは人を呼ぶね！（）こんらみいー。なんか本家の方にみこ先輩おらっしゃるんで、お話ししたいんですけど、なんかめちょ負けそうなので割り込むのやめようと思いました。   (2024/10/14 10:15:25)

雪花ラミィ> わっぱ、酒呑み、わっぱ   (2024/10/14 10:15:51)

エロガキ♂17L ◆> 最近ホロの人増えた気がするのは気の所為では無いはず……   (2024/10/14 10:16:18)

エロガキ♀15kb> 賑やかというか悪乗りというか……ア、ドウモさとのだいやもんどサン（ぺこりっ   (2024/10/14 10:16:41)

サトノダイヤモンド ◆> あっ、ええと…お二人もこんにちは。お酌しましょうか？（勝負服の袖からんぱーっと手を出した。）   (2024/10/14 10:16:53)

サトノダイヤモンド ◆> あ、これはどうもご丁寧に…………。（じっ…。）……………。（じぃ～。）……はじめまして。（にこり、ノった。）   (2024/10/14 10:17:54)

エロガキ♂17L ◆> こんにちは、お酌は大丈夫だよ(ペットボトル水取り出しゴクリ(どっから出した←))   (2024/10/14 10:18:27)

エロガキ♀15kb> ひっ……あ、あはは……あはははは……（ちょこんと正座して、え、え～っと、どうしよう）   (2024/10/14 10:18:32)

サトノダイヤモンド ◆> ………合法ってことか。（ぽそり。）   (2024/10/14 10:19:20)

雪花ラミィ> だだだっ、さささっっとととっちゃんのお酌！？！？！？（ド動悸）酒が2億倍ぐらいうまそうだな……。   (2024/10/14 10:19:29)

エロガキ♀15kb> こ、この姿で勝てば、ワンチャンラミィさんのキタサトサンドもできるかなぁ……と、とか？（今日の思惑   (2024/10/14 10:19:49)

雪花ラミィ> そんで、我がソフレ君（あだ名）が散っていった…。11人、よく動かしてくれたと思うけどなー。謝ることないぜ〜って言ったりたい（）   (2024/10/14 10:20:26)

エロガキ♂17L ◆> 合法……？何を言ってるんだ？(聞こえてた人)   (2024/10/14 10:20:39)

サトノダイヤモンド ◆> ふふ、Lさんにはお断りされてしまったので……させてください、お酌。（すすす、とラミィさんのお隣へ。ちなみにキ……kbちゃん。それは、負けてもできるよね…？主導権はこっちだけど…♥）   (2024/10/14 10:22:08)

エロガキ♀15kb> ほ、ほら……そもそもに、き……きのKBさんだと……勝負が三人で不成立だし～（指先ちょんちょんっ）   (2024/10/14 10:23:11)

おしらせ> 月ノ美兎さんが入室しました♪  (2024/10/14 10:25:02)

サトノダイヤモンド ◆> ……ふふ、でも今は勝負の場じゃないからいっか。（獰猛な瞳の色を引っ込めます。しゅーん。）   (2024/10/14 10:25:28)

エロガキ♂17L ◆> ！？(思わぬ来訪者に声が出ない人)   (2024/10/14 10:25:41)

エロガキ♀15kb> あ、委員長さん、どうも～　昨晩は……やっていただいて、どうもでした～   (2024/10/14 10:26:17)

サトノダイヤモンド ◆> また一人お客様ですね、こんにちは。   (2024/10/14 10:26:53)

雪花ラミィ> ラミィの隣に、ダイヤちゃん……嗚呼、お父さん、お母さん、ラミィは今、幸せです──。ええええ委員長〜〜！らみこん〜⭐︎   (2024/10/14 10:27:04)

月ノ美兎> こんにちは〜昨日はお世話になりまして〜♪ あの〜このへんホロのシマって聞いたんですけど（全方位に誤解を招く発言）大丈夫ですかね？わたくしここに居座っても   (2024/10/14 10:27:19)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/14 10:27:54)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/14 10:28:05)

キタサンブラック> （いいや、ややこしいから仮面取ってもどっとこ   (2024/10/14 10:28:22)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/14 10:28:33)

月ノ美兎> いえーい、こんらみぃ〜🌙 いいですね〜酒！ わたくしも想像（暗喩）で楽しませていただきますね〜   (2024/10/14 10:28:36)

エロガキ♂17L ◆> シマって……(誤解を招く発言に苦笑、だが肩は震わせて堪えきれてない人)   (2024/10/14 10:28:37)

サトノダイヤモンド ◆> よっ、キタちゃんの早着替えーっ！（仮面外すだけかな。かも。）   (2024/10/14 10:28:42)

月ノ美兎> 栞葉るり！？   (2024/10/14 10:28:48)

エロガキ♂17L ◆> Vの人増えたな〜(遠い目)   (2024/10/14 10:29:21)

キタサンブラック> 着替えというよりは仮面かな～ってね？（あはは）　あ、るりさんも、昨日はお世話になりました～   (2024/10/14 10:29:24)

栞葉るり> 委員長まずいですよ、ここのケツモチヤゴーです、ヤゴー…(ひそひそ)はーい、インターネットのみんなたちさま、ご機嫌麗しゅう～。にじさんじ所属バーチャルライバーの栞葉るりでーす♡   (2024/10/14 10:29:56)

月ノ美兎> やべえ警察が来たぞ！画面に酒を写すな！（カメラ位置移動）   (2024/10/14 10:30:03)

栞葉るり> デトロ！開けろイト市警だ…！(銃構え)   (2024/10/14 10:30:37)

雪花ラミィ> おう、オンドレコラ。ウチのシマに来るとはええ度胸しとるやないけ。（どこからともなく付けた黒サングラスカチャ）カービィちゃんの早着替え〜〜と、まずーーーい警察ですラミィは未成年にお酒なんて飲ませてません！！！！   (2024/10/14
10:30:56)

サトノダイヤモンド ◆> （男性Vしかあまり見たことのないダイヤは、ここで出会った縁を大事にします、即ち現状はラミィさんとしか縁がないのです。ラミィさんが…私の、推し？………あ、ゴールドシップさんもVかぁ…。）   (2024/10/14 10:31:24)

月ノ美兎> マジで！？ヤゴー自分とこのタレントとおウマさんたちとかのあられもない絡みで抜いたりしてんの！？（ド風評被害）ぱねぇ〜…あの会社マジやべ〜…   (2024/10/14 10:32:09)

栞葉るり> 未成年飲酒はもれなく連行でーす♪(ちゅいん。黒サングラスの耳掛けの金具を撃ち抜き)顔隠さないでくださいねぇ、ホロにじ抗争とかするつもりないんで♪   (2024/10/14 10:32:17)

キタサンブラック> ゴールドシップさん、何気に古参Vにカウントされる存在ですからね。あ男性Vだと、アタシはベルさんと夢追さんが特に好きですね   (2024/10/14 10:32:55)

エロガキ♂17L ◆> 撃ってる、撃ってるから！(るり穣にジト目向けながら)   (2024/10/14 10:33:33)

キタサンブラック> ……（るりさんもるりさんで、ここエロの部屋の関連だから、あの、え、偉い人の名前は、ね？ね？！   (2024/10/14 10:33:45)

栞葉るり> 知ってましたか？こち亀では昔、普通に発砲してたんですよ？市民に(今やったらヤバイ奴)   (2024/10/14 10:34:11)

キタサンブラック> 昭和でできても、平成では無理、令和では後ろに手が回ることがあるそうですよ！？   (2024/10/14 10:34:37)

エロガキ♂17L ◆> 委員長も、そろそろその話題から離れて！？(ツッコミの連続で肩で息をして)   (2024/10/14 10:35:01)

サトノダイヤモンド ◆> そうだね、ずいぶん昔の……最初期の人なのかな？（大先輩の破天荒な活躍を思い出しつつ……。私は剣持さん。最近ではそこから派生でろふまおも…？）   (2024/10/14 10:35:01)

雪花ラミィ> 下がってろ（迫真）…まあ……YA◯OOそういう節ありますからね（良くない悪ノリ）あっ……あっ、あああ…（恐怖でしょわああ。聖水お漏らしかと思ったら酒こぼしてました）   (2024/10/14 10:35:06)

栞葉るり> 発砲した瞬間、書類の作成が義務ですからね。こんな面倒ばかりの世の中じゃポイズン(替え歌)   (2024/10/14 10:35:44)

キタサンブラック> ロリういさんを生み出した顎の方ですね（男性というよりロベルさんと同じネタ枠で見ちゃってますね   (2024/10/14 10:35:53)

エロガキ♂17L ◆> ダメだぁ、収集つかねぇ……(悪ノリの連鎖で諦めた人)   (2024/10/14 10:36:32)

サトノダイヤモンド ◆> でも一番大好きなのはキタちゃんだからね…？（心配しないでって手を握ってずるずる…いつも通り隣を確保します。独占力（中距離）。）   (2024/10/14 10:36:54)

栞葉るり> とは言え、ホロライブの4代目(某桐生ちゃん)も(ホロを)出所したことですし…今は落ち着いてると思いたいんですが(セレナへ向かえとか正面に出てるかもしれないし、出てないかもしれません)   (2024/10/14 10:37:27)

キタサンブラック> へ？……あ、う、うん。ありがと……え？え？（あれ、これそういう好き！？あれ、これアタシどっちな感じのカウント？！）   (2024/10/14 10:37:41)

雪花ラミィ> にじさんじだと、ここじゃあサラパイセンを見かけましたかね。ふわふわのぬいぐるみを抱えた癒し系男子のエッチのテクが上手いとかどうたら言ってた気がします（唯一のイメージ最悪）   (2024/10/14 10:38:09)

月ノ美兎> セレナへ向かえ！（ポケサーを走らせながら）   (2024/10/14 10:38:10)

エロガキ♂17L ◆> ……かなかな？(ラミィの発言から予測)   (2024/10/14 10:38:52)

サトノダイヤモンド ◆> （キタちゃんに湿度の高い微笑みを向けました。ダイヤです。）   (2024/10/14 10:38:53)

キタサンブラック> ……（最終戦は上半身裸で男の殴り合いですね！）   (2024/10/14 10:38:55)

