/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 13時14分 ～ 2024年10月15日 21時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

雪花ラミィ> おやつ食べ終わったら遊ぶ？遊ぶかい？（）   (2024/10/15 13:14:41)
雪花ラミィ> ふぃ〜〜〜…ごちでした…（ナチュラルにおやつ楽しんでたエルフ）   (2024/10/15 13:28:10)

エロガキ♀15kb> （ウェークアップって何だろう？な顔……とりあえず、ラミィさんがおやつの好きに悪戯……あ）   (2024/10/15 13:28:26)

エロガキ♂14C ◆> 責め属性ねー。僕も然程ないのは違いないんだよなー、気が向くというか、うまくスイッチ入ると行けるんだけど……。（ハーフエルフちらり）   (2024/10/15 13:28:45)

エロガキ♀15kb> （戻ってきちゃたので、手を引っ込め引っ込め。　雑談だから頬っぺたに「肝臓」って書くくらいの悪戯しかできないけど）   (2024/10/15 13:29:11)

エロガキ♂14C ◆> （ざ、雑……！）   (2024/10/15 13:29:23)

雪花ラミィ> （ラミィはハーフエルフしか属性ねーよ）   (2024/10/15 13:29:32)

エロガキ♀15kb> ……（お酒　肝臓　清楚　腋……いっぱいある。）   (2024/10/15 13:29:56)

エロガキ♂14C ◆> （巨、つーか爆乳も忘れちゃいかん））   (2024/10/15 13:30:17)

雪花ラミィ> （清楚属性はあります！！！！！！）   (2024/10/15 13:30:37)

エロガキ♂13HL ◆> (ラミィお姉ちゃんは清楚おねえさんぞくせいあるじゃん！)   (2024/10/15 13:30:51)

エロガキ♀15kb> （スタップ細胞くらい、清楚属性は、ありまーす）   (2024/10/15 13:30:59)

エロガキ♂14C ◆> （清楚属性はあるのですかぁぁぁ？）   (2024/10/15 13:31:33)

エロガキ♂13HL ◆> (あとはニャース属性…ツッコミ属性、めんどくさいムーブ属性、面白属性…その他もろもろ…！…すみません…ただの一般ホロリス通りました)   (2024/10/15 13:32:04)

エロガキ♂14C ◆> で、もしゲーム行くなら僕留守番してるよ。あまりガキ側多くてもかわいそーだし？万が一応援増えたらその時は凸ろうかな。   (2024/10/15 13:32:10)

エロガキ♀15kb> さ！とりあえずラミィさん！　いじめてアタシをビクンビクンさせてください！　いいですね！ハイか、イエスで答えてください！   (2024/10/15 13:32:29)

雪花ラミィ> ら、ラミィが虐めるんか…？ニャースは虐められた時と泥酔した時しか出さねぇから…！！   (2024/10/15 13:33:14)

エロガキ♀15kb> あ、いじめられる方がよかったですか？アタシとしては、受けもいいな～くらいの♪   (2024/10/15 13:33:56)

雪花ラミィ> いやちゃうちゃうちゃう、そういうんじゃないけど！！！言葉狩り激しいよ！！！   (2024/10/15 13:34:53)

エロガキ♂13HL ◆> まぁでもこれはそうだな〜kbお姉ちゃんに発散させてあげた方が良さそうかな〜？同じく増えたらになりそうやね〜   (2024/10/15 13:35:32)

エロガキ♀15kb> 発情してる獣は、どんな兎でも狩り取っちゃうんですよ♡知ってますか？（うふ、うふふふ♡   (2024/10/15 13:35:34)

雪花ラミィ> 遊ぶなら、たまには変身するかー。せっかくだしね。   (2024/10/15 13:35:35)

エロガキ♂14C ◆> ！？   (2024/10/15 13:35:52)

エロガキ♂14C ◆> （ラミィがやられても第二、第三のラミィが残っている……！？）   (2024/10/15 13:36:34)

エロガキ♀15kb> とりあえず、お部屋行きましょうか。まずはとりあえず勝負を   (2024/10/15 13:37:04)

エロガキ♂13HL ◆> 変身！？   (2024/10/15 13:38:00)

雪花ラミィ> （ラミィトピック：実は、海外勢を含まなければほぼ全てのホロメン・にじさんじライバーに変身できるぞ⭐︎）   (2024/10/15 13:38:00)

エロガキ♂14C ◆> ん？13HLくんいかないの？1:3なら控えようかと思ったけど1:2ならいいんじゃない？   (2024/10/15 13:38:14)

エロガキ♂13HL ◆> あーじゃあ行ってこようかな〜   (2024/10/15 13:39:03)

エロガキ♂13HL ◆> 14Cくんありがとう〜   (2024/10/15 13:39:15)

エロガキ♀15kb> では、お部屋に（しゅたたたたー   (2024/10/15 13:39:33)

エロガキ♂14C ◆> （その方が15ねーさんに発散させてあげられるからねっ）   (2024/10/15 13:39:36)

エロガキ♂14C ◆> いってらっさいましー   (2024/10/15 13:39:45)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/15 13:39:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 13:40:00)

雪花ラミィ> 3連敗という肩書き、1vs3で消さんでええんか？ん？（ド煽り）ではではまたー。おつらみー⭐︎   (2024/10/15 13:40:02)

エロガキ♂19b ◆> 入れ替りで帰還～   (2024/10/15 13:40:13)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/15 13:40:19)

エロガキ♂14C ◆> ぽんこつにーさんおかえり、あとそこのハーフエルフ帰ってきたら泣かしてやる！！！   (2024/10/15 13:40:58)

エロガキ♂13HL ◆> いってきまーす…百合を援護してくる〜(入れ替わりお邪魔しましたー！)   (2024/10/15 13:41:03)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/15 13:41:04)

エロガキ♂19b ◆> ちょっとまて！アフロディも来てるぞ！？   (2024/10/15 13:41:31)

エロガキ♂14C ◆> へ？   (2024/10/15 13:41:36)

エロガキ♂19b ◆> お部屋が賑わいそうな予感～   (2024/10/15 13:42:32)

エロガキ♂14C ◆> ああホントだ。んー、どうしよっかなー。   (2024/10/15 13:42:43)

エロガキ♂14C ◆> 煽られたしまた支援で行って汚名返上してくるのもありか。とはいえしばし様子見を。   (2024/10/15 13:43:30)

エロガキ♂19b ◆> うおー！！がんばれー！(ドンドンドンと床をならして応援)   (2024/10/15 13:43:53)

エロガキ♂14C ◆> やかましい！！！   (2024/10/15 13:44:15)

エロガキ♂14C ◆> ……クールダウンに駆けつけ一杯。   (2024/10/15 13:45:06)

エロガキ♂19b ◆> ふぅ、、   (2024/10/15 13:45:32)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）4. コーヒー（激苦）6:青汁   (2024/10/15 13:46:09)

エロガキ♂14C ◆> 1d6 → (3) = 3  (2024/10/15 13:46:20)

エロガキ♂19b ◆> ッチ、おもんねえの引きやがったな   (2024/10/15 13:46:37)

エロガキ♂14C ◆> ……水率高くないかな、僕……（ごくごく）   (2024/10/15 13:46:41)

エロガキ♂19b ◆> 部屋のほうは2対2～増えないなら縁語も要らんなこれは   (2024/10/15 13:47:34)

エロガキ♂19b ◆> アフロディーーーー！！！！   (2024/10/15 13:48:12)

エロガキ♂14C ◆> あの空気ならあのままでいい気もする、そんな訳で観戦させてもらおう……と思ったらあらまー。   (2024/10/15 13:48:56)

おしらせ> アフロディさんが入室しました♪  (2024/10/15 13:49:15)

アフロディ> っと、こんな部屋ができてたのか。久しぶり。   (2024/10/15 13:49:30)

エロガキ♂14C ◆> そしてこちらに観戦に……？こんにちは、始めましてです。   (2024/10/15 13:49:45)

エロガキ♂19b ◆> お久しぶり～だぞ！   (2024/10/15 13:49:56)

アフロディ> 少し少ない方が面白いしな、顔出しを兼ねつつ挨拶に来たんだ。   (2024/10/15 13:50:18)

エロガキ♂14C ◆> （いい性格（褒めてる）していらっしゃる……！）   (2024/10/15 13:50:43)

アフロディ> 久々、僕をみてそこまで喜んでくれるのは嬉しいけど…どこを見てるんだ？   (2024/10/15 13:51:02)

エロガキ♂19b ◆> んー？次合ったときはって前に約束したよね～、何てねー   (2024/10/15 13:51:41)

エロガキ♂14C ◆> ……ちょい2人でお話しててくださいましー！一旦落ち！   (2024/10/15 13:52:00)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/15 13:52:03)

エロガキ♂19b ◆> 了解～、またな14C   (2024/10/15 13:52:21)

アフロディ> さあ、どんな約束をしたっけな。(忘れたな　なんてニヤッとして)   (2024/10/15 13:52:32)

アフロディ> お疲れ様。   (2024/10/15 13:52:39)

エロガキ♂19b ◆> あっはは、んまここはあくまで雑談部屋、軽いおさわりしか許されていないのだー！こんな風にね♡(アフロディのお尻を服越しにさわさわ)   (2024/10/15 13:54:04)

アフロディ> お前…相変わらず変態が丸出しだな。(少し腰をびく、ってさせつつも呆れた顔で)   (2024/10/15 13:55:14)

エロガキ♂19b ◆> それが取り柄なので～、でも印象に残りやすいでしょ～？   (2024/10/15 13:55:52)

アフロディ> まあ、覚えてはいるな。   (2024/10/15 13:56:04)

エロガキ♂19b ◆> でしょー？それになかなか男の娘に手をだす人も少ないからねぇ～、、あれ俺って結構貴重なのでは？(自画自賛？)   (2024/10/15 13:57:25)

アフロディ> …(手を出すと言われて、過去のことを思い出せば少し赤くなって) まあ、自分に自信が持てたなら良いんじゃないか…？   (2024/10/15 13:58:23)

エロガキ♂19b ◆> よし、アフロディ！でばんだぞ！   (2024/10/15 13:59:07)

アフロディ> ん？   (2024/10/15 13:59:21)

エロガキ♂19b ◆> 勝負部屋が女の子がわ振りになってるし支援いってあげたらどうかな？   (2024/10/15 13:59:36)

エロガキ♂19b ◆> 女の子サイドが不利、ね   (2024/10/15 13:59:55)

エロガキ♂19b ◆> 今は雑談部屋だからどっちが勝っても負けてもいいんだけどねぇ～   (2024/10/15 14:00:34)

アフロディ> まあ、きっとなんとかなるんじゃないかな。今日はここを見つけられて良かった、と言うことでそろそろ抜けてしまうよ。またな。   (2024/10/15 14:01:16)

エロガキ♂19b ◆> あり、いっちゃうのね～。またこんど遊ぼうねー！   (2024/10/15 14:01:53)

アフロディ> ああ、またな！   (2024/10/15 14:04:44)

アフロディ> じゃあ今はこれくらいで   (2024/10/15 14:04:57)

おしらせ> アフロディさんが退室しました。  (2024/10/15 14:05:01)

エロガキ♂19b ◆> お疲れさまー！   (2024/10/15 14:05:34)

おしらせ> メアリー・セレストさんが入室しました♪  (2024/10/15 14:08:08)

メアリー・セレスト> こんにちは♡♡雑談部屋は初だが…お邪魔しても…？   (2024/10/15 14:08:26)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが入室しました♪  (2024/10/15 14:14:10)

エロガキ♂19Q ◆> こんにちは   (2024/10/15 14:14:18)

エロガキ♂19Q ◆> 二人ともいるかな？   (2024/10/15 14:14:52)

メアリー・セレスト> ああ♡   (2024/10/15 14:15:05)

エロガキ♂19Q ◆> 19bはいないのかな？   (2024/10/15 14:15:25)

メアリー・セレスト> あまり長くはいれないが…♡♡   (2024/10/15 14:15:41)

エロガキ♂19Q ◆> メアリーと一対一で話すの初めてかな？   (2024/10/15 14:16:14)

メアリー・セレスト> そうかもな♡♡普段はゲームの部屋の方だからな♡♡   (2024/10/15 14:16:43)

エロガキ♂19Q ◆> 前に俺が手伝いに行ったときに会ったぐらい？   (2024/10/15 14:17:18)

メアリー・セレスト> そうだな♡♡前回は凄いくらいの人数差でボロ負けしたな…♡♡   (2024/10/15 14:17:43)

エロガキ♂19Q ◆> エロガキたちに犯されてどうだった？..何か負けて嬉しそうだったけど   (2024/10/15 14:18:19)

メアリー・セレスト> 中々楽しめたぞ♡♡そうだな…好き勝手遊ばれるのは結構好みだ♡♡   (2024/10/15 14:20:04)

エロガキ♂19Q ◆> 好き勝手にねぇ..もしかしてメアリーってMなのか？   (2024/10/15 14:20:32)

メアリー・セレスト> Mなのかな…♡♡Mってことにしておくか…♡♡   (2024/10/15 14:20:46)

エロガキ♂19Q ◆> 確実にMだと思うぞ、乱暴に扱われて感じたりとかするか？   (2024/10/15 14:21:28)

メアリー・セレスト> するな…♡♡デカチチとか言われて興奮してしまう♡♡   (2024/10/15 14:21:58)

エロガキ♂19Q ◆> まぁ、実際にデカ乳だし..言われてもしょうがないと思うぞ..玩具みたいに扱われたりするのも好きなんじゃないか？..オナホとして使われたりとか   (2024/10/15 14:23:10)

メアリー・セレスト> そうだな♡♡デカチチデカケツメアリーとか言われたこともあったな♡♡   (2024/10/15 14:24:34)

エロガキ♂19Q ◆> その名前いいじゃん..俺もこれからデカ乳デカケツメアリーって呼ぼうかなぁ？   (2024/10/15 14:25:26)

メアリー・セレスト> ああ…♡♡好きにしてくれて構わないぞ♡♡ボインwボインwとか胸で遊ばれたり♡♡   (2024/10/15 14:26:52)

エロガキ♂19Q ◆> 今度メアリーに勝った時に胸とか楽しませてもらうわ..メアリーのあだ名どうしようかなぁ？..ドMメアリーとかにするか？   (2024/10/15 14:28:19)

メアリー・セレスト> 流石にそろそろ勝ちたいがな…♡♡デカチチメアリーが呼びやすいかな…♡♡   (2024/10/15 14:29:17)

エロガキ♂19b ◆> いよっと、離席してるうちに増えてる！   (2024/10/15 14:29:34)

エロガキ♂19Q ◆> そうだな..じゃあ、デカチチメアリーって呼ぶことにするな   (2024/10/15 14:29:50)

エロガキ♂19Q ◆> お、戻ってきたのか19bもデカチチメアリーって呼ぶか？   (2024/10/15 14:30:13)

メアリー・セレスト> ふふ…♡♡今度からプロフにデカチチメアリーって書いとこうか…♡♡   (2024/10/15 14:30:54)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 14:31:07)

エロガキ♂19Q ◆> それいいなこれからプロフに書いといてくれよ、デカチチメアリー   (2024/10/15 14:31:22)

エキドナ ◆> もう少ししたら離席するけどお邪魔しても構わないかな？   (2024/10/15 14:31:47)

エロガキ♂19b ◆> んー、、呼ばれたいならそれでといいけど、基本はメアリーちゃんかな。俺の中ではちゃん付けが基本なのだ！   (2024/10/15 14:31:51)

エロガキ♂19Q ◆> 大丈夫だよ、エキドナ   (2024/10/15 14:32:00)

エロガキ♂19b ◆> エキドナちゃん、さっきぶりー   (2024/10/15 14:32:12)

エロガキ♂19Q ◆> ちゃん付けかぁ..俺はしたことないな   (2024/10/15 14:32:22)

メアリー・セレスト> 私もそろそろ離席してしまうかな…♡♡   (2024/10/15 14:32:59)

エキドナ ◆> なら遠慮なくお邪魔するよ(椅子腰かけてティーセット準備始めて)   (2024/10/15 14:33:10)

エロガキ♂19Q ◆> デカチチメアリー、犯すの楽しみになって気なぁ..   (2024/10/15 14:33:25)

エキドナ ◆> 離席なら戻るのだろう？待っているよ   (2024/10/15 14:33:48)

メアリー・セレスト> あっ…離席と言っても戻ってこれるとしたら夜になってしまうな…♡まぁ出る時は退室していくよ♡♡   (2024/10/15 14:34:22)

エロガキ♂19b ◆> 隣失礼～(エキドナの隣に椅子を運び座り)   (2024/10/15 14:34:38)

エキドナ ◆> 夜は、、少しボクが分からないからまた会えた時にゆっくりお話しようか、、   (2024/10/15 14:35:04)

メアリー・セレスト> ああ♡また会えることを楽しみにしているぞ♡♡   (2024/10/15 14:35:27)

エキドナ ◆> 、、なんだい？(怪訝な顔で一応ティーセット1つ差し出しておくよ)   (2024/10/15 14:35:28)

エロガキ♂19Q ◆> ここがあんまりお触り禁止じゃなければ..メアリーの胸とか尻を触るのになぁ..   (2024/10/15 14:35:39)

エキドナ ◆> r18でないなら大丈夫らしいよ、、(紅茶1口啜り、)   (2024/10/15 14:36:18)

エロガキ♂19Q ◆> 19bってエキドナのこと好きなのか？   (2024/10/15 14:36:25)

メアリー・セレスト> ふふ…♡♡私の胸とかで遊ぶのはゲーム部屋の方…って♡♡   (2024/10/15 14:36:28)

メアリー・セレスト> すまない…タイミング悪いが退室してしまうぞ♡♡   (2024/10/15 14:36:43)

おしらせ> メアリー・セレストさんが退室しました。  (2024/10/15 14:36:46)

エロガキ♂19Q ◆> R18になりそうになるから無理だな   (2024/10/15 14:36:47)

エロガキ♂19Q ◆> お疲れ様デカチチメアリー   (2024/10/15 14:37:00)

エロガキ♂19b ◆> 俺は女の子みんな大好きよ～、どれだけ年上でも年下でもね(ティーカップを受け取り)   (2024/10/15 14:37:25)

エキドナ ◆> お疲れ様だね   (2024/10/15 14:37:29)

エロガキ♂19b ◆> メアリーちゃんお疲れさま～   (2024/10/15 14:38:02)

エロガキ♂19Q ◆> その発言クズみたいに聞こえるな   (2024/10/15 14:38:03)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/15 14:38:24)

エロガキ♂19b ◆> 沢山の女の子や男の娘抱いてる時点でクズだよ～   (2024/10/15 14:38:29)

エロガキ♂14C ◆> 離席してる間に 僕の愛バが ゲーム部屋にいた   (2024/10/15 14:38:46)

エロガキ♂19Q ◆> まぁ、俺も女たくさん抱いてきたし人のこと言えないか   (2024/10/15 14:38:55)

エロガキ♂14C ◆> というわけで帰還。こんにちは。   (2024/10/15 14:39:40)

エキドナ ◆> やぁ、今日何度目かな？   (2024/10/15 14:39:42)

エロガキ♂19b ◆> お帰り～14C   (2024/10/15 14:39:55)

エロガキ♂14C ◆> 何度も出てきて恥ずかしくないのかって言われちゃいそう（死んだ魚の目）エキドナおねーさんとは3度目ですね   (2024/10/15 14:40:11)

エロガキ♂19Q ◆> 一端俺も抜けるな、じゃ、元気で   (2024/10/15 14:41:24)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが退室しました。  (2024/10/15 14:41:27)

エロガキ♂14C ◆> ほんとは観戦してるつもりだったんだけど電話来たんだよなあ……19Qおにーさんはお疲れ様&あっちでナイスファイトでした   (2024/10/15 14:41:43)

エキドナ ◆> そんなことを言えばボクの方が相当に暇だろう(くす、)なら2度目のこんにちはだね   (2024/10/15 14:41:47)

エキドナ ◆> お疲れ様だね   (2024/10/15 14:42:17)

エロガキ♂14C ◆> まあこんなに顔を合わせられるのも今日くらいかもしれない、明日からは僕も忙しいから。折角だし、お茶会に参加させていただいても？   (2024/10/15 14:42:41)

エロガキ♂19b ◆> 今日だけでいえば俺のほうが暇なのでは？(首傾げ)   (2024/10/15 14:43:23)

エキドナ ◆> 先の子のように好きに抱き潰せる子は人気だろうね、、妙な意味は無いけれど、ボクはあまり出来ないからね、、   (2024/10/15 14:43:33)

エキドナ ◆> いいよ。楽しみたまえ(14の彼にてティーセット差し出し)   (2024/10/15 14:45:17)

エロガキ♂14C
◆> 抱き潰し……エキドナおねーさんのお友達？だとエミリアおねーさんとか好きだけどなぁ、僕。別にえっちなことしなくても多分おっぱいに甘えて満足するし。（差し出されたティーカップ口許に運び、中から立つ香りを堪能してから一口含みつつさらっとゲス発言。）  
(2024/10/15 14:46:12)

エロガキ♂14C ◆> ぽんこつにーさんはレジェンドだから…   (2024/10/15 14:46:35)

エキドナ ◆> すまない、、少し離席だよ   (2024/10/15 14:46:38)

エロガキ♂14C ◆> いってらっしゃいー。   (2024/10/15 14:47:01)

エロガキ♂19b ◆> 勝手にレジェンドにしないで！？   (2024/10/15 14:47:11)

エロガキ♂19b ◆> 行ってらっしゃい～   (2024/10/15 14:47:18)

エロガキ♂14C ◆> まあそんなだから、本当は一戦くらい支援じゃなくて真面目に参加したいとこなんだけど、何分相手あっての、だからね。参った参った。   (2024/10/15 14:47:54)

エロガキ♂14C ◆> え、違うの？（きょとん）   (2024/10/15 14:48:04)

エロガキ♂19b ◆> ただいろんな女の人と遊んでるだけだから、、このいい方は、、なんか変かも？   (2024/10/15 14:48:58)

エロガキ♂14C ◆> 老若男（の娘）女みんな食べてるスーパーレジェンド。   (2024/10/15 14:50:00)

エロガキ♂19b ◆> んなレジェンド校長みたいな   (2024/10/15 14:50:22)

エキドナ ◆> 少しだけ返事したらまた離れるよ   (2024/10/15 14:51:04)

エロガキ♂14C ◆> っと、さっきの回の罰ゲーム組がそろそろ帰還かな？そしてお帰りなさい。   (2024/10/15 14:51:23)

エロガキ♂19b ◆> お帰り～エキドナちゃん   (2024/10/15 14:51:53)

エキドナ ◆> 魔女の娘はどうでもいいよ。好きにするといいさ、、ただ星獣がどう言うかは知らないがね？   (2024/10/15 14:51:54)

エキドナ ◆> 19のキミは夜は常に1人で待機してるイメージが強いよ、、   (2024/10/15 14:52:20)

エロガキ♂19b ◆> 個人的にはエルザちゃんがやっぱ好きだなぁ...   (2024/10/15 14:52:20)

エキドナ ◆> また行ってくるよ。腸狩りへのリベンジならまたこちらで声を掛けてくれれば用意するよ   (2024/10/15 14:52:43)

エロガキ♂19b ◆> 待機しすぎだね..   (2024/10/15 14:52:52)

エロガキ♂14C ◆> いってらっしゃい……ってあー、なるほど？そーいうこと？へー、なんか色々合点が言ったなあ。   (2024/10/15 14:53:29)

エロガキ♂19b ◆> ん？なんの合点だ？   (2024/10/15 14:53:54)

エロガキ♂14C ◆> そして僕は誰になんと言われようと大きいおっぱいのおねーさんになら甘えるよ（キリッ）   (2024/10/15 14:54:09)

エロガキ♂14C ◆> 腸狩りのリベンジって聞こえたからさっ？……狩られた被害者、だよね？   (2024/10/15 14:54:52)

エロガキ♂19b ◆> 多分エロガキ中唯一のね～、、ふふ...あれはなかなかよかった   (2024/10/15 14:55:43)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/15 14:56:19)

エロガキ♂14C ◆> おやおや、珍しい方が。こんにちはー。   (2024/10/15 14:56:49)

エロガキ♂19b ◆> あら、、珍しい人が～。こんにちは   (2024/10/15 14:56:52)

シラベドンナ> 道中暇ができたので少しばかりおじゃまするよ！ 特に話すことがあるわけでもないのだが！   (2024/10/15 14:57:05)

エロガキ♂14C ◆> ちらほらお姿は見かけてたんですが、何分キャラを知らなさ過ぎて二の足を踏んでたんです……orz   (2024/10/15 14:58:09)

エロガキ♂19b ◆> 学校終わって家帰るから20分ほど離席だー！(シュタタ！！   (2024/10/15 14:59:39)

エロガキ♂14C ◆> いってらっしゃい。   (2024/10/15 14:59:56)

シラベドンナ> なるほどぉ？それは気にしないでもいいんじゃあないかな？見掛けたら気軽に声をかけてくれたまえ！   (2024/10/15 14:59:59)

シラベドンナ> 気を付けて！   (2024/10/15 15:00:49)

エロガキ♂14C ◆> あのですね、あのですね……！外見が！ほとんど！情報なくて！！！（がっくり）   (2024/10/15 15:00:50)

エロガキ♂14C ◆> （今雑談部屋にいるので記載抜けてますがきょぬー好きなのです、orz）   (2024/10/15 15:02:05)

シラベドンナ> それはそうだね！せめて本が出ると違うのだけれども…！   (2024/10/15 15:02:25)

エロガキ♂14C ◆> 調べたらまだ本誌連載始まったばかり？のようで……情報はやく降りてきますよーに！   (2024/10/15 15:03:13)

シラベドンナ> 何分、私の情報が出てからまだ10日にも満たないからね   (2024/10/15 15:04:24)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/15 15:05:32)

エロガキ♂14C ◆> そりゃわからないわけですよねぇ……ジャンプしばらく読んでないから尚更に……。   (2024/10/15 15:05:35)

キタサンブラック> どうも、こんにちは～（つやつや   (2024/10/15 15:05:48)

エロガキ♂14C ◆> あ、先輩が現れて泡食ってたけどまだツヤツヤして帰ってきてる。Vおめでと。   (2024/10/15 15:06:07)

シラベドンナ> 初めましてこんにちは！   (2024/10/15 15:06:25)

キタサンブラック> そちらの方は初めまして。　メスガキタちゃんです（ぺこりっ   (2024/10/15 15:06:44)

キタサンブラック> まさかのスカーレットさんでしたが、アタシの事は感知してたっポイですね   (2024/10/15 15:07:07)

エロガキ♂14C ◆> シラベドンナおねーさん、他に出来るキャラとかあったりするんだろーか、と気になってみたり（ちらちら）   (2024/10/15 15:07:35)

シラベドンナ> 気が向いたら購読再開してみてはどうかな。呪いも英雄もいなくなってしまったが、私がいるぞ！（おそらく来週から私は出ないが！）   (2024/10/15 15:08:25)

エロガキ♂14C ◆> （そりゃまあアレだけ尻尾隠せてなきゃ何かしら察するのでは）   (2024/10/15 15:08:56)

エロガキ♂14C ◆> 出ないのかい！！！   (2024/10/15 15:09:13)

シラベドンナ> 立ち位置としては煉獄さんのようなものだからね！他もあることはあるから、気が向いたら変わってみるとしようか   (2024/10/15 15:11:40)

エロガキ♂19b ◆> 帰宅～！そして自己ベスト更新！！   (2024/10/15 15:12:42)

エロガキ♂14C ◆> 煉獄さんって言われてうまい！うまい！が1番真っ先に出てきてしまうのはミーム汚染受け過ぎなのかなあ……（トオイメ）外見さえわかったしまえばこちらも食らいつきやすいので……！   (2024/10/15 15:12:47)

エロガキ♂14C ◆> おかえりレジェンドにーさん。なんの記録なのさ。（真顔）   (2024/10/15 15:13:04)

エロガキ♂19b ◆> 帰宅RTAだぜ！！15分から12分への短縮！   (2024/10/15 15:13:28)

エロガキ♂14C ◆> …………完走した感想をどうぞ。   (2024/10/15 15:13:43)

