/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 21時07分 ～ 2024年10月22日 12時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> (ぬるん)こんばんは〜   (2024/10/21 21:07:43)
エロガキ♂18Z> (後1戦するか迷うな(ぬぬぬぬ))   (2024/10/21 21:21:37)

エロガキ♂18D ◆> まぁ全ての衣装にフェチと癖が詰まってますからねぇ……   (2024/10/21 21:21:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 21:22:21)

エロガキ♂18Z> 着衣おっぱいは嫌いな人はいないはず〜。見ていて癒されるしね   (2024/10/21 21:22:25)

エロガキ♂18Z> おかえりー   (2024/10/21 21:22:29)

エロガキ♂19b ◆> 帰還～、、まるでブーメランのようなはやさー！！(ゴミ箱から飛び出し)   (2024/10/21 21:22:44)

エロガキ♂18D ◆> お帰りなさいませ。果たして出る要素はあったんでしょうか……   (2024/10/21 21:22:51)

エロガキ♂18Z> まさかのゴミ箱からか…   (2024/10/21 21:23:09)

愛宕> そんなこと言われるなんて嬉しいわね♡お帰りなさい♡   (2024/10/21 21:23:24)

エロガキ♂19b ◆> 俺はどこからでも現れるよ～、、天井を突き破るかも知れないし壁を壊して入ってきたりするかも～？   (2024/10/21 21:23:49)

エロガキ♂18Z> うし、ちょっとまた行ってきます〜。   (2024/10/21 21:23:58)

エロガキ♂18Z> 修繕費の請求がすごいことになってそうだ(こなみ)   (2024/10/21 21:24:29)

シラベドンナ> 気を付けて！   (2024/10/21 21:24:42)

エロガキ♂18Z> では〜(しゅたたた)   (2024/10/21 21:24:42)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/21 21:24:47)

愛宕> ふふ♡♡2人とも女の子待ちね♡誰か来るのかしら？   (2024/10/21 21:24:50)

愛宕> お疲れ様〜♡   (2024/10/21 21:24:56)

エロガキ♂18D ◆> 確かに、説得力が違う！！(19bさん)   (2024/10/21 21:25:00)

エロガキ♂18D ◆> 気付いたら居て美味しいもの取っていきますもんね～   (2024/10/21 21:25:16)

エロガキ♂19b ◆> まだ、このお二人は食べてないんだよね～、、いつか食べれるといいんだけど   (2024/10/21 21:26:32)

愛宕> 食べるなんて…逆にお姉さん狼に食べられちゃうわよ？♡   (2024/10/21 21:27:31)

エロガキ♂18D ◆> 多分ですけど、愛宕さんは別で食べたような……シラベドンナさんは食べるチャンスあったんですけどね……リベンジと言っていた人が居たので…   (2024/10/21 21:27:51)

シラベドンナ> ほぉおお？ 食材がよく喋るじゃあないか   (2024/10/21 21:28:01)

エロガキ♂18D ◆> おっと…自分が食材じゃないといつから思っていたんでしょうか…？あの一件で調理方法は記憶したんですよ？なんて……   (2024/10/21 21:29:24)

愛宕> あら？そうかしら？♡シラベドンナさんも食べられちゃうのかしら？   (2024/10/21 21:30:00)

エロガキ♂18D ◆> 逆に食べられちゃうかもしれませんし……逆に愛宕さん共々食べてしまうかもしれませんね？   (2024/10/21 21:30:57)

シラベドンナ> 私は食物連鎖の一番上だからね。天敵のいない一方的な捕食者だな！   (2024/10/21 21:31:04)

愛宕> 2人とも一気に？それは面白そう…♡   (2024/10/21 21:31:47)

エロガキ♂18D ◆> これは楽しみになってきましたねぇ、食物連鎖の一番上を勝負で屈服させて美味しく戴くのが……！！   (2024/10/21 21:31:47)

エロガキ♂19b ◆> シラベドンナちゃんも愛宕ちゃんもどっちも食べたいなほんと   (2024/10/21 21:32:17)

エロガキ♂18D ◆> ……まぁシラベドンナさんと闘えたの、今回がたまたまあそこに居ただけだったので本当にラッキー、幸せだったと思ってるんですけどね…   (2024/10/21 21:32:30)

エロガキ♂19b ◆> 確かにシラベドンナちゃんはどっちかといえばショタ好きだもんね～   (2024/10/21 21:32:54)

シラベドンナ> 断言しよう！ 私たち捕食者が、少年諸君に負けることはないぞ！   (2024/10/21 21:33:04)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/21 21:33:25)

胡桃 ◆> 19bさん少しいいかな？   (2024/10/21 21:33:31)

シラベドンナ> げほっげほっ！ なんのことやら…！？   (2024/10/21 21:33:37)

エロガキ♂18D ◆> さっき負けた人が何を言いますか……！(そろそろ煽るの止めようかな……)   (2024/10/21 21:33:53)

エロガキ♂19b ◆> わ、私！？すこしだけ、待って貰ってもいいかな？   (2024/10/21 21:34:32)

胡桃 ◆> うん、大丈夫！お部屋だけ確保しといたから、移動出来たら私は落ちるね   (2024/10/21 21:34:51)

愛宕> ショタ好きなのね♡私は…両方っていうか…なんでもイケる口だから…♡   (2024/10/21 21:34:57)

エロガキ♂19b ◆> 5分ほど待ってくれたら行くからお待ちを～！！   (2024/10/21 21:35:01)

エロガキ♂18D ◆> まぁ、ですよね……正直今からでも若返りたい気分ですよ……   (2024/10/21 21:35:31)

胡桃 ◆> うえ、少し出るね！   (2024/10/21 21:35:37)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/21 21:35:41)

エロガキ♂18D ◆> 行ってらっしゃいませ、堂主……   (2024/10/21 21:36:03)

シラベドンナ> （共闘や乱闘自体は楽しそうだから、ショタ特化の派生部屋以外にも顔を出してみたいとは思っているよ！）愛宕さんともいつか共闘できるといいな！   (2024/10/21 21:36:47)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/21 21:37:20)

エロガキ♂11T> こんばんは   (2024/10/21 21:37:33)

エロガキ♂18D ◆> ……ですね、乱闘とかになりそうならつい支援だけでも入りたくなるのがなかったの部屋ですので……   (2024/10/21 21:37:35)

エロガキ♂18D ◆> おや、こんばんは。先程はどうも……   (2024/10/21 21:37:45)

エロガキ♂11T> シラベお姉さん…さっきはありがとうね～(笑)   (2024/10/21 21:37:54)

シラベドンナ> やあ！   (2024/10/21 21:37:57)

エロガキ♂11T> 18さん、さっきはありがとうございました   (2024/10/21 21:38:09)

エロガキ♂18D ◆> いえいえ、11さん、相当手癖が悪いようで……記憶できましたよ、おかげさまで   (2024/10/21 21:38:37)

愛宕> こんばんは♡勝負部屋の方は艦の方の愛宕お姉さんが来てるわね♡   (2024/10/21 21:38:53)

エロガキ♂18D ◆> まぁ全員関わった人は男女共々記憶するんですけどね……   (2024/10/21 21:39:02)

エロガキ♂18D ◆> おやおや、愛宕さんはさしずめ、支援でしょうか……   (2024/10/21 21:39:42)

シラベドンナ> 奇跡のコラボが見てみたいところだが、ややこしくなるかな…？   (2024/10/21 21:39:58)

エロガキ♂18D ◆> 昨日あったんですよね奇跡のコラボが……   (2024/10/21 21:40:27)

愛宕> 私も参戦しちゃおうかしら？うーん…今日はどうしようかしら…   (2024/10/21 21:40:29)

エロガキ♂19b ◆> ちょっと、呼ばれたのでいってきますねー   (2024/10/21 21:40:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 21:40:33)

エロガキ♂18D ◆> 行ってらっしゃいませ……   (2024/10/21 21:40:43)

エロガキ♂11T> シラベお姉さん…移動かな？   (2024/10/21 21:41:43)

エロガキ♂18D ◆> ふむ……これは行く流れか、否か…悩むところでは、ある…   (2024/10/21 21:43:16)

愛宕> いってらっしゃい♡♡一応観戦してるわね♡   (2024/10/21 21:43:34)

エロガキ♂18D ◆> まぁその気分によるかどうか、ですが…それに、愛宕さんとももう一度闘うのも、ありかと思ってる次第ですから…   (2024/10/21 21:44:28)

愛宕> 宣戦布告ね♡♡受けて立つけど…また今度♡♡   (2024/10/21 21:45:29)

エロガキ♂18D ◆> ええ、勿論です♡そちらの都合もありますしね…   (2024/10/21 21:46:32)

愛宕> ふふ♡あちらの方は負けちゃったわね…♡罰ゲームも一応観戦…しちゃうわ♡   (2024/10/21 21:48:01)

シラベドンナ> もう少し経験を積んで複数に慣れたら、欲望の赴くままに突撃を繰り返したいところだ…！ 今はまだ1vs1でもテンパってしまっているぞ！   (2024/10/21 21:48:13)

エロガキ♂18D ◆> おっと、あの愛宕さんを下しましたか……それは凄い……シラベドンナさんはゆっくりで大丈夫ですから……いつかまた、闘ってみたいものです。   (2024/10/21 21:49:06)

愛宕> それは数を積むしかないわね〜♡優しいお姉さんがリードしてくれることもあるし…♡複数対決楽しいわよ？   (2024/10/21 21:49:13)

エロガキ♂18D ◆> 優しいお姉さんが大体強かったりするんですよね…いやはや、この世界は油断ならない……   (2024/10/21 21:49:44)

シラベドンナ> 私はこれにて一旦失礼しようかな。同室したときには是非ともお相手願おう！   (2024/10/21 21:50:08)

おしらせ> シラベドンナさんが退室しました。  (2024/10/21 21:50:13)

エロガキ♂18D ◆> おっと、お疲れ様でした……また会えましたら。   (2024/10/21 21:50:34)

愛宕> お疲れ様♡♡うーん…いい時間だし私も失礼するわね♡   (2024/10/21 21:53:15)

おしらせ> 愛宕さんが退室しました。  (2024/10/21 21:53:17)

エロガキ♂18D ◆> 愛宕さんもお疲れ様でした。   (2024/10/21 21:53:55)

エロガキ♂18D ◆> 11さんは……どうされたんでしょうか……   (2024/10/21 21:54:06)

エロガキ♂18D ◆> ふむ……自分も落ちましょうか。お疲れ様でした……   (2024/10/21 21:58:15)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/21 21:58:20)

おしらせ> 無言時間が25分を超えたため、エロガキ♂11Tさんが自動退室しました。  (2024/10/21 22:06:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 22:16:59)

エロガキ♂19b ◆> 天井に張り付いてよっと...   (2024/10/21 22:17:43)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/21 22:20:41)

エロガキ♂14C ◆> （落下に合わせて踵落としっ）   (2024/10/21 22:20:50)

エロガキ♂19b ◆> 地獄からの使者！スパイダーマ！！(♪♪♪♪)   (2024/10/21 22:21:38)

エロガキ♂14C ◆> はいはいキノコ狩りキノコ狩り。こんばんは。   (2024/10/21 22:22:08)

エロガキ♂19b ◆> 扱いが雑だぞー(ブーブー)   (2024/10/21 22:22:33)

エロガキ♂14C ◆> ちゃんとマッにしろって習わなかったのー？って煽って欲しい？まあ冗談はさておき。スカスカおねーさんに負けた挙句、生殺しとかいう酷い目に合わされたけど、挽回できてすっきり。   (2024/10/21 22:23:56)

エロガキ♂19b ◆> 生憎にわかだからねー、ちなみに私は今日まだバトルしてない気がする～(適当)   (2024/10/21 22:24:45)

エロガキ♂14C ◆> （そうか、世代から外れてるのか……いかん年齢が）まあ今日は昼間とかもそんな動いてなかったみたいだし、バトルしてる人の方が少ない可能性も？   (2024/10/21 22:25:48)

エロガキ♂19b ◆> わからん..んま、今日は俺もこのままのんびりかなぁ...   (2024/10/21 22:29:10)

エロガキ♂14C ◆> まあそういう日もあるんじゃないかなー。僕も（多分）今日は夜更かししないし。12時間後には楽しい楽しい日帰り新幹線の旅……（トオイメ）   (2024/10/21 22:29:55)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/21 22:32:02)

エロガキ♂15M ◆> やっほ〜♪属性盛り盛りの男の娘がきたよっ☆   (2024/10/21 22:32:45)

エロガキ♂14C ◆> おっぱいがない、やり直しっ（！？）冗談はさておきこんばんはー。   (2024/10/21 22:33:28)

エロガキ♂19b ◆> 新幹線の旅か...大変そうやな、こんばんは！   (2024/10/21 22:33:43)

エロガキ♂14C ◆> 後ろのおにーさんが「最近は新幹線までもが高額納税者に冷たくて肩身が狭い」ってベランダで泣いてるんだけど……何のことだろうね？（すっとぼけ）   (2024/10/21 22:34:50)

エロガキ♂15M ◆> 男の娘におっぱい禁句！性癖ドラゴンがブチギレるよ！(ﾌﾟﾝﾌﾟﾝ！)   (2024/10/21 22:34:57)

エロガキ♂14C ◆> 大胸筋矯正サポーター着けて盛るんだよっ！！！……いや、まあおっぱいあって欲しいのはおねーさんにだしまあいいけど。（しれっ）   (2024/10/21 22:36:20)

エロガキ♂15M ◆> 新幹線？納税者？ボクたちには関係ない話だにゃ〜(すっとぼけ)   (2024/10/21 22:36:26)

エロガキ♂19b ◆> 新幹線は夢の国いくときにしか使わないんだよなぁ...   (2024/10/21 22:36:30)

エロガキ♂14C ◆> （新幹線まですっとぼけるのはいなk……だめだ、自分にブーメラン突き刺さっちゃう）   (2024/10/21 22:37:44)

エロガキ♂15M ◆> 夢の国…夢とか言ってるけど、中では順番待ちを考えた完璧なプランニングやパレード用の席を何時間も前から確保する必要がある、あの夢の国？……あそこ疲れるにゃ   (2024/10/21 22:38:30)

エロガキ♂19b ◆> 俺はソロだ   (2024/10/21 22:39:05)

エロガキ♂15M ◆> ん？関東住みですけど何か？   (2024/10/21 22:39:07)

エロガキ♂19b ◆> (適当)   (2024/10/21 22:39:13)

エロガキ♂15M ◆> ソロディズニーとか、行く人いるんだ…友達誘えばいいのに   (2024/10/21 22:39:41)

エロガキ♂14C ◆> ソロネズミー好きなお友達、割といるなあ。   (2024/10/21 22:40:01)

エロガキ♂19b ◆> ちなみにいつも親といって、中にはいったら一人になってるよ   (2024/10/21 22:40:22)

エロガキ♂15M ◆> (はっ！伏せるの忘れてた…！消される…！)   (2024/10/21 22:40:31)

エロガキ♂14C ◆> （仮の方にクラリスおねーさんがポップしたよ！）   (2024/10/21 22:40:40)

エロガキ♂14C ◆> （ﾊﾊｯ）   (2024/10/21 22:40:47)

エロガキ♂15M ◆> (やっべ…！)   (2024/10/21 22:41:09)

エロガキ♂15M ◆> おっと…一勝負行こうかにゃ〜(悩み中)   (2024/10/21 22:41:38)

エロガキ♂14C ◆> 行かないなら僕が行っちゃうぞー（？）   (2024/10/21 22:41:54)

エロガキ♂15M ◆> いけいけ〜♪行っちゃえ〜♫(？)   (2024/10/21 22:42:28)

エロガキ♂14C ◆> ……意図しないソロ？<親と一緒に、気がつけば1人   (2024/10/21 22:42:43)

エロガキ♂15M ◆> あ、マッチアップしたよ   (2024/10/21 22:42:45)

エロガキ♂14C ◆> ホントだ。はやいなー。   (2024/10/21 22:43:03)

エロガキ♂15M ◆> それって…迷子…いい歳して？   (2024/10/21 22:43:05)

エロガキ♂19b ◆> 意図してるソロ。だって合わないもん...回り方が   (2024/10/21 22:43:08)

エロガキ♂15M ◆> 支援だけで行ってみようかにゃあ。人数合うなら最後まで参加する感じで！んじゃ、行ってくるね〜♪   (2024/10/21 22:44:28)

エロガキ♂14C ◆> ま、誰もいかないなら複数面白いって公言してたし（語弊あり？）僕行ってくるよー。   (2024/10/21 22:44:29)

エロガキ♂14C ◆> あ、行くなら見送るよー。いってらっしゃいー   (2024/10/21 22:44:42)

エロガキ♂15M ◆> え〜、一緒に行こうよ〜   (2024/10/21 22:44:54)

エロガキ♂14C ◆> 1vs3はやだっ   (2024/10/21 22:45:10)

エロガキ♂15M ◆> 多分お姉さん来てくれるって♪ね？   (2024/10/21 22:45:13)

エロガキ♂14C ◆> 来たら行くー。   (2024/10/21 22:45:22)

エロガキ♂15M ◆> は〜い、そういうことなら先に行くね〜   (2024/10/21 22:45:41)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/21 22:45:44)

エロガキ♂14C ◆> 改めて行ってらっしゃいー   (2024/10/21 22:46:00)

エロガキ♂19b ◆> いってらー   (2024/10/21 22:46:12)

エロガキ♂14C ◆> けど、そもそも親と行ったことって幼稚園に入る前に一度行ったきりだからなぁ……感覚があまりわからないや。   (2024/10/21 22:47:03)

エロガキ♂14C ◆> さーて、おねーさん側に味方は現れるのかなー？   (2024/10/21 22:49:14)

エロガキ♂14C ◆> ……ひと段落ついたら煽らずに労ってあげよ。   (2024/10/21 22:52:23)

エロガキ♂19b ◆> あ、いい忘れてた！！すこし離席してます！   (2024/10/21 22:55:06)

エロガキ♂14C ◆> うわ、ストレート。15Mくんえげつなぁ……。   (2024/10/21 22:55:17)

エロガキ♂14C ◆> いやまあ察してたよ、うん。   (2024/10/21 22:55:29)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/21 22:56:44)

エロガキ♂14C ◆> おかえりえげつない子。   (2024/10/21 22:56:50)

エロガキ♂15M ◆> たっだいま〜♪   (2024/10/21 22:56:54)

エロガキ♂15M ◆> 今日のボクは負ける気がしないね(ｷﾗｰﾝ☆)   (2024/10/21 22:57:12)

エロガキ♂14C ◆> 結局おねーさん追加で現れなかったねー。   (2024/10/21 22:57:50)

エロガキ♂15M ◆> う〜ん、負けるの怖くて入れなかったんじゃない？(ﾆﾔﾆﾔ) きっとボクに恐れをなして逃げたんだよ！   (2024/10/21 22:58:37)

エロガキ♂14C ◆> 流石に今から待っても人来るとしたらもっと遅い時間になりそーだしなぁ。でも添い寝してくれるおねーさんを捕まえたい僕もいる（うずうず）   (2024/10/21 23:00:04)

エロガキ♂15M ◆> ちょっと気分がいいし、もう１戦募集してくるねぇ(ﾙﾝﾙﾝ♪)   (2024/10/21 23:00:14)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/21 23:00:20)

エロガキ♂14C ◆> いってらっしゃーい。……便乗しようかなあ？   (2024/10/21 23:00:36)

エロガキ♂19b ◆> ちょっと長くなりそうだから落ちますね～...さらば！！   (2024/10/21 23:02:15)

エロガキ♂14C ◆> するにせよしないにせよ、独り言垂れ流しちゃうのもアレだし落ちるねー。   (2024/10/21 23:02:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 23:02:17)

エロガキ♂14C ◆> タイミングぅ！   (2024/10/21 23:02:24)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/21 23:02:29)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 23:23:17)

エロガキ♂19b ◆> 意外と早く終わった！   (2024/10/21 23:23:29)

エロガキ♂19b ◆> 結局今日は勝負してないな、、んま、ええか   (2024/10/21 23:36:36)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/21 23:38:47)

雪花ラミィ> ふう…。おまえら元気しとったかー！！オリャー！！（クソデカ大声）   (2024/10/21 23:39:14)

エロガキ♂19b ◆> こんばんは！   (2024/10/21 23:39:32)

エロガキ♂19b ◆> なんか久しぶりに見た気がする？   (2024/10/21 23:40:04)

雪花ラミィ> ふぃっ。こんらみぃ〜。風邪を引いてめちゃくちゃに寝込んでいた、雪花ラミィでございまぁす。腰いてー…寝相が悪すぎたんだわ…。   (2024/10/21 23:40:11)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/21 23:41:34)

エロガキ♂14C ◆> やっと復活したんかワレェ！！！！（言いたかっただけ）   (2024/10/21 23:41:48)

エロガキ♂19b ◆> どれぐらい寝込んでた？   (2024/10/21 23:42:02)

雪花ラミィ> あ、おっぱい君（呼び名、劣化！）こんらみぃ〜   (2024/10/21 23:42:02)

エロガキ♂14C ◆> （べしぃっ）   (2024/10/21 23:42:17)

雪花ラミィ> 一万年と二千年ぐらいですかね…？い゛ってぇなコラ何すんだ！！（）   (2024/10/21 23:42:34)

エロガキ♂14C ◆> 多分1週間くらい寝込んでたんじゃない？この呑兵衛ハーフエルフ。先週末ちょっと顔出したな、と思ったら寝落ちてたよ。（べしべし）   (2024/10/21 23:43:45)

雪花ラミィ> まだ完全復活じゃないけどねー。それなりに話せるぐらい体調も戻ってきたってことよ。（ぐびぐび）   (2024/10/21 23:45:13)

エロガキ♂19b ◆> めちゃくちゃ寝てたんやな～   (2024/10/21 23:46:07)

エロガキ♂14C ◆> 寝過ぎて人のあだ名劣化させる程だしねー。   (2024/10/21 23:46:44)

雪花ラミィ> 元からじゃなかったっけ？（すっとぼけ）   (2024/10/21 23:47:38)

エロガキ♂14C ◆> （じとー）   (2024/10/21 23:48:01)

雪花ラミィ> スマンて。許せサスケ。おっぱいあげるから。   (2024/10/21 23:49:53)

エロガキ♂14C ◆> ぽんこつにーさん聞いた？   (2024/10/21 23:50:09)

エロガキ♂19b ◆> ん？14が欲しいだろ？ほら、巨乳のおっぱいだぞ   (2024/10/21 23:50:31)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/21 23:52:08)

エロガキ♂19b ◆> るりちゃん、こんばんは～   (2024/10/21 23:52:26)

エロガキ♂14C ◆> こんばんわんこ   (2024/10/21 23:52:35)

栞葉るり> (一万年と二千年前から寝てるって言われてその反応はジェネギャを感じざるを得ない犬)   (2024/10/21 23:53:46)

栞葉るり> そこは愛してるだろ！八千年過ぎた頃からもっと恋しくなるだ！！(ピピーッ！)   (2024/10/21 23:54:35)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/21 23:54:36)

エロガキ♂14C ◆> （愛してるって叫ぶべきだったんだろうか）   (2024/10/21 23:54:39)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/21 23:54:52)

エロガキ♂14C ◆> （なんかめっちゃ怒られた…？）   (2024/10/21 23:54:58)

エロガキ♂18D ◆> ﾌﾞﾙｩﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝ!!!!ﾌﾞｰｰｰｰｰｰｰｰｰﾝ🏍️(バイクの音マネをしながら登場)こんばんは、お疲れ様です。   (2024/10/21 23:55:22)

