/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年03月11日 06時46分 ～ 2025年03月15日 03時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 少しだけ待ってみよかな   (3/11 06:46:21)
エロガキ♂13Al> ここだけの話エロガキが最も恐れることは生足であれこれされることだから罰を与えるときには生足で短めのスカートで正面から踏んだり擦ったりすればいいよ！！！！   (3/12 22:07:58)

エロガキ♂19b ◆> ...欲望しかねえなおい！？   (3/12 22:08:28)

雪花ラミィ> 罰（褒美）   (3/12 22:09:19)

エロガキ♂19b ◆> っと...一旦離席だー！一万年と二千年したら帰ってきます   (3/12 22:09:31)

エロガキ♂13Al> 8000年すぎたころからもっとエロくなるね   (3/12 22:10:03)

雪花ラミィ> 一億と二千年あとどうなっちゃうんだよ（）   (3/12 22:11:01)

エロガキ♂13Al> 勝った時に何すればいいか困っちゃう♀さんもいるみたいだからお役立ち情報を発信しようと思って……。でも俺はタイツ越しの脚も好きだぜ（何）   (3/12 22:12:37)

雪花ラミィ> 分からないラミィでも使おうとは思わんよ……！なんか奇跡だと思う。生脚派とタイツ・ストッキング派って、綺麗に5:5だよね。   (3/12 22:15:39)

エロガキ♂13Al> その日の気分によるのかもしれない。寒い時に生足見ると心配になるから……（規模の小さい気分）   (3/12 22:16:50)

エロガキ♂19b ◆> たでーま...生足は最高だぞ   (3/12 22:19:52)

雪花ラミィ> キミの為に頑張って生足になってんでしょぉがぁ……♥って言われたら吹き飛びそう（小並感）   (3/12 22:20:28)

エロガキ♂13Al> いじらしいー！（吹っ飛ぶ）   (3/12 22:21:00)

エロガキ♂13Al> もう一万年と二千年経ってたのかー   (3/12 22:21:17)

雪花ラミィ> まだ間奏も終わってないのに！（）おつらみいー。   (3/12 22:22:00)

エロガキ♂19b ◆> お兄さんの時間は爆速で経過するからね...腹に穴が空いても潰されても無傷なのはそのせいなのだ...   (3/12 22:22:12)

エロガキ♂13Al> そんな時間超人と同じ理屈でやってたんだ……罰部屋もひとだんらくついたみたい？（双眼鏡）   (3/12 22:25:47)

エロガキ♂19b ◆> でも痛いものは痛いから...一段落ついたみたいだねー...もしかして次は13Al君とラミィちゃんの番ってこと！？   (3/12 22:28:00)

雪花ラミィ> 腹に穴が開いた時間が爆速で過ぎても生命脅かされないんか…？（）   (3/12 22:28:06)

エロガキ♂19b ◆> 回復力ゥ！！...ですかねぇ   (3/12 22:28:54)

エロガキ♂13Al> 行くか……挟まれに……！？（違う）   (3/12 22:30:59)

雪花ラミィ> ラミィ飲んじゃったよ（）   (3/12 22:31:35)

エロガキ♂19b ◆> ふっ...酒飲みと遊ぶのもいいんじゃない～？...ちなみにほんとにやるなら俺も遊びに行くぞ...サイコロが振りたい！！というか負け続きだから勝ち星あげたい...( ;´･ω･`)   (3/12 22:32:34)

エロガキ♂13Al> 飲む前の方が手元が震えてサイコロ扱えなくなるんじゃなかった？   (3/12 22:32:57)

雪花ラミィ> アル中みたいなこと言ったっけラミィ？？？   (3/12 22:36:06)

エロガキ♂13Al> 違うなら飲んでいても勝負することはできるということ……ほろ酔いになることで色気が上がって面倒くささを出さずにうっふーん♥になれるはず……！   (3/12 22:37:31)

雪花ラミィ> もともと色気ムンムンでめんどくさくねえだろお！？……い、今ラミィ、属性：ねむけばつぐん　だけど…！！   (3/12 22:40:36)

エロガキ♂19b ◆> ラミィちゃんはいついかなるときも眠気抜群じゃない？...   (3/12 22:41:08)

エロガキ♂13Al> じゃあ安眠のほうが大事だから余計な刺激しないほうがいいか……（すん）   (3/12 22:41:09)

雪花ラミィ> らみぃ最近とくにひどいんよ自負するレベルゆで   (3/12 22:46:02)

エロガキ♂13Al> 冬だから体力消耗して眠くなってるんだと思うな。マッサージしようか、ヌルヌルのオイルと自称してるやつを使うやつを……！   (3/12 22:47:36)

エロガキ♂19b ◆> ...眠気に関してはどうしようもない...俺もここで寝落ちしまくっていた過去が...グハァッ   (3/12 22:51:33)

雪花ラミィ> やつがおおいよ……！日焼け止めクリーム以下のヌルヌルでお願いします…！   (3/12 22:51:34)

エロガキ♂13Al> このように傷つきたくなければぬるぬるになってリンパ？　を流してほかほかの体でちゃんと寝たほうがいい。朝まで寝かせないよ♥   (3/12 22:52:36)

エロガキ♂19b ◆> っと...なんかすごいムラムラしてきた....お兄さん遊びに行ってくるね！   (3/12 22:58:06)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/12 22:58:10)

エロガキ♂13Al> いるだけでムラムラしてくるなんてもしかしてえっちな部屋なのか……！？（はい）   (3/12 22:58:47)

エロガキ♂13Al> 寝たのかもしれないね……（ローションボトルをそっと置いてから毛布も掛けておく）   (3/12 23:04:25)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (3/12 23:19:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/12 23:20:29)

エロガキ♂19b ◆> ...ダメだった！！   (3/12 23:20:35)

エロガキ♂13Al> こっちも寝ちゃったところだったね……   (3/12 23:21:27)

エロガキ♂19b ◆> 今日は女の子運がない！！...ムラムラしてるときに会えないのが一番辛いかもしれない   (3/12 23:24:16)

エロガキ♂13Al> まあ仕方ない……むむーん。人がいないと一人でできることじゃないからねー   (3/12 23:26:11)

エロガキ♂19b ◆> ねー！...またあとで...もう1回行こうかな～、まだ女の子とするのをあきらめるわけにはいかない！   (3/12 23:29:37)

エロガキ♂13Al> 性欲が暴走しすぎて危険な目に遭う前に脱出する……か！？   (3/12 23:31:28)

エロガキ♂19b ◆> 大丈夫、まだ暴走はしてない！...まだね   (3/12 23:33:18)

エロガキ♂13Al> コワイ！　じゃあ代わりに向こうに行ってこよう……さらば！   (3/12 23:33:41)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/12 23:33:42)

エロガキ♂19b ◆> 行ってらっしゃい～！！...予言してあげよう～！きっと女の子に会える！   (3/12 23:36:21)

エロガキ♂19b ◆> うーん...全然眠くないんだよねー...あっちも特に動いてはなさそうだし～....   (3/12 23:50:58)

エロガキ♂19b ◆> ぐっ...予言失敗！！...みんなねてるのかなぁ？   (3/13 00:07:58)

エロガキ♂19b ◆> あ、そういえばあの...モンスターをハントする神ゲー...基本どの武器をつかっても楽しいよね...あれやってるとマジで時間が溶ける気がする   (3/13 00:22:41)

エロガキ♂19b ◆> うし！！遊びに行こうかな！   (3/13 00:46:48)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/13 00:46:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/13 14:26:36)

エロガキ♂19b ◆> こんにちは～！！誰かおるかぁー！   (3/13 14:27:20)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (3/13 15:35:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/13 20:51:52)

エロガキ♂19b ◆> こんばんはー！...まさか回線が切れるとはおもわなんだ...何があるかわかったもんじゃないな！！   (3/13 20:52:19)

エロガキ♂19b ◆> そういえば...明日はホワイトデーか...星ちゃんへのお返しを用意しておかないと！！...ゴミでよかったよね？   (3/13 21:00:35)

エロガキ♂19b ◆> さてさて...いい感じの時間、になってきたしそろそろ遊びに行ってもいいのかも～？   (3/13 21:14:31)

エロガキ♂19b ◆> おやおや～...これはまた面白い組み合わせ～！(チラッ)今回はどっちが勝つかなー？   (3/13 21:21:48)

エロガキ♂19b ◆> っと...唐突に用事がぁぁ！！一旦帰ります！！またくる！！多分ね！   (3/13 21:26:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/13 21:27:01)

おしらせ> 雪花ラミィさんが入室しました♪  (3/13 22:22:13)

雪花ラミィ> こんらみです！……わー、寝ちゃってた…。あったかすぎるのも難だね、ラミィこんなに深くお昼寝したのとか久しぶりだ…。今日はもう遅いけど、お話ししてくれる殿方・殿御様、待ってますっ。   (3/13 22:24:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/13 22:28:36)

エロガキ♂19b ◆> へいっ！まさかほんとにシラフで来るとは思わなかったぜー！やっほーラミィちゃん！   (3/13 22:29:13)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/13 22:29:52)

エロガキ♂14C ◆> こんばんはー……ってうわ、なんか盛り上がってる……のか？   (3/13 22:30:13)

雪花ラミィ> 二人ともこんらみですっ、19b君はお疲れ様。ラミィは凄いお昼寝してたからかまだポヤポヤ気分だけど、まだなんとか顔洗ったから大丈夫……だと思いたい…。   (3/13 22:31:08)

おしらせ> 獅白ぼたんさんが入室しました♪  (3/13 22:31:19)

エロガキ♂14C ◆> （なんか気がついたらししらみが完成した件。）こんばんはーっ   (3/13 22:31:42)

獅白ぼたん> ららいお～ん、ららいお～ん♪　やることなーいぞ～ら・ら・いお～ん♪   (3/13 22:31:50)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/13 22:31:53)

エロガキ♂13Al> ここにシラフって書いてあるってことは……「わっぱ」って書いてるときは飲んでたって意味だったんだ！（推理力）　こんばんはーこんばんはー   (3/13 22:32:21)

獅白ぼたん> って、ことで殿方じゃないアタシとかが参加しても大丈夫かな？   (3/13 22:32:22)

エロガキ♂19b ◆> 昼間はねー俺も寝ちゃったからね...ぐっ..多分寝落ちチャレンジは俺の負けかな？   (3/13 22:32:52)

エロガキ♂14C ◆> 雑談部屋だしそこはまあ問題ないんじゃないのかな。とーぜんながら。ぼたんおねーさんがエロガキに回るって言うなら話は別……別……うーん（コレジャナイ感に頭抱え）   (3/13 22:33:38)

雪花ラミィ> むなっ（眠気がどっかに行っちゃった音）しーしーろーーん！こんらみ〜〜！全然大丈夫だよーっ。ゆっくりしてってね。……おおお、ぞ、続々…。   (3/13 22:33:56)

エロガキ♂13Al> 殿様になればいいんじゃないかな！（羽織とちょんまげカツラを準備）   (3/13 22:34:48)

獅白ぼたん> いや、どう見てもあたしはガキじゃないっしょ？（お前はなにをいってるんだ？）　お、ラミちゃんが顔だけ饅頭みたいなこと言ってる？　ここで、仲良くなるとラミちゃんのいやらしい姿を近くで見られると聞いて？   (3/13 22:35:00)

エロガキ♂19b ◆> びっくりするぐらいいやらしい姿を近くで見れると思うよー...なんなら仲良くならなくても勝負さえすれば！！   (3/13 22:36:00)

エロガキ♂14C ◆> まあ僕はゲーム終わった後で明日も早いから少ししたらおねんねするつもり満々なんだけどさ。……まあ、確かにいやらしい姿は見れるかもしれないけど9割寝てるとこだと思うな、うん。   (3/13 22:36:45)

獅白ぼたん> ん？……ここってがきんちょとあたしやラミちゃんが勝負する部屋であって、あたしがラミちゃんと勝負する部屋だっけ？（あたしが勝負しても、ラミちゃんのスケベは見られないっしょ？）   (3/13 22:37:11)

雪花ラミィ> ちょっ、だ、誰ですかーそんなイタズラ情報流したのはーー！ダメだかんねラミィの知らないところでそういうお話広げるの〜〜！仲良くなってもそういうのは解禁されません〜！……まぁ、甘えたりとかは、別だけどさ〜…。   (3/13 22:38:18)

エロガキ♂19b ◆> あれだよあれ！ラミィちゃんとぼたんちゃんがタックで勝負して～負けたらラミィちゃんのあんな姿やこんな姿を見れる！！ぼたんちゃんももれなく大変なことになるけどね！   (3/13 22:39:24)

エロガキ♂14C ◆> 甘えたりとかは別だけどさ、ねー……。（生温かい視線でししらみコンビ眺めながら温かいお茶を一口。）   (3/13 22:39:46)

獅白ぼたん> ん？仲良くなったら、アタシでもラミちゃんに甘えていいってこと？（おや？これは話が変わってくる？）　まぁ、今は顔を出しただけというかだけど、時間と相手がいたら、アタシも参加側を考えないとだよね。   (3/13 22:40:04)

エロガキ♂13Al> ラミィちゃんと同時にゲームすれば確実に見られるらしいよ！　ただその時には自らもいやらしさの渦中にいるということを忘れてはならない……（被ってもらえないようなので代わりにラミィにちょんまげを被せに行く）   (3/13 22:40:52)

雪花ラミィ> 寝落ちしちゃうのは良くない飲み物のせいだってラミィお勉強したかんね、封印してるの封印。し、ししろんはだってほら、同期だからほら…でもラミィは誰でも分け隔てありませんから…！   (3/13 22:42:42)

獅白ぼたん> 同時に、ってこの部屋で女の子が二人以上そろうってあんまないんじゃないの？（その辺どうなの？って感じのことを……誰って呼ぶべきか、名前がないからついラミちゃんに話振りがちだけど……あと、そのジョークアイテム、アタシに向けてだったのね）  
(3/13 22:42:52)

獅白ぼたん> 分け隔てないけど、同期なあたしは少し枠が違うって？（なんだかラミちゃん、あたふたしてるの見てて楽しいかも？）　ホラーで叫んでるラミちゃんもあたしは好きなんだけどね♪   (3/13 22:44:10)

雪花ラミィ> ラミィが負けちゃう前提みたいなのやめなー！？勝つこともあるもんラミィだって！別に被りませんいりませんラミィの髪の毛じゃ入りませんーー！（やいのやいの）   (3/13 22:44:21)

エロガキ♂14C ◆> ぶっちゃけ以前なら割とあり得たけど、ここ最近じゃ2人以上おねーさんがいる状況はすごく珍しいのはその通りかもねー。   (3/13 22:44:32)

エロガキ♂19b ◆> なんなら以前は部屋が一杯になることも！！(過去の栄光)   (3/13 22:45:00)

エロガキ♂13Al> さっきも2対2になったから人が少ないときにはなかなか起きなくて、人が増えてくるとむしろ複数バトルになる可能性が高まる……という感じ！　くっ毛量が多い……！　月代（さかやき）の線を消すパウダーも用意してあるのに……！（ムダ）   (3/13
22:45:59)

獅白ぼたん> 過去ねぇ（それこそあたしにはすげぇ関係ないっていうかだけど）　ま、実際見てて思うのは、ガキ側多いのか、大抵2対1とかだもんね。正直ゲームのようであんまゲームになってないってんなら、他の不利ルームでいいじゃん？になりそうだしね   (3/13
22:47:43)

雪花ラミィ> ししろんはホラー大丈夫だからって、毎度のように名作ホラーが出てはラミィにやらせてー…ししろんの悪魔的ゲラ笑いが逆に恐怖を際立たせてるんだがアレ……！っと、ちょっと離席するーっ。お水持ってくるね。   (3/13 22:49:09)

エロガキ♂14C ◆> ガキ側が多いのは……まー、そーかもね。勝てばえっちな事できちゃうんだもん。おねーさんたちに勝負に出て来てまで僕たちエロガキに何かさせたい事があるんじゃなければ、ってなっちゃうだろーし。   (3/13 22:50:18)

獅白ぼたん> あはっは～♪ごめんごめん、アタシじゃああいうのないからさ～♪（人がビクッとしてるの、だけど安全な範囲で驚いてるの見るとつい笑っちゃう。）　あいよ～いってらっしゃい。（ま、ラミちゃん相手だからってことで、ごめんってね）   (3/13
22:50:30)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (3/13 22:50:52)

エロガキ♂14C ◆> ラミィおねーちゃん行ってらっしゃーい。さて、僕はそろそろおねんねの支度しよーっと。それじゃ皆、おやすみなさーい。   (3/13 22:52:50)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/13 22:52:54)

獅白ぼたん> と、そっちの子はお疲れ様～おやすみ～寝る子は育ってね～   (3/13 22:53:25)

エロガキ♂13Al> おやすみー。おっぱいを堪能して満足をしたようだ……。   (3/13 22:53:53)

エロガキ♂19b ◆> おやすみー！！いい夢見ろよ～？   (3/13 22:54:09)

エロガキ♂13Al> じっさいエロガキはだいたい楽しんでるけど、女の子からしたらエロガキをいじって楽しいかどうかがあるからなかなか入るのに勇気が要るかも知れない……？　遊んだことないエロガキがどんな反応するかよく分からないだろうし……。   (3/13
22:54:42)

雪花ラミィ> どっっせーーーーい！！あれ、おらんなっとるおつらみぃ〜。活発やったもんねー寝とけ寝とけーまたお話ししよねー。やっぱね、何事も活力を得るのは大事だと思うんだ。ラミィの場合はそれが飲み物だっただけで。   (3/13 22:54:59)

エロガキ♂19b ◆> このエルフ！！酒を持ってきやがった！！...   (3/13 22:56:37)

獅白ぼたん> 結局個性があるようでない相手でも楽しめるかどうかってことっしょ。　ま、言ってあたしは、勝ってもナニするか思いつかんしって意味で部屋に来ることをあれこれ迷ってたりするんだけどね。（ん～っと一度背伸びして、体ほぐし）   (3/13
22:56:52)

エロガキ♂13Al> 勝ったら一番好きなゲームの話をさせるとかでもいいんだけどゲームの話できなかった時に困るかもしれない……（正解はないのか……って顔）　同期の前でヤらしい姿を見せるのはイヤなのに酒を飲むのは平気なんですか！（ふつう）   (3/13
22:58:20)

雪花ラミィ> ラミィ専用冷蔵庫の中にただの水が入ってるワケないじゃろラミィにお水を取りに行かせた時点で負けなのよ！！（詰みゲー）ラミィはししろんがエッチなことされてるのを外から眺めて涙を流したいからほら（？）   (3/13 22:59:21)

エロガキ♂19b ◆> 外から眺めてないでラミィちゃんも参加しなよ...ちなみに思い付かない！ってこも結構遊びにきたりはしてる！...そしてガキ側に意見をもらって実行したりとか...   (3/13 23:00:43)

獅白ぼたん> ラミちゃんに見られながらか～……ぎゃくにあたしがラミちゃんと一緒に勝ったら、ラミちゃんに見ててもらってするの、あり？   (3/13 23:01:52)

エロガキ♂19b ◆> お互いの合意があればいいとは思う？   (3/13 23:02:39)

雪花ラミィ> お酒を飲んでししろんにダル絡みしてその反動で抑えが効かなくなったししろんにそのまま押し倒されてそのままなんかそのままちゅーされたりきゃーーー♥（妄想捗りエルフ）   (3/13 23:02:53)

獅白ぼたん> そういえば、みんなから、アタシの右のって見られる？（画像１枚）   (3/13 23:03:19)

エロガキ♂13Al> プロフに貼ってあるURLを辿るのはけっこう大変だった気がする……！   (3/13 23:03:58)

エロガキ♂13Al> お互いに需要があるならお互いにエロガキにされちゃってるところを見合えばいいと思います！（投票）   (3/13 23:04:34)

獅白ぼたん> あたしのほうが抑えられなくって……ラミちゃんの中であたし、けっこう情熱的なかんじ？そういうのも嫌いじゃないけど……あたしの方が脱ぎ冗語だったりしたら？（飲んだらあれるぞ～みたいな）   (3/13 23:05:06)

エロガキ♂19b ◆> 見れた見れた酒のんでんなぁ！？   (3/13 23:05:14)

獅白ぼたん> 何言ってんの？   (3/13 23:05:50)

獅白ぼたん> 麦茶麦茶♪   (3/13 23:05:56)

エロガキ♂13Al> 高級そうなボトルに入った麦茶もあるんだなー！（大きい声）   (3/13 23:06:53)

エロガキ♂19b ◆> ねー！！まぁ麦茶ってことにしておいてあげよう～！！   (3/13 23:07:10)

獅白ぼたん> それに、ラミちゃんが飲んでるのに、アタシがそれっぽく見えないと申し訳ないじゃん？   (3/13 23:07:40)

雪花ラミィ> サラッとラミィも綺麗に巻き添えにする結果を提示したな……。いやほらライオンだから的なアレもあったけど、もしそうならそれはちゃんとししろんをお布団で寝かせたあとにそのまま（自主規制）で（自主規制）が（自主規制）になるからよ…！！   (3/13
23:07:53)

獅白ぼたん> あ、あっはっは♪ぎゃくに、ラミちゃんマジがっつり襲う感じ？あたしはそれでも全然OKだけど……その場合、ラミちゃんが悪ガキになってくれる感じ？（けらけら笑って、ばしんばしん太もも叩いて、麦茶で上機嫌ぎみに）   (3/13 23:09:18)

エロガキ♂19b ◆> まぁいいや...ラミィちゃんが悪がきになるところ、、簡単に想像できちゃった...   (3/13 23:10:56)

雪花ラミィ> いや言ってない言ってない自主規制で言ってないからあ！自主規制の内容も考えてないからあ！バカバカ本気で言うわけねぇだろぉて！？ラミィ、男の子になったことないからなあ……そもそも接し方がほら、分からんなっちゃう（）   (3/13 23:11:42)

エロガキ♂13Al> 何してるかぜんぜん分からないから実践してもらっていいですか！   (3/13 23:12:02)

エロガキ♂13Al> この女児服を着ればすぐにエロガキ♀になれるよ！　ほら水玉ピンクのスカートとか履いて……ピッチピチじゃねえか！   (3/13 23:12:36)

獅白ぼたん> アタシは、別にラミちゃんとかに襲われる分には全然ありだよ。ま、エロガキ君、悪ガキ君が入る余地がなくなっちゃうから、部屋的に困ったもんだけど♪ってか、ラミちゃんもやっぱ受けメイン？この部屋に顔出すくらいだから、アタシも割とそっちなんだけど、一応攻めもできなくないよ～ってね
  (3/13 23:13:24)

獅白ぼたん> アタシの方が、普段のムーブは悪ガキそうでいたずら気質あると思うけど、ラミちゃんだと想像できたんだ……ほほぉ？　と、実践もなにも、ここって過剰なボディタッチダメとかじゃなかったっけ？（ガキンチョからリクエストが……）   (3/13
23:14:40)

エロガキ♂19b ◆> ここのラミィちゃんとは長いから...ほんのりと想像はでけた！ここは過度なのはダメだね～、過度なボディタッチが許されるのは罰だけ！！   (3/13 23:16:05)

雪花ラミィ> こんなキリッと顔して可愛いライオンなのが悪いよお！ギャップだよラミィの同期がかわいすぎゆ！（限界化）受けメインって言いますか攻めたことがあんまないと言いますか…まぁ場数はアレだから攻めやれ！って言われたらできるとは思うけどぉ…！   (3/13
23:18:51)

エロガキ♂13Al> つまりチャンスがあると思ったら遊びに行かないとボディタッチはできない……こうしている間にも夜の時間は進んでるんだよ！   (3/13 23:20:41)

獅白ぼたん> そだよね。ここでのラミちゃん、人気高いみたいで羨ましい限り。っても、会話力高いけどアタシは見てて攻めっけが実は見えてないんだよね（あたしも受け好きだから、だけど）　いいよ、ラミちゃんの実験台とかでもあたしは全然かまわんから、誘ってくれる時はどうぞ♪（その代わり気持ちよくお願いね～♪）
  (3/13 23:21:18)

エロガキ♂19b ◆> 女の子同士のイチャイチャも実はあったりするから...俺はそういうのを見るのも好き！   (3/13 23:22:06)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (3/13 23:22:38)

雪花ラミィ> ……ん゛ん、よぉ、ほらぁ、よぉ、……おい……（精一杯のイケボ）実験台にするかーー！同期をバカがよー！好きなお酒談義から入るよ！（）   (3/13 23:23:07)

エロガキ♂13HL ◆> こんばんは〜超久しぶりに来た〜   (3/13 23:24:02)

