/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月19日 16時06分 ～ 2024年11月21日 03時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> おはようエロガキ君。このテープは自動的に爆発する！   (2024/11/19 16:06:21)
ヒシミラクル> いいですともー♪わたしは気前のいい女ですからねー♪(一口千切ってー）さぁ、とってきなさい！ポチー！(ぴょーいっとどっかにちぎったどら焼きを投げるフリ)   (2024/11/19 23:52:32)

エロガキ♂19b ◆> ほほう💢....そんなことをするのかぁ....いい度胸じゃないかミラ子...   (2024/11/19 23:53:27)

ヒシミラクル> なーんちゃって、はっはっはー♪欲しかったら３べん回ってワン！と言ってください！(完全にメスガキムーブで調子こき始めるミラ子)   (2024/11/19 23:54:25)

エロガキ♂19b ◆> 💢💢...お兄さんを舐めたことを後悔するといい！！   (2024/11/19 23:55:02)

エロガキ♂19b ◆> (1.　さすがに良心が痛む、チョップ1回で我慢しよう。2.　半分食べちゃいます！3.　全部食べます！)   (2024/11/19 23:55:46)

エロガキ♂19b ◆> 1d3 → (1) = 1  (2024/11/19 23:56:07)

ヒシミラクル> (もう、すぐ筋肉で解決しようするんだから！)   (2024/11/19 23:57:10)

エロガキ♂19b ◆> 💢💢....はぁ...わかったわかった、、すればいいんだろ？(ミラ子に近づき目の前で３回、回転し)チェストォォォォ！！(全力のチョップを脳天にお見舞いして)   (2024/11/19 23:57:23)

ヒシミラクル> ぐええぇーーっっ！？！？   (2024/11/19 23:57:46)

ヒシミラクル> い、いたひ……(脳天にでっかいたんこぶ、両手で押さえて思わずうずくまる)   (2024/11/19 23:58:22)

エロガキ♂19b ◆> お兄さんをからかうもんじゃないぞミラ子...危うく手がでるところだったじゃないか(ニヤニヤ)   (2024/11/19 23:58:39)

ヒシミラクル> なっ、何で3回も叩くんですか！？打ちどころ悪かったら死んじゃいますよっ！？   (2024/11/19 23:59:02)

ヒシミラクル> もう手出してますけど！！！まんま！手！！   (2024/11/20 00:00:03)

エロガキ♂19b ◆> そのときはそのとき考える！それにミラ子なら大丈夫でしょ...あぁ、、ごめんごめん！無意識にでちゃったみたいだな   (2024/11/20 00:00:41)

ヒシミラクル> 耐えられるって話なだけで痛いことには変わりないんですからね！？(わたしはともかく、ほかの女の子にはしちゃだめですよー、めっ)ふううぅ…19bちゃんに叩かれたのでどら焼きを食して体力回復しなければ！   (2024/11/20 00:02:27)

エロガキ♂19b ◆> 叩いたのはミラ子がはじめてだ...誇るがいい！まぁ、、俺のなかでさっきは犯すか叩くかで0.2秒ぐらい迷ったんだけどね～。あ、ハチミーいる？   (2024/11/20 00:03:54)

ヒシミラクル> 嫌ですよそんな不名誉な初めてなんて！どっちに転んでも悲惨な目に遭うんですねわたしっ！んー、はちみーはちみー…いります！(お皿をお借りして取り分けて、ちゃんと19bちゃんの分も分けてあげますよー)   (2024/11/20 00:05:48)

エロガキ♂19b ◆> どうぞ～..固め濃いめ多めだよー(ハチミーをミラ子の前において)   (2024/11/20 00:06:30)

エロガキ♂19b ◆> だってねぇ...あんな簡単に潮吹いてイクイクしてるミラ子をみちゃったら....苛めたくなるからね、、なんだかんだちゃんとどら焼はくれるんだね   (2024/11/20 00:07:27)

ヒシミラクル> あ、ありがとうございます〜。はちみーはちみーはちみー…はちみーをなめるとー♪   (2024/11/20 00:08:03)

エロガキ♂19b ◆> どこぞのテイオーが浮かんできそうだな...流行ってるん？(どら焼バクバク)   (2024/11/20 00:08:39)

ヒシミラクル> (咥えたどら焼きをブーっと噴き出して)けふん！あ、あれは…あんな激しくされたら、誰でもそーなります！わたし1人だけでスイーツを楽しむようなそんな冷たい女に見えますかっ？   (2024/11/20 00:09:25)

ヒシミラクル> 一時期流行ってた気がしますねー   (2024/11/20 00:09:49)

ヒシミラクル> (10人分のでかさのどら焼きを持って表情キラキラ♡)ふわぁ……   (2024/11/20 00:10:38)

ヒシミラクル> あーーーーーーーん……♡   (2024/11/20 00:11:11)

エロガキ♂19b ◆> んー...見えなくもない！！んまぁ...どこぞの大食いよりはましだけどっ！っとさてさて...俺は少し行くところがあるからこれでいくな！後のどら焼はあげよう～(半分以上残ってるどら焼をミラ子に渡して)   (2024/11/20
00:11:25)

エロガキ♂19b ◆> すぐに帰ってくるかもしれないし、、時間がかかるかもしれない長く短い戦いに行ってくる！！   (2024/11/20 00:11:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 00:11:52)

ヒシミラクル> １：まるのみ　2：どんがらがっしゃーん！   (2024/11/20 00:11:54)

ヒシミラクル> ほぇ？ふぃっふぇらっしゃーひ   (2024/11/20 00:12:06)

ヒシミラクル> 1d2 → (2) = 2  (2024/11/20 00:12:10)

ヒシミラクル> ああああああああああああああああッッッッッッ！？！？！？！？(大きなお口開けて食べようとしたらそのまま後ろに倒れて椅子から転落し、どんがらがっしゃーーーーん！！！)   (2024/11/20 00:13:19)

ヒシミラクル> ああああああっ！？どら焼きが！！！どら焼きがぁぁぁあ！？！？！？   (2024/11/20 00:14:10)

ヒシミラクル> ん、むぐむぐ………(10人分の巨大どら焼きは床に落ちてお釈迦になりましたが、19bちゃんが残してくれた通常サイズのどら焼きは涙目で食べることができました…)   (2024/11/20 00:15:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 00:17:45)

ヒシミラクル> んがんぐ！？……んーー！！(少しどら焼きの一部が気管支にひっかかってむせる！0   (2024/11/20 00:17:51)

エロガキ♂19b ◆> 爆速帰還の19b、やっぱり雄の入り込む隙はないのだ。   (2024/11/20 00:18:12)

ヒシミラクル> んぇ？ほ、ほかえりりゃふぁい〜〜   (2024/11/20 00:18:24)

ヒシミラクル> 領域展開してる百合フィールドにでも弾かれちゃった…？   (2024/11/20 00:19:04)

エロガキ♂19b ◆> そうなんです...迂闊に近づいては行けなかった...だならミラ子を苛めます！   (2024/11/20 00:19:29)

ヒシミラクル> ただの八つ当たりですよね！？それっ！？   (2024/11/20 00:19:59)

ヒシミラクル> もうちょっとわたしに優しくしてください！しまいにゃ泣きますよ！   (2024/11/20 00:20:24)

エロガキ♂19b ◆> というわけで目の前でお好み焼きを作ります！！(お好み焼きセットをドン！！)   (2024/11/20 00:20:45)

ヒシミラクル> お、おおーっ！？意外な展開…？   (2024/11/20 00:20:59)

エロガキ♂19b ◆> ん？誰も食べさせるとは行ってないけど？   (2024/11/20 00:21:14)

ヒシミラクル> ええーっ！？じゃあ何で作るんですか！？   (2024/11/20 00:21:45)

エロガキ♂19b ◆> 嫌がらせ！！...こちらをご覧ください...あらかじめ用意しておいた塩コショウをすった豚肉と荒く刻んだキャベツです   (2024/11/20 00:22:51)

ヒシミラクル> うわーーー！仁義なき飯テロタイムだーー！わたしがドラちゃんだったら、ちきゅうはかいばくだんをあなたに投げつけてやりたい！   (2024/11/20 00:23:27)

エロガキ♂19b ◆> そして、またまた用意しておいたお好み焼きの生地の中にキャベツや青のりをいれてかき混ぜていきます。   (2024/11/20 00:23:55)

ヒシミラクル> お好み焼き奉行であるこのわたしに、深夜のお好み焼きクッキングを見せつけるなんて！   (2024/11/20 00:24:34)

エロガキ♂19b ◆> そして！！熱しておいたこの、、なんか広いやつに生地をダバァァ！！   (2024/11/20 00:25:13)

ヒシミラクル> 青のりの代わりにカイエンペッパーを仕込んでやりたいですよ！   (2024/11/20 00:25:22)

ヒシミラクル> (たまにひっくり返すのしくじる人いるよね)   (2024/11/20 00:25:57)

エロガキ♂19b ◆> そして上から紅しょうがと揚げ玉を少々....さらにこの上に豚肉を乗せて...(ジュワァァと焼く音といい匂いを響かせて)   (2024/11/20 00:26:29)

ヒシミラクル> ぐぅぅぅ〜……憎たらしいほどいい香りです…   (2024/11/20 00:26:57)

エロガキ♂19b ◆> そして...ここが見せ所！！いい感じに焼けてきたら、、このヘラで...ひっくり返す！！(1.成功2.失敗)   (2024/11/20 00:27:52)

エロガキ♂19b ◆> 1d2 → (1) = 1  (2024/11/20 00:27:59)

ヒシミラクル> おぉぉ、手慣れてる…！(ここは素直に拍手)   (2024/11/20 00:28:19)

エロガキ♂19b ◆> 成功した自分に驚きながらこっちも焼いて～...いい感じに焼けたらこれをお皿に移して～...   (2024/11/20 00:29:08)

エロガキ♂19b ◆> ソースをかけるんだけどせっかくだし遊び心を....(1.ミラ子の顔2.トレセン学園のロゴ)   (2024/11/20 00:30:41)

エロガキ♂19b ◆> 1d2 → (1) = 1  (2024/11/20 00:30:56)

ヒシミラクル> まさかこの男……伝説のソースマイスター！？   (2024/11/20 00:31:12)

エロガキ♂19b ◆> これで完成！！ほんとはマヨネーズをかけてもいいけど、、ここまで完璧な絵を描けたらこれでいいでしょう！...ほしい？(ニコニコ)   (2024/11/20 00:32:04)

ヒシミラクル> うまっ！食べるのもったいなくなると思うくらい、うまっ！！   (2024/11/20 00:32:16)

ヒシミラクル> マヨネーズならわたしの髪を描く時にいい感じになる？(うにゅーってほら)   (2024/11/20 00:32:53)

ヒシミラクル> ほしいです！！   (2024/11/20 00:33:10)

エロガキ♂19b ◆> ほほう....センスがいいな。太るかも知れないけどそれでもほしい？(パタパタあおいで匂いをミラ子の方に)   (2024/11/20 00:33:40)

ヒシミラクル> 攻め方がいやらしい！？匂いで釣る作戦ですか！？…そりゃ欲しいですよー！わたしお好み焼きメチャすこウマ娘ですし〜   (2024/11/20 00:34:44)

エロガキ♂19b ◆> なら差し上げよう～俺は優しいからね！(ミラ子にお好み焼きを差し出し)   (2024/11/20 00:35:16)

ヒシミラクル> いいんですかっ？あ、ありがとうございます…(素直に喜んで受けとりふわふわ笑顔〜)   (2024/11/20 00:36:00)

エロガキ♂19b ◆> お兄さんはそこまで鬼では無いからね～存分に食べるといい！(肩肘ついてニコニコ眺め)   (2024/11/20 00:37:02)

ヒシミラクル> わーい！いただきまーーっすぅ♡(満面の笑顔でお好み焼きをお箸でひとつまみ……食べてみて)おぉ、中までよく焼けてます！   (2024/11/20 00:38:07)

エロガキ♂19b ◆> それはよかった...よし、、んじゃ俺は1日数個限定のシュークリームを...(モグモグ)   (2024/11/20 00:39:14)

ヒシミラクル> それはそれで美味しそうで羨ましいんですけどっ！お好み焼きがメチャスゴで美味しいので釣られてないんですからねっ！   (2024/11/20 00:40:41)

エロガキ♂19b ◆> ミラ子が食べてて俺が何も食べないのは不公平だからな！んま...手作りのお好み焼きに免じて見逃して～(ケラケラ)   (2024/11/20 00:41:41)

ヒシミラクル> まぁそれはそうとしてですね…19bちゃんも一口食べてみたらどうでしょ？おいしーですよ？(お箸に一口つまんで近づけて、あーん♡して？みたいなー)   (2024/11/20 00:42:29)

エロガキ♂19b ◆> ほうほう...なら遠慮無く貰おうか(口を開けて、あーんといってみて)   (2024/11/20 00:44:27)

ヒシミラクル> (ぽひーっとお口の中へお好み焼きを放り込む)   (2024/11/20 00:44:53)

ヒシミラクル> 1：肉だ　2：紅生姜だ   (2024/11/20 00:45:39)

ヒシミラクル> 1d2 → (1) = 1  (2024/11/20 00:45:42)

エロガキ♂19b ◆> んっ...まぁ、悪くはないな(モグモグ)そして俺は理解した...これただイチャイチャしてるだけじゃね？   (2024/11/20 00:45:49)

ヒシミラクル> (ぷりぷりのお肉でした)   (2024/11/20 00:45:55)

エロガキ♂19b ◆> (偶然にもレスが噛み合ったことに涙が止まらない)   (2024/11/20 00:46:14)

ヒシミラクル> そうですか〜？楽しくお食事会してるだけですよ〜〜♡   (2024/11/20 00:46:32)

ヒシミラクル> (空気を読むダイスちゃん…)   (2024/11/20 00:46:57)

ヒシミラクル> (19bちゃんが紅生姜好きだったらそこまで苦でもない説)   (2024/11/20 00:47:29)

エロガキ♂19b ◆> そうかねぇ...まぁいいけど、、さてミラ子！ごはん食べたら運動するのが自然な流れよな？   (2024/11/20 00:47:57)

エロガキ♂19b ◆> (単体はさすがにきついっす)   (2024/11/20 00:48:10)

ヒシミラクル> うん？……うんっ？   (2024/11/20 00:48:14)

ヒシミラクル> (そりゃそっかー)   (2024/11/20 00:48:22)

エロガキ♂19b ◆> 1発どうすか？(ケラケラ笑いながら手で輪っか作って指を出し入れして)   (2024/11/20 00:48:56)

ヒシミラクル> ふゃええぇーーー！？！？   (2024/11/20 00:49:14)

ヒシミラクル> (は、ハメられた！って顔……否、物理的にハメられる！ってかお)   (2024/11/20 00:49:49)

エロガキ♂19b ◆> んまぁ、、勿論拒否して貰ってもいいけど...そのまま寝たらきっと太るだろうなぁ～、、明日の朝の体重計が楽しみになっちゃうなー(じー)   (2024/11/20 00:50:30)

ヒシミラクル> さ、策士…！なんという孔明の罠！！くぅぅ……美味しさに釣られてがっつり食べてしまいました…！(け…ぷぅ)   (2024/11/20 00:51:40)

ヒシミラクル> んんんーっ、勝負するってコトなんです？   (2024/11/20 00:52:05)

エロガキ♂19b ◆> 即ハメでもいいぞ？個室に連れ込むことになるけど、勿論勝負して遊んでもよし～！！   (2024/11/20 00:52:40)

ヒシミラクル> むむむっ、ならばこのお部屋の住人として勝負で決めさせてくださいっ！ま、負けたら……お好きにどーぞ///   (2024/11/20 00:53:57)

エロガキ♂19b ◆> よかろう！！それでは...連行します！(ガシッ)   (2024/11/20 00:54:23)

ヒシミラクル> (連行されます〜)   (2024/11/20 00:54:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 00:54:42)

おしらせ> ヒシミラクルさんが退室しました。  (2024/11/20 00:54:47)

おしらせ> ダヴィンチさんが入室しました♪  (2024/11/20 05:20:20)

ダヴィンチ> んーーー。眠れないから来てみたけれど……果たして人がくるのか……(ネグリジェ姿で大きく体を伸ばしながら持ってきたホットミルクを1口飲みつつ)   (2024/11/20 05:21:29)

ダヴィンチ> ……ネグリジェはさすがに寒いね。明日からはヒートテックにしようかな……でもあれピッチリのしか持ってないんだよね……悩んじゃう   (2024/11/20 05:28:28)

ダヴィンチ> うん。この時間はさすがに来なさそうだ。出直すとするよ。それじゃ   (2024/11/20 05:31:27)

おしらせ> ダヴィンチさんが退室しました。  (2024/11/20 05:31:29)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 07:41:59)

エロガキ♂19b ◆> んんっ...しまったなぁ...   (2024/11/20 07:43:59)

エロガキ♂19b ◆> 朝は基本みんないないよねぇ...   (2024/11/20 07:50:56)

エロガキ♂19b ◆> よし...もっかい待機してみよ   (2024/11/20 07:52:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 07:53:00)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/20 12:08:15)

エロガキ♂14C ◆> ……寒いっ！！！なんなの、なんでこんなに寒いの！？（ぶるぶる）   (2024/11/20 12:08:39)

エロガキ♂14C ◆> 風邪引いて熱でも出てるのかと思ったくらい寒く感じる。今年の冬もたくさん着込んであったかくしないとだ……こんにちは。   (2024/11/20 12:09:38)

エロガキ♂14C ◆> やっぱりこれだけ寒いと食べるものもあったかいの食べたい。お鍋とか、鍋焼きうどんとか、シチューとか。   (2024/11/20 12:12:04)

エロガキ♂14C ◆> ところでふとした気持ちでVな人たちの切り抜きを見た結果、youtubeのおすすめ欄が切り抜きまみれになって目がぐるぐるしてます。   (2024/11/20 12:16:21)

エロガキ♂14C ◆> おかしい……僕のyoutubeのおすすめ欄には変な生き物食べる人とか、車大好きなおじさんたちがバカやってるやつばかりだったのに……youtubeこわいよぉ……   (2024/11/20 12:19:27)

エロガキ♂14C ◆> そして寒くてお外に出たくない……着てたらあったかい服でも着てすぐはあったかくない……！   (2024/11/20 12:23:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 12:26:55)

エロガキ♂19b ◆> めしの時間だぁー！   (2024/11/20 12:27:20)

エロガキ♂19b ◆> こんにちはっと   (2024/11/20 12:27:27)

エロガキ♂14C ◆> 朝からお元気でしたね（棒）   (2024/11/20 12:30:04)

エロガキ♂19b ◆> 朝からすっぱりやりましたよ～...最高でした！   (2024/11/20 12:31:04)

エロガキ♂14C ◆> 改めてこんにちは。なんかイキイキしてるの見ると無性に蹴飛ばしたくなる衝動にかられるけど、理不尽な暴力はダメだから我慢しよ。   (2024/11/20 12:32:06)

エロガキ♂19b ◆> そりゃあ...朝からアフターまで行って最後までできたらイキイキしちゃうよね～。お兄さん今日の授業も珍しく集中するぐらいにはやる気が出たよ   (2024/11/20 12:33:20)

エロガキ♂14C ◆> （朝からって昨夜もなんだかんだ遅くにしてたよね、元気だなあ）   (2024/11/20 12:34:52)

エロガキ♂19b ◆> (昨夜のは...ミラ子が悪いので...目のまで巨大などら焼なんて自慢するから！！)   (2024/11/20 12:35:43)

エロガキ♂14C ◆> 19bは年齢的に1番エロガキから外れそうな歳なのに、ある意味1番エロガキらしい立ち振る舞いなのが面白い。あとそれただの口実でしょ。（じとー）   (2024/11/20 12:36:47)

エロガキ♂19b ◆> 心はいつまでも子供なのさ！！よして自分の欲に忠実だからね...そうだよ口実だよ！！(開き直り)   (2024/11/20 12:38:00)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/11/20 12:39:33)

エロガキ♂14C ◆> （安西先生のあの画像貼りたくなるのをぐっと堪える）ヤンキーのガン飛ばしてんじゃねえよくらい理不尽な言いがかりだよねー。ま、僕らエロガキはそれくらい理不尽におねーさんたちをゲームに引っ張り出すのがいいのかも。   (2024/11/20
12:39:41)

