/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月01日 11時59分 ～ 2024年12月04日 23時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ナリタトップロード> 地獄じゃないじゃないですか！   (2024/12/1 11:59:26)
エロガキ♂13uc> タヒぬってなんか珍しい言い方だね。　ま、麺類はおいしいけど、俺はうどんもいいけどやっぱラーメンかな？   (2024/12/1 12:07:06)

エロガキ♂19b ◆> 蕎麦作ります！！   (2024/12/1 12:07:21)

エロガキ♂15R ◆> 蕎麦の実を育てるところからっ！はいっ！頑張ってくださいっ！   (2024/12/1 12:07:55)

ナリタトップロード> どれもおんなじくらい好きですね。ラーメンは美味しいんですが、その後のトレーニング量も増し増しになっちゃうのが玉に瑕ですね！   (2024/12/1 12:08:22)

ナリタトップロード> 蕎麦食べるのに何ヶ月かかるんでしょう！？   (2024/12/1 12:08:41)

エロガキ♂19b ◆> それじゃ、お昼も決まったことだし作るためにもいってきます！！さすがに、買ったやつがあるからそれを使うよ！？...サラダバー！！   (2024/12/1 12:09:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/1 12:09:12)

ナリタトップロード> いってらっしゃいませ！   (2024/12/1 12:09:30)

エロガキ♂15R ◆> いってらっしゃいませ〜！   (2024/12/1 12:09:37)

エロガキ♂13uc> ボケお兄ちゃんお疲れ様～   (2024/12/1 12:09:51)

ナリタトップロード> うどんにネギと揚げ玉どのくらい乗せます？私、富士山のようにたくさん盛ってしまうのですがっ！   (2024/12/1 12:10:35)

エロガキ♂15R ◆> ぼくはネギだけ山盛りにしますっ！揚げ玉は少しだけっ！   (2024/12/1 12:12:26)

エロガキ♂13uc> ねぎはよく入れる、一つまみってかひと握り？　揚げ玉より俺はわかめと七味欲しいかな   (2024/12/1 12:12:52)

ナリタトップロード> ネギ山盛り派は皆さん同じなんですね。あー、わかめも…！想像したら食欲が、食欲が…！   (2024/12/1 12:13:59)

エロガキ♂15R ◆> 揚げ玉少しの代わりに◯亀うどんさんの野菜かき揚げトッピングですっ！   (2024/12/1 12:14:23)

ナリタトップロード> かき揚げ美味しいですよね〜、花●るさんだと、磯辺揚げや唐揚げも美味しくて…あぁ…   (2024/12/1 12:15:20)

エロガキ♂13uc> 揚げ玉って多く入れると汁が飲みにくくなることもあるから、俺は入れるの少な目だね。ねぎは味が……なんていうかよくなるから？引き締まるから少し多め派   (2024/12/1 12:15:26)

エロガキ♂15R ◆> それとおにぎりっ！かけうどんのおつゆじゅわっ〜させて…っ！うどんと揚げ物はやはり正義っ！間違い無いですっ！   (2024/12/1 12:16:37)

ナリタトップロード> 私の場合は変かもしれませんけど揚げ玉をうどんに少々、溶け込んだ揚げ玉をご飯に混ぜて、醤油を少し落としてから食べるのが好きで〜   (2024/12/1 12:17:46)

エロガキ♂13uc> うどん雑炊みたいな？　それなら俺は卵とごま油かな（うどんの後の汁にご飯入れるなら   (2024/12/1 12:18:51)

エロガキ♂15R ◆> なんですかそれっ…！？美味しそうっ…じゅるりっ…あぁ…もうダメっ！お腹空きましたっ…！……行ってきますっ！   (2024/12/1 12:19:25)

ナリタトップロード> 汁をあまり入れない感じですね、雑炊みたいな食べ方も美味しそうですがっ♪   (2024/12/1 12:19:32)

ナリタトップロード> ぜひお試しをー！いってらっしゃいませ！   (2024/12/1 12:19:48)

エロガキ♂13uc> 15Rもお疲れ様～   (2024/12/1 12:20:22)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/1 12:20:27)

ナリタトップロード> (ぐきゅるるる〜)   (2024/12/1 12:20:52)

エロガキ♂13uc> 遊びに来たけど……お姉ちゃんも性欲より食欲って感じかな？   (2024/12/1 12:21:23)

ナリタトップロード> ああっ、ダメです！この手のお話にはすごくすごい弱い私なんです！   (2024/12/1 12:21:40)

ナリタトップロード> はい、すみません！私も行ってきます！美味しいうどんが私を待っています！お邪魔しましたっ！   (2024/12/1 12:22:10)

おしらせ> ナリタトップロードさんが退室しました。  (2024/12/1 12:22:16)

エロガキ♂13uc> ウマのお姉ちゃんってよく食べるみたいなのあるよね。（タマモとか一部小食な子は要るっぽいけど   (2024/12/1 12:22:18)

エロガキ♂13uc> は～い、お疲れ様。　ま、こういう日もあるよな～（はふぅ、残念）   (2024/12/1 12:22:44)

エロガキ♂13uc> しゃーなし！オレも一回飯食ってくるかな   (2024/12/1 12:28:51)

おしらせ> エロガキ♂13ucさんが退室しました。  (2024/12/1 12:28:58)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/12/1 13:54:42)

エロガキ♂15R ◆> 帰還っ！(寄り道したけどっ！)   (2024/12/1 13:55:04)

エロガキ♂15R ◆> デザートにはまだ早かったみたい…3時のおやつタイムになったらまた行ってみよっ！   (2024/12/1 14:01:28)

エロガキ♂15R ◆> ほんとに走ってうどん食べに行ったらちょっと疲れちゃった……まあ、良い運動になりましたけどっ…！   (2024/12/1 14:03:48)

エロガキ♂15R ◆> んーっ…っと！身体ぽかぽかだぁ……気温も上がってきていい感じっ！冷える前にぬくぬくの服で暖かくしておこーっと   (2024/12/1 14:14:20)

エロガキ♂15R ◆> (見てるか分かりませんけど、勝負部屋の待機時間変わっています……それだけです……)   (2024/12/1 14:16:14)

エロガキ♂15R ◆> うん、暇だっ…！お昼までの盛り上がりは一体どこに…！やはり女の子…女の子が居ればっ！   (2024/12/1 14:21:51)

エロガキ♂15R ◆> 動いてないからか寒くなってきちゃった……！温かいお茶でも飲んで暖めなきゃっ…！   (2024/12/1 14:29:36)

エロガキ♂15R ◆> 一人で長居するのも…と思いましたし出ておきますっ！撤収っ！   (2024/12/1 14:32:23)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/1 14:32:29)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/12/1 15:39:24)

エロガキ♂15R ◆> 結局こっちに戻ってきちゃった……   (2024/12/1 15:40:57)

エロガキ♂15R ◆> 勢いで来ちゃった…、やっぱり抜けておきますっ！来てすぐですけど…撤収しますっ！   (2024/12/1 15:44:48)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/1 15:45:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/2 01:00:18)

エロガキ♂19b ◆> こんばんは～...日曜日の深夜って寝たくないんだよね、寝て起きたら月曜日がってもう月曜日なんですけどね！！...つらいぞー！！   (2024/12/2 01:01:06)

エロガキ♂19b ◆> 今日は悪い子はいなさそう～、いいこと？なのかもしれない！！   (2024/12/2 01:09:00)

エロガキ♂19b ◆> 待機しにいってみようか～...色々とやることも終わったことですしね！   (2024/12/2 01:25:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/2 01:25:31)

おしらせ> 銀狼さんが入室しました♪  (2024/12/2 12:10:29)

銀狼> おはよう...起きたら皆出掛けてるし   (2024/12/2 12:12:05)

おしらせ> キャットさんが入室しました♪  (2024/12/2 12:30:52)

キャット> 孤独に震える銀狼の目には割れ知らず涙が溢れるのだった…（朗読ナレーションを読み上げる）   (2024/12/2 12:31:26)

銀狼> おはよう...1人には慣れてるから並みだが溢れることは無いね後勝手に語らないでくれる？...おはようよりこんにちはのほうがいい？   (2024/12/2 12:32:55)

キャット> さすがに正午すぎたら昼なんじゃない？はろーこんにちは。（ひらひら手を振って台本をしまった）悲しい側面を強調しておいたら後世の人々が喜ぶと思って。   (2024/12/2 12:34:43)

銀狼> 私はいま起きたからおはようで問題はない。言いたいことはわかるけど私は悲しい物語よりハッピーエンドの方が好き。あなたはそういうのが好きなの？   (2024/12/2 12:36:30)

キャット> 自分を中心に銀河が回ってるって感じだなー。（ふふふ、と軽く肩を揺らして）何でもかんでもうまく行ったら読者が惨めになるじゃない？　悲しいところもないとねー。よっぽど子供向けならともかく。   (2024/12/2 12:38:47)

銀狼> 物語の途中で誰かが退場したりするのは賛成。でも最終的にはうまくいってほしい....でもここの考えは人によって異なるから。   (2024/12/2 12:42:18)

銀狼> そろそろお昼食べないとね...カップ麺でいいや。簡単に作れるし...   (2024/12/2 12:46:30)

キャット> どんどん登場人物が増えるばっかりじゃ活躍が埋まっちゃうからね。…なんだかいろんなところに刺し傷をつかってる気がしてきた。（防御コマンド）   (2024/12/2 12:46:50)

銀狼> 登場人物が多くて内容が薄くなるよりは適度に退場させていったほうがいいよね...そもそもそんなに出すなって話だけど   (2024/12/2 12:48:21)

キャット> ちゃんとした食べ物にしないと肌が荒れちゃうよー。野菜つけなさい野菜（おかんムーブ）いきなり100年飛んで登場人物総入れ替えぐらいがちょうどいいってことね！（極端）   (2024/12/2 12:51:24)

銀狼> 簡単に作れる方がいいよ...美味しいし。総入れ替えするなら別の物語と言うかシーズンになるんじゃない？よくある◯◯2みたいな？   (2024/12/2 12:53:19)

キャット> キャラクターが変わってもテーマの連続性ってものがあるのよー。（物語論を勝手に言いながら足を組んでゆらゆら）こっちからじゃ流石に食べさせることはできなさそーだし。まあ、何も食べないよりはいい…のかな。   (2024/12/2 12:56:50)

銀狼> ふーん...ならおすすめの物語はある？時間はたくさんあるからあるなら見てみる。そう...ここにいる私はホログラム...私自身は椅子に座っていまもカップ麺を食べてるよ。触ろうとしても通り抜けちゃうからね   (2024/12/2 12:59:19)

キャット> そりゃーもうアバロンの帝国年代記…じゃなくて。指輪物語の前日譚のチカラの指輪は良かったよ。後にホビットや指輪でやることの意味が深く感じられたね！……不思議な感じねー。さすがの私も実体がないものからは何も盗まないわ。   (2024/12/2
13:03:46)

銀狼> ありがと...後で確認してみるよ。触るように設定することはできるけど盗めるものはないんじゃない？他の人がいればその人から盗めばいいけど生憎と私たち以外は誰もいないみたいだしね   (2024/12/2 13:06:08)

キャット> 美形のエルフもたくさん出てくるしね！！！（大事）それって触ったところがあなたの実体にも伝わるの？…なかなか用途が想像しやすい機能だなー。（なるほどねー…と何やら訳知り顔）   (2024/12/2 13:10:21)

銀狼> 感覚はリンクしてないから伝わりはしない。でもしっかり見えてるから触ってるのはわかる...ちなみにホログラムだから身体も自由に弄れるよ。何かリクエストはある？   (2024/12/2 13:12:40)

キャット> 一方的に触るだけってことかー。反応がないとつまらないなー。（うーん、と腕組み。自然と胸を寄せて）えー、じゃあバニーガール♡（とりあえず言ってみるの精神）   (2024/12/2 13:15:41)

銀狼> 服装の指定をしてくるとは思わなかった...少し待ってね....(服装をバニーガール風に変えていき合わせて身体の大きさを調整)こんなかんじ...どう？想像に合うかな？(カジノで出てくるような衣装を着たバニーガールに変身完了～)   (2024/12/2
13:19:43)

キャット> えっ他に何かあった！？（ポーズや表情の話だったのかなって思いつつも、まあ聞いてくれるみたいだしいっか、って納得しておいた）おおー、いいんじゃない？サービス満点だよー。（うんうんって頷きながらホログラムの周囲を歩き回って姿を見つめ）  
(2024/12/2 13:24:41)

銀狼> まえに罰を受けたときは胸のサイズを大きくしたよ。確か...バスト186ぐらいまで大きくしたっけ....そ？満足してくれたならよかった。せっかく来てくれたのに何もサービスしないのはいくら私でもプライドが許さないかは   (2024/12/2
13:26:50)

キャット> はー。そりゃまた、なんというか。やっぱりあれ？スライダーを横に動かすとか大きくなるようになってるの？（キャラからみたいな？って空中で指を動かしながら）おー、そりゃすごい。あたしもせっかく忍び込んだら何かいただいてく主義だもんね。（違うね）  
(2024/12/2 13:29:15)

銀狼> そんな感じ...その為だけに作った訳ではないけど...結果的にそういう遊びに使うことが多い機能だね。さすがに大きさに合わせて身体も調整するけど...胸だけ大きくて他が元のままだとバランス悪いしそんなの私が許さない。   (2024/12/2
13:31:52)

キャット> あたしにはそれだけ大きい時の適切なバランスはわからないけど…いろいろ考えることがあるんだねー。（なんだか感心した表情）おー、本部屋に人が来たみたい？（双眼鏡を取り出してすちゃり）   (2024/12/2 13:35:14)

銀狼> ほんとだ...いく？私はホログラムだから...行くなら貴方になるけど   (2024/12/2 13:36:45)

キャット> ホログラムじゃ仕方ないか…（なんとなく納得した顔）うーん、人となりがわかればいいんだけど（ふーむぅ、の顔）   (2024/12/2 13:39:42)

銀狼> ここからじゃ若い...だけしかわからないからね。暇だし一緒に行ってあげようか？サイコロをハッキングするくらいならするよ   (2024/12/2 13:41:03)

キャット> ええー、それでさらに後から人が入ってきたらどうするのよー。あたしが2人相手にすることになっちゃうし…（観測中…）   (2024/12/2 13:43:48)

銀狼> 勝てばいいじゃん。貴方が負けたいなら話しは別だけど...万が一罰を受けることになったらそのときは私も受けてあげる...私自身に影響はないから   (2024/12/2 13:45:18)

キャット> 買っても何するかは考えないといけないんだよ！（自分勝手）はー、そこまで言うなら行ってみるかあ！   (2024/12/2 13:46:26)

銀狼> 始まるまえには合流するから先に行ってて...服装も戻さないと...   (2024/12/2 13:47:58)

キャット> はーい。（肩ぐるぐる）   (2024/12/2 13:48:42)

おしらせ> キャットさんが退室しました。  (2024/12/2 13:48:44)

銀狼> まさか本当に行くなんて...意外とチョロい？   (2024/12/2 13:51:05)

銀狼> 約束は守らないと。サイコロに細工してから...   (2024/12/2 13:52:02)

おしらせ> 銀狼さんが退室しました。  (2024/12/2 13:52:05)

おしらせ> 銀狼さんが入室しました♪  (2024/12/2 14:41:52)

銀狼> やっぱりこの身体だと参加が難しい...たまには動くべきかな   (2024/12/2 14:43:11)

おしらせ> キャットさんが入室しました♪  (2024/12/2 14:45:04)

キャット> ふー（やることやったーって額を拭う）   (2024/12/2 14:45:16)

銀狼> お帰り。勝ったはいいけど何であんなにサイコロ弱かったんだろう...(サイコロ弄って)   (2024/12/2 14:46:14)

キャット> ズルしようとするからじゃない？（くすくす）なんでか一度成立するとすぐに次が始まっちゃうねぇ。   (2024/12/2 14:47:36)

銀狼> 皆勝負は好きだからね...欲求不満できてる人もいると思うけど。私は面白いから来てる...負けても影響がないってもあるけど   (2024/12/2 14:49:04)

キャット> 下心あるくらいの方が可愛げがあると思うけどねー。…なしかに、体は安全そうだけど。立体映像でも男の子は喜ぶものなのかしらね。   (2024/12/2 14:51:39)

銀狼> それについては同感。ホログラムで興奮するならそれは異常...そろそろ動くべき？   (2024/12/2 14:52:47)

キャット> …でもおっぱい大きくする機能はつけてるんでしょ？（変態を喜ばせる趣味なんだね…って納得顔）あっ、次も勝負がつくかなー？   (2024/12/2 14:54:28)

銀狼> 次はガキ側が勝ったね。この機能はたまたまついたやつ。面白そうで弄ってた産物だよ   (2024/12/2 14:55:30)

キャット> 安全な場所から他人が罰を受けてるところを見ると安全を感じてより嬉しくなっちゃうね。（悪どい）   (2024/12/2 14:56:51)

銀狼> 今回は私たちは関係ないからね。でも私は貴方ほど歪んではないよ。様子見てみる？(パッと画面をだして)   (2024/12/2 14:58:50)

キャット> えー、あたしはちゃんと罰を与えてたでしょ？（ふつうだよーって言いつつ、人をダメにする系のクッションに体ごと座り込んで果樹園から持ってきたりんごをむしゃむしゃ）おー、これは便利だねー。   (2024/12/2 15:00:42)

銀狼> 便利でしょ？じゃあ一緒に....ごめん...カフカに呼ばれた...仕事の時間みたい。画面は残しておくから楽しんで終わったら自動的に消えるから。バイバイっ   (2024/12/2 15:02:19)

おしらせ> 銀狼さんが退室しました。  (2024/12/2 15:02:21)

キャット> ハッカーって忙しいんだねー。（またねーっと手を振って見送り）キスだけでいいなんて控えめな罰だね？（しゃくしゃく   (2024/12/2 15:03:18)

キャット> 奥手な子が多いのかしら。（ゆったりすわったままモニターに映る罰部屋の様子を眺めている）   (2024/12/2 15:09:11)

キャット> （罰なのに女の子側から要求してるような…と思ったけど、細かいことはいいっこなしだね！）   (2024/12/2 15:20:10)

キャット> あ、時間になっちゃった。これ以上見てるのは野暮になっちゃうかな。それじゃねー。   (2024/12/2 15:28:42)

おしらせ> キャットさんが退室しました。  (2024/12/2 15:28:46)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/12/2 15:38:15)

エロガキ♂15R ◆> こんにちはっ！   (2024/12/2 15:38:21)

エロガキ♂15R ◆> (なんだか悪いことしてた形跡があるなって顔)   (2024/12/2 15:41:06)

エロガキ♂15R ◆> よしっ…！観戦タイムっ！   (2024/12/2 15:48:04)

エロガキ♂15R ◆> もう終わっちゃった…！？   (2024/12/2 15:50:46)

エロガキ♂15R ◆> 試合展開が早い…！早すぎるっ…！   (2024/12/2 15:51:27)

エロガキ♂15R ◆> 早速やる事が無くなってしまいました……んー…どうしよっ   (2024/12/2 15:52:28)

エロガキ♂15R ◆> うーんと…人も居ないし抜けておこっ！さよならっ！   (2024/12/2 15:54:34)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/2 15:54:36)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/2 23:06:12)

エロガキ♂19b ◆> こんばんは～！！...誰もいないんですけどねー！！   (2024/12/2 23:06:30)

エロガキ♂19b ◆> みーんな明日のために早寝してるのかなぁ？...先行的！？   (2024/12/2 23:11:54)

エロガキ♂19b ◆> 先行的！？ってなんだよ...健康的だろうがぁ！！   (2024/12/2 23:15:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/2 23:17:34)

エロガキ♂14C ◆> なんか1人でぎゃーぎゃー言ってるのが見えて可哀想だったから来てみたよ。おねーさんじゃなくて悪かったね！こんばんはー。   (2024/12/2 23:18:11)

エロガキ♂19b ◆> やあやあ、それいつも俺が言うやつやない？でもきてくれたのは嬉いぞ～！！こんばんは   (2024/12/2 23:18:59)

エロガキ♂14C ◆> とはいえ野郎2人で話し込んでも面白みはないんだけどね！けど、流石にこんな時間じゃ来ないのも無理はないと思うなー？   (2024/12/2 23:20:44)

エロガキ♂19b ◆> 平日だしねー！！...明日も皆やることがあるだろうし寝てるんだろう...もしくは、、俺になんて用はない！！求めるはショタッ！！とか？   (2024/12/2 23:21:46)

エロガキ♂14C ◆> 僕は基本的に不規則だから来ない時は来ないし来る時は来るけどねー？まあ、19歳にもなるとガキかって言われると……あ、もしかして実年齢じゃなくてげふんげふん（視線逸らし）   (2024/12/2 23:23:20)

エロガキ♂19b ◆> そーれは秘密だなぁ...んま、学生だよ！(キラッ！)俺は毎回決まった時間に...いやそんなことないか、半分ぐらいいるな...いすぎでは？少し減らそ(n回目)   (2024/12/2 23:24:47)

エロガキ♂14C ◆> （精神年齢が、って言おうとしたのは内緒）ログをざっくり眺めるとあちこち茶色いんだよね……（遠い目）   (2024/12/2 23:25:53)

エロガキ♂19b ◆> 確かに茶色いねー...何でだろ？うん...減らすわまじで！お兄さんにも休息が必要ってことにすれば自然だな...もしくは...ホントに幼児退行するか？   (2024/12/2 23:27:19)

エロガキ♂14C ◆> 幼児退行までしたらそもそも10代ですらなくならないかなー！？   (2024/12/2 23:28:13)

おしらせ> 初音ミクさんが入室しました♪  (2024/12/2 23:28:57)

エロガキ♂14C ◆> あ、こんばんはーっ。はじめましてー！   (2024/12/2 23:29:38)

エロガキ♂19b ◆> 幼児退行は言いすぎた...10歳ぐらいまで若返って見るのもありかもしれない！！っと、こんばんは～   (2024/12/2 23:29:39)

初音ミク> なんかいると思って少しお邪魔〜…あー？もしかして愛瀬の邪魔だった？   (2024/12/2 23:29:43)

エロガキ♂14C ◆> 大きいおっぱい好きの僕は男の人とはそーいう関係になれないよ……！   (2024/12/2 23:30:37)

エロガキ♂19b ◆> ぜーんぜん。ただ話してただけだからね。この部屋には華が足りない！！そんなときに来てくれたのミクちゃんはほんと救世主～...   (2024/12/2 23:31:13)

エロガキ♂14C ◆> 19bにーさんが若返る……アホな子になりそう（ぼそっ）   (2024/12/2 23:34:14)

初音ミク> 華とかウケる！何ー？女っ気足りてないワケ？私とかそんなそんな綺麗な華でもないんじゃないかな。もう一人の子はおっぱい大きい人が好きなんだね。私とかマスターの好みに付き合わせられる分ダルいケド。（救世主にしてはダウナーすぎる格好してるけどねーって笑。）
  (2024/12/2 23:34:17)

エロガキ♂19b ◆> めちゃくちゃ綺麗よ～？これ以上の華はないぐらいにはね...そのパーカーもめっちゃ似合ってますし～...まぁ、あまりにも充分過ぎるね。完璧だよ完璧！100点中100億点位あげたくなるね(限界突破)   (2024/12/2
23:36:54)

エロガキ♂14C ◆> 男しかいなかったお部屋に女の人が増えたらそれは華だよねー……。マスターの好みに……大きさ可変？（すっとぼけ）   (2024/12/2 23:37:04)

エロガキ♂19b ◆> 昔の俺は...それはそれはやらかしまくりのアホの子だったで...   (2024/12/2 23:37:37)

エロガキ♂14C ◆> （今も大して……）   (2024/12/2 23:39:51)

初音ミク> 遊んでそうな口説き文句じゃん、女の子食べに来てるって感じ。まあ私なんて褒められたところでだけどさー。そーそ。小さいのから大きいのまで、好みはマスターの数だけあるからねー。（パーカーの中身？きてないかもよってケラケラ笑いながら裾摘んでギリギリまでたくし上げ）
  (2024/12/2 23:40:19)

初音ミク> つまりアホの子とおっぱい好きな子の溜まり場なの？   (2024/12/2 23:42:19)

エロガキ♂19b ◆> 実際食べに来てるからね～...ま、生憎とお兄さんの需要なんて欠片ほどもないからあれだし敗けが続くから食べれてないんだけどね！！畜生！...   (2024/12/2 23:42:24)

エロガキ♂14C ◆> 確かにたまーにおっきいミクおねーさんは見かけるねー。ルカおねーさんとタメはれるくらいおっきくなってるのとかも見るしっ。……ねーねー、これ暗に誘われてない？（裾たくし上げるのをじーっと見つめつつ）   (2024/12/2
23:42:46)

エロガキ♂14C ◆> その書き方だと僕までアホの子みたいになるよ！？   (2024/12/2 23:43:05)

エロガキ♂19b ◆> おっぱい好きな子は多いね～。俺がアホなのはいまに始まったことではないからなぁ...   (2024/12/2 23:43:33)

初音ミク> あは、負け込んでんの？サイコロなんだししょーがないじゃん？ダサいけど、次があるでしょ。あー？私だってそこそこあるでしょ、盛り過ぎなマスターには敵わないけど。あは、誘ってるけど遊べるほどじゃないんだよね。寝る前だったし（欠伸くぁ、と漏らし。裾更にあげれば下着くらいは履いてる、色は想像に任せるけどさすがにいつものバニースーツは着てなかった）
  (2024/12/2 23:47:10)

エロガキ♂19b ◆> ナチュラルにダサいっていわれた！？(1ダメージ)な～んか最近ずっとサイコロの出目悪いんだよね～、そろそろ調子が戻るといいんだけど...っと、眠いなら寝なよー？どこかの誰かさんみたいに寝落ちしないためにもね～   (2024/12/2
23:49:05)

エロガキ♂14C
◆> 僕的には挟めるくらいの大きさはないとなんだよね、てへへ、ってなーんだ、寝る前なら遊べないねー？折角日照り続きな19bおにーさんのオアシスになるかなーって思ったのに。（ちらり、見える下着に大胆なおねーさんだなー、って少し感心しつつ釣られて欠伸漏らし。）  
(2024/12/2 23:50:44)

エロガキ♂19b ◆> お、何だー？二人揃って眠いのか～？...いいこは寝る時間ですよ～、、ここから先は！悪い子の時間だ！みたいなね～(ケラケラ)   (2024/12/2 23:52:38)

初音ミク> そんな時もあるでしょ、イカサマでもしなきゃずっと勝ってるなんてのも無理だし。そんなの許されるとも思わないけどー、勝負は公平なくらいが面白いでしょ。寝落ちはしないって、そういう場所でもないし？挟めるかぁ…頑張ればいけるんじゃなお？完全に包めないとってんなら無理かもだけど。あは、ごめんねー。今からシたとして多分満足いく結果にはならないと思うし
  (2024/12/2 23:54:00)

エロガキ♂14C ◆> 眠くはないけど欠伸って釣られるし。あと寝落ちはしないよ、危ないと思う時はちゃーんと落ちるし。包まれる方が好きだけど、挟んで貰えるだけでも僕は嬉しいかなーっ♪ま、またの機会だねー。   (2024/12/2 23:55:45)

エロガキ♂14C ◆> 僕は添い寝相手探しにダメ元ゲーム部屋凸してくるよー！じゃあねー！   (2024/12/2 23:56:21)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/2 23:56:28)

エロガキ♂19b ◆> ミクちゃんとやるときまでには調子を戻しとかないとなぁ...公平な勝負、、大事大事！一方的とか面白くないしね～公平でギリギリの勝負が一番燃える～   (2024/12/2 23:56:29)

エロガキ♂19b ◆> いってらっしゃい～...大体こういうときは来ると思う！！お兄さんの適当な勘がそういっている！！   (2024/12/2 23:57:09)

初音ミク> 血気盛んだねー？てらっしゃい…今添い寝相手探しにって言った？いろいろあるね。   (2024/12/2 23:58:16)

エロガキ♂19b ◆> 14cはいつもこの時間は添い寝相手探しにいってるイメージだよー...羨ましいようなそうでもないような？   (2024/12/2 23:59:53)

