/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 10時19分 ～ 2024年11月13日 22時03分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ソフィナ・ブリビア> 悪いことしそうだから＞１５   (2024/11/13 10:19:00)
花海佑芽> それだけでも随分やりやすくなりそうです！＞経験済みは表で一貫   (2024/11/13 10:52:15)

エロガキ♂19H> 奥が深いな…   (2024/11/13 10:52:24)

エロガキ♀15kb> なので、表で恋仲を宣言したなら継続するかもですが（基本NGですけど）　個室で宣言、約束などは個室限りと思ってアタシは動きますね   (2024/11/13 10:53:01)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/13 10:53:10)

胡桃 ◆> やっほー！   (2024/11/13 10:53:21)

花海佑芽> 先生！　アフター部屋は個室のうちに入りますか？   (2024/11/13 10:53:31)

エロガキ♂19b ◆> 胡桃ブラックちゃんだ～、やっほー！   (2024/11/13 10:53:34)

エロガキ♀15kb> あ、胡桃さんだ～（お尻揉んじゃいますよ～♪）   (2024/11/13 10:53:41)

花海佑芽> おはようございます！   (2024/11/13 10:53:49)

エロガキ♀15kb> アフターは皆さんに見える場所なのでそっちはオープン扱いでアタシは動きますね～   (2024/11/13 10:54:02)

胡桃 ◆> 個室のうちには入りません！(表と裏の差、)   (2024/11/13 10:54:08)

胡桃 ◆> 入って早々に私のおしりが危ない、   (2024/11/13 10:54:26)

花海佑芽> じゃあ裏はまだ入ったことないです！   (2024/11/13 10:54:49)

エロガキ♀15kb> 要するに、皆さんがログを同じく確認できるかどうかが重要で、個室は公開でアレ非公開であれ、ログを補完できる当事者以外は確認できないって話です   (2024/11/13 10:55:03)

胡桃 ◆> そうそう、表の恋仲どうのって話だけどそれに関して基本的にNGなのは私からも釘を打っておこうかな、念の為にね。   (2024/11/13 10:56:24)

エロガキ♀15kb> 目を覚ませ、フータオのお尻が何者かに狙われてるぞ～♪   (2024/11/13 10:56:29)

ソフィナ・ブリビア> ごめんなさい　ちょっと限界来ちゃったんで、このへんでごめんなさいね   (2024/11/13 10:57:03)

おしらせ> ソフィナ・ブリビアさんが退室しました。  (2024/11/13 10:57:06)

エロガキ♀15kb> あ、ソフィナさん、お疲れ様です。   (2024/11/13 10:57:20)

胡桃 ◆> いってらっしゃい？それともおやすみなさいとか？   (2024/11/13 10:57:29)

エロガキ♂19b ◆> お疲れさま～！   (2024/11/13 10:57:30)

花海佑芽> おつかれさまでした   (2024/11/13 10:57:31)

エロガキ♀15kb> 正直やりたい人も中にはいるんでしょうけど……表で恋仲とか隷属関係持ち出すと、違う人にも同じことできなくなるというか……   (2024/11/13 10:57:56)

胡桃 ◆> シチュエーションとしてその1回きりにするしかないんじゃないかなぁ。私もこの前そういうプレイ？ごっこ？求められてたし。   (2024/11/13 10:59:04)

花海佑芽> そのほうがやりやすそうですよね＞NG   (2024/11/13 10:59:36)

エロガキ♀15kb> Aさんと恋仲の人がBさんと対戦して、Bさんとプレイした場合に、受けた側は遊び感覚でもAさんはよく思わない可能性がありますからね。AさんとBさんの不仲を生む可能性があるので……そうなると必然Aさん以外と関係を持つなという話になり始めちゃうので、表での恋仲、隷属、占有宣言に近いのってかなりリスキーですからね
  (2024/11/13 10:59:43)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/13 11:01:39)

花海佑芽> 来る前のイメージよりも男子と女子の距離感が近くて結構びっくりはしてます   (2024/11/13 11:01:42)

星 ◆> おはｙ……、（時計ちら、）……こんにちは？   (2024/11/13 11:01:54)

胡桃
◆> 悪い言い方かもしれないけど、特定の相手に唾つけて対戦すること自体があまり良くないことではあると思うよ。単純に負けたとに対する仕返しってことで、勝負しに行って指名するのはまだわかるし。ここでの会話の流れでそうなるのはまだしもね〜。(※お気に入りの相手ができるのは仕方ないとして、それを露骨に表現しないってこと。)
  (2024/11/13 11:02:17)

エロガキ♀15kb> 近くて～というか、サイコロで負けただけでレッツ乱交ですからね～　あ、BBし……じゃなくて星さんこんにちは～   (2024/11/13 11:02:24)

花海佑芽> おはようございます！（業界のお約束）   (2024/11/13 11:02:42)

胡桃 ◆> やっほ〜。   (2024/11/13 11:02:54)

エロガキ♂19b ◆> 星ちゃんこんにちは～。今日も可愛いね～   (2024/11/13 11:02:57)

星 ◆> キタサンさぁ……！（いちいち気恥ずかしくなるからやめて！）   (2024/11/13 11:03:02)

エロガキ♀15kb> あはは～すみません、ついつい、わざとでして（どっちかな？）   (2024/11/13 11:03:41)

星 ◆> うん、おはよう。……、（デッカ、ママかな。いや流石にだめか、）   (2024/11/13 11:03:56)

エロガキ♂19H> すみません一旦抜けますね   (2024/11/13 11:04:27)

エロガキ♂19H> お疲れ様でした   (2024/11/13 11:04:32)

胡桃 ◆> お疲れさま！   (2024/11/13 11:04:38)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/13 11:04:41)

エロガキ♀15kb> は～い、お疲れ様でした～   (2024/11/13 11:04:44)

花海佑芽> おつかれさまでした   (2024/11/13 11:04:49)

エロガキ♂19b ◆> お疲れさま～！   (2024/11/13 11:05:07)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 11:05:32)

星 ◆> 改めてこんにちは、19Ｈはばいばい。（そそくさと入口空けて。ソファ（定位置）へ、この世のゴミ箱とソファは全て私のものだから……、）   (2024/11/13 11:05:36)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/13 11:05:38)

胡桃 ◆> と…佑芽さんと少しお話がしたかったんだけど、そういえば個室は苦手なんだよね？(日も経ってるから今更かな、とか思うけど)   (2024/11/13 11:05:44)

エロガキ♀15kb> まぁ要するに、エッチというスポーツの試合みたいに思えば割としっくりくるかも？　勝っても負けても楽しみつつ、一人の相手や固定の団体としか練習試合や公式試合をしないスポーツなんてない～ってことで   (2024/11/13 11:06:02)

エロガキ♀15kb> どうも～こんにちは～   (2024/11/13 11:06:14)

エロガキ♂19b ◆> こんにちは～！   (2024/11/13 11:06:24)

エロガキ♀15kb> でも、実際星さんがそういうの好きっていうのは個人的に共感もありまして……出来たら、掘り下げてお話したいところなんですよね。（舌ぺろっ）   (2024/11/13 11:06:46)

エロガキ♂15R ◆> …女性多い所に入るの緊張しますねっ…入りましたけどっ…！   (2024/11/13 11:06:53)

エロガキ♀15kb> まぁまぁ、まだ若いですが女性には入れる側の立場としては緊張するのは腰から下だけでいいんですよ。   (2024/11/13 11:07:29)

星 ◆> 入れ替わり激しいね、いらっしゃい。   (2024/11/13 11:07:36)

星 ◆> んぐ……そ、そうなんだ。（雑談の住人たる開拓者、こう見えてえっちな話によわめ。くそぅ、可愛いからって……、）   (2024/11/13 11:08:11)

エロガキ♀15kb> いやぁ、だってこういうお部屋ですし？そういうのが好きってやっぱりいいじゃないですか。とはいえ、ガキさん相手だとなかなか無い感覚ではありますが……   (2024/11/13 11:08:52)

エロガキ♂15R ◆> 15kbさんと星さんは始めましてっ、ですねっ！…下ネタが激しいっ…！？   (2024/11/13 11:09:21)

星 ◆> 私は激しくないから！   (2024/11/13 11:09:36)

胡桃 ◆> あ、挨拶忘れてた。15R君やっほー！(お手てふりふり、)   (2024/11/13 11:09:56)

エロガキ♀15kb> と、まぁとりあえずは佑芽さんの懸念は、少しは払しょくされましたかね？   (2024/11/13 11:10:05)

花海佑芽> （何を話したかったのか忘れちゃいました…）＞胡桃さん   (2024/11/13 11:10:28)

エロガキ♀15kb> ここでの会話なんて、雑談と猥談の打ち合いですからね。激しいだなんて、ちょっとジャブを打った程度ですよ？   (2024/11/13 11:10:37)

星 ◆> そう、そうだね……。嗜好は自由でいいよね……。（キタサンには基本たじたじな私だ、）   (2024/11/13 11:10:50)

エロガキ♂15R ◆> た、たしかにっ…セクハラ受けてるだけだっ！   (2024/11/13 11:10:55)

星 ◆> まあでも、久しぶりにゆっくりできそう……。（サブクエ終わったし、）   (2024/11/13 11:11:28)

胡桃 ◆> あ、いや…私から少し用事があるだけっていうかね＞佑芽さん   (2024/11/13 11:11:30)

エロガキ♂15R ◆> 胡桃さんこんばんはっ！夜ぶりですねっ！   (2024/11/13 11:11:31)

エロガキ♀15kb> はい、さすがにそのごみに関してはアタシはお受けできませんが……そういう思考の方もいるんだな～と納得はできますので？   (2024/11/13 11:11:40)

星 ◆> なんで？（圧、）   (2024/11/13 11:11:54)

エロガキ♂19b ◆> 寝落ち組の半分が揃ったのか...わーお   (2024/11/13 11:11:59)

胡桃 ◆> だね〜。ちなみに皆寝落ちしてるように見えるログだけど、私は無言退室のログ見送ってたんだよね(てへ、)   (2024/11/13 11:12:12)

エロガキ♀15kb> ほうほう、胡桃さんが佑芽さんのおっぱいが憎らしいから個室で御礼（肉体）をしたいと？   (2024/11/13 11:12:19)

エロガキ♂15R ◆> ジャブとは思えない威力だっ…ー   (2024/11/13 11:12:33)

胡桃 ◆> とんでもなく私に対する風評被害！！   (2024/11/13 11:12:35)

花海佑芽> でしたら伺います、待ち合わせでいいですか？＞胡桃さん   (2024/11/13 11:12:46)

エロガキ♀15kb> な、何で……え？アタシ匂いフェチなので、悪臭全般好きじゃないんですよ、よ！？   (2024/11/13 11:12:53)

星 ◆> ゴミは悪臭じゃないよ！（臭い、）   (2024/11/13 11:13:19)

胡桃 ◆> 私が用意したよ〜＞お部屋、待ち合わせ   (2024/11/13 11:13:22)

エロガキ♀15kb> アタシとしては、軽く話を振りやすいフリッカージャブくらいの打ち込みですけどね。   (2024/11/13 11:13:29)

星 ◆> 胡桃と佑芽はいってらっしゃい、（手ひら、）   (2024/11/13 11:13:49)

エロガキ♀15kb> アタシは相手のほんのりしたシャンプーと汗のにおいが好きなんです！ごみはごみの匂いなんでnoGoodです！   (2024/11/13 11:13:51)

エロガキ♀15kb> では、おっぱいにお礼参りいってらっしゃいませ～   (2024/11/13 11:14:08)

胡桃 ◆> 確認できたし、ちょっと行ってくるね〜！佑芽さんはこっちに残っててもいいよ、すぐ済ませるつもりだから。   (2024/11/13 11:15:07)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/13 11:15:08)

星 ◆> キタサンとは一度腰を据えてゆっくり話す機会が必要かもしれないね……、（ふっ、おもしれー女って顔した。）   (2024/11/13 11:15:09)

エロガキ♂15R ◆> 一人性癖発表会始まっちゃった…   (2024/11/13 11:15:10)

花海佑芽> いってきます！   (2024/11/13 11:15:14)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/13 11:15:16)

エロガキ♂15R ◆> 行ってらっしゃいませ〜っ   (2024/11/13 11:15:30)

エロガキ♀15kb> 腰を据えて……女子同士のアワビ合わせですかね？（肉体言語）   (2024/11/13 11:15:41)

星 ◆> ちがうよ……、（どこからでも下ネタ派生してくるのこわい、）   (2024/11/13 11:16:01)

エロガキ♀15kb> ふっふっふ～（どやぁ）   (2024/11/13 11:16:22)

星 ◆> （エロガキ男子ズを盾にしておきたい、）   (2024/11/13 11:16:51)

エロガキ♂19b ◆> タジタジの星ちゃんはなかなか見れない～眼福眼福～   (2024/11/13 11:16:55)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/13 11:16:58)

おしらせ> 人造人間21号さんが入室しました♪  (2024/11/13 11:17:09)

星 ◆> キタサンじゃなくなった……、   (2024/11/13 11:17:32)

エロガキ♂19b ◆> もっと面白くなる予感がした   (2024/11/13 11:17:33)

人造人間21号> と、あまりにも何かが暴走しているので、（尻尾と耳を掴んで一旦どこかにぎゅっぎゅっと押し込めつつ）   (2024/11/13 11:17:44)

エロガキ♂15R ◆> 思ってた方と違うっ…！？   (2024/11/13 11:18:01)

人造人間21号> いつも同じことをしても、意外性が損なわれるので、ちょっと変化手ですね。（眼鏡クイッ）   (2024/11/13 11:18:37)

星 ◆> （早く来てアベンチュリン、バリア張って。）   (2024/11/13 11:20:09)

エロガキ♂15R ◆> ()   (2024/11/13 11:20:29)

人造人間21号> あぁ、安心してください。私はあそこまでぶっ飛んだことをしないためのセーフティロックですので   (2024/11/13 11:20:37)

エロガキ♂19b ◆> (ここに大人はこれないから諦めようね...)   (2024/11/13 11:20:39)

星 ◆> この間そのロックかかってて追い込まれたんだけど……、   (2024/11/13 11:21:36)

星 ◆> （19bを盾にしておこう、）   (2024/11/13 11:21:48)

エロガキ♂19b ◆> (なんで！？)   (2024/11/13 11:21:56)

人造人間21号> 星さんが余りに隙だらけだったというか？（ご自分から性癖に抵触していたので）   (2024/11/13 11:22:17)

星 ◆> （背が高いから。私よりは低いけど……、）   (2024/11/13 11:22:57)

星 ◆> 私に隙なんてないよ、無敵。（どや、）   (2024/11/13 11:23:11)

エロガキ♂19b ◆> (そっかぁ...)渡してって言われたら速攻差し出す自信があるけどね！   (2024/11/13 11:24:22)

人造人間21号> あとは、星さんとはあまり深い会話もなかったので、ああいう性癖が見えた時に深入りしておくのは、仲良くなるための足掛かりになるかと？   (2024/11/13 11:25:19)

星 ◆> 甲斐性なし！（シンプルな罵倒、）＞19b   (2024/11/13 11:26:00)

人造人間21号> 朴念仁♪（乗っかってみる＞19さん   (2024/11/13 11:26:26)

星 ◆> 確かにあんた……というかキタサンとは深く話したことないかも……。（結構顔は見るのに、もっと話そう？）   (2024/11/13 11:26:40)

人造人間21号> 彼女は、肉体言語（性的）での会話になりかねないので……そういう意味では会話コンタクトは私の方が向いているのかなと。   (2024/11/13 11:27:24)

エロガキ♂19b ◆> だってー21号ちゃんにいっぱしの耐久力だけが高い一般人が勝てるわけないじゃないですか～。   (2024/11/13 11:27:26)

人造人間21号> 勝てる勝てないじゃなく、女の子を守ろうという気概を見せてこその男気だと思いますよ？（とはいえ、私は星さんに危害を加えることはあり得ませんが）   (2024/11/13 11:28:16)

人造人間21号> 佑芽さんはお部屋、でしょうけど、R15さんは大丈夫でしょうかね   (2024/11/13 11:28:36)

エロガキ♂19b ◆> 大丈夫！！星ちゃんならきっとなんとかできる！俺はそう信じてる～(ケラケラ)でも色々されてる星ちゃんを見てみたいのもあったりなかったり～   (2024/11/13 11:29:28)

星 ◆> あー……そういえばこの間胡桃と……。（悶々、思い出して顔に赤が差した。）   (2024/11/13 11:29:43)

エロガキ♂15R ◆> 長時間ゲームやった後だと端末固まる事多いんですよね…(再起動済み)   (2024/11/13 11:29:50)

星 ◆> 大丈夫、耐久力高ければそれで……！（盾にはなる……！）   (2024/11/13 11:30:12)

人造人間21号> 胡桃さんは可愛いですよね。　星さんも胡桃さんとご経験あり、何ですね（まぁ、女性同士は私じゃなく彼女の方が専門ですが）   (2024/11/13 11:31:38)

エロガキ♂19b ◆> 酷い！！けどそこまで信用してくれるなら盾になろう！！   (2024/11/13 11:31:41)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/13 11:31:44)

人造人間21号> どうも、こんにちは（一般通過？   (2024/11/13 11:32:03)

ヒシミラクル> 人がいっぱいいる……こん"にちわ〜…   (2024/11/13 11:32:04)

星 ◆> 違う違う、してたねって話……。（私はないよ、って手をひらひらしながら笑って否定した、）   (2024/11/13 11:32:14)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/13 11:32:23)

エロガキ♂19b ◆> こんにちは～   (2024/11/13 11:32:33)

星 ◆> こんにちは、はじめましてだね。（デカ、これはママ。）   (2024/11/13 11:32:44)

ヒシミラクル> (何か　ん　の部分だけくぐもったけど気にしないで…).   (2024/11/13 11:32:50)

人造人間21号> 彼女は勝負に勝てばやることはやりますからね。星さんも一度手合わせしてみたらいいんじゃないですかね？   (2024/11/13 11:32:50)

人造人間21号> ん゛   (2024/11/13 11:33:03)

エロガキ♂15R ◆> (触れないでおこう…)   (2024/11/13 11:33:34)

星 ◆> いっ、いや……私はいいよ。胡桃のことは可愛いと思うし普通に好きだけど、そういうのじゃ……。（女の子同士、よくわからないしって否定重ねておいた。）   (2024/11/13 11:34:09)

星 ◆> 一定の強度は信用してる！（19b、打たれ強いよね。色んな意味で、）   (2024/11/13 11:34:44)

ヒシミラクル> 初めまして、ヒシミラクルです。そこを通りがかっただけの普通のウマ娘でーす…   (2024/11/13 11:34:49)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/13 11:35:02)

花海佑芽> ただいまもどりました！   (2024/11/13 11:35:14)

星 ◆> 普通のウマ娘って存在するの？（どれも一流のイメージ、）   (2024/11/13 11:35:19)

星 ◆> あ、おかえり。   (2024/11/13 11:35:25)

胡桃 ◆> 堂主の帰還だよ〜、ただいまー……って、人増えてるし少し入れ替わってる？   (2024/11/13 11:35:25)

エロガキ♂19b ◆> 強靭な肉体とアルミホイル張りのメンタルで星ちゃんを守るよ！   (2024/11/13 11:35:28)

エロガキ♂19b ◆> お帰りなさい～   (2024/11/13 11:35:35)

エロガキ♂15R ◆> 19bさん便利枠過ぎる…っ！   (2024/11/13 11:35:36)

ヒシミラクル> 人造人間21号さんのそれ、辞書登録しよ   (2024/11/13 11:35:36)

エロガキ♂15R ◆> おかえりなさいませ〜っ！   (2024/11/13 11:35:59)

ヒシミラクル> こんにちわ〜…いつの間にか避難…じゃなくてお邪魔しててすみません〜   (2024/11/13 11:36:12)

人造人間21号> 辞書登録……ですか？ン゛、とかんぉ゛とか、派生形ありますけど   (2024/11/13 11:36:33)

胡桃 ◆> いらっしゃーい！実はあなたのこと把握してるよ〜？(にまにま、にま。)   (2024/11/13 11:36:48)

人造人間21号> おかえりなさいませ、部屋主さん   (2024/11/13 11:36:57)

星 ◆> ここにいると辞書登録増えるよね……。（今この部屋に居る人で既に二件。）   (2024/11/13 11:37:28)

ヒシミラクル> あ、じゃそれも全部もらってもいいですか？声帯どんだけ圧迫してんねんぐらいのやつほしいです   (2024/11/13 11:37:28)

ヒシミラクル> ふぇ？ししししってる…？う、そんなバカな……   (2024/11/13 11:38:19)

人造人間21号> まぁ実際、あれな時のガチな感じにしか出ないレベルの声……というより音ですよね、もぉ   (2024/11/13 11:38:24)

エロガキ♂15R ◆> ん絡みの濁点何処で使うの…っ！   (2024/11/13 11:38:28)

エロガキ♂19b ◆> エッチするときに？   (2024/11/13 11:38:41)

エロガキ♂15R ◆> あっ…なるほど…   (2024/11/13 11:39:09)

ヒシミラクル> 濁点つきの　ん　なんてエッチするときとか、スパゲッティを喉に詰まらせたい時とかに使わない…？   (2024/11/13 11:39:19)

人造人間21号> ……そう、あなるほどです   (2024/11/13 11:39:20)

エロガキ♂15R ◆> 言葉狩りが酷いっ！   (2024/11/13 11:39:47)

人造人間21号> うちの黒い子もですが、このウマさんも凄そうですね   (2024/11/13 11:40:01)

胡桃 ◆> 何を、とは言わないけど…うん、たまたま見かけたからね。(にひひ、)雑談くらい遠慮なく楽しんでいって！   (2024/11/13 11:40:07)

花海佑芽> （佑芽ちゃんは普段もきたない声を出しがちなので使えるかも＞濁点）   (2024/11/13 11:40:35)

ヒシミラクル> 何もすごくないよ……普通のウマ娘でしかないよ…私の戦闘力、スカウターで測ってもたぶん143くらいしかないよ…   (2024/11/13 11:40:50)

胡桃 ◆> さて、私はお先に失礼するね。じゃっ！(長い髪揺らしながら颯爽いなくなる、すぐ居なくなる！)   (2024/11/13 11:41:07)

胡桃 ◆> …また扉につっかえた。   (2024/11/13 11:41:21)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/13 11:41:23)

星 ◆> 胡桃、またね。お疲れ様、（手ひらひら、）   (2024/11/13 11:41:26)

エロガキ♂19b ◆> 胡桃ちゃんばいばーい   (2024/11/13 11:41:33)

エロガキ♂15R ◆> お疲れ様でしたっ！   (2024/11/13 11:41:33)

ヒシミラクル> あ、ありがとう……プールから逃げ…まったりしたくなったら使わせてもらいますね…？   (2024/11/13 11:41:36)

ヒシミラクル> お疲れ様でした   (2024/11/13 11:41:41)

星 ◆> （お゛ね゛え゛ち゛ゃ゛ん゛か゛え゛っ゛ち゛な゛か゛お゛し゛て゛る゛！゛！゛）   (2024/11/13 11:41:48)

花海佑芽> おつかれさまでした！（扉のたてつけ悪くなってる？）   (2024/11/13 11:42:02)

星 ◆> ……これはギャグが某俳優か。   (2024/11/13 11:42:06)

エロガキ♂15R ◆> (勢いっ！！！)   (2024/11/13 11:42:14)

エロガキ♂19b ◆> 壊しすぎたかな...   (2024/11/13 11:42:16)

花海佑芽> （わりとそんな感じです！＞星さん）   (2024/11/13 11:42:45)

エロガキ♂15R ◆> (合ってるんだっ！？)   (2024/11/13 11:43:20)

ヒシミラクル> 確かに興奮しすぎてたまに見る…私もする…でもそれだけくぐもってくると、喋る前に龍角散でも飲んどけよとツッコミたくなるよね……私は優しいから言わないとは思うけど(何)   (2024/11/13 11:43:26)

人造人間21号> と、部屋主さんお疲れ様です（お茶取りに行ってたら……   (2024/11/13 11:43:34)

星 ◆> （るり……ここの人がやってるからって理由で最近学マス始めたから今後ともよろしく！）   (2024/11/13 11:43:36)

星 ◆> 時代はアイドル……、（何度でも言う、）   (2024/11/13 11:44:16)

人造人間21号> ウマドル？   (2024/11/13 11:44:57)

星 ◆> ウマドル。（こくり、）   (2024/11/13 11:45:10)

ヒシミラクル> でも今のも星さんのも中々パンチが効いてて好きだから、私の喘ぎ声集.xlsの中に貼っておこ   (2024/11/13 11:45:21)

エロガキ♂15R ◆> (これ以上日課増やせないっ)   (2024/11/13 11:45:42)

ヒシミラクル> ウマ㌦   (2024/11/13 11:45:51)

星 ◆> （藤原○也変換ツールでも使っておきなよ……！）   (2024/11/13 11:45:56)

エロガキ♂19b ◆> (でも日課だけで時間潰せるのはいいよねぇー)   (2024/11/13 11:46:30)

ヒシミラクル> (あれ好き、みさくら変換並みに好き)   (2024/11/13 11:46:31)

星 ◆> まあでもウマの子達みんな歌って踊れるしアイドルみたいなものだよね、プラスアスリートみたいな……。   (2024/11/13 11:47:19)

花海佑芽> ごはん食べてきます！！   (2024/11/13 11:47:33)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/13 11:47:40)

星 ◆> いってらっしゃいらいすぼーる、   (2024/11/13 11:47:45)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/13 11:47:46)

エロガキ♂19b ◆> 星ちゃんもアイドルやろう！！   (2024/11/13 11:47:59)

星 ◆> 私はプロデューサーをするよ！   (2024/11/13 11:48:15)

ヒシミラクル> い"っ"て"ら"っ"し"ゃ"い"ま"せ"〜   (2024/11/13 11:48:21)

人造人間21号> 佑芽さんはお疲れ様です。   (2024/11/13 11:48:22)

エロガキ♂15R ◆> (実際良い時間潰しにはなりますっ)   (2024/11/13 11:48:25)

エロガキ♂15R ◆> お疲れ様ですっ   (2024/11/13 11:48:38)

エロガキ♂19b ◆> 毎回プロデューサーじゃないか！？歌って踊る星ちゃんが見たい！(両方見てはいる)   (2024/11/13 11:48:56)

星 ◆> 今日はプールトレーニングに決定だ！（よし、楽しく話せたな。）   (2024/11/13 11:49:04)

エロガキ♂15R ◆> (そこで濁点…おもしれー女っ)   (2024/11/13 11:49:21)

ヒシミラクル> 直打ち面倒な上にこれ、研修で3日間大声出し続けて声が枯れ尽くした新入社員が喋ってるようにしか見えない…   (2024/11/13 11:49:25)

