/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 01時35分 ～ 2024年10月18日 07時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、私のお仕事は済ませたよ〜(レスポンス鈍い…。)   (2024/10/18 01:35:32)
栞葉るり> あ、そこのウマ喧嘩売ってますねこれ   (2024/10/18 01:50:44)

おしらせ> 白上フブキさんが入室しました♪  (2024/10/18 01:50:46)

胡桃 ◆> 何この子…メスガキにしてはいい子すぎない？抱き枕にしてもいい？(眠かったのは忘れてる。)   (2024/10/18 01:50:49)

胡桃 ◆> 白上さんもこんばんはー！   (2024/10/18 01:50:57)

エロガキ♀15kb> あ、フブちゃんさんこんばんは！～（抱き着けツッコめぇ！   (2024/10/18 01:51:18)

胡桃 ◆> …うん？(今気付いた。誰が！大きくなれないって！？)   (2024/10/18 01:51:26)

白上フブキ> こんこんこーんここん！白上です！シグマといえば…宇宙がっ…歌ってくれている……！！（OW）   (2024/10/18 01:51:32)

栞葉るり> おい！？堂主？！わたくしへの挨拶とキツネへの挨拶違いすぎない？？ねぇ？？   (2024/10/18 01:51:38)

シラベドンナ> やあ、こんばんは！   (2024/10/18 01:52:06)

エロガキ♂19b ◆> こんばんは～   (2024/10/18 01:52:24)

栞葉るり> 来ましたね、イヌ科キツネ属…つまり犬のが先に来るので白上さんもまた犬なんです(暴論)   (2024/10/18 01:52:26)

胡桃 ◆> 私からの愛情表現だよ〜(あざといウインクで誤魔化してみる。無理か…。)ごめんね？(投げキッス、どう？許してくれそう！許して！)   (2024/10/18 01:52:32)

エロガキ♀15kb> 癒し系フワフワ尻尾の五芒星、中村悠一さん愛好家な素敵キツネさんと、ネタ系ウマや犬は仕方ないんですよ。　フブちゃんさんが素敵なのです   (2024/10/18 01:52:50)

シラベドンナ> 汚れてるからね。仕方ないな！   (2024/10/18 01:53:34)

胡桃 ◆> あ、るりさん！何とは言わないけどありがとうね〜(にこにこしながらお手を拝借して握手にぎにぎ。)   (2024/10/18 01:53:40)

栞葉るり> まぁ、おつかれのようですし？大目に見て差し上げましょう(寛大な犬)堂主は色々大変そうですからね♪(肩もみ、ごきぐきべき♡♡)   (2024/10/18 01:54:03)

シャーロット・レイス ◆> Σといえば…私は決して手を緩めない(ダイの大冒険)   (2024/10/18 01:54:09)

白上フブキ> わふっ。急に来ましたね…！こんこん…！（覚えてますよキミはっ！）ふふん。キツネとイヌでしたら、キツネの方がごますりされる存在という事ですなっ。   (2024/10/18 01:54:37)

胡桃 ◆> 痛い痛い！多めに見られて、無い…！(その場で悶えて沈む堂主、)   (2024/10/18 01:54:51)

栞葉るり> え？ああ、アレですねアレ。たぶん！(完全不明)どういたしまして、捜査資料の横流ししただけなんで…へへ(守秘義務違反)   (2024/10/18 01:55:06)

エロガキ♀15kb> シャハルの鏡……でしたっけ？　名作名作と聞いてましたけど、アニメリメイクで見て、ポップさんが本当にかっこよくて濡れました   (2024/10/18 01:55:30)

栞葉るり> ごますり…？すり鉢でごりごりするんですか、キツネを(狂犬)   (2024/10/18 01:56:15)

胡桃 ◆> お礼はこれでいいかな？(「死後も安泰！往生堂特別サービス券！」お礼という名の営業をしていく堂主。)   (2024/10/18 01:56:48)

栞葉るり> あー、あれですか？俺は戦うのが好きなんじゃねえ〜！勝つのが好きなんだよォー(バキッ)みたいな…？(半分暑くて半分寒い人)   (2024/10/18 01:57:15)

栞葉るり> え…動物の埋葬とかもやってるんですか…？(不吉なサービス券じろじろ)   (2024/10/18 01:57:56)

シャーロット・レイス ◆> そうですよね。15kbさん。ポップさんの成長物語ですよ。あれは。見返すと   (2024/10/18 01:59:43)

シラベドンナ> 主人公のワンマンじゃないバトル漫画はよきだな…！   (2024/10/18 02:00:30)

白上フブキ> これは世代違いなのか…！？世代違いってわけじゃないのか…！？（目ぐるぐるぐる）こんな言い方する警察犬がまかり通っていいのかー！ぶーぶー！そりゃあねぇ、なかむー様（敬略称）は大好きよ声がっ…！！   (2024/10/18 02:00:42)

栞葉るり> わたくし知ってるんですよ、ダイの声優があーにゃこれすき！とか言ってる裏で私のオナニー見てください！！って言ってた事実を(暴露)   (2024/10/18 02:00:54)

シラベドンナ> （主人公がひたすら強い作品も好きだが！？）   (2024/10/18 02:00:57)

エロガキ♀15kb> 実際、ネットの評価～みたいなの、アニメの後で見たんですけど……主人公は凄い伝説の戦士、なのに最後に一緒に魔王と戦ってる人間の少年ってある意味すごいですよね。   (2024/10/18 02:01:05)

栞葉るり> (なろうかな)   (2024/10/18 02:01:09)

シャーロット・レイス ◆> あの中だと私はクロコダインさんが一番好きですね。   (2024/10/18 02:01:29)

栞葉るり> クリリンが最強の地球人と言われるのと同じアレですね…インフレにもギリギリついていける常人枠   (2024/10/18 02:01:41)

栞葉るり> ぐわー！！(財布から血を流しながら)   (2024/10/18 02:01:56)

エロガキ♀15kb> ワニ戦士さん……厳ついですね。（シャーロットさんはああいうタイプ好きか～   (2024/10/18 02:02:54)

シラベドンナ> 能力の相性や特殊能力が強敵相手に刺さる展開もよい…！（力の差で確殺能力が無効化される展開もそれはそれで好きだが！？）   (2024/10/18 02:03:12)

栞葉るり> 警察犬であっても、マウントを取ることは忘れてません。キツネ程度に遅れは取りませんから！(動物特有のマウント合算)中村さん、大変そうですよねぇ…ニンダイのナレーター任されて…(わたくしなら口滑らせます)   (2024/10/18 02:04:09)

エロガキ♀15kb> むしろ、ポップさんは元勇者の師匠とか、元魔王直属配下の戦士、世界最速の槍使いを差し置いて、最終戦まで戦い抜くっていう、インフレについていくどころか主力なのがすさまじいというか   (2024/10/18 02:04:35)

シラベドンナ> ニセ勇者やサタンが活躍するやつ（好きな展開発表ウィッチ）   (2024/10/18 02:06:09)

栞葉るり> 一番成長してましたからねぇ。ダイはジャンプ漫画の血筋は強いという通例を通ってますし…！(主人公は大体親が強いか伝説の人)   (2024/10/18 02:06:51)

エロガキ♀15kb> と、語り過ぎてますね。（こほんっ、でも、アマプラで、ハンターハンターと同じで、一気見して熱が出た作品でした♪）   (2024/10/18 02:08:05)

シャーロット・レイス ◆> 何処かでいなくなると思っていましたから。最初は。   (2024/10/18 02:08:09)

栞葉るり> おや、わたくしが暴れたせいで堂主がリビングデッドになりかけてます(がさごそ)   (2024/10/18 02:08:38)

エロガキ♀15kb> 見始めたころは、ネットの評価でやたら好き好き言われてるのに、なんか逃げ腰の頼りない存在でしたからね   (2024/10/18 02:08:44)

エロガキ♀15kb> ……（リビングペッド……お茶の間の室内で飼うわんちゃん？））   (2024/10/18 02:09:25)

栞葉るり> まぁ原作勢はどうなるか知ってたと思うので…その評価が多かったのかも？   (2024/10/18 02:09:27)

胡桃 ◆> 見てると楽しくて…(ついでに眠かったの思い出した。)   (2024/10/18 02:09:38)

栞葉るり> (リビングにベッドがあるのは赤ちゃんかイヌか猫くらいなもんです！あ、キツネもこっちに来ましょうか)   (2024/10/18 02:10:04)

シラベドンナ> 最近だと足を引っ張るキャラは読者からのヘイトを集めてしまいがちだから出す方としても難しそうだな   (2024/10/18 02:11:15)

白上フブキ> （きつね、目がまわってねむたくなったので警察犬にあやしてもらうの巻）   (2024/10/18 02:12:41)

栞葉るり> 何処かで巻き返してくれるのを期待してますからねぇ。それを考えたら…ドラゴンボールってすげーって思うんですよ(カカロットが配信で流行るのもわかる)   (2024/10/18 02:13:12)

栞葉るり> よしよし(キツネをおんぶする犬)   (2024/10/18 02:13:36)

エロガキ♀15kb> あぁ、すみません、白上さん！？つ、つい……カッコいい男子の話は凄く好きで……   (2024/10/18 02:13:36)

胡桃 ◆> よし、わたしは少し席外すね〜！…寝落ちはしないよ！   (2024/10/18 02:14:39)

栞葉るり> ふぅん、気になる男子は居ないんですか？(ちら。急な恋バナシフト)   (2024/10/18 02:15:03)

胡桃 ◆> (その前に白上さんにはトウモロコシ置いていくね。美味しいやつ。食べてないから知らないけど。)   (2024/10/18 02:15:03)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/18 02:15:14)

栞葉るり> いってらっしゃーい   (2024/10/18 02:15:28)

エロガキ♂19b ◆> お気をつけて～   (2024/10/18 02:15:58)

シラベドンナ> うむ、おつかれ！   (2024/10/18 02:16:24)

エロガキ♀15kb> 胡桃さんお疲れ様～   (2024/10/18 02:17:50)

白上フブキ> いいえ！目が回ったというより、皆んなが楽しそうにお話しするものだから微笑ましくなっちゃってただけですな。カッコいい男の子の話なら混ぜて！？（面食いきつね。とうもろこしはもらっておきます！おつこーん♪）   (2024/10/18
02:17:59)

栞葉るり> …本当ですか？指が追いついてないとかないですか？(キツネのお手々は小さいので…ちらちら)まぁ、わたくしが好き勝手喚き散らしたので流れがトンデモなかったというのもありそうですが！(わたくしは流れを倍速にしました。っていう板を首からぶら下げ。低速モードに移行します)
  (2024/10/18 02:20:41)

シャーロット・レイス ◆> お疲れ様です。   (2024/10/18 02:21:32)

エロガキ♂19b ◆> リアルの女の子とのびっくりするような話しなら話せるんだけどなぁ...   (2024/10/18 02:21:52)

白上フブキ> 白白上の指捌きは一級品じゃが…！？（おてておっきいもん！）自重わんこ。かわいいひびき。   (2024/10/18 02:22:19)

エロガキ♀15kb> 個人的に、アタシがカッコいいと思う～であってあの、実際にカッコいいかは   (2024/10/18 02:22:30)

シラベドンナ> 私はここに来る少年諸君だと、その…数字が小さい少年が好みだな…！（どの数値かの言及は避け）   (2024/10/18 02:23:11)

エロガキ♀15kb> ガンダムの、ミカヅキ君とか……水星後半のグエル・ジェターク君とか……どっちかっていうと線が太いタイプとか、泥臭いタイプのカッコいいが多いかも   (2024/10/18 02:24:27)

栞葉るり> なら、どっち大きいか試してみます？(思いっきりぱぁって指広げ)…やらかしたら大人しくなるのは賢い犬だからなんですよ。(ティッシュ撒き散らして逃げたりとか)   (2024/10/18 02:24:43)

エロガキ♀15kb> 単純にエッチとかを考えると、無邪気で小さい子の方がはいいとかありますよね。（カッコいい人が露骨にエッチな感じでガツガツするとちょっとイメージ崩れがちで……そ、その辺小っちゃい子なら許してあげてしまうというか……）  
(2024/10/18 02:25:38)

栞葉るり> グエルくんまじ好き！！序盤の不器用ツンデレから、脳破壊されたボブ形態、ひとかわと言わずズル剥け賢者のグエルくんまで全部好き！(食い気味)   (2024/10/18 02:25:43)

栞葉るり> シラベドンナさんは…まぁ、生息場所(？)が、ね？隠せてませんよ、色々と…！！   (2024/10/18 02:26:27)

エロガキ♀15kb> 序盤は愚直で、だけどまだお金持ちの子供って印象ありまして、ちょっと子供っぽいな～が、地球から戻ってからが男の顔になりましたよね。   (2024/10/18 02:26:31)

栞葉るり> キタサンってちゃんと男の子見てるんですね…てっきりダイヤさんのお尻ばかり追いかけてるのかと(風評被害)   (2024/10/18 02:29:32)

エロガキ♂19b ◆> よし、、自分はこれで失礼しますね～！皆さんまたお会いしましょう～   (2024/10/18 02:29:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/18 02:30:01)

エロガキ♀15kb> ダ、ダイヤちゃんはその、大親友ですけど……そ、そういうのはえ、えっと。その～……あ、あはは……   (2024/10/18 02:30:09)

シラベドンナ> おやすみ！   (2024/10/18 02:30:12)

エロガキ♀15kb> あ、19さん、お疲れ様です   (2024/10/18 02:30:20)

シャーロット・レイス ◆> おやすみなさい   (2024/10/18 02:30:21)

栞葉るり> おやすみなさーい♪   (2024/10/18 02:30:38)

エロガキ♀15kb> と、どなたか勝負しませんか！勝負！　せっかくですし？   (2024/10/18 02:31:13)

白上フブキ> ウオオオオ、寝ちまうぞ、白上…！！おつこん…！！   (2024/10/18 02:31:27)

シャーロット・レイス ◆> うーん。したいのは山々ですが途中で寝そうです。   (2024/10/18 02:31:56)

エロガキ♀15kb> あれ、フブちゃんさん！？　じゃ、じゃぁ最後にぎゅーさせてください！（腕広げ   (2024/10/18 02:32:00)

エロガキ♀15kb> うー、誘うのが遅かった～ですかね（ぐぬぬ   (2024/10/18 02:32:14)

栞葉るり> 勝負…ルールによりますねぇ。わたくし、あと30分もないので…(休憩時間はあっという間)   (2024/10/18 02:32:23)

エロガキ♀15kb> or2   (2024/10/18 02:32:39)

栞葉るり> orzよりお尻出てて、大きいんですね、お尻ってなります、それ！   (2024/10/18 02:33:23)

白上フブキ> 土下座のお尻がでかい……！！ようし、わんこっ、kbちゃんとぎゅーするのでおろしてください（ぺちぺち）   (2024/10/18 02:33:54)

エロガキ♀15kb> or2⌒　では尻尾もつけて？   (2024/10/18 02:34:45)

栞葉るり> ん！てか、わんこって呼び方どうなんですか？！(犬なら認めざるをないが…しぶしぶおろしましょう)   (2024/10/18 02:34:59)

シラベドンナ> では私もこのあたりで失礼しようかな！ お疲れさま！   (2024/10/18 02:35:12)

おしらせ> シラベドンナさんが退室しました。  (2024/10/18 02:35:15)

栞葉るり> あー……誘ってますねこれ   (2024/10/18 02:35:16)

栞葉るり> おやすみなさーい！   (2024/10/18 02:36:24)

白上フブキ> じゃあ、わんちゃん…？わんわん…？（全部馴れ馴れしい選択肢）おつこーん♪   (2024/10/18 02:36:56)

エロガキ♀15kb> シラベさんはおやすみなさーい　っと、フブちゃんさんわーい（ぎゅぅ♡   (2024/10/18 02:37:00)

エロガキ♀15kb> じゃ、おやすみなさいませ～   (2024/10/18 02:37:09)

エロガキ♀15kb> 各々時間なさそうですし、アタシも今日はここで失礼します！   (2024/10/18 02:37:28)

栞葉るり> ……バカにされてる？(ハッ。気づく犬)   (2024/10/18 02:37:35)

シャーロット・レイス ◆> 私も寝ますね。   (2024/10/18 02:37:41)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/18 02:37:47)

栞葉るり> 解散ですねぇ、おやすみなさい！   (2024/10/18 02:37:53)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/18 02:37:58)

白上フブキ> はーい！おつこーんおふたりとも！（ぎゅむ〜）   (2024/10/18 02:38:15)

栞葉るり> さて、わたくし達も帰りましょうか(結局おんぶする犬)   (2024/10/18 02:38:46)

白上フブキ> はい！帰ります！（背中に乗っかるきつね）   (2024/10/18 02:41:17)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/18 02:41:34)

栞葉るり> おや   (2024/10/18 02:41:39)

胡桃 ◆> 甘いね！！私のことを忘れてるよ！   (2024/10/18 02:41:43)

胡桃 ◆> 2人ともおやすみ、ゆっくり休んでね〜！(お挨拶に。)   (2024/10/18 02:41:58)

栞葉るり> ん、じゃあおやすみなさい♪わたくしも休憩終わりですし！(キツネをおんぶしたまますたすた)またお茶(隠語)しましょうね〜♡   (2024/10/18 02:43:09)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/18 02:43:18)

胡桃 ◆> もちろん〜！また今度お茶しようね。白上さんもありがと、また話そう？(2人ともお見送りで手を振って。)   (2024/10/18 02:43:55)

胡桃 ◆> 挨拶は済ませたから私もこっちは戻るよ。またねー！   (2024/10/18 02:44:59)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/18 02:45:06)

白上フブキ> おやおやおやっ。いや、ほんと白上からしてみれば1番休んで欲しいのは貴方なのですが！！（ぴしっ）ありがとうございまぁす〜！ではではまた来たる日に！おつこん！（ぱからっぱからっ。お犬さん走れ！）   (2024/10/18 02:45:09)

おしらせ> 白上フブキさんが退室しました。  (2024/10/18 02:45:12)

おしらせ> ゆんゆんさんが入室しました♪  (2024/10/18 04:45:33)

ゆんゆん> お邪魔しまーす…こ、この時間は流石にまだ誰も起きてないよね…(部屋の隅っこで1人でチェスを始めて)   (2024/10/18 04:46:32)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/18 04:51:23)

胡桃 ◆> わぁーっ！(突然後ろから現れた！)   (2024/10/18 04:51:39)

ゆんゆん> きゃ…⁉︎な…な、な、っ…！び…びっくりしたよ…(身体を離させて手に持った駒を落とすと、顔を真っ赤にして)   (2024/10/18 04:53:16)

胡桃 ◆> うんうん、いい反応してくれるね。大成功かな？(満足気に距離取って、ぺこりと一礼。)おはよう、一人そうだったから少しきちゃった。(くぁ、と欠伸零しつつ。)   (2024/10/18 04:55:04)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/18 04:57:38)

ゆんゆん> な…何の成功なのー⁉︎わたしが驚いただけなのにー⁉︎あっ…う、うん…おはよう(涙目で非難するも、礼儀正しく挨拶する女の子に釣られて頭下げ)あ…ありがとう。でも眠そうだね…大丈夫？膝枕しようか？(傾げて)   (2024/10/18
04:57:42)

栞葉るり> おやおや、眠れない悪い人が2人も…。余計なことしたら補導ですからね〜(手錠じゃりんじゃりん♡)   (2024/10/18 04:58:10)

胡桃 ◆> あ、るりさんおはよー！(手錠見たら目逸らし。)   (2024/10/18 04:58:28)

栞葉るり> まぁまぁ、ここは人のセックスでも観て落ち着きましょうか♡(最低)   (2024/10/18 04:59:41)

ゆんゆん> ほ…補導っ⁉︎わ…わたしは悪いことしてませんけどっ…⁉︎(青ざめながら胡桃さんの背後にすすっと隠れて)   (2024/10/18 04:59:50)

胡桃 ◆> 驚かせるの成功して私は満足…でも、あなたは少し加減した方がいいかも？(この子、反応いいから驚かしたいな…いや、少し抑えよう。)あぁ、私は寝起きだから気にしないで〜。(お膝？絶対寝る。)……そして私を盾にしてる！   (2024/10/18
05:00:28)

栞葉るり> 補導は補導ですよー♪夜更かしする悪い子をぐーっすり眠らせるあれで…♡(アレとは)   (2024/10/18 05:00:39)

胡桃 ◆> 私は寝起き、つまり起きたばかりだからセーフだよね？   (2024/10/18 05:01:04)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 05:01:36)

栞葉るり> 全然寝てないじゃないですかー…(じと)   (2024/10/18 05:01:43)

胡桃 ◆> (てへぇ？)   (2024/10/18 05:01:53)

胡桃 ◆> おはよう14C君、よく眠れたかな？   (2024/10/18 05:02:07)

ゆんゆん> そ…それ、成功しても私が困るだけだよね⁉︎あっ…うん、なら良かった。ほ…ほら…2人とも友達…？みたいだし…(背中に隠れながら)   (2024/10/18 05:02:18)

エロガキ♂14C ◆> 補導っていうのはこんな時間に彷徨いてる僕みたいなクソガキ相手にされるもんかとばかり。おはよう。僕はちゃんと寝たよ？   (2024/10/18 05:02:20)

栞葉るり> わたくしはこれからご飯なので…(ぱくぱく)   (2024/10/18 05:02:24)

栞葉るり> おはようございますー   (2024/10/18 05:02:31)

ゆんゆん> おはよう…ございます…！(人が増えてきたから空気になろう…！)   (2024/10/18 05:02:53)

胡桃 ◆> ゆんゆんさんもー、お友達になろ？(フレンドリー堂主は後ろに隠れた子に微笑みかけた。)   (2024/10/18 05:03:11)

エロガキ♂14C ◆> あ、空気にならないで。貴重なおっぱいだから（？）   (2024/10/18 05:03:16)

栞葉るり> 友達…？というか警察とお店の店主という関係ですよ♪(にま。治安悪いと大変ですねぇ)   (2024/10/18 05:03:16)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/18 05:03:39)

エロガキ♂16r> おはようございます   (2024/10/18 05:03:51)

栞葉るり> おはようございます(むぐむぐ)   (2024/10/18 05:04:04)

胡桃 ◆> おはよー？   (2024/10/18 05:04:04)

エロガキ♂16r> 私今日休みだけどみんな早ない？   (2024/10/18 05:04:21)

胡桃 ◆> (わんちゃん何食べてるんだろ。じぃ。)   (2024/10/18 05:04:23)

エロガキ♂14C ◆> 16rにーさんもおはよ。うん、ますます不夜城化が進む今日この頃。   (2024/10/18 05:04:36)

栞葉るり> (サンドイッチです、コンビニの)   (2024/10/18 05:04:40)

栞葉るり> わたくし、お仕事中なので(サボり)   (2024/10/18 05:04:55)

胡桃 ◆> (あ、普通においしそう。)   (2024/10/18 05:04:55)

胡桃 ◆> 私は寝起き！   (2024/10/18 05:05:05)

エロガキ♂14C ◆> あ。堂主、あの子にお礼言っといて。あと、次は飲むぞって意気揚々としてたとも。   (2024/10/18 05:06:07)

エロガキ♂16r> 仕事しよ？()   (2024/10/18 05:06:12)

エロガキ♂16r> 休憩時間って言うならまだしも…ね？   (2024/10/18 05:06:31)

栞葉るり> やることは終わってるので、ご飯食べてるんですよ〜(むぐむぐ)   (2024/10/18 05:06:42)

胡桃 ◆> うーん？あぁ、あの子ね。伝えとくよー。   (2024/10/18 05:06:42)

エロガキ♂16r> ならいいか(超雑判定)   (2024/10/18 05:07:02)

胡桃 ◆> はい、るりさんにはこれ。(怪しげなカップ。中身はなんと…お水。)   (2024/10/18 05:07:11)

胡桃 ◆> ゆんゆんさん？(部屋の隅まで探してる。)   (2024/10/18 05:07:32)

エロガキ♂16r> んじゃ俺からも(紅茶のティーパック)   (2024/10/18 05:07:42)

エロガキ♂14C ◆> ゆんゆんおねーさんマジで空気になろうとしないで仲良くしよーよー（ぐいぐいぐいぐい）   (2024/10/18 05:07:47)

ゆんゆん> あっ…う、うん…大丈夫！お話は聞いてるから！やめて…⁉︎引っ張らないでー⁉︎   (2024/10/18 05:08:17)

栞葉るり> (本当に水？　1水　2ミス　3おちゃ　4堂主のアバ茶　5空のコップ　6スライム)   (2024/10/18 05:08:29)

栞葉るり> 1d6 → (4) = 4  (2024/10/18 05:08:37)

エロガキ♂16r> 1d6 → (1) = 1  (2024/10/18 05:08:42)

胡桃 ◆> どうしてそれを引けたの？   (2024/10/18 05:08:52)

エロガキ♂14C ◆> 1d6 → (4) = 4  (2024/10/18 05:08:52)

エロガキ♂16r> 2杯目ぇ?!   (2024/10/18 05:09:03)

栞葉るり> (やっべぇ…。めっちゃ泡立ってるし…なんか、黄色いんですけど…)   (2024/10/18 05:09:10)

エロガキ♂16r> 私のはちゃんと水とティーパックだから   (2024/10/18 05:09:37)

エロガキ♂14C ◆> どうしてなのか（真顔）   (2024/10/18 05:09:52)

栞葉るり> みつきなのか(激ウマギャグ)   (2024/10/18 05:10:10)

エロガキ♂16r> (ところで6のスライムって市販のやつなのかファンタジー系なのかどっちなのか)   (2024/10/18 05:10:13)

栞葉るり> (はらかみのそのへんにいるやつです)   (2024/10/18 05:10:28)

胡桃 ◆> (しかも岩元素のスライム)   (2024/10/18 05:10:45)

エロガキ♂16r> (うん、大惨事だ。ドロドロすらしてない)   (2024/10/18 05:10:56)

エロガキ♂16r> (てかなんでアバ茶)   (2024/10/18 05:11:41)

エロガキ♂14C ◆> （Googleせんせーに聞こう）   (2024/10/18 05:12:14)

エロガキ♂16r> (アバ茶が何かは知ってる)   (2024/10/18 05:12:35)

栞葉るり> (罰ゲーm…じゃなくてご褒美に。日頃頑張るわたくしへの…。にこ……)   (2024/10/18 05:12:41)

栞葉るり> 検尿に出しておきますね…♡(逃げ)   (2024/10/18 05:12:58)

エロガキ♂16r> (変態だぁぁぁぁ)   (2024/10/18 05:13:02)

胡桃 ◆> ほら、どうしたの？飲みなよ…(にっこり。)   (2024/10/18 05:13:09)

エロガキ♂16r> メガネ好きに変えなきゃ(使命感)   (2024/10/18 05:13:21)

エロガキ♂14C ◆> ご褒美らしいから僕が引いた分はるりおねーさんにあげるね？   (2024/10/18 05:13:44)

