/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 20時51分 ～ 2024年10月28日 13時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18D ◆> (理解～～～！！お疲れ様です……)   (2024/10/27 20:51:52)
エロガキ♂17L ◆> (某神よりはまし、そのうち慣れて耐える)   (2024/10/27 21:01:20)

エロガキ♂18D ◆> (ラーニング機能を早急に付けることを望む)   (2024/10/27 21:01:53)

エロガキ♂17L ◆> (つけるか〜、ゼア打ち上げから始めないと……)   (2024/10/27 21:02:24)

エロガキ♂17L ◆> そういうミミも元気そうでなによりです(頭撫で)   (2024/10/27 21:02:49)

エロガキ♂18D ◆> (歴史改変されないことを祈りますね……あ、そう言えば例のカードについて、何か分かりました？)   (2024/10/27 21:03:17)

エロガキ♂17L ◆> (あ〜、あれか……ゼイン？とかいうライダーのカードらしいけど詳しい能力等は未だ不明ってとこ)   (2024/10/27 21:04:15)

ミミ ◆> ミミはいつも元気ー！でもおにーさんはせくはらー！(耳ぴく、じぃ、)   (2024/10/27 21:04:17)

エロガキ♂18D ◆> (なるほど……ゼア打ち上げるどころか発展系まで打ち上がってる…了解です。まさかあんな代物だったとは……)   (2024/10/27 21:05:18)

エロガキ♂18D ◆> ミミさんはいつも元気で癒されますね……ただドアだけはばーん、だけど……いや、あの人よりかはマシかぁ   (2024/10/27 21:05:53)

エロガキ♂17L ◆> セクハラとは人聞きが悪いですよ(頭撫でやめ手袋はめて、メガネかけ直し)   (2024/10/27 21:06:27)

栞葉るり> ふう、ごちそうさまでした   (2024/10/27 21:06:51)

エロガキ♂18D ◆> お帰りなさい、るりさん……   (2024/10/27 21:07:15)

栞葉るり> (ちんちんのサイズ掲げておきながらセクハラ云々は…丸出しですよってつんつんしておきます)   (2024/10/27 21:07:37)

エロガキ♂17L ◆> (ゼア、アーク程度なら簡単に上位互換の衛星生み出せる気もしなくも無い)   (2024/10/27 21:07:54)

エロガキ♂17L ◆> (るり嬢、それは言わないお約束)   (2024/10/27 21:08:33)

エロガキ♂18D ◆> (何なら一体化して第三のシンギュラリティ到達しましたからねぇ、誰が想定したかあの未来を)   (2024/10/27 21:09:03)

栞葉るり> そもそもエロガキですからね、セクハラしてくると思っていた方がいいかもしれませんが！まぁ、セクハラされて喜ぶ人もいるので…？   (2024/10/27 21:09:45)

エロガキ♂18D ◆> 確かにセクハラする人も居ますねぇ……喜ぶ人も少なからずは居ますが、TPOは弁えているつもりではありますので……(てか環境によってはるりさんや他数名がセクハラやそのネタが多いような……18Dは訝しんだ)   (2024/10/27
21:11:22)

エロガキ♂17L ◆> では、私はこの辺りで失礼させていただきます。(エボルブラックホールに変身、そのままブラックホールの中に消えていくのであった)   (2024/10/27 21:12:46)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/27 21:12:52)

ミミ ◆> 呼ばれてたー！   (2024/10/27 21:13:11)

ミミ ◆> 行ってらっしゃーい！   (2024/10/27 21:13:17)

栞葉るり> ふふ、この場でド下ネタ言っても手出し禁止なので？それを逆手にとって好き勝手言ってるだけですから、訝しむ要素は1ミリもありませんね？(にこ)   (2024/10/27 21:13:23)

栞葉るり> いってらっしゃいませー   (2024/10/27 21:13:32)

エロガキ♂18D ◆> (なんであんな技術持ってるんですかねぇ！？蛟竜毒牙のあのヤローにもなるのでは……！？)   (2024/10/27 21:14:14)

エロガキ♂18D ◆> ミミさんは行ってらっしゃいませ。またです。   (2024/10/27 21:14:31)

栞葉るり> 戻ってきた…？ので、おかえりとも言っておきましょう！   (2024/10/27 21:15:14)

エロガキ♂18D ◆> うっ、それは確かにそうですが……そういやセクハラについては不問でしたね、タッチ以外は……！！(好き勝手言うだけなら、ただってヤツか……！)   (2024/10/27 21:15:19)

ミミ ◆> ミミはもうちょっといるよー？   (2024/10/27 21:15:49)

ミミ ◆> ただいまー！   (2024/10/27 21:16:19)

エロガキ♂18D ◆> あれ！？そういや抜けた痕跡ありませんでしたね…すいませんね……てっきり……   (2024/10/27 21:16:19)

ミミ ◆> おねーさん何食べてきたのー？(鼻すんすん、)   (2024/10/27 21:18:04)

エロガキ♂18D ◆> 確かに、何食べてきたか気になりますね……   (2024/10/27 21:18:21)

栞葉るり> あとはエロガキ♀に擬態するとか…エロガキの魔の手から逃れる術は色々ありますから。まぁ、わたくしはもうすぐ出ていかなければならないのでここに居るって言うだけですが   (2024/10/27 21:18:22)

栞葉るり> ん。半額の惣菜パン！この時間に出てくるんですよね、スーパーで。どうせお腹にナニカ入れるだけならこれでいいかと…   (2024/10/27 21:19:19)

エロガキ♂18D ◆> まだkbさんしか見てないような気がしますが……まぁ色々魔の手から逃れる術はあるでしょう… あら、まだお勤め中、でしょう…… あー、この時間の半額惣菜パンは狙い目ですからねぇ、閉店時間ギリギリの乳製品と惣菜パンはありがたい…  
(2024/10/27 21:20:38)

ミミ ◆> (盛り上がりそー？ミミは携帯してた干し肉食べてるね、がじ、)   (2024/10/27 21:24:23)

栞葉るり> 篠澤広…SHのメスガキちゃんですね。そもそも来なければ魔の手も何もないですし。さて、そろそろ時間ですね。いきましょー   (2024/10/27 21:24:43)

栞葉るり> ではでは   (2024/10/27 21:24:51)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/27 21:24:53)

エロガキ♂18D ◆> ええ、またです。   (2024/10/27 21:24:58)

ミミ ◆> 行ってらっしゃーい！   (2024/10/27 21:25:25)

エロガキ♂18D ◆> 干し肉ですか、いいですね……それで炭酸水とか飲むとまたいいんですよね……   (2024/10/27 21:25:26)

エロガキ♂18D ◆> (それにしても篠澤広さん、ですか……自分は会ったこと無かったような…メスガキさんも、増えられたんですね……)   (2024/10/27 21:26:09)

ミミ ◆> ミミあのぱちぱちきらーい、(ふぃ、)   (2024/10/27 21:26:09)

ミミ ◆> (パンドラの支援はお会いしたことあったかもですね、、14Pの、、)   (2024/10/27 21:27:08)

エロガキ♂18D ◆> ぱちぱち嫌いでしたか……まぁ刺激は強いでしょうねぇ…ならオレンジジュースとか……果物のジュースとか合うのもありますね。   (2024/10/27 21:27:38)

エロガキ♂18D ◆> (なるほどです、それででしたか……いつか自分も会ってはみたいものですね…)   (2024/10/27 21:28:19)

ミミ ◆> 果物のジュースは美味しいねー！(にぱ、)   (2024/10/27 21:28:29)

ミミ ◆> (男性陣が少ない時にしか支援で行きませんから、、)   (2024/10/27 21:29:14)

エロガキ♂18D ◆> 果物のジュース……ちょっとさっぱりした系が干し肉とは合うかもしれませんね？   (2024/10/27 21:31:33)

エロガキ♂18D ◆> (まぁ、それは……見れば自分が沈んでた時に、こちらに来てたみたいで…あの人を手玉に取るとは……)   (2024/10/27 21:32:10)

ミミ ◆> こんどお嬢にたのんでみるー！   (2024/10/27 21:33:39)

ミミ ◆> (心当たりがないからすごい分からない、、)   (2024/10/27 21:34:09)

エロガキ♂18D ◆> えぇ、是非……何かと何かを合わせるのも、とてもいいものですよ。   (2024/10/27 21:34:29)

エロガキ♂18D ◆> (一昨日のログを見てきました。19さんを言葉でたじたじにさせててちょっと笑いました)   (2024/10/27 21:35:07)

エロガキ♂18D ◆> うっ   (2024/10/27 21:37:47)

エロガキ♂18D ◆> ちょっと寝てきますね……おやすみなさい、またです。   (2024/10/27 21:38:07)

ミミ ◆> (パンドラは権能で何でもありな感じなので、、あのくらいで行かないとなんですよね、、)   (2024/10/27 21:38:15)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/27 21:38:16)

ミミ ◆> おやすみー！   (2024/10/27 21:38:24)

ミミ ◆> ミミも呼ばれてるから行くねー！またねー！   (2024/10/27 21:38:34)

ミミ ◆> ばいばーい！(扉ばん、)   (2024/10/27 21:39:11)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/27 21:39:27)

おしらせ> エロガキ♂13M ◆za77rifW.Yさんが入室しました♪  (2024/10/27 21:59:14)

エロガキ♂13M ◆> こんばんはぁ☆   (2024/10/27 21:59:34)

エロガキ♂13M ◆> ふぃ〜……疲れたにゃあ…(ソファに寄りかかって全身脱力。軟体動物みたいにﾌﾆｬ〜…溶けてしまう)   (2024/10/27 22:01:27)

エロガキ♂13M ◆> あー、寝落ちする前に一戦だけ募集を…(ふぁぁ…大きな欠伸をしたあとに背伸びして。それから出入り口へ) んじゃ、お邪魔しました〜♪(ばいば〜い！)   (2024/10/27 22:09:46)

おしらせ> エロガキ♂13M ◆za77rifW.Yさんが退室しました。  (2024/10/27 22:10:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 22:17:03)

おしらせ> 篠澤広 ◆CmCK1tn9X.さんが入室しました♪  (2024/10/27 22:17:10)

エロガキ♂19b ◆> 今回は普通に～扉から～って！同時！？   (2024/10/27 22:17:31)

エロガキ♂19b ◆> あ、こんばんは広ちゃん   (2024/10/27 22:18:11)

篠澤広 ◆> あ……1号君、こんばんは。日曜の夜は結構静かなんだね…明日に備えてみんな寝てるの…？   (2024/10/27 22:19:06)

エロガキ♂19b ◆> どうだろう？賑やかなときもあるよー！   (2024/10/27 22:20:10)

エロガキ♂19b ◆> そして完全に１号君呼び...まあいいか！   (2024/10/27 22:22:25)

篠澤広 ◆> なら、今日は静かな日ってことだね。それにしても同時に入ったのは驚いた…。   (2024/10/27 22:23:10)

篠澤広 ◆> ……慣れない？それなら19bって呼ぶ？   (2024/10/27 22:24:21)

エロガキ♂19b ◆> いや、好きなように呼んでいいよー。でも確かに今日はすごい静か...   (2024/10/27 22:25:14)

篠澤広 ◆> じゃあ、生足フェチの人でいい？ふふ…みんなどこかで楽しんでたりしてね…♪   (2024/10/27 22:26:44)

エロガキ♂19b ◆> 呼びやすいように呼んでねー！、でも今日はあんまりハメてるかんじもしないんだよねー。マジで寝てるのかも？   (2024/10/27 22:27:41)

篠澤広 ◆> うん、わかった。よろしくね、生足の人？……直接的な表現だね。わたしも少しぼかして言ったのに…。（ちょっと引いてすすっと後ろへ）   (2024/10/27 22:29:28)

エロガキ♂19b ◆> 自分でイったくせに引かないで！？また頭を叩くよ？って思ったけどそうだ、、叩いたら喜ぶんだったこの子は   (2024/10/27 22:30:36)

篠澤広 ◆> 言ったがイったで変換されるのも…ちょっと…。メールを送る時とか気をつけてね？（相手の殴りやすい位置にスタンバイして更に煽り）   (2024/10/27 22:33:27)

エロガキ♂19b ◆> ...普通に恥ずかしいです、、はい。殴らないならね！？変に位置変えてもダメー！   (2024/10/27 22:34:47)

篠澤広 ◆> でも言ったより先にそれが変換されるって事は、少し前に性的絶頂を迎えたんだね。気持ちよかった？（少し拳を動かせば当たるような位置に待機し続けたまま）   (2024/10/27 22:38:21)

エロガキ♂19b ◆> いやまあ、確かにそうだけどいたって普通のプレイよ？広が思うようなことはしてないと思うようなことはしてないし。そんなにぶたれたいならそこで腹筋50回でもしてな   (2024/10/27 22:40:07)

篠澤広 ◆> その言い方、動揺してるみたいでおもしろいね♪生足フェチの人…わたしを嘗めてる？腹筋なんて3回できたら上々だよ。（胸を張って自慢げに）……まあ…やるけど…。1……………………………………………………2……。   (2024/10/27
22:44:15)

エロガキ♂19b ◆> あ、途中で止めたらやり直しね。ノンストップで５０階頑張ろうね～   (2024/10/27 22:44:58)

エロガキ♂19b ◆> 50回ね！なんだよ階って！   (2024/10/27 22:45:31)

エロガキ♂19b ◆> 誤字が多いなぁ...まあいいや、ほれ。頑張れ頑張れ   (2024/10/27 22:46:59)

篠澤広 ◆> 3…ッ…！………ふ、ふふ…♡この捩れる感じ…いいね♡あと…47回…♡（苦しくなれば苦しくなるほど広の表情は恍惚としてきて、このままではどんなに苦しくても続けてしまうだろう…。例えそれで命が尽きたとしても…）   (2024/10/27
22:48:22)

エロガキ♂19b ◆> ほんとにやばくなったら止めるからそれまではギリギリまで追い込んでね！追い込みレッスンってやつだねこれは。   (2024/10/27 22:49:26)

篠澤広 ◆> 鬼畜過ぎる♡きっと生足君はわたしのこと、使い捨てのチェスのポーンくらいにしか思ってないんだね…♡ふふふ…♡（4回目を終えると腹筋はつり、何度起き上がろうとしても途中で床に頭が戻るようになって）   (2024/10/27 22:52:33)

エロガキ♂19b ◆> ほんとに3回しかできてない...ねぇ、、もう少し頑張れないの～？(あえて広の言葉を無視して軽く煽ってみて)   (2024/10/27 22:54:20)

エロガキ♂19b ◆> 待て...これ罰ゲームになってないか？ストップストップ！！ここでやるのじゃないって！！そこまででいいよ！(あわてて広を起き上がらせて)   (2024/10/27 22:57:43)

篠澤広
◆> わたしの欲望人質にして無理難題を押し付けてくる。まるでかぐや姫…みたいだね…。ん…ぅ…♡ふぅ…ふぅ…♡（5回目…ここから先は未知のゾーン。広の精神は己の肉体をいじめ抜く事に集中していた。もう腹筋が崩壊したっていい…必ずやりとげる…。そういった硬い意志のような物まで芽生え、六回目に挑戦するところで…）……？なんで止めるの？もっと辛くて強烈なの…ちょうだい…♡
  (2024/10/27 23:00:17)

エロガキ♂19b ◆> これ以上はここでやることじゃないからね～、、おとなしくソファにでも座ってな！水は置いとくから！(ドンッ！っと水をジョッキで置き)   (2024/10/27 23:01:29)

おしらせ> 月村手毬さんが入室しました♪  (2024/10/27 23:05:35)

篠澤広 ◆> それ、ジムに行けってこと？まあいいや。肉体の限界に挑んで、今は心地良い疲れがわたしを包んでいるから♡ふふ…ありがとう（渡された水を手にしながらソファーに座り肩で息をして）   (2024/10/27 23:05:40)

月村手毬> ……こんなところでエロガキとなにしてんの(ジト目)   (2024/10/27 23:05:56)

エロガキ♂19b ◆> ふぅ、、危うく変な空間になるところだった、、あ、こんばんは   (2024/10/27 23:06:27)

篠澤広 ◆> あ、手毬だ。こんばんは。ただのエロガキじゃないよ？生足で興奮する稀有なタイプなんだって。   (2024/10/27 23:07:42)

月村手毬> 私はその子の様子を見に来ただけなので、お気になさらずに(ひらり)   (2024/10/27 23:07:43)

月村手毬> ……(サーッと青ざめる顔。え、キモ…。ヤバい人しか居ないとこに来ちゃった…？！)   (2024/10/27 23:08:18)

エロガキ♂19b ◆> 開幕最悪の印象スタートじゃねえか！！そうだけどさ！！   (2024/10/27 23:08:50)

篠澤広 ◆> 手毬が青ざめてる。わたしもよく蒼白になるから、一緒だね♪（手毬の顔から血の気が引いていくのを面白がって見ながら）   (2024/10/27 23:10:20)

月村手毬> …心配しなくて結構です。最初からエロガキなんて心象は底辺なので(ふん)   (2024/10/27 23:11:00)

エロガキ♂19b ◆> 手鞠ちゃんは面白枠、広ちゃんはヤバイ枠っと(カキカキ)   (2024/10/27 23:11:41)

月村手毬> 一緒にしないでくれる？栄養不足とは違うんだから。貧血で倒れてるだけだよね？(腕組みつつ、キリッと表情引き締め)   (2024/10/27 23:11:57)

篠澤広 ◆> わたしの栄養管理は完璧だよ？咲季から適切な食事を教えてもらったから♪（ペースト状になった食べ物の詰め込まれたプレートを自慢気に見せて）   (2024/10/27 23:14:01)

エロガキ♂19b ◆> 手鞠ちゃんは広ちゃんのお世話してるっぽい？なら、このまま手鞠ちゃんの方に投げてもよさげかな...うん、そうしよう。(こそこそとソファに移動して)   (2024/10/27 23:14:22)

篠澤広 ◆> 生足の人、どこ行くの？一緒に手毬の足を観察しよう。これは…ラーメンのせい？（心做しかいつもより少しむっちりしてる足を見て頷きながら感想を述べて）   (2024/10/27 23:16:43)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/27 23:17:57)

エロガキ♀15kb> （ちらっ）   (2024/10/27 23:18:19)

エロガキ♂19b ◆> 暴走しないように遠くから見てるから...うん、、   (2024/10/27 23:18:22)

エロガキ♀15kb> どうも～、こんばんは～   (2024/10/27 23:18:51)

月村手毬> …こんなものよく食べられるね。不味くて無理。(両手でプレートを覆い、見せないでっ！って断固拒否)はぁ？…だったら、そんなものよりラーメン食べたらいいじゃない！(眉間にしわ寄せ、口元ひくひく。脚をさっと引きながら)   (2024/10/27
23:19:26)

エロガキ♂19b ◆> こんばんは～！！   (2024/10/27 23:19:42)

篠澤広 ◆> こんばんは、マスクの人。今夜は涼しいからそれ着けてても苦しくなくてつまんないね？   (2024/10/27 23:19:46)

月村手毬> ん、こんばんは。…ふ、不審者？！   (2024/10/27 23:20:12)

エロガキ♀15kb> こんばんは、って別にこれは苦しむためのモノじゃないですからね！？（びくっ！？そういう認識？）   (2024/10/27 23:20:36)

月村手毬> この子、そういうところおかしいから。気にしたら負けるよ？この子に(ちら)   (2024/10/27 23:21:04)

エロガキ♀15kb> どうも、初めまして。アタシが不審者なら、ここに出入りする男の子ほとんど不審者だと思うんですけど   (2024/10/27 23:21:07)

篠澤広 ◆> じゃあ手毬がこのご飯を食べたらわたしもラーメンを食べるよ？はい、口開けて…♪（スプーンにペーストを乗せると笑顔で手毬に向けてみて）   (2024/10/27 23:21:42)

篠澤広 ◆> そうなの？それ以外マスクに何の使い道があるんだろう…。不思議な人…。（相手の着けてるマスクを見ながら本当に不思議そうな顔をして）   (2024/10/27 23:23:41)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/10/27 23:24:40)

エロガキ♀15kb> た、単純に素顔をかくしてるだけです、よ？（後、主に耳とか……）   (2024/10/27 23:24:47)

エロガキ♂19b ◆> 咲夜ちゃんこんばんは～   (2024/10/27 23:25:07)

十六夜咲夜 ◆> こんばんは。(絶賛とある方への債務増加中)   (2024/10/27 23:25:09)

エロガキ♀15kb> あ、メイドさん、こんばんは～（わーい、お姉さんだ～って話を少し逸らそうと咲夜さんに抱き着きに行く～）   (2024/10/27 23:25:17)

十六夜咲夜 ◆> あら、今日は甘えたさんモードっ？   (2024/10/27 23:26:15)

エロガキ♂19b ◆> (一生返せなさそう...)   (2024/10/27 23:26:19)

篠澤広 ◆> こんばんは、メイドの人。おー、エロガキらしい行動。   (2024/10/27 23:26:36)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが入室しました♪  (2024/10/27 23:26:46)

月村手毬> い、いらないっ！！もう食べたことあるから！(そしてキレた)自分で食べなよ！貧弱なんだから！(ぐいぐいと顔へ押し付け返し)   (2024/10/27 23:26:53)

十六夜咲夜 ◆> (まあ、それはありそう…)   (2024/10/27 23:26:55)

エロガキ♀15kb> 子供は常々甘えていいモノではないでしょうか？（咲夜さんのおっぱいだ～♡って頬をスリスリ）   (2024/10/27 23:27:12)

月村手毬> どんどん増えるな…不審者(びく)   (2024/10/27 23:27:14)

月村手毬> (まともなのは、メイドさんくらい。横目でちらり)   (2024/10/27 23:27:48)

篠澤広 ◆> こんばんは、目つきが悪い人。   (2024/10/27 23:27:52)

エロガキ♂17A ◆> こんばんはー、お邪魔してみますね。完全初見ですが……   (2024/10/27 23:28:07)

エロガキ♂19b ◆> だんだん賑やかに～。これから落ち着けそー   (2024/10/27 23:28:11)

十六夜咲夜 ◆> まあ、それは…とは言っても行動が早いですわねぇ。(パワー的に無理に振り解くのは諦めてます)   (2024/10/27 23:29:25)

エロガキ♀15kb> あら、初めましての方なのですね～　どうもこんばんは～（と、メイドさんに甘えております。おっぱいは性戯～じゃない、正義～）   (2024/10/27 23:30:00)

篠澤広 ◆> 栄養あるのに…。手毬は好き嫌いが激しい。（ぱくっとスプーンを咥えながらペーストを食べて）特にこのペースト、脂肪の吸収を抑えてくれる効果があるのに…。   (2024/10/27 23:30:15)

十六夜咲夜 ◆> そこのお二人は…あの、それは一体…(スプーンに乗った物体を見て)   (2024/10/27 23:30:22)

十六夜咲夜 ◆> (初見の方多いので改めて言いますが、私のは本物です、はい)   (2024/10/27 23:31:14)

篠澤広 ◆> 気付いた？これは完全栄養食。これさえ食べればわたしの地上最弱の肉体でもそこそこ動けるようになるんだよ♪（とても美味しそうには見えないペーストを向けて）   (2024/10/27 23:32:23)

エロガキ♂19b ◆> でも栄養食って大体美味しくないよねぇ...   (2024/10/27 23:33:13)

エロガキ♂17A ◆> (シリコンではなく本物……！？)   (2024/10/27 23:33:19)

十六夜咲夜 ◆> え、ええ…(とりあえず15ちゃんを抱き返しておく)   (2024/10/27 23:33:30)

十六夜咲夜 ◆> あら、なにかいったかしら？   (2024/10/27 23:34:26)

月村手毬> ぐっ……そんなの散々聞いた！それでもまずいのは嫌！！(後にじいろのドリンクも！無理だった！！半べそ)   (2024/10/27 23:34:36)

エロガキ♀15kb> ……（実際、人数多すぎて話が読み切れないので、抱き着いて落ち着いて甘えてるといいつつ、様子見してるだけなんですけどね）   (2024/10/27 23:35:12)

十六夜咲夜 ◆> (お嬢様に出したら…いや、確実に怒られますわね、自重自重)   (2024/10/27 23:35:28)

篠澤広 ◆> 美味しくないってことは……楽しめるってことだよ♪   (2024/10/27 23:35:48)

十六夜咲夜 ◆> よーしよし、いい子ですわねぇ(15ちゃんの意図読み取って同調)   (2024/10/27 23:36:26)

エロガキ♀15kb> えへへ～♪（って、言いつつもそういう名目で柔らか咲夜さんを楽しめるという、この完璧な二段構え）   (2024/10/27 23:37:13)

月村手毬> …何を楽しめって言うの？ラーメンのがよっぽど楽しめるからっ！   (2024/10/27 23:37:21)

篠澤広 ◆> 泣いちゃった？そっか…無理強いはよくないね。ごめん。手毬に嫌われると悲しいから、許して？（泣いちゃったのを見て普段手毬が咲季達にしてもらってるみたいに頭に手を伸ばしてよしよししようとして）   (2024/10/27 23:38:24)

十六夜咲夜 ◆> (…ところで男性陣はおやすみモードかしらね？)   (2024/10/27 23:39:31)

エロガキ♂19b ◆> (起きてるよ～。)   (2024/10/27 23:39:44)

十六夜咲夜 ◆> (あ、流石に割って入れないやつですわね)   (2024/10/27 23:41:02)

エロガキ♂19b ◆> とりあいず...邪魔しないようにすみにいるね～(ゴミ箱の中に飛び込み蓋を閉め隙間から覗いて)   (2024/10/27 23:41:21)

エロガキ♂17A ◆> (同じく起きております〜)   (2024/10/27 23:41:43)

十六夜咲夜 ◆> 身長的には近いと思いますけど…やっぱりそこが好きですか…>15ちゃん   (2024/10/27 23:41:49)

エロガキ♂19b ◆> (百合の間に挟まろうとする男は極刑と決まっている...)   (2024/10/27 23:42:09)

エロガキ♂17A ◆> 新手のミミックみたいになってますけど……(ゴミ箱の蓋をぱかぱかして)   (2024/10/27 23:42:13)

エロガキ♀15kb> そことは、どこでしょうか～？アタシは、アタシとして全部好きですよ～♡（えへへへ～♡）   (2024/10/27 23:42:40)

篠澤広 ◆> もっと全員に通じる話題を提供しないといけないのかな。とりあえず、今までに経験した一番苦しい瞬間の話でもする？   (2024/10/27 23:43:13)

エロガキ♂19b ◆> 残念だったな！17Aさん！俺はここにいるぞ！(パカパカしている最中に姿を消し押入れを開け)   (2024/10/27 23:44:09)

月村手毬> ふー……別に泣いてないし。前に食べたことあるから要らないって言ってるの(頭の上の手を握って退かし)   (2024/10/27 23:44:47)

エロガキ♂19b ◆> なんで苦しい瞬間なんだよ！？   (2024/10/27 23:44:53)

エロガキ♂17A ◆> はっ！？いつの間に？(まさかの超能力。代わりにゴミ箱に入っておこう)   (2024/10/27 23:45:20)

月村手毬> …そんな体験聞いてどうするの？   (2024/10/27 23:45:35)

十六夜咲夜 ◆> あら、それは嬉しいわね？(甘える15ちゃんを抱き返して)   (2024/10/27 23:46:05)

エロガキ♀15kb> アタシはどっちも楽しめるタイプのメスガキですから～♪（男の人も、女性の方も、ちっちゃい子も♪）   (2024/10/27 23:46:43)

エロガキ♂17A ◆> 苦しいとは精神的なものか物理的なものか……   (2024/10/27 23:46:56)

篠澤広 ◆> そう？泣いてたように見えたから。わたしと違って手毬は辛いのとか苦しいのが嫌いだもんね。このペーストが合わないのもわかる。（再びペーストを食べ始め、口をもぐもぐさせながら）   (2024/10/27 23:47:09)

篠澤広 ◆> それはもちろん、するなら楽しい話の方がいいと思ったから♡   (2024/10/27 23:47:54)

篠澤広 ◆> 肉体面と精神面のダメージの総合評価だよ？   (2024/10/27 23:48:40)

エロガキ♂19b ◆> たの、、しい？   (2024/10/27 23:48:48)

十六夜咲夜 ◆> …突っ込んだら野暮なのかしら…(逃避するように15ちゃんと)   (2024/10/27 23:50:25)

篠澤広 ◆> うん、楽しい。共感性の高い人は特に楽しめると思うよ♪   (2024/10/27 23:50:51)

エロガキ♀15kb> （耳をペタンとして、今は聞かなかったことにしよう。咲夜さん、あったかいなり～♪）   (2024/10/27 23:51:21)

エロガキ♂19b ◆> そっかぁ...うん。わかった！！手鞠ちゃん何とかしてくれない？   (2024/10/27 23:51:41)

篠澤広 ◆> それって手毬にトップバッターを勤めろってこと？手毬はドアに手を挟んだだけで泣くし、苦しいのハードルが低くてあんまり面白くなさそう…。（すん）   (2024/10/27 23:53:58)

十六夜咲夜 ◆> (もはや抱き枕状態だけど…そうね、我ら関せずでいきましょう…)   (2024/10/27 23:54:19)

エロガキ♂19b ◆> ...手鞠ちゃんも唖然としちゃってるし17Aもゴミ箱からでてこない...俺が何とかするしかないのか？...   (2024/10/27 23:55:23)

エロガキ♂17A ◆> (ゴミ箱から顔だけ覗かしてちらちら)   (2024/10/27 23:56:15)

月村手毬> 私の苦しかったこと……？メンバーとソリが合わなくて孤立した時の話でもすればいいの？(責任、取ってよね、と広の方をジトり。変な空気になっても知らないから)   (2024/10/27 23:57:11)

