/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月15日 16時15分 ～ 2024年12月18日 02時45分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> それでは！   (2024/12/15 16:15:15)
エロガキ♂14C ◆> そーいえば久々に昨日FPS視点のゲームをやったんだよね。そしたらさー……酔った。すっごい酔った。   (2024/12/15 21:13:17)

エロガキ♂14C ◆> んー、これそうならまた後でゲーム部屋いこっかなー？お邪魔しましたー。   (2024/12/15 21:26:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/15 21:26:06)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/15 22:32:49)

エロガキ♂19b ◆> 再び参上！！...私です！！(ばん！！)   (2024/12/15 22:33:09)

エロガキ♂19b ◆> んま...相変わらず誰もいないんですけどね～...この時間は本当に暇   (2024/12/15 22:43:07)

エロガキ♂19b ◆> ボケーっとしちゃうよねぇ...誰も来ないし！！頃合いを見てまた勝負部屋いってみよっと！！   (2024/12/15 22:59:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/15 22:59:04)

おしらせ> ジャンヌ・ダルクさんが入室しました♪  (2024/12/15 23:07:29)

ジャンヌ・ダルク> こんばんは、夜分遅くに少々失礼しますね。   (2024/12/15 23:09:14)

ジャンヌ・ダルク> 夕方にあちらのお部屋にお邪魔していました。こちらは……あまり花がないといいますか…お昼より子供の痕跡しか残っていないようなので興味程度に覗いてみました   (2024/12/15 23:11:21)

ジャンヌ・ダルク> 何か話のタネになるようなものがあればよかったのかもしれませんね…私一人だとどうしても人を惹きつけるような話題を提供できそうにもないですし…   (2024/12/15 23:19:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/15 23:24:57)

エロガキ♂14C ◆> おねんね前にゲーム部屋行こうかなーと思ったらジャンヌおねーさんだ！こんばんはーっ。   (2024/12/15 23:25:25)

ジャンヌ・ダルク> 今まさに出ようとしたところだったのですが、こんばんはです。寝る前にも遊んでいくのですか？   (2024/12/15 23:26:18)

エロガキ♂14C ◆> ギリギリなタイミングだったんだね？うん、遊ぶよー？だって甘えた後の方が心地よく寝れるし、おねーさんによってはそのまま添い寝もしてくれるしねっ。   (2024/12/15 23:27:12)

ジャンヌ・ダルク> あまり無言のまま居座りこの場を占有してしまっても他の方々にも悪いかと思ったので。添い寝……ですか？夕方の時からわかっていたことなのですが甘えん坊さんなのですね   (2024/12/15 23:29:11)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/15 23:30:27)

エロガキ♂14C ◆> 2時間とか無言だと確かにそーかもだけど、多少なら大丈夫じゃないかなー？多少の加減が難しいけどっ。うん、添い寝だよ？えへへ、そーだよ。僕は甘えたなんだよー。   (2024/12/15 23:31:07)

ジャンヌ・ダルク> こんばんは、1人また1人と増えますね   (2024/12/15 23:31:16)

エロガキ♂19b ◆> っち...こっちを覗いたのが仇になった...こんばんは～...本当は遊びに行く予定だったんだけどね、、急遽変更だよ。   (2024/12/15 23:31:36)

エロガキ♂14C ◆> 皆おねーさんを求めて来ちゃうからねー。……こんばんは、なんで行かなかったの？   (2024/12/15 23:31:59)

エロガキ♂19b ◆> んー...タイミングが悪かったと言っておこう   (2024/12/15 23:33:11)

ジャンヌ・ダルク> どうなのでしょう？そういった物事のサジ加減というのは人によって異なりますから。こほん…私の口からは憚れるので言いませんが…中にはあなたのように甘えるのが好みという子もいるのですね。そしてもう1人の方はなにか不都合なことでもあったのですか？
  (2024/12/15 23:33:51)

エロガキ♂14C ◆> あー、なるほど？確かに最近は僕たちが2人もいるとおねーさん入ってくるの尻込みしちゃいそうだもんね。   (2024/12/15 23:34:34)

エロガキ♂14C ◆> 甘えられるのが好み、なのかなあ？どちらかと言えばみんな仕方ないなあって感じで付き合ってくれることの方が多いんだけどなー？ジャンヌおねーさんも仕方ないなーってなる派なのかな？   (2024/12/15 23:35:28)

エロガキ♂19b ◆> まぁ、俺のことはどうでもいいんですよ！...不都合なことなんてないさ～...ただここに女の子がいたからふらふらっと来たってことにしといて！   (2024/12/15 23:37:03)

エロガキ♂14C ◆> な、なんだそりゃ。って、女の子…女の子、かあ。僕からするとおねーさんだけど19bにーさんからはそーなるのか。   (2024/12/15 23:40:48)

ジャンヌ・ダルク> すみません…！少々意識が遠のいていました…！   (2024/12/15 23:41:24)

エロガキ♂14C ◆> それはよくないよーな…！眠いなら無理せずにおねんねして？   (2024/12/15 23:41:47)

エロガキ♂19b ◆> あー、、生憎と俺のなかでは年上の子でも女の子扱いだから...無理はしないでよ～？...俺みたいに寝落ち真君になりたくはないと思うし   (2024/12/15 23:41:48)

エロガキ♂14C ◆> へー…。深くは掘り下げないけど、そーいうことにしておこ。寝落ち魔ばかりになっても大変だしねー。ジャンヌおねーさんまで毛布でぐるぐる巻きにしないといけなくなる。   (2024/12/15 23:43:20)

ジャンヌ・ダルク> 私たちサーヴァントであれば…そもそも年齢という概念に縛られることもないかと思いますよ？もちろん呼び方が逸脱して、妙なレッテルを貼られていれば不服ですよ？わ、私は大丈夫です…と言い難いですね   (2024/12/15 23:44:24)

エロガキ♂14C ◆> ジャンヌおねーさんは水着の時のおねーちゃんムーブが焼きついちゃってるからなあ……！僕の中では完全におねーさんだよー。大丈夫って言ってる人ほど気が付いたらおねんねしちゃうんだもん。心配はするよ？   (2024/12/15
23:45:47)

エロガキ♂19b ◆> ふっ..無理して居座って寝落ちする人を俺は知ってる...ここにいるんだけどさ、、その結果寝落ち常習犯、、っと...反省します   (2024/12/15 23:46:27)

エロガキ♂14C ◆> 19bにーさんが寝落ちたらそこの大きいゴミ箱にしまってあげるけどね！   (2024/12/15 23:47:51)

ジャンヌ・ダルク> 懐かしですね！ひと夏の思い出を残すために、だいぶはっちゃけてしまってましたが…もしかして私に姉のような振る舞いを求めていたのですか？この時期に人間の体では何かと堪えるでしょうから、なるべく余裕を持って早めに眠りましょう  
(2024/12/15 23:48:10)

ジャンヌ・ダルク> すみません…せっかく来てくれたのですが瞼も重く何かと粗相を行う前に今日はここで失礼しますね、   (2024/12/15 23:49:19)

エロガキ♂14C ◆> もう懐かしくなる程に前の話なんだねー。んー、どーだろ？おねーちゃんムーブしててもしてなくても、僕的にジャンヌおねーさんは好みだしなー。おやすみなさーい！またあそぼーねー！   (2024/12/15 23:49:29)

エロガキ♂19b ◆> いつもゴミ箱や棺桶にはいってるしそれぐらいなら...まだ優しいほうか、、はいはーい！おやすみ～ジャンヌちゃん～！   (2024/12/15 23:49:37)

ジャンヌ・ダルク> はい、お2人ともありがとうございました！それでは…私は暫くの間休ませていただきますね、おやすみなさい。   (2024/12/15 23:50:42)

おしらせ> ジャンヌ・ダルクさんが退室しました。  (2024/12/15 23:50:47)

エロガキ♂14C ◆> 眠い時に寝るのが一番だからねー。……人と話していないと寝れない、なんてすごく大変だから。   (2024/12/15 23:51:36)

エロガキ♂19b ◆> さて...ジャンヌちゃんも寝ちゃったことだしこのあと14cは寝るまえの待機しに行くんだっけ？...いい出会いがあるといいね～、なんて   (2024/12/15 23:52:08)

エロガキ♂14C ◆> んー？寝る前の待機の時間はジャンヌおねーさんとのお話に使ったから、僕はそろそろ寝るけど？   (2024/12/15 23:52:35)

エロガキ♂19b ◆> なーるほど...確かに時間を見ると待機時間分ぐらいなのか、、14Cは子供なんだししっかり寝るんだぞ～(俺が言えたことじゃない！！)   (2024/12/15 23:53:48)

エロガキ♂14C ◆> 寝落ち魔に言われたくない。（ｸﾞｻｯ）   (2024/12/15 23:54:19)

エロガキ♂19b ◆> グハッ...言葉の暴力が俺を襲った気がした、、だが！その程度なら...まだ致命傷で...すむ   (2024/12/15 23:56:34)

エロガキ♂14C ◆> 僕は自分の限界は理解してるから、限界にならない程度にちゃんと加減してるもん。ぼーっとしちゃうことはあっても、ね。……致命傷が、全てを失う事にならないといいね？それじゃ僕は寝るよ、おやすみなさい。   (2024/12/15
23:58:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/15 23:58:42)

エロガキ♂19b ◆> そうならないことを祈るよ...おやすみ～！！   (2024/12/15 23:58:52)

エロガキ♂19b ◆> さて、、どうせなら遊んでいこうか！！まだ寝るつもりはないしね！   (2024/12/16 00:09:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/16 00:09:29)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/16 12:04:17)

エロガキ♂19b ◆> こーんにちは！！！！誰かおらんかぁ！！(バン！)おらんか....   (2024/12/16 12:04:42)

エロガキ♂19b ◆> 誰もいないしご飯食べちゃっと   (2024/12/16 12:18:10)

エロガキ♂19b ◆> んんー、、出直そうか...まったあとでー！！   (2024/12/16 12:28:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/16 12:28:52)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/16 13:25:25)

エロガキ♂18hx> こんにちは～   (2024/12/16 13:25:33)

エロガキ♂18hx> 寒い…月並みですが(笑)   (2024/12/16 13:25:50)

エロガキ♂18hx> ウインタースポーツ…久々にやりたい。スキーでもスノボでも   (2024/12/16 13:29:23)

エロガキ♂18hx> またきますー   (2024/12/16 13:36:05)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/16 13:36:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/16 22:03:43)

エロガキ♂14C ◆> 色が脱色されてしまってた、こんばんはー。   (2024/12/16 22:04:06)

エロガキ♂14C ◆> 最近また負けが混むようになって来た予感……はー、別に勝っておねーさんに酷い目遭わせよーってわけじゃないのに、邪念扱いなのかなあ。   (2024/12/16 22:05:06)

エロガキ♂14C ◆> リベンジマッチ挑んだものの、お風呂で解けてる可能性もあるから一旦こっちでのんびりしつつ待ってみよーかな。   (2024/12/16 22:05:52)

エロガキ♂14C ◆> なんか驚くくらい人がいない？って思ったけど今日月曜日だったね、そーいえば。   (2024/12/16 22:14:55)

エロガキ♂14C ◆> 今夜こそ寝る前に一戦チャレンジして、ダメならおねんねパターンかなあー。   (2024/12/16 22:19:32)

エロガキ♂14C ◆> 勝負して勝たなきゃ甘えられないなんて歪んでるって言われちゃいそーな気もするけど、色々と仕方ないんだもん。色々と、ね。   (2024/12/16 22:24:47)

エロガキ♂14C ◆> こっちは一旦引こうかな。またゲーム部屋に行くよ、じゃあね。   (2024/12/16 22:30:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/16 22:30:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/16 23:02:24)

エロガキ♂19b ◆> こーんばんはー！！...だれもいない！！(クワッ！)   (2024/12/16 23:03:29)

おしらせ> ハクチョウさんが入室しました♪  (2024/12/16 23:11:37)

ハクチョウ> こんばんは。少しの間になるとは思いますが、お邪魔させていただきますね。   (2024/12/16 23:11:42)

エロガキ♂19b ◆> こんばんは～！！大歓迎だよ～！！何かあるようでなにもないところだげどそれでもよければゆっくりしてって～！   (2024/12/16 23:13:29)

ハクチョウ> この場所のことは大体開拓者さんから聞いていますが……実際にお邪魔するとなると少々緊張してしまいますね。   (2024/12/16 23:14:40)

エロガキ♂19b ◆> なら、ある程度は知ってるんだね～...勝負部屋でもないんだし、なにも緊張する必要はないさー！...襲うわけでもないしね。   (2024/12/16 23:16:02)

ハクチョウ> もし勝負部屋で会うことがあれば、お手柔らかにお願いします……。（勝負に、というわけではなく……敗けてしまった際の罰に手心をいただければ、と苦笑ひとつ。）   (2024/12/16 23:17:43)

エロガキ♂19b
◆> っと...ハクチョウちゃんとは初めましてだし自己紹介を～...ここと、勝負部屋によく沸いている19bだよ！人外やらなんやら呼ばれたりするけどいたって普通の一般人！！ってことでよろしくね！...それは難しいお願いかもねぇ、、ハクチョウちゃんみたいな可愛い子は...やっぱり弄びたくなっちゃうからさ！
  (2024/12/16 23:19:11)

ハクチョウ> あ、すみません、申し遅れました。私のことは、そうですね……。（ふむ、と少しの思考を挟み。）ハクチョウ、とお呼びください。もちろん本名ではありませんが……今はこちらの方が馴染みのある名前なので、よろしくお願いします。（加減なし、なんて言われてしまえばもう一つ苦笑を重ねて。負けられませんね、）
  (2024/12/16 23:22:34)

エロガキ♂19b
◆> もう呼んでるけどね～...女の子にはみんなちゃんずけするのが俺の流儀...本名はまぁいいや、、ハクチョウ...もとってもいい名前～、、生物的なハクチョウとは少し色が違うけど...そんなことは関係ないと言わすような美貌に長めの髪...魅力的なところが一杯な女の子って訳だ！(語りだすときりがない)
  (2024/12/16 23:26:42)

ハクチョウ> 恐らく私の方が年下ですし構わないのですが……慣れなくて少し照れ臭いですね。（ちゃん付け……、むず痒い感覚。嫌ではないのだけれど、）え、えっと……あ、ありがとうございます。口がお上手ですね。（少しだけ赤くなって、それを隠すように頬に片手を当てた。熱が、少し。）
  (2024/12/16 23:29:47)

エロガキ♂19b ◆> あら、可愛い反応で...もしかして褒められなれてないのかなぁー？...ハクチョウちゃんの承認欲求を満たすために語って上げようか～？...お兄さんそういうのは得意だと思いたい！！   (2024/12/16 23:31:43)

ハクチョウ> い、いえ！慣れてないのは確かなのですが……やっぱり、気恥ずかしさが勝ってしまうので、遠慮させていただきますね。それに、誰かに認められたいという欲求は充分に、これ以上なく満たされていますから……。   (2024/12/16 23:34:05)

エロガキ♂19b ◆> その言い方てきに本当みたいだね～..なら語るのは控えておこう！！...いまは、、ハクチョウちゃんの可愛さをこの目に焼き付けるだけにしておくね！！でもいつかは...食べさせて貰うよ～   (2024/12/16 23:36:17)

ハクチョウ> こ、ここまで外見を褒められる経験はなかったので、妙な気分になってしまいますね。私の周りには、綺麗な人ばかりだったので……。食べ……。（お料理は、少し、ちょっと、微妙に、苦手なのですが……。期待されているのであれば、何か作ってきた方がいいのでしょうか、なんて小首傾げ。）
  (2024/12/16 23:41:11)

エロガキ♂19b
◆> ハクチョウちゃんもトップクラスに可愛いと思うよ！！...それにこれからももっと可愛くなると勝手に思ってる～...あったばかりだけどね！！あ、食べるってのは料理じゃなくて、、ハクチョウちゃんを性的に食べるってことだよ～...分かりずらくてごめんねー。(クスクスと笑い)
  (2024/12/16 23:43:24)

ハクチョウ> そ、そんなことは……！でも、ありがとうございます。慣れてはいませんが……嬉しいです。（ぽぽぽ、って赤くなる顔。抑えられない……、）性的に……、あ、ああっ！それは、その……。……………、はい……。   (2024/12/16 23:44:34)

エロガキ♂19b
◆> 待て待て...さすがに可愛すぎるぞ？あれだ！！可愛いの渋滞ってやつだ！！...いまのハクチョウちゃんなら世の男の視線を全て自分に集めることはできるぐらい、、圧倒的な可愛さをほこってるよ！！...見られる視線はとんでもなく痛いだろうけど...  
(2024/12/16 23:46:50)

ハクチョウ> か、過分な誉め言葉ではないでしょうか……！これ以上は、少し……。（口元に手を当て、）顔が、緩んでしまうので……どうか勘弁していただけないでしょうか……。   (2024/12/16 23:52:02)

おしらせ> 廣井きくりさんが入室しました♪  (2024/12/16 23:52:05)

エロガキ♂19b ◆> 仕方ないなぁ...でも、、そんなハクチョウちゃんも、見てみたいんだよねぇ～、、お、こんばんは！   (2024/12/16 23:52:55)

廣井きくり> うぇ〜い！店長やってる〜？きくりおねーさんだぞ〜？こんばんは〜！！(酔っぱらいが現れた！)   (2024/12/16 23:53:01)

ハクチョウ> て、店長？（店長さんですか、みたいな視線を19bさんへと流した。）   (2024/12/16 23:53:51)

エロガキ♂19b ◆> 生憎とここに店長はいないぞー！！というか酔っぱらい二人目！？...お酒はないからね！！   (2024/12/16 23:54:56)

ハクチョウ> ……はっ、ええと……こんばんは。店長？さんはいらっしゃらないようですが……。（苦笑い、ここに来たのがツルさんじゃなくてよかった。お酒が提供されていたところでした。）   (2024/12/16 23:56:21)

廣井きくり> ちょっとぉ〜…なんでこんなにしんみりしてんの？もっとテンション上げていこーよぉー！あ〜！君が店長さぁん？店長！！いつものやつ！(部屋の支柱を手で叩きながらお酒を頼む姿は紛うことなき酔っ払い。)あ…なんか店長硬くない？しかも反応ないし〜…ねぇ〜、ねぇってば〜……あ〜？お酒ないの〜？
  (2024/12/16 23:56:34)

廣井きくり> はぁいこんばんは〜！！ベーシストの廣井きくり …きくりお姉さんだぞ〜！(ひっく…)   (2024/12/16 23:57:04)

エロガキ♂19b ◆> 酒なんてねぇよー！！しんみりしてたというかハクチョウを口説いてたというか！！女の子の赤面姿っていいと思わない？...どうしても酒がほしいなら提供しないこともないけどな！！   (2024/12/16 23:57:51)

ハクチョウ> ベーシスト……ベースギターですか？かっこいいですよね、音楽の輪郭とも言える役割……。（できることなら一度触ってみたいものです、とギターを構えた自分を想像して。……似合わない、）   (2024/12/16 23:59:00)

廣井きくり> かぁー…！！若いねぇ…いいよもう！！私は1人寂しくおにころ飲んでるから口説いてなよ！！ちくしょー！！私だって昔はピチピチの女子高生だったんだぞー！！   (2024/12/16 23:59:42)

ハクチョウ> （口説かれていたんですか……！？って顔をした、それは……鈍感で申し訳なかったと言いますか……。）   (2024/12/17 00:00:15)

廣井きくり> おー？そっちの子はバンドとか興味ある子〜…？うへへへ…そうそう、リズム隊って言ってもわかるかな？私は何気に凄いんだから〜…これでも人気あるのよ？そしてこれが私の命よりも大事な相棒のベース！！(すっ…ない。)……さっき居た飲み屋に置いてきちゃった
  (2024/12/17 00:01:46)

エロガキ♂19b ◆> なんだー...きくりちゃんも口説いてほしいのかいー？...俺はどんなことで口説きにいっちゃうよー！..鈍感なのもポイントは高め、、難易度が高いのはだいかんげいだからね！   (2024/12/17 00:02:39)

ハクチョウ> バンドとは少々違うのですが、アイドルを追っかけるのが好きで……。私自身もピアノを習っていましたから、音楽というもの自体に馴染みが……って、ええっ！？（ベースギター、それなりに高額な物だった気がするのですが……！）   (2024/12/17
00:03:31)

廣井きくり> あっはははは！君面白いね〜…ほれほれ、お姉さんを口説いてみなよ？何？緊張してる〜〜…？そんなに畏まらなくていいってばぁ、ほらー！(再び柱べしべし)アイドルかぁ〜…くぅ……昔の私が選べたかもしれない世界線がそこにあった！？…あ〜………ジャンルとかは違うかもしれないけど、同じ音楽の道にお仲間同士じゃん！そっちの子…名前わかんないけど、今度ベースの私と、ピアノの君でなんか一曲演奏してみるぅ？私〜…なんでも合わせてあげるよー？どう？どうかなぁ？(今度は椅子に話し掛けてる、片手にはいつの間にか紙パックのおにころ。)
  (2024/12/17 00:07:06)

エロガキ♂19b
◆> きくりちゃんはねぇ～...あいにくとお酒飲んでるとこしか見てないから素のことはいえないけど...1番なのはその笑顔だよね～、、お酒のこうかかいつもニコニコしてる気がする？...おっぱいは控えめだけど、、身体のバランスはすごくよくて...魅力的だよねー、、ハクチョウちゃんにもいったけどその紫の髪もと～っても素敵だと勝手に思ってる！(唐突な語り！！)
  (2024/12/17 00:07:20)

廣井きくり> 君今胸のこと話した〜？セクハラだぞ、セ ク ハ ラ ♡あー…なんかよくわかんないけどめっちゃ褒められて気分いい！よぉし…こんなに良い子の為なら私は何杯だって呑んでやる！！   (2024/12/17 00:09:32)

エロガキ♂19b ◆> ふっ、、セクハラでけっこう！！ちなみに大きさはハクチョウちゃんの圧勝！   (2024/12/17 00:10:03)

廣井きくり> 1=おにころ1本 2=おにころ5本 3=おにころ10本   (2024/12/17 00:10:39)

廣井きくり> 1d3 → (1) = 1  (2024/12/17 00:10:56)

ハクチョウ> え、ええと……私のことはハクチョウとお呼びください。あと、こっちです……。（椅子に話しかける女性に戸惑いつつも、視線の先に移動して屈み。椅子の隣。）素敵なお誘いですが、そのためにはまずベースギターを取り戻さないといけませんね……。（セッションは是非、と答えたいところだけどギターがなければそうもいかない。先ほど飲んでいたというお店はどちらでしょう、と訊ねても……返ってきますかね、答え。）
  (2024/12/17 00:10:59)

ハクチョウ> （控えめ……！）   (2024/12/17 00:11:04)

廣井きくり> …湿気てる！！(ぐびぐび。)   (2024/12/17 00:11:09)

ハクチョウ> （とんでもない発言が聞こえてきたけれど、この場所はそういう発言も当然なのだろうと自分を納得させ──心なしか、屈むのに合わせて胸の辺りを腕で隠した。）   (2024/12/17 00:12:32)

エロガキ♂19b ◆> 仕方ないなぁ...ベースとピアノぐらいならここに、、(押し入れから引っ張ってきて...)ここは何でも揃うばしょ、なんてね！   (2024/12/17 00:12:32)

ハクチョウ> どうしてそんなところに……！い、いえ。流石に今から弾くのはご近所に迷惑ですので……！（時計をちらり、日も変わったところです。）   (2024/12/17 00:13:52)

エロガキ♂19b ◆> 防音は完璧とは...いえないかな、！隣のへやからたまーに喘ぎ声が聞こえてくるし！！...もうかわったの！？   (2024/12/17 00:14:55)

廣井きくり> ハクチョウちゃん…綺麗な名前だね〜…ひっく。あ、君がハクチョウちゃん？うへへ…へへ(よっぱ特有のダル絡み寸前、ほぼ開いてない目で目の前の椅子！…の隣の子を見つめた)あー…ダメダメ、ベースはさ…やっぱいつものじゃないと気分乗んないっていうかさー？私にはぁ…一番の相棒がいるのよ〜(その相棒は今、酒屋に放置されてるのは言うまでもない。まぁ大丈夫、何せいつも忘れるから酒屋の店長も店員も「またか」くらいで保管してくれてるはず)
  (2024/12/17 00:16:16)

エロガキ♂19b ◆> 二人とも演奏の気はなし！...なら押し入れにしまっとくね！(だしたばかりの楽器を押込み)しかし...可愛い子が二人、、眼福眼福～   (2024/12/17 00:17:42)

廣井きくり> あ〜…2人はまだ寝ないの〜？   (2024/12/17 00:18:24)

ハクチョウ> はい、ハクチョウです。……随分お酒が入っているようですが、大丈夫ですか？（心配気に見つめるけれど、質問を受けて……。確かに、外出許可が下りた時間にはもうすぐ制限が迫っていて。）そうですね、私はこの辺りで失礼しようかと……。ピアノはまた、お昼にでもお邪魔した時に演奏させていただきますね。
  (2024/12/17 00:19:37)

エロガキ♂19b ◆> 俺は寝る気はないよー！   (2024/12/17 00:19:45)

エロガキ♂19b ◆> ふふっ、ハクチョウとはここでお別れか...また会えたとき、、そのときは食べちゃうかも！   (2024/12/17 00:20:33)

廣井きくり> えーん…ハクチョウちゃんはもう帰るの〜？せっかくなんだし朝まで飲み明かそうぜ〜！とか言って引き止めたらなんか怒られる気がした…じゃあおやすみ〜！お酒は飲んでのれちゃだめよ〜？   (2024/12/17 00:21:03)

ハクチョウ> お、お手柔らかに……。（食べちゃう、今度はそのままではなく意図通りに伝わって。想像した光景に、折角引いた顔の熱が戻ってきてしまって。）   (2024/12/17 00:22:37)

ハクチョウ> は、はい。きくりさんも、お酒は程々に……。（では、お先に失礼致します。と二人に深々と頭を下げては、少し駆け足でお部屋を後にします。外出許可の時間内に間に合うでしょうか……、）   (2024/12/17 00:23:39)

おしらせ> ハクチョウさんが退室しました。  (2024/12/17 00:23:44)

エロガキ♂19b ◆> 最後まで可愛かったね～...またねー！   (2024/12/17 00:24:08)

エロガキ♂19b ◆> きくりちゃんは、、朝まで飲みあかすのかなぁ？...泥酔したら、、おそうかもー？   (2024/12/17 00:24:53)

エロガキ♂19b ◆> というかもう、、泥酔してないか！？...ほな襲うか～   (2024/12/17 00:27:04)

廣井きくり> ンだよー？、   (2024/12/17 00:27:30)

エロガキ♂19b ◆> 泥酔しててもその可愛さでしょー？素面は...まじで見たことないからあれだけど、、ほんとに襲うぞー？なんて！   (2024/12/17 00:29:21)

廣井きくり> 襲う襲うってそればっかじゃーん？他の子らにもその調子なの〜…？(扉に声掛けてる)   (2024/12/17 00:30:39)

エロガキ♂19b ◆> そんな感じだねー...あいにくとエッチなこと大好きなんでねー！！、、可愛い子を見ると...つい、ね？   (2024/12/17 00:31:38)

廣井きくり> あ〜あ！だから彼女できないんだよ！！そんなばっかじゃつまんねーって言われても仕方ないよ〜？あ、でもエロガキならそんなもんかぁ…じゃあお姉さんとお酒飲む？甘酒ならいけるっしょー！   (2024/12/17 00:32:54)

廣井きくり> 1=飲ませる(強引) 2=飲ませない(大人の配慮) 3=私が飲む 4=ゲーム   (2024/12/17 00:33:58)

廣井きくり> 1d4 → (3) = 3  (2024/12/17 00:34:02)

エロガキ♂19b ◆> 生憎と彼女ができないとかは、、まぁいないけどね！！だから色んな女の子とを関係を持ってるというか...ってきくりちゃんが飲むんかい！！   (2024/12/17 00:34:47)

廣井きくり> ひっく…うへ〜。んもいっぱい！店長焼酎水割り！！(ぐびぐび)   (2024/12/17 00:34:59)

廣井きくり> サイコロのせいだから…私が飲んじゃダメなの！？お酒があればみんな幸せになれるのに！！   (2024/12/17 00:35:37)

エロガキ♂19b ◆> 飲んでもいいよ！！...そのお酒飲んでる姿も素敵だしね、、正直ずっと見てられる...   (2024/12/17 00:37:06)

