/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 22時03分 ～ 2024年11月14日 21時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/13 22:03:22)
エロガキ♂19b ◆> いや？今回は普通よ、奇行種って言われたからそれっぽいことをしただけ～   (2024/11/14 00:26:42)

エロガキ♂12Ω ◆> 最早奇行してないと違和感あるよな正味。   (2024/11/14 00:27:34)

エロガキ♂12Ω ◆> 結構気遣いしいで優しいのは知ってるけど。   (2024/11/14 00:27:58)

エロガキ♂19b ◆> んなことないよ、ちゃんと節度を弁えて奇行してます！！....お兄さんが優しいと思ってるなら君はまだまだですなぁ   (2024/11/14 00:28:23)

エロガキ♂12Ω ◆> それ胡桃姉ちゃんとかも同じ事言うと思うぜー？ピエロが似合ってないと言うか下手くそなのも考えもんだな。   (2024/11/14 00:29:37)

エロガキ♂19b ◆> ざんねん...実際お兄さん裏では狼なんです！！(違うそうじゃない)   (2024/11/14 00:30:05)

エロガキ♂12Ω ◆> 男は皆そんなもん。優しい顔して近付いてペロッと食っちまう狼なのさ。(ゲス)   (2024/11/14 00:30:45)

エロガキ♂19b ◆> ちなみにだけど～お兄さんは気遣いしてるつもりはもうとうないからねー、女の子は皆食べるし？仕込むし？   (2024/11/14 00:31:38)

エロガキ♂12Ω ◆> そういう奴は節度弁えた奇行なんかしません～。それを言うなら俺だって似たようなもんよ。   (2024/11/14 00:33:46)

エロガキ♂19b ◆> 似た者同士ですねぇ～...さぁさぁ！クールタイムも過ぎたことだしそろそろ狩りの時間がやってきたんじゃないですか～？(ケラケラ)   (2024/11/14 00:34:54)

エロガキ♂12Ω ◆> 時間も時間だし誰か来そうっちゃ来そうだな～。狩場分ける？それとも徒党組んで各々好きな雌狙い？(ニヤリ。)   (2024/11/14 00:37:16)

エロガキ♂19b ◆> お兄さんはねぇ...残念だけど行かないんですねぇ～。ここでゆーっくり観戦させて貰うからさ！   (2024/11/14 00:38:55)

エロガキ♂12Ω ◆> 覗き見とは良い趣味してますなぁ。あいあい、んじゃ適当に行ってきますわー。   (2024/11/14 00:39:42)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/14 00:39:48)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/14 00:39:54)

エロガキ♂19b ◆> とまぁ、、送り出したはいいけど、となると寂しくなってるのもまた事実～。   (2024/11/14 00:42:45)

エロガキ♂19b ◆> お話し相手もいなさそう～、、ちょっとでようかな   (2024/11/14 00:54:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 00:54:48)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/11/14 04:07:02)

エキドナ ◆> 寝入る前に少しだけお邪魔させてもらおうか、、   (2024/11/14 04:07:29)

エキドナ ◆> あまり長居をするつもりも無いから安心してもらって構わないよ、、(ソファに腰掛けて、もたれながらぼんやり扉見てて)   (2024/11/14 04:13:56)

エキドナ ◆> 普段からとも言えるから仕方ないね、、また来させてもらおうかな、、とそう言えば彼はしっかりと眠れるようになったのだろうか、？(くす、)ボクは失礼させてもらうよ、、   (2024/11/14 04:20:01)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/14 04:20:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 08:14:14)

エロガキ♂19b ◆> 寝落ちからは逃げられないぜ！！   (2024/11/14 08:18:00)

エロガキ♂19b ◆> 朝は誰もいないねぇー   (2024/11/14 08:26:26)

エロガキ♂19b ◆> 一旦落ちよー   (2024/11/14 08:37:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 08:37:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 09:23:07)

エロガキ♂19b ◆> 朝は意外とやることがない...   (2024/11/14 09:25:46)

エロガキ♂19b ◆> っとと、やっぱ誰もいなさそうやし撤退しましょうー   (2024/11/14 09:39:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 09:39:29)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/14 11:52:59)

星 ◆> くぁ……、（いくらコーヒーを飲んでも全然目が覚めないな……ってふらふら。ソファにぱたん、）   (2024/11/14 11:53:28)

星 ◆> 折角だし、お昼寝にしようかな……。（でも夜眠れなくなっちゃうのは困るな、）   (2024/11/14 12:05:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 12:05:46)

エロガキ♂19b ◆> よっと...こんにちは星ちゃん！寝るとこだった～？   (2024/11/14 12:06:18)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/14 12:06:22)

エロガキ♂14C ◆> こんにち……うわ！？先客がたくさんいた！（リロードしてないだけ）   (2024/11/14 12:06:46)

星 ◆> うわ、びっくりした。あんた達本当に仲が良いね……。（むくり、揃って来た二人に片手上げ、）   (2024/11/14 12:07:17)

エロガキ♂19b ◆> やっほ～14c、こんにちは～！   (2024/11/14 12:07:42)

エロガキ♂14C ◆> タイミング会うからって仲良いか、って言われると……（うーん、首傾げちゃう。）   (2024/11/14 12:08:02)

エロガキ♂19b ◆> 仲良しだろ～？(圧)   (2024/11/14 12:08:51)

星 ◆> ……？少なくとも14Cは普段から19bに甘えてるじゃない、   (2024/11/14 12:09:35)

エロガキ♂14C ◆> こわ。あと甘えてはない。ホントに。（真顔）   (2024/11/14 12:10:00)

星 ◆> そうかな……、（19bなら大丈夫だと信頼して殴ってるように見えたけど、って目線。）   (2024/11/14 12:10:47)

エロガキ♂19b ◆> んま、14cはおっぱいがでかい女の子に甘えたいもんねぇ～(ケラケラ)つまり俺はサンドバック....？   (2024/11/14 12:11:17)

エロガキ♂14C ◆> 甘えるというよりはサンドバッグとしての信頼性……？   (2024/11/14 12:11:47)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/11/14 12:12:18)

星 ◆> ふ……、（それも一種の関係性、って大人びた視線だけ向けておこう。全然子供だけど。童心失ってないけど、）   (2024/11/14 12:13:05)

エロガキ♂14C ◆> 僕も理不尽にはしばいたりしないしねー。っていうか、しばきたくなるような立ち振る舞いする人が基本いないというか……？   (2024/11/14 12:14:23)

エロガキ♂19b ◆> なんだよー！！そんなおかしいことしてないぞ？壁壊したり扉壊したり天井から飛び下りたり....棺桶から...飛び出したり....あー、、うん。おかしいね...はい、それでも！！俺はやめる気はないぞ！   (2024/11/14
12:15:39)

星 ◆> （これは殴っていいかも、）   (2024/11/14 12:16:25)

エロガキ♂14C ◆> （なっぐりにぃいこーか〜）   (2024/11/14 12:17:06)

エロガキ♂19b ◆> (今回はなにもしてないぞ！？)   (2024/11/14 12:17:40)

おしらせ> エロガキ♂14MR ◆uG.g2yTTU2さんが入室しました♪  (2024/11/14 12:17:53)

エロガキ♂14MR ◆> こんな時間なのに人いるねー！おじゃましまーっす！   (2024/11/14 12:18:07)

エロガキ♂14C ◆> こんにちはー   (2024/11/14 12:18:26)

エロガキ♂19b ◆> やっほ～、こんにちは   (2024/11/14 12:19:14)

エロガキ♂14C ◆> 流石にゲーム部屋行けるほどの余裕はないんだけど、なんとなくこう誰かと話したいかも？的な気分で来てるしなぁ。（もぐもぐ）   (2024/11/14 12:19:52)

エロガキ♂14MR ◆> そうなんだー？エロガキ三人で星お姉ちゃん囲んで罰与えるのも楽しそうだなーって思ったのに！   (2024/11/14 12:20:35)

星 ◆> いや、私が行かないから……。   (2024/11/14 12:20:50)

エロガキ♂14C ◆> 星おねーさんはお仲間を売……もとい、たまにお仲間が気が向いた時に顔出すとかだもんね。   (2024/11/14 12:21:32)

星 ◆> ……タイミング悪いけど、私はちょっとお昼食べてくるね。（もうとっくに12時回ってた、ってそそくさと立って。残る三人に手を振って行こう、）   (2024/11/14 12:21:44)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/14 12:21:51)

エロガキ♂14C ◆> いってらっしゃーい（手ふりふり）   (2024/11/14 12:21:58)

エロガキ♂14MR ◆> いってらっしゃーい！逃げられちゃった！   (2024/11/14 12:22:12)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/14 12:22:28)

エロガキ♂14C ◆> 僕はおねーさん捕まえたい時はストレートにゲーム部屋行くしなあ。勿論捕まえられる保証は一切なし！当たって飛び散れ！   (2024/11/14 12:23:13)

エロガキ♂19b ◆> 飯どうしようかな...めんどいしチャーハンでいいや   (2024/11/14 12:23:15)

エロガキ♂14MR ◆> 今ゲーム部屋誰もいないしなー...   (2024/11/14 12:24:23)

エロガキ♂19b ◆> この時間はこないのだよ！40分から1時半ぐらいまでならもしかしたら誰か来るかも？   (2024/11/14 12:24:57)

エロガキ♂14MR ◆> そんなもんかー、気になってるお姉さんたちが来ればいーけど！   (2024/11/14 12:25:23)

エロガキ♂14C ◆> どちらかと言えば12時半回ったあとくらいの方がいるイメージは確かにあるかも。   (2024/11/14 12:25:26)

エロガキ♂19b ◆> んま、確実に遊びたいならやっぽ夜よな   (2024/11/14 12:27:24)

エロガキ♂14MR ◆> 19は夜も空振り多くない？   (2024/11/14 12:27:48)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/11/14 12:28:04)

エロガキ♂14C ◆> （直球ストレート…）   (2024/11/14 12:28:17)

エロガキ♂14MR ◆> 空振りだけにね！   (2024/11/14 12:28:36)

エロガキ♂19b ◆> んま、実際19なんて需要の欠片もないからね～、お兄さんは別で色々やってるからいいけど   (2024/11/14 12:28:53)

エロガキ♂14C ◆> 色々ヤってるらしいよ（ひそひそ）   (2024/11/14 12:29:20)

エロガキ♂14MR ◆> でもやっぱりお姉さんが先にいるところにすかさず入ってたっぷりセクハラしてから勝負した方が楽しいよねー！   (2024/11/14 12:29:26)

エロガキ♂14MR ◆> 僕それで勝率いまのところ100％！   (2024/11/14 12:29:44)

エロガキ♂14MR ◆> ２回しかやってないけどｗ   (2024/11/14 12:30:04)

エロガキ♂14C ◆> （最近開始前セクハラしてない（する余裕なくなることの方が多いが正しい））   (2024/11/14 12:30:15)

エロガキ♂19b ◆> 勝負しすぎて何戦してるかは覚えてないなぁ   (2024/11/14 12:30:48)

エロガキ♂14MR ◆> 14も連敗とかしてるみたいだしもっと開始前セクハラして動揺誘ってみればー？   (2024/11/14 12:31:07)

エロガキ♂14C ◆> もうそれはリセットされたから……   (2024/11/14 12:32:38)

エロガキ♂14C ◆> 大体マッチングして先攻後攻決めたりしてるうちに後入りが雪崩れてきて余裕なくなるとか結構あるあるだからね！？   (2024/11/14 12:33:12)

エロガキ♂14MR ◆> そーなんだｗ   (2024/11/14 12:33:59)

エロガキ♂14MR ◆> 普段あんまり参加しないような人ほどレアだしえっちしたいよねー！   (2024/11/14 12:34:28)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/14 12:35:10)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/14 12:35:19)

エロガキ♂14C ◆> 僕の場合えっちしたいは確かにあるけど、半分くらいはゲーム楽しんでる節はあるしなあ。   (2024/11/14 12:35:26)

エロガキ♂19b ◆> やっほー、こんにちは～   (2024/11/14 12:35:32)

エロガキ♂15R ◆> 乗るしかないっ！このエロガキウェーブにっ！   (2024/11/14 12:35:37)

エロガキ♂14MR ◆> 15じゃん、よっすー！   (2024/11/14 12:35:47)

エロガキ♂14C ◆> こんにちはー、段々とエロガキの集るコンビニ前風景みたいに……（？）   (2024/11/14 12:36:09)

エロガキ♂15R ◆> やっほー！よっすーっ！   (2024/11/14 12:36:29)

エロガキ♂14MR ◆> ゲームはあってもなくてもかなー、ただゲームで負かすと女の子が絶対服従になるのはいいよね！   (2024/11/14 12:36:33)

エロガキ♂14MR ◆> 色かえとこ！   (2024/11/14 12:37:12)

エロガキ♂14C ◆> 僕はゲームと罰ゲーム通して生まれる（因）縁とか駆け引きが面白いと思ってやってるからねー。   (2024/11/14 12:38:07)

エロガキ♂15R ◆> ぼくは勝負メインっ！勝てばイイコト出来るってイメージっれ   (2024/11/14 12:39:53)

エロガキ♂15R ◆> れ？   (2024/11/14 12:40:04)

エロガキ♂14C ◆> れれれのれ   (2024/11/14 12:40:14)

エロガキ♂14MR ◆> じゃあもし同席したら女の子譲ってよー、ハーレムプレイとかもしてみたいなー！   (2024/11/14 12:40:58)

エロガキ♂15R ◆> やーだよっ！ぼくも女の子としたいもんねっ！   (2024/11/14 12:41:36)

エロガキ♂14MR ◆> 結局ヤりたいんじゃーん！   (2024/11/14 12:41:56)

エロガキ♂15R ◆> それはエロガキみ〜んなそうっ！   (2024/11/14 12:42:29)

エロガキ♂14C ◆> そうじゃなきゃきっと別のお部屋行くでしょ……！？   (2024/11/14 12:42:32)

エロガキ♂14MR ◆> エロガキだからね！   (2024/11/14 12:42:39)

エロガキ♂14C ◆> さてと、悪いけどカラフルエロガキから一抜けだよー、そろそろ戻らなくちゃ。またねー。   (2024/11/14 12:44:00)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/14 12:44:07)

エロガキ♂15R ◆> そう名前にも書いてあるっ！   (2024/11/14 12:44:08)

エロガキ♂14MR ◆> ばいばーい！   (2024/11/14 12:44:13)

エロガキ♂15R ◆> お疲れ様っ〜   (2024/11/14 12:44:15)

エロガキ♂19b ◆> お疲れさま～！！   (2024/11/14 12:44:21)

エロガキ♂14MR ◆> 僕もお姉さん来なさそうだし行こうかなー、おつかれー！   (2024/11/14 12:44:28)

おしらせ> エロガキ♂14MR ◆uG.g2yTTU2さんが退室しました。  (2024/11/14 12:44:41)

エロガキ♂15R ◆> おつかれーっ   (2024/11/14 12:44:52)

エロガキ♂19b ◆> おつかれ！   (2024/11/14 12:45:05)

エロガキ♂15R ◆> 残ったぼくもあと5分位で居なくなるけどねっ！   (2024/11/14 12:45:30)

エロガキ♂19b ◆> 俺はご飯食べてるからまだしばらくはいるかなぁ   (2024/11/14 12:46:19)

エロガキ♂15R ◆> ずばりっ！今日のお昼ご飯は〜？   (2024/11/14 12:47:47)

エロガキ♂19b ◆> チャーハンだよー   (2024/11/14 12:48:21)

エロガキ♂15R ◆> 昨日のぼくと一緒っ！今日ぼくうどん食べたらから19bさんもうどんねっ？   (2024/11/14 12:49:47)

エロガキ♂19b ◆> えぇ...でもうどんはしばらく食べてないから夜ごはんにしてもいいかも？   (2024/11/14 12:50:51)

エロガキ♂15R ◆> …冗談ですよ？？久しぶりに食べたらきっと美味しいよっ！   (2024/11/14 12:51:48)

エロガキ♂15R ◆> さて、ぼくも出ますっ！またお会いしましょうっ！   (2024/11/14 12:52:27)

エロガキ♂19b ◆> 案にはいれておく～、うどん...○亀いくか...   (2024/11/14 12:52:49)

エロガキ♂19b ◆> お疲れぃ！！   (2024/11/14 12:52:59)

エロガキ♂15R ◆> 丸◯製麺は良いぞ…   (2024/11/14 12:53:09)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/14 12:53:10)

エロガキ♂19b ◆> 1人になると静かになるよねぇ(モグモグ)   (2024/11/14 12:57:44)

エロガキ♂19b ◆> さて、、行きますか～！！   (2024/11/14 13:11:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 13:11:32)

おしらせ> シンデレラさんが入室しました♪  (2024/11/14 18:48:37)

シンデレラ> こんばんは...ほんの少しだけお邪魔させて貰うわね...   (2024/11/14 18:51:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/14 18:55:43)

エロガキ♂14C ◆> こんばんはー。   (2024/11/14 18:55:58)

シンデレラ> あら、こんばんは...   (2024/11/14 18:56:43)

エロガキ♂14C ◆> なんだかお疲れ気味なのかなー？だいじょーぶ？（つんつん）   (2024/11/14 18:57:13)

シンデレラ> つつかなくても大丈夫よ...それともまた、あの時のように苛められたいのかしら？♡   (2024/11/14 18:57:53)

エロガキ♂14C ◆> ちぇー、心配してただけなのにー。いじめられて喜ぶ訳ないしー！   (2024/11/14 18:58:27)

シンデレラ> 心配してくれてたの？...とても嬉しいは♡でも...泣いてる貴方もとても素敵だったわよ？   (2024/11/14 18:59:45)

エロガキ♂14C ◆> 恥ずかしがらせるならともかく、泣かせて喜ぶとかやっぱりサイテーだ……！僕からしたら王子様扱いしてくれるシンデレラおねーさんのほーが素敵だったけどー？   (2024/11/14 19:01:04)

シンデレラ> それは貴方がやりたいことをしたからだと思うは♡...可愛いこの泣き顔はとてもいいのよ....あんなことをされたくないならもう私に負けないように頑張りなさい♡でないと...ふふっ♡他の子にしたようなことをしてあげてもいいわね♡  
(2024/11/14 19:03:16)

エロガキ♂14C ◆> あの時は負けが込んでたから泣いたりしたけど、もー泣かないもんねーっだ！（べー）僕たちを泣かせるのが好きなんて、本当いい趣味してるよね……   (2024/11/14 19:04:43)

シンデレラ> ふふっ...趣味だなんて...私は罰を与えるのも罰を受けるのもどっちでもいけるの...負けたらどんな風にされてしまうのか...貴方のように甘えてくる子もいれば容赦なく襲いかかってくるこもいるは♡勝てれば....貴方にしたように貴方たちにとってもっとも罰になることを与えるの...とっても素敵でしょう？♡
  (2024/11/14 19:07:25)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/14 19:08:35)

ヒシミラクル> 誰かいる…こんばんわ……(目が死んでれら、な状態で入室)   (2024/11/14 19:09:03)

シンデレラ> あら、、こんばんは...♡   (2024/11/14 19:09:30)

エロガキ♂14C ◆> こんばんはー？はじめましてだっ……ってなんで瀕死！？   (2024/11/14 19:09:41)

エロガキ♂14C ◆> まーいいよ、シンデレラおねーさんにはとにかく勝った時のことだけ考えるよーにするしっ。   (2024/11/14 19:10:21)

ヒシミラクル> こんばんわ〜……いえ、今日は少しプールで念入りに扱かれまして〜……あぁ…あんまり気にしなくて大丈夫だよ…いつものことだから…   (2024/11/14 19:10:31)

ヒシミラクル> 場を白けさせるわけにもいかないから、プリンを買ってきたよ……俺のプリンとか好き？   (2024/11/14 19:11:27)

エロガキ♂14C ◆> あー……（プール嫌いなんだっけ、と納得しつつじとーと。）   (2024/11/14 19:12:04)

エロガキ♂14C ◆> プリン好きー！   (2024/11/14 19:12:16)

シンデレラ> いただこうかしら...   (2024/11/14 19:13:07)

ヒシミラクル> 何で世界にはプールというものが存在しているのだろう……(遠い目)   (2024/11/14 19:13:16)

エロガキ♂14C ◆> プール僕は好きだけどなー？泳ぐの楽しいし、水着のおねーさん見られるしっ♪   (2024/11/14 19:13:48)

ヒシミラクル> 実はこれ、公式には販売終了してまして〜…ちょっとしたツテで入手したものなのね。ボリュームがすごいいっぱいあるからガッツリ食べられるよ〜(お二人にプリンをスイーーー、パスしよう)   (2024/11/14 19:14:42)

シンデレラ> 私はプールというものに入ったことがないからわからないは...そうなのね...量産しましょうか..   (2024/11/14 19:15:23)

ヒシミラクル> そうだよね、普通はみんなプールが好きなんだよね……私が非国民なだけだよね…   (2024/11/14 19:15:24)

エロガキ♂14C ◆> シンデレラおねーさんの場合、そもそもの着てるのが水着以上にえっちだったりする件。   (2024/11/14 19:16:13)

エロガキ♂14C ◆> いただーきまーっす！（パスされたプリンに早速スプーン突き立ててもぐもぐ）……え、いや、プール嫌いだから非国民は言い過ぎじゃ……！？   (2024/11/14 19:16:58)

シンデレラ> 私はドレスを着ているだけよ...なにもエッチではないは♡   (2024/11/14 19:17:02)

ヒシミラクル> 見てるだけならわたしもありなんだけどなぁ…   (2024/11/14 19:17:03)

ヒシミラクル> あるあるー、水着以上にえっちな衣装〜……ブルボンちゃんの勝負服とかねー   (2024/11/14 19:18:01)

エロガキ♂14C ◆> そのドレスのデザインがね？？？（じー。）確かにブルボンおねーさんの勝負服は……すごく、えっち！   (2024/11/14 19:18:32)

ヒシミラクル> (やっぱり子供はデザートなどをかっ込んでる姿がしっくりくるなー、と)プールの利点って、水着姿が見れることくらい……なら水を使わずにプールサイドのみでトレーニングする運用があってもいいのでわわわ〜   (2024/11/14 19:20:36)

シンデレラ> 貴方には刺激が強すぎたかしら？...エッチなのでいえばだけれど...ヒシミラクルさんもすこしだけ..えぇ、、すこしだけ下半身の方がふくよかなのはエッチではないかしら？...美しさは私が1番よ♡   (2024/11/14 19:21:58)

ヒシミラクル> ブルボンちゃんの衣装、後ろから見る時とかすごいよ……もちもちぷるぷるだよ〜…   (2024/11/14 19:21:58)

エロガキ♂14C ◆> （プリンもぐもぐしながらヒシミラクルおねーさんの物思いな視線にはきょとん、と首傾げ）水着っていいよねー。シンデレラおねーさんもいっそ水着選びとか……あ、そーいうシチュエーションでゲームから始めればいいのか！   (2024/11/14
19:22:48)

ヒシミラクル> あはは、わたしはどうかな〜……普通を地で行くようなウマ娘、ヒシミラクルどころかヒシノーマル、普通のプロフェッショナルなので〜   (2024/11/14 19:23:14)

エロガキ♂14C ◆> （お尻もだけど横乳もえっちだよ、と脳内に語りかけておくね）   (2024/11/14 19:23:18)

シンデレラ> 私はそういったものを知らないは...貴方が思うような反応は返せないと思うのだけれどいいのかしら？＞14c君   (2024/11/14 19:24:13)

シンデレラ> 普通のウマ娘は勝利を重ねたりしないは...自信を持ちなさい♡   (2024/11/14 19:24:57)

ヒシミラクル> レクリエーションとかバケーションとして楽しむプールはわたしも嫌いんじゃないんだよ〜……でも鍛えるのは、ちょっとね……(トレーナーさんも泳げ泳げ煽ってくるから、やだー、ぶーぶー)   (2024/11/14 19:25:18)

エロガキ♂14C ◆> むぅ、知らないものを着せて困られてもそれは楽しくないなぁ……（むぅ）>シンデレラおねーさん   (2024/11/14 19:25:19)

ヒシミラクル> えっへへ〜…♡そうかなー？ありがとね…♡   (2024/11/14 19:25:54)

ヒシミラクル> 着たらそれはそれで凄いんだろうな〜……エロガキちゃんたちの視線を独り占めー、みたいな？   (2024/11/14 19:26:55)

エロガキ♂14C ◆> （ズブいだのなんだの言われてても、ヒシミラクルおねーさんもふつーに可愛いよなー、なんて視線向けつつプリン完食。）   (2024/11/14 19:27:08)

ヒシミラクル> (横乳わかるわかる)   (2024/11/14 19:27:11)

ヒシミラクル> (そう？のんびりマイペースでやってますよ〜…お粗末様でした、と)   (2024/11/14 19:28:09)

ヒシミラクル> ふぅ、お話したら少し元気出た……このまま死んだ魚の目をしながら、死んだ魚を食べる流れになってたしね〜…   (2024/11/14 19:28:55)

エロガキ♂14C ◆> ごちそーさまっ、美味しかった！ありがとね、ヒシミラクルおねーさん！（んふー、と満足気に。横乳とおっぱいでぶるんぼるん。）   (2024/11/14 19:30:04)

エロガキ♂14C ◆> 何処まで摩耗しちゃってるんだこのおねーさん……   (2024/11/14 19:30:33)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/14 19:30:45)

胡桃 ◆> 私の助けが必要だと聞いてきたよ！(どどん、)   (2024/11/14 19:30:57)

エロガキ♂14C ◆> （すかすかっ   (2024/11/14 19:31:00)

ヒシミラクル> どういたしまして、プリンを食べながらブルボンちゃんのぷりんぷりんの話をするというのも中々趣がある…？(謎)   (2024/11/14 19:31:10)

シンデレラ> あら、こんばんは...   (2024/11/14 19:31:13)

ヒシミラクル> あ、こんばんわ〜〜…お邪魔してまーすぅ…   (2024/11/14 19:31:25)

エロガキ♂14C ◆> こんばんは、で同州パワーで何が実現できるのかな？（わくわく）   (2024/11/14 19:32:10)

ヒシミラクル> 大丈夫だよ、明日は逃げ切ってみせるから…！   (2024/11/14 19:32:23)

エロガキ♂14C ◆> 同州→堂主、最近辞書がバカすぎる…！   (2024/11/14 19:32:31)

ヒシミラクル> プールを破壊します(違います)   (2024/11/14 19:33:02)

胡桃 ◆> うーん…うんうん……肌艶もいいし、覇気がないけどまだ私のお世話になる状態じゃなさそう？お客さん確保ならずだね〜…(ちぇ、)   (2024/11/14 19:33:09)

胡桃 ◆> 14C君は私来るとなんかこう…少しポンコツになってない？   (2024/11/14 19:33:39)

エロガキ♂14C ◆> いつもポンコツだから……   (2024/11/14 19:33:59)

ヒシミラクル> わたし…？覇気がないかぁ…普通だから仕方ないかも〜…えへへへ〜…   (2024/11/14 19:34:40)

