/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月11日 18時19分 ～ 2024年10月12日 01時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂r16> 今週に限れば人のこと言えないがきちんと寝ろよ？   (2024/10/11 18:19:06)
エロガキ♂19u> お任せ下さい(？)   (2024/10/11 19:56:44)

エキドナ ◆> (お酒飲みたいな、、)   (2024/10/11 19:57:15)

エロガキ♂19u> (何飲むの？って顔、)   (2024/10/11 19:57:59)

エロガキ♂19u> 少し落ち……と思ったけど問題無いっちゃないかな。微妙ラインで悩ましい   (2024/10/11 19:58:46)

エキドナ ◆> (何を飲もうかな、、買いに行かないと、、)   (2024/10/11 19:58:51)

エロガキ♂16r> (アブサン)   (2024/10/11 19:58:59)

エロガキ♂19u> (なるほど…午後の紅茶のお酒、あれは本当にジュース。炭酸なければ尚良かったような気もしなくも無い。)   (2024/10/11 19:59:31)

エキドナ ◆> (アブサン？)   (2024/10/11 19:59:45)

エロガキ♂19u> (ところでどうしてみんな脳内に直接語り掛けて…？)   (2024/10/11 19:59:48)

エキドナ ◆> (魔法でいいんじゃないかな、、←)   (2024/10/11 20:00:49)

エキドナ ◆> 午後の紅茶のお酒、、コンビニに置いてるのかい？   (2024/10/11 20:01:48)

エロガキ♂19u> (さすがはエキドナ様だぁ…！(悲報:ツッコミ不在中、))   (2024/10/11 20:01:54)

エロガキ♂16r> (まぁ、簡単に言えば葉っぱのリキュールだね)   (2024/10/11 20:02:23)

エロガキ♂19u> あー、どうですかね…？あれスーパーで買ったんですよ。コンビニ……どうかな、ちょっと記憶にはないですねぇ…   (2024/10/11 20:02:27)

エロガキ♂16r> (酒探しの旅)   (2024/10/11 20:03:52)

エロガキ♂19u> 自分の友人からは翠ジンソーダっての勧められました。口には合わなかった新体験を得られた思い出の逸品。   (2024/10/11 20:03:55)

エキドナ ◆> (チェリー？の赤いカクテルと酎ハイしか飲んだ事がないからリキュールと言われても分からないよ、、)   (2024/10/11 20:04:01)

エロガキ♂19u> 呑兵衛さん居ないのに酒場になってる……これが週末かぁ…(こくこく、)   (2024/10/11 20:04:16)

エキドナ ◆> 外に出るならまた着替えないといけないのか、、   (2024/10/11 20:04:26)

エロガキ♂16r> (じゃあ超雑に言うなら外国のお酒)   (2024/10/11 20:05:33)

エロガキ♂19u> あぁ、あれはどうですー？檸檬堂でしたっけ。   (2024/10/11 20:05:39)

エロガキ♂16r> 着替えるのは面倒だなぁ   (2024/10/11 20:05:41)

エロガキ♂19u> じゃあここは一肌脱いで僕が……(本当に脱いで出かけようとする阿呆、)   (2024/10/11 20:06:11)

エロガキ♂16r> もしもしポリスメン？   (2024/10/11 20:06:34)

エキドナ ◆> 檸檬堂は禁酒令の後に出たから飲んだ事が無いんだ、、氷結は飲みやすかったよ   (2024/10/11 20:06:41)

エロガキ♂19u> おっと、本日二回目か……かかってきな、国家のわんちゃん。(脱兎の如く)   (2024/10/11 20:07:12)

エロガキ♂16r> 鏡月とか   (2024/10/11 20:07:41)

エロガキ♂19u> あれは度数とか高いのもありますからねー…んならやっぱり個人的に酒感なかった午後(以下略)が美味しかったとだけ。   (2024/10/11 20:07:50)

エロガキ♂16r> じゃあ土佐犬の群れでも放っとく(国家の犬違い)   (2024/10/11 20:08:22)

エロガキ♂19u> あとなんだったか…瓶のお酒で、可愛い感じのいちごのあれ。もはやジュースでしょってなった品もあったりしますねー。   (2024/10/11 20:08:26)

エキドナ ◆> 誰か適当に買ってきてくれないかな、、   (2024/10/11 20:09:07)

エロガキ♂19u> 食い殺されるエグい描写になっちゃうでしょーが！！   (2024/10/11 20:09:13)

エロガキ♂16r> じゃあさっき買ってきた赤ワイン   (2024/10/11 20:09:22)

エロガキ♂19u> ウーバーしますか！？嫌いじゃないよ、買い出しは。ただ買い出しが楽しくて寄り道(げほげほ、)   (2024/10/11 20:09:46)

エロガキ♂16r> と思ったけど度数低めのシードルあったはずだしそれを渡すか   (2024/10/11 20:09:53)

エキドナ ◆> ボクのところに届けてくれるのかい？   (2024/10/11 20:09:55)

エロガキ♂16r> 魔法で勝手に回収してください()   (2024/10/11 20:10:10)

エロガキ♂16r> 土佐犬だからセーフ(なにが)   (2024/10/11 20:10:23)

エロガキ♂19u> (それ(←))   (2024/10/11 20:10:23)

エロガキ♂19u> えﾞ？()   (2024/10/11 20:10:33)

エキドナ ◆> ウーバーは変な人が数人いたから消したよ、、   (2024/10/11 20:10:41)

エロガキ♂16r> 変な人？出会い厨的なやつ？   (2024/10/11 20:10:54)

エロガキ♂19u> ウーバーの変な人はマジ物というか……なんというかなぁ。   (2024/10/11 20:11:11)

エロガキ♂19u> 話題には出すけど、実際使わないサービスのひとつではあるんすよねー。   (2024/10/11 20:11:36)

エロガキ♂16r> 本当にそれ   (2024/10/11 20:12:03)

エキドナ ◆> QR、電話番号とdiscordのIDは経験したよ   (2024/10/11 20:12:36)

エロガキ♂16r> 出会い厨だぁぁぁ！   (2024/10/11 20:12:48)

エロガキ♂19u> 草。(素が出てる)   (2024/10/11 20:12:49)

エロガキ♂19u> 変なものまで届けないでくれませんかね。   (2024/10/11 20:13:22)

エロガキ♂16r> 届けてないぞ、送り付けてるんだぞ   (2024/10/11 20:13:36)

エロガキ♂19u> 送り付けるないい加減にしなさい！！   (2024/10/11 20:13:56)

エロガキ♂16r> 目の保養程度で我慢しときゃいいのに…   (2024/10/11 20:14:15)

エロガキ♂19u> airdropで変なの送り付けるのもやめなさい！！お兄さん怒りますよ。   (2024/10/11 20:14:19)

エロガキ♂19u> (そこ！？)   (2024/10/11 20:14:26)

エロガキ♂16r> 画像テロw   (2024/10/11 20:14:32)

エロガキ♂19u> ダメだ、変な方に話題広げようとしたからセルフデストラクションモード発動します()   (2024/10/11 20:16:42)

エロガキ♂19u> エキドナさんをとりあえず引きずり出すか悩んでます。5、4、3……   (2024/10/11 20:17:18)

エロガキ♂19u> 2、1   (2024/10/11 20:17:25)

エキドナ ◆> 見てはいるよ   (2024/10/11 20:17:42)

エロガキ♂19u> 知ってました(澄まし顔、)   (2024/10/11 20:18:12)

エキドナ ◆> ただナンパするなとは言わないけれど、清潔感の無い人は普通に無理だよ   (2024/10/11 20:18:39)

エロガキ♂19u> こいつ、ほっとくと一人でに話してる壊れた玩具みたいになるから気をつけた方がいいですよ。(←こいつ)   (2024/10/11 20:18:56)

エロガキ♂19u> それはよく言われてますね〜…あちこちで聞くヤツ。   (2024/10/11 20:19:18)

エキドナ ◆> 壊れても見ててあげるよ(←)   (2024/10/11 20:19:30)

エロガキ♂16r> 清潔感なぁ…   (2024/10/11 20:19:40)

エロガキ♂19u> なんてことでしょう。どうやら壊れてもいいらしいのでこのままゼンマイ巻きっぱにしときます   (2024/10/11 20:20:38)

エキドナ ◆> 一番衝撃的だったのは冬なのに半袖半ズボンの20代かな、30代かも分からないけれど、髪の毛が天然パーマ？な人が来たよ   (2024/10/11 20:21:13)

エロガキ♂19u> 16r君はどうしたんだい？お兄さんが話聞こうか？   (2024/10/11 20:21:22)

エロガキ♂19u> バケモンかな？   (2024/10/11 20:21:27)

エロガキ♂19u> おっと失礼。   (2024/10/11 20:21:34)

エロガキ♂16r> おう、俺に謝れ()   (2024/10/11 20:21:45)

エロガキ♂19u> 冬で半袖なのかい！？   (2024/10/11 20:22:01)

エロガキ♂16r> 天パの剛毛なんだわ   (2024/10/11 20:22:03)

エロガキ♂16r> そっちじゃねぇ()   (2024/10/11 20:22:09)

エキドナ ◆> インターホンで見た時に悲鳴でそうになったよ、、   (2024/10/11 20:22:10)

エロガキ♂19u> あ、そっち…なんかごめんなさい(←)   (2024/10/11 20:22:25)

エロガキ♂16r> 気を抜くと簡単に爆発するんだぞ()   (2024/10/11 20:22:46)

エロガキ♂19u> エキドナさんさらっとトラウマ体験みたくなってません？大丈夫？般若の面で配達でもしましょうか？(お面被り)   (2024/10/11 20:23:01)

エロガキ♂16r> じゃあおれドンキで売ってる馬マスク   (2024/10/11 20:23:31)

エロガキ♂19u> おぉ…失礼かもだけど、ちょっと見てみたくはある…()   (2024/10/11 20:23:36)

エキドナ ◆> このくらいなら多分経験している人結構いるんじゃないかな、、？あとお面は要らないよ   (2024/10/11 20:23:51)

エロガキ♂16r> 鳥の巣っぽくなるよ   (2024/10/11 20:24:08)

エロガキ♂19u> そろそろ乾燥で髪の毛爆発する人も増えそうですねぇー。   (2024/10/11 20:24:17)

エロガキ♂16r> 湿気で爆発するが？   (2024/10/11 20:24:35)

エロガキ♂19u> なんだ、般若の面じゃなくてパーティーとかでよく見る髭とか付いたメガネがご所望でした？(違うそうじゃない)   (2024/10/11 20:24:55)

エロガキ♂19u> 湿気もそう。梅雨とかしんどい人ですね……？   (2024/10/11 20:25:11)

エロガキ♂16r> しんどいね   (2024/10/11 20:25:24)

エロガキ♂16r> じゃあ馬マスクで突撃するわ()   (2024/10/11 20:25:59)

エロガキ♂19u> なんだなんだ、相撲ですか？かかってきなさい！！(変なメガネしながら)   (2024/10/11 20:26:47)

エロガキ♂16r> 前見えんが…あとこっち肩広いけど大丈夫か？   (2024/10/11 20:27:23)

エロガキ♂19u> 安心してほしい。僕はこれでも雑魚いからね。いっそ一方的に蹂躙してくれた方が客席が喜ぶよ(すん、)   (2024/10/11 20:28:24)

エロガキ♂16r> ふむ。なら遠慮なく。平均程度の男性なら持てるから本気では殴らないでおこう   (2024/10/11 20:29:01)

エロガキ♂19u> 肩がぶつかったその瞬間に砕け散る覚悟はあるよ(？)   (2024/10/11 20:29:06)

エロガキ♂19u> 殴る気だったの！？！？   (2024/10/11 20:29:31)

エロガキ♂16r> え？張り手だよ張り手   (2024/10/11 20:29:46)

エロガキ♂19u> 張り手に見せかけた拳でも飛ぶのかと…w   (2024/10/11 20:30:14)

エロガキ♂16r> ゼルセンかな？か   (2024/10/11 20:30:28)

エロガキ♂16r> まぁ、運痴だからそこまで強くないが   (2024/10/11 20:32:40)

エロガキ♂19u> 欠伸が…止まんないです(唐突、)   (2024/10/11 20:34:56)

エキドナ ◆> 自分の拳を食べたら止まるんじゃないかい？   (2024/10/11 20:35:23)

エロガキ♂16r> 揺らすか   (2024/10/11 20:35:39)

エロガキ♂19u> じゃあちょっと試してきますね(！？)   (2024/10/11 20:36:03)

エロガキ♂19u> 揺られながら拳を…(ごくり、)   (2024/10/11 20:36:15)

エキドナ ◆> やったならキミはバカだなと笑ってあげようかな、、   (2024/10/11 20:37:41)

エロガキ♂16r> なかなか鬼だね、エキドナ様   (2024/10/11 20:38:33)

エキドナ ◆> そもそも拳なんて食べられないだろう、、   (2024/10/11 20:43:09)

エロガキ♂16r> まぁ、それはそうだが   (2024/10/11 20:43:32)

エキドナ ◆> 静かになったけれど、大丈夫かい？彼   (2024/10/11 20:46:54)

エロガキ♂16r> 眠いって言ってたしもしかしたら始める前に寝た可能性あるね   (2024/10/11 20:47:31)

エロガキ♂19u> 確かに…   (2024/10/11 20:48:12)

エキドナ ◆> 拳を食べて寝てないと良いのだけど、、居たね   (2024/10/11 20:48:41)

エロガキ♂19u> なぜバレた…？   (2024/10/11 20:49:42)

エキドナ ◆> 眠たいのが伝わってきているよ、無理をしないで休むといいよ   (2024/10/11 20:50:13)

エロガキ♂19u> お気持ちだけ受け取っときますね〜。今は大丈夫です、ぶっちゃけると   (2024/10/11 20:50:59)

エロガキ♂16r> そうだそうだ、フートンで眠るが良い   (2024/10/11 20:51:13)

エロガキ♂19u> 二人の会話が始まらないかなぁってずっと眺めてましたごめんなさい！！！   (2024/10/11 20:51:27)

エロガキ♂19u> くそ、僕一人が喧しいばかりに……   (2024/10/11 20:51:40)

エロガキ♂16r> 何を期待してんだ?!   (2024/10/11 20:51:41)

エキドナ ◆> ボクはその喧しいのを期待しているよ   (2024/10/11 20:52:05)

エロガキ♂16r> 俺は面白ければなんでも   (2024/10/11 20:52:22)

エロガキ♂19u> 責任取って今日は天井じゃなくてこの寒くなった夜空の下……つまり、屋根の上で待機してますね   (2024/10/11 20:52:27)

エロガキ♂19u> ラミィ殿には勝てませんので僕は嵐ではなく木枯らしです(なんの紹介、)   (2024/10/11 20:52:58)

エロガキ♂16r> 何を競ってるんだ   (2024/10/11 20:53:19)

エロガキ♂19u> (あれ……？これひょっとして僕一人が見世物にされてるプレイなの？)   (2024/10/11 20:53:20)

エロガキ♂16r> 俺に何をして欲しいんだよ   (2024/10/11 20:53:32)

エロガキ♂19u> 何ってそんなにいやらしい……///   (2024/10/11 20:53:44)

エロガキ♂19u> すみません。   (2024/10/11 20:53:46)

エロガキ♂16r> エキドナ様、2人でこの人がわちゃわちゃするの眺めません？   (2024/10/11 20:54:01)

エロガキ♂19u> ネタに振れば振るほど一人で騒げるよ。でも知ってるかい？その後に来る虚無感で僕は五分くらい寝込む。あ、どん兵衛できた〜って感じで起きます。   (2024/10/11 20:55:11)

エキドナ ◆> キミもその中にいた方が面白いと思うけれどね？   (2024/10/11 20:55:20)

エロガキ♂16r> エキドナ様は俺に何を期待してるので？   (2024/10/11 20:55:35)

エロガキ♂19u> エキドナさんも居てくれた方がいいのだよ。   (2024/10/11 20:55:42)

エロガキ♂19u> もっと言えばこのまま(此処で何者かに口を塞がれる)   (2024/10/11 20:56:03)

エキドナ ◆> 彼の、、手網を握る役かな、、？   (2024/10/11 20:56:25)

エキドナ ◆> このまま、、   (2024/10/11 20:56:37)

エロガキ♂16r> え？握ないと思う   (2024/10/11 20:56:38)

エロガキ♂19u> まだ夜更けには早いからね。僕の領域を展開するには早い早い…(にっこり、)   (2024/10/11 20:56:43)

エキドナ ◆> なんだろうね、、()   (2024/10/11 20:56:46)

エロガキ♂16r> エキドナ様が大変なことになりそう   (2024/10/11 20:57:07)

エロガキ♂19u> えﾞ？   (2024/10/11 20:57:18)

エロガキ♂19u> 手綱の話がいいの？(違うそうじゃない)   (2024/10/11 20:57:34)

エキドナ ◆> ボクの怖かった体験でも語れば良いのかい？それとも人伝の恐怖体験がご希望かな？   (2024/10/11 20:57:40)

エロガキ♂16r> それならダイス関係の怖い話しようか？   (2024/10/11 20:57:56)

エロガキ♂19u> うわぁ……迷うやつだ。   (2024/10/11 20:57:59)

エロガキ♂19u> 2人に任せたよ(きりっ)   (2024/10/11 20:58:08)

エロガキ♂16r> じゃあ間をとって19の怖い話を()   (2024/10/11 20:59:06)

