/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 10時49分 ～ 2024年11月04日 19時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

花海佑芽> おはようございます！（眠そうなのに挨拶がうるさい）   (2024/11/4 10:49:11)
エロガキ♂14C ◆> やり方というか、すごくメタメタなこといえば相手との相性とか次第もあるんじゃないかな。文字数辺りの所要時間とか。そして負けて喜んでた子が来たよ、こんにちは。（太腿つんつん）   (2024/11/4 13:44:53)

エロガキ♂15M ◆> こんにちは〜、見事に負けてきたよ〜〜……(足プルプル…まだ正座の後遺症がぁ……)   (2024/11/4 13:44:56)

おしらせ> エロガキ♂10soxさんが入室しました♪  (2024/11/4 13:45:14)

エロガキ♂15M ◆> ぎにゃぁぁぁあーーーーー！！！！！！！   (2024/11/4 13:45:26)

エロガキ♂14Az> おかえりなさーい！　勝負みんなおつかれさまっ！   (2024/11/4 13:45:33)

エロガキ♂15M ◆> お、おつか…れ……(ｶﾞｸｯ…)   (2024/11/4 13:46:06)

エロガキ♂10sox> 皆様こんにちは～｡負けちゃったけど致し方なし。まあ、ダイス目40以上出されるときついね。   (2024/11/4 13:46:26)

エロガキ♂14C ◆> 煽ったらその分酷い目に遭うのは僕をみてれば一目瞭然なのに……10sくんもこんにちは。完全にエロガキの溜まり場だね。お部屋じゃなくて最早深夜のコンビニ前みたい。（ヤンキー座り）   (2024/11/4 13:46:44)

エロガキ♂10sox> 確かにそんな感じがするね（深夜のコンビニ前）   (2024/11/4 13:47:31)

エロガキ♂15M ◆> くぅぅ……ボクはただ善良な提案をしただけなのに……マッサージ、って言っただけなのに……！   (2024/11/4 13:47:41)

エロガキ♂15M ◆> (ヤンキー座りができなくて、ただうつ伏せに倒れてる人)   (2024/11/4 13:48:10)

エロガキ♂10sox> でも勝負で5d10って意外とバランス良いのかもね。だいたい接戦多いし   (2024/11/4 13:48:23)

エロガキ♂14Az> 相性はね、すっごいあるとおもう！　表現とか文字あたりもふくめ。あっは！ひどいことしてる～♪＜14Cくん　　いやでもあの煽りとかってなんだろー、漫才でいうとこのボケとツッコミみたいな感じ。ツッコミやすいボケだと盛り上がるし＜煽りからの二駒即落ち形
  (2024/11/4 13:48:57)

エロガキ♂14C ◆> マッサージ、だけじゃその人の立ち振る舞い次第じゃないかなあ。草食系なエロガキじゃないと大体えっちな意味にとられそう。   (2024/11/4 13:49:19)

エロガキ♂14C ◆> （草食系エロガキとかいう矛盾したワード）   (2024/11/4 13:49:32)

エロガキ♂15M ◆> くっ…やめてくれ…ボクのボケを全部解説しないでくれ…！   (2024/11/4 13:49:43)

エロガキ♂14Az> ごめーん♪（てへぺろ☆   (2024/11/4 13:50:05)

エロガキ♂14C ◆> コンビニ前で足痺れて倒れてる15Mくんに対してボケを解説するとかいう処刑……これどんな地獄？   (2024/11/4 13:50:42)

エロガキ♂10sox> 別にヤンキー座りに拘らなくても座れば良いかと。僕は15Mさんは名前通りの行動してたと思っていた（M）   (2024/11/4 13:50:43)

エロガキ♂15M ◆> こっちの方が恥ずいよ…(顔面真っ赤…)   (2024/11/4 13:50:50)

エロガキ♂15M ◆> 違う！MはそのMじゃないよ！風評被害！   (2024/11/4 13:51:23)

エロガキ♂14C ◆> まあ5d10は平均を考えるとそれなりにいい勝負になる出目だとは思うなあ。……たまに1桁出るけど（昨日出た）   (2024/11/4 13:51:57)

エロガキ♂14Az> やーでも10くん言うよーに5d10って面白いよね。なんだろ、人数分足す、とかなら何となく浮かぶけどそうなると数で押し切られちゃうし、5ｄ10で全員そのなかで一番高い数値を、っていうのが采配すっごいなー。そういうTRPGってあったっけ？  
(2024/11/4 13:52:00)

エロガキ♂10sox> いや、自らお仕置きされるその姿勢には…………（敬礼(*｀･ω･)ゞ）僕はそっちの毛はないけどね   (2024/11/4 13:52:46)

エロガキ♂15M ◆> ちょっと悔しいから…ダメ元で憂さ晴らししてくる……(腕だけで床を這いずりながら出入口へ)   (2024/11/4 13:52:52)

エロガキ♂15M ◆> ばいば〜い…   (2024/11/4 13:53:14)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/4 13:53:21)

エロガキ♂14C ◆> あー、僕もさっき行けなかったから行ってこよーかな。駄目元で。ついてくー。   (2024/11/4 13:53:23)

エロガキ♂14C ◆> いってきまーす   (2024/11/4 13:53:29)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/4 13:53:34)

エロガキ♂10sox> だいたいTRPGは2D6、2D10、1D20が判定に一番多いかも   (2024/11/4 13:54:12)

エロガキ♂14Az> めっちゃ分かる！ ＜憂さ晴らし、というかムラついてくるよねー！いてらしゃーい！   (2024/11/4 13:54:14)

エロガキ♂14Az> そーそー。それの足し算になるじゃん？ でも足すんじゃなくて人数加えても確率が上がるだけ、っていうのはよく出来たシステムだなーっておもったの   (2024/11/4 13:55:11)

エロガキ♂10sox> 俺はメンバー次第でリベンジいくか決める。憂さ晴らしというか気持ちはわかるけどね   (2024/11/4 13:55:22)

エロガキ♂10sox> 確かにね～｡ある意味絶妙なバランスかも→5d10   (2024/11/4 13:56:06)

エロガキ♂14Az> あはは♪ でも負けても楽しいよねー♪   (2024/11/4 13:56:37)

エロガキ♂10sox> エロルできないのは残念だけど結果がランダムなのは面白いね   (2024/11/4 13:57:26)

エロガキ♂10sox> まあ勝てたとしてもエロルは相手次第（相性含めて）あるからね～   (2024/11/4 13:58:43)

エロガキ♂14Az> そこはそーなんだけど抱きしめてくれたり罰ゲームで頬を赤らめての羞恥プレイに悶えたりもできてボクはオトク♡＜リバ   (2024/11/4 13:59:18)

エロガキ♂14Az> ふーむ……   (2024/11/4 13:59:52)

エロガキ♂14Az> んし！おれも参加してこよーっと♪   (2024/11/4 14:00:15)

エロガキ♂14Az> またね、10くんっ！   (2024/11/4 14:00:27)

おしらせ> エロガキ♂14Azさんが退室しました。  (2024/11/4 14:00:31)

エロガキ♂10sox> うん、僕にはわからないけど14Az君が楽しめるならよいかと   (2024/11/4 14:00:31)

エロガキ♂10sox> まあ、リベンジいこっかな   (2024/11/4 14:00:54)

おしらせ> エロガキ♂10soxさんが退室しました。  (2024/11/4 14:00:57)

おしらせ> ユイさんが入室しました♪  (2024/11/4 14:05:02)

ユイ> は…入ろうと思ったけど、流石に人数が多過ぎちゃうよね…7人はすごい…   (2024/11/4 14:05:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 14:11:10)

エロガキ♂19b ◆> こんにちは～、祝日だから部屋が賑わっててびっくりしてる19ですよ～   (2024/11/4 14:11:57)

ユイ> あっ…こんにちは。やっぱり連休の最後の日は遊びたくなるよね…えへへ   (2024/11/4 14:14:49)

ユイ> 今回は男の子が頑張ったね、おめでとう♪   (2024/11/4 14:15:33)

エロガキ♂19b ◆> ユイちゃんも遊びたかった感じみたいだねぇ～、でも人が多いからこっちにってことか。多いと流されることもあるからねぇ   (2024/11/4 14:15:59)

ユイ> ううん、わたしはさっき遊んでたから。初めて勝てたんだよ♪ゲーム中は人数が多いと楽しいけど…罰の時に人数が多いと目がぐるぐるだよ…ううっ   (2024/11/4 14:18:35)

エロガキ♂19b ◆> なるほどね、、おっと初勝利おめでとう～(パチパチパチパチ)これからも勝てるといいね！   (2024/11/4 14:19:41)

ユイ> うーん…勝てたのは嬉しいけど…罰を考えるのがね。男の子の立場的には、どんな罰が嬉しいんだろう…？   (2024/11/4 14:21:12)

エロガキ♂19b ◆> 嬉しい？そりゃあ...ユイちゃんとエッチなとこする世が1番嬉しいとは思うよ？もしくは～....普通に正座とかなしで、お話ししたりとか？んま、俺はなんでも受け入れるけどね～、面白いし！   (2024/11/4 14:22:45)

ユイ> そ…それは罰になってないよね⁉︎ちゃんと罰として成立して、男の子が楽しめること…う、うーん…難しいね。わたしも罰を考えたら、お話に付き合って…とかになっちゃうと思うよ   (2024/11/4 14:24:56)

エロガキ♂19b ◆> 寸止めとかどう？あとは...最近俺は、、服選んだりとか？してるきがする   (2024/11/4 14:25:42)

ユイ> えっと…服を選ぶって…女の子の服を選ぶってこと？   (2024/11/4 14:27:02)

エロガキ♂19b ◆> そうそう、、なんで俺がしてるんだうね？意外と気に入ってくれてるから嬉しいんだけどね！！   (2024/11/4 14:28:15)

ユイ> そ…それいいかも。わたしもどんな服を着て欲しいかとか聞きたいもん。それ考えた子はセンスあるよね   (2024/11/4 14:29:41)

エロガキ♂19b ◆> 好評だった！！ユイちゃんもこういうの好きなんだねー...っと、、せっかくだし俺も対戦してくるね！   (2024/11/4 14:31:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 14:32:24)

ユイ> うん、行ってらっしゃい♪頑張ってね♪   (2024/11/4 14:33:12)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/4 14:41:23)

エロガキ♂12Ω ◆> よーっす。今日は皆遊んでるみたいだなー。   (2024/11/4 14:41:45)

ユイ> あっ…こんにちは。やっぱり連休の最終日は遊びたくなっちゃうのかも。12Ωクンは遊びに行かないの？   (2024/11/4 14:42:51)

エロガキ♂12Ω ◆> んー。気付いた時には始まってるし乗り遅れてる感じー。   (2024/11/4 14:43:19)

エロガキ♂12Ω ◆> ユイ姉ちゃんは？どっか遊び行かねぇの？   (2024/11/4 14:43:36)

エロガキ♂12Ω ◆> あ、現実の方は遊びに行かねぇかな。何処も混んでるし家でゆっくりダラダラがジャスティス。   (2024/11/4 14:44:13)

ユイ> うん、わたしはさっき遊んだばかりだからね。少し休憩してたんだ、えへへ   (2024/11/4 14:44:18)

エロガキ♂12Ω ◆> おー、そっか。勝てたん？   (2024/11/4 14:44:32)

ユイ> 勝てたよ！初勝利だったよ♪でも罰って難しいよね…負ける方がある意味、受けるだけだから…楽なのかも？   (2024/11/4 14:45:53)

エロガキ♂12Ω ◆> お、おめっとさん。良かったじゃん。へぇー？ユイ姉ちゃんは負けて色々されたいスケベな女の子なんだ。(ニヤニヤ)   (2024/11/4 14:46:53)

エロガキ♂12Ω ◆> ユイ姉ちゃんムッツリだもんなー。結構マゾっぽいの解釈一致。   (2024/11/4 14:47:33)

ユイ> そ…そんなことはないよ⁉︎単純に罰ってセンスが問われるっていうか…考えるのが難しいよね⁉︎   (2024/11/4 14:48:22)

エロガキ♂12Ω ◆> あー、確かに。単純に相手を辱めるか、自分の性癖満たすかってパターンに分かれるよな。   (2024/11/4 14:49:29)

ユイ> うん、相手に寄ると言えばそうなんだけど…ちゃんと罰として成立して、男の子も楽しめる罰って…なかなか難しいよね   (2024/11/4 14:50:58)

エロガキ♂12Ω ◆> ユイ姉ちゃんは攻めるキャラじゃないしなー。どっちかと言うと使われる方が好きそう。   (2024/11/4 14:51:46)

ユイ> っと…そろそろ、みんな帰ってくるかも。わたしは失礼するね♪また機会があったら遊んでね♪   (2024/11/4 14:52:01)

ユイ> つ…使われるって言い方だよ⁉︎   (2024/11/4 14:52:12)

おしらせ> ユイさんが退室しました。  (2024/11/4 14:52:17)

エロガキ♂12Ω ◆> あは、おもしれー女。またなー。   (2024/11/4 14:52:35)

エロガキ♂12Ω ◆> さて、俺もちょっと席外すかな。今度どういう罰がセンスあるかとか話題に出来ねぇかな。   (2024/11/4 14:53:21)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/4 14:53:31)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/4 15:01:32)

エロガキ♂15M ◆> よし！ま☆ん☆ぞ☆く！憂さ晴らしできたぁ〜！   (2024/11/4 15:02:09)

おしらせ> ロイヤルフォーチュンさんが入室しました♪  (2024/11/4 15:02:30)

エロガキ♂15M ◆> っと、このまま遅めのお昼に行ってきま〜す！すれ違いゴメンね〜   (2024/11/4 15:02:46)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/4 15:02:50)

ロイヤルフォーチュン> （シャワーで汗を軽く流してきて）また参上ー！あ、いってらっしゃい！てか3時だよ！？おやつの時間じゃーん！いってらっしゃいっ   (2024/11/4 15:03:06)

ロイヤルフォーチュン> ちゃんと罰になってて楽しめる…… うーん？ 私的には（ガキ側参加済み）お尻にバイブとかも楽しめちゃうんだけどそこまでの人はあんまりいないよねー   (2024/11/4 15:04:55)

ロイヤルフォーチュン> やっぱオナニーさせちゃうとか、手コキ寸止め？ でも大人しい子だと確かに難しいー…… （むーん、っと腕組見考え）   (2024/11/4 15:06:12)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/4 15:06:28)

クラリス ◆> おつかれさまでしたぁ（よろよろ）   (2024/11/4 15:06:57)

ロイヤルフォーチュン> おかえりなさーい！ だいじょーぶ？（肩を貸すようにしてソファ座らせ）　やー、がっつりいっちゃったー♡ 大満足……♡♡   (2024/11/4 15:07:43)

クラリス ◆> （このひと罰が罰になってない…！）   (2024/11/4 15:08:26)

クラリス ◆> 【←人の事あんまり言えない】   (2024/11/4 15:08:47)

ロイヤルフォーチュン> な、ナッテルヨ？（カタコトしつつ顔背け口笛～♪）   (2024/11/4 15:09:29)

クラリス ◆> 一つ前の対戦でやってたような質問コーナーとか、アップグレード版でそれこそ何十個と質問攻めするパターンもありますね（キタちゃんがやってるログをよく見ます）   (2024/11/4 15:12:01)

ロイヤルフォーチュン> あ、やってたね。ガキ側でも羞恥プレイっていうかほんとに恥ずかしい？ っぽい良い反応してる子もいたし、あれはいいわ～♡　何したいとおもった？とか、誰にしたい？とか、好みも聞けて一石二鳥みたいな？   (2024/11/4
15:13:39)

クラリス ◆> 好みを聞けていいんですけど、次に対戦する頃には忘れてるパターンもわりと（目をそらす）   (2024/11/4 15:15:28)

おしらせ> 澁谷かのんさんが入室しました♪  (2024/11/4 15:15:37)

澁谷かのん> こんなお部屋あったんだね、こんにちは〜   (2024/11/4 15:15:50)

クラリス ◆> こんにちは〜≫かのんさん   (2024/11/4 15:16:03)

ロイヤルフォーチュン> こんにちはー！ うん、こういうお部屋で一休み、って感じできていいよね。対戦の感想とかも言えるし。   (2024/11/4 15:16:50)

クラリス ◆> （正座の刑にクスッとしてたら次の対戦で倍返しされました…因果応報…）   (2024/11/4 15:17:23)

澁谷かのん> お昼に一戦やって分からせてきたよっ(ぶいっ)   (2024/11/4 15:17:27)

ロイヤルフォーチュン> 正座はアレ面白かった♪　てか私、入ってから負け戦しかしてない……♡（つやつやしつつ）   (2024/11/4 15:18:32)

澁谷かのん> 女の子へのセクハラなんか許さないよ！痛い思いはさせなかったからむしろ感謝して欲しいくらい。   (2024/11/4 15:19:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 15:19:37)

クラリス ◆> （負けたがりのイメージ定着してる私ですが勝つほうが嬉しいです本当に）   (2024/11/4 15:19:53)

ロイヤルフォーチュン> みてたー！ かのんちゃん、30点ぽんぽん出してて、うわつよい！ってなってたもん。　負けても勝っても楽しいー♪   (2024/11/4 15:20:17)

澁谷かのん> せっかくやるなら勝ちたいよね！罰なんてゴメンだし！   (2024/11/4 15:20:22)
