/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 02時51分 ～ 2024年10月15日 13時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/15 02:51:09)
栞葉るり> さて、そろそろわたくしは他の巡回に行きましょうか。それでは今日のお話はここまで。続きはまた次回お楽しみに！！(仕事に戻れとか言われたわけじゃないんだからねっ)   (2024/10/15 03:01:25)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/15 03:01:28)

エロガキ♂19b ◆> プロフも弄ると別人になっちゃうからなぁ..このままかなぁ、、るりちゃんお疲れさま   (2024/10/15 03:01:44)

エキドナ ◆> ああ、そういうことか、、お疲れ様。まだしばらく頑張っておいで   (2024/10/15 03:02:05)

エキドナ ◆> 無理強いはしないしキミのトレードマークと言うのも理解しているよ   (2024/10/15 03:03:03)

エキドナ ◆> ただ初対面からの印象を言っただけだから気にしないでいいよ   (2024/10/15 03:03:27)

エロガキ♂19b ◆> おお、、それはありがたい限り..んまぁ、身長ぐらいは書いた方がいいのかもしれないけどね   (2024/10/15 03:03:45)

エキドナ ◆> そうだね。ボクはそちらの方が好ましく思うね   (2024/10/15 03:04:10)

エロガキ♂19b ◆> そうだな、、リアルのも加味して...167センチってとこか   (2024/10/15 03:04:55)

エキドナ ◆> 、、そこは理想でも良いんじゃないのかな？   (2024/10/15 03:06:21)

エロガキ♂19b ◆> 理想に近すぎると鏡を見たときに後悔するんだよ...だから、自分のより少しだけ長めにする...元のもそうだしね   (2024/10/15 03:07:11)

エキドナ ◆> やめておこうか、この話題はキミを傷付けてしまうと思う。   (2024/10/15 03:08:14)

エロガキ♂19b ◆> んま、プロフが更新されたのとトリップがちょっと変わっただけだしね、それにこの色の19bは俺しかいないから間違えられはしないだろう...   (2024/10/15 03:09:33)

エキドナ ◆> 話を取りやめた当人としてここはキミの好みでも聞いておこうかな？   (2024/10/15 03:09:50)

エキドナ ◆> 大丈夫だろう。19bはキミ以外に見たこともないからね   (2024/10/15 03:10:13)

エロガキ♂19b ◆> あっは、、それに喋り方もあるしね、、好み？好きなタイプってことかな？   (2024/10/15 03:10:45)

エキドナ ◆> そうだね。君のタイプと言った方が良いね   (2024/10/15 03:11:22)

エキドナ ◆> ここの人達はすぐに性癖の話をしたがるからね、、少しは和む話題が欲しいね、、   (2024/10/15 03:13:14)

エロガキ♂19b ◆> こういうのもなんだが基本どんなのでもいけるんだよ、、その人がどれだけ歳を取ってたとしても、、どれだけ若くてもね。女の子と男の娘はみんな平等に愛せるからさ...んまぁ、、絞り出すから足が綺麗な人かな   (2024/10/15
03:13:40)

エキドナ ◆> 足を隠しているボクは対象外だね。もう少し内面的な好みは無いのかい？ボクの心を満足させてくれないか、、？   (2024/10/15 03:14:59)

エロガキ♂19b ◆> そうだな...普段は静かだけど、、ここぞという時は立ち上がって道を示してくれる子かな...、、エキドナちゃんを満足させるには足りないきはするが..   (2024/10/15 03:17:43)

エロガキ♂19b ◆> それと、対象外といっていたけど、俺にとってエキドナちゃんも余裕で俺の対象というのも覚えておいてね   (2024/10/15 03:21:18)

エキドナ ◆> 問題ないさ、そう言う話はボクは非常に好んでいると言えるからね。つまりはしっかりと支えてくれて心の強い子だね、、いい趣味だと思うよ。とても理想的でボクはすごく満たされているよ   (2024/10/15 03:21:24)

エロガキ♂19b ◆> それはよかった、いつもは性癖とか変なことばっか話してるからこういう話をするのは少し恥ずかしいな...   (2024/10/15 03:23:40)

エキドナ ◆> ボクを対象に入れるのはやめておきたまえ。ボクの強欲はキミでは満たせないだろうからね。   (2024/10/15 03:24:29)

エキドナ ◆> ボクはこちらの話の方が価値があり、とても満足感と高揚感でいっぱいになれるから好ましく思っているよ。だから胸を張って居たまえ   (2024/10/15 03:25:23)

エロガキ♂19b ◆> だろうね、、だとしてもエキドナちゃんがエキドナちゃんでいる限り俺は愛すから対象から外すのは難しいかな、好みの話を気に入ってくれたならほんとうによかったよ、   (2024/10/15 03:27:00)

エロガキ♂19b ◆> そういえばこうやってじっくり話すのも久々な気がするな....   (2024/10/15 03:27:24)

エキドナ ◆> ボクは忠告はしたからそれ以上は言わないさ。人の気持ちの話はボクはとても好ましく、甘美なものだと思っているからね、、   (2024/10/15 03:28:47)

エキドナ ◆> ボクは普段人混みには混じらないようにしているのもあるだろうね、、あまり大人数は得意で無いから人が増えるとどうしても籠ってしまうね、、   (2024/10/15 03:29:48)

エロガキ♂19b ◆> なるほどね、、いつかそんな子に出会えるといいんだけどな..   (2024/10/15 03:29:48)

エキドナ ◆> 過度な期待はしない方が良いが、、キミの好みなら案外近くに居るかもしれないよ、、？(くす、)   (2024/10/15 03:30:34)

エロガキ♂19b ◆> 確かに人数が増えると居づらそうにはしてるよね、こことか3人も集まればそこから今日みたいに一気に集まるからな、、近くに...？   (2024/10/15 03:31:22)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが入室しました♪  (2024/10/15 03:31:42)

エロガキ♂19Q ◆> こんばんは   (2024/10/15 03:31:49)

エロガキ♂19b ◆> こんばんは、珍しいねこの時間にくるなんて   (2024/10/15 03:32:20)

エキドナ ◆> すまない、少し離席するよ   (2024/10/15 03:32:39)

エロガキ♂19b ◆> 了解   (2024/10/15 03:33:02)

エロガキ♂19Q ◆> たまたま、起きちゃって誰かいるかなぁって..思ってたらいたから来てみた   (2024/10/15 03:33:13)

エロガキ♂19b ◆> なるほどね、起きちゃったってことは眠気はもう大丈夫か？   (2024/10/15 03:33:59)

エロガキ♂19Q ◆> ちょっと眠いくらいかな？   (2024/10/15 03:34:26)

エロガキ♂19b ◆> なるほど、、んま無理はしないようになって最近よく寝落ちする俺がいっても説得力はないが   (2024/10/15 03:35:02)

エロガキ♂19Q ◆> プロフの話してたん？   (2024/10/15 03:35:31)

エロガキ♂19Q ◆> 違った？..なんの話してたん？   (2024/10/15 03:37:32)

エロガキ♂19b ◆> いや、あってるよ   (2024/10/15 03:38:29)

エロガキ♂19b ◆> すまんお茶をのみにいってた、俺のプロフがちょっと少なすぎるっていうのを少しね   (2024/10/15 03:39:10)

エロガキ♂19b ◆> あとは好みの話をね   (2024/10/15 03:39:29)

エロガキ♂19Q ◆> なるほどなぁ..プロフ多くしてみたらどうだ？ちょっと加えるだけでいいと思うし   (2024/10/15 03:41:49)

エロガキ♂19b ◆> その話をしてて新しく身長を加えたんだよね、あとはトリップも少し弄って   (2024/10/15 03:42:39)

エロガキ♂19Q ◆> ふむふむ、他にも勝ち負け何回したかの戦績とか書いてみたら？   (2024/10/15 03:43:33)

エキドナ ◆> もう少し、、   (2024/10/15 03:44:26)

エロガキ♂19b ◆> 回数が多すぎて無理かな、、それに見せびらかすのはあまり好きじゃないしさ   (2024/10/15 03:44:33)

エロガキ♂19Q ◆> 帰ってきた   (2024/10/15 03:44:46)

エロガキ♂19b ◆> お帰り？なのかな、それとももう少しかかるってことなかな？   (2024/10/15 03:45:09)

エロガキ♂19Q ◆> そうなのかぁ..なら、しかたないな   (2024/10/15 03:45:15)

エロガキ♂19Q ◆> 俺も身長とか書いた方がいいんかなぁ？   (2024/10/15 03:45:48)

エロガキ♂19b ◆> そういうこと、それに入り浸ってるお陰で覚えてくれてる人も多いからね、戦績を書かなくてもある程度はなんとかなったりするかも   (2024/10/15 03:46:30)

エロガキ♂19Q ◆> 俺は最近女が多くなって誰とヤッたとか忘れるんだよなぁ..   (2024/10/15 03:47:36)

エロガキ♂19b ◆> 19Qはそれでいいんじゃないか？俺のは少なすぎるから足してるだけだしね   (2024/10/15 03:47:48)

エロガキ♂19Q ◆> 俺って結構昔から勝負部屋にいるけど、みんなから覚えてもらえてるんかなぁ？   (2024/10/15 03:48:23)

エキドナ ◆> 戻ったよ。   (2024/10/15 03:49:02)

エロガキ♂19b ◆> まぁ、19Qは気に入ってくれてる人がいるからいいじゃないか   (2024/10/15 03:49:05)

エロガキ♂19b ◆> お帰り～   (2024/10/15 03:49:12)

エキドナ ◆> ボクは確かに10人程にもなれば基本は隠れてしまうよ   (2024/10/15 03:49:20)

エロガキ♂19Q ◆> お帰り   (2024/10/15 03:49:22)

エキドナ ◆> 遅れながらおはよう、かな、、？   (2024/10/15 03:49:36)

エロガキ♂19Q ◆> エキドナと会ったのって初めてだっけ？   (2024/10/15 03:49:54)

エキドナ ◆> 昼間に会っている気がするよ。人が多くて埋もれて居たけれどね   (2024/10/15 03:50:27)

エキドナ ◆> それかラムだったかな、、？   (2024/10/15 03:50:50)

エロガキ♂19Q ◆> 昼間？..あ、ラムかぁ..別のキャラだったからわからんかったわ   (2024/10/15 03:51:20)

エキドナ ◆> この部屋でリゼロ周りは大体ボクだろうね   (2024/10/15 03:51:56)

エロガキ♂19b ◆> エキドナちゃんが使うキャラは複数とは合えてるな、、お腹切られたの忘れてないからな～(じとー)   (2024/10/15 03:52:29)

エキドナ ◆> あれは、、あのキャラの性癖だから許してくれないかい？   (2024/10/15 03:52:50)

エロガキ♂19Q ◆> ん？..そうなん?..エキドナと一回やって見たいなぁ..   (2024/10/15 03:52:55)

エキドナ ◆> もう少しスマートに誘ってくれれば考えるのだけれどね、、   (2024/10/15 03:53:25)

エキドナ ◆> 彼女は腸狩りと言われてるほど内臓を愛しているからね、、   (2024/10/15 03:53:57)

エロガキ♂19Q ◆> エロガキがスマートに誘えるとでも？   (2024/10/15 03:54:04)

エロガキ♂19b ◆> まぁ、貴重な経験ができたからいいよ、、ふふ。なかなかあの感覚は病みつきになる...   (2024/10/15 03:54:12)

エロガキ♂19Q ◆> 一体何をされたんだ、怖くて仕方ないんだが   (2024/10/15 03:54:35)

エキドナ ◆> 期待はしていないさ。だから考える、なんだよ、、   (2024/10/15 03:54:40)

エキドナ ◆> 彼は少し変態だからね、、   (2024/10/15 03:55:13)

エキドナ ◆> 申し訳ないがもう少し離席させて欲しい、、なるべく早く戻るよ   (2024/10/15 03:55:52)

エロガキ♂19Q ◆> てか、二人ともいつまで起きてるん？   (2024/10/15 03:56:01)

エロガキ♂19b ◆> ただお腹を裂かれただけだよ、、死ぬかもしれない恐怖に震えながらわずかにある、いきる道そのギリギリを渡るのが楽しんだよ   (2024/10/15 03:56:05)

エロガキ♂19Q ◆> 珍しいなぁ   (2024/10/15 03:56:29)

エロガキ♂19Q ◆> ヤバい、眠気の第二波が..   (2024/10/15 03:57:03)

エロガキ♂19b ◆> まだしばらくは起きてるよ～、ヤバイなら寝な。睡眠も大事だし   (2024/10/15 03:57:36)

エロガキ♂19Q ◆> わかった、寝るわおやすみ   (2024/10/15 03:57:59)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが退室しました。  (2024/10/15 03:58:01)

エロガキ♂19b ◆> お休み19Q   (2024/10/15 03:58:16)

エキドナ ◆> 戻ったよ   (2024/10/15 04:02:55)

エキドナ ◆> お疲れ様だね   (2024/10/15 04:02:59)

エキドナ ◆> さて、、と。   (2024/10/15 04:03:28)

エキドナ ◆> もう4時、、朝とも言えそうな時間だね   (2024/10/15 04:03:42)

エキドナ ◆> (寝てしまったかな、、そうならゆっくり休むといいよ、、)   (2024/10/15 04:04:30)

エキドナ ◆> 邪魔をしない内に移動してしまおうか、、   (2024/10/15 04:05:14)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 04:05:21)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/15 04:23:29)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 05:41:35)

エキドナ ◆> さて、、眠れるまで、、   (2024/10/15 05:41:48)

エキドナ ◆> 約束の通りに眠気が来れば眠るからね、、   (2024/10/15 05:42:21)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/15 05:43:37)

エロガキ♂18D ◆> おはようございます……寝れるまで、お付き合いしても？   (2024/10/15 05:44:05)

エキドナ ◆> 構わないよ。おはよう、、ただ約束があるから眠気が来たらすぐに寝るからそこだけは理解してもらえると助かるよ   (2024/10/15 05:45:07)

エロガキ♂18D ◆> ええ、構いませんよ。正直自分はただ話し相手が欲しかっただけなので…眠気が来たらそのまま寝てもらっても大丈夫ですから…   (2024/10/15 05:46:37)

エキドナ ◆> そうかい、、と言ってもボクから提供できるような話題なんて思い浮かばないからね。キミは何か良い話題なんて持ち合わせは無いだろうか？   (2024/10/15 05:48:09)

エロガキ♂18D ◆> そうですね……今は寝起きで少々頭が回ってはおりませんが…話題ですか…うーん……ダメだ、思考停止していると性癖とかそう言った話題しか出てこなくていけませんね…柄にもない……   (2024/10/15 05:50:57)

エキドナ ◆> そうだね、、なら今の頭だったらより素直になれるかも知れないからキミの好みのタイプを教えてくれないかい？   (2024/10/15 05:51:51)

エロガキ♂18D ◆> 自分そこまで素直じゃない感じでしたかね……？そうですね…タイプ……髪が長くて、可愛らしい女性……でしょうか…スタイルはその人と合っていたら、いいかな、みたいな…正直会った人、全員いいんですけどね…   (2024/10/15
05:54:01)

エキドナ ◆> そう言う意味じゃないから安心したまえ、、外見的な好みは理解したよ。きっとこの人、となったらあまり関係ないんだろうね、、だからこそ内面の好みが気になるね、、   (2024/10/15 05:58:02)

エロガキ♂18D ◆> まぁ、そうですね……あくまでも好みは二の次で、真に好みなのは……一緒にいて楽しい人とかでしょうか…じゃなかったら、ここに入り浸る事はないですから…人次第でふらっと入る、なんて事が多いですしね…   (2024/10/15
06:00:43)

エキドナ ◆> 波長の合う、まさにフィーリング重視、、かな。感性は人それぞれだからね、、相手への期待を押し付け過ぎない様にね、、？ボクも多少はあるけれどあまり期待はしないからね、、後がしんどくなってしまうよ、、   (2024/10/15 06:04:55)

エキドナ ◆> と言ってもキミに同じと言うつもりは無いからキミの好みの相手が見つかる事を願っておくよ、、   (2024/10/15 06:05:31)

エロガキ♂18D ◆> えぇ…フィーリングで…って感じですかね…自分もそこまで期待する人じゃないので…まぁ、流れでよければってイメージでしょうか…期待して後々息切れを起こすのは同感ですね… えぇ、ありがとうございます…   (2024/10/15
06:07:48)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/15 06:08:18)

エキドナ ◆> 偉そうに物を言ってしまってすまないね、、頭はやっぱり回ってないらしいよ(くす、)   (2024/10/15 06:09:01)

エキドナ ◆> おはよう、かな？   (2024/10/15 06:09:09)

エロガキ♂14C ◆> おはよーございまーす……不夜城が如し、ですね。あれ、なんか昨日も言った気がする。   (2024/10/15 06:09:10)

エキドナ ◆> ボク1人で不夜城をしていた訳じゃないよ。皆の思いが積み上がった、、なんて言えば聞こえだけは良いかもしれないね   (2024/10/15 06:10:16)

エロガキ♂14C ◆> うん、ログ見ればそれはもうなんか色んな人たちが積み上げたもので出来上がってるのがよくわかります。……いや、ほんとすごい。   (2024/10/15 06:11:14)

エキドナ ◆> ボクは石垣の小石程度にはなれたなら良いものだけれどね   (2024/10/15 06:12:26)

エロガキ♂18D ◆> おはようございます。随分早起きだそうで……ここ、出来てまだ一週間少ししか経ってないの凄くないです？   (2024/10/15 06:12:58)

エロガキ♂14C ◆> 小石でいいんですか？遠慮せず大岩くらいどーんとやっちゃいましょ、どーんっと   (2024/10/15 06:13:06)

エキドナ ◆> そんな事をすると他に使いたい人に迷惑だろう？小石程度が丁度良いんだよ、、   (2024/10/15 06:13:46)

エロガキ♂14C ◆> おはよー18bおにーさん。んー、まあそれだけ今は需要に溢れ出るって事だろうねー。悪い話ではないと思う。   (2024/10/15 06:13:52)

エロガキ♂14C ◆> 溢れ出る→溢れてる うーん、ナイス誤字！   (2024/10/15 06:14:20)

エキドナ ◆> もう、朝日が随分と高いね   (2024/10/15 06:14:33)

エロガキ♂18D ◆> 自分もいつもと比べるとやはり本調子じゃないようで…頭のギアがよく回ってない感じがしますねぇ… 相当需要があるというか…やはりゲームも行為もなしの話すだけってのは早々なかったですから…需要と供給が噛み合ったのでしょう……  
(2024/10/15 06:15:15)

エキドナ ◆> 約束は守るべきなのだけれど、、肝心の眠気がね、、   (2024/10/15 06:15:21)

エロガキ♂18D ◆> もうそんな時間ですか…軽く寝るか、ご飯食べて準備するか…ですねぇ   (2024/10/15 06:15:53)

エロガキ♂14C ◆> あはは、エキドナおねーさんはかなり謙遜気味なんですねー。まあでもほら、この雑談部屋もある種この一連のお部屋の1パーツですから。   (2024/10/15 06:15:54)

エキドナ ◆> ボクは雑談できる部屋を望んでいたよ。時々遊べれば満足だからね、、   (2024/10/15 06:16:00)

エキドナ ◆> 謙遜なつもりは無いのだけれどね、、   (2024/10/15 06:16:51)

エロガキ♂14C ◆> さてさて、それじゃ僕は今日お休みだから二度寝してくるね？エキドナおねーさんは何の約束かは知らないけど無理しないよーにねー。18Dおにーさんは苦いコーヒー飲んでシャキッとしよ、シャキッと（くすくす）   (2024/10/15
06:19:03)

エロガキ♂14C ◆> ではでは、寝起きに挨拶だけしてさらばでしたー   (2024/10/15 06:19:35)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/15 06:19:38)

エロガキ♂18D ◆> (そういやこの部屋、エロガキ達が最初に足跡着けたのかと思ったら最初胡桃さんとダイヤさんだったんですよね…)そうですね、苦いコーヒー……ブラックコーヒーペットボトルイッキでもしましょうかねぇ…   (2024/10/15
06:19:56)

エロガキ♂18D ◆> お疲れ様でした…二度寝と聞くと、したくなっちゃいますねぇ…   (2024/10/15 06:20:14)

エキドナ ◆> ゆっくり寝てくるといいさ。無理はしていないよ、ただ寝れないだけだからね、、約束は、、まぁ、自称悪い人との約束かな、、？   (2024/10/15 06:21:44)

エロガキ♂18D ◆> あぁ、そう言えばやっておりましたね…自分はもう一眠り、してきます。短い間でしたが、お付き合いいただきありがとうございました。また会えましたら……   (2024/10/15 06:23:13)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/15 06:23:25)

エキドナ ◆> キミもゆっくり寝てくるといい、、話に感謝しておくよ   (2024/10/15 06:23:55)

エキドナ ◆> ボクは大分と後発組だね、、けれどほぼ住処なくらいに居着いてしまっているよ、、   (2024/10/15 06:25:51)

エキドナ ◆> 攫って寝かし付けてくれる人でも、、と期待しても幻よりも儚いからね。やめておこうか、、   (2024/10/15 06:26:38)

エキドナ ◆> 無いものは、無いね、、   (2024/10/15 06:37:27)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/15 06:55:24)

シラベドンナ> 分析――！ ……なぁぁるほど！ ここが雑談の部屋か！ 絶えず活気があってよい場所だ！ まあ、今は静まり返っているが！   (2024/10/15 06:55:43)

シラベドンナ> やあ、おはよう！ 起床の挨拶ではなく朝方の挨拶としてね！ それとも既におやすみの方が適しているかい？   (2024/10/15 06:59:01)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/15 07:00:46)

エロガキ♂18D ◆> 結局戻ってきてしまいましたねぇ……おはようございます…おや、初めましての方ですね、よろしくお願い致します   (2024/10/15 07:01:37)

おしらせ> 無言時間が25分を超えたため、エキドナ ◆r8To80Q7JEさんが自動退室しました。  (2024/10/15 07:02:29)

エロガキ♂18D ◆> エキドナさんはお疲れ様でした。ゆっくりお休みくださいませ。   (2024/10/15 07:03:11)

シラベドンナ> 眠れたようで（そして起こさなかったようで）よかった…！   (2024/10/15 07:04:02)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/15 07:04:53)

シラベドンナ> おはよう！ そして初めまして！ まあ、今回は以後スムーズに入れるよう顔を出しただけで、あまり本腰を入れて長居をするつもりはないのだが！   (2024/10/15 07:05:19)

エロガキ♂18D ◆> さて、頭の回転加速させますかぁ……おはようございます、店長   (2024/10/15 07:05:40)

雪花ラミィ> あの…何故そんなにお酒を気になさってるんですか？…あぁ、これ？これはですね……ラミィだから（ドギャーーン）ということで、こんらみぃ〜⭐︎   (2024/10/15 07:05:45)

シラベドンナ> ひと気がなくなったタイミングを狙っていたつもりなのだけれど、一周まわってもう開店の時間だったかな！   (2024/10/15 07:06:34)

エロガキ♂18D ◆> いえいえ、今後ともよろしくお願い致します。ちょくちょく姿を別部屋でお見かけして気になってはおりましたので…もし縁がありましたら。   (2024/10/15 07:06:40)

エロガキ♂18D ◆> ラミィさんのプロフが某ちいさくてかわいいやつになってたのは……これは仕様ですかね？   (2024/10/15 07:07:28)

雪花ラミィ> てことでね、シラヘドンナ様、はじめまして〜っ。スナックゆきはな店主、雪花ラミィであります。（もはや呼称）   (2024/10/15 07:07:40)

エロガキ♂18D ◆> (ついに地主(部屋主)公認になったんだよなぁ……この店……)   (2024/10/15 07:09:26)

シラベドンナ> これは丁寧にどうも。追求の魔女シラベドンナだ。気楽にシラベと呼んでもらっても構わないよ。キミの方はシラフなのかな？   (2024/10/15 07:10:07)

雪花ラミィ> ちい◯わはウサギが一番好き。（ワァはハチ◯レ）シラベ。既視感ありますね。シラフのラミィ、訳してシラミィとだいたい同じですね（？）あっ、今はガッツリ酔っぱラミィでござる⭐︎   (2024/10/15 07:12:46)

エロガキ♂18D ◆> (ガッツリ酔っぱらってて心底安心した顔。どうか店長はそのままで居てくれ…)   (2024/10/15 07:14:14)

シラベドンナ> これから先、混雑していて挨拶できない方もいるだろうから、あらかじめ挨拶をしておこうか！ よろしく！（ログを覗くとき、ログもまた其方を覗いているのだ）   (2024/10/15 07:14:44)

シラベドンナ> 始発の時間帯から飲み始められる店とは画期的だな！   (2024/10/15 07:15:09)

エロガキ♂18D ◆> ち○かわのウサギはいいですよねぇ…なんかこう、とてもいい狂気を…シラミィはなんでしょう、こう……虫を彷彿とさせてそれはそれで嫌ですねぇ   (2024/10/15 07:15:35)

雪花ラミィ> 昨日はシラフのラミィにみんな大困惑されてたよね。いや全然変わんないと思ったんだが…？あっ、じゃあこの流れでラミィも挨拶しておこ。こんらみです♥（初配信のガチ黒歴史挨拶）   (2024/10/15 07:16:45)

エロガキ♂18D ◆> ではそのシラベドンナさんと面と向かって挨拶できたのは幸運と言うことで留めておきましょうかね…(ふふ)(向こうのログ見て、少々彼女について覚えておこう…)   (2024/10/15 07:17:05)

雪花ラミィ> 24時間営業のスナックっスからね。ここだけよ多分ここだけ。昨日さー、ラミィめっっ…ちゃ寝落ちして、謝りたい人がいるんだワ。おっぱい魔人。（語弊…ではないわ。）   (2024/10/15 07:17:52)

エロガキ♂18D ◆> いや、その……本当にその件については誠に申し訳ございませんでした……ラミィさん……いえ、店長はどうかそのままでいてください…あ、その人今朝入れ違いで来ましたね。何か二度寝するって言って出ていきましたけど。   (2024/10/15
07:18:40)

シラベドンナ> 少年諸君からすれば寝息助かるってヤツじゃあないかな？ よく知らないが！   (2024/10/15 07:20:26)

雪花ラミィ> そんなんい言われることなん…？そんなラミィ酔っ払ってて欲しいんか？シラミィは需要無いってこと？ふーん（メンヘラミィ）なんかね、寝てったね。だから書きおいとこうと思って、ごべーーーーん゛！！！！ラミィがわる゛かったーーー！！！！（ウ◯ップ）  
(2024/10/15 07:22:02)

雪花ラミィ> 寝息助かるで済んでたらええんだけどネ（）   (2024/10/15 07:23:40)

シラベドンナ> 第一声が謝罪の言葉ならきっと許してくれるだろうさ！ 船を漕いでるのを見て、早く船降りろと思われていたかもしれないけれど   (2024/10/15 07:24:03)

エロガキ♂18D ◆> いえ、そのままだとラミィさんは可愛すぎて直視出来ませんでしたので……今だと親しみが強くこうやって気軽に話せますが…シラミィさんの方は本当にアイドルと言う感じがしましてですね…
(おっと……この人もイケる口だな……？まぁ、あの人そういやあの世界の人だったなぁ…)   (2024/10/15 07:24:52)

雪花ラミィ> あれはねー、もうね、一番最初が謝罪の言葉になるように聞こえないふりしてる剛高音とドアホ剣豪（敬称）がまーーた良くって（オタミィ）ふーん……まぁ呑んでる方が楽しいからええけどね！！！   (2024/10/15 07:28:16)

エロガキ♂18D ◆> あれはいいシーンですよね、あの二人は察しているからこそのシーンと言いますか……(この人どんな姿にもフォルムチェンジするなぁ) 呑んでるのが楽しいんならいいんですよ、ええ。それでいいんです…   (2024/10/15 07:30:44)

シラベドンナ> その類の話題になると延々語ってしまいそうなので自重しておこう！（口調や性格が手探りゆえ、書いては消してを繰り返しているのでお構いなく！）   (2024/10/15 07:37:05)

