/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 19時36分 ～ 2024年11月05日 02時53分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> (触れただけでびくびくって、)   (2024/11/4 19:36:11)
キタサンブラック> はーい、そこのお二人はキタちゃんのお助け胸に来て、テロ行為するなんてやめましょうね～（さ、世界を破壊するよりキタちゃんの胸に抱っこされましょう。って両手広げておいでおいでしてみて）   (2024/11/4 19:40:22)

胡桃 ◆> 多分風が吹いただけでもう致命傷じゃない？(塵が痛そう、)   (2024/11/4 19:40:32)

天音かなた> ぼくの前で胸の話をするな、壊したくなっちゃうじゃないか…♤ 痛風の500倍ぐらい痛そう。自害定期なんだが（）   (2024/11/4 19:40:49)

おしらせ> フリーナさんが入室しました♪  (2024/11/4 19:40:53)

栞葉るり> あ、胸の話されたくない人がまた一人…   (2024/11/4 19:41:16)

胡桃 ◆> (かなたじゃなくてヒ〇カだったんだ…)   (2024/11/4 19:41:20)

キタサンブラック> かなしい……♧   (2024/11/4 19:41:41)

栞葉るり> (5点…♠)   (2024/11/4 19:41:41)

フリーナ> こんばんは！！胸の話..僕への当て付けかい？   (2024/11/4 19:41:43)

胡桃 ◆> フリーナこんばんは！(挨拶しながらしれっとキタちゃんなハグ。むぎゅむぎゅ…狡い、)   (2024/11/4 19:42:06)

天音かなた> 強制公務執行妨害とおんなじレベルの人きた。こんかなたーっ（ぎゅむー。格差を感じた）   (2024/11/4 19:42:42)

キタサンブラック> はい、胡桃さんはいらっしゃいませ～（ぎゅーッとしつつ）　フリーレン……じゃなくて、フリーナさんもいらっしゃいませ～   (2024/11/4 19:42:48)

エロガキ♂13HL ◆> フリーナちゃんこんばんは♪(ぺこり)   (2024/11/4 19:42:51)

栞葉るり> わたくしは別に？多分この部屋で胸の話すると3人に刺さりますが…キタサンも動き方間違うと袋叩きになるような状況です   (2024/11/4 19:43:04)

エロガキ♂13HL ◆> 胸の話はねー僕は何も言わない方ごいいって学んだんだよね…(目逸らし)   (2024/11/4 19:43:18)

胡桃 ◆> あれ…私より胸のある子に私が甘える、これが無い物ねだりってことになるの？ショックで3分は寝込みそう。   (2024/11/4 19:43:32)

キタサンブラック> あはは、かなたさんもとりあえず世界平和のためにも皆さん、ないなら内で、ある場所を堪能すればいいんですよ。（ないこともまた重要な需要ですからって抱きしめつつ、可愛いな～）   (2024/11/4 19:43:39)

栞葉るり> 男子からされるのと女子からされるのではまた別ですよ？   (2024/11/4 19:43:41)

天音かなた> このおまわりさん実はひんにゅーオチとか無いかなと思って再度確認しに行ったらボインボインやんけくそ！！！世界は無常だ！！！   (2024/11/4 19:44:59)

胡桃 ◆> そうなんだよ！！るりって、あるんだよ！？(きゃんきゃん、)   (2024/11/4 19:45:24)

栞葉るり> …やー、どうでしょうね？人によるかも知れませんよ？(着てる衣装大体潰れてるから未知数)   (2024/11/4 19:46:00)

エロガキ♂13HL ◆> …ほんとだーあるねこれ…！(今見た)   (2024/11/4 19:46:24)

胡桃 ◆> (私とかね！！)   (2024/11/4 19:46:31)

フリーナ> 胸の話をするなら僕よりも彼女の方があってるのかな..でも胡桃も居るし(ぶつぶつ)   (2024/11/4 19:46:50)

栞葉るり> フリーレン様？！(別人)   (2024/11/4 19:47:08)

胡桃 ◆> あ、今フリーナから私に対する裏切りの思考を感じたような…(フリーレン様もちっs…だっけ)   (2024/11/4 19:47:33)

栞葉るり> (フリーレン様はえっちなゲームにも声優としてでてるので…長寿ってすごいですね)   (2024/11/4 19:48:07)

キタサンブラック> ……（ちっさいのはシュタルクさん）   (2024/11/4 19:48:07)

胡桃 ◆> (とりあえず私はキタちゃんの胸を後にした。でも腕にしがみついておこう。ふにふにするでしょ、するよね？)   (2024/11/4 19:48:11)

天音かなた> ぼくもあるけどね。ぼくもあるけどね。あーーフリーレン様のえっちなゲームはね、2、3個もってるぼく！！   (2024/11/4 19:49:18)

フリーナ> 胡桃を裏切るつもりはないさ！でもこの話題についてなら僕よりも...うーーーん..考えておこう！   (2024/11/4 19:49:36)

キタサンブラック> 【そしてすみません、アタシはおじいちゃん呼び出しがかかったのです】   (2024/11/4 19:50:06)

栞葉るり> ふふん、わたくしはちんちくりんではない犬なので…。この天使…あ、いや、いろんなゲームに出てるから特定できない！じゃあ、サノバウィッチだな！   (2024/11/4 19:50:23)

胡桃 ◆> (キタちゃん…いってらっしゃーい。)   (2024/11/4 19:50:28)

栞葉るり> (北島さんに呼ばれたのかな…いってらっしゃいませー)   (2024/11/4 19:50:42)

エロガキ♂13HL ◆> (いってらっしゃーい)   (2024/11/4 19:50:47)

フリーナ> (いってらっしゃい！)   (2024/11/4 19:50:53)

天音かなた> 【おつかなたーっ】   (2024/11/4 19:52:12)

胡桃 ◆> っていけない！私もいろいろ予定狂っちゃう前に…まえ、に…(用事用事…お喋り、ゲーム…勝負…お喋りしたい、)   (2024/11/4 19:52:54)

天音かなた> ぼくがちんちくりんみたいな言い方やめな。断罪してやる！！！（天使？）あーー、サノバもある。もうひとつ！もうひとつ！   (2024/11/4 19:52:58)

胡桃 ◆> 私は…！一旦お暇するね！(歯を食いしばった、手を全力でぶんぶん。長い髪もぶんぶん、)   (2024/11/4 19:53:45)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/4 19:53:56)

栞葉るり> いってらっしゃーい   (2024/11/4 19:54:21)

天音かなた> おつかなたーーっ   (2024/11/4 19:54:33)

フリーナ> またね！胡桃！！   (2024/11/4 19:54:53)

栞葉るり> じゃあ、ちんちんでしょ(言い間違え)　サノバあるとしたら、あの辺で有名なやつ…なんだっけ、彼女にAV借りた時の言い訳するシチュエーションあるやつ！タイトルがでてこない！！   (2024/11/4 19:55:21)

栞葉るり> それじゃないとしたらまいてつ！！どうだ！？やったか？！   (2024/11/4 19:56:14)

フリーナ> AVを借りて言い訳？どうしてそんなことする必要があるんだい？   (2024/11/4 19:58:03)

天音かなた> ぼくは総受け概念を崩さない厄介天使だからはやしません（謎の威張り）僕も出てこない……あーーーまいてつもそうだっけ？？なら元々考えてたのとは違うけど正解！！   (2024/11/4 19:58:47)

栞葉るり> 借りてきたタイトルをですね、なんか白状するシーンがあるんですよ。それで置換モノだとかなんとか言ったら別れる！！ってフリーレン様が拗ねるんですね、それがまた可愛くて…(そのシーンしか分からないやつ)   (2024/11/4 19:59:18)

栞葉るり> えー、たまに種付けとかしたくなるとかないんですか？天使ってふたなりなんですよ？(じと)　まいてつはあのメインっぽいヒロインのロリがフリーレン様です。なんだよそれ！ちゃんと最後までタイトル明かせ！   (2024/11/4 20:00:41)

栞葉るり> でもゆずの作品買ったら大体フリーレン様いますよね…(ぼそ)   (2024/11/4 20:01:44)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/4 20:01:59)

栞葉るり> ちなみにミホノブルボンもいます！(暴露)   (2024/11/4 20:02:08)

星 ◆> 賑わってる……！（やほ、って片手上げた、こんばんは。）   (2024/11/4 20:02:15)

天音かなた> 正解は9-nine-でした。有名タイトルでしょ！！！こんかなたーー！！   (2024/11/4 20:02:24)

栞葉るり> こんばんは、いらっしゃいませー   (2024/11/4 20:02:31)

フリーナ> こんばんは！！   (2024/11/4 20:02:36)

エロガキ♂13HL ◆> こんばんは〜♪   (2024/11/4 20:02:43)

栞葉るり> あーーーーーーー！！！！あの妹キャラのやつだ！！！実際言おうと思ってた！くそっ(ばんばん)   (2024/11/4 20:02:54)

星 ◆> （話題を追おう、スマホ！ここまでのログを開いて、）   (2024/11/4 20:04:37)

栞葉るり> (多分追えない。わたくしのせい)   (2024/11/4 20:04:48)

天音かなた> 近親相姦って、性癖のネタだけで見たらかなり良いんだよなあ。やっちゃだめだけどね！？　えーとね。胸の話はぼくが握りつぶして、今は性癖の話（大嘘）   (2024/11/4 20:06:25)

星 ◆> ……最近るりの配信見るようになったんだけど、割と通常時でも微かにゆさゆさしてるの気付いちゃった。（ぽそり、）   (2024/11/4 20:07:23)

エロガキ♂13HL ◆> 近親相姦…ですか〜   (2024/11/4 20:07:35)

星 ◆> ろく、ろくでもない話題しかしてない……！（ログ読み終わった、愕然。）   (2024/11/4 20:08:11)

栞葉るり> 近親相姦といえばやっぱりヨスガノソラ…！わたくしも玄関で可愛い妹とファックs(ピーーー)   (2024/11/4 20:10:41)

栞葉るり> 落ち着きがない犬ですからね、じっとしてられないんですよ…！まぁ、かなターン高校はたまに耳を破壊する咆哮浴びせてくるので気をつけてくださいね！！   (2024/11/4 20:11:36)

星 ◆> （男性Vとるりしか追えてないのでホロには縁遠い開拓者だった、）   (2024/11/4 20:12:21)

フリーナ> 話のレベルか思ってたよりも高いね！？...気晴らしにお酒でも飲もうかな...(部屋の隅っこに移動～)   (2024/11/4 20:13:15)

星 ◆> き、近親相姦……？ジェパセバ……？（話題についていくために友人を犠牲にした。）   (2024/11/4 20:13:23)

栞葉るり> (ホロはまぁたまにつまむ程度じゃないと胃もたれが…)   (2024/11/4 20:13:27)

天音かなた> も゛ごぢゃ゛ん！！！！！   (2024/11/4 20:13:54)

栞葉るり> そう言えばスタレって兄弟とかあんまり居なかったですね…   (2024/11/4 20:14:03)

栞葉るり> うるさい！！！！！   (2024/11/4 20:14:08)

エロガキ♂13HL ◆> ふわもこ…バウバウ…可愛い   (2024/11/4 20:14:20)

星 ◆> サンデーとロビン、ランドゥーのところ……あとはプーマン三兄弟……？   (2024/11/4 20:14:49)

おしらせ> 無言時間が25分を超えたため、キタサンブラックさんが自動退室しました。  (2024/11/4 20:15:19)

栞葉るり> ブーマンのセックスはどうでもいいとして、サンデーロビンの洗脳シチュとか流行れ…！   (2024/11/4 20:15:36)

星 ◆> （左右からVの咆哮に焼かれて頭がくらりとした。ふ、フリーナ、私も隅っこに連れてって……。）   (2024/11/4 20:15:37)

星
◆> サンデーはロビンのことを邪な目で見てないと言いつつも三徹くらいしたときに命の危機を感じてビンビンになったちんちん鎮めるために自慰するけど、その時偶々手元にあったロビンの写真を使ったら過去一番に濃いのが出てしまって自己嫌悪に陥る、みたいなところがあると思う。（るりにひそひそ囁いた、これ他人に……ロビンに聞かれたら縁切られそうだからこっそり。）
  (2024/11/4 20:17:52)

エロガキ♂13HL ◆> フリーナちゃん大丈夫かな？(飲み物水とか飲みます？なんて隣に行こー…)   (2024/11/4 20:20:29)

栞葉るり> むしろ、ロビンを性的な目で見ないとか不能までありますよね…(こくこく、わかるわかる…)　まぁ直接手を出さないあたりまだ優しいですよね。スタレ世界がもうちょい終わってたら近くに近縁種がいないので妹相手に…となっているところです(ただれた関係)  
(2024/11/4 20:20:31)

栞葉るり> かなたんもこれ、エネルギー切れかも知れません…はしゃぎすぎましたね(おんぶ)   (2024/11/4 20:21:16)

星 ◆> サンデーが本当にある意味では真っ当な人で良かった……。（ロビンはこっそりファンの中で気に入った人がいたら男女問わずつまみ食いしてそう、とかは言ったらサンデーがお迎えできなさそうなのでやめた。ホタルとか食べられてると思う。）   (2024/11/4
20:23:20)

フリーナ> 僕のことをよんだかい～(スピリタスラッパ飲み)   (2024/11/4 20:23:39)

星 ◆> みんな私が来るまでに全力を放ってたんだね……。（死屍累々。手を合わせておこう、）   (2024/11/4 20:23:50)

星 ◆> フリーナ、あんまり飲むとまたあのおっぱいさんに叱られるよ。   (2024/11/4 20:24:19)

エロガキ♂13HL ◆> フリーナちゃんお水もちゃんと飲んでくださいねー？(じとーっ)   (2024/11/4 20:24:20)

フリーナ> 大丈夫さ～、僕はしゅたーだからね～いくら飲んでも問題ないさ～(お顔真っ赤)   (2024/11/4 20:25:56)

栞葉るり> サンデーは家族に対してはまともですから…(週休7日…毎日が日曜日、だからサンデーなのはダジャレ効いてるなと思いました。そうですよ、来月にはきますからね、真停雲といっしょに…乱破がイマイチ盛り上がらない2つの理由)   (2024/11/4
20:25:56)

栞葉るり> (なんだスピリタスか…スラーダじゃなくてホッとしました)   (2024/11/4 20:26:49)

星
◆> そういえば声似てるんだっけ……こほん。（咳払い、）フリーナ様、あれほど酒には吞まれるなと……此処にはケダモノも多い、あまり無防備な姿を晒すことはそのまま貞操の危機に直結しますよ。（ちなみに接した限りの口調しか知らない開拓者だ。精一杯低めの声でお説教、……実際するのかは、知らない。）
  (2024/11/4 20:28:58)

エロガキ♂13HL ◆> 無理やり水飲ませようか…？   (2024/11/4 20:29:46)

星 ◆> 乱破、安らかに……次の復刻までに乱破が活かせるサポーターが来て評価爆上がり！とかありそー……。（何が起きるか分からないからね、あの世界のパワーバランス。とりあえず私は目下アベンチュリンだけど……。）   (2024/11/4 20:30:28)

フリーナ> 僕に何かあっても君が守ってくれるだろ～？わかった！！君のそばにいれば飲んでもいいってことだね！！(おぼつかない足取りで星の膝に倒れて)   (2024/11/4 20:31:52)

栞葉るり> ンチュ(呼び方)は1凸してあるのでまぁまぁスルーできますね、わたくしは…引いてない人は殺到するでしょうけども！   (2024/11/4 20:31:53)

栞葉るり> さて、お腹すいたのでそろそろご飯にします。おつかれさまでしたー   (2024/11/4 20:32:23)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/4 20:32:26)

エロガキ♂13HL ◆> るりさんお疲れ様です〜   (2024/11/4 20:32:36)

星 ◆> るりは離脱宣言から離脱までが速い……！お疲れ……！   (2024/11/4 20:32:43)

フリーナ> お疲れさま～...またね～   (2024/11/4 20:33:20)

おしらせ> 蛍さんが入室しました♪  (2024/11/4 20:33:44)

星 ◆> フリーナ……様。まったく……。（演技の辞め時を見失った開拓者、結局低い声のまま甘やかすようにソファに運んで隣に座った。よしよし、）   (2024/11/4 20:33:52)

蛍> 犬は逃しちゃった…。フリーナが泥酔しかけてると聞いて。(あと近親相姦ってワードに血相を変えてやってきた旅人)   (2024/11/4 20:34:40)

星 ◆> あ、蛍。（……と、何か白いのがいる……！ソファから手ひらひら、）   (2024/11/4 20:34:53)

蛍> 皆こんばんは。(控えめにお手てふり。)   (2024/11/4 20:34:55)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 20:35:46)

蛍> こっちはパイモン。最近はいつも一緒に来てるよ。喋ることはあまりないかもだけど…。(「オイラまで話すとややこしくなっちゃうからな！」と、相棒が。)   (2024/11/4 20:36:32)

フリーナ> っんん？...蛍！！こんばんは～..最近会いに来てくれなくて僕は寂しいよ....   (2024/11/4 20:37:08)

星 ◆> そうなんだ……よろしく、パイモン。（いいな、私も相棒とか連れたいなー……と思ったけど、最近は夢獏がよく足元についてきてくれるんだった、ならいいや。）   (2024/11/4 20:37:57)

蛍> 私は花神誕祭とか、ナタを蹂……探索するので忙しいからね…。   (2024/11/4 20:38:01)

蛍> 花神誕祭…！(発作の前触れ)   (2024/11/4 20:38:59)

おしらせ> 無言時間が25分を超えたため、天音かなたさんが自動退室しました。  (2024/11/4 20:38:59)

星 ◆> ああ、咆哮を上げたきりだった天使が……。お疲れ、おやすみ？   (2024/11/4 20:39:01)

蛍> あ…せっかく手合わせ(物理)したかった相手が…またね。(ヒルチャールの王位は強いかな、それ以上か。)   (2024/11/4 20:39:42)

エロガキ♂13HL ◆> かなたんお疲れ様♪   (2024/11/4 20:39:56)

フリーナ> またねー！！   (2024/11/4 20:40:04)

蛍> (ホヨバ主人公二人揃ったからピースしとこう。)   (2024/11/4 20:40:47)

星 ◆> （ダブルピース、）   (2024/11/4 20:41:17)

蛍> (るりが居たら今頃2文字追加されてそう)   (2024/11/4 20:41:35)

エロガキ♂13HL ◆> (カメラで撮っときますね♪)   (2024/11/4 20:41:47)

星 ◆> （ど、どんな二文字……！？）   (2024/11/4 20:42:13)

蛍> (すすっ、星にパイモン押しつけ。)   (2024/11/4 20:42:16)

蛍> (星の脳内変換次第で未来は変わるよ！)   (2024/11/4 20:42:38)

星 ◆> え、いいの？（ちょっと正直気になってた、相棒くん。あんまり力込めないようにその感触を確かめるように抱っこしてみよう。もちもちふわふわしてそう、）   (2024/11/4 20:43:04)

蛍> 「なんだよ〜…オイラを抱っこしたって、1モラも出ないからな！」…パイモン、そういうことじゃないと思う。(いつも元気だけど、寝てる時は凄い大人しいし。膝の上に乗せて寝かせてる私。)   (2024/11/4 20:44:40)

蛍> 13HLと…フリーナは大丈夫？…いや、フリーナは酔い覚めさせた方がいいかな(水元素よし、フリーナに指を向けた。)   (2024/11/4 20:45:17)

フリーナ> よし！！僕は帰ろう～...(危険を察知)   (2024/11/4 20:45:47)

星 ◆> ……大丈夫？お迎え呼ぶ？   (2024/11/4 20:46:07)

蛍> (ぴちゃ、ぴちゃ…。しょぼ。)   (2024/11/4 20:46:08)

フリーナ> 大丈夫さ！！それと変わりの人？を呼んでくるね！！   (2024/11/4 20:46:36)

星 ◆> いいなぁ、パイモン。列車に乗らない？（ってスカウト。私もパム引き連れて冒険したいな、と思いつつ蛍に返却した。）   (2024/11/4 20:47:02)

蛍> (人？って事は人間じゃないってことかもしれない。)   (2024/11/4 20:47:02)

エロガキ♂13HL ◆> ん？行ってらっしゃい〜？   (2024/11/4 20:47:18)

おしらせ> フリーナさんが退室しました。  (2024/11/4 20:47:26)

エロガキ♂13HL ◆> 僕は大丈夫ですよ〜2人とパイモンの絡みを見てほっこりしてました〜   (2024/11/4 20:47:48)

星 ◆> 蛍がパイモンを抱っこして、その蛍を私が抱っこする……挟み撃ちの形になるな。（さあおいで、と開拓者特有の顔の良さと共に腕を広げた、）   (2024/11/4 20:48:07)

星 ◆> （フリーナが代わりに呼ぶって誰だろ……。）   (2024/11/4 20:48:18)

蛍> ダメ。私の相棒だから。(幾ら主人公の好でも替えのきかない子だから。返却されれば両腕で抱擁、何か作戦みたいな台詞吐いた開拓者の前に来て背を向けて座っておこう。)   (2024/11/4 20:49:00)

おしらせ> 雷電将軍さんが入室しました♪  (2024/11/4 20:49:05)

蛍> こんばんは。   (2024/11/4 20:49:20)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 20:49:45)

星 ◆> デッカ……。（私のママの可能性がある、開拓者センサーは今日も絶好調。）   (2024/11/4 20:49:58)

蛍> (顔の良さ？お兄ちゃんだって負けてないから！)   (2024/11/4 20:50:04)

雷電将軍> こんばんは。なぜ私がここに来なければならないのか些かわかりませんが同じパーティーのよしみです。少しだけお邪魔させて貰いましょう。   (2024/11/4 20:50:28)

蛍> (星は胸の大きい人が全員ママの可能性あり…っと。旅人は日記にそう記した。)   (2024/11/4 20:50:34)

星 ◆> 蛍も一緒に来ていいのに。（いつかコラボとかで来てくれたらいいよね、ってパイモンは諦めて蛍をぎゅーっと抱きしめた。）   (2024/11/4 20:51:00)

星 ◆> （間違ってないので日記には何も訂正をしない。）   (2024/11/4 20:51:29)

星 ◆> ……黄泉に似てるね。   (2024/11/4 20:51:51)

エロガキ♂13HL ◆> 優しそうなお姉さまですねー   (2024/11/4 20:52:11)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/11/4 20:53:04)

蛍> ここにナヒーダと夜蘭、行秋…は、少し厳しいかもしれないけど…このメンバーなら勝てる。   (2024/11/4 20:53:19)

エロガキ♂17L ◆> こんばんは…って珍しい人が来てるな   (2024/11/4 20:53:30)

蛍> こんばんは。   (2024/11/4 20:53:33)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 20:53:33)

星 ◆> こんばんは、   (2024/11/4 20:53:39)

雷電将軍> こんばんは   (2024/11/4 20:53:48)

蛍> 一応そっちじゃない方の崩壊にはフィッシュルが行ってたりするけど…(星が私を、私はパイモンをハグ…これはマトリョーシカ的なものだろうか。)   (2024/11/4 20:55:02)

蛍> (私にはわかる。今の彼女は…将軍の方だ！)   (2024/11/4 20:56:18)

星 ◆> 流石に蛍が直々に来てくれる、っていうのは難しいかな。（あとこっちにはホタルもいるしね、って。話してるところは見てみたいけど。）   (2024/11/4 20:57:43)

雷電将軍> (よくわかりましたね。今は将軍のほうが動いてますよ〈影)   (2024/11/4 20:58:00)

蛍> (どっちだ…！)   (2024/11/4 20:58:16)

星 ◆> （どういうことか分からないのでスマホの叡智に頼ろう……、）   (2024/11/4 20:58:22)

エロガキ♂13HL ◆> (なるほど…？)   (2024/11/4 20:59:03)

エロガキ♂17L ◆> ……(無言で三色団子作成中)   (2024/11/4 20:59:38)

雷電将軍> わかりやすく言うのであれば、私は雷電影が作り出した人形にすぎません。彼女が作ったルールのもとで私は永遠を維持するために動いています。   (2024/11/4 20:59:44)

蛍> そもそも私(旅人)だと、どっちが行くかって問題も…(お兄ちゃんと一緒なら私はそれが一番。でも旅の終わりにもなっちゃうからやっぱり再会はまだ先かな…しょぼ。蛍とホタルらいいと思うの。)   (2024/11/4 20:59:55)

おしらせ> ロイヤルフォーチュン ◆azln.ux8EIさんが入室しました♪  (2024/11/4 21:00:02)

蛍> こんばんは。(旅人の数少ない微笑みとお手振りを添えて。)   (2024/11/4 21:00:24)

雷電将軍> こんばんは   (2024/11/4 21:00:36)

星 ◆> それってわかりやすいの……？ヘルタとヘルタ人形みたいなものかな……。（よくわからないけど、わかった！）   (2024/11/4 21:00:42)

ロイヤルフォーチュン ◆> こんばんわっと！新しく海賊旗……ならぬトリップ付けての入室ーっ！ うんうん、ちゃんとアズレン旗出てるわね！   (2024/11/4 21:00:48)

エロガキ♂17L ◆> ん？こんばんは……(三色団子作成中の男)   (2024/11/4 21:00:58)

星 ◆> こんばんは、……！（これまたデカい、ママか……！？）   (2024/11/4 21:01:14)

雷電将軍> ではわかりやすいようにプロフィールを弄りましょうか。   (2024/11/4 21:01:15)

蛍> (ホヨバの世界すら超越したママの数に旅人は慄いた。)   (2024/11/4 21:01:59)

ロイヤルフォーチュン ◆> ママって年じゃないわよもー！ 胸はあるほーではあるけどー！ ＞星   (2024/11/4 21:02:20)

星 ◆> そういえば、そっちはそういう複雑な主人公だったっけ……。（しょんぼりしちゃった蛍の頭を撫で、）   (2024/11/4 21:03:06)

エロガキ♂17L ◆> ……よしできた(小声で呟きながら三色団子をみんなの前に皿ごと置いて)   (2024/11/4 21:03:33)

星 ◆> ……気にはなってたけど、なんでお団子？   (2024/11/4 21:03:53)

蛍> (将軍の好物だよ。甘味とかね。)   (2024/11/4 21:04:11)

エロガキ♂17L ◆> ん？何となく、これ作った方がいい気がして   (2024/11/4 21:04:29)

星 ◆> （ああ、なるほど……。）   (2024/11/4 21:04:43)

蛍> あ、絶対本人に作らせちゃ…作れないんだっけ。   (2024/11/4 21:04:47)

ロイヤルフォーチュン ◆> ……いや年でいったらおばあちゃん通り越してるけども（300年前）　わーい♡ お団子ってモッチモチして食感大好き！いただきまーす！んぅ～♡ほっぺとけちゃうー♪   (2024/11/4 21:04:49)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 21:05:08)

雷電将軍> よく知っている味です。悪くありません...   (2024/11/4 21:05:30)

蛍> つまり…彼女は300歳？こっちには500歳のロリ神ママがいるんだから！   (2024/11/4 21:05:41)

エロガキ♂17L ◆> お気に召したようで何より(クスリと微笑みながらひとつお辞儀して)   (2024/11/4 21:06:00)

星 ◆> （蛍を抱きしめてる腕を片方解いて団子を持つと、そのままパイモンの口元に持って行ってあげよう。）   (2024/11/4 21:06:10)

エロガキ♂17L ◆> (あ〜、ナヒーダか)   (2024/11/4 21:06:16)

ロイヤルフォーチュン ◆> いや年齢で張り合うつもりは一切ないから！ないから！！ あと私はロリでもないから！＞蛍   (2024/11/4 21:06:20)

雷電将軍> 年齢で張り合うなら私に勝てる者はそういないでしょう。   (2024/11/4 21:06:47)

蛍> (私が居るとテイワットの空気が濃厚になりそうだから退出し…あ、こらパイモン。星が餌付けするからパイモンが食いついちゃった。)   (2024/11/4 21:06:51)

ロイヤルフォーチュン ◆> 丁寧なお辞儀できる子きらいじゃないよ♪（頭なーでなーで♪）＞13HL   (2024/11/4 21:06:55)

エロガキ♂13HL ◆> あっ…ありがとうございます(頭撫で受けながら少し照れながら)   (2024/11/4 21:08:10)

星 ◆> まあまあもう少しもう少し。（がっしり。……実はこういう餌付け……じゃないけど、食べ物を小さい子にあげるのは好きな開拓者。微笑ましいものを見る目で見ちゃうね。）   (2024/11/4 21:08:26)

ロイヤルフォーチュン ◆> お団子おいしぃー！ 紅茶と一緒にいただきたいやつー＜元英国船　   (2024/11/4 21:09:00)

蛍> 「オイラは小さい子じゃなくてパイモンだぞ！」(お団子食べてるけど、咀嚼しながらは話さ無い。さすがガイド役…ちゃんと呑み込んでから抗議してる、でもお団子は食べるんだ。あと…星、力強くない？)   (2024/11/4 21:10:01)

エロガキ♂17L ◆> 紅茶か……茶葉あったっけ……？(荷物ガサゴソ)   (2024/11/4 21:10:33)

ロイヤルフォーチュン ◆> あ、グリーンティーのほうが合うかも！これもともと和食お菓子でしょ？   (2024/11/4 21:11:09)

星 ◆> 普段から大きい獲物振り回したり、筋力必要な戦いとかお仕事ばかりしてるからね……。（いつの間にか筋肉はそれなり。抗議してくるパイモンの頬を指先でつんつんしてから、「小さくはあるでしょ、」って。）   (2024/11/4 21:11:31)

蛍> お茶？…彼が居ればと思ったけど(バッグがさがさ。スライムピュレ、スライムピュレ、脆弱樹脂…すり抜けの星5武器、大量の聖遺物…ダメだ、見つからない。)   (2024/11/4 21:11:54)

