/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年09月21日 21時50分 ～ 2025年09月23日 22時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雪泉 ◆qtse8iJjbUさんが入室しました♪  (9/21 21:50:13)
エロガキ♂14S> ヴァニレキプファルン。使用する小麦粉の一部をアーモンドパウダーに置き換えて作った、いわゆる古都菓子ってやつだよ。   (9/21 22:59:36)

エロガキ♂14S> 【あ、クッキーの一種です】   (9/21 22:59:57)

グレイ> ――ええ、何だかそんな気がしますね♪【思っていたよりもボンガ民多いですね？】   (9/21 23:01:11)

雪泉 ◆> まぁ確かにアレは私達以上に癖の見本市みたいなところなのは否定出来ませんね・・・そしてヴァニレキプファルンとはまた珍しい物をお作りに・・・大変難しいと聞きましたが   (9/21 23:01:17)

エロガキ♂12KI ◆> 何か薬の名前みたいなお菓子だなぁ   (9/21 23:01:58)

雪泉 ◆> 【類は友を呼ぶというやつでしょう。】   (9/21 23:02:01)

エロガキ♂14S> 一応コレ歴史あるお菓子なんだからね？   (9/21 23:04:36)

エロガキ♂14S> 【だね。類は友を呼ぶだ。グレイちゃん、流石に今日は夜更かしはできないよね】   (9/21 23:05:05)

グレイ> まあ、それ自体は否定できませんね。最小キャラと最大キャラの身長差が100cm以上あったり、異国風なキャラがついに登場したかと思えばその次は未亡人、などなど……癖に関しては確かに網羅シてますね？後はスレンダーな子が日本にも来てくれれば……  
(9/21 23:05:25)

エロガキ♂12KI ◆> しかも魔法熟女？みたいなのも居なかったっけ？しかも胸が基本的に大きいのが多いからスレンダーなのは極端にぺったんこ…   (9/21 23:06:39)

グレイ> けふんっ。（改めてヴァニレキプファルンを、噛みしめるように味わう。やはりというべきか頬を緩ませ……）やっぱり貴方が作るお菓子は美味しいですよね♪甘すぎず、ナッツの味も丁度いいアクセントになっていて♪   (9/21 23:07:38)

エロガキ♂14S> 熟女・・・はいなかったんじゃない？多分それお隣の麻雀の方。＞KI   (9/21 23:08:08)

グレイ> 【ですね、流石に明日は普通の時間に起きなければいけないので……】   (9/21 23:08:08)

グレイ> ですね。パインさんやグリアロさんが出演していたり、ボンガの子と同じ声帯の子も居たりする麻雀ファイトガールのお方だったはずです   (9/21 23:09:20)

エロガキ♂12KI ◆> ファイトガールもボンガもイラストのテイスト似てるんだよぉ   (9/21 23:10:06)

雪泉 ◆> おそらく、それは三元ダイアさんですね。娘さんが四役芸高の3年生で、御本人はその学校の教師だったはずです(←やってる)   (9/21 23:10:55)

エロガキ♂14S> （←やってる）   (9/21 23:11:07)

グレイ> 何の三年生か明記されていないやつ。（←やってる）   (9/21 23:11:36)

エロガキ♂12KI ◆> 手広過ぎん？   (9/21 23:12:27)

雪泉 ◆> ゲームセンターに足繁く通う人なら、2つ3つ手を掛けててもおかしくありません。ですよね？   (9/21 23:14:20)

エロガキ♂14S> 然り！然り！然り！   (9/21 23:15:06)

エロガキ♂12KI ◆> 何で征服王の臣下が紛れ込んでんの。成仏してクレメンス   (9/21 23:16:02)

グレイ> ですです！   (9/21 23:16:49)

エロガキ♂14S> 【じゃあ、また翌日が休みの時に・・・ね？】   (9/21 23:17:01)

エロガキ♂12KI ◆> 子供にゲームセンター通う財力なんて無いんだよー   (9/21 23:17:43)

雪泉 ◆> ちなみに私はボンガ、麻雀ファイトガール、CCJを嗜んでおります。   (9/21 23:18:10)

エロガキ♂12KI ◆> 14兄ちゃんはどうやってそんな金持ってんのか知らんけど   (9/21 23:18:10)

エロガキ♂14S> え？俺両親が大衆食堂やっててさ。そこで色んなお手伝いしてお小遣い稼ぎ。食材の仕込みとか、あと出すデザート作りとか結構やるよ？   (9/21 23:19:20)

グレイ> 【ええ♪ちなみに明日はどうですか？】   (9/21 23:19:58)

エロガキ♂14S> 俺はWLW、ボンガ、麻雀ファイトガール。偶にCCJ。そう考えると結構雪泉ねえちゃんと被る・・・   (9/21 23:20:11)

エロガキ♂12KI ◆> そこで普段から胃袋握り潰してんの？   (9/21 23:20:14)

エロガキ♂14S> 【歓迎！】   (9/21 23:20:17)

雪泉 ◆> なんなら偶に冷蔵庫に俺が作ったデザート突っ込むからさ、あったら食べていいのよ？＞KI   (9/21 23:23:33)

雪泉 ◆> (あら？)   (9/21 23:23:44)

雪泉 ◆> (あ、これ混線してる!)   (9/21 23:24:05)

雪泉 ◆> 【ちょっとまってて！にぃ！】   (9/21 23:24:25)

エロガキ♂14S> 【やっぱお前かよ】   (9/21 23:24:34)

グレイ> （宇宙猫ならぬ宇宙グレイ）   (9/21 23:24:48)

エロガキ♂14S> 【うん、これ今だから話しちゃうけど。雪泉の中身、俺のリアル妹】   (9/21 23:25:06)

エロガキ♂12KI ◆> ？？？   (9/21 23:25:09)

エロガキ♂12KI ◆> 【おおう…】   (9/21 23:25:21)

グレイ> 【属性過多っ！そのバグ始めて見た……】   (9/21 23:26:03)

エロガキ♂12KI ◆> 【仲良し？なんだな…。リアル兄妹でこういう事する仲とは】   (9/21 23:26:16)

エロガキ♂14S> 【まぁ仲良しなのは否定しない。】   (9/21 23:26:45)

エロガキ♂12KI ◆> 【まぁ背後の事情は突っ込まないのがマナーってね。】   (9/21 23:27:12)

エロガキ♂12KI ◆> 【兄妹だからってどうって訳でもナッシング】   (9/21 23:27:26)

雪泉 ◆> 【これ、同じルーター使ってるのが原因。】   (9/21 23:28:24)

雪泉 ◆> 【取り敢えず気を取り直して】   (9/21 23:28:40)

エロガキ♂14S> 【節約しようと思った弊害が・・・】   (9/21 23:29:05)

グレイ> 【まあ、言ってしまえば創作みたいなものですから。少なくとも、私の意見としてはですが】   (9/21 23:29:11)

エロガキ♂12KI ◆> 【ふとクッソアレな事を思い付いたが流石にドン引きが過ぎるのでお口ミッフィしとこ。】   (9/21 23:29:27)

エロガキ♂14S> ま、とりあえず食べたくなったらさ、冷蔵庫にスイーツあったら大体俺の作だから、食べていいよ？   (9/21 23:29:40)

エロガキ♂12KI ◆> おっけ、グレイ姉ちゃんに片っ端から食べさせて太らせる。   (9/21 23:30:12)

雪泉 ◆> 無理矢理食べさせるのは良くないですよ?   (9/21 23:30:32)

エロガキ♂12KI ◆> まさかまさか、大好きな14兄ちゃんのスイーツだし喜んで食ってくれるよ   (9/21 23:31:06)

グレイ> そういう性癖もあるんですか貴方は……（ジト目で見つめ）   (9/21 23:31:11)

エロガキ♂12KI ◆> どう言う性癖に思われてるかは置いといて   (9/21 23:31:58)

エロガキ♂12KI ◆> 次の水着が来たらおっぱいの量とか増えてたりせんかな   (9/21 23:32:29)

エロガキ♂14S> 大丈夫、グレイちゃんに食べさせるスイーツの量や種類は俺の方で調節しておくから、さ？意外とカロリー計算とかしてるんだよ？   (9/21 23:33:05)

雪泉 ◆> うーん、グレイさんは成長期ですし、あり得なくはない・・・？   (9/21 23:33:36)

エロガキ♂12KI ◆> 最初は控えめだった筈が年々盛られてる事も珍しく無いじゃんソシャゲとか   (9/21 23:34:19)

エロガキ♂12KI ◆> 雪泉姉ちゃんとかも盛るペコされてるでしょよく   (9/21 23:34:48)

グレイ> 凄いですっ。それにしても、盛られるのも意外とありえなくはないかも……？わりと"ある"方、ですし   (9/21 23:35:17)

エロガキ♂12KI ◆> グレイ姉ちゃんサイズである方なん…？   (9/21 23:36:12)

エロガキ♂14S> 一般人目線ならある方なんじゃなーい？周囲（特に同級生のヒイロ）がおかしいだけでさ。   (9/21 23:37:21)

雪泉 ◆> 正史では安定してるんですよ？二次創作だと盛られまくってますが   (9/21 23:37:59)

エロガキ♂12KI ◆> 元が大きくても大きいに越した事はないかんね   (9/21 23:39:35)

エロガキ♂14S> 俺は大きいも小さいも等しく愛するぜ！胸フェチではあるけどさ。   (9/21 23:42:46)

グレイ> 胸がちっちゃい子もそれはそれで……えっちですし。（偏見）   (9/21 23:43:53)

グレイ> 性欲強そうですしっ！（いい間違えた模様）   (9/21 23:44:10)

エロガキ♂14S> グリアロちゃんとか小さいのに凄い人気だよね・・・   (9/21 23:44:30)

エロガキ♂12KI ◆> おっぱいのサイズに貴賤はない、けども個人的に好きなサイズはあるよなー   (9/21 23:44:43)

エロガキ♂14S> 【明日の夜九時くらいで大丈夫？＞グレイちゃん】   (9/21 23:49:02)

グレイ> 【ええ、9時目安で入るようにはしますが、9時30分くらいまで遅れてしまう可能性もありますね】   (9/21 23:49:50)

雪泉 ◆> ちなみに、KI君の好きなサイズとは？   (9/21 23:50:14)

雪泉 ◆> 私みたいな巨乳？それともグレイさんみたいな美乳？はたまた、グリムアロエちゃんのようなつるぺたでしょうか？   (9/21 23:50:57)

エロガキ♂14S> 【りょーかーい。その辺はフレキシブルにってことで！】   (9/21 23:51:16)

エロガキ♂12KI ◆> んー、まぁF以上からかなー？巨乳爆乳系統お好きですん   (9/21 23:51:27)

エロガキ♂12KI ◆> やっぱこう視覚的に見栄え良いし着飾るにしてもこう…凄いよなー   (9/21 23:52:00)

雪泉 ◆> (むにゅ、と自分の胸を揉んでみて)う〜ん・・・見栄え、ですか。   (9/21 23:59:12)

雪泉 ◆> あら、諸用ができてしまいました。今日はこれで失礼させていただきますね。【お風呂落ちですー】   (9/22 00:00:44)

エロガキ♂12KI ◆> 母性とか女性らしさの象徴って奴ですなぁ   (9/22 00:00:53)

雪泉 ◆> では、ごきげんよう   (9/22 00:01:01)

おしらせ> 雪泉 ◆qtse8iJjbUさんが退室しました。  (9/22 00:01:04)

エロガキ♂12KI ◆> ほいほい、お疲れ様ー   (9/22 00:01:09)

グレイ> 見応え……？鳴るほど、女性らしさ……って何言わせてるんですかっ   (9/22 00:01:12)

グレイ> お疲れ様です！   (9/22 00:01:20)

エロガキ♂12KI ◆> でもグレイ姉ちゃんも脱いだら凄いんでしょ？   (9/22 00:01:42)

グレイ> ……まあ、凄いって言えるくらいにはありますけど。（ぼそっ）   (9/22 00:02:01)

エロガキ♂14S> でも母性の見本ならいい人がいるじゃん。母性っていうかまんま母親だけど（どう考えてもシロヱのことである）   (9/22 00:02:03)

エロガキ♂14S> ん～・・・グレイちゃんは年齢と身長の割には凄いね！   (9/22 00:02:28)

エロガキ♂12KI ◆> それが今度はどんな感じで主張されるのか楽しみですなぁ。   (9/22 00:02:45)

エロガキ♂12KI ◆> さて、俺もそろそろ寝ないとまずいし今日は落ちようかな～   (9/22 00:09:19)

エロガキ♂12KI ◆> 皆お疲れー！   (9/22 00:09:26)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが退室しました。  (9/22 00:09:28)

エロガキ♂14S> お疲れ～   (9/22 00:09:36)

エロガキ♂14S> グレイちゃんもそろそろ寝る？   (9/22 00:09:43)

グレイ> お疲れ様ー！   (9/22 00:09:43)

グレイ> ええ。そろそろ寝ようと思っていました……。   (9/22 00:12:39)

エロガキ♂14S> だよね。それじゃあ、また明日だね。   (9/22 00:13:45)

グレイ> では、おやすみなさい。また明日、ですね♪   (9/22 00:14:06)

おしらせ> グレイさんが退室しました。  (9/22 00:14:16)

エロガキ♂14S> 俺も寝よう   (9/22 00:28:55)

おしらせ> エロガキ♂14Sさんが退室しました。  (9/22 00:29:00)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (9/22 01:37:49)

エロガキ♂19b ◆> よっと！深夜にこんばんは～さすがに起きてる子は...いないかな？   (9/22 01:38:09)

エロガキ♂19b ◆> さてと...万が一に備えて用意だけは～...紅茶とお菓子程度のよういはしておくべきなのさっ！！...これでよしっと！   (9/22 01:47:37)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (9/22 01:50:47)

エロガキ♂17L ◆> こんばんは、休憩中の17Lですよっと(空から落下しながらアイ〇ンマン着地決めて登場)   (9/22 01:52:47)

エロガキ♂19b ◆> やあやあ！我が友17L君じゃないですか。びっくり登場は今に始まったことじゃないからつっこまないけど...何か盛大なBGMでもかけたほうがいい？   (9/22 01:53:51)

エロガキ♂17L ◆> いや、別にかけないでいいよw   (9/22 01:54:45)

エロガキ♂19b ◆> 盛大にお迎えするのがいいっておばあちゃんが言っていた...まあいいや、せっかく来たんだしゆっくりしていきなー、紅茶と多種多様のお菓子と夜食しかないけど   (9/22 01:55:57)

エロガキ♂17L ◆> まぁ、2:40にはまた戻るけどね〜、それまではのんびりするよ……簡単な飯くらいなら作ろうかなって思ったけど、なんか色々入ってる？   (9/22 01:57:32)

エロガキ♂19b ◆> 念じれば出る...青い狸もびっくりな箱だよ～...おかわり自由！お金もかからない！...これさえあれば億万長者にもなれる？   (9/22 01:58:35)

エロガキ♂17L ◆> まぁ今度作っておくかな……今日は軽く夜食をいただいてゆっくりしていくことにしようかな？(欠伸をしながらそんなことを言って)   (9/22 02:00:36)

エロガキ♂19b ◆> ゆっくりしていけー...俺も筋肉痛を癒し中だったりするからね...獲物を見つけたら即座に食らい付くところではあるけども！！(適当なクッキーを取り出し頬張って)   (9/22 02:02:47)

エロガキ♂17L ◆> でも、まぁこの時間だし女の子来ないんじゃないか？あんま確証は無いけどさ   (9/22 02:04:09)

エロガキ♂19b ◆> 来ないだろうね...だからこその癒しタイムよ！！いつか来るかもしれない決戦に備えて...とはいいつつ最近はダイスの出目が雑魚...なんですけどねー！！   (9/22 02:06:19)

エロガキ♂17L ◆> 出目が雑魚なのは運がないだけだと思うけどな？   (9/22 02:07:23)

エロガキ♂19b ◆> うむ...運がないのだ...こんな感じでさ！   (9/22 02:08:18)

エロガキ♂19b ◆> 5d10 → (6 + 4 + 2 + 10 + 10) = 32  (9/22 02:08:22)

エロガキ♂19b ◆> ごめん普通かもしれない   (9/22 02:08:30)

エロガキ♂17L ◆> いや、出とるやん……   (9/22 02:08:40)

エロガキ♂17L ◆> 5d10 → (10 + 10 + 2 + 10 + 8) = 40  (9/22 02:08:42)

エロガキ♂17L ◆> ……なんでこうゆう時に高い目が出るかね〜？   (9/22 02:09:02)

エロガキ♂19b ◆> クソわかるぜ...確率操作されてる説提唱しようぜ   (9/22 02:09:24)

エロガキ♂17L ◆> ん〜、確率操作より物欲センサー的なものが働いてるだけじゃねぇかな？   (9/22 02:10:44)

エロガキ♂19b ◆> おのれ物欲センサァー！！！いつも邪魔をしやがって...   (9/22 02:11:20)

エロガキ♂17L ◆> うん、鳴滝さん出さないでもろて……まぁ俺は基本何も考えてなかったりするしその方がいい目でてる気がするかな？今思い返すと   (9/22 02:12:28)

エロガキ♂19b ◆> 確かになにも考えてないときとかはいい目でるね、逆に絶対勝ちたい！！ここで決めるっ！ってなるととたんに16とかになるんだよね   (9/22 02:13:53)

エロガキ♂17L ◆> もういっそ普段から振る時何も考えないで降った方がいいんじゃないの？   (9/22 02:15:11)

エロガキ♂19b ◆> それはなんかほら...気合いで女の子をさ、圧倒するとかさ！！...あんま効果ないけど！   (9/22 02:16:01)

エロガキ♂17L ◆> 効果無いならやめなよ……体力の無駄じゃない？   (9/22 02:16:47)

エロガキ♂19b ◆> ふふっ...無駄だよ。ちくしょう！！   (9/22 02:17:17)

エロガキ♂17L ◆> もう少し俺みたいに力抜いてやってみなよ〜、けっこうらくだよ〜？   (9/22 02:18:22)

エロガキ♂19b ◆> 次やるときはそれでやってみるよ...もうそれが正しい気がしてきた...   (9/22 02:19:18)

エロガキ♂17L ◆> ま、久しぶりに昨日の昼に2連戦したくらいだからなかなか女の子が来てないのは事実なんだけどさ   (9/22 02:20:18)

エロガキ♂19b ◆> へぇ...いいじゃんー！俺はなかなかタイミングが合わなくてねぇ...   (9/22 02:21:13)

エロガキ♂17L ◆> やっぱ女の子が待機してるところに行くのがいちばん手っ取り早いんだけどね〜、なかなかそうもいかないみたいなんだよな〜   (9/22 02:22:21)

エロガキ♂19b ◆> 前にみたいはいかないって訳だ！...だからこそ、もし見つけれたら...勝ちたいよね   (9/22 02:23:15)

エロガキ♂17L ◆> だね〜、なんなら前あったろ時みたいに同作の女の子二人対ここ二人っていうのしたいけどね〜久々に   (9/22 02:25:21)

エロガキ♂17L ◆> 【ちょい離席】   (9/22 02:26:48)

エロガキ♂19b ◆> それができるのは...夢になってしまったのかもしれない！！でも、勝負してくれるだけありがたい！！   (9/22 02:27:18)

エロガキ♂19b ◆> 【いってらー！】   (9/22 02:27:21)

エロガキ♂17L ◆> それもそうだね〜、確かにそれはそう   (9/22 02:28:34)

エロガキ♂19b ◆> そして勝てればその女の子を好き放題に...こんなことばっか考えて勝負してるから物欲センサーに引っ掛かるのか？...   (9/22 02:29:44)

エロガキ♂17L ◆> 【ただま〜】   (9/22 02:29:45)

エロガキ♂19b ◆> 【お帰り～】   (9/22 02:30:11)

エロガキ♂17L ◆> うん、そうだろうね……   (9/22 02:30:27)

エロガキ♂19b ◆> ちくしょう！！...   (9/22 02:31:03)

エロガキ♂17L ◆> 俺の場合勝負中はなにか考えてる事の方が珍しいんじゃないかな……   (9/22 02:32:44)

エロガキ♂19b ◆> なーるほど...参考にさせて貰います！！ってところでそろそろ寝ようかな...珍しく眠気が襲ってきた...   (9/22 02:33:27)

おしらせ> エレン・ジョーさんが入室しました♪  (9/22 02:34:29)

エロガキ♂17L ◆> ん？こんばんは〜   (9/22 02:34:42)

エロガキ♂19b ◆> めっずらし！？こんばんは～   (9/22 02:34:49)

エレン・ジョー> 喋りに来ただけだけど、お久〜こんばんは〜   (9/22 02:34:52)

エロガキ♂17L ◆> あ〜、そう言えば前に来てたっけ？お久〜   (9/22 02:35:11)

エロガキ♂19b ◆> 超久しぶりに見た気がするぜ...   (9/22 02:35:31)

エレン・ジョー> まぁ、超久しぶりだからね   (9/22 02:36:25)

エレン・ジョー> 元気だった？   (9/22 02:36:33)

エロガキ♂17L ◆> まぁ、元気にしてたと言えると思うよ〜   (9/22 02:37:07)

エロガキ♂19b ◆> ねー、どれぐらいかは覚えてないけどね～...俺は超元気だね...変わらずわちゃわちゃやってる   (9/22 02:37:16)

エロガキ♂17L ◆> 【ちょい背後移動するわ〜】   (9/22 02:38:09)

エロガキ♂19b ◆> 【了解～】   (9/22 02:38:29)

エロガキ♂19b ◆> 逆にエレンちゃんはどうよ？元気してた？なにか面白いこととかあったりしたー？   (9/22 02:40:17)

エレン・ジョー> ん〜特に、基本バタバタしてて忙しかったかな   (9/22 02:40:52)

エロガキ♂19b ◆> なーるほどねぇ...忙しいのはみんな共通か。来れないのも仕方ない、   (9/22 02:42:34)

エロガキ♂17L ◆> まぁ、しょうがないとは思うけどね、それに関しては   (9/22 02:42:35)

エロガキ♂17L ◆> っと俺はもう戻らないと……あとは二人でゆっくり〜   (9/22 02:43:02)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (9/22 02:43:05)

エロガキ♂19b ◆> あーら...お疲れさま～   (9/22 02:43:43)

エレン・ジョー> 17Lさんお疲れ様〜   (9/22 02:44:07)

エロガキ♂19b ◆> 我が友が行ってしまった...まあいいか、というか珍しいお客さんに目が覚めちゃったよ...なにか食べる？   (9/22 02:45:25)

エレン・ジョー> 食べる、ちょーだい   (9/22 02:45:45)

エロガキ♂19b ◆> はーい...何がほしい？基本なんでもあるけど   (9/22 02:46:06)

エレン・ジョー> 何でもいーよ、なんでも食べれるから   (9/22 02:47:35)

エロガキ♂19b ◆> あいよー...とりあいず、クッキーでいいかな(適当な皿に何枚か乗せてエレンちゃんの前に置き)どうぞ～   (9/22 02:48:32)

エレン・ジョー> ありがと(手に取ってバリバリと食べる、少し小腹がすいてたので食べて満足そうに)、美味しいよ...ﾓｸﾞﾓｸﾞ   (9/22 02:50:53)

エロガキ♂19b ◆> それはよかった。正直何でもあるっていったときリナさんの手料理って言われなくてよかったと思ってる...そうなったら俺は走らないといけなくなるからね...   (9/22 02:51:52)

エレン・ジョー> ふふっ、流石にそんな意地悪はしないよ   (9/22 02:52:59)

エロガキ♂19b ◆> よかったぜ...クッキーは沢山あるから好きなだけ食べるといい！！多種多様な味を用意してあるからね！(バケットに適当に放り込み取りやすい位置に置いておいて)   (9/22 02:54:57)

エレン・ジョー> ん、ﾓｸﾞﾓｸﾞ....あんがと、(とりあえず満足するまで頬張る)....美味しかった、こんな時間に食べるのあんま良くないんだけどね   (9/22 02:58:34)

エロガキ♂19b ◆> あ、そういえばエレンちゃんのお気にいりとは最近どうなの～？...私、気になります！！   (9/22 02:58:36)

エロガキ♂19b ◆> 大丈夫大丈夫！エレンちゃんは最高に軽いし肌もプニプニだよ？なんてね   (9/22 02:59:12)

エレン・ジョー> あたしも向こうも忙しくて、全然会えてない....   (9/22 03:01:22)

エロガキ♂19b ◆> あら～...それは中々だねぇ、面白そうな感じになってるかと思ったけどそうでもないみたい。まぁ、多分そろそろ会えるんじゃないかな？   (9/22 03:03:23)

エレン・ジョー> だといいんだけど...   (9/22 03:03:46)

エロガキ♂19b ◆> 上手いこと時間が会うって機会が中々ないみたいだからねぇ...例え会えなくても適度に発散はしておくんだぞ～なんてね！...ってこれセクハラになるか？   (9/22 03:05:36)

エレン・ジョー> ん、あんただしいいよ、そんぐらいの発言は別に   (9/22 03:09:04)

エロガキ♂19b ◆> 許された！！まあでもここでは控えよっと...そういうきまりだからねっ！とりあいず、そう遠くないうちに会えることを祈っておくよ。さて次は何食べよっかな～...   (9/22 03:11:34)

エレン・ジョー> 食べたらちょっと眠くなってきちゃった....ｳﾄｳﾄ   (9/22 03:16:15)

エロガキ♂19b ◆> あーら...無理せず寝たほうがいいぜ～...添い寝とか必要なら喜んで付き合うけど   (9/22 03:17:05)

エレン・ジョー> ん、お願い   (9/22 03:18:44)

