/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]


https://pcmax.jp/?ad_id=rm176481
2025年01月25日 03時05分 ～ 2025年02月02日 06時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12d> 起きちゃったから覗いてみたんだー   (1/25 03:05:08)

エロガキ♂19b ◆> というわけで12d君を押し入れにポイっ！！(毛布でぐるぐる巻きにして押し込んで)起きたら家のベットの上～、なんてね！   (1/25 03:32:21)

十六夜咲夜 ◆> (捲られてないわよね？と気にしつつ)   (1/25 03:36:20)

十六夜咲夜 ◆> こんな時間ですか…   (1/25 03:36:43)

エロガキ♂19b ◆> そ、気づいたらこーんな時間、どうする咲夜ちゃん？してく？それとももう遅いし寝るかな？   (1/25 03:37:16)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (1/25 03:40:39)

エロガキ♂19b ◆> ラミィちゃんも押し入れにポイッと！！(毛布でぐるぐる巻きにして放り投げて)起きたら多分...どこだろう？わかんないや！   (1/25 03:41:24)

エロガキ♂19b ◆> っと...この感じは咲夜ちゃんも寝ちゃったかなー？   (1/25 03:46:56)

エロガキ♂19b ◆> ...まったく、、手間のかかる子達だねぇ...俺がいえたことじゃないか！！   (1/25 03:56:31)

おしらせ> 無言時間が25分を超えたため、十六夜咲夜 ◆t1X293JlUEさんが自動退室しました。  (1/25 04:01:46)

エロガキ♂19b ◆> 咲夜ちゃんも押し入れにポイッと！起きたらお屋敷のベットの上かもね～！(毛布でぐるぐる巻きにして押し込んで)   (1/25 04:02:17)

エロガキ♂19b ◆> さてさて実はもう長い時間入るわけだけども...どうしようかなー？んー！！   (1/25 04:02:54)

エロガキ♂19b ◆> よしっ！！ちょっと遊びに行ってみよっと！！   (1/25 04:05:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/25 04:05:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/25 07:09:23)

エロガキ♂14C ◆> おはようございまーす。……また遅い時間に盛り上がってたんだね。最近は夜更かし出来ないからニアミスすらしないや。   (1/25 07:10:29)

エロガキ♂14C ◆> 落ち着いたおやすみが欲しいよー、なんて思いつつしばらくはそうもいかないんだろーなあ…（溜息）   (1/25 07:14:29)

エロガキ♂14C ◆> ま、こんな朝から来たところで人と会えるとは思ってもないんだけどさ。   (1/25 07:20:30)

エロガキ♂14C ◆> とりあえず顔出しだけに済ませてまた人のいる時にでも来ようかな。またね。   (1/25 07:28:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/25 07:28:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/25 10:59:51)

エロガキ♂19b ◆> おっはようー！！休みの日って起きるの早くなっちゃうよねぇ！！   (1/25 11:00:46)

エロガキ♂19b ◆> 休みとはいえこの時間は寝てたりゴロゴロしてたりする時間だもんね～...暇だぁ！！(グデェ)   (1/25 11:12:04)

エロガキ♂19b ◆> ふーむ...お昼の準備でもしてこよっと！！待ったね～！！   (1/25 11:24:43)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/25 11:24:45)

おしらせ> 雪花ラミィさんが入室しました♪  (1/25 11:48:23)

雪花ラミィ> あ゛〜〜〜…よく寝たけど、角度間違えて腰と首いっちまった……（おばあちゃんエルフ）   (1/25 11:49:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/25 11:53:07)

エロガキ♂19b ◆> やっほー！！またあったね～！代わり映えのない19bだよー！！(クソデカ声)   (1/25 11:53:57)

雪花ラミィ> 寝起きに聞く君の声はよく目覚ましに効くわ。こんらみぃ（）   (1/25 11:55:55)

エロガキ♂19b ◆> あっはは！それはよかった、ちなみに酒盛りしたら今度はメガホンで声だすからそのつもりで～   (1/25 11:57:42)

雪花ラミィ> いらないおせわだよ！！！！   (1/25 11:58:53)

エロガキ♂19b ◆> さすがに寝起きでは飲まんか、いやラミィちゃんだからなぁ...ま、実際飲んでもなにもしないけど～、それに寝起きでそんなに声帯酷使したら潰れちゃうぞー   (1/25 12:00:55)

雪花ラミィ> もうしばらくしたら冷蔵庫に天翔る予定ですけども…。ラミィは喉労ってるから大丈夫なの〜っ、お酒も一種のトレーニングと言ったっていい…！！   (1/25 12:05:18)

エロガキ♂19b ◆> 冷蔵庫に酒しかないのかなぁ...今のうちにお酒だけ全部抜いとく？(ボソボソ)...ちなみになんのトレーニングか聞いてもいい？   (1/25 12:07:18)

雪花ラミィ> やめてくれ、まだ人を手にかけたくはないのよ……（不穏）酒焼け喉焼けに耐えうる強靭な喉を手に入れるためのアルコールトレーニング。   (1/25 12:09:10)

エロガキ♂19b ◆> 怖っ！...そんなことしたら毎晩枕元にでてラミィちゃんのおっぱいとお尻揉み続けてやるからな！...それもうラミィちゃん達成してるんじゃない？十分飲みまくってるし...いやそんなことはないのかなぁ   (1/25 12:11:47)

雪花ラミィ> 恐怖発言をものともしない大セクハラ発言やんけ！怖いのはどっちや！まだまだ研磨は足りねーってばよ……。あと5万リットルぐらい飲まないと死ねない（？）   (1/25 12:15:04)

エロガキ♂19b ◆> ひ弱な俺はラミィちゃんがその気になればあっという間にやられちゃうからね～...怨念でやりかえすしかないのだ！5万リットル！？貯水タンクかな？？   (1/25 12:17:19)

雪花ラミィ> 怨念強い系ひ弱は全然ひ弱ちゃうんよ、意思がつえーんよ意思が。貯水エルフです。肌と全身細胞に行き渡る…！アルコールで若返り…！！   (1/25 12:24:57)

エロガキ♂19b ◆> これが意思の力だぁ！てきなね、別に熱いバトル展開なんてしないけども...全身の細胞に、なるほどね...ラミィちゃんのでっかいのも全部お酒のおかげってことかぁ...   (1/25 12:27:37)

雪花ラミィ> 盛大な前フリも虚しくぺち、で終わりそう。うちのエルフは全員もれなく関係なくデカ……いや、全員酒飲みだからワンチャンあるんか？（）   (1/25 12:36:00)

エロガキ♂19b ◆> 皆酒のみなんだ...なんかあれだね、、そのうちおっぱいからお酒が飛び出してくるんじゃない？...貯水タンク張りに飲むみたいだし？でももしそうなったらラミィちゃん自給自足できて止められなくなる...うん、、普通のエルフでいてね...  
(1/25 12:39:07)

雪花ラミィ> なんだその結構エッチな構図は…。いくらラミィでも自分に口付けて循環はしないんだが！？普通のエルフだが…！？   (1/25 12:44:36)

エロガキ♂19b ◆> いやほら...お酒がもしでてきたらやりそうだなぁって、、その光景を見た男たちはきっと理性が押さえられなくなるね、、エルフって四六時中酒飲んでるのが普通なの！？初耳なんですけど！！   (1/25 12:46:35)

エロガキ♂19b ◆> ...お昼は簡単に作れる炒飯が一番、ま、それよりも冷凍の方がいいんだけどね～...そしてラミィちゃんは...まぁ、いつものかな？   (1/25 13:03:17)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (1/25 13:09:47)

エロガキ♂19b ◆> ...押し入れに投げるのはやめておいてあげよう～、昼だしね...そのかわりに～(布団で簀巻きにして部屋のすみにおいておいて)これでよしっ！   (1/25 13:10:33)

エロガキ♂19b ◆> ...うし、、もっかい遊びにいってみようかなっと！   (1/25 13:28:57)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/25 13:29:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/25 21:15:36)

エロガキ♂19b ◆> やっほー！！最近全く勝負できてない気がする？ま、そういうときもあるかぁ...   (1/25 21:16:02)

エロガキ♂19b ◆> そういえば最近はガチャ運がいいんだよなぁ...すり抜けもないし嬉しい嬉しい、、でもその代償もあるかも？ちょっと怖いなぁ   (1/25 21:35:38)

エロガキ♂19b ◆> ちょーっとでかけてこよっと！！...   (1/25 21:56:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/25 21:56:33)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/26 00:16:29)

エロガキ♂13Al> ふー。（のんびりしている）   (1/26 00:16:59)

おしらせ> 雪花ラミィさんが入室しました♪  (1/26 00:29:38)

雪花ラミィ> ラミ！！！   (1/26 00:29:42)

エロガキ♂13Al> ラミ！！！！？？？   (1/26 00:29:56)

雪花ラミィ> ラミが来たラミ！！   (1/26 00:31:12)

エロガキ♂13Al> 語尾が怪しい！　偽物かもしれない！！！   (1/26 00:31:35)

雪花ラミィ> どう証明すりゃ良いんだよ！！   (1/26 00:32:07)

エロガキ♂13Al> この鋭いツッコミ……！　雪花ラミィに違いない！！   (1/26 00:33:51)

エロガキ♂13Al> ……（つんつん）   (1/26 00:42:23)

エロガキ♂13Al> ……ね、寝ている！（そっと毛布を掛ける）   (1/26 00:51:26)

おしらせ> キモデブさんが入室しました♪  (1/26 00:54:48)

おしらせ> キモデブさんが退室しました。  (1/26 00:54:59)

エロガキ♂13Al> ……昼寝をたっぷりしたはずが寝てしまうなんて……   (1/26 00:56:05)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (1/26 00:57:30)

エロガキ♂13Al> （そっとお布団に寝かせておくのだった）   (1/26 00:59:30)

おしらせ> 雪花ラミィさんが入室しました♪  (1/26 01:15:48)

雪花ラミィ> という夢をみたのさ（？）   (1/26 01:16:00)

エロガキ♂13Al> 寝ていたのは俺だった……！？   (1/26 01:16:07)

雪花ラミィ> そうだよ、君が寝ちゃってたから膝枕してたんだよ（存在しない記憶）   (1/26 01:16:51)

エロガキ♂13Al> え、やさしい……好き……（トゥンク）   (1/26 01:17:14)

雪花ラミィ> 激チョロ……。   (1/26 01:18:43)

エロガキ♂13Al> でもちゃんと眠いなら……寝よう！　俺もこんなに夜になるとね……（膝に頭を乗せておく）   (1/26 01:20:09)

雪花ラミィ> 実は　目が　さめた　（）   (1/26 01:20:29)

エロガキ♂13Al> フラッとしたおかげでかえってシャキッとしちゃった……！？　じゃあ……いっとく？（手首くい）   (1/26 01:21:26)

雪花ラミィ> んな、なんの隠語？何いっとく？（わたわたエルフ）   (1/26 01:22:25)

エロガキ♂13Al> さ、サイコロを……あっエロい意味だと思った？（エロい意味では？）   (1/26 01:22:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/26 01:22:54)

エロガキ♂19b ◆> やっほー！！(扉バン！！からのメガホン片手にクソデカ声)   (1/26 01:23:15)

エロガキ♂13Al> 夜だから静かに……   (1/26 01:23:32)

雪花ラミィ> 行ったって良、う、るせ゛ーー！！（呼応）   (1/26 01:24:38)

エロガキ♂19b ◆> あ、遊びに行くとこだった？いってらっしゃい(お手てフリフリ？)   (1/26 01:25:26)

エロガキ♂13Al> ダブルうるさい！（ボイトレの成果かこれが……の顔）   (1/26 01:26:57)

エロガキ♂19b ◆> ラミィちゃんがいるときはクソデカ声で挨拶するようにしてるからか最近は大声ばっかだしてる気がする！   (1/26 01:28:16)

エロガキ♂13Al> （つんつん）   (1/26 01:32:49)

雪花ラミィ> ギャース？副店長も遊ぶ？（）   (1/26 01:32:54)

雪花ラミィ> 取り敢えずサイコロ握るかあ、らみい…。   (1/26 01:35:03)

エロガキ♂19b ◆> 誘ってくれるならついていくよ～(ケタケタ)   (1/26 01:35:19)

エロガキ♂13Al> じゃあ、いってみるか……！（ぐっ）   (1/26 01:35:31)

エロガキ♂19b ◆> 突撃よ～！   (1/26 01:35:47)

雪花ラミィ> 一網打尽計画です（ぐっ）   (1/26 01:36:14)

おしらせ> 雪花ラミィさんが退室しました。  (1/26 01:36:16)

おしらせ> エロガキ♂13Alさんが退室しました。  (1/26 01:36:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/26 01:36:23)

おしらせ> エロガキ♂15JPさんが入室しました♪  (1/26 02:10:30)

エロガキ♂15JP> こんばんは〜。お昼寝をし過ぎたら夜は寝れなくなるね！   (1/26 02:11:08)

エロガキ♂15JP> この時間から勝負してるのは羨ましいね～。   (1/26 02:13:28)

エロガキ♂15JP> 最近はゲームとかで新キャラが増えてきたから新しい人が増えるかもしれないね〜。って、密かに思ってる！   (1/26 02:15:02)

エロガキ♂15JP> はふー   (1/26 02:19:13)

エロガキ♂15JP> １回落ちるね！またねー   (1/26 02:22:16)

おしらせ> エロガキ♂15JPさんが退室しました。  (1/26 02:22:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/26 03:00:16)

エロガキ♂19b ◆> よっと！帰還～！！...とはいってももう3時、、時間がすぎるのは本当にあっという間だねぇ...   (1/26 03:00:52)

エロガキ♂19b ◆> ま、さすがにね...皆もう寝ててもおかしくないからねぇ   (1/26 03:16:32)

エロガキ♂19b ◆> お兄さんまだ眠くないんです！！...いや寝ろよって？眠くないから仕方ないね！   (1/26 03:36:44)

エロガキ♂19b ◆> もう4時！？時間たつの早すぎてエグいんですけど！！   (1/26 03:56:25)

エロガキ♂19b ◆> ...ま、、さすがに寝ますか。おやすみー！   (1/26 04:00:35)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/26 04:00:37)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/26 04:15:29)

エロガキ♂14C ◆> ……変な時間に目が覚めた、訳じゃなくて一応理由があって起きたんだけどさ。おはよーございます。   (1/26 04:16:01)

エロガキ♂14C ◆> 相変わらず自分の運の無さというか、タイミングの悪さには辟易としちゃうね。もしかしたら意図せず運の悪い方へばかり無意識に足が向いてるのかも知れないけどさ。   (1/26 04:19:36)

エロガキ♂14C ◆> けど、こうやってげんなりした時にこそなんか気分が落ち込みそうな作品を見たくなるのはなんでだろーな。具体的にはFate/Zero的な。   (1/26 04:23:36)

エロガキ♂14C ◆> それにしても本当に寒いね。早く暖かくなってくれないと身体が色々とおかしくなりそうなんだけどさ。   (1/26 04:27:39)

エロガキ♂14C ◆> さて、そろそろ行かなくちゃ。今度こそ人に会えるような時間に来れるといいな。じゃあね。   (1/26 04:31:29)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/26 04:31:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/26 10:54:55)

エロガキ♂19b ◆> おはよう～、もうすぐお昼になっちゃうけどねー...   (1/26 10:55:31)

エロガキ♂19b ◆> 布団からでれない！！...芋虫になってまうぞまじで...   (1/26 10:59:39)

エロガキ♂19b ◆> そろそろ行きますかねぇ...さらーば！！   (1/26 11:20:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/26 11:20:05)

おしらせ> セイウンスカイさんが入室しました♪  (1/26 17:47:56)

セイウンスカイ> にゃはは～……なんだか散歩しているうちに変な部屋を見つけちゃいましたよ……なんでしょうこれは   (1/26 17:48:18)

セイウンスカイ> どうやらダイスバトルのようですねぇ……しかしセイちゃん、そういうのは出来ないので雑談、猥談大歓迎勢として居るしかない訳です…（およよ、ってしつつ。でっかいのをゆっさ、ゆっさ♡）   (1/26 18:00:48)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/26 18:03:28)

エロガキ♂13Al> ここがどういう場所なのかを語るには長い話になる……いやデッカ！！！！！   (1/26 18:03:47)

セイウンスカイ> おっ、良い反応じゃ～～ん……♡　なになに、なにがでっかいんですか？♡（前かがみでゆっさ、ゆっさ……♡）   (1/26 18:05:16)

エロガキ♂13Al> ひええ……近づけられると身動きが取れなくなるぅぅ……！（あわわわ……と壁際に追い詰められていく）   (1/26 18:05:58)

セイウンスカイ> うっしっし、捕まえちゃうぞ～～♡（両手を持ち上げるだけで、顔ぐらいあるのがぶるんっ♡）   (1/26 18:06:44)

エロガキ♂13Al> 重量感がすごい……うわぁああせり出してくる……！（壁際に追い詰められてずるずるしゃがんでいく）   (1/26 18:08:30)

セイウンスカイ> そんなに怖がらなくても良いじゃありませんか～～♡　それでそれで、なにがでっかいんですか？♡（その頭の上にずしっ……♡）   (1/26 18:09:09)

エロガキ♂13Al> おっふ……！（頭に乗せられる重量でほんとうに身動きが取れなくなるのだった）それはもう……もちろん……おおおおおおぱぱぱぱぱ……おっぱいがぁ……！（もう首が限界だ！）   (1/26 18:10:01)

セイウンスカイ> おっとッと、大丈夫ですか？（解放しつつ、ごめんね～って手を横に振るとぶるん、ぶるん）   (1/26 18:10:49)

エロガキ♂13Al> いやっもうしまったり隠したりはできなさそうだからなんか文句つけようもないんだけどっ！（ふーふーって鼻息荒くしながら）でもデカすぎんだろ……！   (1/26 18:11:57)

セイウンスカイ> ……そういう良い反応してくれる相手って、セイちゃんすっごく好きですよ……！（うっ、となぜか手の甲でウソ涙を拭いつつ、ちらっ♡）ちなみにセイちゃん、擬音も大好きでーす♡   (1/26 18:13:14)

エロガキ♂13Al> 泣くほど……！？　ウッ。（こっそり流し目向けられるとドキッとして胸を押さえた。股間も。（？））　まあこう猥談オッケーの部屋になってたりとか、あと♀版権キャラと遊びたいけど版権♂をやるのがちょっと大変みたいな需要を満たす部屋になっているような気はする……（いまさら部屋の話）
  (1/26 18:15:19)

セイウンスカイ> あー……なるほど、そういう部屋なんですねぇ……セイちゃん版権♀×オリ♂が大好きなんですがそういう部屋が少なくて……（なるほどなるほど、って頷きつつ。ゆっさ、ゆっさ）   (1/26 18:16:17)

エロガキ♂13Al> フェルンのおっぱいは触りたいけどシュタルクのおちんちん描写するのは抵抗があるみたいな繊細な気持ちあるよね……（共感できるかどうかは人による）　でもサイコロもそんなに難しいことはないからやれるときにやっても悪くないと思います……（花に引き寄せられる虫のように近づいていく）
  (1/26 18:18:24)

セイウンスカイ> フェルンちゃんも良いよねぇ……歩くたびにゆっさゆっさする重量級おっぱいに柔らかボディ……（うんうん、抱き心地抜群だよねぇ…と同意するように頷きつつ、その度にゆっさ、ゆっさ）なになに、やりたかったりするわけなのかな～？♥（にま～～っ♡ってしながら、ふらふら寄ってくる姿に両手を広げて）
  (1/26 18:20:56)

エロガキ♂13Al> そういう有象無象の欲望がエロガキとなって姿を現すのだ……！（悪鬼羅刹の類？）　いやまあここは一応付属の派生部屋だから……ただエロガキ側はやりたいことたくさんあるだろうけど♀側は勝ってもしらねえガキになにをさせたらいいか分からないというのはよく聞く……（誰も止めないのでぼふんっと飛び込んでしまった！）
  (1/26 18:23:07)

セイウンスカイ> セイちゃんはね～～……　男に都合のいいシチュが大好き……！（飛び込んでくるとたゆんっ♡とした乳房で受け止めつつ、ゆっさ、ゆっさ♥って挟みながら揺らす……♥）   (1/26 18:24:12)

エロガキ♂13Al> むっふ……！　でっか！　埋まる！　溺れる！　音が鳴る！（鳴らない）　ぬあー……何もしてないのにおっぱいに挟まれているーーーー……（むっふむっふって谷間に鼻を突っ込んでならしている）   (1/26 18:25:01)

セイウンスカイ> 音が鳴るおっぱいの方がいいと申すのかこのエロガキ～～……（鼻を鳴らしたりするのを感じながらむんにゅ、むんにゅ）あ、そうそう……セイちゃんエロバカも好きだから王様ゲーム系も大好き   (1/26 18:25:58)

エロガキ♂13Al> 音が鳴るのはヌルヌルに鳴ってる時じゃないか……そんなの……大好き！（正直）　ふんむふんむ……罰ゲームやるための盛り上がり手順としてゲームやってるみたいなところもあるのかもしれない……普通のプレイだとやらないようなことをやらせるのもなかなか味わいがあると思います！　ついちんちん使いたくなるけど……！（顔をむにゅむにゅやられてふにゃふにゃになっている）
  (1/26 18:28:36)

セイウンスカイ> ぬっちゅ♡ぬっちゅ♡って感じで粘つくのを擦れさせて音を鳴らすって感じ？　良いねぇ～～…セイちゃんそういうのも大好き（ぐっ）　あ、でもセイちゃんとしては王様ゲームとか罰ゲームとしてはねぇ……最初から加速しまくりよりも、最初はちゅーぐらいで、次第に一回だけ挿入とか、そういう焦らしてお互いムラムラ高めるのが好きだな～…（うんうん）
  (1/26 18:31:06)

エロガキ♂13Al> 何でぬるぬるになっているのかも味わいが変わるのでどういう敬意でぬとぬとおっぱいになったのか私気になります（誰）　むむむー、なるほど……たしかに場が温まっていく感じは大事……あとやっぱり、1対1よりたくさんいてわーわーやってみたいよねぇ……（もふもふむにゅむにゅ。だんだん遠慮がなくなっていくエロガキ）
  (1/26 18:32:56)

セイウンスカイ> え～～、例えば油……とかですかねぇ（きゅぴーん、って決め顔）　あ、それはもうわかりますよ？　というか伝手があれば4P（男女2組ずつ）とかでわーわーもできるんでしょうけどセイちゃんには流石にそんな伝手はないのでした……トホホ～（もんみゅ♡もにゅん…♡ってされると、たぷんたぷん、手が埋まる乳房）あ、もちろんハーレムも大歓迎、セイちゃん愛人要因でもいけまーす！
  (1/26 18:34:48)

エロガキ♂13Al> 油……！　オイル！　ローション的なものとは感触が違うのか、じっくり試してみたいところですねえ（誰）　ハーレム……！？　おっぱいが4つ以上も……！？（ごくりっと喉を鳴らしてオーバーフロー。少し固まった）　成立してもタイマンなことが多いからみんなでわいわいニャンニャンぱかぱかもーもーしたいね……！
  (1/26 18:37:33)

セイウンスカイ> 分かるわかる、基本的におバカノリとか大好きなんですよね～、セイちゃん……産むんだったらやっぱりスケベな男性の子供が良いとか思っちゃうわけです（うんうん）にゃんにゃん♡もーもー♡とかするの、大好物ですとも……ちなみにちなみに？　そっちは何です、どんなのが好きなのかな～？♥（おっぱいにぱふっ♥と挟みつつ、つんつん♡）
  (1/26 18:39:26)

エロガキ♂13Al> 産む……！？　ひ、飛距離がすごくて射精するかと思ったじゃないか……！（いきなりの爆弾発言に驚きながら親指で乳首押し込もうとぐりぐり……！）えー……盛り上がってくれればいいけどー、こう性欲を丸出しにしてがっちゅんがっちゅんやるのが好きとか……でもらぶらぶちゅっちゅも好き。もしかしたら性欲と好意がわかんなくなっちゃってちゅっちゅちゅっちゅするのが好きなのかもしれない（早口）
  (1/26 18:42:02)

セイウンスカイ> ほぇ～～……がっちゅんがっちゅんは逆にセイちゃんあんまりって感じなんですよねぇ……　やっぱりお互い感じあいながラブラブちゅっちゅというか？　勿論恋人とかでなくても全然好みなんですけど～……　え？なになに、なんですか～　産ませるとか無責任射精とかは考えなかったタイプなんですか～？♥（にやにや♥　しつつぐりぐり♥）
  (1/26 18:43:26)

エロガキ♂13Al> 激しいのより雰囲気盛り上がってるのが好きみたいな……？　気持ちよすぎてちょっとバカみたいになっちゃってるのが好きだし、何回もイきまくるのとかがこう……好きです。（告白）　いやーこういうところでそういうところまではなかなか行かないし……ふっぐぅ……♥（照れつつもぐりぐりされると反射的に腰がぴくぴく）
  (1/26 18:45:11)

セイウンスカイ> お、なになに……擬音もハートも使えるじゃーん……♥（何で使わなかったのさぁ、って不満を伝えつつ。）……やっぱあれ？セイちゃんとスぺちゃんとグラスちゃんみたいなのに囲まれたい欲とか……あったりするんですか？（ちらっ♥）   (1/26
18:46:46)

エロガキ♂13Al> 盛り上がるとここですぐさまシたくなるからっ！　理性とかが……！（でも理性はすでに負けておっぱいに埋もれている状況なのだった！）　そりゃもう代わる代わる挟んでもらったりとか……！　みんなでお尻向けて尻尾フリフリしてもらったらそりゃもう！（びくんびくん）
  (1/26 18:48:34)

セイウンスカイ> しかし残念ながらセイちゃんはひとりなのであった……うんうん、でもスケベなのは凄く良いと思う、セイちゃんなんかイケメンだけを売りにしていかにも性欲なんてありませんよ～とか言ってるオスより君みたいなタイプが滅茶苦茶好きだな～……♥（顔でぱふ、ぱふ……♥っておっぱいを挟みつつ）……まあ、の
  (1/26 18:53:56)

セイウンスカイ> セイちゃんノってたら割と過激なことしちゃうので～～……まあまあ、ね？　例えば擬音とか♥とか使われたり、スケベ猥談で盛り上がったりして～……   (1/26 18:54:29)

