/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 07時17分 ～ 2024年10月21日 21時07分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 15kbちゃんには負けてるからいつか勝ちたいな〜   (2024/10/21 07:17:23)
エロガキ♂17L ◆> あ〜、確かにキタさんは雑談になる傾向が多い気もしますね、何度か見たりしてる限りですがね   (2024/10/21 07:39:13)

エロガキ♂11T> トワお姉さん、忙しそうだな   (2024/10/21 07:42:23)

常闇トワ ◆> んっ？   (2024/10/21 07:42:34)

エロガキ♂11T> トワお姉さん、大丈夫？   (2024/10/21 07:42:57)

常闇トワ ◆> 眠たいけどお仕事の準備してるよ〜w   (2024/10/21 07:43:21)

エロガキ♂17L ◆> それはそれで心配ですね……(寝そうで)   (2024/10/21 07:43:45)

エロガキ♂11T> 準備中か～   (2024/10/21 07:44:00)

常闇トワ ◆> 多分布団に入ればまた寝れるぐらいには眠たいよ〜w   (2024/10/21 07:44:23)

キタサンブラック> 月曜日……どうにもお布団を抜け出すだけでまずは心の準備がいるものですね（しみじみ）   (2024/10/21 07:45:03)

エロガキ♂11T> じゃ、トワお姉さんを布団に誘おうかな(笑)   (2024/10/21 07:45:08)

エロガキ♂17L ◆> 添い寝なんてしたら秒で寝そうですね……(苦笑)   (2024/10/21 07:45:23)

常闇トワ ◆> 眠たいよw   (2024/10/21 07:46:25)

エロガキ♂11T> キタさん、それ判ります(笑)   (2024/10/21 07:46:34)

キタサンブラック> とりあえず、夜などはできるだけここやお部屋は見ているようにしておきますね。（お会い出来たら、出会って5秒でバトルです）   (2024/10/21 07:46:44)

エロガキ♂11T> トワお姉さん、一緒に寝ようか？(笑)   (2024/10/21 07:46:55)

エロガキ♂17L ◆> (どこのポケモンw)   (2024/10/21 07:47:02)

エロガキ♂11T> 出会って、即バトルはおもろい(笑)   (2024/10/21 07:47:48)

常闇トワ ◆> とりあえず朝のゲームでのやることは終わったしお仕事行かなきゃw   (2024/10/21 07:48:53)

エロガキ♂11T> トワお姉さん、朝のゲームって(笑)   (2024/10/21 07:49:19)

キタサンブラック> お気をつけて、あと無理しないでくださいね。   (2024/10/21 07:49:21)

エロガキ♂17L ◆> いってらっしゃい、お仕事頑張ってくださいね   (2024/10/21 07:49:29)

常闇トワ ◆> ディリークエスト終わらせてたのw   (2024/10/21 07:50:41)

エロガキ♂17L ◆> あ〜、ゲームですか   (2024/10/21 07:50:53)

エロガキ♂11T> そういうことね(笑)トワお姉さん、結構ゲーマーなんだね   (2024/10/21 07:51:04)

エロガキ♂17L ◆> (ソシャゲ辺りかな)   (2024/10/21 07:51:15)

エロガキ♂11T> 今度､トワお姉さんがやってるゲーム教えてね～(笑)   (2024/10/21 07:51:45)

常闇トワ ◆> トワが部屋にいて返事が無いとかはゲームしてる事が多いかな〜   (2024/10/21 07:52:02)

エロガキ♂11T> そういうことか～、理解しとく   (2024/10/21 07:52:33)

キタサンブラック> （そういう会話の裏で、アタシもポチポチしてるんですけどね）   (2024/10/21 07:52:59)

エロガキ♂11T> (キタさんもなんだ…)   (2024/10/21 07:53:29)

エロガキ♂17L ◆> (そうゆう自分もだったりしますね)   (2024/10/21 07:53:44)

エロガキ♂11T> (パズルゲームとかならできるよね)   (2024/10/21 07:54:20)

常闇トワ ◆> みんなゲーム好きだからねw   (2024/10/21 07:54:26)

キタサンブラック> 朝の出走前に、ちょこっとした時間にやるの……ちょうどいいのでつい   (2024/10/21 07:54:46)

エロガキ♂11T> そういうことだね(笑)   (2024/10/21 07:54:49)

エロガキ♂17L ◆> (ガッツリ周回ゲーですね)   (2024/10/21 07:54:51)

エロガキ♂17L ◆> 自分も空き時間によくゲームしてますね〜   (2024/10/21 07:55:45)

エロガキ♂11T> そろそろ解散かな？   (2024/10/21 07:57:55)

エロガキ♂17L ◆> どうでしょうか……？   (2024/10/21 07:58:20)

エロガキ♂11T> トワお姉さんは仕事準備中だろうし…　キタさんは…どうしたかな？   (2024/10/21 07:59:08)

常闇トワ ◆> そろそろお仕事行ってくるね〜   (2024/10/21 07:59:21)

キタサンブラック> お気をつけて～　ご無理なさらないでくださいね～   (2024/10/21 07:59:42)

エロガキ♂11T> トワお姉さん、いってらっしゃい！(ぎゅー)   (2024/10/21 07:59:46)

常闇トワ ◆> みんなバイバイ〜   (2024/10/21 07:59:57)

エロガキ♂17L ◆> いってらっしゃい、お仕事頑張ってください   (2024/10/21 07:59:59)

常闇トワ ◆> またお昼に来れたらくるねぇ〜   (2024/10/21 08:00:11)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/21 08:00:18)

エロガキ♂11T> じゃ、自分も落ちますね   (2024/10/21 08:01:54)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/10/21 08:01:57)

エロガキ♂17L ◆> お疲れ様です   (2024/10/21 08:02:02)

キタサンブラック> お疲れ様でした～   (2024/10/21 08:02:15)

エロガキ♂17L ◆> 残ったのは自分とキタさんだけですね……   (2024/10/21 08:02:32)

キタサンブラック> そうですね。月曜日の朝ですし、人もさすがにこれ以上は来ないでしょうけど   (2024/10/21 08:03:34)

エロガキ♂17L ◆> ですね……勝負してもいいのですけど……キタさんはどうします？   (2024/10/21 08:05:18)

キタサンブラック> ん？アタシなら、もう時間ないですよ？（40分前にトワさん誘った時点で残り1時間ちょっと、もう30分も時間ないので）   (2024/10/21 08:08:02)

エロガキ♂17L ◆> そういえば、そうでしたね   (2024/10/21 08:08:46)

キタサンブラック> と、ではアタシは時間も差し迫っているので、失礼しますね（ぺこりっ）   (2024/10/21 08:14:15)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/21 08:14:19)

エロガキ♂17L ◆> お疲れ様です   (2024/10/21 08:14:48)

エロガキ♂17L ◆> 自分も1度抜けるとしましょうか……では失礼します   (2024/10/21 08:15:14)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/21 08:15:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 09:26:14)

エロガキ♂19b ◆> 誰もいない～   (2024/10/21 09:26:53)

エロガキ♂19b ◆> お邪魔しました～   (2024/10/21 09:45:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 09:45:04)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/21 10:53:03)

クラリス ◆> 複数乱交は楽しいですよ！（力説）（昨日やった）（まだ掛かってる）   (2024/10/21 10:53:56)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/21 10:54:06)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/21 11:38:45)

エロガキ♂18D ◆> おはようございます、ちょっと休憩に…と思いましたが…   (2024/10/21 11:39:18)

エロガキ♂18D ◆> …絶句だよ   (2024/10/21 11:39:27)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/21 11:40:03)

エロガキ♂17L ◆> こんばんはっと……   (2024/10/21 11:40:13)

エロガキ♂18D ◆> こんばんは…こんばんは…？今は昼の正午の筈ですが…地球の真裏にでもいらっしゃる…？   (2024/10/21 11:41:50)

エロガキ♂17L ◆> あ、今気づきましたけど……こんばんはじゃなくてこんにちはですね……   (2024/10/21 11:42:01)

エロガキ♂17L ◆> 時間感覚までバグってしまいましたか……起きすぎも良くないですね……   (2024/10/21 11:42:42)

エロガキ♂17L ◆> 話し相手になろうかと思いましたがこの調子では話し相手すらこなせそうにありませんのですみませんが抜けさせていただきますね。申し訳ない   (2024/10/21 11:45:09)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/21 11:45:11)

エロガキ♂18D ◆> おや、すいません。少々雑務を行っておりました…申し訳ないですね…   (2024/10/21 11:45:56)

エロガキ♂18D ◆> とにかく寝るに越した事はないですね、また会えましたらお話し相手にでもさせてくださいませ…   (2024/10/21 11:48:18)

エロガキ♂18D ◆> 流石に来ませんね、また来ます…   (2024/10/21 12:00:04)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/21 12:00:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 12:11:51)

エロガキ♂19b ◆> こっちにかおだしてみよ！(ひょこ)   (2024/10/21 12:12:07)

エロガキ♂19b ◆> ゴミ箱のなかに隠れてよ(がさがさ)   (2024/10/21 12:29:41)

エロガキ♂19b ◆> さらば！！   (2024/10/21 12:40:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 12:40:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 15:35:29)

エロガキ♂19b ◆> ようやく学校終わり～...   (2024/10/21 15:36:56)

エロガキ♂19b ◆> やっぱこの時間はあんまりいないか...   (2024/10/21 15:52:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 15:54:23)

おしらせ> 佐伯伽椰子さんが入室しました♪  (2024/10/21 17:38:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 17:45:08)

エロガキ♂19b ◆> こ、こんばんは～   (2024/10/21 17:45:20)

佐伯伽椰子> こんばんは……   (2024/10/21 17:45:26)

佐伯伽椰子> ハロウィン……どうやって……コス？   (2024/10/21 17:45:49)

エロガキ♂19b ◆> また珍しいところからのお客さんですねぇ...   (2024/10/21 17:46:01)

佐伯伽椰子> 明記え……仕方……   (2024/10/21 17:46:41)

エロガキ♂19b ◆> そっか...もうそんな時期なのか、、途絶え途絶えで、、わからんな...隣いいです？   (2024/10/21 17:47:35)

佐伯伽椰子> 途切れるのは……いつも……。ハロウィン、コスしたら、どうやって名前とプロフ明記、するの…？   (2024/10/21 17:48:24)

佐伯伽椰子> 隣どうぞ……   (2024/10/21 17:48:38)

エロガキ♂19b ◆> ありがとう～！(隣に座り)、、コスするなら、名前はそのままで、、プロフの版権作品の隣にコスしてるキャラとかの名前書くとかかな？   (2024/10/21 17:49:46)

エロガキ♂19b ◆> この辺俺もよくわかってないから、これ！って言ったことは言えないんだけどね～   (2024/10/21 17:50:12)

佐伯伽椰子> プロフ、こう？   (2024/10/21 17:50:39)

佐伯伽椰子> 地主さんに…聞く…？   (2024/10/21 17:50:52)

エロガキ♂19b ◆> んま、そうだねぇ...それが一番手っ取り早いかな。   (2024/10/21 17:51:50)

佐伯伽椰子> わかった…会ったら、聞いて？（おねしゃーすと）   (2024/10/21 17:52:31)

佐伯伽椰子> 名前変えて来る……   (2024/10/21 17:52:38)

おしらせ> 佐伯伽椰子さんが退室しました。  (2024/10/21 17:52:55)

エロガキ♂19b ◆> はーい、いってらっしゃいー！   (2024/10/21 17:53:20)

おしらせ> エロガキ♀13εさんが入室しました♪  (2024/10/21 17:53:43)

エロガキ♀13ε> 変えた……改めて、こんばんは……   (2024/10/21 17:54:08)

エロガキ♂19b ◆> はーい、こんばんは！   (2024/10/21 17:54:19)

エロガキ♀13ε> ん－と、色は…キャラの色がいい…？   (2024/10/21 17:54:42)

エロガキ♂19b ◆> そうしてる人は多いね。でも特にそういう指定はなさそう？   (2024/10/21 17:55:30)

エロガキ♀13ε> 自分のカラーと、どっちがいいのかな…？エロガキくらいしか、他にコスしないと…気付いた……   (2024/10/21 17:56:33)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/21 17:57:39)

エロガキ♀13ε> 女性は……元々キャラだから、キャラが衣装コス…するくらいだもんね……？兄ヤン達は是非…女装してほしいけども……   (2024/10/21 17:57:41)

エロガキ♀13ε> こんばんは……   (2024/10/21 17:57:52)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 17:57:57)

キタサンブラック> どうも～こんばんは～。何気にチョイスがチョイスだったので、荒らしかどうか少し様子見ていたキタちゃんです   (2024/10/21 17:58:08)

エロガキ♀13ε> 荒らし…；ごめんね、キタちゃん……   (2024/10/21 17:58:23)

エロガキ♂19b ◆> 俺も最初はビックリしたよ...   (2024/10/21 17:59:08)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/21 17:59:35)

キタサンブラック> 一応、IPがフィルタ―ッ歩勝ったのも含めて、ですけどイプさんでしたか   (2024/10/21 17:59:53)

エロガキ♀13ε> コスは女性は衣装チェンジ…ガキは女装なりアニコスなり出来る、みたいな……   (2024/10/21 17:59:55)

エロガキ♀13ε> こんばんは……   (2024/10/21 18:00:09)

エロガキ♂11T> こんばんは   (2024/10/21 18:00:17)

エロガキ♂19b ◆> 11T君こんばんは～   (2024/10/21 18:00:21)

エロガキ♀13ε> 外からです……＜IP   (2024/10/21 18:00:27)

キタサンブラック> 11Tさんもこんばんは～   (2024/10/21 18:00:38)

エロガキ♀13ε> フィルターは多分掛かってる……；   (2024/10/21 18:00:49)

エロガキ♀13ε> １９兄は…度胸あるね……   (2024/10/21 18:01:46)

おしらせ> リネットさんが入室しました♪  (2024/10/21 18:01:49)

エロガキ♀13ε> こんばんは……   (2024/10/21 18:01:58)

リネット> じゃじゃーん。   (2024/10/21 18:01:59)

エロガキ♂11T> こんばんは   (2024/10/21 18:02:04)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 18:02:05)

リネット> こんばんは。   (2024/10/21 18:02:06)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/21 18:02:18)

キタサンブラック> じゃじゃじゃジャッジャジャ～ン   (2024/10/21 18:02:24)

エロガキ♀13ε> 衣装だとそんな…感じでいいんだよ……ね？（リネット見て）   (2024/10/21 18:02:35)

キタサンブラック> こんばんは～　一気に人が増えてきましたね   (2024/10/21 18:02:42)

パンドラ ◆> こんばんは、   (2024/10/21 18:02:43)

エロガキ♂11T> こんばんは～   (2024/10/21 18:02:54)

エロガキ♂11T> 一気に増えたね   (2024/10/21 18:03:02)

エロガキ♀13ε> 今晩は…人いっぱい、来た……   (2024/10/21 18:03:03)

パンドラ ◆> そう、、ですね、、色とか触っている間に2人増えていましたね、、   (2024/10/21 18:03:13)

エロガキ♂19b ◆> あれだよ、、最初の一歩誰が踏み出すか、、そういうときは俺の出番だからな〈13ε   (2024/10/21 18:03:16)

エロガキ♂11T> 色かえ   (2024/10/21 18:03:33)

エロガキ♀13ε> キタさんのもそんな感じ……、ロガキはどうするのか……な？   (2024/10/21 18:03:34)

リネット> うん。キタさんがやってくれてたから、私はいいと思ったけど。一応…。(普段と違う衣装身に纏い、くるりとその場で回転してコラボ衣装のお披露目)   (2024/10/21 18:03:41)

パンドラ ◆> 19b様はしっかり休まれましたか、、？   (2024/10/21 18:03:47)

エロガキ♀13ε> 出番…貧乏くじ……   (2024/10/21 18:03:56)

リネット> パンドラさん、こんばんは。   (2024/10/21 18:04:02)

エロガキ♂19b ◆> ばっちりよー！！ありがとねほんと！   (2024/10/21 18:04:05)

パンドラ ◆> いえ、、ゆっくり休めたのならそれが一番ですからね、、   (2024/10/21 18:04:28)

リネット> 子供も一緒。その他特徴って事になると思う。〇〇のコスとかでいいと思う。   (2024/10/21 18:04:30)

エロガキ♂11T> キタさん、朝ぶりですね   (2024/10/21 18:04:33)

エロガキ♀13ε> うん、可愛い……キタちゃん、リネット   (2024/10/21 18:04:56)

エロガキ♀13ε> 名前は…このまま…ね？プロフで……コス？   (2024/10/21 18:05:14)

キタサンブラック> あー、え～と、朝に会った方、でしたっけ？ごめんなさい（ほんと、数字とアルファベッドだと覚えが悪くて   (2024/10/21 18:05:25)

パンドラ ◆> ハロウィーンには何か、特別な衣装を見繕っておきたいですね、、   (2024/10/21 18:05:57)

エロガキ♂11T> キタさん、トワお姉さんと一緒に朝話しました～👍️   (2024/10/21 18:06:13)

リネット> その認識でいいと思う。ハロウィンでそういう仮装をしたいって事でしょ？それなら…うん、プロフィールの最後に人に伝わりやすい名称で「コス」若しくは「仮装」でいいと思う。   (2024/10/21 18:06:21)

エロガキ♀13ε> ハロウィン……他の部屋で……やったことないから……楽しみたかった……です……   (2024/10/21 18:06:41)

エロガキ♂11T> ハロウィン仮装って、楽しいけど大変ですよね   (2024/10/21 18:06:48)

エロガキ♀13ε> なるほど……了解……。仮装かコス明記……   (2024/10/21 18:07:13)

エロガキ♂19b ◆> 仮装かぁ...吸血鬼にでもなるか...   (2024/10/21 18:07:39)

パンドラ ◆> 肌を出さずに色気を出すのは難しいですからね、、   (2024/10/21 18:07:41)

キタサンブラック> あーはい、話したのは覚えてるんですよ？単純にどの人だったかまで、数字とアルファベッドだと覚えきれないだけで   (2024/10/21 18:08:05)

エロガキ♀13ε> ドンキで買うか……手作りか……（１１の話聞いて）   (2024/10/21 18:08:08)

エロガキ♂11T> キタさん、話したのを覚えてくれてるだけありがとうです   (2024/10/21 18:08:33)

エロガキ♀13ε> 肌、出しちゃ……いけないの、パンドラ？   (2024/10/21 18:08:40)

エロガキ♂11T> ドンキで買おう…自分は   (2024/10/21 18:09:01)

エロガキ♀13ε> 吸血鬼……１９兄は、別なもの……吸いそう……   (2024/10/21 18:09:17)

パンドラ ◆> 親密な方にお見せするなら構わないと思いますよ？ただ私はそちらの方が喜ばれるかな、、と。   (2024/10/21 18:09:22)

リネット> ハロウィン用ならコスよりも仮装って書いた方が雰囲気はあるかもしれないけど…そこは個人差だから。(無表情で淡々と説明終わり。)   (2024/10/21 18:09:38)

エロガキ♀13ε> ドンキも、最近…なかなかだよね……   (2024/10/21 18:09:39)

エロガキ♂11T> リネットお姉さん、説明ありがとう～   (2024/10/21 18:10:11)

エロガキ♀13ε> キャラの個性の…問題ね……パンドラは普段見せない肌を、見せたり…しないんだ…   (2024/10/21 18:10:37)

キタサンブラック> ドンキ、割とうちの近くにあるので……買い物行くときに結構候補になりますね。（品揃え……大人用商品とかまであるのは凄いと思います）   (2024/10/21 18:10:40)

エロガキ♀13ε> 有難う……詳しく理解、出来た……（リネットに頭下げ）   (2024/10/21 18:11:12)

エロガキ♂11T> 大人用商品まであるのは役立つよね～   (2024/10/21 18:11:16)

リネット> それじゃ、私はこれで。(手をひらひらと各位に振って。種も仕掛けも無い赤い布を頭に被り。)   (2024/10/21 18:11:34)

おしらせ> リネットさんが退室しました。  (2024/10/21 18:11:37)

エロガキ♀13ε> 大人用コスを、仮装ですれば…一石二鳥、キタちゃん？   (2024/10/21 18:11:41)

パンドラ ◆> いえ、私としてはこれすら配慮でしかありませんから脱いでも問題はありませんよ、、ただ私では無い人はあまり肌を晒すのを良しとしませんので、、(薄布摘み、)   (2024/10/21 18:11:41)

キタサンブラック> リネットさん、お疲れ様です   (2024/10/21 18:11:48)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/21 18:11:51)

パンドラ ◆> お疲れ様です、   (2024/10/21 18:11:56)

エロガキ♀13ε> お疲れ様、有難う……   (2024/10/21 18:11:57)

エロガキ♂19b ◆> リネットちゃんまたね～   (2024/10/21 18:11:58)

胡桃 ◆> 種も仕掛けないけど私だよ！(ばさっ)   (2024/10/21 18:12:01)

エロガキ♀13ε> こんばんは……   (2024/10/21 18:12:04)

パンドラ ◆> 主の御方ですね、こんばんは   (2024/10/21 18:12:16)

キタサンブラック> 種は付けられ仕込まれるけど胡桃さんですね。   (2024/10/21 18:12:17)

エロガキ♂11T> 胡桃お姉さん、こんばんは   (2024/10/21 18:12:20)

エロガキ♀13ε> あ……リネットって地主さん…？   (2024/10/21 18:12:22)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 18:12:24)

エロガキ♂11T> パンドラさんの仮装がどうなるのか楽しみ～   (2024/10/21 18:12:50)

胡桃 ◆> はーい！みんなあたらめてこんばんは！私の代わりにコラボ衣装で出向いてくれたリネットには拍手〜(ぱちぱち。)   (2024/10/21 18:13:01)

エロガキ♀13ε> エロガキ19b（女装）とかって方が…目立つかな…？   (2024/10/21 18:13:12)
