/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月08日 02時20分 ～ 2024年11月08日 20時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、眠いからすぐ居なくなるよ？   (2024/11/8 02:20:44)
花海佑芽> おはようー！   (2024/11/8 06:47:07)

エロガキ♂12Ω ◆> おー、姉ちゃん早起きだなー。   (2024/11/8 06:47:22)

花海佑芽> すこし時間あったので寄ってみました！（よかったら食べますかって、おにぎり差し出し）   (2024/11/8 06:48:47)

エロガキ♂12Ω ◆> 良いんー？んじゃ貰おっかなー。(おにぎり受け取りはむっ)   (2024/11/8 06:49:36)

花海佑芽> たくさんありますよ！（バスケットの中にはみんなで山分けしてもお釣りがきそうな、おっきなおにぎりの山）   (2024/11/8 06:51:16)

エロガキ♂12Ω ◆> 山盛りじゃんー。これ具何入ってんの？(頬膨らませハムスターみたいにもっきゅもっきゅ)   (2024/11/8 06:52:38)

花海佑芽> えっと、ワカメとかニンジンとか、いろいろです！（色々って言いながらも鮭とかの定番が無いあたりにペースト育ちの片鱗が）   (2024/11/8 06:55:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 06:56:23)

エロガキ♂12Ω ◆> …おぉ、個性的な味だー。(口の中で広がる独特な組み合わせに目を丸くすると咀嚼ペースダウン、もぐもぐ…)   (2024/11/8 06:56:47)

エロガキ♂12Ω ◆> 19兄ちゃんおはー。(もぐもぐ)   (2024/11/8 06:57:07)

エロガキ♂19b ◆> ハロハロ～、、寝落ちカードマンこと19君ですよ～   (2024/11/8 06:57:13)

エロガキ♂12Ω ◆> まーた変な時間まで起きとったん？寝ろっていつも言ってんのに。(私は寝落ちしました、書かれたプラカード差し出し)   (2024/11/8 06:59:05)

エロガキ♂19b ◆> なんでそんなプラカード持ってるの？....   (2024/11/8 06:59:57)

エロガキ♂12Ω ◆> 首から掛けるネタあんじゃん、私はなんちゃらしましたって。あれのネタ一通り揃えてるー。   (2024/11/8 07:00:55)

花海佑芽> おはようございます！【またリロード溜まってました】   (2024/11/8 07:01:04)

エロガキ♂19b ◆> そっかぁ....でもまぁ、寝落ちエブリデイだから、それは必要ないかな   (2024/11/8 07:02:16)

花海佑芽> あたし、それと似たようなので「宿題が終わりませんでした」って首から提げたことあります（えへ）   (2024/11/8 07:02:47)

エロガキ♂12Ω ◆> ん、そかー。んじゃゆめ姉ちゃんにこれどぞー。(私はシスコンです、書かれたプラカードすっ)   (2024/11/8 07:03:11)

花海佑芽> 右に同じく、提げるまでもなくみんな知ってると思いますから！（ぐいぐい押し返す）【まぎらわしくてごめんなさい、読みは『うめ』なんです！】   (2024/11/8 07:05:33)

エロガキ♂12Ω ◆> ちぇー、皆ノリ悪いなー。(自分でプラカードすちゃ、記載内容、時価)   (2024/11/8 07:06:36)

エロガキ♂12Ω ◆> (おっと、それはすまんこ。うめ姉ちゃんね、覚えた。何か酸っぱそう)   (2024/11/8 07:07:21)

花海佑芽> （今度から、うめおにぎりにします！）   (2024/11/8 07:08:08)

エロガキ♂12Ω ◆> (梅昆布茶で出汁茶漬けの方が好きかなー。おにぎりは焼きおにぎり派)   (2024/11/8 07:09:28)

花海佑芽> 19bさん寝ちゃいました？（つんつん）   (2024/11/8 07:10:55)

エロガキ♂19b ◆> 起きてるよ～くすぐったい！！   (2024/11/8 07:11:16)

花海佑芽> 生きてました！（おおげさ）   (2024/11/8 07:11:57)

エロガキ♂19b ◆> あまりお兄さんを舐めてるとおっはい揉むからね！(クワッ)   (2024/11/8 07:12:38)

花海佑芽> （びくっ！）   (2024/11/8 07:13:06)

エロガキ♂12Ω ◆> 兄ちゃん百味ビーンズみたいに変な味しそう。というかお腹壊しそう。   (2024/11/8 07:13:21)

エロガキ♂19b ◆> でも眠いのもたしか～...季節の変わり目だからか声もちょっとおかしい～...ヘリウム吸おっと   (2024/11/8 07:13:44)

花海佑芽> 風邪とかじゃないですか？（大丈夫かなあ）   (2024/11/8 07:14:28)

エロガキ♂19b ◆> 36.3...ざ！平熱！！(パタリッ)   (2024/11/8 07:15:11)

エロガキ♂12Ω ◆> (木の枝でつんつん)   (2024/11/8 07:19:29)

花海佑芽> えっと、そろそろ寮に戻りますね！（あんまり受けが良くなさそうだったので、おにぎりは持って帰ります）   (2024/11/8 07:19:31)

エロガキ♂12Ω ◆> うい、うめ姉ちゃんおにぎりありがとなー。美味しかったー。   (2024/11/8 07:20:06)

エロガキ♂19b ◆> またね佑芽ちゃんー、、そして木の枝でつつくのはやめてくれぇ....   (2024/11/8 07:20:24)

エロガキ♂12Ω ◆> なら地面に落ちたセミの様な挙動やめなー。起きたばっかでも疲れてんの？(顔に蒸しタオルそっ)   (2024/11/8 07:21:27)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/8 07:22:41)

エロガキ♂19b ◆> どうだろ...マジでそうかも？もう一眠りでも、、いやどうせ寝れないし学校いかないと！！爆発しないかなぁ....( ;´･ω･`)   (2024/11/8 07:23:13)

エロガキ♂12Ω ◆> 分かる、クッソダルい時に地球爆発しろってなるよなー   (2024/11/8 07:24:02)

エロガキ♂19b ◆> いまだけでいいから、、竜巻かなんか突然発生してくれないかな..   (2024/11/8 07:25:35)

エロガキ♂12Ω ◆> 木枯らし吹き始める時期だしワンチャンあるかも   (2024/11/8 07:26:10)

エロガキ♂12Ω ◆> 半月もあれば地方よっちゃ大雪もあるかもなー   (2024/11/8 07:26:51)

エロガキ♂19b ◆> 最近天候おかしすぎ～...稲妻に移住しようかな   (2024/11/8 07:27:41)

エロガキ♂12Ω ◆> 秋の空と乙女心は移ろうもんだって婆ちゃんが言ってた。マジ？駅近徒歩5年の所あったら教えてー。   (2024/11/8 07:29:26)

エロガキ♂19b ◆> ５年！？遠すぎないかそれは？   (2024/11/8 07:30:56)

エロガキ♂12Ω ◆> いやいや、セグウェイ使ったらすぐだからセーフセーフ。   (2024/11/8 07:31:44)

エロガキ♂19b ◆> たいして構わんねぇよ！！   (2024/11/8 07:33:26)

エロガキ♂19b ◆> というか、、布団からでたくない....   (2024/11/8 07:37:19)

エロガキ♂12Ω ◆> 兄ちゃんセグウェイバカにすんなの！？峠でハチロクとタメ張れるかんな！？   (2024/11/8 07:37:27)

エロガキ♂12Ω ◆> 全く、兄ちゃんは仕方無いなぁ。(お布団巻き付け簀巻きぐるぐる)   (2024/11/8 07:38:02)

エロガキ♂19b ◆> あったけぇ....   (2024/11/8 07:38:53)

エロガキ♂12Ω ◆> (周りをヒーターで取り囲み最大火力)   (2024/11/8 07:39:41)

エロガキ♂19b ◆> というか、、12くんは乗るのに親の了承必要でしょ？、、貰ったん？   (2024/11/8 07:39:52)

エロガキ♂12Ω ◆> うむ、本当はアンパンマン号に乗りたかったんだけどダメって言われたから妥協した。   (2024/11/8 07:40:49)

エロガキ♂12Ω ◆> アンパンマン号なら徒歩5分圏内で済むのになー。   (2024/11/8 07:41:27)

エロガキ♂19b ◆> アンパンマン号への信頼がすごすぎる...   (2024/11/8 07:42:30)

エロガキ♂12Ω ◆> なおナマケモノの全力疾走より遅い模様   (2024/11/8 07:43:19)

エロガキ♂19b ◆> 雑魚じゃねえか！？   (2024/11/8 07:44:11)

エロガキ♂12Ω ◆> だから徒歩5分圏内なんだよ   (2024/11/8 07:44:35)

エロガキ♂12Ω ◆> 多分駅まで12時間   (2024/11/8 07:45:35)

エロガキ♂19b ◆> 極端だなぁ....お兄さんいま生活範囲すべて自転車でいけるように限定してるからわかんないや   (2024/11/8 07:46:14)

エロガキ♂12Ω ◆> おー、自転車乗れるんだ。ツール・ド・フランス制覇した？   (2024/11/8 07:47:00)

エロガキ♂19b ◆> 2秒だったよ   (2024/11/8 07:48:13)

エロガキ♂12Ω ◆> やったじゃん、ソニックブームの被害も賞金で賄えるし懐も痛まないね   (2024/11/8 07:50:35)

エロガキ♂19b ◆> 請求は12Ωにしておいたからよろしくね！賞金は世界の恵まれない子供たちに３割寄付したから   (2024/11/8 07:51:45)

エロガキ♂12Ω ◆> おけおけー、アルゼンチンペソで払っとくわー。   (2024/11/8 07:53:12)

エロガキ♂19b ◆> 残りの七割どうしよ...課金しよ   (2024/11/8 07:54:38)

エロガキ♂12Ω ◆> 生命保険に課金か、良いチョイスじゃん   (2024/11/8 07:56:20)

エロガキ♂19b ◆> なにいってんの？ゲームにぶっぱするにきまってるじゃん！   (2024/11/8 07:56:47)

エロガキ♂12Ω ◆> 札束で殴る？(物理)   (2024/11/8 07:57:37)

エロガキ♂19b ◆> 殴れたらいいけどね...   (2024/11/8 07:58:57)

エロガキ♂12Ω ◆> 面会には行くからな…   (2024/11/8 07:59:43)

エロガキ♂19b ◆> 女の子つれてきて....   (2024/11/8 08:01:15)

エロガキ♂12Ω ◆> わかった、兄ちゃんの母さんと行くわ   (2024/11/8 08:01:50)

エロガキ♂19b ◆> 近親相姦か....いいよ   (2024/11/8 08:05:18)

エロガキ♂12Ω ◆> ついでに婆ちゃんもつけとくな、親子丼だぜ   (2024/11/8 08:06:02)

エロガキ♂19b ◆> 残念だったな！！俺は女なら、誰でも抱くぞ...   (2024/11/8 08:08:54)

エロガキ♂12Ω ◆> 雑食かよ   (2024/11/8 08:10:32)

エロガキ♂19b ◆> なんでも....食べまする...   (2024/11/8 08:13:23)

エロガキ♂12Ω ◆> 寝落ちしそうじゃね？兄ちゃん   (2024/11/8 08:18:55)

エロガキ♂19b ◆> おきてる....   (2024/11/8 08:22:41)

エロガキ♂12Ω ◆> 学校遅れても知らんぞー   (2024/11/8 08:23:26)

エロガキ♂19b ◆> 15ふんあればつくからだいじょうぶ、   (2024/11/8 08:25:26)

エロガキ♂12Ω ◆> それなら大丈夫そうだなー。時間まで目ぇ閉じてゆっくりしときなよ   (2024/11/8 08:26:06)

エロガキ♂19b ◆> でも女の子とパコパコもしたいよね...   (2024/11/8 08:29:46)

エロガキ♂12Ω ◆> わかる   (2024/11/8 08:31:06)

エロガキ♂12Ω ◆> というかパコパコって擬音どっから来たんだろうな   (2024/11/8 08:34:52)

エロガキ♂12Ω ◆> 腰振る時パンパンじゃん   (2024/11/8 08:35:19)

エロガキ♂19b ◆> パコパコはめるってかんじで？   (2024/11/8 08:36:16)

エロガキ♂12Ω ◆> 粘膜嵌まる割には固い音だなぁ   (2024/11/8 08:37:58)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/8 08:38:04)

星 ◆> “どんぶらこ、どんぶらこ”ってなんなのさ！   (2024/11/8 08:38:07)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/8 08:38:16)

エロガキ♂12Ω ◆> 何だ今の   (2024/11/8 08:38:30)

エロガキ♂12Ω ◆> 一瞬天ぷら粉に見えた   (2024/11/8 08:38:51)

エロガキ♂19b ◆> 星ちゃんだ～今日も可愛いね！最高だよ！   (2024/11/8 08:39:53)

エロガキ♂19b ◆> あれ...いない？....( ;´･ω･`)   (2024/11/8 08:43:18)

エロガキ♂12Ω ◆> 幻覚だった？   (2024/11/8 08:44:00)

エロガキ♂19b ◆> 俺の目がおかしかったのかな？   (2024/11/8 08:44:23)

エロガキ♂12Ω ◆> ヤバいもんキメちったか   (2024/11/8 08:45:33)

エロガキ♂19b ◆> はっ！！洗濯物干さないと！！(ガバッ！！)   (2024/11/8 08:48:22)

エロガキ♂19b ◆> とりあいず...12Ω君が退屈しないようにバーニスダンス踊ってるバーニスちゃんのホログラムだしとくからたのしんでて！(ピッ)   (2024/11/8 08:49:07)

エロガキ♂12Ω ◆> センキュー。俺もエイサイハラマスコイ踊り踊ってるヘルシェイク矢野のライブ流すわー。   (2024/11/8 08:50:38)

エロガキ♂19b ◆> おっけーーー   (2024/11/8 08:57:16)

エロガキ♂12Ω ◆> エイサイハラマスコイ踊り流行るかね？   (2024/11/8 08:57:47)

エロガキ♂19b ◆> 流行らないと思う   (2024/11/8 08:58:01)

エロガキ♂12Ω ◆> (うぇーん)   (2024/11/8 08:59:04)

エロガキ♂19b ◆> 12Ω君が全力で布教すればわんちゃん？   (2024/11/8 08:59:20)

エロガキ♂12Ω ◆> くそう、ポプテピは神アニメだってわからせてやる   (2024/11/8 09:00:04)

エロガキ♂19b ◆> 頑張れ...影ながら応援していよう！！君の努力はしっかりとみさせて貰う！！(見てるだけ)   (2024/11/8 09:01:47)

エロガキ♂12Ω ◆> もしもし、おまわりさーん。ここで物陰から監視してくるストーカーがいまーす。   (2024/11/8 09:04:00)

エロガキ♂19b ◆> 害はないから大丈夫大丈夫   (2024/11/8 09:06:45)

エロガキ♂19b ◆> さて、、少し離席するね！20分ぐらいで戻ってくるよ！   (2024/11/8 09:08:22)

エロガキ♂12Ω ◆> 害の有無って被害者が決めるんだよ。   (2024/11/8 09:08:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 09:08:35)

エロガキ♂12Ω ◆> あーい、俺は朝飯食ってくるー   (2024/11/8 09:08:47)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/8 09:08:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 09:28:08)

エロガキ♂19b ◆> ぴったり20分～！   (2024/11/8 09:28:26)

エロガキ♂19b ◆> だれも、、いない！！(当たり前である)   (2024/11/8 09:39:43)

エロガキ♂19b ◆> やること済ませてこよっと   (2024/11/8 09:52:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 09:52:16)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/8 12:27:30)

エロガキ♂14C ◆> こんにちはー。今日は夕方からお出かけだし、出来るならお昼に一戦したいなぁ、なんて思いつつまずは顔出しー。   (2024/11/8 12:28:07)

エロガキ♂14C ◆> そもそも今日のお昼何食べるかも決めてないんだよねー、なにたべよ。   (2024/11/8 12:33:04)

エロガキ♂14C ◆> ……にんじんのおにぎりってなんだろ……甘煮だとなんか違うし、うーん？（ログ見つつ首傾げ）   (2024/11/8 12:37:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 12:38:22)

エロガキ♂19b ◆> 普段の元気は何処え～、、完全に声がくたばってしまった19君ですよ～...こんにちは   (2024/11/8 12:39:21)

エロガキ♂14C ◆> こんにちは、ちゃんと寝てなくて風邪でも引いた？なんとかは風邪ひかな……いや、あまりこれ信用出来ないんだよな。   (2024/11/8 12:40:12)

エロガキ♂19b ◆> 風邪は引いてないね声だけどっかいった。喉といたくはない...びっくりー   (2024/11/8 12:41:00)

エロガキ♂14C ◆> ちゃんと病院言ってきなよ。実はすごいことなってました、なんてありえるし。   (2024/11/8 12:41:47)

エロガキ♂19b ◆> 今日は病院いけないんよねぇ...明日になっても戻らなかったら朝いく予定だぜ！(キラッ)   (2024/11/8 12:43:20)

エロガキ♂14C ◆> なんか無駄にウザい……主にキラッ、がウザイ……   (2024/11/8 12:44:11)

エロガキ♂19b ◆> ふっふっふー...体調悪くてもテンションは変わらないのさ！！ゴホッ...ガハッ....   (2024/11/8 12:45:02)

エロガキ♂14C ◆> 寝ろ。（すぱーん）   (2024/11/8 12:45:33)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/8 12:46:52)

エロガキ♂19b ◆> 実際熱もな～んも悪くないんよね声が枯れてるだけ～。   (2024/11/8 12:47:08)

エロガキ♂14C ◆> あ、佑芽おねーさんだ。こんにちはー。   (2024/11/8 12:47:30)

エロガキ♂19b ◆> 佑芽ちゃんこんにちは～   (2024/11/8 12:48:08)

花海佑芽> 【原作へ寄せに行って失敗した感じなので、深い意味は、ないです！＞おにぎりの具】   (2024/11/8 12:48:32)

エロガキ♂14C ◆> ……風邪じゃないのに声枯れる理由とか、調べると結構怖いんだけど？   (2024/11/8 12:48:45)

エロガキ♂14C ◆> （勝手に想像してただけだからお気になさらず！<おにぎりの具）   (2024/11/8 12:49:02)

エロガキ♂14C ◆> それにしても、僕たちは所詮モブだって言い張ってはいるけどやっぱり誰かとの縁が出来て覚えて貰えるのって嬉しいしやっぱ楽しいなぁ。   (2024/11/8 12:52:43)

エロガキ♂19b ◆> 14cは特徴あるしいろんな人に覚えられてそう(小並感)   (2024/11/8 12:53:41)

エロガキ♂14C ◆> 特徴あるのはトリップだけだけどね。   (2024/11/8 12:54:16)

エロガキ♂14C ◆> 佑芽おねーさんは取り込み中かなー（つんつん）   (2024/11/8 12:55:27)

花海佑芽> はーい   (2024/11/8 12:56:05)

エロガキ♂14C ◆> あ、いたいたっ。佑芽おねーさんここきてそんなに経ってないかもだけど、誰か印象に残ってる人っているー？   (2024/11/8 12:56:47)

エロガキ♂19b ◆> それは俺も気になるかも？   (2024/11/8 12:59:40)

花海佑芽> 14Cさんは広ちゃんと三人で話した時がものすごく印象に残ってます！   (2024/11/8 13:00:19)

エロガキ♂14C ◆> （ろくでもない話してた気がするんだけど！？）   (2024/11/8 13:01:01)

エロガキ♂19b ◆> (広ちゃんといると、面白くなるからね～)   (2024/11/8 13:01:44)

エロガキ♂14C ◆> 広おねーさんが来るたびにHP残量1なのが……   (2024/11/8 13:03:31)

花海佑芽> 負けた記憶は割と消しちゃう方です（気が重くなってしまうので）   (2024/11/8 13:03:35)

エロガキ♂14C ◆> 最近それでも割と勝ててない？（羨ましい5連敗中の僕）   (2024/11/8 13:05:45)

エロガキ♂19b ◆> 俺のデバフはそのまま14cにプレゼントしたから頑張ってね....   (2024/11/8 13:06:32)

エロガキ♂14C ◆> （熨斗つけて口の中突っ込んでやる…）   (2024/11/8 13:07:25)

花海佑芽> 14Cさん達に勝ったあと19bさん達に負けたのが最後だと思います   (2024/11/8 13:07:25)

花海佑芽> あれはデバフ押し付けたせいだったんですね！   (2024/11/8 13:07:58)

エロガキ♂14C ◆> 他人の出目まで低くするさいてーのデバフだよ……！   (2024/11/8 13:09:00)

エロガキ♂19b ◆> 俺の出目は今は悪くないはず！14cのはわかんね   (2024/11/8 13:09:36)

花海佑芽> 喉が枯れたのはその呪いでは？（ちゃんと病院に行ってくださいね）   (2024/11/8 13:10:31)

エロガキ♂14C ◆> 他人に影響して挙句体調に影響及ぼすとか地獄すぎる……   (2024/11/8 13:11:19)

エロガキ♂19b ◆> 圧倒的不幸体質！！   (2024/11/8 13:11:47)

エロガキ♂19b ◆> 試しに振ってみよ   (2024/11/8 13:11:58)

エロガキ♂19b ◆> 5d10 → (9 + 7 + 1 + 2 + 1) = 20  (2024/11/8 13:12:03)

エロガキ♂14C ◆> 5d10 → (10 + 6 + 4 + 4 + 7) = 31  (2024/11/8 13:12:11)

花海佑芽> 5d10 → (3 + 5 + 9 + 9 + 8) = 34  (2024/11/8 13:12:29)

エロガキ♂19b ◆> 帰ってきちゃった(テヘッ)   (2024/11/8 13:12:34)

エロガキ♂14C ◆> 上場だと思ったら佑芽おねーさんに負けた件。   (2024/11/8 13:12:44)

エロガキ♂14C ◆> 今挑んでも負けちゃうかな…？でも勝って甘えたいなー…？とか言ってみる。   (2024/11/8 13:14:59)

花海佑芽> 受けて立ちましょう！   (2024/11/8 13:15:44)

エロガキ♂14C ◆> 受けて立たれた！   (2024/11/8 13:16:04)

エロガキ♂14C ◆> ならばゲーム部屋へれっつごー！   (2024/11/8 13:16:19)

エロガキ♂19b ◆> せっかくだし俺も行こっと～   (2024/11/8 13:16:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/8 13:16:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 13:16:41)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/8 13:16:53)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/8 14:18:52)

エロガキ♂14C ◆> あんなに増えると思わなかった（本音）   (2024/11/8 14:19:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 14:19:17)

エロガキ♂14C ◆> どう考えても出目の数字吸われてたとしか思えない件（ごろごろ）   (2024/11/8 14:19:49)

エロガキ♂19b ◆> 撤収を打ってからでたはずなのに反映されてないことに憤慨。でも楽しかったからいいやー   (2024/11/8 14:20:03)

エロガキ♂14C ◆> お疲れ様。とりあえず僕は漸く連敗記録消せたし満足かなー。   (2024/11/8 14:20:34)

エロガキ♂19b ◆> 元々狙っていた胡桃ちゃんの足を堪能できたのでとても満足...あとは、、あの子の足を...   (2024/11/8 14:21:44)

エロガキ♂14C ◆> なんかもう獲物狙う目つきしてる……。……ま、そーだなー。僕もやり残しがたくさん積んであるおねーさんいるしなー。（天井仰ぎ）   (2024/11/8 14:22:52)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/8 14:23:19)

胡桃 ◆> (2人纏めて平手打ち…しようとしたけどやめた、)   (2024/11/8 14:23:38)

エロガキ♂14C ◆> （すかすかっ）   (2024/11/8 14:23:41)

エロガキ♂19b ◆> (写真眺め眺め)   (2024/11/8 14:24:07)

エロガキ♂14C ◆> 僕なんか平手打ちされることした！？するなら19bにーさんでしょ！？   (2024/11/8 14:24:09)

胡桃 ◆> (やっぱり2人とも平手打ち、ぱん、ぱん、)   (2024/11/8 14:24:19)

エロガキ♂14C ◆> （あべし）   (2024/11/8 14:24:28)

エロガキ♂19b ◆> 痛い！！なんでぇ！？   (2024/11/8 14:24:40)

胡桃 ◆> あ、忘れてた。   (2024/11/8 14:24:47)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 14:24:49)

おしらせ> 胡桃さんが入室しました♪  (2024/11/8 14:24:54)

胡桃> これで、良し！   (2024/11/8 14:25:04)

エロガキ♂14C ◆> ……なんとなく違いは察したよ！それはそうとしてやっぱ僕への平手打ちは納得いかない！   (2024/11/8 14:25:41)

エロガキ♂19b ◆> 俺もただ写真を眺めてただけなのになー(ブーブー)   (2024/11/8 14:26:06)

胡桃> 何も違いはないけど…肩の荷を下ろした程度？え、14C君は私が来てそうそうに煽ってきてたし、19bさんはさっきの罪を償う時だよ！   (2024/11/8 14:26:32)

エロガキ♂14C ◆> 挨拶だもん。（開き直り）……さておき、さっき言ってた罰ゲームの案、なんとなーくイヤな予感がするんだけど？   (2024/11/8 14:27:14)

エロガキ♂19b ◆> 罰ゲームじゃん！あ、、でもとても柔らかくてよかったよ～。   (2024/11/8 14:27:29)

胡桃> 何も嫌なことはないよ、全然まともというか…皆困らないものかな。中身は…見てのお楽しみ？   (2024/11/8 14:27:59)

エロガキ♂19b ◆> いちばん怖いやつじゃないですか～   (2024/11/8 14:28:34)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/8 14:28:42)

