/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月15日 22時11分 ～ 2025年07月19日 14時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> 優しくしてねって言っておけば優しくしてくれる子も多いよ！   (7/15 22:11:53)
ラプラス・ダークネス> って言っても吾輩やることあるんで、放置気味っす   (7/15 22:35:30)

エロガキ♂13Al> 海賊みたいなこと言いだした……すでに入ってるんだ！　お酒が！   (7/15 22:35:34)

尾丸ポルカ> ラミィお前ポルカより遅刻してくるとかどういう事なのさあ！？お陰様で気付いたらポルカがママになってるんだけど！？変な意味じゃなくてね！？   (7/15 22:35:38)

尾丸ポルカ> ポルカ初めてここ来たのにいきなりこのカオスだよ……賑やかって聞いてたけど、カオスとまでは聞いてなかったよ……（奏とヤンの頭ぽむぽむ）   (7/15 22:37:42)

音乃瀬奏> （まおうさまと一緒にぎゅー）   (7/15 22:37:46)

雪花ラミィ> おつらみぃ〜とこんらみぃ〜、ラプちゃんも話した事会ったはずだなこれは。やーーー、だーーい寝坊よね、もうちょっと早く来る予定だったのにさー。ラミィが掻き乱す前にもうカオスやんけ。いや、今寝起きだけどもうお酒口付けたよ（）   (7/15
22:38:08)

エロガキ♂13Al> こんなところに入ってきて放置しておくなんて……まるでケモノのオリにケモノが入ってるようなものだぜ（ふつう）   (7/15 22:38:43)

ヤン・ナリ> んふ、こあらの気分だよ、（いっしょにぎゅー、！）   (7/15 22:38:44)

雪花ラミィ> スナックおポルええやんか〜、お酒呑んでたら前からマシンガントーク飛んでくんねやろ？（）ラミィの方に抱っこきても良いんだよ、ね、ラミィのとこ（酒の匂い全開）   (7/15 22:39:40)

音乃瀬奏> ラミィせんぱい、おくちくちゃい！（忖度ゼロ）   (7/15 22:40:54)

尾丸ポルカ> ラプちゃんは放置気味、と。流石にママは2人の面倒見るのが関の山よ……。ママってそっちのママ？ていうかおポルはなんか語感悪くない？……だめ、この子達にお酒はまだ早いわよ！（奏とヤンちゃんぎゅぅ）   (7/15 22:41:22)

エロガキ♂13Al> エロガキもコアラみたいなものなんですけど！　コアラとカマキリだったらコアラのほうがちかいから、だいたいコアラ。   (7/15 22:42:21)

尾丸ポルカ> ていうかホロがほぼ制圧してエロガキ孤立無援ってこれはこれでどうなのよ（どうなのよ）やだよ、抱き着いて腰振ってくるコアラなんて。   (7/15 22:42:56)

エロガキ♂13Al> まあコアラとゴブリンだったらゴブリンにちかいんだけどね。エーッロッロッロ。（笑い声）　じゃあさびしいラミィをなぐさめるためにだっこちゃんしにいくかぁ……（うでまくり）   (7/15 22:44:38)

音乃瀬奏> コアラのほうが近い…肉食って言いたいんだ、えっち！！（脊髄反射でとりあえず怒る）   (7/15 22:44:47)

ラプラス・ダークネス> ねぇねぇ、知ってる？コアラって誰も食べない栄養素すっかすかの笹だけ食べるんだけど、栄養頭にまわんなくてさ   (7/15 22:45:28)

雪花ラミィ> んだこのガキィ！？オフレコは（ジブリの悪役女帝顔）ラミィ割と沢山通うと思うけどな〜、なんか要望汲んでくれてバンジーとかその場でしてくれるんじゃないの？（どこでもポル伝）   (7/15 22:45:39)

ラプラス・ダークネス> 笹が枝付きじゃないと笹って判断できないから葉っぱだけ置いてあげると餓死するんだって   (7/15 22:46:06)

エロガキ♂13Al> おうっふ……！（びくびく）そのしかるカンジいいよ！　もっと言って！   (7/15 22:46:20)

尾丸ポルカ> なんかそんな笑い方する宇宙人いなかったっけ、ゴブリンというよりエロガエル感。（ゲーロゲロゲロ）そしてラフちゃんの突然の豆知識。ってこっちも宇宙人じゃん。   (7/15 22:46:41)

ヤン・ナリ> わがはい、どっちに抱きついたらいいのだよ、（ポルカとラミィを交互に見て､）   (7/15 22:47:27)

雪花ラミィ> ヤバい、久しぶりの酒が体に馴染まずにギアが掛かって来てないぞ、油刺してラミィの脇腹辺りに油（？）突然のラプ柴なに……？   (7/15 22:47:32)

ラプラス・ダークネス> 宇宙人じゃい！(栃木推し)   (7/15 22:47:49)

ラプラス・ダークネス> でも栃木にはなんもないんだな、これが   (7/15 22:48:02)

尾丸ポルカ> 週一のポル伝レベルのアレコレを毎晩とかポルカいつ配信すればいいの？ねぇ、ねぇ？？？   (7/15 22:48:24)

エロガキ♂13Al> ぬるぬるしてるリキッドだったらだいたい油ってことでいい？   (7/15 22:48:39)

尾丸ポルカ> 好きな方に抱き着いてていいのよ、あっちのママの方が抱き着くと気持ちいいかもだけど、代わりにとてもお酒臭いわよ。（ぽんぽん）   (7/15 22:49:35)

おしらせ> エロガキ♂16Hiさんが入室しました♪  (7/15 22:49:57)

ヤン・ナリ> お酒臭い‥のはわがはい、いやだよ、（ぎゅぅ、）   (7/15 22:50:25)

エロガキ♂16Hi> こんばんはー。なんかカラフルだから緑を添えに来たー(？)   (7/15 22:50:42)

尾丸ポルカ> 栃木推しの宇宙人とかいうパワーワード。でもなー、ポルカは佐野ラーメンとか好きかな。   (7/15 22:51:03)

尾丸ポルカ> エロガキが増えたらしい。そして随分カラフルだ。これが虹スパ……！？   (7/15 22:51:48)

エロガキ♂13Al> こんばんはこんばんはー。なぜエロガキは好きなときに抱きついてはいけないのか。抱きついたらヘコヘコするから……？   (7/15 22:52:31)

エロガキ♂16Hi> いやー、野菜も必要かなとね。ほれラーメンもいいけど野菜も食いなさい諸君。   (7/15 22:52:42)

音乃瀬奏> ついにガキも増えた！（先輩に抱きついてるくせに男子はガキ呼ばわり）   (7/15 22:52:50)

ヤン・ナリ> こんばんわだよ ~。（ふす、）   (7/15 22:53:16)

雪花ラミィ> そこはさ、兼ね合いでさ、週休五時間で良い感じにやりくりしてさ。頑張ってラミィもコラボするからさ（）普通のラー油とかが良いんですけどね？？？全然栃木には餃子とイチゴがあるやろ、な（擁護出来る点、二点。）   (7/15 22:53:30)

エロガキ♂16Hi> クソガキにガキと言われるのは心外だねぇ……   (7/15 22:53:33)

尾丸ポルカ> つまりポルカが髪色に準拠しなければ完成する訳だね。（チェンジ）   (7/15 22:53:45)

音乃瀬奏> ヘコヘコ？（迂闊にも地雷を踏みに行く）   (7/15 22:53:51)

エロガキ♂13Al> わきにラー油垂らすのは肉まんだけでしょ。肉まんのようにめしあがれってこと……！？（ごくり）   (7/15 22:55:20)

雪花ラミィ> ポルカさん、貴女のせいでラミィのお株がなんか勝手に下がってるんですけどぉ！？ラミィはこんなにも清純でおしとやかできゅうとで、余りにもスーパー嫁適正なんだがあ！？一人ぐらい来いよ！！こんらみい！！！   (7/15 22:55:28)

ラプラス・ダークネス> やめろー！餃子は宇都宮と戦争になるから！！   (7/15 22:55:33)

尾丸ポルカ> はいはい、ヤンちゃんも奏ちゃんもポルカママと一緒にいようね、おちゃけくさいのやーねー。（なでなで）週休5時間ってそれホロライブじゃなくてクロライブじゃん……？ブラック的な意味で。ラミィの株がストップ安なのは世の中の需要が嫁じゃなくてママを求めてるからなんだ。
  (7/15 22:56:22)

エロガキ♂13Al> 強いものにこびへつらうことよ。奏ちゃんもヘコヘコされたら気持ちいいよ。   (7/15 22:56:27)

音乃瀬奏> そっかー！（秒で納得した）みんな奏ちゃんにひざまづけー！   (7/15 22:57:41)

ヤン・ナリ> んぅ、また会った時にするのだよ、（撫でられては目細め､）   (7/15 22:57:54)

尾丸ポルカ> ポルカは野菜平気だけど、割とホロメン野菜苦手多いのよな。美味しいのに。（野菜スティックパリポリ）   (7/15 22:58:41)

雪花ラミィ> どんなサーブを打っても丁度いい塩梅にスケベなところを狙ってくるやん、何かの能力者かよ。ラミィのおっぱいは肉まん三個詰めだけど。ラミィが黒服着てバッシバシフェネック尻尾引き摺ってやるからさ……うう、ラミィも本当はこんなことしたくないのに……（ほろり…）ラミィママ行けんじゃんか、ちょっと鼻摘めばそれ以外革命のひとときっしょお！？
  (7/15 22:59:22)

エロガキ♂13Al> 「奏にヘコヘコしなさい♥」って言って！　ハートマークは3つ！   (7/15 22:59:49)

ラプラス・ダークネス> ねー、偏食家多いから…(サラダチキンとレタスばりむしゃ)   (7/15 22:59:52)

ヤン・ナリ> 革命のひととき､!!（はわ、）   (7/15 23:00:26)

音乃瀬奏> ママー、じゃがりこはー？（実質的に野菜スティックと言いたい）   (7/15 23:01:51)

ラプラス・ダークネス> 革命をーーーーーー！！れっーーーつ、しゅーーーー！！(ヴヴヴ)   (7/15 23:02:05)

エロガキ♂16Hi> (なんか吹き込もうとしてる13AIは横目に…) なんで偏食家が多いのか…そこが面白いとこでもあるんだけどね(プチトマトつむつむ)   (7/15 23:02:13)

ラプラス・ダークネス> ポテトを野菜と言い張る度胸よ   (7/15 23:02:17)

ラプラス・ダークネス> マックがヘルシーになっちまう！！   (7/15 23:02:29)

エロガキ♂13Al> 俺のスキルはさわった女体すべてをエロく感じるスキル……さわらないと感触がわからないという誓約でより力が高まるのさ……！   (7/15 23:02:41)

尾丸ポルカ> 尻尾はやめて！？スパル先輩みたいにケモメン全員敵に回す気なの！？黒服まで着込んでたらやる気ない訳ないじゃない！？……ラミィママ、ねぇ。ちょうど数日前にラプなで地獄配信でパパ認定されてなかったっけか。   (7/15 23:03:11)

エロガキ♂16Hi> まぁ、世の中には油で揚げればカロリーゼロてきな話もある   (7/15 23:03:13)

ラプラス・ダークネス> 油であげて、真ん中くり抜かないとゼロにはならないぞ！(嘘)   (7/15 23:03:39)

ヤン・ナリ> 革命はヴァルヴレイブすぎるだよぉ、（んん、）美味しいものはゼロカロリー、   (7/15 23:03:54)

ラプラス・ダークネス> えー、ケモミミは人じゃありません   (7/15 23:04:08)

エロガキ♂16Hi> くり貫くのを…忘れていた…！   (7/15 23:04:10)

尾丸ポルカ> 奏ちゃん、夜遅いから食べるならこっちにしようね。（にんじんスティック）   (7/15 23:04:31)

エロガキ♂13Al> 棒状のものを口に……！   (7/15 23:04:51)

尾丸ポルカ> ラプラス……お前、言ったな？（ゴゴゴゴゴ）   (7/15 23:05:02)

音乃瀬奏> ふっふーん、奏にペコペコしなさい！！！（空耳＆全力どや顔）   (7/15 23:05:25)

ヤン・ナリ> 角は､? わがはいは人じゃない、⁇（さよなら人権。）   (7/15 23:06:06)

エロガキ♂13Al> ぺーこぺこぺこ！   (7/15 23:06:13)

エロガキ♂16Hi> どっかの兎が紛れ込んだぞオイ   (7/15 23:06:33)

雪花ラミィ> ラミィはアニキパートやるから誰かななななパートやって（配役ミス）ポルカは割とホスト配信とかで黒服めっちゃ似合うのは知ってるからさ、ラミィもちょっとカッコよくなってみる。寝そうになったら氷漬けにしてやるからな（）   (7/15 23:06:41)

ラプラス・ダークネス> 吾輩宇宙人だもーん！   (7/15 23:06:49)

エロガキ♂16Hi> 宇宙人には人権ないと思いまーす！(はい！)   (7/15 23:07:38)

尾丸ポルカ> アーモンドアーモンド？（幻聴）   (7/15 23:08:20)

ラプラス・ダークネス> じゃあ、吾輩なななやるから…。あかい！！しずくにじむくちびるにぃ〜(わいるどあいず)   (7/15 23:08:40)

尾丸ポルカ> ケモ耳族に続いてツノガキ族まで人権ないなった……   (7/15 23:09:00)

雪花ラミィ> 美味しんぼみたいな顔してたいなあ、パパやるなら。（？）そいだらエルフも人権ないやんけ！？+x/+0するぞマジで！！   (7/15 23:09:04)

ラプラス・ダークネス> おい！リノセウスいるぞ！   (7/15 23:09:23)

ラプラス・ダークネス> 56せ！！   (7/15 23:09:29)

エロガキ♂16Hi> コンボ数で暴れる虫がいる！！！   (7/15 23:09:34)

おしらせ> 獅白ぼたん ◆HEual/Tbagさんが入室しました♪  (7/15 23:09:56)

エロガキ♂13Al> あるよ！　人権あるよ！　人権なかったら堕とす楽しみがない   (7/15 23:10:03)

エロガキ♂16Hi> エルフは駆除！根絶やし！！慈悲なし！！！   (7/15 23:10:04)

ラプラス・ダークネス> 虫に添え物と化したエルフに悲しき現実………   (7/15 23:10:14)

獅白ぼたん ◆> 超を付けて久しぶりだけど、なんか人多いし、今日ってお祭りかなんか？   (7/15 23:10:19)

ヤン・ナリ> こんばんわなのよ ~ ､!   (7/15 23:10:21)

ラプラス・ダークネス> お祭りっす！   (7/15 23:10:29)

獅白ぼたん ◆> あ、ららいお～ん、ららいお～ん　挨拶忘れた、ららいお～ん   (7/15 23:10:33)

エロガキ♂16Hi> こんばんは〜   (7/15 23:10:36)

音乃瀬奏> まおうさま、はんぶんこする？（にんじんスティック差し出し）   (7/15 23:10:38)

尾丸ポルカ> 黒服着れば大体誰も彼もかっこよくなるんよ。   (7/15 23:10:38)

ヤン・ナリ> わ、したい､!えんりょなく頂くのよ､!（受け取り､えへ、）   (7/15 23:11:26)

尾丸ポルカ> ししろんまで来たぁ！？……ねぽらぼリーチマジかよ……。   (7/15 23:11:30)

ラプラス・ダークネス> ときおりエロガキガン無視でV集まるよね、此処(いまさら)   (7/15 23:12:14)

獅白ぼたん ◆> いや、実際おまるんとラミちゃんが見えたし、カナデェ～とラプちゃんもいるからね。あたしで顔出さないのも勿体ないかなって動いたんだけどさ   (7/15 23:12:18)

音乃瀬奏> いただきまーす（スティックはむはむ。）   (7/15 23:12:19)

エロガキ♂13Al> こんばんは！　ライバーは一人コラボしたらどんどん増えるのかもしれない。   (7/15 23:12:22)

エロガキ♂13Al> 赤みがかった棒状のものをふたりがかりで……！？   (7/15 23:12:37)

エロガキ♂16Hi> まぁ、それこそエロガキは添え物の肉棒ですしお寿司…   (7/15 23:12:44)

尾丸ポルカ> （にんじんスティックなんて細いモン食べてる光景で興奮できるモンなのかねえ、ぱりぽり）   (7/15 23:13:22)

獅白ぼたん ◆> ……（世の中にはうどんすすってるだけで卑猥に見えるとか言う特殊な事案があるらしいよ。　念）   (7/15 23:14:01)

ヤン・ナリ> にんじんおいし、‼︎（もっ、もっ、）   (7/15 23:14:01)

エロガキ♂16Hi> あれじゃない？自分のが細いから想像しやすいとか(13AIくんに風評被害？)   (7/15 23:14:29)

獅白ぼたん ◆> おう、ドンドン食べな♪　おかわりもいいぞ   (7/15 23:14:31)

ラプラス・ダークネス> たしかに。全力でうどんすすったらめっちゃ下品な顔になるかも知れない   (7/15 23:14:37)

エロガキ♂13Al> だだだだ、だれがにんじんスティックじゃい！　俺は太すぎて青函トンネルにシンデレラフィットなんですけど！   (7/15 23:14:39)

ラプラス・ダークネス> ひょっとこみたいな   (7/15 23:14:49)

エロガキ♂16Hi> なんか訓練が始まりそうな気配がががが………   (7/15 23:14:54)

尾丸ポルカ> ……（流石アーカイブないなった勢の語る事案はすげえぜ！ 念）   (7/15 23:14:58)

尾丸ポルカ> （ガスマスク装着）   (7/15 23:15:06)

獅白ぼたん ◆> でも、実際ニンジンスティックはともかく、でっかいのよりほどほどのが負担少なくて長く楽しめるよね。   (7/15 23:15:18)

ラプラス・ダークネス> ガス注入(ガスマスクかぶり)   (7/15 23:15:26)

ラプラス・ダークネス> 食いすぎて倒れる赤身かるびください   (7/15 23:15:44)

エロガキ♂16Hi> (ガスマスク装着)   (7/15 23:15:46)

音乃瀬奏> え、なになに～？（まともにガスを吸う）   (7/15 23:16:24)

獅白ぼたん ◆> 本当にキョウシロウしなくていいから   (7/15 23:16:28)

尾丸ポルカ> まあ撒くとしてもこの部屋だとエロガキおやすみタイムの睡眠ガスな気がするんだけどさー。（ガスマスクぽい）   (7/15 23:16:39)

獅白ぼたん ◆> で、眠りエルフは寝ちゃったのかな？　ラミちゃん生きてる？   (7/15 23:16:57)

ラプラス・ダークネス> しゅこー、しゅこー、コントローラーを床においてみろ(サイコマンティス)   (7/15 23:17:37)

ヤン・ナリ> （無心でぽりぽり、）   (7/15 23:17:38)

尾丸ポルカ> ラミィ、寝坊かまして酒でエンジンかからないって言ってたからいつ寝落ちても不思議じゃないと思うんだ。   (7/15 23:17:50)

エロガキ♂16Hi> 魔王様にはガス効かねぇのか…つ、つぇぇ…！！   (7/15 23:18:06)

エロガキ♂13Al> すやすやしてるところにエロガキがやってくる方がいいなー（願望）   (7/15 23:18:07)

獅白ぼたん ◆> あぁ、ここのラミちゃん、大体23時はデッドラインだから。   (7/15 23:18:12)

音乃瀬奏> （すやぁ）   (7/15 23:18:51)

ヤン・ナリ> わがはいにガスはひゃくねんはやいよぉ、‥（すや、）   (7/15 23:19:03)

ラプラス・ダークネス> まぁ、いつも通りっすね。きっと寝てますよこれ   (7/15 23:19:23)

エロガキ♂16Hi> 効いてる……あわれなり……   (7/15 23:19:29)

エロガキ♂13Al> 顔に正の字らくがきしよう   (7/15 23:19:29)

尾丸ポルカ> まさにシンデレラタイムってワケだね。置いてくるのがガラスの靴じゃなくて酒樽ってすげーけど。   (7/15 23:19:29)

尾丸ポルカ> よしよし、奏ちゃんもヤンちゃんも無理はするんじゃないよー？（ママモード）   (7/15 23:20:01)

エロガキ♂16Hi> 額に「肉」って書いておくか……   (7/15 23:20:03)

ラプラス・ダークネス> 0時に寝るだけマシかも？夜通し騒がれても困る！   (7/15 23:20:19)

獅白ぼたん ◆> この雪月花を１升飲み切っても酔ってないモノを花嫁とする？（酒瓶から探す花嫁シンデレラ）   (7/15 23:20:21)

エロガキ♂16Hi> その選定方法、アル中で何人かぶっ倒れたりしない…？   (7/15 23:21:01)

エロガキ♂13Al> エロガキは挑戦した時点で法令に触れる試験だね……   (7/15 23:21:27)

音乃瀬奏> うにゅ…じょやのかねまでおきるもん（駄目そう）   (7/15 23:21:28)

エロガキ♂16Hi> つまり我々はリタイアと   (7/15 23:21:47)

エロガキ♂13Al> 半年も無睡眠で……！？   (7/15 23:22:03)

獅白ぼたん ◆> まぁ選定とか必要なく、ラミちゃんくらいトーク力ある相手、それで見分けられるだろとは思うけどね？（アルコール中毒云々以前   (7/15 23:22:10)

尾丸ポルカ> 雪月花そんな飲み方するお酒じゃないから……！シンデレラ探し終わる前にアル中患者爆増で国が酔い潰れるちまいそうな探し方だわ。   (7/15 23:22:22)

ヤン・ナリ> ガス、なじむだよ、（起きて､ぽりぽりぽり、）   (7/15 23:22:26)

エロガキ♂16Hi> これはダメそうですねぇ…(奏の額に油性で「肉」…書き書き…)   (7/15 23:22:52)

雪花ラミィ> っj   (7/15 23:23:26)

獅白ぼたん ◆> つｊ？   (7/15 23:23:34)

エロガキ♂16Hi> ついでにアル中エルフにも…(「酒」…書き書き…)   (7/15 23:23:47)

尾丸ポルカ> jが何を指すかで大喜利？   (7/15 23:24:01)

エロガキ♂16Hi> あれ、起きた…？   (7/15 23:24:03)

ヤン・ナリ> っj で助けを求めてるかもだよ、   (7/15 23:24:31)

獅白ぼたん ◆> Ｊって言ったら、ジョニーじゃないかな？（それが、俺の名だ）   (7/15 23:24:38)

ラプラス・ダークネス> jミ   (7/15 23:24:59)

尾丸ポルカ> ワタシがペガサス・J（以下省略）   (7/15 23:25:38)

エロガキ♂13Al> j(・ヮ・)j   (7/15 23:25:46)

エロガキ♂16Hi> っj……ダイイングメッセージ…犯人はこの中にいる？   (7/15 23:27:01)

尾丸ポルカ> そういやここ、奏のママ来たことあるんだっけ？なんでポルカがママやってんだろ。（抱き抱えつつ背中とんとん）   (7/15 23:27:06)

エロガキ♂13Al> こんや　じゅうにじ　だれか　ねる   (7/15 23:27:24)

ラプラス・ダークネス> ポルカ保育園…！   (7/15 23:27:28)

音乃瀬奏> （おやすみなさいします！）   (7/15 23:27:49)

尾丸ポルカ> DHMO摂取したら100年以内にﾋﾟｰするみたいな……<今夜12時   (7/15 23:28:03)

獅白ぼたん ◆> はい、奏ちゃんはお休み～   (7/15 23:28:09)

エロガキ♂13Al> おやすみなさい。夜は寝る方がえらい……   (7/15 23:28:33)

エロガキ♂16Hi> おやすみ〜   (7/15 23:28:43)

ヤン・ナリ> おやすみなさいだよ､!   (7/15 23:28:45)

尾丸ポルカ> おやすみ奏、おつのせー。   (7/15 23:28:55)

音乃瀬奏> （ほな、またね～）   (7/15 23:29:25)

おしらせ> 音乃瀬奏さんが退室しました。  (7/15 23:29:28)

獅白ぼたん ◆> ラミちゃんも、とりあえずタオルケットでくるんで、部屋の隅っこに運んでおこうか。   (7/15 23:29:37)

ラプラス・ダークネス> おやすみ〜   (7/15 23:29:38)

尾丸ポルカ> さっきまでは黒服着てポルカの尻尾引っ張ってとか言ってたのに、ラミィが運ばれてちゃワケないでしょ、もー。（ラミィタオルケット巻きをずるずる）   (7/15 23:30:55)

エロガキ♂16Hi> jさんもおやすみ…？マジでただ寝ぼけて打ったのなら傑作すぎるよ…この芸人エルフ…   (7/15 23:31:06)

獅白ぼたん ◆> んでもさ？   (7/15 23:31:45)

エロガキ♂16Hi> ほいさ？   (7/15 23:32:02)

獅白ぼたん ◆> ｊｊって打ってみ っ って出ないんだよね。どういうタイプミスというか、誤操作だろ？   (7/15 23:32:07)

尾丸ポルカ> エッホエッホ？   (7/15 23:32:14)

獅白ぼたん ◆> ラミちゃんが眠いって伝えなきゃ？   (7/15 23:32:30)

ラプラス・ダークネス> っｊ   (7/15 23:33:02)

エロガキ♂13Al> 寝落ちしたらいたずらされるって早くみんなに伝えなきゃ……！   (7/15 23:33:20)

獅白ぼたん ◆> お、ラプちゃんが何か回答をくれる？   (7/15 23:33:24)

ラプラス・ダークネス> キーボードの設定次第で出そう…？   (7/15 23:33:29)

ラプラス・ダークネス> 吾輩、横持ちで2回押したらこれでるっす   (7/15 23:34:01)

尾丸ポルカ> これは……ラミィさんが残されたのはダイイングメッセージ、いえ。これはスリーピングメッセージ。（眼鏡取り出しくいっ）ってこれはかなたにやらせるべきネタだな。   (7/15 23:34:14)

獅白ぼたん ◆> そうか、あたしはキーボード基準だけど、何もキーボードからの打ち込みだけじゃない、か   (7/15 23:34:36)

