/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月23日 01時32分 ～ 2024年11月23日 10時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15R ◆> ぼくはあんまり罰部屋の方は見ないので……   (2024/11/23 01:32:35)
エロガキ♂14MR ◆> やっぱり口楽しんでからおまんこするまで行くには駆け足の必要あるよなー...割とタイピング早い自信ある僕でもギリギリだったし！   (2024/11/23 02:06:11)

エロガキ♂14MR ◆> さーてさて、僕もみんなが戻ってくる前に退散しよーっと！覗きは見つからない内に逃げてこそだよねー！いいネタも手に入ったしー...（じゃーね！ドアバーンと突っ切って脱出！）   (2024/11/23 02:06:41)

おしらせ> エロガキ♂14MR ◆uG.g2yTTU2さんが退室しました。  (2024/11/23 02:06:45)

エロガキ♂15R ◆> …？…！？なんでっ！？…寝相…悪すぎっ…？(またウトウトっ…！部屋の隅に追いやられてるっ！？)   (2024/11/23 02:09:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/23 02:11:11)

エロガキ♂19b ◆> きかーーーーーん！！！   (2024/11/23 02:11:26)

エロガキ♂19b ◆> 女の子を苛めるのはたのしいぞい！   (2024/11/23 02:12:30)

エロガキ♂15R ◆> おかえりなさ〜いっ！   (2024/11/23 02:13:15)

エロガキ♂15R ◆> ナニしたんですかね……   (2024/11/23 02:13:32)

エロガキ♂19b ◆> ちなみにエッチなことは一切してないよ   (2024/11/23 02:13:44)

エロガキ♂15R ◆> 尚更なにしたんですかっ！？   (2024/11/23 02:14:01)

エロガキ♂19b ◆> 苛めました！！   (2024/11/23 02:14:21)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/23 02:14:29)

エロガキ♂15R ◆> …なるほど？(なにも分かってない顔)   (2024/11/23 02:14:56)

胡桃 ◆> ただいまーっと…お利口に待ってた子は1人だけ？   (2024/11/23 02:15:04)

エロガキ♂15R ◆> おかえりなさ〜い！   (2024/11/23 02:15:04)

エロガキ♂19b ◆> 楽しかったね～胡桃ちゃんー！   (2024/11/23 02:15:23)

胡桃 ◆> 果たして次私が最後まで参加するのはいつになるやら…   (2024/11/23 02:15:35)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/23 02:16:16)

胡桃 ◆> こんばんは、るり   (2024/11/23 02:16:43)

栞葉るり> 問題が片付くか、起きなければ明日からでも交尾三昧できるのでは…？   (2024/11/23 02:16:51)

エロガキ♂19b ◆> るりちゃんこんばんは～   (2024/11/23 02:16:58)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/23 02:17:00)

栞葉るり> はい、ご機嫌麗しゅう〜   (2024/11/23 02:17:04)

胡桃 ◆> 問題は私が管理を放り投げない限り片付かないし〜？時間の合う時にお話をーって案件抱えたままもう一週間以上経ってて流石にそろそろ忘れそう…   (2024/11/23 02:18:14)

胡桃 ◆> アフターしちゃってもよかったんだけど…2時じゃん！ってなったよね、   (2024/11/23 02:19:09)

栞葉るり> どうせいつ来るか分からないものなんて忘れちゃって堂主の逆ハーレム部屋とかどうですか？   (2024/11/23 02:19:20)

栞葉るり> え？堂主寝ないですし朝までオールとかでもいけますよね！   (2024/11/23 02:19:42)

エロガキ♂19b ◆> 堂主の欲にまみれた逆ハーレム部屋だって！？   (2024/11/23 02:20:05)

胡桃 ◆> ないない、私は部屋の整理こそ殆どしなくなってきたけど…手が空いたならしたいこともあるし。というか、私が寝ないってイメージまだあるんだ…   (2024/11/23 02:20:56)

胡桃 ◆> 整理…何かやらなきゃって思ってたことがあったはずだけど思い出せない…あれ、あれあれ？私何を忘れてるんだろう…？   (2024/11/23 02:22:31)

栞葉るり> 最近はそもそもこの雑談部屋じゃなくって19が獲物を待ち構える部屋と化してますし…堂主来なければ人も集まらないので、時期的には縮小傾向にあると思いますが…。いえ、寝ないイメージではなく、寝なくても平気なイメージですね！   (2024/11/23
02:23:03)

栞葉るり> んーと、エロガキとのアフターをし忘れてたんだと思いますよ…！   (2024/11/23 02:23:31)

エロガキ♂19b ◆> いやほんとそれはすんません   (2024/11/23 02:23:35)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/11/23 02:23:49)

エロガキ♂13Al> ふう……（罰部屋を出てからの約10分、何をしていたのか……それは君の想像力で補おう）　遊んでくれてありがとう！（すっきりした顔）   (2024/11/23 02:24:32)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/23 02:24:46)

胡桃 ◆> やっほー、さっきぶりだねー。   (2024/11/23 02:25:05)

エロガキ♂19b ◆> さっきぶりー！！   (2024/11/23 02:25:16)

エロガキ♂13Al> とりあえず最初のゲームはできたからよかったってことで……（ちょっともじもじ）   (2024/11/23 02:26:09)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/23 02:26:18)

胡桃 ◆> 私が来なければっていうよりさ、版権さんがあまり来ないからじゃない？別に私1人来なくたって、エロガキ君の需要を満たせるような人がいれば人は来ると思うけど…中々ねー。   (2024/11/23 02:26:28)

エロガキ♂15R ◆> …眠い…寝ます…(ウトウト)   (2024/11/23 02:26:46)

栞葉るり> おやすみなさい〜   (2024/11/23 02:26:58)

胡桃 ◆> 15R君はおやすみなさい、ゆっくり休むんだよ   (2024/11/23 02:27:02)

エロガキ♂19b ◆> お休み、、いい夢を～   (2024/11/23 02:27:05)

エロガキ♂15R ◆> おやすみなさいっ！   (2024/11/23 02:27:07)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/23 02:27:12)

エロガキ♂13Al> そうだそうだ！　深夜まで起きてるとよくないぞ！   (2024/11/23 02:28:00)

栞葉るり> それはそうなんです。定期的に来るのが堂主だから堂主が来ないと〜ってなったわけでして。最近は星さんすら見ませんし、エロガキは相変わらず増える一方で…、   (2024/11/23 02:28:17)

胡桃 ◆> 13君、夜更かししてる悪い子だーれだ！   (2024/11/23 02:29:10)

栞葉るり> 版権の人たちも用事はありますから…。エロガキが用事ないみたいな言い方になりますけども！   (2024/11/23 02:29:34)

胡桃 ◆> その定期的に来るっていうのももうしなくてもいいかなぁって思ったりするけどね〜…。   (2024/11/23 02:29:41)

エロガキ♂19b ◆> 基本用事無いからなーんもいえないや   (2024/11/23 02:30:06)

栞葉るり> そしたら、19の部屋に名前を変えてトンズラしますか！   (2024/11/23 02:30:10)

胡桃 ◆> 星かぁ…少し話したいことがあるんだけど、確かに見かけないね   (2024/11/23 02:30:21)

エロガキ♂19b ◆> 誰も来なくなっちゃうよ！！というか、俺もさすがに来すぎなのは理解してるから減らす予定よ   (2024/11/23 02:30:49)

エロガキ♂13Al> 悪い子だから夜更かししてもいいってことだし……！　エロガキしたいエロガキはたくさんいるのかもしれない……。   (2024/11/23 02:30:49)

胡桃 ◆> 管理はちゃんとしておくよ？ただ顔出す必要性みたいなのを少し感じなくなっただけかな   (2024/11/23 02:31:06)

栞葉るり> 賑やかじゃないならトラブルも起きませんしね。火のないところで煙なんか立ちませんから   (2024/11/23 02:31:42)

胡桃 ◆> はー…13君はまた今度意地悪してあげないとだね。……あれ？さっきって私一応勝負には負けてるんだった。   (2024/11/23 02:31:45)

栞葉るり> ここでエロガキやるより普通にやり部屋に〜って目覚めた人がいるのかも知れませんね…割とそれは真理ではあるんですけども   (2024/11/23 02:32:34)

エロガキ♂13Al> ……そうだった！　俺が勝ったんだから次はもっと過激なことをさせてやる！　覚えてろ！（？）   (2024/11/23 02:32:50)

胡桃 ◆> るりもしょっちゅうナンパするなら〜みたいな発言もしてたもんね   (2024/11/23 02:33:12)

栞葉るり> ええ、わたくしならそうします。ここでボヤくくらいならその時間で探しますし！   (2024/11/23 02:33:57)

胡桃 ◆> その次が来る頃に君はどれだけの戦いを得て男の子として成長するのか…楽しみにしたらいいのかどうか…(にまにま、)   (2024/11/23 02:34:14)

栞葉るり> (最近戦いの頻度が露骨に落ちている事実から目をそらす犬)   (2024/11/23 02:34:57)

胡桃 ◆> それはそれで一部の人にとって安心できるからいいんじゃないの？   (2024/11/23 02:35:37)

エロガキ♂13Al> むむぅ……！（にまにましている口元見るだけでもちょっと下半身がもじもじ）　ま、まあ、遊ぶのはタイミングとか調子の波もあるし。相手のいることだから気持ちを変えれば何とかなるってわけでもないんだからあまり気負いすぎなくてもいい……と思う！  
(2024/11/23 02:36:03)

栞葉るり> 飽くまで考え方の一つですからねぇ、ここだと勝負に勝てば好き勝手できるからそういうのが好きならタダのナンパじゃ興奮しないとかあるかもしれませんし…ヒトの性癖も様々ですから   (2024/11/23 02:36:41)

胡桃 ◆> 一応聞いてみるけど、最近特に何もないのにるりが顔を出してくれる理由は？   (2024/11/23 02:37:40)

胡桃 ◆> 13君は思春期男子みたいなことになっちゃってるし、19bさんは……凍りついてるし。   (2024/11/23 02:38:07)

おしらせ> ナリタトップロードさんが入室しました♪  (2024/11/23 02:38:44)

エロガキ♂19b ◆> 大丈夫大丈夫、、まだ凍るには早いよ～   (2024/11/23 02:38:47)

胡桃 ◆> こんばんは〜？   (2024/11/23 02:38:59)

エロガキ♂19b ◆> こんばんは～   (2024/11/23 02:39:16)

ナリタトップロード> こんにちは！こんばんわ！おはようございます！初めまして〜！   (2024/11/23 02:39:32)

栞葉るり> 暇つぶし、ですね。まぁ、わたくしが来ると露骨に口数の減る人もいますけども(ちら)   (2024/11/23 02:39:54)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/23 02:40:03)

エロガキ♂13Al> みたいっていうか……いや、俺はそういうんじゃないし！（なんでもそういうんじゃないしって言う人）　こんばんは。深夜になると悪い子のたまり場になるのかもしれない……？   (2024/11/23 02:40:07)

エロガキ♂19b ◆> なーんのことだか？(グフゥ...)   (2024/11/23 02:40:48)

栞葉るり> …なんでアイキュー1026なんでしょつ(ちら)   (2024/11/23 02:42:30)

栞葉るり> ああ、賢さS…？(賢さ1000相当)   (2024/11/23 02:43:16)

胡桃 ◆> るりともここしばらくお茶もしてないね〜…まぁ、今週とか何も無かったわけだけどさ。   (2024/11/23 02:43:22)

栞葉るり> する必要がない、ということは平和な証拠ですよ。ここでお茶すすりましょう   (2024/11/23 02:43:48)

ナリタトップロード> 金玉キラキラ金曜日明けの土曜日はわくわくしますね！本当は寝たかったのですが隣の部屋がうるさくて眠れません！こんな気分の時は、隣人の車のドアでサッカーの練習をしたくなりますね！   (2024/11/23 02:43:50)

栞葉るり> なんだこいつ？！ほんとに賢さSなんですか？！   (2024/11/23 02:44:18)

エロガキ♂19b ◆> IQが高いとは思えない言動...   (2024/11/23 02:44:24)

エロガキ♂13Al> なんか強火の怒りが出てる……！　ウマ娘の脚力でやったら向かいの壁までドアが吹っ飛びそうな……   (2024/11/23 02:45:22)

ナリタトップロード> (実は1026ではなく……おっと、ネタバレはここまでで！続きは1026円の情報料をいただにますね！)   (2024/11/23 02:45:25)

栞葉るり> (面倒なので1100円を握らせ。お釣りはいりませんので)   (2024/11/23 02:45:54)

胡桃 ◆> (ほんのすこーしお仕事…お私事かな、)   (2024/11/23 02:47:06)

エロガキ♂13Al> もういっかい金玉ってゆっくりねっとり言ってください（とつぜんのエロガキぶりを発揮！）   (2024/11/23 02:47:27)

栞葉るり> (葬式が入ったんですね…なんまいだぶつ)   (2024/11/23 02:47:29)

エロガキ♂19b ◆> (いってらっしゃい～)   (2024/11/23 02:47:39)

胡桃 ◆> …子供の教育に悪そうなことしてる絵面すぎない？   (2024/11/23 02:47:40)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/23 02:47:47)

ナリタトップロード> 隣の方がハンハンと過呼吸なのか知りませんが妙にうるさいので、風紀の乱れが嫌いな私が実力行使で制裁しようとしたところ、相手にしてもらえなかったので代わりにお車にお話を聞いていただこうと思ったわけです   (2024/11/23
02:47:48)

エロガキ♂14C ◆> 寝るつもりが寝付けなくて軽く覗くつもりが落ちてきてしまいました。こんばんは。（お目目ゴシゴシ）   (2024/11/23 02:48:27)

栞葉るり> で、その車はなんと？   (2024/11/23 02:48:32)

ナリタトップロード> 1100円ということは、おつりは126円です！どうぞ！   (2024/11/23 02:48:39)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/23 02:48:41)

胡桃 ◆> 良い子はねる時間だよ〜？   (2024/11/23 02:48:44)

栞葉るり> うーん…？あ、はい…   (2024/11/23 02:49:02)

胡桃 ◆> (るりが困ってる…いや、呆れてるのかな？)   (2024/11/23 02:49:22)

エロガキ♂13Al> とうとうツッコミを諦めちゃった……   (2024/11/23 02:49:26)

ナリタトップロード> こんばんわ！良い子は寝る時間です！悪い子は今から私と三笘薫のセンタリングごっこ1026回です！   (2024/11/23 02:49:30)

エロガキ♂14C ◆> 今夜だけは悪い子だよ。たぶん。そして1026は……10はとー、だよね。トプロおねーさん？   (2024/11/23 02:49:44)

エロガキ♂19b ◆> ここによい子はいないから問題ないと思うけどねぇ   (2024/11/23 02:49:47)

胡桃 ◆> (私まで悪い子扱いされてない…？)   (2024/11/23 02:50:03)

エロガキ♂13Al> とつぜん悪い子やめたくなってきた   (2024/11/23 02:50:03)

ナリタトップロード> そうです！よくわかりましたね！もしかして頭のいい子なのでは！？   (2024/11/23 02:50:40)

胡桃 ◆> じゃああと10分居ないに寝ない子達は私と一緒に夜の墓地へ行こう！大丈夫！！私がいるから！！   (2024/11/23 02:50:49)

胡桃 ◆> (……置き去りにして帰るけど、)   (2024/11/23 02:51:12)

栞葉るり> (…ものは試しとトップロードさんに鉄球なげてみます)   (2024/11/23 02:51:28)

エロガキ♂13Al> 夜の墓地ってエロい意味！？（夜のってついたらなんでもエロいのかもしれない可能性に賭けちゃう。だってエロガキだから）   (2024/11/23 02:51:35)

エロガキ♂14C ◆> わーい、ほめられたー。   (2024/11/23 02:51:43)

エロガキ♂19b ◆> 夜の墓地～...怖いのは余り好きじゃないんだよなぁ   (2024/11/23 02:52:00)

エロガキ♂14C ◆> なになに？肝試しか何か？<夜の墓場   (2024/11/23 02:52:02)

胡桃 ◆> こわ〜いかもよ〜？(にまにま、)   (2024/11/23 02:52:06)

栞葉るり> ちなみにラブホの廃墟は高確率で心霊スポットになりますよ   (2024/11/23 02:52:08)

胡桃 ◆> えっちな事してる心霊現象とか！？   (2024/11/23 02:52:28)

胡桃 ◆> ベッドがギシギシ鳴ってたり！！   (2024/11/23 02:52:40)

栞葉るり> よし、堂主とラブホの廃墟で個撮しますか！   (2024/11/23 02:52:53)

エロガキ♂13Al> 別に怖いのなんか怖くないし！（自己矛盾）   (2024/11/23 02:53:13)

ナリタトップロード> やっべ、こいつまともに相手してたらすげーめんどくせーみたいな顔されましたが、安心してください！わりかし眠いのでウッチャン並みにすぐに帰るかもです！   (2024/11/23 02:53:29)

胡桃 ◆> ラブホの廃墟…どんなジャンルになるんだろう   (2024/11/23 02:53:51)

ナリタトップロード> 1:顔面直撃　2:残像だ   (2024/11/23 02:53:52)

ナリタトップロード> 1d2 → (1) = 1  (2024/11/23 02:53:56)

胡桃 ◆> (あ…)   (2024/11/23 02:54:05)

エロガキ♂14C ◆> （あちゃー…）   (2024/11/23 02:54:06)

ナリタトップロード> (ぼがーーーーん！！！)   (2024/11/23 02:54:18)

ナリタトップロード> (ぱたっ)   (2024/11/23 02:54:22)

エロガキ♂19b ◆> (面白い光景が見れそう..)   (2024/11/23 02:54:23)

栞葉るり> まー、わたくしが夜中ほっつき歩いてても幻聴とかなしばりくらいしかないんですよねぇ。ちなみにかなしばりってゆめですよ、ソースはわたくし   (2024/11/23 02:54:26)

おしらせ> ナリタトップロードさんが退室しました。  (2024/11/23 02:54:27)

胡桃 ◆> 息があれば医者を呼んで…あぁ、ダメだった！   (2024/11/23 02:54:42)

エロガキ♂13Al> し、栞葉さん……なんてことを……   (2024/11/23 02:54:54)

栞葉るり> 担架で運ばれていきました   (2024/11/23 02:54:59)

エロガキ♂19b ◆> 遅かったかぁ....さらば...   (2024/11/23 02:55:08)

栞葉るり> ウマ娘より犬の方が優れている、ということです(ふんふん)   (2024/11/23 02:55:20)

胡桃 ◆> 私はそういう体験をすることはないかな。というか、むしろ対応するまでが私の仕事でもあるし。   (2024/11/23 02:55:23)

エロガキ♂14C ◆> 鉄球は……よくないよ、鉄球は。   (2024/11/23 02:55:28)

胡桃 ◆> せめて石だよね〜？   (2024/11/23 02:55:38)

栞葉るり> ウマ娘には鉄球を縮めるくらいの腕力を持った方が居るので…   (2024/11/23 02:56:01)

エロガキ♂14C ◆> そこは座布団だよ   (2024/11/23 02:56:03)

胡桃 ◆> ……あれ？14C君がまだ起きてる！？   (2024/11/23 02:56:29)

エロガキ♂14C ◆> （ぴーす）   (2024/11/23 02:57:02)

栞葉るり> 堂主の交尾に釣られたんですね   (2024/11/23 02:57:08)

胡桃 ◆> 口ではしたけど、本番はしてないよー？(自分の指ちゅるちゅる、)   (2024/11/23 02:57:40)

エロガキ♂19b ◆> あまりにも貴重な光景だから仕方ないね～   (2024/11/23 02:57:40)

エロガキ♂13Al> 貴重だったんだ……（指舐めにむらむら……）   (2024/11/23 02:58:05)

エロガキ♂14C ◆> 僕が釣られるのはおっきいおっぱいだけだよー（例のモーションは…やらない！）   (2024/11/23 02:58:06)

栞葉るり> 最近は貴重でもないような…？(周りの回数減少による相対的な価値の減少みたいなニュアンス)   (2024/11/23 02:59:23)

胡桃 ◆> 今後何があっても14C君だけは甘やかさないようにするよ…(にっこり)   (2024/11/23 02:59:30)

おしらせ> ナリタトップロードさんが入室しました♪  (2024/11/23 02:59:31)

栞葉るり> あ、おきた   (2024/11/23 02:59:43)

ナリタトップロード> 見逃しがありましたので返しに来ました！   (2024/11/23 02:59:43)

胡桃 ◆> あ、生きてた！   (2024/11/23 02:59:43)

エロガキ♂14C ◆> ひえっ！？おばけ！！！   (2024/11/23 02:59:43)

エロガキ♂19b ◆> あ、帰ってきた   (2024/11/23 02:59:45)

胡桃 ◆> ど、どうしたの？   (2024/11/23 03:00:01)

エロガキ♂14C ◆> （堂主はそーいうけどなんだかんだ甘いよね）   (2024/11/23 03:00:20)

栞葉るり> (言葉選んでますからね、わたくしとは違って)   (2024/11/23 03:00:51)

胡桃 ◆> (でも実際最近はそういうことないでしょ？)   (2024/11/23 03:00:52)

ナリタトップロード> 車は悲壮な声を上げて、べこーべこーって泣いていました！ドアが外れてしまいましたが、ガムもくっついていたので結果的に良かったのでは？と考えています(栞葉さん宛て)   (2024/11/23 03:01:06)

胡桃 ◆> (選んでるのに全部壊してくるそこの犬には何か咥えさせた方がいいかな…)   (2024/11/23 03:01:25)

エロガキ♂13Al> （雑談って雑なこと言ってもいいって意味なんだなーと思っている）   (2024/11/23 03:01:36)

エロガキ♂14C ◆> （るりおねーさんの考えてる甘いと僕の言いたい甘いにズレがあるー…）   (2024/11/23 03:01:41)

栞葉るり> …あー、警察行きますね、その現場に…！   (2024/11/23 03:02:05)

ナリタトップロード> きんたまぁあぁあぁあぁあぁ〜(ねっとりというかビブラートとかこぶしみたいな何か)   (2024/11/23 03:02:15)

エロガキ♂14C ◆> 車ってべこべこ泣くんだ……（そこじゃない）   (2024/11/23 03:02:19)

胡桃 ◆> ……警察ならるりの仕事じゃないの？   (2024/11/23 03:02:20)

ナリタトップロード> ……げっほ！げっほ！！   (2024/11/23 03:02:29)

胡桃 ◆> こーら！何時だと思ってるの！？(大声、)   (2024/11/23 03:02:37)

栞葉るり> 連絡来てないので管轄外です   (2024/11/23 03:02:37)

胡桃 ◆> こ、これが警察の実態…？   (2024/11/23 03:02:53)

エロガキ♂13Al> ……そういうことを求めてたんじゃないけど……言ってくれたことはありがとう！   (2024/11/23 03:03:05)

エロガキ♂19b ◆> 近所迷惑～...そして汚職警官？   (2024/11/23 03:03:07)

エロガキ♂14C ◆> そもそも取り締まるべき立場がやらかしてたら元も子もない…！   (2024/11/23 03:03:07)

栞葉るり> ええ、神奈川県警は893の手下ですからね   (2024/11/23 03:03:14)

胡桃 ◆> でも管轄違うなら仕方ないよね！   (2024/11/23 03:03:15)

ナリタトップロード> リクエストがあったのです、ラジオネーム、エロガキおとこ14Cさんからでした   (2024/11/23 03:03:15)

エロガキ♂14C ◆> してないよ！！！<リクエスト   (2024/11/23 03:03:34)

胡桃 ◆> (酷いラジオネーム…)   (2024/11/23 03:03:35)

エロガキ♂13Al> 女の子に金玉って言わせたいなんてエロガキだなあー。（濡れ衣を着せた！）   (2024/11/23 03:04:04)

ナリタトップロード> 神奈川県警といえば！よく車の一時停止する場所から見えない陰に隠れて鼠取りしてはお小遣い稼ぎしてますね   (2024/11/23 03:04:23)

エロガキ♂19b ◆> どうせいうならもう少し恥ずかしがりながらいってほしいよなぁ...   (2024/11/23 03:04:41)

栞葉るり> 正直、可愛い子にはちんちんって言って欲しさありますよね。ちんぽって言われると急に可愛げがなくなりますが。まぁ、そこは個人差あると思うので…   (2024/11/23 03:04:58)

エロガキ♂14C ◆> （おねーさんたちに金○って言われてもあまり嬉しくない感）   (2024/11/23 03:05:14)

胡桃 ◆> 淫語あるあるだね…＞おちん話   (2024/11/23 03:05:31)

栞葉るり> そのお小遣いで汚職してるんだからわけないですよね！   (2024/11/23 03:05:39)

胡桃 ◆> ……あーー！！14C君！！   (2024/11/23 03:05:45)

エロガキ♂14C ◆> はい、14Cです   (2024/11/23 03:05:53)

胡桃 ◆> 今度…いつか、君のアレもにぎにぎしてあげるからね……   (2024/11/23 03:06:20)

ナリタトップロード> きんたまってフレンドリーショップで、換金するアレですよね？   (2024/11/23 03:06:32)

エロガキ♂13Al> 下品さを強調するための淫語なんだけどみんな同じように淫語言ってると個性がなくなるから、ちゃんとその人がどういう経緯でそういう呼び方するかを考えて言わせてほしいよね。でも、「ちんぽって言うんだよ」って吹き込まれて言わせられるみたいなそういう流れが前にあっての淫語は染めてる感じもしていいと思う。（早口）
  (2024/11/23 03:06:57)

胡桃 ◆> ポケモ〇になかったっけ？   (2024/11/23 03:07:03)

栞葉るり> (アレ…アレとは。あ！噂に聞くやおい穴！！)   (2024/11/23 03:07:03)

栞葉るり> おじさんのでかいきん◯たまですか？   (2024/11/23 03:07:24)

エロガキ♂14C ◆> （なんともいえない面持ち）>堂主   (2024/11/23 03:07:31)

胡桃 ◆> そういう反応すると思って言ったの♡＞14C君   (2024/11/23 03:07:51)

栞葉るり> 黒い任天堂いいですよね…(クリボーに何を考えてるの？を使用すると…)   (2024/11/23 03:08:01)

ナリタトップロード> 私は淫語連発はすごくすごい好きですね！   (2024/11/23 03:08:03)

エロガキ♂14C ◆> 5000円に換金出来る金の玉って……今グラム幾らだっけ（リアリスト）   (2024/11/23 03:08:23)

エロガキ♂19b ◆> 深夜にする話ばっかだからなんにもいえねえや(いいぞもっとやれ)   (2024/11/23 03:08:26)

ナリタトップロード> おじさんのでかいきん○たま欲しいです…   (2024/11/23 03:08:34)

エロガキ♂13Al> えっちな意味に見せかけてどうせ「アレ」ってお手々のことだよってお手々をにぎにぎするだけなんだ……！　いや……でもお手々にぎにぎするのもエッチな気がしてきた……   (2024/11/23 03:08:46)

胡桃 ◆> …(すっごいニヤけた顔で片手を見せて何か握るような動き…にぎにぎ、)   (2024/11/23 03:09:55)

栞葉るり> 実際にトップロードさんは汚喘ぎしそうですね！   (2024/11/23 03:09:56)

エロガキ♂14C ◆> にぎにぎよりなでなでの方がいい（どことはいわない）   (2024/11/23 03:10:04)

おしらせ> 沖田総司さんが入室しました♪  (2024/11/23 03:10:16)

胡桃 ◆> 濁点喘ぎのトップってこと…？   (2024/11/23 03:10:16)

エロガキ♂13Al> 「の」を伏せることでふつうに淫語になってる……！   (2024/11/23 03:10:17)

沖田総司> 「アレ」と言うのは「あなたの生殺与奪の権」以外にあるんですか？   (2024/11/23 03:10:23)

エロガキ♂14C ◆> なんか怖いお姉さんが来たんですが。   (2024/11/23 03:10:35)

エロガキ♂19b ◆> 時間にしてはめちゃくちゃ集まるねぇ...こんばんは   (2024/11/23 03:10:44)

エロガキ♂13Al> ぐむむむ……！（感触を思い出して内股）　それは握らせちゃダメなやつじゃないかな……！？   (2024/11/23 03:10:49)

胡桃 ◆> 生殺与奪の権を他人に握らせた怒られちゃうよ？こんばんは！   (2024/11/23 03:10:50)

ナリタトップロード> その全力で頭悪くなって喘いでる感が爽快ですね！   (2024/11/23 03:10:51)

栞葉るり> (実は14の背中にはみんながドン引きするくらいにでかいイボがあってぇ…)   (2024/11/23 03:10:53)

沖田総司> あ、どうも。一般通過新撰組です。（ぺこり。）   (2024/11/23 03:10:57)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/23 03:11:09)

エロガキ♂14C ◆> っていうか要するにそれってタマ取るぞ、だよね！？こんばんはー。   (2024/11/23 03:11:15)

ナリタトップロード> 汚い喘ぎをして喉を鍛えてます！   (2024/11/23 03:11:15)

エロガキ♂14C ◆> （るりさん。）   (2024/11/23 03:11:29)

