/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月12日 22時15分 ～ 2024年11月13日 10時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラウンさんが入室しました♪  (2024/11/12 22:15:29)
クラウン> 楽しみしてますは...では、すこしいってきますわね   (2024/11/12 22:29:08)

おしらせ> クラウンさんが退室しました。  (2024/11/12 22:29:11)

エロガキ♂15M ◆> ん、いってらっしゃ～い(手をふりふり〜♫)   (2024/11/12 22:29:52)

クラリス ◆> ご健闘を〜   (2024/11/12 22:30:13)

クラリス ◆> （あっ、チェンジしてる）   (2024/11/12 22:31:05)

エロガキ♂15M ◆> これで2vs2、楽しい戦いになってきたねぇ   (2024/11/12 22:31:08)

エロガキ♂15M ◆> (友人が多いみたいだね！)   (2024/11/12 22:31:25)

クラリス ◆> 3vs3にしたかったんですけど、古戦場ぽーいして参戦すると出目が朽ちる呪いに掛かっているので（しくしく）   (2024/11/12 22:32:33)

エロガキ♂15M ◆> なんやそれ、嫌な呪い……古戦場は特級呪物だった？   (2024/11/12 22:33:30)

クラリス ◆> ですね（遠い目）≫特級呪物   (2024/11/12 22:34:07)

クラリス ◆> あ、2vs3   (2024/11/12 22:35:17)

エロガキ♂15M ◆> いや、そこは否定しよ……ほら、呪いが強すぎて効果が裏返ってるだけかもしれないし！   (2024/11/12 22:35:19)

エロガキ♂15M ◆> あ、ほんとだ   (2024/11/12 22:35:35)

クラリス ◆> これは対策しなければ   (2024/11/12 22:36:46)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/12 22:36:52)

エロガキ♂15M ◆> う〜ん、場合によってはボクの友達に連絡を……   (2024/11/12 22:36:56)

エロガキ♂15M ◆> と思ったら行っちゃったぁ！？   (2024/11/12 22:37:16)

エロガキ♂15M ◆> ありゃ…完全に取り残されちゃったよ…   (2024/11/12 22:37:57)

エロガキ♂15M ◆> みんながんばれ〜   (2024/11/12 22:39:03)

エロガキ♂15M ◆> いい勝負してるじゃん♪   (2024/11/12 22:39:55)

エロガキ♂15M ◆> 決着…！   (2024/11/12 22:41:19)

エロガキ♂15M ◆> やっぱラストまで縺れ込む戦いって面白いね☆   (2024/11/12 22:43:22)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/12 22:44:11)

クラリス ◆> なんの成果も！ 得られませんでした！   (2024/11/12 22:44:30)

エロガキ♂15M ◆> おつかれ〜。よわよわだったねぇ〜(ﾌﾟｰｸｽｸｽ♡)   (2024/11/12 22:44:55)

クラリス ◆> これが古戦場の呪い…（ぐうの音も出ない）   (2024/11/12 22:45:43)

エロガキ♂15M ◆> やってたんか〜い…   (2024/11/12 22:46:11)

クラリス ◆> 止めていきましたよ！   (2024/11/12 22:46:45)

エロガキ♂15M ◆> え〜……遅効性の毒的な？   (2024/11/12 22:47:24)

クラリス ◆> 昨日もこんな感じでした（支援不発からのフル参戦爆発）   (2024/11/12 22:48:22)

エロガキ♂15M ◆> んにゃ、今度はボクが行ってみよっかなぁ♪さっき出遅れたしね。(人は集まってくれるのか…)   (2024/11/12 22:48:47)

エロガキ♂15M ◆> うわぁ…目も当てられない   (2024/11/12 22:49:03)

エロガキ♂15M ◆> んじゃ、ばいば〜い   (2024/11/12 22:49:18)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/12 22:49:26)

クラリス ◆> …見てると入りたくなるので、いったん失礼します！   (2024/11/12 22:50:53)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/12 22:51:07)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/12 23:06:44)

胡桃 ◆> やっほー！私だよ〜   (2024/11/12 23:07:05)

胡桃 ◆> あ、反応は極めて遅いと思うけど…ちょっと居座ってる的な感じかな。   (2024/11/12 23:07:33)

おしらせ> キョン子さんが入室しました♪  (2024/11/12 23:16:55)

キョン子> こんばんは   (2024/11/12 23:17:03)

胡桃 ◆> やっほー。私がひとりでのんびりしてるところに来れるなんて中々の運を持ってるようだね！(お手ひらひら、)   (2024/11/12 23:17:38)

おしらせ> 中野 一花さんが入室しました♪  (2024/11/12 23:18:18)

キョン子> その運にあやかれたのか、勝って来ました。   (2024/11/12 23:18:24)

キョン子> こんばんは   (2024/11/12 23:18:38)

胡桃 ◆> お〜、一花さんいらっしゃーい！   (2024/11/12 23:18:48)

おしらせ> エロガキ♂10sxさんが入室しました♪  (2024/11/12 23:18:50)

中野 一花> と 、こんばんは - 。お叱りを受けに来ました .. 。（ しょぼん 。）   (2024/11/12 23:19:02)

胡桃 ◆> キョン子さんは何に勝ってきたの？勝負かな？   (2024/11/12 23:19:06)

胡桃 ◆> お叱りするようなことはないよ、一応様子は眺めてたけどね。   (2024/11/12 23:19:21)

エロガキ♂10sx> こんばんは～。部屋主さん先程は忠告等ありがとうございました   (2024/11/12 23:19:26)

キョン子> アナザー部屋で12Ω君に勝って来ました。   (2024/11/12 23:19:37)

胡桃 ◆> ううん、いいのいいの！多目的のリンク外したから、多分わからない人にはわからないし。＞10sx君   (2024/11/12 23:19:57)

胡桃 ◆> そういうそとね！つまり…あ、もしかしてあっちのお部屋覗けば12Ω君のあられも無い姿を見れる…？可哀想だからやめとこっ！   (2024/11/12 23:20:43)

エロガキ♂10sx> そう言っていただけると助かります。以後、使用等は気を付けますね   (2024/11/12 23:21:45)

中野 一花> ル - ル 良く見るべきだって 反省してます っ 。相性の件 も .. 自分が不甲斐ない 。（ 涙 、）   (2024/11/12 23:22:10)

胡桃 ◆> 一応多目的はここ！(今度リンク貼れるように…くっ、文字数の戦いが…！！)   (2024/11/12 23:22:58)

胡桃 ◆> https://chat.luvul.net/ChatRoom?room_id=400735 [https://chat.luvul.net/ChatRoom?room_id=400735]   (2024/11/12 23:23:02)

胡桃
◆> 相性はさ〜…こればっかりは仕方ないよ。むしろあそこであー言える人の方が凄いと思うよ？相手の…子がここに居るから隠しても意味ないけど…相手の人には残念なことだけど、相性悪くて盛り上げられそうにないって思ってるのに無理して付き合ったりして露骨に表現力とか悪くなるより私はいいと思う。＞一花さん
  (2024/11/12 23:25:00)

エロガキ♂10sx> 多目的部屋案内してもらいありがとうございます部屋主さん   (2024/11/12 23:25:05)

胡桃 ◆> ただ、このお部屋って私の管理してないところだから…そこだけ気をつけて。家主さん…そういえば最近私は見てないかも＞10sx君   (2024/11/12 23:25:55)

胡桃 ◆> (そしてキョン子さんが沈んだ…冬場の寝落ちは風邪をくからみんな気をつけるんだよ、)   (2024/11/12 23:26:21)

胡桃 ◆> (いや…！よく見たら寒そうな格好してる！！)   (2024/11/12 23:26:37)

おしらせ> シンデレラさんが入室しました♪  (2024/11/12 23:26:59)

胡桃 ◆> 出た！一番美しい人！   (2024/11/12 23:27:21)

キョン子> いや、なんか話をどう展開しようかと   (2024/11/12 23:27:38)

エロガキ♂10sx> はい、わかりました。そしてこんばんは～   (2024/11/12 23:27:48)

シンデレラ> こんばんは...ええそうよ...世界で一番美しいのは私よ♡   (2024/11/12 23:28:02)

胡桃 ◆> キョン子さんは話題の展開に難儀中…あ、もしかして私が小難しい話をしてるからかな？ごめんっ！＞キョン子さん   (2024/11/12 23:28:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 23:28:54)

胡桃 ◆> そしてご覧の通り！雑談に関してはそこそこ反応が早いから1人でログを進めちゃう私は〜…お返事待ちするね♪   (2024/11/12 23:29:04)

キョン子> そんなことはなく、アナザー罰部屋には罰部屋ルールのリンクなかったなぁ   (2024/11/12 23:29:23)

エロガキ♂10sx> 14Cさん､さっきぶり～   (2024/11/12 23:29:24)

シンデレラ> この中で....寒そうな格好は私が該当するわね♡美しさに寒さは関係ないのよ♡   (2024/11/12 23:29:44)

エロガキ♂14C ◆> （なんか変な入り方をしようか一瞬悩んでしまったあたりもうダメかもしれない）こんばんは&さっきぶりですー。   (2024/11/12 23:29:50)

胡桃 ◆> (罰部屋のルール？堂主は首を傾げた、)   (2024/11/12 23:30:00)

中野 一花> 胡桃さん 、わざわざ ありがとう っ 。ル - ルは良く見て 部屋を使うべきだね .. 。以後 気をつけます っ 。.. 黙って 居なくなるなんて 失礼なことはしたくなかったし 。で も切り出すのには勇気いるね っ 。.. とと
、長々とお話すると胡桃さんにも迷惑かけるからここまでに っ 。( ) あらら 、お二人とも ども ~ 。（ 片手 ひら ひら ~ 、）   (2024/11/12 23:30:23)

キョン子> 変な入り方？　十数人のマッチョの担いだお神輿の上に乗って登場するとか……   (2024/11/12 23:30:50)

エロガキ♂14C ◆> 一花おねーさん折角誘ってくれたのにごめんねー。また誘ってくれると嬉しいなっ！   (2024/11/12 23:31:01)

シンデレラ> 一花さん...さっきぶりですわね♡   (2024/11/12 23:31:31)

エロガキ♂14C ◆> （アナザーは姉妹部屋ではあるけど管理人は別だから……）   (2024/11/12 23:31:36)

キョン子> 通常の罰部屋にはリンクがあったから   (2024/11/12 23:31:46)

キョン子> あ、そうなんだ……知らなかった＞管理者が違う   (2024/11/12 23:32:20)

中野 一花> 気にしないで - っ 、お二人が楽しめたのならわたしはなによりだ っ ♡ 楽しんだ みたいだし 。♡（ ニマニマ 、）   (2024/11/12 23:32:42)

おしらせ> ダチカ ◆RIdwOkyiY4q1さんが入室しました♪  (2024/11/12 23:33:06)

エロガキ♂10sx> 一花お姉さんは気にしないでね。相性悪いのわかったわけだし、これからは避ければ良いだけなので   (2024/11/12 23:33:06)

エロガキ♂10sx> こんばんは～   (2024/11/12 23:33:13)

胡桃
◆> はぁ〜…！一花さんがすっごく良い子で私助かっちゃう！(お手て握っていい？ぎゅって、痛くしないから！)まぁルールはさ、あれだけ色々書いてあると見落としもあるだろうし…私がいろいろ清書しないとだから仕方ない！私も都度告知はするつもりだけど、今回のことはもう水に流して遊べばおっけー！え、私はお喋り好きだよ？困った時の相談でもいいし、雑談でも！でも、お気遣いありがとね＞一花さん
  (2024/11/12 23:33:18)

胡桃 ◆> やっほー！ダチカさん！   (2024/11/12 23:33:27)

エロガキ♂14C ◆> なんかニマニマしてる……っ！（なんか恥ずかしいから一花おねーさんぽふぽふしておく）   (2024/11/12 23:33:31)

エロガキ♂14C ◆> 噂をすればアナザーの管理人さんだー。こんばんはーっ。   (2024/11/12 23:33:45)

シンデレラ> 私の今日の目的は達成したは♡....あとはゆっくり14c君を....ふふっ...それに他の子もこれからがとても楽しみね♡   (2024/11/12 23:33:46)

中野 一花> シンデレラさん さっきぶり ~ ♡   (2024/11/12 23:33:58)

胡桃 ◆> そう！何を隠そうアナザー部屋と【仮】の管理人は違うの！(どどん、)   (2024/11/12 23:34:09)

キョン子> なんだってー？！＞管理人が違うの！   (2024/11/12 23:34:41)

エロガキ♂14C ◆> （別に隠してもないよね、って言ったらぺしってされそうだから言わないね！）   (2024/11/12 23:35:13)

ダチカ ◆> こんばんはね！時間が無いからまとめての挨拶で許して…。ルールについては今度擦り合わせをしたいと思ってるから、胡桃は今度時間を貰っていいかしら？   (2024/11/12 23:35:40)

キョン子> 管理人が違うならズレかあって当然か   (2024/11/12 23:36:18)

エロガキ♂14C ◆> ゆっくりと……僕に何をする気なのさ、シンデレラおねーさんは……！   (2024/11/12 23:36:46)

エロガキ♂10sx> なっ、なっ、なっ、なっ、なんだって～（部屋主さんが違う）   (2024/11/12 23:36:55)

胡桃 ◆> 話すと長くなりかねない色々な事情があるんだよね〜＞キョン子さん   (2024/11/12 23:36:56)

胡桃 ◆> 皆の反応が…大袈裟すぎる！   (2024/11/12 23:37:11)

胡桃 ◆> っと、時間ならいつでもいいけど…都合付くタイミングがいいかもね。   (2024/11/12 23:37:42)

中野 一花> あ 、う 、うん っ もちろん !!（ 胡桃さんと 握手 っ !! ）あ 、ありがと ~ 。雑談も楽しいし 、なにか相談があれば聞いて ください っ 。（ ← ）（ あと これは流して ください っ ( ) ）   (2024/11/12
23:37:58)

ダチカ ◆> それと、相手のタイプを選びたいって気持ちは解るから部屋のルールを少し変えておいたわ。よかったら読んでおいてね。 ＞一花さん   (2024/11/12 23:37:59)

シンデレラ> ふふっ....美しい方が沢山...勿論私が一番よ♡(巨大な鏡で自分の姿をうっとりと眺めながら)   (2024/11/12 23:38:04)

キョン子> (コッソリと写し鏡になるように鏡を配置していく)   (2024/11/12 23:38:58)

シンデレラ> それは...おたのしみよ♡♡勝った時に...ね♡＞14c君♡   (2024/11/12 23:39:01)

ダチカ ◆> ありがと…♪本当は今したいとこだけど…今日はもう寝ないといけないからまた話しかけるわね？いつも手間をかけて悪いわね…。＞胡桃   (2024/11/12 23:39:29)

エロガキ♂14C ◆> （キョン子おねーさんやっぱそれやるよね！？）   (2024/11/12 23:39:29)

中野 一花> ダ 、ダチカさん っ !! あの 、えっと .. 数日前からの新入りなんだけど 、た っ くさん 使わせて もらって ます っ !!（ ぺこり 、）ル - ルまで .. っ !? 読んで きます っ !!   (2024/11/12
23:39:50)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/12 23:40:02)

エロガキ♂10sx> 14Cさんは様々なお姉さんに狙われて人気者だね～   (2024/11/12 23:40:02)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/12 23:40:07)

エロガキ♂10sx> こんばんは～   (2024/11/12 23:40:16)

胡桃 ◆> まっ！部屋によって嗜好の差ができたり、ルール違ったりもあるけど…少なくともアナザーと【仮】に関しては私とダチカさんは家主同士で認知してる仲だから、これからも協力関係は…続く！かもしれない！！   (2024/11/12 23:40:26)

胡桃 ◆> そしてこんばんは！   (2024/11/12 23:40:33)

エロガキ♂14C ◆> ダチカおねーさんもお疲れ様です……僕も時々使わせて頂いててとても感謝です（ぺこり）   (2024/11/12 23:40:36)

キョン子> こんばんは、はじめましてかな   (2024/11/12 23:40:37)

エロガキ♂14C ◆> 15Rくんこんばんはー   (2024/11/12 23:40:42)

シンデレラ> あら...貴女も、、そこの貴女もそして女の人も私は狙ってるわよ♡   (2024/11/12 23:40:53)

シンデレラ> こんばんは♡   (2024/11/12 23:41:04)

エロガキ♂14C ◆> （果たして狙われてるのか遊ばれてるだけなのか。）   (2024/11/12 23:41:07)

ダチカ ◆> いいわよいいわよっ//これからも好きに使って？というか…使ってくれてありがとうね？＞一花さん   (2024/11/12 23:41:15)

ダチカ ◆> こんばんはね！   (2024/11/12 23:41:27)

胡桃 ◆> ダチカさんはお休み？それならまた今度だね、了解！ゆっくり休んでね〜♪   (2024/11/12 23:41:32)

エロガキ♂15R ◆> 始めましての方がいっぱいだっ！   (2024/11/12 23:41:35)

キョン子> 私は、この中では確実に地味系女子だがな   (2024/11/12 23:41:39)

ダチカ ◆> かもしれないって何よ！？普通に続くわ！   (2024/11/12 23:41:44)

胡桃 ◆> (てへ、)   (2024/11/12 23:41:52)

シンデレラ> 何をいうのかしら？貴女は私の次に美しいわよ？＞キョン子さん♡   (2024/11/12 23:42:30)

胡桃 ◆> キョン子さんは地味ってほど……いや、私達の色が濃いだけだから！！(版権一般人2名、戦う人3名)   (2024/11/12 23:42:45)

エロガキ♂14C ◆> （一般エロガキCでーす）   (2024/11/12 23:43:07)

ダチカ ◆> ええ、長距離の遠征任務があって長居できないのよ…。お言葉に甘えてそろそろ寝ておくわね。じゃあ…お休み！   (2024/11/12 23:43:43)

おしらせ> ダチカ ◆RIdwOkyiY4q1さんが退室しました。  (2024/11/12 23:43:47)

シンデレラ> また合いましょう♡   (2024/11/12 23:44:01)

エロガキ♂14C ◆> おつかれさまでーす。（てふりふり）   (2024/11/12 23:44:04)

エロガキ♂15R ◆> お疲れ様でしたっ！   (2024/11/12 23:44:11)

キョン子> ダチカさんおやすみなさい   (2024/11/12 23:44:14)

中野 一花> （ うるうる 、）.. ダ 、ダチカさ ぁ - ん っ !! .. わ 、もう落ちてる っ 。この感謝を次会った時に伝えよう っ 。うん っ !!   (2024/11/12 23:44:51)

エロガキ♂10sx> 14Cさんはお姉さん方に狙われてる獲物なのでは？   (2024/11/12 23:45:52)

キョン子> あたしもそろそろ……   (2024/11/12 23:46:00)

胡桃 ◆> …(私もそういえばダチカさんに用事あったの思い出した。今の今まで忘れてたけど、まぁ言わなければバレないよね。)   (2024/11/12 23:46:06)

胡桃 ◆> キョン子さんもおやすみ？   (2024/11/12 23:46:18)

キョン子> おやすみなさーい   (2024/11/12 23:46:22)

胡桃 ◆> はーい！おやすみなさい！   (2024/11/12 23:46:31)

おしらせ> キョン子さんが退室しました。  (2024/11/12 23:46:34)

エロガキ♂14C ◆> おやすみなさーい、キョン子おねーさん。   (2024/11/12 23:46:36)

エロガキ♂15R ◆> おやすみなさーい！   (2024/11/12 23:46:46)

シンデレラ> ゆっくりとおやすみなさい♡   (2024/11/12 23:46:46)

中野 一花> キャン子さん おやすみ ~ !!   (2024/11/12 23:47:04)

エロガキ♂14C ◆> （なんかさっきから堂主がボケかましまくるせいですごくツッコみたくなる衝動に駆られてる…！）   (2024/11/12 23:47:10)

エロガキ♂10sx> 退室された方、おやすみなさい   (2024/11/12 23:47:16)

エロガキ♂15R ◆> 今更ですけど…刺激的な格好の方多くなかったですか…！？   (2024/11/12 23:48:09)

エロガキ♂14C ◆> すごく今更だと思うし今も十分すごい格好のおねーさん多いと思うよ。（お茶ずずず）   (2024/11/12 23:49:00)

胡桃 ◆> (ボケ？私、そんなボケをいったいどこで…)   (2024/11/12 23:49:08)

シンデレラ> そうかしら？   (2024/11/12 23:49:12)

エロガキ♂14C ◆> （とりあえず堂主になんでやねん、のモーション空振りさせとこ。深い意図はないよ。）   (2024/11/12 23:50:06)

胡桃 ◆> 凄い格好とは失礼な！私の服装は、普段着でもありながら…仕事着でもあるんだよ？(ほとんど真っ黒な衣装、葬儀を執り行うならではだよね、)   (2024/11/12 23:50:15)

シンデレラ> すごい格好がいいなら....あの子を呼んでこようかしら....   (2024/11/12 23:50:53)

エロガキ♂15R ◆> あの中で言うの恥ずかしかったんです〜っ！…自覚無し…えぇ…？   (2024/11/12 23:51:15)

エロガキ♂10sx> （良いことだから黙っている………）   (2024/11/12 23:51:17)

エロガキ♂14C ◆> かたやおっぱいすごく見えるドレス、かたや生脚……   (2024/11/12 23:51:31)

胡桃 ◆> 思春期真っ只中なお子様の目には毒だったようだね〜♪   (2024/11/12 23:52:01)

エロガキ♂15R ◆> ぼく達が反応しない訳も無く…   (2024/11/12 23:52:06)

エロガキ♂14C ◆> っと、少しお外行ってくるね。もしかしたら帰ってこないかもだけどその時はその時でっ。多分帰ってきそうな気もするけど！   (2024/11/12 23:52:27)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 23:52:33)

胡桃 ◆> いってらっしゃーい！   (2024/11/12 23:52:39)

エロガキ♂15R ◆> いってらっしゃいませっ！   (2024/11/12 23:53:06)

エロガキ♂10sx> 眼福だから毒じゃないかな～？   (2024/11/12 23:53:08)

中野 一花> いってらっしゃ - い っ 。   (2024/11/12 23:53:15)

エロガキ♂10sx> いってらっしゃ～い   (2024/11/12 23:53:22)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 23:54:19)

エロガキ♂19H> こんばんは   (2024/11/12 23:54:25)

シンデレラ> 私もすこしでようかしら...今日はもうこれないけれど...また会えるは♡(一人一人頭を軽く撫でて周り)さようなら♡いい物語だったは♡   (2024/11/12 23:54:30)

シンデレラ> 入れ違いでごめんなさいね♡   (2024/11/12 23:54:43)

おしらせ> シンデレラさんが退室しました。  (2024/11/12 23:54:45)

胡桃 ◆> 私もとりあえずお暇し…雪崩ってあるね〜。こんばんは、そしていってらっしゃーい！   (2024/11/12 23:54:56)

中野 一花> お っ 、シンデレラさんもお疲れ様 ~ 。おやすみなさい っ 。   (2024/11/12 23:55:03)

エロガキ♂15R ◆> お疲れ様でしたっ！   (2024/11/12 23:55:13)

エロガキ♂15R ◆> (すごい格好を掘り返そうとしたぼく、ちょっと悲しいっ)   (2024/11/12 23:56:00)

エロガキ♂10sx> お疲れ様でした～   (2024/11/12 23:56:06)

エロガキ♂10sx> それでは僕もふらふらしてみよっかな？皆様お疲れ様でした～   (2024/11/12 23:58:45)

おしらせ> エロガキ♂10sxさんが退室しました。  (2024/11/12 23:58:51)

胡桃 ◆> 行ってらっしゃーい！   (2024/11/12 23:59:00)

エロガキ♂19H> おやすみなさい   (2024/11/12 23:59:08)

胡桃 ◆> 急に静かになるのも毎度のことだね〜   (2024/11/12 23:59:10)

エロガキ♂15R ◆> おやすみなさーいっ   (2024/11/12 23:59:17)

エロガキ♂19H> タイミングがなぁ   (2024/11/12 23:59:39)

エロガキ♂15R ◆> こんな時間なのも有りますねっ！もう次の日になりますっ   (2024/11/12 23:59:45)

胡桃 ◆> というかなっちゃったよ？   (2024/11/13 00:00:01)

エロガキ♂15R ◆> なっちゃったぁ…   (2024/11/13 00:00:12)

中野 一花> よし っ 。わたし も ち ょ - っ と 落ちて 再浮上しよ っ かな - 。ダチカさんがル - ル変えて くれたみたいだし 、今晩にもう一勝負 っ !! ということで 、みんな お疲れ様 っ ♡   (2024/11/13 00:00:34)

おしらせ> 中野 一花さんが退室しました。  (2024/11/13 00:00:37)

胡桃 ◆> 一花さんもお疲れさま〜！   (2024/11/13 00:01:02)

胡桃 ◆> と、言いたいところだけど…私もそろそろかなぁ。   (2024/11/13 00:01:14)

エロガキ♂15R ◆> お疲れ様でしたっ！…一人、また一人と…   (2024/11/13 00:01:21)

胡桃 ◆> 残りの子達は今日はもう戦わないの？   (2024/11/13 00:02:38)

エロガキ♂19H> 戦いたいですけど   (2024/11/13 00:03:49)

エロガキ♂15R ◆> 長時間の戦い(某ソシャゲ、決戦！星の！)の後で少し疲れた…といいますか…休憩しに来たんですっ   (2024/11/13 00:04:42)

エロガキ♂15R ◆> ぼくと同じ事やってた方が勝負部屋居ますね…うんっ、人増えそうならっ！   (2024/11/13 00:06:20)

胡桃 ◆> うーん…私は最後までいけないけど、せっかくだしサイコロだけ投げてこよっかな。   (2024/11/13 00:06:47)

胡桃 ◆> ちょっと行ってくるね〜♪   (2024/11/13 00:07:01)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/13 00:07:05)

エロガキ♂15R ◆> 行ってらっしゃいませ〜！   (2024/11/13 00:07:14)

エロガキ♂15R ◆> 19Hさんっ勝負部屋、人居るので勝負出来そうですよっ！   (2024/11/13 00:08:30)

エロガキ♂15R ◆> よしっ、行きますかっ！   (2024/11/13 00:11:07)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 00:11:09)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/13 00:13:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/13 00:17:39)

エロガキ♂14C ◆> 所要を終えて結局戻ってきた。そして誰もいなかった！   (2024/11/13 00:17:56)

エロガキ♂14C ◆> ゲーム部屋はいい感じで均衡取れてたからあえて傍観！   (2024/11/13 00:18:15)

エロガキ♂14C ◆> それにしても46ってすごいなぁ……   (2024/11/13 00:19:11)

