/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 01時54分 ～ 2024年10月27日 20時51分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

蛍> 頼まれた事も済んだし…長く居座ってたから私もそろそろ出ないと(すっかり夜遅くなってる事に気が付いて、ちょっと欠伸出ちゃうそう。膝の上に寝かせてたパイモンが寝言零してるのは今日の夜ご飯が美味しかったから、その夢かも。パイモンを大事に抱き抱えて、ソファから立ち上がれば静かなお部屋後にして)
  (2024/10/27 01:54:04)

おしらせ> 蛍さんが退室しました。  (2024/10/27 01:54:09)
ミミ ◆> 人間じゃないよー？ほらー！(耳ぴく、尻尾ゆら、)   (2024/10/27 02:56:17)

カリオストロ> あと、貴方もおねんねの時間じゃないの？   (2024/10/27 02:56:36)

カリオストロ> へぇ、耳と尻尾……ほぅ…（耳と尻尾を弄り倒す）   (2024/10/27 02:57:05)

ミミ ◆> ミミはまだー！お嬢の抱き枕見つけてからかえるー！   (2024/10/27 02:57:06)

カリオストロ> お姫様の抱き枕？その辺の枕じゃ駄目な感じ？   (2024/10/27 02:57:40)

ミミ ◆> いきなり触るのぶぶー！(俊敏に逃げてて、)   (2024/10/27 02:57:54)

カリオストロ> 耳が弱点？尻尾はいいのかしら？   (2024/10/27 02:58:26)

ミミ ◆> うーん？お嬢お話し相手居ないとなかなか寝付けないからー   (2024/10/27 02:58:27)

ミミ ◆> はじめましてだからだめー！(両腕ばってん、)   (2024/10/27 02:58:57)

カリオストロ> お嬢って人が居るのね。でも、貴方みたいな子供が起きているのは教育上よくないから、そのお嬢は怒られちゃうんじゃない？   (2024/10/27 02:59:38)

ミミ ◆> ミミはおねーさんだからだいじょぶだいじょぶー♪それにミミすごーつおいから、   (2024/10/27 03:00:33)

カリオストロ> 初めてだと駄目なのね。じゃあ何回か会ったら触って…息掛けて耳の中まで弄ってあげるわねーん♡   (2024/10/27 03:00:37)

ミミ ◆> なんかこわ！ミミの耳があぶない！？(耳手で隠して、)   (2024/10/27 03:01:35)

カリオストロ> つおいの、そう。でもね、速く寝てたっぷり寝ないと、美容に悪いのよ。今はお肌の美容時間だから、今寝ないとあなたが他の人より老けちゃうのよ？   (2024/10/27 03:01:54)

カリオストロ> 何回か挨拶言葉交わしたらいいってさっき言わなかったかしらー？   (2024/10/27 03:02:37)

ミミ ◆> でもミミはお仕事ちゅーだからもうちょっとしたら帰るよー？   (2024/10/27 03:02:53)

カリオストロ> そね。お仕事より女は肌の事を考えるべきだわ。適当にして寝なさいねー♡   (2024/10/27 03:03:35)

ミミ ◆> いいって言ってないー！あり、、？言ってないよね、？   (2024/10/27 03:03:44)

カリオストロ> 言ったわよー？（有耶無耶にした）   (2024/10/27 03:04:05)

ミミ ◆> お仕事かんりょーしたらミミは弟たちとねるー！   (2024/10/27 03:04:18)

カリオストロ> うん、そうね。ゆっくり寝なさいね。でないと耳弄りにいくからねーん   (2024/10/27 03:04:57)

ミミ ◆> ありぃ、、？(小首傾げてて、)   (2024/10/27 03:05:03)

カリオストロ> あーしもそろそろ寝るかなー。早く寝ないと、100話の怪談話すわよ。   (2024/10/27 03:06:04)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/27 03:06:04)

ミミ ◆> おねーさんにミミの耳狙われてる！   (2024/10/27 03:06:19)

カリオストロ> おつかれちゃーん、ゆっくり寝なねー   (2024/10/27 03:06:31)

ミミ ◆> 怖い話ならミミも得意ー！(にぱ、)   (2024/10/27 03:06:45)

カリオストロ> 次回は摘まむわ！   (2024/10/27 03:06:50)

ミミ ◆> おにーさんまたねー！   (2024/10/27 03:06:52)

カリオストロ> ああ、そう…怪談って言っても…最後まで聞くと呪われる系よ？   (2024/10/27 03:07:21)

ミミ ◆> ミミじゃなくてへータローで我慢するー？   (2024/10/27 03:08:01)

カリオストロ> ヘータロー？   (2024/10/27 03:08:29)

ミミ ◆> 呪われ、、魔女の力とかー？   (2024/10/27 03:08:30)

ミミ ◆> そー！ミミのおとうとー！(←)   (2024/10/27 03:08:43)

カリオストロ> そういう感じよ。最後まで知ったら死ぬ、とかね。   (2024/10/27 03:09:09)

ミミ ◆> うへー、、魔女教ろくなのいねー！   (2024/10/27 03:09:39)

カリオストロ> 駄目ね…ギヴ……眠気が最高！   (2024/10/27 03:09:42)

ミミ ◆> おねーさんもおやすみー！   (2024/10/27 03:09:57)

カリオストロ> うん、おやすみー、速く寝なさいよ？   (2024/10/27 03:10:42)

ミミ ◆> ミミはちゃんとねるからだいじょぶー！   (2024/10/27 03:11:03)

カリオストロ> （うとうとしていたのを目が覚め）うん、そうね、ゆっくりたっぷり寝なさいねーじゃ☆   (2024/10/27 03:12:15)

ミミ ◆> おやすみー！またねー！   (2024/10/27 03:12:36)

ミミ ◆> あり、、？おねーさんだいじょぶー？(杖でつん、)   (2024/10/27 03:16:00)

ミミ ◆> うーん、ミミのローブはおにーさんに使っちゃったからなー、、(じぃ、)   (2024/10/27 03:16:35)

ミミ ◆> んー、こーしよー！(おにーさんの横に並べて、部屋の端っこ押し込んでからローブかけ直して、、ちょっと小さいかも、、？)   (2024/10/27 03:18:34)

ミミ ◆> ミミはおねーさんだからね、面倒みるのもお仕事だからね！(どやぁ、)   (2024/10/27 03:19:40)

ミミ ◆> みんなねてそー、、(スコ座りしてて、)   (2024/10/27 03:22:40)

おしらせ> 無言時間が25分を超えたため、カリオストロさんが自動退室しました。  (2024/10/27 03:37:16)

ミミ ◆> おねーさんもまたねー？   (2024/10/27 03:37:18)

ミミ ◆> うーん、どーしよー？   (2024/10/27 03:37:48)

ミミ ◆> ひまだねー、、(床寝、)   (2024/10/27 03:46:48)

おしらせ> ゆんゆんさんが入室しました♪  (2024/10/27 03:51:16)

ゆんゆん> ね…寝ない子だぁれ？こんな時間に起きてるんだね。そろそろ朝になっちゃうよ？(隣に座ると時計ちら)   (2024/10/27 03:52:12)

ミミ ◆> こんばんはー！   (2024/10/27 03:52:21)

ゆんゆん> う…うん、こんばんは…！   (2024/10/27 03:52:36)

ミミ ◆> うーん、ミミはねむくないんだよねー、、だからお嬢の抱き枕してくれる人探してからねるよー？(うつ伏せのままでじぃって見上げてて、)   (2024/10/27 03:53:57)

ゆんゆん> 今日はお休みだからね、夜更かししたい気持ちは分かるけど…っ！抱き枕…？寂しい感じ？わたしで良ければ寝るまで一緒にいる？(傾げながらにこっと頬緩めて)   (2024/10/27 03:56:09)

ミミ ◆> ふつーにねれないだけー？ミミ起きたらお仕事あるしー、、。んー、たぶん、？最近人と話しながらだとすぐねるのわかったかんじー？(起き上がって欠伸して、両手伸ばしてのびぃ、)   (2024/10/27 03:58:59)

ミミ ◆> んー、、おねーさんはねむくないのー？   (2024/10/27 04:00:31)

ゆんゆん> そっか、お仕事大変だね…って、余計に起きてたらダメだよー⁉︎起きたらってもう4時なんだけどー⁉︎人と話すのも良いし…人の会話眺めてても眠くなるよね(瞼擦り)   (2024/10/27 04:01:07)

ゆんゆん> わたしは起きたところ…だけど、二度寝は出来るかも   (2024/10/27 04:01:53)

ミミ ◆> だいじょぶだいじょぶー、ミミのお仕事はお急ぎじゃないからー、(おねーさんの頭ぽんぽん、できないからお背中ぽん、)そかー、、一緒に寝るー？(首こて、)   (2024/10/27 04:04:13)

ゆんゆん> 急ぎじゃなくても寝なきゃだよ。ほ…はら、寝不足は集中力も落ちちゃうだから。うん、いいよ。ここでもいいし…お部屋でもいいし(代わりに頭を優しく撫でてあげる)   (2024/10/27 04:06:25)

ミミ ◆> じゃーミミのお仕事かんりょー、？ここだと他の人使いづらくなるしお嬢のお部屋の鍵あげるねー？(鍵渡して、にへ、)   (2024/10/27 04:08:40)

ゆんゆん> お仕事…？う…うん、鍵は貰うけど…⁉︎お部屋はたぶん、あそこだよね？じゃあ移動するね(手を振って移動するね)   (2024/10/27 04:10:07)

おしらせ> ゆんゆんさんが退室しました。  (2024/10/27 04:11:29)

ミミ ◆> じゃーミミもかえるねー？部屋はねー、たぶんそこー？(ぐーって伸びしてお手振りして、)よーし！ミミもねるー！またねー！(扉ばん、)   (2024/10/27 04:12:08)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/27 04:12:10)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/27 04:15:00)

栞葉るり> あの歳でナンパです、か…。おはようございます(くしくし)   (2024/10/27 04:15:20)

栞葉るり> この時間で誰も居ないのは珍しい…？普段ならエロガキの一人や二人誰も来ないと嘆いているハズですが…。まぁ、日曜日くらい寝ておかないといつ寝るんですかって話でもありますし。というよりわたくし一人の状況もあんまりないんで結構なレアケース…？  
(2024/10/27 04:17:34)

栞葉るり> ふう…なにか話したほうが良いですか…？これ。生憎会話のネタなんて無限にありますけども、んん…。また怖いだのドン引きされたらアレなので選ばないといけないのが…なかなか…(がさごそ)   (2024/10/27 04:20:21)

栞葉るり> …いや、こんなときこそ…ゲームしましょう！(コンシューマの)   (2024/10/27 04:23:12)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/27 04:23:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 06:31:40)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/27 06:59:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/27 08:08:35)

エロガキ♂14C ◆> おはよーございまーす。   (2024/10/27 08:08:43)

エロガキ♂14C ◆> まあうん、特に何かって訳でもないけど。流石にこの時間だと人はいないよなー、なんて思ったりはしてもなんとなく足を運んでしまうのであった。   (2024/10/27 08:11:03)

エロガキ♂14C ◆> 最近居酒屋がなかなか開かれないなー、とか。思いつつ、このガワだと僕らは飲めないんだよなぁ……（※登場人物は全て20歳以上かもしれなません）   (2024/10/27 08:14:22)

エロガキ♂14C ◆> やっぱ寝起きって誤字るね！？   (2024/10/27 08:16:19)

エロガキ♂14C ◆> それにしても……性癖暴露じゃなくて、おかず暴露は結構来るものがありそう……！   (2024/10/27 08:19:35)

エロガキ♂14C ◆> （と罰ゲーム部屋のログを見て思った）   (2024/10/27 08:19:56)

エロガキ♂14C ◆> 今日も色々やりたいことはあるし、独り言垂れ流しもアレだから誰も来なけりゃ30分くらいにはでよーかな。（お茶ずずず）   (2024/10/27 08:21:35)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/27 08:21:59)

エロガキ♀15kb> ごはんから帰ってきたkbさんです（ぺこりっ）   (2024/10/27 08:22:20)

エロガキ♀15kb> ちなみに、アタシのオカズは揚げチーズと水餃子、即席ふかひれスープに生野菜サラダでした＜昨晩の残り   (2024/10/27 08:23:42)

エロガキ♂14C ◆> んあ、おはよー15kbねーちゃん   (2024/10/27 08:23:59)

エロガキ♂14C ◆> ……ごはんのおかず暴露！   (2024/10/27 08:24:16)

エロガキ♀15kb> 最近はメスガキさんも3名くらいまで増えて……だいぶうれしいアタシです。   (2024/10/27 08:24:27)

エロガキ♂14C ◆> 3人もメスガキいるならジェッ○ストリームアタックしかけられるね（違）   (2024/10/27 08:25:32)

エロガキ♀15kb> いやぁ、メスガキが多くてもできるのはせいぜい淫行くらいで？　むしろアストルフォさんなどの男の娘勢も出てきてくれてうれしいアタシです   (2024/10/27 08:26:21)

エロガキ♂14C ◆> 勝負云々はさておき大人のおねーさんにやってたかってあれこれするメスガキの構図、気になります！個人的に！   (2024/10/27 08:26:50)

エロガキ♀15kb> 大人の女性……アタシもそろそろメスガキ、キタ何とかさんに続く、第三のフォームを編み出す頃合いですかね   (2024/10/27 08:27:42)

エロガキ♂14C ◆> 第三のフォーム……まだ変身を残して……！？いや、まあバリエーション持てる方が楽しいよね。   (2024/10/27 08:29:00)

エロガキ♀15kb> 40歳くらいとかで想定しようかな～とか   (2024/10/27 08:29:23)

エロガキ♂14C ◆> （一気にアクセル全開にしたな…！）   (2024/10/27 08:29:44)

エロガキ♀15kb> アタシが出来そうな大人の女性枠、思いついたのが42・3歳と27・8歳なんですよね（この情報で想像できた人は素晴らしい）   (2024/10/27 08:30:49)

エロガキ♂14C ◆> あのね、なんとなく前者は近い年齢の大人のおねーさん思いついたけどニアミスだったんだわ……後者？数多くて絞れそうになかった！   (2024/10/27 08:32:19)

エロガキ♀15kb> では、さらに（連想ゲームみたいになってる）　どちらもお子さんのいる家庭の人妻です   (2024/10/27 08:32:59)

エロガキ♂14C ◆> うーむ、寝ぼけ頭の脳トレ感。けど、なんとなくそうかなって気はしたねー。   (2024/10/27 08:33:46)

エロガキ♀15kb> 後は……どちらも髪が長い方です。これ以上に共通点がないかも   (2024/10/27 08:35:28)

エロガキ♂14C ◆> 外れてるの違いないと思うから一応漏らすと、前者で最初に連想したの、某すごいデカいなお母さんの方だったんだよねー。あ、仮に実は当たってても無反応でいいからね？   (2024/10/27 08:36:38)

エロガキ♂14C ◆> 髪が長いかー……むむむ。   (2024/10/27 08:36:55)

エロガキ♀15kb> 前者というのは40歳代さんだと、小柄ですよ。それもかなり   (2024/10/27 08:37:30)

エロガキ♀15kb> 逆に20代さんは女性にしてはかなり高身長？   (2024/10/27 08:37:43)

エロガキ♂14C ◆> 20代でこーしんちょー……髪の長い……パッと思い当たるのか出てこないのは多分僕の頭の中のデータベースが偏りまくってるからだね（白目）   (2024/10/27 08:38:55)

エロガキ♀15kb> あ、もう一つ共通点ありましたね。声が同じです   (2024/10/27 08:39:32)

エロガキ♂14C ◆> （あれ？私はだーれだ、みたいなテーマで質問してって最終的に当てたらご褒美みたいなお部屋あったね、なんて（ﾒﾒﾀｧ））   (2024/10/27 08:39:48)

エロガキ♂14C ◆> 中の人（声的な意味で）が同じ……   (2024/10/27 08:40:05)

エロガキ♀15kb> ありますね。そういうお部屋も   (2024/10/27 08:40:15)

エロガキ♀15kb> ……（そして、ヤマニンゼファーさんの名前が、ちょくちょくヤリマンセフレに空目するのだめだなぁ）   (2024/10/27 08:41:52)

エロガキ♂14C ◆> もし予想が仮に当たってたとしたら……中の人、好きな人なんだよなあ……あの声好き（語彙力）   (2024/10/27 08:42:24)

エロガキ♂14C ◆> （ちょっとそれは色々ピンクなフィルター通しすぎでは？？？）   (2024/10/27 08:42:56)

エロガキ♀15kb> では、どちらか言い当てたら……まぁでも出発前なので今は何もできませんが   (2024/10/27 08:42:58)

エロガキ♂14C ◆> ただ全然自信はない、後者の人妻っていうのがビミョーにアレだから。とりあえず後者を半ばダメ元でヨル・フォージャーでファイナルアンサー   (2024/10/27 08:44:38)

エロガキ♀15kb> おー、すごい、では前者も何となくわかってらっしゃるっポイですね（まぁ、ここに来るときは人妻じゃなくブライア姓で使うつもりですが   (2024/10/27 08:45:28)

エロガキ♂14C ◆> 当てれたのか……！ってことは前者もまあ、そうなんだろうなと思いつつ敢えて伏せときます。早見沙織さんすき   (2024/10/27 08:46:46)

エロガキ♀15kb> あら、わかってて何も言わないんですね。とはいえ、ここで名前出してる時点でサプライズがなさそうで、他に居ないかな～とまだ考えてる段階なんですけどね   (2024/10/27 08:47:31)

エロガキ♂14C ◆> あまり蓋を開けすぎても勿体無いなーなんて思いつつ、ヨルおねーさんくらいならまだ割合やりそーな人いるから通す串変えれば気付かない可能性も……いや、エロガキの嗅覚舐めない方がいいのか。   (2024/10/27 08:50:12)

エロガキ♀15kb> 実際、串でIPなんて頼りにならないので、ロールの質であれ？って思う方が居るかもな～くらいですけど、それはまぁ実際わからないので触れない方がいいでしょうしね   (2024/10/27 08:51:25)

エロガキ♀15kb> 後は……IP変えてまでせずとも、串使ってる時点で同じ串の人が偶にいるので、わかなさすぎる（前もアタシと同じ串使ってる方いたしなぁ   (2024/10/27 08:52:14)

エロガキ♂14C ◆> IP云々関係なしに特徴のある人だとロール内の文章の癖とかでなんとなく察することもゼロではないからなあ。察して終わりだけど。   (2024/10/27 08:52:55)

エロガキ♂14C ◆> 確かにこの前15ねーちゃんは被ってたもんねー。   (2024/10/27 08:53:20)

エロガキ♀15kb> 癖って出ますよね。アタシだと、最初に　とりあえず　あ　まぁ　おー　なんかの感嘆とかよく使いますし   (2024/10/27 08:53:52)

エロガキ♀15kb> ♡と♥と♥なんか。　……、･･･とか   (2024/10/27 08:54:30)

エロガキ♂14C ◆> あ、さらっと……僕も言葉の使い回し的なというか、そういうところでバレやすいんだろうなあと思うことは多々。   (2024/10/27 08:54:51)

エロガキ♂14C ◆> ハートは使わない時もあるからアレとしても、3点リーダは重なる人と重ねない人もいるから、そこもねー。   (2024/10/27 08:55:43)

エロガキ♀15kb> ただ、そこまで見て追い回す人じゃないと気づかないかな～と、アタシはそういうの鈍感なんで、自分で気づかれてないというか、気づかずに別室で会ってて、個室で○○部屋のキタちゃんだよね？って言われてヒャッ！となったことはありますね  
(2024/10/27 08:55:58)

エロガキ♂14C ◆> まあ見抜いたところで大半は心の中にそっとしまっておいてニマニマしとくことが多いですし？（こう書くとなんか変態ちっく）   (2024/10/27 08:57:02)

エロガキ♀15kb> むしろ見抜いたとて、個室でしゃべるならともかく……オープンでは自分からいう人じゃないと、それを出すのはさすがにマナー違反ですからねぇ   (2024/10/27 08:58:05)

エロガキ♀15kb> さて、すみません   (2024/10/27 08:59:30)

エロガキ♂14C ◆> うんうん。自分からバラすならともかく、そうじゃないならそーっとしとくもんです。……ところで、見抜くって書くと別の今を思い出すんですが（トオイメ）   (2024/10/27 08:59:40)

エロガキ♀15kb> それでは、今日は友達とボードゲームの約束がありますのでそろそろ   (2024/10/27 08:59:48)

エロガキ♂14C ◆> たのしそー。いってらっしゃーい。   (2024/10/27 08:59:58)

エロガキ♀15kb> 見ヌキしていいですか？　え？見ヌキって何ですか？こっちに害がなければいいですけど……（と答えた遠い日の記憶。う、頭が   (2024/10/27 09:00:39)

エロガキ♀15kb> ではでは（ぺこぺこぺこりっぺこぺこりっ）   (2024/10/27 09:01:06)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/27 09:01:10)

エロガキ♂14C ◆> （なんとなく通じるかなと思ったら通じた。しょうがないにゃあ、って言われても多分困ってたけど！）   (2024/10/27 09:01:30)

エロガキ♂14C ◆> （てふりふり）   (2024/10/27 09:01:35)

エロガキ♂14C ◆> さて、僕も少しやることやってこよーっと。   (2024/10/27 09:04:30)

エロガキ♂14C ◆> ではではお邪魔しましたー   (2024/10/27 09:04:41)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/27 09:04:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 09:48:46)

エロガキ♂19b ◆> おはよう～   (2024/10/27 09:49:06)

エロガキ♂19b ◆> むぅ...やっぱいないかぁ..   (2024/10/27 09:58:36)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 09:58:40)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/27 11:23:37)

星 ◆> （すっかり雑談部屋の住人、手慣れた様子でソファにダイブしてごろごろ、）   (2024/10/27 11:24:21)

星 ◆> いや……折角暇な時間があるんだし2.6やってこよう。（がば、）   (2024/10/27 11:26:09)

星 ◆> （来て早々立ち去る姿はまさに流星……）   (2024/10/27 11:26:23)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/27 11:26:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 13:03:05)

エロガキ♂19b ◆> こんにちは～   (2024/10/27 13:03:40)

エロガキ♂19b ◆> いなさげかな、、出直そうー！   (2024/10/27 13:13:35)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/27 13:13:38)

エロガキ♂14C ◆> こんにちは……って入れ替わり？   (2024/10/27 13:13:53)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 13:13:58)

エロガキ♂14C ◆> マジに入れ替わりだった。おつかれさまー。   (2024/10/27 13:14:20)

エロガキ♂14C ◆> まあおねーさんとお話したいよねー。乗り気ならゲーム部屋に一緒に行ったりしたいしっ。   (2024/10/27 13:15:38)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/10/27 13:15:54)

エロガキ♂14C ◆> 1d6 → (4) = 4  (2024/10/27 13:15:58)

エロガキ♂14C ◆> 最近当たり引く確率高くなってきた気がする……！っ、すっぱ……！（けほけほっ）   (2024/10/27 13:16:39)

エロガキ♂14C ◆> てきとーなタイミングでゲーム部屋行こっかなー。なんかすごく静かだし期待薄だけど。   (2024/10/27 13:17:40)

エロガキ♂14C ◆> 雑談してくれそーな人もこなさそーだね。お邪魔しましたー。   (2024/10/27 13:29:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/27 13:29:28)

おしらせ> ロサード ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 13:39:38)

ロサード ◆> 邪魔するぜー（扉を開けて入ってきたのは、薄水色の髪をところどころピンクに染めた女の子…にしては太めの声）かわいい子に悪いコトする連中がいるって聞いたけど、みんな出払ってんのかね？   (2024/10/27 13:41:55)

ロサード ◆> その割にはやたらと飲み物おいてるし、急にカチコミくらったわけじゃないよな？（よく見ると天井や壁の所々にヒビが入ったり補修したりの跡があって）まあどうせ暇だし、かといって待つだけもなんだし一杯飲ませてもらおうかな、あるのがいけない！  
(2024/10/27 13:45:11)

ロサード ◆> 1d6 → (3) = 3  (2024/10/27 13:45:19)

ロサード ◆> 見たまんまの水だった（あてが外れたような表情）かといって何杯もいただくのはさすがにまずいよな…うーん   (2024/10/27 13:46:28)

ロサード ◆> 〜♪（暇つぶしに絵を描き始める）   (2024/10/27 13:54:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 13:57:00)

エロガキ♂19b ◆> こんにちは～、、   (2024/10/27 13:57:42)

ロサード ◆> おっ、邪魔してんぜー（悪びれる様子もなく手を振り振り、ちょうど絵は描き終わった模様）   (2024/10/27 13:58:16)

エロガキ♂19b ◆> 可愛い男の娘だー！はじめましてー   (2024/10/27 13:59:14)

ロサード ◆> 男の娘とか注釈つけんなよー、かわいいに男も女もないだろっ（むっとしながらも可愛いについては1ミリも謙遜の気配なし）   (2024/10/27 14:00:37)

エロガキ♂19b ◆> ははっ！ごめんごめん！俺は男の娘も好きだからついつい言っちゃったよ～   (2024/10/27 14:01:40)

ロサード ◆> まあ、オレの生まれ故郷ってだいたい女の子はカッコよくなるし男はオレほどじゃないけどカワイくなるから、外に出たとき可愛い女の子って逆に新鮮だったしなー、気持ちがわかるっちゃわかるかも。   (2024/10/27 14:03:16)

エロガキ♂19b ◆> はぇ～、、そうなんだ！！ロサードちゃんの故郷についてはあんまり知らないからちょっとビックリ！でも、、いいこと知れたかも！カッコいい女の子と可愛い男の娘がたくさんいるところかぁ..最高じゃん？   (2024/10/27
14:06:01)

ロサード ◆> 「も」好きってのは気にいったぜ、たぶん戦場じゃ敵同士だろうけどここはあれだろ、中立地みたいなもんだろ？
ここにいる時くらいは仲良くできそうだな（故郷も褒められれば悪い気はしない）ところで、あそこにある飲み物さっき貰ったんだけど、あれってちゃんとお代とか払わないとまずいやつ？   (2024/10/27 14:08:15)

エロガキ♂19b ◆> 確かに勝負部屋では敵だけどここでは皆仲良くやってるよ～、、たまーにおさわりとかはあるけど、、あ！そういうの入らないよー！勝手に持ってきてるやつだからね！！もっとほしければ好きに飲んでいって！   (2024/10/27
14:10:35)

