/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月16日 16時10分 ～ 2024年10月17日 00時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> まぁいいや、それじゃあまた暇潰しにくるなー。   (2024/10/16 16:10:46)
エロガキ♂13HL ◆> そろそろ遊びたい気分ではある……。(うんうん)   (2024/10/16 19:29:05)

エロガキ♂16T> シャーロットお姉さんと遊んでみたいんだよな…   (2024/10/16 19:29:30)

シャーロット・レイス ◆> まあ、今からなら行ってもいいけど。その3人で試してみる？   (2024/10/16 19:30:10)

エロガキ♂16T> それは試したいですね～   (2024/10/16 19:30:44)

エロガキ♂16T> シャーロットお姉さんのおっぱいとか色々と堪能させてほしいもん…   (2024/10/16 19:31:35)

エロガキ♂14C ◆> おねーさんがいいなら。僕より13HLくんや16Tくんがすごくやる気満々そーだけど、ねっ。   (2024/10/16 19:32:37)

エロガキ♂13HL ◆> 女性もう一人増えたら罰含め参加しようかな〜♪とりあえずシャーロットお姉ちゃんとは遊びたいけど…♪   (2024/10/16 19:32:46)

シャーロット・レイス ◆> 勝てたらね。(ニヤニヤして)   (2024/10/16 19:32:53)

エロガキ♂13HL ◆> 16Tくんが1番やる気満々♪……14Cくんも言い出しっぺだしやる気はありそ〜っ   (2024/10/16 19:33:54)

エロガキ♂14C ◆> ま、ここでうだうだしてるよりはゲーム部屋行くほうがきっと応援も来るだろーし、やる気が無くなる前に行ってみよっか。   (2024/10/16 19:34:21)

エロガキ♂16T> 頑張って勝つよ～(シャーロットお姉さんをじろじろ見ながら)   (2024/10/16 19:34:36)

おしらせ> 白上フブキさんが入室しました♪  (2024/10/16 19:34:38)

シャーロット・レイス ◆> まあ、煽るだけ煽って、負けて好き放題されるのもいいのよね。   (2024/10/16 19:34:43)

白上フブキ> Hi frie……あー、とんでもないタイミングで来ちゃいましたかね…？   (2024/10/16 19:34:54)

シャーロット・レイス ◆> フブキさん、こんばんは   (2024/10/16 19:34:59)

エロガキ♂16T> じゃ、ゲーム部屋行きますか？   (2024/10/16 19:35:04)

エロガキ♂13HL ◆> はっ！ふぶちゃんだ〜♪こんこんきーつね♪(ぺこっ)   (2024/10/16 19:35:18)

エロガキ♂16T> おっと、フブキお姉さん、はじめまして   (2024/10/16 19:35:21)

エロガキ♂14C ◆> こんばんはーっ。フブキおねーさんも参加しちゃう？なんてねっ。   (2024/10/16 19:35:49)

シャーロット・レイス ◆> そこの三人は、行くのよね。   (2024/10/16 19:35:54)

エロガキ♂14C ◆> うん、僕は言い出しっぺだから行くよー。そんな訳でフブキおねーさんは来てくれたばかりだけどごめんね、ゲーム部屋行ってきまーす！   (2024/10/16 19:36:42)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/16 19:36:46)

エロガキ♂16T> いくよ、自分は   (2024/10/16 19:36:47)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/16 19:37:03)

おしらせ> エロガキ♂16Tさんが退室しました。  (2024/10/16 19:37:04)

白上フブキ> …end〜♪ふわふわ尻尾の五芒星〜！こんこんきーつねっ（取り敢えず挨拶遂行っ）と、通りかかっただけなんですケドね…！？…んままぁ、どーしてもと言う場合は…あっ、行っちゃった…。   (2024/10/16 19:37:26)

エロガキ♂13HL ◆> もしフブキお姉ちゃんこっち残るなら…僕残ってお話するし…♪   (2024/10/16 19:37:40)

エロガキ♂13HL ◆> 向こう行くなら一緒に行くー？   (2024/10/16 19:37:50)

白上フブキ> い、いえいえっ、白上の事は気にしなくても良いですよ…！あのお方が仲間を欲しているのであれば白上も行きますけど、どーやら多勢に無勢がお好きみたいですし。   (2024/10/16 19:41:19)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/16 19:42:27)

栞葉るり> こーなれば、移動しやすいのではないでしょうか。ご機嫌麗しゅう〜   (2024/10/16 19:42:44)

エロガキ♂13HL ◆> あら、るりさんこんばんは〜♪   (2024/10/16 19:42:59)

白上フブキ> こんこんきーつねー♪ワンちゃんがいらっしゃいました。白上は狐ですが…！   (2024/10/16 19:44:12)

エロガキ♂13HL ◆> あっいえ普通にその元々向こうにもう1人女性増えるなら行こうかなーって考えてたので……♪むしろフブキお姉ちゃんと遊ぶのもなんてね♪(にこっ)   (2024/10/16 19:44:41)

栞葉るり> 知ってますか？狐っておやつなんですよ、犬(狼)の♪(狂犬)   (2024/10/16 19:44:46)

エロガキ♂13HL ◆> ……おっとこれは…(百合が始まるのでしょうか…にこにこ)   (2024/10/16 19:46:11)

栞葉るり> だそうですよ、どうするんですか？わたくしは堂主と建設的なお話でも…と、足を運んだ程度なので。移動されるのであればそれはそれで止めはしませんし！   (2024/10/16 19:46:35)

白上フブキ> えぇえぇ…？白上はｵｲｼｸﾅｲﾖ！（裏声）   (2024/10/16 19:46:39)

栞葉るり> (がぶがぶ)……ぺっ   (2024/10/16 19:46:58)

白上フブキ> 白上はね、今お話ししようかなって気分で来たので〜！またの機会にお願いしますっ…！オーーイ！！食べたならちゃんと飲み込まんか！！   (2024/10/16 19:47:43)

エロガキ♂13HL ◆> かしこまりました〜そしたらまたの機会にでも♪約束ですよ〜♪(にこっ)   (2024/10/16 19:48:40)

栞葉るり> 犬でも食わないと言うことは夫婦喧嘩以下の味ということです♪…とはいえ、生姜焼きにして『これがしらかみさんの味かぁ…』とかサイコすぎません？   (2024/10/16 19:49:17)

エロガキ♂13HL ◆> どこのチェーンソーだろー？(遠い目)   (2024/10/16 19:49:36)

白上フブキ> うんうんっ！…「白上は美味しい」といいなさい…。   (2024/10/16 19:50:27)

栞葉るり> いやいや、美味しいだともう食べてるじゃないですか…。ここでエロガキに見せられない捕食シーンとか始まったら二人揃って蹴り出されますよ？R18グロ分類で！   (2024/10/16 19:51:31)

栞葉るり> まぁ、キツネは雑食なので食べてもあまり美味しくはなさそう…？草食動物じゃないと匂いが生臭くて…！   (2024/10/16 19:52:08)

栞葉るり> あ、ちなみに豚も雑食です。過去にシ体処理に使われてたくらいなんでも食べます！   (2024/10/16 19:52:58)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/16 19:54:04)

エロガキ♂17L ◆> こんばんは〜   (2024/10/16 19:54:16)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/16 19:54:37)

白上フブキ> し、白上は別に捕食…いや、いやいやなんでも。白上はおいしい・かわいい・こんこんきつね（？）の3拍子でやってますので…！警察のワンちゃんTipsですか？（）   (2024/10/16 19:54:41)

栞葉るり> お二人様ご機嫌麗しゅう〜   (2024/10/16 19:54:55)

シラベドンナ> こんばんは！ エキノコックスは数年の潜伏期間を経て発症するぞ！   (2024/10/16 19:54:57)

エロガキ♂13HL ◆> ………あれ？美味しいがデフォルトになってない？食べられる前提……？   (2024/10/16 19:55:04)

エロガキ♂13HL ◆> 17Lさん、シラベドンナさんこんばんは♪(ぺこり)   (2024/10/16 19:55:24)

栞葉るり> ブラックジャックでそのへんのキャベツ食べちゃいけない事を学びました！(窃盗)   (2024/10/16 19:55:32)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/16 19:56:23)

胡桃 ◆> こんばんはっ！堂主の胡桃が突然やってきたよ〜？(お犬さんの真後ろににょきっと参上！声大きしい距離も近い、その上最後にふーっ…って吐息を耳に添えて。)それで！今日の夜ご飯の話だっけ？うんうん…凄く美味しそうだね〜(意味深。)  
(2024/10/16 19:56:27)

エロガキ♂17L ◆> HLはいい加減俺の事さん付けで呼ばないでもいいよ？(17Lお兄ちゃんとか色々呼ばれすぎて処理追いつかなくなってきた人)   (2024/10/16 19:56:43)

白上フブキ> こんこんきーつねー♪わっ、わうわっ、違いますからねこれは、その…！（わったわった）いっぱい女の子が来ますね…！こんこーん！   (2024/10/16 19:57:15)

エロガキ♂17L ◆> ん、胡桃やっほ、ほんとに突然落ちてきたね〜   (2024/10/16 19:57:20)

エロガキ♂13HL ◆> 胡桃ちゃんこんばんは♪(ペコッ)   (2024/10/16 19:57:21)

栞葉るり> おいしい(？)かわいい(👍️)こんこんきつね(🤭)…ふっ(鼻で笑う)ええ、過去に人肉を販売してた精肉店がありまして〜(グロ)   (2024/10/16 19:57:41)

エロガキ♂13HL ◆> ちなみに今日の夜ご飯はパスタにします♪   (2024/10/16 19:57:46)

白上フブキ> 白上はっ、美味しくなーーーい！！（やっぱり美味しくない）   (2024/10/16 19:57:55)

エロガキ♂13HL ◆> じゃあLお兄さんで〜   (2024/10/16 19:58:04)

胡桃 ◆> 画面見てたけど、ちょっと後ろでドッタンバッタンしてたからさ〜   (2024/10/16 19:58:07)

栞葉るり> ふん！！(フッサフサの尻尾で堂主へカウンター)ご機嫌麗しゅうー、建設的な犬です♪   (2024/10/16 19:58:37)

エロガキ♂17L ◆> あ、そこに行き着くのね、いいけど(L単体じゃないだけマシだなと)   (2024/10/16 19:58:47)

シラベドンナ> ほぉぉ、キミがＬだったのか…！   (2024/10/16 19:58:51)

栞葉るり> はい、私がエルです(椅子の上にしゃがみながら)   (2024/10/16 19:59:13)

エロガキ♂17L ◆> どうも、私がLです……ってちゃうわ!!(椅子の上でしゃがみながら角砂糖ピラミッド積みして)   (2024/10/16 19:59:55)

胡桃 ◆> ちょ、擽ったいからっ！(もふもふいいけど、擽ったいから。クシャミしていい？ゼロ距離で。)建設的な犬…の、るりさんだね。(旅人は「あの犬」とかそんなこと言ってたけど、私は素知らぬ顔。)   (2024/10/16 20:00:11)

白上フブキ> 確かにケモノ多いかな…？きつねに、わんこに…にゃんこ…？（シラベドンナさん、目が猫ににてます。）   (2024/10/16 20:00:34)

胡桃 ◆> 急にデスノート始まってない…？遺体は任せて！(お仕事だからね！)   (2024/10/16 20:00:36)

エロガキ♂13HL ◆> そして私が…本物の(H)Lです……(パスタ片手に)   (2024/10/16 20:00:54)

栞葉るり> エルが二人…来るぞ遊馬！(デュエリスト)   (2024/10/16 20:00:55)

エロガキ♂13HL ◆> フブキお姉ちゃんは猫だよね？(すっとぼけ)   (2024/10/16 20:01:31)

エロガキ♂17L ◆> 俺は、エル2人でオーバーレイネットワークを構築!!エクシーズ召喚!!   (2024/10/16 20:01:40)

白上フブキ> やっぱ人間って…面白…！（？）キツネじゃーーい！！   (2024/10/16 20:01:52)

エロガキ♂17L ◆> リュークまで出てきたw   (2024/10/16 20:02:15)

エロガキ♂13HL ◆> ……えっ？猫じゃないの！？(猫じゃらし用意……ゆらゆら)   (2024/10/16 20:02:16)

シラベドンナ> 私の帽子の中身はケモミミの可能性あると睨んでいるよ！シュレディンガーのネコミミだな！   (2024/10/16 20:02:24)

栞葉るり> (すっ。堂主の鼻の下に指を添えて、くしゃみキャンセラー発動。)そうですそうです、例の犬です(※マッスル犬ではない)   (2024/10/16 20:02:46)

栞葉るり> つまり、シラベドンナさんは帽子を取るだけでキャラ崩壊する可能性があると(わきわき)   (2024/10/16 20:03:24)

エロガキ♂17L ◆> ならば取るしかあるまい……(るり嬢に便乗)   (2024/10/16 20:03:57)

栞葉るり> こちらも取らねば無作法というもの…(帽子落とし)   (2024/10/16 20:04:18)

エロガキ♂17L ◆> 何だこのネタの応酬……w   (2024/10/16 20:04:50)

白上フブキ> 猫じゃないです！キツネです！……（猫じゃらしをパンチ。きつねパンチですからね！）取らなくても、結果を見るまでは猫耳である可能性がありますから、取らずともキャラ崩壊できると言うわけですな（？）   (2024/10/16 20:04:55)

シラベドンナ> 建設的すぎて九龍城が建ちそうだが大丈夫なのかな？   (2024/10/16 20:05:01)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/16 20:05:19)

おしらせ> エロガキ18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/16 20:05:26)

胡桃 ◆> はっ………ムズムズするやつ！(くしゃみって出ないとジーンってするよね？今お鼻がむずむず。)   (2024/10/16 20:05:34)

キタサンブラック> どうも、さっくり野郎どもをぶちのめし、先輩を守ったキタちゃん、参りました（いえーい！   (2024/10/16 20:05:44)

栞葉るり> 大丈夫です、エロガキと絡んでる時点でキャラ崩壊してますから♡(正論パンチ)   (2024/10/16 20:05:45)

胡桃 ◆> 人が増えたね〜…皆こんばんは〜！   (2024/10/16 20:05:47)

エロガキ18D ◆> ﾌﾞﾙｩﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝﾌﾞﾝ!!!!ﾌﾞｰｰｰｰｰｰｰｰｰﾝ!!!!!(口でバイクのエンジン音の声真似して)どうも、負け犬です！！！   (2024/10/16 20:06:01)

エロガキ♂17L ◆> あれ、ウマまで来たけど……人外バラダイスかなんか？ここは   (2024/10/16 20:06:03)

シラベドンナ> おっと、帽子を取るからには命を賭けてもらうよ？   (2024/10/16 20:06:05)

キタサンブラック> って、白！？……今日は白いのか、え、え？あれ、全く別の方？（白上さんだぁぁ！！！）   (2024/10/16 20:06:09)

栞葉るり> 人増えたので堂主とゆっくりお茶でもしますか。表じゃ出来ない話でもしますか(指のわっかに人差し指を抜き差ししつつ…)   (2024/10/16 20:06:30)

栞葉るり> ご機嫌麗しゅう〜   (2024/10/16 20:06:40)

エロガキ♂17L ◆> モーションアウト!!   (2024/10/16 20:06:48)

胡桃 ◆> くっ…こ、こうなれば私も…！！(ネタに走りたい。動物キャラ呼びたいよね？ぐっっっと堪えた！)   (2024/10/16 20:06:59)

エロガキ18D ◆> あれ！？黒い方(とその裏の人)とは話したことがありますが…白い方は初めましてですね？よろしくお願い致します。   (2024/10/16 20:07:17)

栞葉るり> はらかみにも猫が居ましたねぇ、そういえば…   (2024/10/16 20:07:27)

エロガキ♂13HL ◆> あっ…可愛い……(そのまま猫じゃらしゆらゆらしながら眺めてて……)ほらほらもっとパンチしていいですよ〜？   (2024/10/16 20:07:47)

エロガキ♂13HL ◆> みんなこんばんは♪(ぺこっ)   (2024/10/16 20:07:59)

エロガキ♂17L ◆> (綺良々……か)   (2024/10/16 20:08:01)

胡桃 ◆> (るりさんのハンドサインを見て閃いた！建設的なお話ってひょっとして…子、子作り！？)…お茶しに行こっか〜(何かの隠語かな？)   (2024/10/16 20:08:03)

キタサンブラック> ウマ、ホロ、にじ……何気にVってつながりは在るにはあるけど、各々所属が違う、人権がないかもしれないケモミミ。（しかも、ウマ、キツネ、イッンヌゥとそろっておりますね   (2024/10/16 20:08:23)

白上フブキ> こ、こんこんきつね…！なんか一気にどうぶつが増えましたね。バトルしますか？（某タワーバトル）あっ、いますね、同居人のほーが…！ちょっと見かけて皆さんにご迷惑かけてないかと思って…！（）   (2024/10/16 20:08:23)

栞葉るり> 部屋はありますので、そちらにおねがいしまーす(ひそひそ)   (2024/10/16 20:08:38)

栞葉るり> さて、作るぞ〜！！(意味深)   (2024/10/16 20:09:05)

キタサンブラック> フブちゃんさんだ～♪（わーわー、ってい一通、ぎゅぅぅ！っと抱き着き）   (2024/10/16 20:09:07)

胡桃 ◆> 建設ってそっち！？   (2024/10/16 20:09:10)

栞葉るり> ではではー♪   (2024/10/16 20:09:12)

エロガキ18D ◆> お疲れ様です、皆様…と言いたいところですが、堂主様と犬の方が出られるそうで……お疲れ様でした(挨拶をしながら)いえいえ、黒い方は迷惑なんてとてもとても…   (2024/10/16 20:09:14)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/16 20:09:15)

シラベドンナ> おつかれさま！   (2024/10/16 20:09:21)

エロガキ18D ◆> 行ってらっしゃいませ、堂主……   (2024/10/16 20:09:31)

胡桃 ◆> よーし！私は作ってくるね！(ナニを？ナニかだね！)   (2024/10/16 20:09:32)

エロガキ♂17L ◆> 行ってらっしゃい   (2024/10/16 20:09:46)

胡桃 ◆> (去り際にお手でぶんぶぶん。袖揺らしながら笑顔でさいなら〜！)   (2024/10/16 20:10:01)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/16 20:10:04)

エロガキ♂13HL ◆> まってこのフブキお姉ちゃん…もしかして会話したことある方…？(どっちだろう…猫じゃらしと酒瓶2つ用意してどっちに反応するか……。)   (2024/10/16 20:10:19)

エロガキ♂13HL ◆> 行ってらっしゃいませ♪   (2024/10/16 20:10:23)

キタサンブラック> ぶんぶん、ぶぶぶん？   (2024/10/16 20:10:23)

白上フブキ> …こほん。猫じゃないので、この辺で…！（やめいっ）な、なになに…！？白上いきなり人気者ですか…！？（こ…こう？ってキタサンちゃん撫で撫で）粗相がありましたら白上にご申し付けくださいね…！   (2024/10/16 20:11:32)

エロガキ18D ◆> (年がバレる……！)   (2024/10/16 20:11:39)

エロガキ18D ◆> (懐かしいなぁ数○団ゲーム……)   (2024/10/16 20:12:04)

エロガキ18D ◆> 粗相なんてとんでもない……むしろ良くしていただいておりますよ？まぁもっと色濃い人たちが居ますが……()   (2024/10/16 20:12:43)

シラベドンナ> おかしいなぁ？ ここには少年少女しかいないはずでは？   (2024/10/16 20:12:57)

キタサンブラック> と、１７Lさんと、たぶん18Dさんは先ほどぶちのめした……のかな。　シラベドンナさんは、初めましてだったかもと、HLさんは何度かの顔見知り、ですよね。（どうも～って改めて、飛び込んできちゃった♡   (2024/10/16
20:12:59)

エロガキ♂13HL ◆> 楽しかった〜……♪(にこにこ…)フブキお姉ちゃん頭撫でてくれてもいいよ？というより撫でて？(頭差し出して撫でてほしそうな雰囲気)   (2024/10/16 20:13:17)

エロガキ♂17L ◆> こっちサイドで良かった……(版権キャラによっては歳バレしてる可能性大)   (2024/10/16 20:13:17)

エロガキ♂13HL ◆> 顔見知りです〜そろそろお友達くらいになれるよう頑張ろっと♪(キタサンお姉ちゃん手ふりふり)   (2024/10/16 20:13:53)

エロガキ18D ◆> ええ、綺麗にぶちのめされましたよ……その節はありがとうございました……   (2024/10/16 20:13:55)

シラベドンナ> 初めましてかな？ みながそうだろうけど、もう分からないね！ 初めまして！   (2024/10/16 20:14:06)

キタサンブラック> お友達……筆下ろした仲？   (2024/10/16 20:14:12)

キタサンブラック> と、どうせならこの勢いのまま、シラベさん、フブちゃんさん。どこかに乗り込みませんか♪（3人いればきっと楽しい！   (2024/10/16 20:15:03)

白上フブキ> イノチェケ！Yoチェケラッチョ！（）ふふん、白上はお酒では反応しませんよ。何故って！白上は！お酒によわよわだからねっ！   (2024/10/16 20:15:07)

エロガキ18D ◆> シラベドンナさんは昨日の朝見かけましたかね…まぁ覚える要素なんて、そこまでないかと思いますが…   (2024/10/16 20:15:32)

エロガキ♂13HL ◆> お友達ですよ！   (2024/10/16 20:16:03)

エロガキ18D ◆> よかったぁ……お酒はもう……えぇ……(遠い目)お酒によわよわなのはありがたいですねぇ……しかしこの部屋、ホロライブだけで何人居るんでしょうか……大分増えましたねぇ……   (2024/10/16 20:16:43)

シラベドンナ> 昨夜だかに複数人の難しさを味わって打ちのめされた私でよければ、どこまでも着いて行こうじゃあないか！   (2024/10/16 20:17:03)

エロガキ18D ◆> 大移動ですかね……？   (2024/10/16 20:17:28)

エロガキ♂13HL ◆> 良かったらサイコロで遊びますー？(ただ遊びたいだけ……！)   (2024/10/16 20:17:34)

エロガキ18D ◆> それもそれで楽しそうですね……キタちゃんにリベンジしたいのもある……！！   (2024/10/16 20:18:09)

白上フブキ> なんだかすこん部の匂いがしたから、撫でてあげるのだっ。（なでなで）白上も…！？さ、サイコロの数合わせだけで良いなら良いですけど…！   (2024/10/16 20:18:16)

キタサンブラック> シラベさんはOKっぽいですね、フブちゃんさんは～……どうします？（本家か、仮か……どっちにしようかな？）   (2024/10/16 20:18:24)

シラベドンナ> ほう、ダイスはどう振ればいいのかな？   (2024/10/16 20:18:27)

エロガキ18D ◆> 5d10、ですね。殆どどの部屋と変わりませんよ？   (2024/10/16 20:19:12)

キタサンブラック> よし、本家にクラリスさんがいますし、このままよろしければずざーっと本家に突撃と行きませんか？（行くぞ～おー！って   (2024/10/16 20:19:20)

エロガキ18D ◆> 行きましょうか……！   (2024/10/16 20:19:32)

エロガキ♂17L ◆> 数合わせ程度で俺もゲームしに行くか……   (2024/10/16 20:19:50)

キタサンブラック> どちらにしても、アタシは行きます！遊びたいので！（行くぞー   (2024/10/16 20:19:50)

エロガキ♂13HL ◆> お〜フブキお姉ちゃんはサイコロ振るだけかな？(一緒に行きましょーと手を取り)   (2024/10/16 20:19:53)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/16 20:20:03)

シラベドンナ> なるほど！ 乗り込むぞ―！   (2024/10/16 20:20:06)

おしらせ> シラベドンナさんが退室しました。  (2024/10/16 20:20:09)

白上フブキ> お、おー！がんばるぞー！   (2024/10/16 20:20:17)

おしらせ> 白上フブキさんが退室しました。  (2024/10/16 20:20:18)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/16 20:20:30)

エロガキ♂17L ◆> あんだけノリノリなブラックも中々見ないな……   (2024/10/16 20:20:40)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/16 20:20:42)

おしらせ> エロガキ18D ◆v/8rmrVKkEさんが部屋から追い出されました。  (2024/10/16 20:30:26)

おしらせ> エロガキ18 ◆v/8rmrVKkEさんが入室しました♪  (2024/10/16 20:30:26)

おしらせ> エロガキ18 ◆v/8rmrVKkEさんが退室しました。  (2024/10/16 20:30:39)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/16 20:34:57)

エロガキ♂16r> さてさて、少しの間お邪魔しよう   (2024/10/16 20:37:00)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16rさんが自動退室しました。  (2024/10/16 21:02:59)

おしらせ> エロガキ♂10Zさんが入室しました♪  (2024/10/16 21:08:58)

