/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月10日 07時01分 ～ 2024年12月11日 13時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂17L ◆> 容量？＞17C   (2024/12/10 07:01:53)
エロガキ♂18Z> (一応全部のデッキ)   (2024/12/10 07:23:03)

エロガキ♂17L ◆> (電気抵抗とかの話し出したら秒でオーバーヒートするな……こりゃ＞花海)   (2024/12/10 07:23:55)

エロガキ♂18Z> (ほのお、でんき、みずの複合デッキも楽しいぜ)   (2024/12/10 07:24:00)

エロガキ♂17C> 言ってオレもそれほど数学得意なわけじゃあないんだけどなあ…（溜息）佑芽さんがぷしゅーってなってるのは可愛いとは思うけど、後が大変そうだ……>佑芽さん   (2024/12/10 07:24:03)

エロガキ♂18Z> とりあえず、ラミィさんのげきりんは時間がある時に返り討ちにしよっと(何気に対戦した事ないマン)   (2024/12/10 07:25:02)

エロガキ♂17C> ……サイコロでわからせればいいんですか（？）   (2024/12/10 07:25:38)

エロガキ♂17L ◆> そもそも誰に向けて言ったのかすら不明だけどな＜げきりん   (2024/12/10 07:25:42)

花海佑芽> （基本的に初手のつまずきが派手なだけで、ちゃんと教わったら勉強もできそう……ひいき目と言われそうですけど＞公式うめちゃん）   (2024/12/10 07:26:34)

エロガキ♂18Z> 秘蔵のお酒をプレゼントしたから多分自分？って解釈(どや)   (2024/12/10 07:26:40)

雪花ラミィ> ラミィポケポケやっとらんのよー。麻雀ならいくらでもやるんやけどね。いやもう、全員まとめて（）   (2024/12/10 07:28:25)

エロガキ♂17L ◆> (高校数学大半暗算でやって頭痛頻発させてた人←)   (2024/12/10 07:28:41)

エロガキ♂17C> （努力のできる子はいずれ勉強できるようになると思うんだ…）   (2024/12/10 07:28:53)

エロガキ♂17C> さらっと巻き込みくらってる気がするのは気のせいですか   (2024/12/10 07:29:14)

花海佑芽> あたしもそろそろ、支度して出かけますね！（すっく）   (2024/12/10 07:29:23)

胡桃 ◆> 佑芽ちゃんも行ってらっしゃい、気をつけてよ？   (2024/12/10 07:29:47)

エロガキ♂17L ◆> 麻雀か〜、前に雀魂やってたな……まぁ、どちらかといえば、リアルの麻雀やりたいけど最近は……   (2024/12/10 07:29:49)

エロガキ♂17C> いってらっしゃい。また遊ぼうね。   (2024/12/10 07:29:55)

エロガキ♂17L ◆> 行ってらっしゃい、気をつけてね   (2024/12/10 07:30:06)

花海佑芽> はい、またでーす！！   (2024/12/10 07:30:19)

エロガキ♂18Z> 行ってらっしゃいー   (2024/12/10 07:30:19)

雪花ラミィ> 行ってらっしゃい〜、寒さに気をつけてねー   (2024/12/10 07:30:20)

おしらせ> 花海佑芽さんが退室しました。  (2024/12/10 07:30:30)

エロガキ♂18Z> 麻雀かー。一応してるにはしてる(ぐでたま)   (2024/12/10 07:30:43)

雪花ラミィ> 雀魂の亡者やからなー、ラミィ…。   (2024/12/10 07:31:07)

エロガキ♂18Z> くっそ強そう   (2024/12/10 07:31:30)

エロガキ♂17C> 亡者…   (2024/12/10 07:31:50)

エロガキ♂18Z> 大三元と国士しかした事ないのよねぇ   (2024/12/10 07:31:53)

エロガキ♂17L ◆> 偏見だけど、国士十三面待ちとかしてそう……(小並感)   (2024/12/10 07:32:08)

胡桃 ◆> (火葬の用意しといた方がいいかな…)   (2024/12/10 07:32:23)

エロガキ♂18Z> (まさかの火葬)   (2024/12/10 07:32:40)

エロガキ♂17C> （焼ける前に解けると思う）   (2024/12/10 07:32:41)

エロガキ♂17L ◆> (……スルーしとこ)   (2024/12/10 07:33:09)

エロガキ♂17C> とかちつくちて（古）   (2024/12/10 07:33:37)

エロガキ♂18Z> 国士13面待ちはした、でも、ろんされた、かなしい(語彙力)   (2024/12/10 07:33:42)

雪花ラミィ> ラミィは姑息にアガり続けるので、役満はそんな出くわさんなー。三麻で三倍アガったぐらい。   (2024/12/10 07:34:22)

エロガキ♂17C> （なんか麻雀始まりそうな空気感）   (2024/12/10 07:34:46)

エロガキ♂17L ◆> 相手の河見ればだいたいどれ待ってるとかわかると思うけどな……(どこまで行っても頭脳プレイ)   (2024/12/10 07:35:01)

エロガキ♂18Z> まあ、上がり続けて地道に稼がれる方がムキーってなる()   (2024/12/10 07:36:11)

エロガキ♂17L ◆> それはそう   (2024/12/10 07:36:22)

エロガキ♂18Z> ラミィさん狙い撃ちにしないといけないね(姑息)   (2024/12/10 07:36:56)

エロガキ♂17C> 脱衣麻雀でもやるつもりなのか…。   (2024/12/10 07:37:16)

胡桃 ◆> 狙い撃ちって…ラフプレーみたいじゃない？   (2024/12/10 07:38:13)

エロガキ♂17C> さて、随分長居したな。ちょっと遊びたい欲が出てきたしゲーム部屋に行くとするかな。参戦はウェルカム、とだけ。   (2024/12/10 07:38:22)

雪花ラミィ> ラミィのメリットどこにあるねん脱衣麻雀（）   (2024/12/10 07:38:24)

エロガキ♂17C> それじゃあオレは行くよ。またな。   (2024/12/10 07:38:54)

エロガキ♂17L ◆> 俺もゲーム部屋行こうかな……   (2024/12/10 07:38:56)

胡桃 ◆> ラミィさんが勝ったら私が脱いであげよう！(どどん、)   (2024/12/10 07:38:56)

エロガキ♂18Z> 実際には狙い撃ちって狙って出来ないからねー。なんなら返り討ちにされる率が高い   (2024/12/10 07:39:03)

胡桃 ◆> 行ってらっしゃーい！   (2024/12/10 07:39:04)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/10 07:39:05)

エロガキ♂18Z> 行ってらっしゃいー   (2024/12/10 07:39:12)

エロガキ♂17L ◆> んじゃ、俺も行ってくる   (2024/12/10 07:39:18)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/12/10 07:39:20)

エロガキ♂18Z> 行ってらっしゃいー   (2024/12/10 07:39:26)

エロガキ♂18Z> 脱衣麻雀よりかは負けたら罰ゲームで良い気はするよね(1週間禁酒とか)   (2024/12/10 07:40:03)

胡桃 ◆> 健康的な罰ゲームだね…   (2024/12/10 07:40:44)

雪花ラミィ> 死んでもやらない（断固）   (2024/12/10 07:41:00)

エロガキ♂18Z> たまには休肝日を作らないとだからね……   (2024/12/10 07:41:09)

エロガキ♂18Z> じゃあ、禁止早めて1日コップ一杯分のお酒ってしよう()   (2024/12/10 07:41:49)

胡桃 ◆> そのコップがひたすらに大きいものになるんじゃないかな、特注品サイズみたいな感じで！   (2024/12/10 07:42:27)

エロガキ♂18Z> はっ、盲点だった……｡おちょこしか認めません(対策)   (2024/12/10 07:43:22)

エロガキ♂18Z> 堂主に対してなら太腿を好きにできる権利を罰ゲームにするかなぁ。うん   (2024/12/10 07:44:25)

雪花ラミィ> おちょこビックサイズ7Lとか特注するね♡   (2024/12/10 07:44:53)

胡桃 ◆> 罰ゲームって言うけど、何で勝負するのかな？   (2024/12/10 07:45:07)

エロガキ♂18Z> そんなおちょこがあるのね…   (2024/12/10 07:45:31)

エロガキ♂18Z> え？仮部屋   (2024/12/10 07:45:41)

胡桃 ◆> お鍋みたいな大きさのおちょこになるのかぁ……(7L……どんなサイズだろう、)   (2024/12/10 07:45:53)

エロガキ♂18Z> よく力士が使ってるあれが浮かんだよ……   (2024/12/10 07:46:16)

胡桃 ◆> 普通にそっちのお部屋での話しね！   (2024/12/10 07:46:17)

エロガキ♂18Z> 堂主と勝負をするならそっちの方だからね！何気にここ2人とは対決してないしねー   (2024/12/10 07:47:26)

雪花ラミィ> 力士さんのお鍋のサイズって7Lも入るんだ…。なんだか意気揚々と飛び出していった二人組がかわいそなってきちゃったから、ギリギリでも人が来てなかったら行ったるか（）   (2024/12/10 07:47:45)

エロガキ♂18Z> 自分は時間的に厳しいからパスだなー。くっ   (2024/12/10 07:49:05)

胡桃 ◆> 私はどうしようかなぁ…色々と微妙な状態で踏ん切りつかないんだよね。最悪ラミィさんが1人奮戦するのを私は遠巻きに眺めるしかないかも…？(じぃー、)   (2024/12/10 07:49:47)

雪花ラミィ> んやや、ご無理なさらずでね。二人とも朝だし。いやラミィも朝なんだけどね（）   (2024/12/10 07:50:29)

エロガキ♂18Z> まあ、遊ぶ！って時に遊べば良いと思う   (2024/12/10 07:50:40)

エロガキ♂18Z> なんなら3時起きだもんね。ラミィさん   (2024/12/10 07:50:55)

エロガキ♂18Z> 休みなら行くのに……！くっ！！   (2024/12/10 07:51:21)

胡桃 ◆> (やれやれ系(？)男子2人揃うと待機してる時間がなんかこう…病院の待合室とか、小さめの喫煙室位に静かな状況になるんだ…)   (2024/12/10 07:52:29)

胡桃 ◆> (目を覆った、)   (2024/12/10 07:52:33)

雪花ラミィ> しゃあない、行ったるかー。ラミィが居たら、連れられて誰か女の子が来てくれるかもしれんからね。ラミィもね、嫌な意味じゃないんだけど目が当てられないから行ってくるね（）   (2024/12/10 07:53:12)

エロガキ♂18Z> (ちょっと隠しカメラで見てる感じがして良いよね。喫煙所の日常的な)   (2024/12/10 07:53:13)

エロガキ♂18Z> 行ってらっしゃいー。   (2024/12/10 07:53:27)

雪花ラミィ> お話ししてくれてありがと。またお会いしたらその時は〜♪ｵﾂﾗﾐｪ！！！！（覇気）   (2024/12/10 07:53:38)

胡桃 ◆> おつらみ〜☆(迫真物真似、)   (2024/12/10 07:53:57)

エロガキ♂18Z> また対戦よろぴくー。乙カレー   (2024/12/10 07:54:01)

おしらせ> 雪花ラミィさんが退室しました。  (2024/12/10 07:54:07)

エロガキ♂18Z> んじゃ、時間的に仕事の支度をしようかなー。堂主も早く休んでいつか対戦できる機会があったらよろしくー(ノソノソ)   (2024/12/10 07:55:04)

胡桃 ◆> 行ってらっしゃーい！   (2024/12/10 07:55:19)

エロガキ♂18Z> ではでは、お疲れ〜   (2024/12/10 07:55:34)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/12/10 07:55:39)

胡桃 ◆> さて、私も行ってこよっと。   (2024/12/10 07:55:46)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/12/10 07:55:54)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/12/10 08:00:31)

胡桃 ◆> 眺めてたら人数揃ったし、私は久しぶりに1人のんびりとこっちで様子を見守ってようかな(これぞトンボ帰り。)   (2024/12/10 08:01:16)

胡桃 ◆> ×負けたら 〇勝っても負けても   (2024/12/10 08:04:28)

胡桃 ◆> 33連続で出してるのも凄いね…   (2024/12/10 08:10:46)

胡桃 ◆> よ、4連続…   (2024/12/10 08:11:03)

胡桃 ◆> 土壇場で大活躍…ふふ、さすがだね〜   (2024/12/10 08:14:19)

胡桃 ◆> 結果論なんだけど……罰比1:3になっちゃってるのも少し大変になるのかな？とりあえずは様子見かな、何か問題になったって訳でもないし。私もこれで撤収！またね〜！   (2024/12/10 08:18:12)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/12/10 08:18:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 09:13:30)

エロガキ♂19b ◆> 今回ほど寝落ちしたのを後悔した日はないな...おはよう～   (2024/12/10 09:14:05)

エロガキ♂19b ◆> とりあいず...反省！！(渡しは寝落ちしましたとかいたプレートを首にかけて正座)   (2024/12/10 09:16:01)

エロガキ♂19b ◆> というか勝負部屋とんでもないことになってないか？、、朝から元気だねぇー   (2024/12/10 09:16:30)

エロガキ♂19b ◆> あーら、、あっちは解散になってもうたか...そういうときもあるよねー！！   (2024/12/10 09:22:03)

エロガキ♂19b ◆> ん、せっかくだし待機するか！   (2024/12/10 09:32:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/10 09:32:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 14:17:10)

エロガキ♂19b ◆> んんー！こんにちは～...さすがに誰もいないかなー？(キョロキョロ)   (2024/12/10 14:17:44)

エロガキ♂19b ◆> ...あれよね、時間問わずに俺がいるからやっぱり暇人だと思われてないかな、しかも平日ってのもあるからそうみられてそう！！   (2024/12/10 14:31:51)

エロガキ♂19b ◆> んん...この時間だからこそお昼寝でもしようかな？...むむむ   (2024/12/10 14:50:55)

エロガキ♂19b ◆> よーし、軽く寝てこよっと！   (2024/12/10 14:57:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/10 14:57:56)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/12/10 18:36:00)

エロガキ♂15R ◆> こんばんは〜！   (2024/12/10 18:37:11)

エロガキ♂15R ◆> あっち行っても丁度お夕飯時で遊べないかな〜…と思ってこっちに来てみました…けど、朝から人の出入りほとんどない…！   (2024/12/10 18:45:57)

エロガキ♂15R ◆> 平日だからこんなもの…と言われてしまえばその通りですけど…！   (2024/12/10 18:50:51)

エロガキ♂15R ◆> さて、週末まであと3日っ！寒くって朝起きるのすっごく辛いけどっ！頑張るぞーっ！(自分に言い聞かせ…)   (2024/12/10 18:56:20)

エロガキ♂15R ◆> …人…居ませんっ！一人…寂しいね…。さよーならー！   (2024/12/10 19:08:18)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/10 19:08:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 19:22:02)

エロガキ♂19b ◆> こーんばんは！！誰かおるか～！！(バーン！！)   (2024/12/10 19:22:14)

エロガキ♂19b ◆> ご飯時は誰もいないのはいつものことか...マージで早朝が賑わったからなぁ...寝落ちしなければ！！クソォ！！   (2024/12/10 19:37:33)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/10 19:53:41)

エロガキ♂17C> トリップがないと妙にそわそわするな。こんばんは、寝落ち魔さん。   (2024/12/10 19:54:24)

エロガキ♂19b ◆> こんばんは～...寝落ち魔とはいいご挨拶だな小僧！！でも実際そうだからなにもいえない...反省してます、はい....(私は寝落ちしましたとかいたプラカードを持って)   (2024/12/10 19:55:54)

エロガキ♂17C> 事実だろ？生憎意図せぬ電話で無言落ちしちまった事はあれど、寝落ちはここではした事ないもんでね。（プラカードぶら下げた情けない姿に両肩竦めて鼻で笑い）   (2024/12/10 19:57:43)

エロガキ♂19b ◆> ふははは！！事実だよ畜生！！まさか今日も寝落ちするとは思わなかったかけどねぇ...お陰で遅刻しかけたのは内緒の話し～！...ところでさ、、ここに置いておいたリボルバー知らない？...   (2024/12/10 19:59:53)

エロガキ♂17C> ……お前って女の子とのデートすら遅刻しそうな予感するんだけど。さてね、知らないよ。本物かおもちゃかも知らないけど、危ないものを持ち込んでいたら没収されるのが世の常ってやつさ。   (2024/12/10 20:02:04)

エロガキ♂19b ◆> ふっ...女の子とのデートでは楽しみすぎて1時間以上速く待ち合わせ場所につくようにしてるよ！んー、そっか...知らないならいいや。また今度用意しておこっと！   (2024/12/10 20:03:55)

エロガキ♂17C> はいはい、何事も加減ってもんが大切だと思うんだけどな。……何のために用意するんだよそれ、ロシアンルーレットでもやろうってのか？   (2024/12/10 20:05:44)

エロガキ♂19b
◆> 確か...ガチャ自慢されて腹いせに6発の弾が入ったリボルバーでロシアンルーレットをやろうと思って....加減してこれなんだよね...だって女の子は色々準備して来てくれるわけじゃん～？早めに向こうについておいてお迎えするのが自分なりの流儀といいますか...冬場は凍え死んでることが多いけど
  (2024/12/10 20:07:32)

エロガキ♂17C> 直情的にも程がないか、お前それ。爆死するなら1人で勝手にやっててくれよ。もしくは堂主からもう棺桶買っとけよ。ま、お前の流儀にあれこれ言っても仕方ないし言う気もないけどさ。それと同じくらいとは言わずとも、近しいくらいの心構えはしておくべきじゃあないかと思うよ、オレは。（缶コーヒーずずず）
  (2024/12/10 20:10:28)

おしらせ> エロガキ♂10sxさんが入室しました♪  (2024/12/10 20:10:38)

エロガキ♂10sx> こんばんは～､お久し振り～｡ここんとこ閑散期？   (2024/12/10 20:11:08)

エロガキ♂17C> お久しぶり。ここのところ、というか暫く閑散期なのは違いないだろうさ。   (2024/12/10 20:12:53)

エロガキ♂10sx> まあ、お相手いなきゃはじまらないし～｡先待ちはある意味博打だからね～   (2024/12/10 20:13:52)

エロガキ♂19b
◆> 俺は自分が単発で最高レアキャラを当てるのは許すけど他のラブリーなベイビーが単発当てるのは話が変わってくるんだよな、、だからいつでも対処できるようにしてあるだけであって...その心構えは持っておこうー！！でも寝落ちするのは以外とひさしぶりだったり～？そんなことないか...やぁやぁ！年末が近いから集まりが悪いのかそれともまた別の理由があるかは知らないけどねー！ちなみにお兄さんは毎日ように入り浸り獣のような眼で女の子を探してるよ！
  (2024/12/10 20:13:56)

エロガキ♂10sx> 確かに～､年末だから忙しいのか、リア充だからこれないのか、はたまた体調崩したのかなんてこちらはわからないからね～｡まあ、タイミングいい人は相手に会えるってのはあるかも？   (2024/12/10 20:16:58)

エロガキ♂19b ◆> リア...充？   (2024/12/10 20:17:41)

エロガキ♂17C> しっかしロシアンルーレット、ねぇ。……やるならせめておもちゃのでやるべきじゃあないかい？ま、危なっかしいモンを使うよりはこれくらいが丁度いいと思うんだけどな。（並べるは適当なグラスを6つ、全てにコーラを注いでからその一つにタバスコを一滴。）
  (2024/12/10 20:18:12)

エロガキ♂19b ◆> ほほう....乗った！！(1万円を机にバーン！！)   (2024/12/10 20:19:03)

エロガキ♂17C> オレは生憎タイミングには尽く恵まれなくてね。とは言っても今に始まった話じゃあないんだが。……つーわけで10sxくんもやるならご自由に。先に当たりを決めておくよ。1d6で選んで飲む。   (2024/12/10 20:20:07)

エロガキ♂10sx> 僕は炭酸嫌いなので見学で～   (2024/12/10 20:20:13)

エロガキ♂17C> 1d6 → (4) = 4  (2024/12/10 20:20:21)

エロガキ♂17C> 当たりは決まり。さあ、お好きなのをどうぞ。   (2024/12/10 20:20:39)

エロガキ♂19b ◆> そいじゃあ、早速～...これにしようか！(適当なグラスを手に取り一気飲み)   (2024/12/10 20:21:12)

エロガキ♂19b ◆> 1d6 → (3) = 3  (2024/12/10 20:21:17)

エロガキ♂19b ◆> ただの美味しいコーラですねぇ～、たまには炭酸を飲むのも悪くはないのかも   (2024/12/10 20:22:06)

エロガキ♂17C> 開始早々当たりを引かれると流石に笑いようもないんだけどさ。……それじゃあオレはこれ。   (2024/12/10 20:22:26)

エロガキ♂17C> 1d6 → (5) = 5  (2024/12/10 20:22:34)

エロガキ♂17C> （手に取ったグラスの中身を一気に口の中へと流し込み。）……普通、だな。   (2024/12/10 20:23:15)

エロガキ♂17C> これくらいの方が穏やかで危なくもない。……下手なおもちゃを用意する方が没収されてゲームにならないだろうさ。   (2024/12/10 20:24:29)

エロガキ♂19b ◆> 連続で飲んでも面白くはない...また別の訪問者が来たら飲ませよう   (2024/12/10 20:24:39)

エロガキ♂10sx> 今日も平和で暇そうやね～   (2024/12/10 20:26:08)

