/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 11時13分 ～ 2024年10月19日 13時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13 ◆> おやすみ〜   (2024/10/19 11:13:58)
エロガキ♂13M ◆> 辛辣だけど真理！   (2024/10/19 12:00:03)

エロガキ♂18Z> 別皮の10歳君が受けぽい感じで動かしてるけど、チンチン小さすぎるからなぁ   (2024/10/19 12:00:14)

エロガキ♂19b ◆> うぉぉーい！！   (2024/10/19 12:00:44)

エロガキ♂18Z> あの剣で掘削か……   (2024/10/19 12:01:04)

栞葉るり> あー、あれめっちゃノリノリでしたねえ…   (2024/10/19 12:01:11)

エロガキ♂13M ◆> 首輪以外にも、オナホ、イボ付き手袋、一応…搾精機……あとは使いやすい玩具なんにゃ   (2024/10/19 12:01:21)

エロガキ♂19b ◆> まぁ、、悪くはなかったけどさぁ...最近よくやられるし...   (2024/10/19 12:01:28)

エロガキ♂18Z> リングの猿轡   (2024/10/19 12:01:35)

星 ◆> 私は疑牝台に腰振ってるエロガキ見て指差して笑いたい。   (2024/10/19 12:01:48)

エロガキ♂13M ◆> アナル開発用のディルドも置いておく？あとは手首張り付けて固定する台…名前なんだっけ？   (2024/10/19 12:02:14)

エロガキ♂18Z> (リング状だから付けられたら舌が出てしまうから犬みたいに唾液を垂らしながら舌出しってやつ)   (2024/10/19 12:02:21)

栞葉るり> 19dさんはもう版権でメスの道に進んでもよろしいのでは？(オスへの最大の侮辱)   (2024/10/19 12:02:22)

エロガキ♂18Z> 尊厳破壊かな？   (2024/10/19 12:02:39)

栞葉るり> おい？！犬が常によだれ垂らしてるみたいな風潮やめろ！！(犬)   (2024/10/19 12:02:49)

エロガキ♂19b ◆> いやだ！！   (2024/10/19 12:02:56)

エロガキ♂13M ◆> え、そうでしょ？犬なんて…   (2024/10/19 12:03:03)

エロガキ♂18Z> 大型犬とか唾液垂らしてるし……   (2024/10/19 12:03:18)

栞葉るり> あれは熱いのとお口がゆるい犬種だからです！！(セントバーナードとか)   (2024/10/19 12:03:52)

エロガキ♂13M ◆> あとは鞭とか置いておけば振りやすいかな   (2024/10/19 12:03:53)

エロガキ♂18Z> 栞葉さんが負けたらリング状の猿轡をつけてあげよ(使命感)   (2024/10/19 12:04:15)

星 ◆> なんか13Mはあれだね。   (2024/10/19 12:04:16)

エロガキ♂13M ◆> うん、知ってるw   (2024/10/19 12:04:18)

星 ◆> アダルトショップの商品一覧みたいだね。   (2024/10/19 12:04:26)

エロガキ♂13M ◆> 褒められてないにゃコレ……実際思いつくやつポンポン言ってるだけだけどにゃぁ……   (2024/10/19 12:05:06)

栞葉るり> そもそも興味ないと思いつかないんですよ！   (2024/10/19 12:05:34)

エロガキ♂18Z> まさか……!   (2024/10/19 12:05:43)

星 ◆> まあ、最初に小道具とか言っておいてなんだけど私玩具得意じゃないんだよね。   (2024/10/19 12:05:53)

エロガキ♂13M ◆> んなワケあるかぁぁぁあ！？！？   (2024/10/19 12:05:58)

エロガキ♂18Z> され…(ぐは)   (2024/10/19 12:06:02)

エロガキ♂13M ◆> え、えぇ……   (2024/10/19 12:06:05)

星 ◆> だから商品一覧してくれて助かってる。   (2024/10/19 12:06:26)

栞葉るり> 結構いますよね、おもちゃNGな人。まぁ、つよつよなオスが道具使ってイキってたら…それはそれでがっかりする気もわかります   (2024/10/19 12:06:53)

エロガキ♂13M ◆> なんにゃ…褒められてるの、貶されてるの、どっちにゃ？！   (2024/10/19 12:06:54)

エロガキ♂19b ◆> 雲璃は嬉々としておもちゃ使ってたけどな..   (2024/10/19 12:06:56)

エロガキ♂18Z> なんかの動画でジェイドにムチでシバかれて喜ぶ星さんみたのを思い出したな…   (2024/10/19 12:07:00)

星 ◆> 雄は肉体を使え。（過激派、）   (2024/10/19 12:07:29)

エロガキ♂13M ◆> シチュ例でも立て掛けておけば…？   (2024/10/19 12:07:32)

星 ◆> 部屋説明、結構文字数に縛りがあるって聞いたよ。   (2024/10/19 12:08:17)

エロガキ♂13M ◆> 玩具なんかより絶対身体使う派！そっちのほうが楽しいもん！(個人的感想です)   (2024/10/19 12:08:24)

星 ◆> （雄ドラフくらいの体型になって出直して来て欲しい。へっ、）   (2024/10/19 12:08:56)

エロガキ♂18Z> (自分の体を見る……｡ふっ)   (2024/10/19 12:09:19)

エロガキ♂13M ◆> ほへぇ…なるほど…(別部屋に色々と書いて、リンク貼っちゃうとか？)   (2024/10/19 12:09:27)

栞葉るり> ありますね、文字数制限。わたくしも昔作った時はそれに悩まされたもんです。だから名簿とか細かい説明はリンク先で説明とかしてるんですね   (2024/10/19 12:09:54)

