/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月30日 06時45分 ～ 2024年10月30日 20時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/30 06:45:09)
キタサンブラック> ダイヤちゃんはアタシが守護る！みたいなノリはここではないけど……タイヤちゃんともまた一緒したいね。（まぁ、知り合いがいるといろいろまた変わるんだろうけど）   (2024/10/30 07:11:21)

サトノダイヤモンド ◆> 纏まった時間が取れなくてあまり参加はできてないけど、キタちゃんのことは偶に見てるよ。色んなところ…♥（前も、その前も。なんだかとってもいいトリップ見付けちゃったからこれで決定にしておきます！）   (2024/10/30
07:11:30)

クラリス ◆> 【あれ、もしかしてダイヤちゃん（中の人）複数いる！？ 混同してたらごめんなさい！！】   (2024/10/30 07:11:58)

サトノダイヤモンド ◆> 【ちょっと打ち込むのが遅くて応答間に合わず、すみません…！】   (2024/10/30 07:12:02)

キタサンブラック> （キタサトトリップ！？完成していたのか！）   (2024/10/30 07:12:17)

エロガキ♂11T> さてと、自分は落ちますね～　ありがとうございます   (2024/10/30 07:12:22)

エロガキ♂18D ◆> (よく見ればキタサトトリップになってる！！)   (2024/10/30 07:12:28)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/10/30 07:12:30)

エロガキ♂17L ◆> ん、お疲れ様〜   (2024/10/30 07:12:33)

キタサンブラック> あ、お疲れ様でした～♪またどうぞ～   (2024/10/30 07:12:39)

エロガキ♂18D ◆> 11さんお疲れ様でした。また会えましたら。   (2024/10/30 07:12:50)

クラリス ◆> 最近ししょーが忙しそうなのはもしかして…（17さんが乗ってきた巨大魔晶機っぽいものを唖然と見上げて）   (2024/10/30 07:13:26)

サトノダイヤモンド ◆> 18さんは初めまして、ですね。はい、よろしくお願いします…！（いつもにこにこキタちゃん観測隊です。ウマはその…グレーですから！）   (2024/10/30 07:13:40)

エロガキ♂17L ◆> 俺が普通に来ること期待してない？(苦笑浮かべながら)＞18   (2024/10/30 07:13:46)

エロガキ♂18D ◆> (いや、彼が特に技術力が異常なだけなんです、クラリスさん…)   (2024/10/30 07:14:10)

サトノダイヤモンド ◆> 17さんはおはようございます、挨拶遅れてごめんなさい。11さんは反対に、お疲れ様です…！（わちゃわちゃしてます。）   (2024/10/30 07:14:30)

エロガキ♂17L ◆> 多分クラリス、君の師匠は関係ないよ   (2024/10/30 07:14:51)

キタサンブラック> ダイヤちゃんは無理しないでね。   (2024/10/30 07:14:51)

クラリス ◆> それともダイヤちゃんの実家が手配してる…？（サトノ財閥をなんだと思っているのですか）   (2024/10/30 07:15:12)

エロガキ♂18D ◆> キタちゃんいがいのウマ娘さんを見たことがなくてですね…なるほど、ニコニコキタちゃん観測隊、ですか…覚えておきますね(グレーって言いながら4人くらい観測した記憶があるのですが…！？)   (2024/10/30 07:15:46)

サトノダイヤモンド ◆> そうですね、クラリスさんとは…。（勝った試合だけでしたっけ、それならご一緒させていただきました！私以外のサトノダイヤモンドは見かけていないので…同じでしょうか？）   (2024/10/30 07:16:25)

クラリス ◆> 【ウ●●ってフルネーム出すのが特にまずいのかも…深くさわってないコンテンツなので認識あやういですが】   (2024/10/30 07:17:16)

キタサンブラック> （ウランかな？）   (2024/10/30 07:18:30)

エロガキ♂17L ◆> ……変身(何となくディエンドに変身してインビジブルのアタックライドカードを読み込ませて姿消してキタちゃんの後ろに回り込んでみて)   (2024/10/30 07:18:46)

エロガキ♂18D ◆> (ウランは危険すぎますねぇ)   (2024/10/30 07:18:47)

クラリス ◆> あのときはウチが不甲斐なくてダイヤちゃんに負担かけちゃったんだよね…つ、次はちゃんとやるよ！【では同一の方ということで！】   (2024/10/30 07:19:19)

サトノダイヤモンド ◆> では、トレーニング前なのでこれで失礼します。（キタちゃんを見かけてつい誘われちゃっただけなので…！ずっと慌ただしくてごめんなさい。また機会があればご一緒にゲーム、させてくださいね。）   (2024/10/30 07:20:02)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/30 07:20:13)

エロガキ♂14C ◆> おはよーございまーす。朝から賑やかだなあ。   (2024/10/30 07:20:34)

おしらせ> サトノダイヤモンド ◆ktst/.ut8sさんが退室しました。  (2024/10/30 07:20:35)

エロガキ♂18D ◆> ダイヤさんはお疲れ様でした。また会うことがありましたら。   (2024/10/30 07:20:41)

エロガキ♂17L ◆> (お疲れ様〜)   (2024/10/30 07:20:43)

エロガキ♂18D ◆> 14さんはおはようございます。   (2024/10/30 07:20:57)

キタサンブラック> ダイヤちゃんは無理しないでね！アタシも朝はそんな無理できるわけじゃないし！   (2024/10/30 07:21:06)

クラリス ◆> 出入りの方々ごきげんようです！   (2024/10/30 07:21:08)

エロガキ♂14C ◆> んあ、1人すれ違いだ。お疲れ様ー。>ダイヤちゃん   (2024/10/30 07:21:17)

キタサンブラック> と、14Cさん、おはよーございまーす   (2024/10/30 07:21:19)

エロガキ♂17L ◆> おはよう(透明化したままキタちゃんの後ろから14Cに挨拶返して)   (2024/10/30 07:21:45)

エロガキ♂14C ◆> 昨日初めて罰部屋のブラックジャック試しましたけど面白かったです、と恐らくは言い出しっぺなクラリスさんにお礼をー   (2024/10/30 07:22:15)

エロガキ♂14C ◆> （17Lにーさんの声だけ聞こえるけど、もうなんでもありらしいので慣れてきた）   (2024/10/30 07:22:41)

クラリス ◆> （無言で調合薬を取り出し17さんにざばーっとかけて実体化）   (2024/10/30 07:22:56)

エロガキ♂18D ◆> ブラックジャック…あぁ、佑芽さんとのやつ、でしたかね？そう言えばエロさえなければここでもブラックジャック出来るんですかね…？   (2024/10/30 07:24:01)

エロガキ♂17L ◆> あ、マジか……そう来たか(インビジブル解除されディエンドの姿で出てくる人)   (2024/10/30 07:24:08)

エロガキ♂18D ◆> (そっちなんだぁ…あぁ、そういえばそれ=そっちですわ)   (2024/10/30 07:24:40)

クラリス ◆> 【ありがとうございます！ 厳密にはルブルの別界隈で行われてたのを持ち込み調整なので、私がイチから組んだわけではないんですけどね】   (2024/10/30 07:25:16)

エロガキ♂17L ◆> (慣れんの早くね？君ら……)   (2024/10/30 07:25:19)

エロガキ♂14C ◆> 【その辺の細かな事情はバラさなくてもしー、でいいのよしー！】   (2024/10/30 07:26:01)

クラリス ◆> 談話室でブラックジャックは前に見た気がするよー   (2024/10/30 07:26:30)

エロガキ♂18D ◆> (むしろなんでもありだから慣れるのも早い、18Dは適応力がそこそこある)   (2024/10/30 07:26:30)

クラリス ◆> 【すいません、お口チャックしておきます！】   (2024/10/30 07:27:06)

エロガキ♂18D ◆> おや、そうでしたか…今度は何かゲーム求められたらブラックジャックも視野に入れた方がいいですね、有難うございます   (2024/10/30 07:27:13)

エロガキ♂14C ◆> まあ強いて言うなら一応多目的の方がいい気もするのかな？ここ一応雑談目的だし？<ブラックジャック   (2024/10/30 07:27:28)

エロガキ♂17L ◆> (そうだけど、怖いわw)   (2024/10/30 07:27:47)

クラリス ◆> あ、それは確かにそうな気がしますね≫やるなら多目的   (2024/10/30 07:28:09)

エロガキ♂18D ◆> あー、確かにそっちの方がいいかもしれませんね、多目的でブラックジャックした方がいいかもですね。覚えておきます   (2024/10/30 07:28:14)

エロガキ♂14C ◆> （壁ぶち壊したり何度でも復活するようなの見せつけられて慣れないと思う？？）   (2024/10/30 07:28:22)

エロガキ♂18D ◆> (そもそもそこそこネタ分かるのが尚更適応力に拍車かけてるのがある)   (2024/10/30 07:28:39)

クラリス ◆> （というかそろそろ多目的の痴態が流れてくれてもいいんじゃないかな！！）   (2024/10/30 07:29:07)

エロガキ♂17L ◆> ま、ふざけんのはこの辺にしてと、まぁ軽いゲームまでって書いてあるし、多目的が確実だろうね＜ブラックジャック   (2024/10/30 07:29:07)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/30 07:29:17)

エロガキ♂14C ◆> あ、シャーロットおねーさんおはよー。   (2024/10/30 07:29:46)

キタサンブラック> どうも～おはようございまーす（全自動挨拶マシーン状態？）   (2024/10/30 07:29:56)

シャーロット・レイス ◆> おはよう   (2024/10/30 07:30:07)

エロガキ♂18D ◆> シャーロットさんおはようございます。   (2024/10/30 07:30:09)

クラリス ◆> シャーロットさんおはようございます！   (2024/10/30 07:30:12)

エロガキ♂17L ◆> (14Cは別の意味で慣れすぎじゃない？18Dもネタついて来れる頻度としては割と多いんだよな〜)   (2024/10/30 07:30:23)

エロガキ♂14C ◆> （多目的のログが流れなさすぎてある種の羞恥プレイ化してる…）   (2024/10/30 07:30:36)

エロガキ♂18D ◆> (多目的はまだあれで止まってるんですか！？)   (2024/10/30 07:30:37)

エロガキ♂17L ◆> ん、おはよう(ディエンド姿)   (2024/10/30 07:30:49)

エロガキ♂17L ◆> (止まってんな、咲夜とクラリスの時で)   (2024/10/30 07:31:27)

エロガキ♂18D ◆> (今ある程度着いてこれてますからねぇ、ネタは。しれっと被せてきますし)   (2024/10/30 07:31:38)

エロガキ♂14C ◆> （僕はただの一般エロガキなので特殊なぱわーとかないよ。ただの甘えん坊だよ、ヨクワカラナイナー）   (2024/10/30 07:32:00)

エロガキ♂17L ◆> (被せてくるのがやばいんよ、おかげでネタのペース早くなりがち)   (2024/10/30 07:32:22)

エロガキ♂14C ◆> シャーロットおねーさんはあの後すぐに落ちてたんだね？ちゃんと寝れたー？（つんつん）   (2024/10/30 07:32:32)

エロガキ♂18D ◆> (特殊なパワーは無いけど歩く地雷になりがち…)   (2024/10/30 07:33:05)

クラリス ◆> （移動先は個室より多目的のほうが優先上位な気がするんですが、なかなかご利用がございませんね…遠い目）   (2024/10/30 07:33:07)

エロガキ♂17L ◆> (うん、14Cはそのままでいてくれ……こっち側に間違えても踏み込まんといてくれ)   (2024/10/30 07:33:10)

シャーロット・レイス ◆> うーん。まあ、寝れたわよ。(世界の破壊者)   (2024/10/30 07:33:19)

エロガキ♂18D ◆> (なまじ記憶力と応用力を最大限活用しているのがある、この前の罠応酬とか)   (2024/10/30 07:34:10)

エロガキ♂14C ◆> （まあ最近そこまでの大移動があったりなかったりなのかな…？<多目的で連戦）   (2024/10/30 07:34:10)

エロガキ♂14C ◆> ……寝相の悪さでなんか壊したの？（じとー）   (2024/10/30 07:34:31)

エロガキ♂18D ◆> 確かにサクッと終わらせるのが多くなってますからねぇ   (2024/10/30 07:34:38)

エロガキ♂17L ◆> (ディエンド変身解除して戻っておいて)   (2024/10/30 07:34:46)

エロガキ♂17L ◆> (あ〜、あれね)   (2024/10/30 07:35:04)

エロガキ♂18D ◆> (……シャーロットさんもその類いの人間か……！？)   (2024/10/30 07:35:06)

シャーロット・レイス ◆> 多目的はあまり使ってないかもですね。リベンジくらいにしか   (2024/10/30 07:35:10)

キタサンブラック> この部屋の良さは、時間である程度遊ぶ目途がつくのと、サイコロ遊びが楽しいことですからねぇ   (2024/10/30 07:35:28)

エロガキ♂18D ◆> (……冷静になればあの後サイクロンで勅命割れば良かったですねぇ)   (2024/10/30 07:35:45)

キタサンブラック> 多目的は、あくまで相性がいい人同士の延長戦とか、ゲーム雑談外の行動用ですので、アタシはあんまり縁がなくて？   (2024/10/30 07:36:00)

エロガキ♂17L ◆> まぁ、それはそうかもね(キタちゃんの後ろから気づけば18Dの隣へ移動して)   (2024/10/30 07:36:24)

エロガキ♂18D ◆> まぁサイコロ遊びが楽しいのが最大の理由ですね……あ、後キタちゃんつながりで一問一答も楽しかったですけど   (2024/10/30 07:36:31)

エロガキ♂18D ◆> (おっと、闇取引か？？？17さんが隣に来ると警戒し)   (2024/10/30 07:36:56)

エロガキ♂17L ◆> (バロネスで無効破壊してたかなそれなら)   (2024/10/30 07:37:00)

キタサンブラック> あぁ、一問一答はある程度やる質問考えて置くとよりスムーズでいいかもですね。（アタシはその場で即興ですが   (2024/10/30 07:37:29)

エロガキ♂17L ◆> (闇取引せんわw居場所の問題)   (2024/10/30 07:37:31)

クラリス ◆> サイコロ遊びが楽しいのは完全に同意ですね！（隙あらばブラックジャック）   (2024/10/30 07:38:04)

シャーロット・レイス ◆> 寝ぼけて魔法は撃たないから多分(裏拳で、何処かにひび割れさせたは言わないでおこう)   (2024/10/30 07:39:07)

エロガキ♂18D ◆> たまに義務教育飛んでくるのが本当に面白くてですね……後一個人の個性が見え隠れして面白いな、と……   (2024/10/30 07:39:32)

クラリス ◆> さて、そろそろウチもししょーと合流する準備しないとっ（上着のセーター羽織り）   (2024/10/30 07:39:53)

エロガキ♂14C ◆> 魔法撃たなくても物理的に攻撃しちゃうんでしょ……（溜息）   (2024/10/30 07:39:59)

エロガキ♂17L ◆> さてと、そろそろ全自動ネタマシンは抜けるとするかな……ノリノリで行くぜ〜(ゲーマドライバー装着レーザーに変身してバイクになってそのまま走り去って行く)   (2024/10/30 07:40:07)

キタサンブラック> 質問内容はあくまでも不意打ちが基本ですからね。　あ、クラリスさん復讐お待ちしてます♪   (2024/10/30 07:40:09)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/30 07:40:12)

エロガキ♂18D ◆> (居場所の問題理解しました)   (2024/10/30 07:40:15)

キタサンブラック> お疲れ様でーす   (2024/10/30 07:40:23)

エロガキ♂18D ◆> あ、お疲れ様でした……ってそっちになるんだぁ……   (2024/10/30 07:40:25)

エロガキ♂14C ◆> 17Lにーさんとクラリスおねーさんお疲れさまー。   (2024/10/30 07:40:32)

シャーロット・レイス ◆> お疲れ様です   (2024/10/30 07:40:41)

エロガキ♂18D ◆> クラリスさんもお疲れ様でした。今度は多目的でブラックジャックか一問一答を……(あれ自分も関係あるから流したい顔)   (2024/10/30 07:41:11)

クラリス ◆> このタイミングで思い出させないで！？≫復讐のキタちゃん   (2024/10/30 07:41:21)

エロガキ♂14C ◆> クラリスおねーさんには罰ゲームで着せたい衣装少しずつストックさせてるから早く負けに来てね♪（挑発）   (2024/10/30 07:41:24)

エロガキ♂18D ◆> では、自分もそろそろ…仕事あるので。皆様お疲れ様でした。   (2024/10/30 07:41:53)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/30 07:41:55)

キタサンブラック> 一般初等教育とか、童話ネタなんかを挟むことで記憶を刺激しつつ、そっちに時々頭を振ることで直感に頼って解答する。質問に時間をかけてられないを意識させる狙いですね   (2024/10/30 07:42:00)

キタサンブラック> と、18Dさんもお疲れ様です   (2024/10/30 07:42:08)

クラリス ◆> 行ってきまーーす！！（どったんばったん）   (2024/10/30 07:42:10)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/30 07:42:15)

エロガキ♂14C ◆> 18Dにーさんおつかれさまー。   (2024/10/30 07:42:22)

キタサンブラック> いってらっしゃ～い（ずっこんばっこん？   (2024/10/30 07:42:31)

シャーロット・レイス ◆> キタサン、それ違う(胸辺りに水平チョップ)   (2024/10/30 07:43:29)

エロガキ♂14C ◆> （今日は休みじゃ、グフフって余裕こいてる）   (2024/10/30 07:43:41)

キタサンブラック> そういえば、シャーロットさんとは何気に初めまして、でしたかね？（会話についていけなくてずっと黙り調子でしたけどって、胸にぐへふっ！？）   (2024/10/30 07:43:47)

キタサンブラック> あ、でもシャーロットさんもずっこんばっこんお好き系なんですかね？   (2024/10/30 07:44:10)

エロガキ♂14C ◆> 散々挑発した挙句、負けて複数にやられるの好きみたいだよ（ぼそっ）   (2024/10/30 07:45:00)

シャーロット・レイス ◆> まあ、話すのははじめてかしらね。ズッコンパッコンなんのことから(顔を真っ赤に)   (2024/10/30 07:45:33)

キタサンブラック> まぁ、このお部屋に来てるくらいですしね。（いい反応で素敵です♪ぐっと親指立てて）   (2024/10/30 07:46:15)

シャーロット・レイス ◆> 14軽く火傷させましょうかお口に…(顔を真っ赤にしながら睨みつけては)   (2024/10/30 07:47:22)

エロガキ♂14C ◆> やだ！ぼーりょくはんたーいっ！図星だからって魔法でいじめるのよくなーい！（キタちゃんの背後へシュタタタっ）   (2024/10/30 07:48:39)

キタサンブラック> 聞いたご本人じゃなく、横弥次を入れた人が悪いので（すっと背後を貸さずにシャーロットさんの近くに押し返すアタシ）   (2024/10/30 07:50:04)

エロガキ♂14C ◆> お助けキタちゃんに助けてもらえない……！（がっくし）それこそ悔しかったらゲーム部屋で……って思ったけどシャーロットおねーさん忙しかったんだもんね（ぽふぽふ）   (2024/10/30 07:51:54)

シャーロット・レイス ◆> あなたの言う通り、負けても勝っても好き放題は好きよ。(何故か目の前に来てる14を捕まえて)大丈夫…痛みは一瞬だからここでは…   (2024/10/30 07:51:55)

エロガキ♂14C ◆> 痛いのやだー！（正面に迫り来るシャーロットおねーさん前にじたばた）   (2024/10/30 07:52:44)

キタサンブラック> お助けキタちゃんはあくまで助けを求める人のためにあるのであって、自分で起こした不始末の清算はご自分でですよ～   (2024/10/30 07:53:12)

シャーロット・レイス ◆> まあ、勝ってあっち方面の質問で顔を真っ赤にしてますよ。毎回…(仕方ないわね。物理的に縄で縛り付けて)   (2024/10/30 07:54:28)

キタサンブラック> ま、いろいろあっちはあれですしね～とすみません、アタシそろそろお時間   (2024/10/30 07:55:06)

エロガキ♂14C ◆> なんか縛られてる……何する気なの……（縛られて大人しく）   (2024/10/30 07:55:21)

エロガキ♂14C ◆> キタちゃんおつかれさまー   (2024/10/30 07:55:34)

キタサンブラック> では、お二人は……ほどほどに？（ぺこりっ）   (2024/10/30 07:55:42)

シャーロット・レイス ◆> あら、お疲れさまですね。また、お話しましょうね。   (2024/10/30 07:55:45)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/30 07:55:50)

シャーロット・レイス ◆> どうしましょうかね。(その後のことは考えていない)   (2024/10/30 07:56:51)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/30 07:58:27)

エロガキ♂14C ◆> ……時間あるならそれこそゲーム部屋で決着つけてもいいんだけど。（じとー）   (2024/10/30 07:58:32)

シャーロット・レイス ◆> あら、ユニコーーーン君。おはよう   (2024/10/30 07:59:03)

エロガキ♂13UC> おはよー、っと今からゲームするところだった？   (2024/10/30 07:59:05)

エロガキ♂13UC> なんで伸ばし方多いの？ってか、シャーロットお姉ちゃん朝に居るの珍しくない？   (2024/10/30 07:59:25)

