/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月31日 21時07分 ～ 2025年08月09日 23時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

夜見れな> 拡散しないよ ~ ? あたしだけが見るの ~ ‼︎ （ふす、）   (7/31 21:07:44)
エロガキ♂17L ◆> 回し蹴りするよりは後ろにまっすぐ蹴った方が早いよ〜、はいよ(ポルカにも紅茶を渡して)   (7/31 21:20:13)

エロガキ♂14S> 後ろに真っすぐ蹴る・・・ムー〇ンショットみたいな？   (7/31 21:20:40)

尾丸ポルカ> そもそも女の子の背後に立とうとする事自体が良くないんだ。反省するべきだ。（紅茶受け取りくいっ）……いやー、なんでだろうなー？ほら、アレだよ。この部屋的なというか？   (7/31 21:22:29)

尾丸ポルカ> ……というか、自然過ぎてツッコむ事も忘れてたんだけどさ。ここのガキたち妙にスキル高いの多くね？   (7/31 21:23:57)

エロガキ♂17L ◆> ん〜、どうだろうな？回し蹴りだと余程の速さが無いと威力がむしろ落ちるんだよね〜、人によってはまっすぐ蹴った方が威力出る人がいるし……スキル高い？なんの事や   (7/31 21:24:22)

夜見れな> ポルカちゃん､恥ずかしがっちゃってさぁ ~ ! （によによ、）でも良くない ~? 色々。   (7/31 21:24:51)

夜見れな> 思った､ なんか高いよね‥⁇   (7/31 21:25:12)

エロガキ♂17L ◆> んじゃ、14Sの持ってきたコーヒーゼリー頂こうかな(以外にもコーヒーゼリー好き)   (7/31 21:25:53)

尾丸ポルカ> 蹴りの話はもういいんだよっ！いやさ、菓子は作ってくるしアイスティーはサラッと入れてくるし、なんていうかこうさ？立ち回りって言うか、れなも思ってるみたいだし。   (7/31 21:26:42)

エロガキ♂14S> 俺は家柄＆将来の夢の為に努力してるのと、才能がそれに特化しすぎてるだけだから。日本史とか地理公民とか芸術とか酷いもんよ？あと古文も壊滅的。理科は料理に通じるところがあるから得意だけどさ。   (7/31 21:27:21)

夜見れな> 素敵だよね ~ 。コーヒーゼリーご馳走様でしたぁ。 （手合わせて､）   (7/31 21:27:49)

尾丸ポルカ> もう、言わせんなよ。そういう独占欲はちゃーんと配信外でやるって話だろ……？言ってないけど。けど、誰かの何かになるって響きはポルカも好きだ。   (7/31 21:28:18)

エロガキ♂17L ◆> あ〜、そう言うこと？俺は半分趣味って言うか独学だね〜あとは普通に女性陣にもゆっくりしてほしい時とかはやってたりするよ〜、こうゆう事は特に2人は配信者って都合上気を休めて欲しいしさ   (7/31 21:30:10)

夜見れな> イケメンポルちゃんだぁ、‥にしても全然言われた覚えなくて吃驚しちゃった。（あは、）だよね ~ ! 憧れるし好きなんだよね ~   (7/31 21:30:30)

エロガキ♂14S> 紅茶を淹れるのって結構知識と技術がいるはずなんだけど・・・特にお湯の温度管理とか感覚頼りだから経験が何よりもモノを言うのに、それを独学ってすごくない？   (7/31 21:32:01)

尾丸ポルカ> そこはなぁ、確かにポルカもれなも配信者ではあるけど、お客様ぶるつもりもないんだよな。気持ちはありがたく受け取っとくけど。（ぽりぽり）そしてだ、奥の深い設定は多分この部屋じゃ活かしきれないと思うから嗜好とかを表面化しておく方がいいとポルカは思った！ゲーム部屋行ってねえけど！
  (7/31 21:32:03)

エロガキ♂17L ◆> まぁ、   (7/31 21:32:30)

エロガキ♂17L ◆> 【誤送信sorry】   (7/31 21:32:43)

夜見れな> 優し ~ ! このお部屋なんか、すごいよね、？色々、   (7/31 21:32:54)

エロガキ♂17L ◆> まぁ、一時期ガチもんのメイドが来てた時期あるからね、そうゆうの見たりとかしてたし、自分でも色々試したりしたかな〜(コーヒーゼリーのカップ返却しながら)   (7/31 21:34:37)

尾丸ポルカ> 怪人ぽる面相だからな、ポルカは（？）誰かにとっての特別な何か。……ヴェルターズオリジナルを思い出した奴は漏れなく沼に親指立てて沈めばいい。   (7/31 21:34:55)

夜見れな> ぽる面相かわいいねぇ ~ ? （ふふ、）ポルカちゃんが直々に沈ませるんだよ。（肩ぽん、）   (7/31 21:36:29)

エロガキ♂17L ◆> ん〜、お客様としてとゆうより……単純に俺がそうしたいだけって感じかな〜   (7/31 21:36:33)

エロガキ♂14S> れな姉ちゃんも兄ちゃんもお粗末様。　やっぱ何事も、特に技術関係は最後は試行錯誤しかないよね～。基礎を教わり、視て盗み、最後は試行錯誤で研鑽する。ある種の真理だ。   (7/31 21:37:04)

尾丸ポルカ> ちっこいガキもでっかいガキも要は身に染み付いて仕方ねーって話だな。……ポルカ、この歳だともーっとだらけてたよーな気がするなあ。（遠い目）   (7/31 21:37:54)

エロガキ♂14S> 俺の場合は、俺の作ったスイーツで笑顔を増やしたいのと、将来俺が店を持った時のコネ作りみたいなものだから。   (7/31 21:38:00)

エロガキ♂17L ◆> そそ、そんなとこ   (7/31 21:38:33)

尾丸ポルカ> それじゃあまずは沼に引き摺り込む第一号はれなってことだな。（肩に置かれた手首がしっ）自分で言っといてなんだけど、怪人ぽる面相って結局ポルカでしかないのでは……？（宇宙フェネック顔）   (7/31 21:39:26)

夜見れな> 今の子ってすごいんだね ~! （永遠の17歳）   (7/31 21:39:58)

エロガキ♂17L ◆> っとそろそろ行かないと、そんじゃまた話そうね〜(若干駆け足で部屋から出ていく)   (7/31 21:40:42)

尾丸ポルカ> （おっとポルカたちの年齢に触れちゃいけない）   (7/31 21:40:45)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (7/31 21:40:46)

尾丸ポルカ> 忙しない奴だったなぁ、お疲れい。   (7/31 21:41:02)

夜見れな> ポルちゃんの初めてはあたし､‥ ちょっと危ないかな、（んん、）ただのポルカちゃんだね、？ （可愛らしい宇宙フェネック顔を盗撮、）   (7/31 21:41:19)

エロガキ♂14S> 自分で言うのもなんだけどさ、俺が特殊過ぎるだけだと思うよ？明確に将来の目標持って計画立てて努力してるのなんて、学校全体で見ても俺ぐらいだし。   (7/31 21:41:29)

夜見れな> おつれ ~な ~‼︎   (7/31 21:41:29)

エロガキ♂14S> ん、兄ちゃんまたね～   (7/31 21:41:41)

尾丸ポルカ> サラッと危ない発言するのやめなー！？そもそもポルカはここじゃガキサイドじゃないから、罰ゲームでもない限りそんな事起こらないからね多分！……ってまた撮ってるし！（顔隠し）   (7/31 21:43:01)

尾丸ポルカ> ああ、いや。そもそもこの系統の部屋でそんなに意識高い事自体が特殊だとポルカは思わずにいられないんだ……！   (7/31 21:43:43)

夜見れな> やめなー⁉︎ だ、なんかご利益ありそう ~ ､‼︎（きゃっきゃっ、）え ~ ざんねーん‥ んふ、撮っちゃったぁ。（へへ、）   (7/31 21:44:34)

夜見れな> あんまり居なさそうな感じだもんね ~。意識高い系。   (7/31 21:45:02)

尾丸ポルカ> ラミィがいないとポルカがボケられないんだよぉ！そして有り難がらなくていいからさあ！？……あー、もう消さなくていいから盗撮は程々にしてね、れーなー。（ぽふぽふ）   (7/31 21:46:08)

エロガキ♂14S> 意識高いつもりはないんだけどな～。俺としては趣味の延長上に自分の目標があって、それに向かって愚直に突っ走ってるだけって感じなんだけど。   (7/31 21:46:59)

尾丸ポルカ> （多分なんだか伝わってないのは分かった顔）ま、アレだ。雑談しに来てるのに肩肘張るのも疲れるだろ。ポルカも最低限ポルカらしくいるけど、基本は適当だからな、うん。   (7/31 21:48:30)

夜見れな> ふふ、はぁ ~い。あ、あたしそろそろ用事あるから ~､ また来たらお話して ~ ‼︎おつ れ ~な ~。（手振、）   (7/31 21:48:39)

おしらせ> 夜見れなさんが退室しました。  (7/31 21:48:42)

エロガキ♂14S> れな姉ちゃんおつかれ～。   (7/31 21:49:22)

尾丸ポルカ> おつれーなー。……なんだ、れなが今夜はやけにポルカで遊びに来たような……（息切れ）   (7/31 21:49:23)

エロガキ♂14S> たしかに、終始ポルカ姉ちゃんで遊んでた感じだったよね、れな姉ちゃん。そういうのってやっぱ疲れる？   (7/31 21:50:16)

尾丸ポルカ> そりゃあリアクション取り続けるのも続けば疲れるさ。配信の時ならともかく、今はオフだから尚更よ。   (7/31 21:51:38)

エロガキ♂14S> まぁポルカ姉ちゃんは反応がいちいち大きいから弄りたくなるのはわかるけど、ほどほどにしないとね。   (7/31 21:54:19)

尾丸ポルカ> ポルカはさ、楽しい雰囲気で過ごしたいから場が盛り上がるように振る舞うからこそ、って言うのもあるんだけどな。（首にかけてたプレート外してゴミ箱にシュート。超エキサイティン！）   (7/31 21:56:28)

エロガキ♂14S> ピエロモチーフの衣装なのもその為だったり？ピエロって賑やかし役みたいなとこあるじゃん？   (7/31 22:00:07)

尾丸ポルカ> そこまではポルカも深くは考えちゃいないや。賑やかし、と言うか盛り上げ役として頼られるのは悪い気はしないけどね。   (7/31 22:02:11)

尾丸ポルカ> それにしてもなー。ポルカもゲーム部屋行きたいんだけど、もう少し罰を緩めに楽しめたりとかするところあるのかね。古参のガキとかに聞けば教えてくれるんだろか。   (7/31 22:05:33)

エロガキ♂14S> ポルカ姉ちゃんはマリパとかの司会進行役とか似合いそう・・・マイクとかもそういう感じにして。　　罰を緩め・・・？   (7/31 22:06:18)

尾丸ポルカ> これでも生誕祭ライブのMCお願いされたりとかもあるんだぞポルカ。そ、あんまり直接的な行為（のロール）はあまり慣れてないんだよ。   (7/31 22:07:49)

エロガキ♂14S> あぁ、MCか。確かに似合うわ、絶対。（納得した感じで）ん～・・・俺は勝ってもそこまでハードな事を要求するつもりはないから、練習がてらいってみる？向こうからハードなの希望とか言われたら話は別だけど   (7/31 22:09:55)

尾丸ポルカ> ん、お誘いはありがたいんだけどさ。まだ君のロール見た事もなくて判断材料がないんだわ。だもんで、悪いけどもうちょい様子見させて。   (7/31 22:11:24)

エロガキ♂14S> ん、りょーかい。ところで、ポルカ姉ちゃんはサイコロのゲームって何かしってる？俺はヨットとチンチロしかしらないんだけど。   (7/31 22:13:32)

尾丸ポルカ> サイコロなあ、ヨットとチンチロは当然としても他はあんまりポルカも知らないんだよなあ。ここだと出目の幅を調整出来るからトランプじみた遊びをしてるのは見たことあるんだけどさ。   (7/31 22:14:53)

エロガキ♂14S> それに電子（電脳）サイコロだから現実では絶対にありえないサイコロも出来ちゃうしね。7面体とか絶対に無理だもん   (7/31 22:16:31)

尾丸ポルカ> 絶対に描画出来ないサイコロ、って字面にすると一気にホラー感が漂うんだな。うん。ゲーム部屋じゃなくて罰ゲーム部屋を見るとブラックジャックしてたりしたのは見たな。   (7/31 22:18:15)

エロガキ♂14S> ブラックジャックか・・・俺としてはカードゲームはポーカーの方が好きかな。オーソドックスなドローポーカー。   (7/31 22:22:04)

尾丸ポルカ> ポーカー……ポルカー？（難聴）持ち札が見えちゃうのがなー。   (7/31 22:25:20)

尾丸ポルカ> さて、それじゃポルカは今夜はそろそろ寝るよ。昨夜みたいなPONしないように。それじゃ、おつぽるー！   (7/31 22:26:15)

おしらせ> 尾丸ポルカさんが退室しました。  (7/31 22:26:24)

エロガキ♂14S> おつかれ～。   (7/31 22:27:51)

エロガキ♂14S> ゲーム部屋いってみるか   (7/31 22:27:58)

おしらせ> エロガキ♂14Sさんが退室しました。  (7/31 22:28:01)

おしらせ> 大神ミオさんが入室しました♪  (7/31 22:52:41)

大神ミオ> こんばんみぉーん！うちうち、うちだよー。…出遅れミオだよーん（間に合わないタッチ、しゅばっ！）   (7/31 22:53:31)

大神ミオ> 滑り込みで入らなかった理由は〜…ですねぇ……なんとなくかな？（ホロメンじゃないから支援に行かない畜だと思われそう。違うから！）   (7/31 22:55:20)

大神ミオ> ポンカー…ポンカはよく頑張ってたよ、うち知ってるから。（イマジナリー、というか残像のポルカの肩をぽむぽむ）   (7/31 22:57:08)

大神ミオ> そして段々名前が変わって言った果てになんかさ…モ〇カーみたいな名前になっちゃってない？これ大丈夫？事務所後でPUIPUIって鳴く子達に訴えられたりは……さすがにないかな〜…？   (7/31 22:59:58)

大神ミオ> うちもねー…今日はお疲れだったんですよ。それでね、さっき…まぁ、20時頃かな？椅子の上で普通に寝ちゃってて、うたた寝くらいだったからすぐ起きたんだけど多分今日はもう無理ー！！って感じかもしれないんだ…！   (7/31 23:03:57)

大神ミオ> そういうことだから今日は大人しく寝るんだ…。いつの間にか気を失ってるとか後で何されるかわからないからね！ということで〜…おつみぉーん！   (7/31 23:05:33)

おしらせ> 大神ミオさんが退室しました。  (7/31 23:05:41)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (7/31 23:07:43)

エロガキ♂14C ◆> ありゃりゃ、すれ違い。けど、眠い時は無理しない方がいいよね、こんばんはー。   (7/31 23:08:11)

エロガキ♂14C ◆> 顔を出してみたはいいものの……もうこんな時間なんだねー。   (7/31 23:09:02)

エロガキ♂14C ◆> 結局台風はなんかすごいブロックされたみたいな進路になったんだね。雨風は来るかもだけど、直撃されるよりは遥かにマシ、なのかな。   (7/31 23:10:41)

エロガキ♂14C ◆> 台風って言うと何年か前に家の近所の信号機が明後日の方向向いてたのを見た時はびっくりしたなあ。風であんなに曲がっちゃうんだ、って。やっぱり外は暑いし危ないから夏休みもお家に引き篭もるのが吉だよね、きっと。   (7/31
23:13:03)

エロガキ♂14C ◆> それにしても……うーん、今夜は来るのが遅かったかなーって気がしなくもないかな。   (7/31 23:16:06)

エロガキ♂14C ◆> そーだ、久々にやってみよっかな。特に何かって訳でもないんだけど。   (7/31 23:18:28)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁】   (7/31 23:18:34)

エロガキ♂14C ◆> 1d6 → (1) = 1  (7/31 23:18:39)

エロガキ♂14C ◆> ……うん、当たりだね。当たりだ。（コーラの缶を開けてごくごく）   (7/31 23:19:17)

エロガキ♂14C ◆> 一時期これで遊んでたのも少し懐かしいや。   (7/31 23:22:53)

エロガキ♂14C ◆> 独り言のタネもあまりないし、もー少ししたら寝ちゃおっかな   (7/31 23:26:10)

エロガキ♂14C ◆> 寝ちゃおっと。おやすみなさーい。   (7/31 23:30:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (7/31 23:30:33)

おしらせ> 尾丸ポルカさんが入室しました♪  (8/1 22:12:09)

尾丸ポルカ> 皆様こんばんは、今夜も始まりました、尾丸ポルカがお送りするFMポルカ。   (8/1 22:13:32)

尾丸ポルカ> ……ミオしゃがサラッとポンカ、って呼んでるのにポルカは泣くよ。名乗ったのはポルカ自身だけどさ。（ぐすん）   (8/1 22:14:31)

おしらせ> エロガキ♂18さんが入室しました♪  (8/1 22:15:54)

尾丸ポルカ> 今日も今日とて話し相手を求めて来てみたけどさ。……いや、静かだなオイ。ポルカが暇人とか言うのはNGな。   (8/1 22:15:58)

エロガキ♂18> 明日の白猫楽しみにしてまーす笑   (8/1 22:16:18)

尾丸ポルカ> ん、こんばんは。来たところいきなりで悪いけどまずは部屋のルールをもう一度読んでくることをポルカは勧めとくよ。   (8/1 22:16:54)

尾丸ポルカ> 応援、いや期待のエール？はありがとな！   (8/1 22:17:58)

エロガキ♂18> あっミスってるありがとぽるぽる♪   (8/1 22:18:48)

おしらせ> エロガキ♂18さんが退室しました。  (8/1 22:19:00)

尾丸ポルカ> うん、素直に聞けてえらいぞ。   (8/1 22:20:01)

尾丸ポルカ> って帰って来ないんかい！あれか、ポルカに会いたさが荒ぶって勢いで来ちゃったかな。知らんけど。   (8/1 22:22:26)

おしらせ> エロガキ♂18pさんが入室しました♪  (8/1 22:24:21)

尾丸ポルカ> それはさておきだ、ログを見たら何やら面白そうな事してるんだな。飲み物をダイスの出目で決める……配信者ならそこは勿論面白くならなきゃ嘘だよなあ！？   (8/1 22:24:28)

尾丸ポルカ> 1d6 → (5) = 5  (8/1 22:24:34)

エロガキ♂18p> ただいま〜NICE突っ込みポルカさん〜♪(*ﾟ▽ﾟ*)   (8/1 22:24:58)

尾丸ポルカ> あ、おかえり。そして激苦コーヒーってなんだよ。微妙に面白くないセレクトになっちゃったじゃん。   (8/1 22:25:38)

エロガキ♂18p> ほろ酔いになったら最高だったのに〜笑   (8/1 22:25:59)

エロガキ♂18p> ポルカさんはここにはよく来るの？   (8/1 22:26:51)

尾丸ポルカ> 悪いな、セレクトの中に酒はないんだ。あと、こんな所で酔ったらガキたちが何するか分かったもんじゃないからな。……うげぇ、苦っ！？（ぺっぺっ）   (8/1 22:27:08)

尾丸ポルカ> んー、まあそれなりに顔は出してる方じゃないかな、あんまり考えた事なかったけど。そういうキミは……多分初めてなんだろうな。   (8/1 22:27:54)

エロガキ♂18p> 確かにルールだと別部屋にですね〜メニューには確かに無いし苦い系だったね〜   (8/1 22:28:25)

エロガキ♂18p> うん初めてです〜   (8/1 22:28:36)

エロガキ♂18p> フレアさんの配信終わってここに来ました笑   (8/1 22:29:06)

尾丸ポルカ> 生憎ポルカは割と人を見るのと、その手のことはあんまり慣れてないだ。基本ここで雑談しに来てる事ばかりで、ゲームの方はごくごく稀に支援で行くことがあるくらいでさ。   (8/1 22:29:55)

尾丸ポルカ> ああ、だから白猫のコメントだったワケか。   (8/1 22:30:40)

エロガキ♂18p> なるなる〜僕も基本はROM専です♪   (8/1 22:31:38)

エロガキ♂18p> ですです〜ポルカさん出ない笑なのでここで話せてめちゃ嬉しかった〜♪   (8/1 22:32:22)

尾丸ポルカ> なるほど？……ROM専なのにわざわざ降りて来たってのはやっぱポルカと話したかったって事なのか。納得だ。ガチャは……うん、バイト代の範囲でやろうな、ポルカとの約束だ。   (8/1 22:33:22)

エロガキ♂18p> 無課金勢ですから大丈夫〜でも石無くなりメンタルやられた笑   (8/1 22:34:55)

エロガキ♂18p> ポルカさんめちゃ話し面白いですからね〜♪   (8/1 22:35:22)

尾丸ポルカ> 健全な遊び方でえらいぞ。ガキのうちは下手に課金コンテンツなんて手伸ばすもんじゃあないとポルカは思うんだ。とはいえ、人のお金の使い道にあれこれ口出せる立場でもないんだけどさ。   (8/1 22:36:14)

尾丸ポルカ> 今はチルタイムだからこんなだけど、多分ホロメンとかお仲間が来たらエンジンかかるんだろうなあ。   (8/1 22:36:53)

エロガキ♂18p> ポルカさんめちゃしっかりしてる〜NICEコメントですね〜   (8/1 22:38:19)

エロガキ♂18p> チルタイム〜いろんな人来るんですね〜まったりのんびりもいいですよね〜   (8/1 22:39:05)

尾丸ポルカ> そりゃあ、自分のためにお金を出してくれるのはありがたいよ、でも、その結果お金使い込んじゃって苦しい思いして配信すら見てる余裕がない、なんて事にはなって欲しくないしさ。なんでも長く細く、ってやつだよ。うん。   (8/1 22:40:12)

尾丸ポルカ> 今夜はどうだろうなあ。もう少し遅い時間になればワンチャンかもとは思うけど、金曜だしなー。   (8/1 22:40:49)

エロガキ♂18p> Vtuberさんは体調に気をつけて、マイペースに配信して欲しいです♪ポルカさんの配信楽しみなので明日も見なくてわ♪   (8/1 22:41:50)

エロガキ♂18p> ポルカさんと話せてるだけでもかなり、ラッキーです♪   (8/1 22:42:10)

尾丸ポルカ> ポルカたち配信者に限らずみーんな身体が資本さ。ほら、ポルカたちはまだ室内だけど、世の中には外の暑い中で仕事しないといけない人達もいるわけだし。けど、気遣いはありがとね。キミも外に出るなら熱中症とかに気をつけないと。   (8/1
22:44:03)

エロガキ♂18p> ですね、夜は過ごしやすいけど、昼間は日差しが痛いですもんね〜ポルカさんも体調大丈夫？？   (8/1 22:45:15)

エロガキ♂18p> 我慢せずにクーラー付けて休まないとです♪   (8/1 22:45:52)

尾丸ポルカ> 平気平気、って言いたい所なんだけどさ。……超低気圧。マジ無理。ホント勘弁して欲しい。台風早くどっかいってほしい。（げんなり）   (8/1 22:46:52)

エロガキ♂18p> ちょいテンション落ちてるポルカさんも可愛いですね〜♪僕も同じく頭痛になりやすいから気持ちは少しわかります…ズキズキとダルさがね…   (8/1 22:48:16)

尾丸ポルカ> テンション低め、ならともかく落ちてるのを可愛いってそれ微妙に喜びづらいなあ…？もうね、頭ぐわんぐわんすんのよ。起きるのもホントはキツいくらいに。今はマシなんだけどさ。   (8/1 22:49:51)

エロガキ♂18p> 隣では大きな声出さないで欲しいよね…元気なポルカさんも魅力的なのですが♪僕はそうそうに薬飲んでしまう〜笑   (8/1 22:51:49)

尾丸ポルカ> ポルカがめんどくさい女じゃなくて良かったな、さもなくば……そんなに弱ってる私見て可愛いなんて何考えてるのさ！？私がどれだけ苦しんでるのか知らないくせに！最低！……ってな。そうは言わんけど。   (8/1 22:53:50)

エロガキ♂18p> 可愛いのは可愛いから仕方ない〜普段の元気なポルカさんとのギャップですです♪どんなポルカさんでも僕は構ってもらえて嬉しいです♪ありがと〜   (8/1 22:56:59)

尾丸ポルカ> うーん、なんだか納得いかないなぁ……！っていうか、今時の18ってこんなに幼いのか。ポルカの知見が足りないのか……？   (8/1 22:58:15)

エロガキ♂18p> そう？悩む表情のポルカさんも魅力的って事です♪幼いかなぁ？エロ隠れてるからかも笑   (8/1 23:00:29)

尾丸ポルカ> 気を付けなよー、それ。女の子によっちゃかなーり複雑な心持ちになっちゃうからなー？……エロ抑えたら幼くなんの？そっか、そういう事もあるんだな……あるのか？知らんけど。   (8/1 23:02:08)

エロガキ♂18p> ふむふむ、気をつけないとですね〜僕もわかんない笑感じ方それぞれですからね〜   (8/1 23:03:42)

尾丸ポルカ> 女心は複雑なんだぞ。……さて、そろそろいい時間だなあ。   (8/1 23:04:47)

エロガキ♂18p> 構ってくれてありがとうポルカさん〜   (8/1 23:05:40)

尾丸ポルカ> はいよ。夜更かしは程々になー。それじゃ、おつぽるー。   (8/1 23:06:39)

おしらせ> 尾丸ポルカさんが退室しました。  (8/1 23:06:47)

エロガキ♂18p> おつぽる〜   (8/1 23:06:57)

おしらせ> エロガキ♂18pさんが退室しました。  (8/1 23:07:16)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/2 14:05:48)

エロガキ♂14S> こんにちは～。真昼間だけど遊びに来たよっと   (8/2 14:06:08)

エロガキ♂14S> 流石にいないか・・・？   (8/2 14:16:27)

エロガキ♂14S> いったんかーえろ   (8/2 14:34:21)

おしらせ> エロガキ♂14Sさんが退室しました。  (8/2 14:34:25)

おしらせ> エロガキ♂11vP ◆D0uoVmtoMQさんが入室しました♪  (8/2 17:47:37)

エロガキ♂11vP ◆> おじゃましまーす！   (8/2 17:48:02)

おしらせ> 無言時間が25分を超えたため、エロガキ♂11vP ◆D0uoVmtoMQさんが自動退室しました。  (8/2 18:13:20)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/2 21:36:56)

エロガキ♂14S> こんばんは～。   (8/2 21:37:05)

エロガキ♂14S> 今夜は誰かくるかな？   (8/2 21:40:56)

エロガキ♂14S> お風呂入ってこよ～っと   (8/2 21:58:03)

おしらせ> エロガキ♂14Sさんが退室しました。  (8/2 21:58:06)

おしらせ> 尾丸ポルカさんが入室しました♪  (8/2 22:20:06)

尾丸ポルカ> ポルカおるよー！……ってなんか今夜はずいぶんシケてんなあ。シケてんにぇ。   (8/2 22:20:44)

尾丸ポルカ> ま、週末は出かけたりとかもあるだろうからそんなもんだよな。ポルカは……予定がね……潰れたんだよね……（遠い目）   (8/2 22:23:09)

おしらせ> エロガキ♂14さんが入室しました♪  (8/2 22:24:42)

エロガキ♂14> こんばんはー   (8/2 22:24:58)

尾丸ポルカ> あいこんばんは。それより君はお部屋のルール読んできたかな。   (8/2 22:25:25)

おしらせ> エロガキ♂14さんが退室しました。  (8/2 22:25:42)

おしらせ> エロガキ♂14Aさんが入室しました♪  (8/2 22:25:53)

エロガキ♂14A> 入り直しました   (8/2 22:26:01)

