/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月11日 13時23分 ～ 2024年12月13日 00時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> せめてご飯を食べた方がいいかも。いや、ご飯を食べて眠くなって横になったらよくないか…？（むむむ）んんん！あまり構うことで起き続ける理由を与えるのもいつか寝落ちする前振りをし続けることになりそうだから俺はゆこう…戦いの荒野へ！あとはまかせた！
  (2024/12/11 13:23:53)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/11 13:23:58)
エロガキ♂17C> はいはい、頑張って面倒くさい女ムーブしなくても既に面倒くさいの露呈してるんだから無理しなさんな。その勢いで酒一気飲みされたら後々マジで面倒だ。（どうどう）パンイチな訳ねーだろ。   (2024/12/11 13:42:44)

雪花ラミィ> あーあ、もうマジでそういうの一番ラミィ効くかんね。もうお口効いてやんない！べーだ！！バカおつ！！（クソガキ）   (2024/12/11 13:43:46)

エロガキ♂17C> 大人子供の部類で言えば後者に違いない。もっとも、この歳でガキ扱いしてくる大人なんてそうそうはいないけどな。   (2024/12/11 13:43:51)

エロガキ♂17C> 拗ねてクソガキ化するなっての、オレにお前とこの11bの面倒見ろとかどういう地獄だよ。はいはい、お兄さんと仲良くしような。（棒読み）   (2024/12/11 13:45:28)

エロガキ♂17C> 途端に静かになるもんだな。……ま、昼寝するにはちょうどいい陽当たりだしな。（座布団に腰を下ろし湯呑みに注いだ茶を啜りつつ、窓の外からの陽光に目を細め。）   (2024/12/11 13:51:15)

エロガキ♂11b> 面倒ぐらいみてくれてもいいと僕は思うなー！！...嫌だったらここで寝るけどッ！(部屋のすみで三角座り)   (2024/12/11 13:51:53)

エロガキ♂17C> 生憎ガキの面倒見れる程オレも器用じゃあなくてね。寝ないなら 寝かせてしまえ クソガキども（字足らず）の精神だ。あと寝るなら布団で寝ろ。   (2024/12/11 13:53:27)

エロガキ♂11b> 変な俳句？だね...僕はここでいいよ～、身の程はわきまえてるつもり...   (2024/12/11 13:56:22)

エロガキ♂17C> 詠み人知らず。あと季語がないから俳句じゃなくて短歌の部類だ。……身の程の意味がズレてやしないかね、それ。   (2024/12/11 13:57:32)

エロガキ♂11b> へ～...季語がないと短歌ってへんだね、、というか僕よりもそこのお姉さんのこと気にかけなくていいの？   (2024/12/11 13:59:24)

エロガキ♂17C> そういうもんだと飲み込むしかない事もあるんだよ。……ん？そこのハーフエルフなら無事に眠れたってところなんだろうさ。寝た子を起こす趣味もなければ、今更起こそうとも思わないよ。   (2024/12/11 14:02:14)

エロガキ♂11b> そっか～...それじゃあ、あのお姉さんのお見送りは任せてもいいかな？、、そろそろ行くぞって言われてる気がしてさ...行かないといけないみたいで   (2024/12/11 14:03:43)

エロガキ♂17C> はいよ、任せられるも何も元よりそのつもりだよ。行かなきゃいけないなら行ってくるといい。   (2024/12/11 14:04:19)

エロガキ♂11b> なら、お願いしちゃうね！！(手をブンブン振りながらでていって)   (2024/12/11 14:05:40)

おしらせ> エロガキ♂11bさんが退室しました。  (2024/12/11 14:05:42)

エロガキ♂17C> はいはい、お疲れさん。   (2024/12/11 14:06:05)

エロガキ♂17C> ……しかし、面倒くさい女とは言ったが、都合のいい女だなんて一言も言っちゃいないんどけどな。   (2024/12/11 14:07:23)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (2024/12/11 14:08:52)

エロガキ♂17C> お疲れさん。良き眠りを。（毛布3枚重ねで簀巻きにして部屋の端に転がしておこう。解けても知らん。）   (2024/12/11 14:09:43)

エロガキ♂17C> 気が付けば結局子守をしてる様な気がしなくもないな、これだと。……参ったね、どうも。   (2024/12/11 14:11:26)

エロガキ♂17C> この時間から人が来る事はそうないだろうし、適当にのんびりして頃合になったらオレも行くとするか。ちなみにズボンはあったよ、他の服と色が似てたせいで同化してた。   (2024/12/11 14:13:59)

エロガキ♂17C> さて、それじゃあオレもそろそろ行くとするか。   (2024/12/11 14:20:41)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/11 14:20:56)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/12/11 21:07:12)

エロガキ♂17L ◆> はぁ、負けたか……なんか釈然としないな……   (2024/12/11 21:08:02)

エロガキ♂17L ◆> まぁ、こんな日もあるか、深夜は盛り上がってるといいが……   (2024/12/11 21:09:04)

エロガキ♂17L ◆> つか、あの毛布の塊なんだ……まぁ気にしたら負けだな…   (2024/12/11 21:09:55)

エロガキ♂17L ◆> (チラリと覗いてみれば)……なるほどな、まぁ、そろそろ戻るか……   (2024/12/11 21:11:24)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/12/11 21:11:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/11 22:52:35)

エロガキ♂19b ◆> こんばんは～！！誰かおるか～！！(バン！！)   (2024/12/11 22:53:29)

おしらせ> トウコさんが入室しました♪  (2024/12/11 23:01:36)

トウコ> こんばんは。寂しそうにしてるからきてあげたよ。   (2024/12/11 23:02:03)

エロガキ♂19b ◆> あら、こんばんはー！   (2024/12/11 23:02:27)

エロガキ♂19b ◆> お昼ぶりかな、夜の戦いの準備してるのかなー？   (2024/12/11 23:04:29)

トウコ> 一度勝負はしてるから夜は   (2024/12/11 23:04:59)

エロガキ♂19b ◆> 昨日の夜にやったもんね～...昨日っていっていいのかは微妙だけど！   (2024/12/11 23:05:57)

トウコ> 朝まで貴方には犯されたけど   (2024/12/11 23:07:22)

エロガキ♂19b ◆> ....否定はしないね...なに、またされたくなったの～？なんてね   (2024/12/11 23:08:29)

トウコ> させないから   (2024/12/11 23:09:32)

エロガキ♂19b ◆> ふっ...まぁ、ここでは手はださないから安心しなさいな、、少なくとも俺はね   (2024/12/11 23:10:21)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/11 23:10:53)

トウコ> 勝負も勝つから今度は、絶対に   (2024/12/11 23:10:56)

エロガキ♂18hx> こんばんは～   (2024/12/11 23:11:00)

トウコ> こんばんは   (2024/12/11 23:11:07)

エロガキ♂19b ◆> こんばんは～！   (2024/12/11 23:11:19)

エロガキ♂18hx> はじめまして～トウコさん   (2024/12/11 23:11:39)

エロガキ♂18hx> 19さんドーモ   (2024/12/11 23:12:01)

トウコ> ご丁寧に、はじめまして18hxさん   (2024/12/11 23:12:11)

エロガキ♂19b ◆> 次もトウコちゃんは勝てないと思うけどね～...   (2024/12/11 23:13:10)

トウコ> 勝つもん次は   (2024/12/11 23:14:18)

エロガキ♂19b ◆> 可愛いかよ...まぁ、、勝てるように頑張ってね～と、応援はしておくよ   (2024/12/11 23:15:21)

エロガキ♂18hx> 舌戦ですね   (2024/12/11 23:15:33)

トウコ> っんん(ボールを投げそうになって)   (2024/12/11 23:16:08)

エロガキ♂19b ◆> すぐボールに頼ろうとするのやめよ！？   (2024/12/11 23:16:57)

エロガキ♂18hx> なんかが出てくる…   (2024/12/11 23:17:33)

トウコ> トレーナーの癖だから。仕方ないの   (2024/12/11 23:18:03)

エロガキ♂19b ◆> そっかー...でも危ないからやめようねー？   (2024/12/11 23:18:54)

トウコ> 19さんにしかしないから。   (2024/12/11 23:19:44)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/12/11 23:20:18)

トウコ> してもいいような雰囲気がありまして?ログを見ると   (2024/12/11 23:21:07)

エロガキ♂19b ◆> いいけどさ！！...おれいがにしたら死人がでるからね！？   (2024/12/11 23:21:56)

エロガキ♂18hx> さて…昨日がんばったから、今日は早めに寝ようかな   (2024/12/11 23:25:51)

エロガキ♂19b ◆> およ、寝るのかい？   (2024/12/11 23:26:11)

エロガキ♂18hx> 夜更かしが続くと、遊びたいときに遊べないから（笑）   (2024/12/11 23:26:47)

トウコ> そうですね。エンブオーを突進させても死なないですからね。(フィストを突っ込んだらどうなるのだろう)   (2024/12/11 23:26:56)

エロガキ♂18hx> では、おふたりごゆっくり～   (2024/12/11 23:29:41)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/11 23:29:45)

エロガキ♂19b ◆> お疲れさまー！...んー、、基本なにされても大丈夫だけど...   (2024/12/11 23:30:40)

トウコ> それなら、いいのですけど   (2024/12/11 23:31:23)

エロガキ♂19b ◆> だから、遠慮なくぶつけてもらっていいからねー   (2024/12/11 23:32:29)

トウコ> (エンブオーがというのは黙っておこう)そうですか。   (2024/12/11 23:34:09)

エロガキ♂19b ◆> そうそう、、それで...トウコちゃんは次はなにするつもりかな？   (2024/12/11 23:38:42)

トウコ> 何がですか？流石にここではしませんよ。   (2024/12/11 23:39:46)

エロガキ♂19b ◆> また、エンブオー突撃させてくるかなって思ったけどそんなことはないか...よかった...   (2024/12/11 23:41:21)

トウコ> してほしいのならしますけど。   (2024/12/11 23:43:35)

エロガキ♂19b ◆> 遠慮しておこう～！   (2024/12/11 23:44:01)

トウコ> 遠慮しなくてもいいですから。   (2024/12/11 23:44:18)

エロガキ♂19b ◆> 勘弁してね！？痛いんだからね？   (2024/12/11 23:45:43)

トウコ> 冗談ですよ。   (2024/12/11 23:48:33)

エロガキ♂19b ◆> それならよかった...   (2024/12/11 23:50:09)

トウコ> 私もそろそろ寝ますね。   (2024/12/11 23:53:03)

エロガキ♂19b ◆> おっと、、ゆっくり寝るんだよ～...   (2024/12/11 23:53:45)

おしらせ> トウコさんが退室しました。  (2024/12/11 23:54:05)

エロガキ♂19b ◆> 俺も一旦落ちよっと！   (2024/12/11 23:55:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/11 23:55:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/12 07:14:13)

エロガキ♂19b ◆> おはよう～！！誰かおるかぁ！！   (2024/12/12 07:14:36)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/12/12 07:20:28)

エロガキ♂17L ◆> 私が来た!!   (2024/12/12 07:20:38)

エロガキ♂17L ◆> てことでおはよ   (2024/12/12 07:20:49)

エロガキ♂19b ◆> おはよう～！   (2024/12/12 07:21:41)

エロガキ♂19b ◆> 相変わらず暇人の私が先行待機してましたよ～！....朝だから仕方ないけど！   (2024/12/12 07:22:17)

エロガキ♂17L ◆> それはそうね、ちなみに長居しないから   (2024/12/12 07:23:16)

エロガキ♂19b ◆> まぁ、朝は準備とか色々で忙しいもんね～...   (2024/12/12 07:24:45)

エロガキ♂17L ◆> ま、そんなとこ、正直眠い   (2024/12/12 07:25:12)

エロガキ♂19b ◆> 寝起きとかだと眠いのはわかる...ベットからでたくないし、出来ればそのまま籠っていたい！   (2024/12/12 07:26:21)

エロガキ♂17L ◆> ほんとそれ、学校とか仕事なんて無くなればいいのに……   (2024/12/12 07:27:03)

エロガキ♂19b ◆> それに関しては諦めな～、仕方のないことよ！！   (2024/12/12 07:29:32)

エロガキ♂17L ◆> とっくのとうに諦めてるよ、言ってないとやってらんないからさ   (2024/12/12 07:30:43)

エロガキ♂19b ◆> これが世の中の闇！！(そんなことはない)   (2024/12/12 07:33:27)

エロガキ♂17L ◆> かもね？   (2024/12/12 07:34:17)

エロガキ♂19b ◆> まぁ、無理はせずにほどほどにやっていこうー...10 分ほど離席するね！   (2024/12/12 07:36:12)

エロガキ♂17L ◆> あいー   (2024/12/12 07:36:30)

エロガキ♂19b ◆> たでーま   (2024/12/12 07:44:38)

エロガキ♂17L ◆> おか   (2024/12/12 07:45:00)

エロガキ♂17L ◆> まぁ、帰ってきたとこ早々で悪いけど、落ちるわ、目的地着いたし   (2024/12/12 07:46:06)

エロガキ♂19b ◆> おーう、まじか...頑張ってな...   (2024/12/12 07:46:49)

エロガキ♂17L ◆> てことでお疲れ、また話そうな   (2024/12/12 07:47:06)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/12/12 07:47:12)

エロガキ♂19b ◆> あいよー！お疲れさまー   (2024/12/12 07:47:19)

エロガキ♂19b ◆> さーて、あんまり長く居座ってもあれですし行こうかねぇ...せっかくなら待機に！っていいたいけど、連続になりそうだし一旦様子見～！！   (2024/12/12 08:04:42)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/12 08:04:47)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/12 10:01:27)

エロガキ♂13Al> おはよーございまーす。まだ眠い……   (2024/12/12 10:01:38)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Alさんが自動退室しました。  (2024/12/12 10:27:17)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/12 10:29:16)

エロガキ♂13Al> きゃあ。再起動かけてる間に落ちてた！   (2024/12/12 10:29:25)

エロガキ♂13Al> お昼が近づいてきている……   (2024/12/12 10:51:37)

エロガキ♂13Al> それではまた！   (2024/12/12 11:14:22)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/12 11:14:23)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/12 12:52:24)

エロガキ♂14C ◆> お米を食べたい   (2024/12/12 12:52:39)

エロガキ♂14C ◆> って半端すぎるところで切れた！お米を食べたいお昼、こんにちはー！   (2024/12/12 12:52:57)

エロガキ♂14C ◆> 温めてたらぼんやりしちゃってた……   (2024/12/12 13:01:42)

エロガキ♂14C ◆> それにしても年末まであっという間だなあ…クリスマス？プレゼントくれるおねーさんがいればいいなー、   (2024/12/12 13:04:01)

エロガキ♂14C ◆> やっぱりお昼時じゃ人いなくて寂しいねー。てったーい。   (2024/12/12 13:12:50)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/12 13:12:53)

おしらせ> アドミニストレータさんが入室しました♪  (2024/12/12 13:12:58)

アドミニストレータ> あら、、入れ違いのようね   (2024/12/12 13:13:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/12 13:15:57)

アドミニストレータ> まぁいいわ…少しだけゆっくりと待っていましょう。待っている間はとても退屈なのだけれど、、   (2024/12/12 13:15:59)

アドミニストレータ> ふふ、のんびり待つ時間さえないのね。いらっしゃい、坊や   (2024/12/12 13:16:30)

エロガキ♂19b ◆> ハロ～...普段から入り浸ってる19bですよ～、こんにちは。俺の知ってるアドミちゃんではなさそうだねぇ～   (2024/12/12 13:16:55)

アドミニストレータ> 入り浸りと聞くとまるでこの世界の住人のようにも聴こえるわね。ふふ、、その呼び方はまるでどこかの人間のようね。ええ、そうよ？私は坊やに対する記憶は何もないわ。期待させたならごめんなさいね、、   (2024/12/12 13:18:56)

エロガキ♂19b ◆> もはや住人といっても過言ではないな... 呼び方に関しては、、候補が多いんだけど...長すぎるからいったんこれで！大丈夫大丈夫、覚えてもらおうなんてつもりもないしね～...しかしその格好は少々刺激的だなぁ...ま、いいけど  
(2024/12/12 13:21:06)

アドミニストレータ> 否定しないのね、、いっその事あなたも完全にこちらの住人になってしまえばどう？呼び名ね…ええ、いいわ。あの名前で呼ぼうものならあなたを瞬く間に灰にしてやるけれど、、。全裸でもないのに性的欲求を刺激されるなんて、、人のオスは大変ね  
(2024/12/12 13:24:57)

エロガキ♂19b
◆> それも悪くはないけど、俺は飛び回るのが好きだから難しいかもね～...正解を選んでよかったぁ！！さすがに灰にされたらもとに戻るのに少し時間かかっちゃうし...アドミちゃんが可愛すぎるからかもしれないね、、時に可愛さはエロさにもなるって誰かが言ってた気がする
  (2024/12/12 13:28:22)

アドミニストレータ> 灰から戻れるなんてあなた本当に人間？人外の間違いだったかしらね。そんな言葉は聞いた覚えがないわ、少なくとも私の記憶領域に坊やの言った言葉は存在しないけれど、、そうね、私の美貌はここの子供たちにはまだ早かったかしら  
(2024/12/12 13:32:57)

エロガキ♂19b
◆> まぁまぁ、色々ありましてねぇ...ある程度のことなら耐えれる強靭な肉体を手に入れたというかなんというか、あらそう？なら俺がその言葉は作ったってことにしておこうー！(適当)...アドミちゃんのとんでもなく美しい美貌はねぇ...早くはないかな、ここの子達は何だかんだ皆女の子抱いてるからね、もちろん俺も
  (2024/12/12 13:36:26)

アドミニストレータ> どんな経緯があればただの人間がそんな体を手に入れるのよ、、まぁいいわ。あら、、私の体はそんなに普通かしら？てっきり血眼で求められるものだと思ったのだけれど、、ふふ、そう。欲望の赴くままに異性を貪るような子達にとって、異性はただの道具のようなものなのかしら
  (2024/12/12 13:42:25)

エロガキ♂19b ◆> 押さえてるだけだよ～、ここでは過度なことは厳禁だからね、、やるならあっちの勝負部屋で...アドミちゃんを食べるかな。道具かどうかは人によるよ...俺は～、ノーコメントで   (2024/12/12 13:44:27)

アドミニストレータ> あら、私を食べるつもりなの？そうね、、気が向けば遊んであげてもいいわ、私も退屈だもの。そこで答えないというのは人によってはあらぬ誤解を招くものよ、坊や。けどそうね、、あなたの場合は異性は食べ物かしら？さっきも私のことを食べるなんて言うくらいだもの
  (2024/12/12 13:48:58)

エロガキ♂19b ◆> 変な誤解は沢山招いてるからいま増えて問題はない！...まぁ、メインディッシュやデザートではあるかもね。でもあくまでも比喩でいってるだけだから...   (2024/12/12 13:51:39)

アドミニストレータ> 比喩ねぇ、、？それなら私が今ここで、下手に騒いで叫び声でもあげたらどうなるのかしら？もちろんそんなことはしないから安心なさい。ただ少しだけ退屈ね、、、何か面白い催しでもないかしら。   (2024/12/12 13:55:54)

エロガキ♂19b
◆> それをされるとまた俺が勘違いされるね、女の子を叫ばせた悪い人だ！ってさ...ふっ...あいにくと長い年月を生きたアドミちゃんを満足させられるような催しは考え付かないなぁ...俺らのなかは常にエッチなことでいっぱいだからね、、できるとことと言えば勝負することぐらいかな、勿論サイコロでね(握っているサイコロをアドミちゃんのほうに転がして)
  (2024/12/12 13:59:03)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/12/12 14:01:01)

雪花ラミィ> 酒は最高のもよおし、ゆきはなです。見守っとこ。（遠巻き）   (2024/12/12 14:01:18)

アドミニストレータ> いくら勘違いが増えたとしても坊やにとっては今更なのでしょ？ならひとつやふたつ増えたところで何も変わりはしないわ。残念ね、、てっきり退屈凌ぎでもできると思っていたのだけれど、、なんて、そう言っていれば新しいお客さんね。いらっしゃい、エルフの子
  (2024/12/12 14:01:44)

エロガキ♂19b ◆> やっほー！ラミィちゃん！挨拶代わりの一升瓶はいかが！！(一升瓶をラミィちゃんに投げつけて)   (2024/12/12 14:02:08)

アドミニストレータ> このサイコロ…目はいくつかしら？   (2024/12/12 14:02:10)

エロガキ♂19b ◆> 安定と信頼の1d100だよ～   (2024/12/12 14:03:03)

アドミニストレータ> 酒の催し、、つまり宴に近いものね。飲んで食べて、騒いでとお祭り騒ぎならいくらか退屈凌ぎにもなりそうね。何故そんなに多い目なのか聞いてもいいかしら？   (2024/12/12 14:03:29)

エロガキ♂19b ◆> 勘違いが増えすぎても困るんだけどね！！...目が多い理由は簡単だよ～、、四角のサイコロよりもこっちのほうがドキドキするからかな、ギリギリまで目が分からない...止まってからじゃないと何がでたかわからない、、最高じゃない？  
(2024/12/12 14:04:54)

雪花ラミィ> 初めまして〜、アド様。よろしくお願いしますね。よくここで、酒を飲み晒してるエルフでございます。いただきまーー！！（豪快なキャッチ）   (2024/12/12 14:05:37)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/12 14:08:09)

エロガキ♂18hx> こんにちは～はじめまして～   (2024/12/12 14:08:20)

エロガキ♂19b ◆> だんだんと賑やかになってきたねぇ～、こんにちは～   (2024/12/12 14:08:34)

エロガキ♂18hx> まだまだここは新参ですが、よろしくお願いします   (2024/12/12 14:10:01)

雪花ラミィ> およ、初めましてじゃない気もするけど初めましてなんかな…？こんらみ。呑むかい（ダメ）   (2024/12/12 14:10:40)

エロガキ♂18hx> あ～誰も見てないところでならいだきます（笑）   (2024/12/12 14:13:14)

エロガキ♂19b ◆> 悪い子だ！！   (2024/12/12 14:13:51)

雪花ラミィ> ようし、副店長、アレやっちゃってください（鬼畜エルフ、脅威のキラーパス）   (2024/12/12 14:15:22)

エロガキ♂19b ◆> いやいや、何いってるんですか、店長～...ここは店長がちゃんといってあげないとダメなところですよ～！ほら！！お願いしますよ！！(返しとくね)   (2024/12/12 14:16:21)

アドミニストレータ> サイコロの目が増えれば増えるほど形状は丸くなっていくものよ。サイズ次第といったところではあるのだけれど、、目が増えればある程度大きさもないと、そもそもいくつの目が出たかもわからないわね。   (2024/12/12 14:17:12)

雪花ラミィ> いやいやいや、ラミィはもはや援助しただけなんよ、未飲。良くないんよ。ラミィもろとも叱ってください（？）   (2024/12/12 14:17:44)

エロガキ♂19b ◆> それなんだよね！！何がでたか分からない！！それこそが！！楽しい瞬間とも言える   (2024/12/12 14:18:02)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/12 14:18:28)

エロガキ♂19b ◆> 俺の叱りだとパンパンすることになるけど大丈夫？   (2024/12/12 14:18:36)

アドミニストレータ> ええ、よろしく。エルフの子というのも何だか味気ないわね、、ラミィと呼ぶべきかしら。自己紹介と同時に飲酒関連の話題に触れているあたりあなたの酒飲みは筋金入りといったところかしら   (2024/12/12 14:18:45)

エロガキ♂13Al> よく考えたら10代が出入りしてるところでお酒飲むのって深刻なアルハラ…（？？？つて頭の上に浮かべながら）   (2024/12/12 14:19:03)

アドミニストレータ> そして、、纏めてになってしまったけれど、新しい坊や2人はいらっしゃい。   (2024/12/12 14:19:23)

エロガキ♂19b ◆> こーんにちは！だいぶ集まりがよくなってきたかな？   (2024/12/12 14:20:34)

アドミニストレータ> 100の目ね、、何か賭けた方がいいのかしら？   (2024/12/12 14:20:57)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/12 14:21:07)

エロガキ♂18hx> こんにちは～   (2024/12/12 14:21:19)

エロガキ♂19b ◆> エロガキらしくアドミちゃんとヤる権利でもかけるかい？なんてね～...そんなことしたら俺がここのメンツに殺されかねん...   (2024/12/12 14:21:54)

エロガキ♂14C ◆> ……自分のタイミングの悪さに少しうんざりしちゃうね。5秒差で入れ違いとかログ見てびっくりしたよ。こんにちは。   (2024/12/12 14:22:02)

エロガキ♂19b ◆> うぉーい、ビックリするぐらい賑わってきたな...いいことだ...こんにちは、   (2024/12/12 14:22:28)

雪花ラミィ> 副店長解任かあ、いやあ、長い間お疲れ様でした（白目）家訓は飲酒、朝呑昼寝夜呑の生活。酒飲みエルフを、それでも愛そうと思ってくれる人を募集してます。   (2024/12/12 14:22:31)

エロガキ♂13Al> 勝負をしてどちらかが負けたらラミィちゃんが禁酒…！   (2024/12/12 14:22:41)

エロガキ♂19b ◆> 副店長なにもしてないけどね～...未成年なんで酒も仕入れれないし、そもそも在庫ないし！！   (2024/12/12 14:23:29)

エロガキ♂14C ◆> そして毛布3枚だと解けなかったんだね、寝落ち魔エルフ。よかったよかった。   (2024/12/12 14:23:48)

雪花ラミィ> こんらみぃ。やっぱり寝落ちはするもんじゃないね、風邪も引くし悪いことしかおきない（ぷるぷる。）   (2024/12/12 14:24:35)

エロガキ♂18hx> みなさんお知り合いのようす（遠巻きに）   (2024/12/12 14:24:41)

