/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 07時34分 ～ 2024年10月19日 00時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> 優しい先生でも居眠りしたらそりゃ怒る   (2024/10/18 07:34:14)
エロガキ♂18Z> こんにちは〜   (2024/10/18 13:44:03)

エロガキ♂19b ◆> こんにちは～...   (2024/10/18 13:44:06)

エロガキ♂13HL ◆> んー？反応は悪くならないですよー！   (2024/10/18 13:44:22)

エロガキ♂14C ◆> 念願のリベンジ果たせて個人的には言う事なし、こんにちはーっ。   (2024/10/18 13:45:08)

胡桃 ◆> 2人ともまとめてこんにちは〜！(14C君はぺしぺし。19bさんは護摩で頭ぺしっ。)   (2024/10/18 13:45:08)

エロガキ♂13HL ◆> あっでもたまに通知の音がならない時あるからそこだけちょっと気をつけなきゃですね…今も更新の音入らなかったので……   (2024/10/18 13:45:19)

エロガキ♂13HL ◆> こんにちは〜(ぺこっ)   (2024/10/18 13:45:34)

胡桃 ◆> 13HL君は無理しなくていいんだよ？   (2024/10/18 13:45:36)

エロガキ♂14C ◆> くっ、色の擬態で18Zにーさんを盾にする作戦は失敗か……！   (2024/10/18 13:45:53)

エロガキ♂19b ◆> いった！！！...ごめんて...もう、、完全にやらかしたぁ   (2024/10/18 13:45:53)

エロガキ♂13HL ◆> 無理してないよー！家でごろごろしながら寝起きで頭若干回ってないだけだから……！   (2024/10/18 13:46:30)

エロガキ♂18Z> さりげなく身代わり人形にされていて笑ってしまった   (2024/10/18 13:46:58)

胡桃 ◆> はいはい、ここは懺悔室じゃないよ？(自分で叩いておいてだけど、一応絆創膏渡しとこうかな。氷の方がいい？)   (2024/10/18 13:47:10)

エロガキ♂19b ◆> 大丈夫ー！頑丈さには自信がある！！   (2024/10/18 13:47:35)

エロガキ♂14C ◆> まあぽんこつにーさんは次に生かすしかないんじゃない？深くは触れないけど。   (2024/10/18 13:47:37)

エロガキ♂13HL ◆> bお兄さんとCくんなんか久しぶりに喋った気がする！   (2024/10/18 13:47:38)

胡桃 ◆> じゃあつぃはもう少し威力を上げて……(HP50%以外の元素スキルで……。)   (2024/10/18 13:48:29)

エロガキ♂18Z> さて、そろそろお時間なので失礼します〜。お疲れ様でした〜(暑いから外出たくなぁぁぁ……)   (2024/10/18 13:48:39)

胡桃 ◆> 13HL君は大丈夫なの〜？   (2024/10/18 13:48:45)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/18 13:48:46)

エロガキ♂14C ◆> 多分タイミングががっつり合わなかっただけ説かなー？一応それなりに僕はちらほら顔出してるし、ぽんこつにーさんに至っては出現率（高だし。）<13HLくん久々   (2024/10/18 13:48:47)

エロガキ♂14C ◆> 18Zにーさんおつかれさまー   (2024/10/18 13:48:58)

おしらせ> フェルンさんが入室しました♪  (2024/10/18 13:49:01)

胡桃 ◆> あ、18Zさんお疲れさま〜！また話そうね！   (2024/10/18 13:49:02)

エロガキ♂13HL ◆> お疲れ様ですよー！   (2024/10/18 13:49:05)

胡桃 ◆> あ、フェルンさんだ。こんにちは！   (2024/10/18 13:49:16)

エロガキ♂19b ◆> お疲れさま～、そしてこんにちは～   (2024/10/18 13:49:19)

フェルン> ……お邪魔いたします。   (2024/10/18 13:49:19)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/18 13:49:26)

エロガキ♂13HL ◆> 胡桃ちゃん何がかな！？(なんかやらかしたかなの顔)   (2024/10/18 13:49:27)

胡桃 ◆> (スペルマシンガン…？)   (2024/10/18 13:49:32)

エロガキ♂14C ◆> そして現れたデカいプロフ芸おねーさん。こんにちはーっ。   (2024/10/18 13:49:32)

エロガキ♂14C ◆> あ！！！！！！！   (2024/10/18 13:49:37)

雪花ラミィ> あ゛ーーーーごん゛ら゛みーーーー   (2024/10/18 13:49:43)

フェルン> （胡桃さまの方を伺って、どうも……ってペコリっと頭下げしつつ）   (2024/10/18 13:49:44)

エロガキ♂13HL ◆> フェルンさん、ラミィお姉さんこんにちは〜(ぺこっ)   (2024/10/18 13:49:48)

胡桃 ◆> おやおや〜…こんな時間でも人は来てくれるね。   (2024/10/18 13:49:49)

エロガキ♂19b ◆> こんにちは～   (2024/10/18 13:49:58)

フェルン> っ……どうも、こんにちは。エルフの方、でしょうか？（ぺこりと新しくいらした、白い長耳の方へ頭を下げ）   (2024/10/18 13:50:29)

エロガキ♂14C ◆> （イッキ飲み厳禁の貼り紙ぺたぺた）   (2024/10/18 13:50:31)

胡桃 ◆> うーん…元気のいい挨拶！(堂主は流した。)こんにちは！   (2024/10/18 13:51:02)

エロガキ♂14C ◆> 声が酒焼けしてるのか喉が荒れてるのかわかんない声してるんだけど、このハーフエルフ。てか風の噂で風邪引いてたって聞いたんだけど？？？？（ぺしぺし）   (2024/10/18 13:51:41)

雪花ラミィ> 皆さんはじめまして♥可愛い清楚のハーフエルフ、好きなものはマイメロとわたあめ、雪花ラミィです♥……げっ゛ほげっほ！！（まだ風邪治りきってないかお）   (2024/10/18 13:52:12)

おしらせ> エロガキ♂13Aさんが入室しました♪  (2024/10/18 13:52:32)

エロガキ♂19b ◆> ダメじゃねえか！！   (2024/10/18 13:52:36)

エロガキ♂13A> こんちわ〜ッスよ〜   (2024/10/18 13:52:45)

エロガキ♂14C ◆> 13Aくんこんにちはー。   (2024/10/18 13:52:51)

胡桃 ◆> ラミィさんは体調悪化する前に休んでね〜？(じゃないとこれ使う事になるよ？棺桶ごと…っと置いて。)   (2024/10/18 13:53:00)

エロガキ♂13HL ◆> ……ラミィお姉さん無理はしちゃダメだからね……？(すっと葛根湯と各種のど飴などを用意してはすっと手渡して)   (2024/10/18 13:53:09)

胡桃 ◆> 13A君こんにちは〜！今日はお昼から盛況だね〜   (2024/10/18 13:53:16)

エロガキ♂13HL ◆> こんにちは〜♪(ぺこっ)   (2024/10/18 13:53:19)

フェルン> ハーフ、エルフ……ですか。（どおりで、という感じで納得しつつ、さらに増える人……勢いに飲まれそう）   (2024/10/18 13:53:31)

雪花ラミィ> あ、フェルン様。ちっさ、ですねちっさ。（チョイスするところが終わってる）ラミィのおっぱいはしっかりでっかいから安心してもろて。いやーーー、ちゃうねん。酒呑んでお腹だして寝てたら最近寒くなってクソ風邪引いたねん。   (2024/10/18
13:54:28)

胡桃 ◆> おっと…フェルンさんが呑まれちゃいそう？ふふ、私は席を空けるから無理のない範囲で楽しんでね(大丈夫？ってフェルンさんの横から顔だけ覗かせて、ちょっと様子見たらすぐ離れるけど。)   (2024/10/18 13:54:50)

胡桃 ◆> (プロフ芸人なんだ…)   (2024/10/18 13:55:08)

フェルン> ええ、ちっさ……ですね。（ナニがでしょうかね。わかりかねますが。ラミィさまは大きくていらっしゃいますね。）　フェルンと申します。どうぞお見知りおきを   (2024/10/18 13:55:28)

胡桃 ◆> (どうしよう。見てるのバレたから逃げなきゃ…)   (2024/10/18 13:56:36)

エロガキ♂14C ◆> ハイハイ、JカップJカップ。……なんとなくそうかな、とか思ってたらやっぱそうだった。（クソデカ溜息）……割と真面目に心配したんだぞ、ばーか。（小声）   (2024/10/18 13:56:36)

エロガキ♂13A> うぅ……寝みぃッス……   (2024/10/18 13:56:51)

エロガキ♂14C ◆> （プロフ芸人で間違ってなかったでしょ？）   (2024/10/18 13:56:55)

胡桃 ◆> 13A君は寝起き？大丈夫？ちゃんと寝ないと大きくなれないよ〜？   (2024/10/18 13:57:13)

エロガキ♂14C ◆> 来て早々眠いて……楽しみたい気持ちは分かるけど寝れる時に寝るのは大切だよ。……色々失いかねないから。（トオイメ）   (2024/10/18 13:58:03)

エロガキ♂13HL ◆> 体調管理はみんな大事にですよ〜   (2024/10/18 13:58:29)

エロガキ♂13A> 寝起きッス。(オッパイ)枕が無くて余り良く寝れ無かったのも有るッスけども   (2024/10/18 13:59:18)

雪花ラミィ> あんがとさんですよ〜、体調管理は怠った試しがないので（じゃあ今は？ってツッコミ厳禁だからな。葛根湯とのど飴と心配を受け取ります。）葬送、めっちょ最近見たから、もう大好き。グロい時はぬいぐるみで顔を隠しました。   (2024/10/18
13:59:27)

エロガキ♂14C ◆> （おっぱい枕……ねぇ。うん……余計なこと言うとしばかれそう）   (2024/10/18 14:01:03)

フェルン> フリーレン様の高みをご覧になった方なのですね。ありがとうございます。（ぺこりっと頭を下げつつ）　体調は、管理していても管理しきれないものですよ。（外的要因が多いので、完全温室ででも生活しない限り）   (2024/10/18 14:01:16)

雪花ラミィ> サイヤ人とハーフエルフはどんどん成長していくから、これからK…L…M…（バケモノサイズに進化していく様子。因みにホロライブの歴代最高バストはPカップ）ごめんて！ひっさびさの風邪だったの！気をつけてたつもりなの〜！（わんわんわん）  
(2024/10/18 14:01:45)

フェルン> ……P、パイだけに？（それは、会長さんとかでしょうか？）   (2024/10/18 14:02:43)

エロガキ♂14C
◆> 何倍界王拳使うの？おっぱい界王拳なの？今のままで僕的には十分なんだけど？（Pってあれ絶対日常生活辛いレベルだと思うんだ、とおっぱいマイスターの僕は思った、まる。）あーもー、分かったってば。とりあえず早く治すように心掛けてよー？あ、完治までお酒は封印ね？（圧）
  (2024/10/18 14:04:21)

胡桃 ◆> …よぉし。私は調べたい事調べ終わったし、そろそろお暇するね。   (2024/10/18 14:04:33)

エロガキ♂13HL ◆> 胡桃ちゃんお疲れ様です♪(手ふりふり)   (2024/10/18 14:04:46)

フェルン> 胡桃様、お疲れ様です。（ゆっくりと休まれてください）   (2024/10/18 14:04:58)

エロガキ♂14C ◆> お疲れ様ー。（手を振りすかすか）   (2024/10/18 14:05:09)

エロガキ♂13A> お疲れ様ッスよ〜〜   (2024/10/18 14:05:23)

胡桃 ◆> 皆またね〜(妖しく微笑み浮かべながら手を振って。袖とか髪とか揺らしてさよなら〜！)   (2024/10/18 14:05:24)

エロガキ♂19b ◆> お疲れさま～！   (2024/10/18 14:05:24)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/18 14:05:28)

雪花ラミィ> おつらみぃ〜⭐︎   (2024/10/18 14:05:35)

フェルン> ……あの、皆様は対戦などにはいかれないのですか？（ちょこんと座って、人が多いのに対戦ルームは今は止まっている様子を眺め）   (2024/10/18 14:07:17)

雪花ラミィ> いやー、そうだよね。管理してもしきれないから。外的要因だから。（お酒も外的要因だから。）ドラゴンの会長の火炎袋みたいなね、それはそれはとてつもねぇデカパイがあったわけなんですよ。団長がNo2だった時期があるんですよ！！   (2024/10/18
14:07:17)

エロガキ♂14C ◆> んー、さっき一戦して余韻に浸ってた矢先の雪崩でいまに至る感じー。なになに？フェルンおねーさん相手してくれるの？（ちらり、と視線向けては挑発的な視線向けたり。）   (2024/10/18 14:08:36)

雪花ラミィ> 界王拳、おっぺぇだー！！持ってくれよ、オラの身体！！（おっ倍）あ、申し訳ないけどもう呑んでまーす⭐︎ぶいぶいっ⭐︎ いや違うんだよ。お酒呑まないと体調悪いんだよらみぃ。寝起きが。寝起きしんどい。   (2024/10/18 14:08:40)

エロガキ♂13HL ◆> (あの頃と比べるとホロライブも人増えたし色々あったなーと浸る顔)   (2024/10/18 14:08:41)

フェルン> ……会長、団長、エルフ様……ドラゴンの人型化は何となくわかりますが、人間と細身のエルフは……あそこまで育たれるのに、時間がかかりそうですね。（エルフ勢が皆さん大きい？）   (2024/10/18 14:08:56)

エロガキ♂13HL ◆> 寝起きで遊ぶか迷い中なのと誰か相手いるのかなーって思ってるところですね♪(にこにこ)   (2024/10/18 14:09:17)

エロガキ♂13A> 対戦……はしたいッスけども相手が居ない&寝起きで頭回って無いッスからね〜。(素で此処と向こう間違えて入ったのは秘密である)   (2024/10/18 14:10:35)

エロガキ♂14C ◆> 誰が上手い事言えって？座布団2枚渡そうか？そもそもおっぱいのサイズも加減超えたら身体持たないよね、マジで。……うん、やっぱ禁酒無理だわこのハーフエルフ。っていうか、寝起き辛いのはそれ血圧低いのをアルコールでブーストしてるだけでは……？
  (2024/10/18 14:11:09)

エロガキ♂19b ◆> 今はまだ部屋の隅でぽけーっとしてるのがいいかなー(三角座り)   (2024/10/18 14:11:25)

フェルン> ……この時間に寝起き……ですか。（あ、ダメ人間だっていう目元がじめっとした）   (2024/10/18 14:11:34)

エロガキ♂14C ◆> 寝起き2名、自称戦力外通知1名……やる気があるのは僕だけかっ。   (2024/10/18 14:12:16)

エロガキ♂13HL ◆> 寝起きに関しては二度寝ですからね〜   (2024/10/18 14:12:33)

エロガキ♂13HL ◆> 大丈夫…14Cくんついて行く時はついて行くよ！(ぐっ)   (2024/10/18 14:13:02)

エロガキ♂19b ◆> 今は知り合いの女の子とのびっくりするよな再開を思い出しながら、おっぱいについて考えてる～(ボー)   (2024/10/18 14:13:14)

エロガキ♂14C ◆> （フェルンおねーさんのには夢いっぱい詰まってるんですね、夢のない僕に少し分けてください。）   (2024/10/18 14:13:15)

フェルン> ……はぁ、そう、ですか。（お昼寝でほめられるのはS学生前まででは？と、思わなくもないんです）   (2024/10/18 14:13:36)

雪花ラミィ> あー、ウチのハーフエルフはラミィ込みで三人いるんだケド。F・I・Jだから総じて基本デカパイやね（なんのリーク？）200歳を超えたあたりからもうデカパイ三昧よ。村なんてそこらじゅうおっぱいが収穫できる。   (2024/10/18
14:14:14)

フェルン> ……（IFJ スポーツ用品会社？）   (2024/10/18 14:15:55)

エロガキ♂14C ◆> （ところでラミィおねーさん、多分プロフが一部書き換え漏れてるよね、って線を4本くらい足してあげるね（かきかき））   (2024/10/18 14:16:04)

雪花ラミィ> 一枚じゃ足りないぐらい加点もらえて嬉しい限りなんですわ、ゆきはな。ラミィの人生と酒は！！いつも隣り合わせなんだよ！！ハイター様より呑むからなラミィは！！（）　今寝起きマ…？ヤバいでしょ…。   (2024/10/18 14:16:23)

雪花ラミィ> 一期生？？？w ラミィのお友達と話してたからクッソ忘れてるんだわww   (2024/10/18 14:16:46)

エロガキ♂13A> 夜き………夜学ッスから普通の人とは逆転生活してるッスよからね〜   (2024/10/18 14:18:03)

フェルン> ハイター様より飲まれるのは……大丈夫なんでしょうか？（ハイター様が、吐いたー様になっちゃいますよ？）   (2024/10/18 14:18:39)

エロガキ♂14C ◆> おっぱいは二つあるから2枚ね。……いやまあ、このハーフエルフからアルコール抜くと清楚通り越して眩しくて見てらんないからやっぱ今のままでいいや。   (2024/10/18 14:18:50)

エロガキ♂13HL ◆> (フェルンさんのちょっとクスッとしちゃった……)   (2024/10/18 14:19:34)

エロガキ♂13A> どうしてもこの時間に寝起きになるのは仕方ないッス…………でも眠たいッス   (2024/10/18 14:19:41)

エロガキ♂14C ◆> 眠い時はちゃんと寝ておかないと、遊びたい時に寝落ちするほど勿体無いものはないよ？と経験者は語る。   (2024/10/18 14:20:24)

エロガキ♂14C ◆> （ぽんこつにーさんマジできっかけないと棺桶入ってんのかってくらい静かだ……）   (2024/10/18 14:20:58)

エロガキ♂19b ◆> なーんか話さんと気分が晴れんな...ちょっと、下らんような甘酸っぱい話をしてもええかー？   (2024/10/18 14:21:04)

エロガキ♂13A> 朝ヤッたッス…………   (2024/10/18 14:21:05)

エロガキ♂13HL ◆> どーぞー♪   (2024/10/18 14:21:18)

エロガキ♂13A> 甘酸っぱいってどの位甘酸っぱいんッス？   (2024/10/18 14:21:54)

エロガキ♂14C ◆> まあ、聞くだけ聞こうか。（お茶ずずず）   (2024/10/18 14:21:55)
