/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 17時10分 ～ 2024年10月19日 23時22分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ゆんゆん> この時間は微妙かもね…また夜になれば人が集まるかもだけど   (2024/10/19 17:10:58)
エロガキ♂19b ◆> んま、、ショタに関しては結局はそういう定義がないなら個人で決めるしかないな   (2024/10/19 17:35:47)

エロガキ♂16r> そだね   (2024/10/19 17:36:00)

エロガキ♂19b ◆> 幸いにも？15までしか行ってなさそうだから部屋的には問題なさげだしね   (2024/10/19 17:36:33)

エロガキ♂16r> それもそう   (2024/10/19 17:37:12)

エロガキ♂19b ◆> あとは、実際に行って確かめてこいってことだな、、頑張ってね、ゆんゆんちゃん   (2024/10/19 17:38:38)

エロガキ♂16r> ゆんゆん、がんばれー(棒読み)   (2024/10/19 17:39:12)

ゆんゆん> わ…わたしはふと疑問に思っただけだからねー⁉︎   (2024/10/19 17:39:33)

エロガキ♂19b ◆> 俺らはいけないから関係ないもんなー   (2024/10/19 17:39:36)

エロガキ♂16r> なー   (2024/10/19 17:39:46)

エロガキ♂19b ◆> ほう、、ではゆんゆんちゃんはショタには興味がないと？   (2024/10/19 17:40:32)

ゆんゆん> う…うーん…？中学生くらいが1番好きかも   (2024/10/19 17:41:15)

エロガキ♂19b ◆> なら、今度試しにいってみたら～？好みの子と遊べる(意味深)かもよ～   (2024/10/19 17:41:57)

エロガキ♂16r> んねー   (2024/10/19 17:42:17)

エロガキ♂19b ◆> 勿論俺らと遊んでくれてもいいけどね～(適当)   (2024/10/19 17:45:41)

エロガキ♂16r> 俺らよりショタの方がいいんじゃね？(適当)   (2024/10/19 17:46:45)

ゆんゆん> ま…またね⁉︎この時間だと支援も期待できなそうだし…うう   (2024/10/19 17:46:58)

エロガキ♂19b ◆> 確かに...無粋だったな   (2024/10/19 17:47:09)

ゆんゆん> って…もう18時になるんだね。ちょっと夕飯の用意をしてくるね。お話ありがとう…！またね   (2024/10/19 17:48:34)

おしらせ> ゆんゆんさんが退室しました。  (2024/10/19 17:48:39)

エロガキ♂16r> 馬に蹴られたくないしなー、っておつかれ   (2024/10/19 17:48:55)

エロガキ♂19b ◆> お疲れさま～   (2024/10/19 17:49:32)

エロガキ♂19b ◆> 俺も一旦落ちるな～、腹減ったからごはん食べてくる～   (2024/10/19 17:56:38)

エロガキ♂19b ◆> また話そうぜ！！   (2024/10/19 17:56:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 17:56:51)

エロガキ♂16r> おつー   (2024/10/19 17:57:45)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/19 18:06:02)

エロガキ♂14C ◆> ……新たなウのおねーさん出現に立ち会えた。こんばんはー。   (2024/10/19 18:06:32)

エロガキ♂14C ◆> まあそれはさておき。16rにーさんは沈み気味か。   (2024/10/19 18:08:01)

エロガキ♂14C ◆> であらば駆けつけドリンクしとこ   (2024/10/19 18:08:17)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/10/19 18:08:41)

エロガキ♂14C ◆> 1d6 → (5) = 5  (2024/10/19 18:08:45)

エロガキ♂14C ◆> ……にっ、がっ……！（けほけほっ）更にしてももう夕飯時なんだね。そりゃ人気も少ないわけかぁ。   (2024/10/19 18:09:40)

エロガキ♂14C ◆> 下でロリショタについて、というよりは多分アナザーの方のお部屋について話題が上がってるね。僕もお部屋主さんじゃないからわからないけど……   (2024/10/19 18:13:08)

エロガキ♂14C ◆> 「※見た目と性格は自由ですが、可愛らしく小柄な少年少女である事は遵守して下さい」って書いてあるから、つまりはそういう事じゃないかなぁ？雰囲気！（雑）   (2024/10/19 18:13:36)

エロガキ♂16r> あ、ごめんなさい。抜けたつもりだった   (2024/10/19 18:16:49)

エロガキ♂14C ◆> あるある。独り言を散々聞かせてるみたいになってごめんねー？   (2024/10/19 18:17:11)

エロガキ♂16r> 構わん構わん   (2024/10/19 18:17:48)

エロガキ♂16r> 2d   (2024/10/19 18:18:17)

エロガキ♂16r> 2d6 → (6 + 5) = 11  (2024/10/19 18:18:23)

エロガキ♂14C ◆> （まーた混ぜてる…）   (2024/10/19 18:18:32)

エロガキ♂16r> 苦味のヤバい何か   (2024/10/19 18:18:43)

エロガキ♂14C ◆> 混ぜたんなら責任とって飲んでよー？   (2024/10/19 18:19:02)

エロガキ♂14C ◆> とりあえずゆんゆんおねーさんのヒットレンジにいるかはわかんないけど、今度見かけたら立候補してみよ（何の）   (2024/10/19 18:20:24)

エロガキ♂16r> まだ苦いとうおつされてるからましよ   (2024/10/19 18:21:30)

エロガキ♂14C ◆> （苦味で呂律をやられてる……！）   (2024/10/19 18:22:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 18:22:57)

エロガキ♂19b ◆> 結局ごはんを食べれなかったお兄さんが帰ってきましたよ～っと   (2024/10/19 18:23:12)

エロガキ♂19b ◆> こんばんは14C君   (2024/10/19 18:23:46)

エロガキ♂16r> というわけで冷ますだけ冷まして…。いただきます(コーヒーに氷入れて温度調整して混ぜたあと一気飲み)   (2024/10/19 18:23:50)

エロガキ♂16r> まっっっっず、にっっっが(ゴロゴロ)   (2024/10/19 18:24:04)

エロガキ♂16r> おかえり   (2024/10/19 18:24:07)

エロガキ♂14C ◆> 通知音がサボり気味。ぽんこつにーさんこんばんは。   (2024/10/19 18:25:43)

エロガキ♂14C ◆> ご飯食べそびれたってどーいうことなの……   (2024/10/19 18:26:08)

エロガキ♂16r> 分かる、最近サボるよね   (2024/10/19 18:26:17)

エロガキ♂14C ◆> 一回他のを選んでからもう一回鳴らしたい音量設定しないと危ないねー。   (2024/10/19 18:27:38)

エロガキ♂16r> んね   (2024/10/19 18:28:02)

エロガキ♂19b ◆> 外なんで変身遅め～、、元からだった...   (2024/10/19 18:28:15)

エロガキ♂16r> 変身するのか   (2024/10/19 18:28:40)

エロガキ♂14C ◆> （変身が遅いとか悪役にボコられ放題では？）   (2024/10/19 18:28:43)

エロガキ♂16r> G3かな   (2024/10/19 18:28:55)

エロガキ♂19b ◆> 自称仮面ライダーといっておこうか   (2024/10/19 18:28:59)

エロガキ♂14C ◆> でもホントはおねーさんを乗せたいんだよね？（ぁ）   (2024/10/19 18:29:25)

エロガキ♂16r> 倒すじゃないのか()   (2024/10/19 18:29:44)

エロガキ♂19b ◆> 何を当たり前のことを   (2024/10/19 18:29:56)

エロガキ♂14C ◆> まあこの界隈でそこまで悪役ぶるおねーさんも早々いないんだけどねっ！   (2024/10/19 18:31:13)

エロガキ♂16r> それはそう   (2024/10/19 18:31:43)

エロガキ♂19b ◆> どっちかといえば、こっちが悪役定期   (2024/10/19 18:31:45)

エロガキ♂16r> そうかぁ？   (2024/10/19 18:32:05)

エロガキ♂14C ◆> まあ煽ってるし……（心当たりその1）   (2024/10/19 18:32:22)

エロガキ♂16r> ヒーローもするから()   (2024/10/19 18:32:36)

エロガキ♂19b ◆> ヒーローと悪役両方の性質をあわせ持つ...   (2024/10/19 18:33:04)

エロガキ♂14C ◆> 性義（誤字に非ず）のヒーローとなったエロガキが悪いおねーさん集団と戦う……？   (2024/10/19 18:34:00)

エロガキ♂19b ◆> ちょっとだけ盛大な物語になりそう   (2024/10/19 18:35:26)

エロガキ♂16r> 草よ   (2024/10/19 18:35:29)

エロガキ♂16r> さて、今度こそ離席   (2024/10/19 18:35:34)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/19 18:35:41)

エロガキ♂14C ◆> 16rにーさんいてらですー   (2024/10/19 18:35:46)

エロガキ♂14C ◆> まあ大凡この書きぶりだとヒーローであるエロガキ、絶対悪のおねーさんに可愛がられるのが関の山なのよ……   (2024/10/19 18:36:27)

エロガキ♂19b ◆> いてらー！   (2024/10/19 18:37:02)

エロガキ♂19b ◆> ショタヒーローにこの役目は押し付けようそうしよう！   (2024/10/19 18:37:27)

エロガキ♂14C ◆> 僕はヒーローのような立ち回りじゃないからなあ、他の誰かにこの役は任せようそうしよう（責任放棄）   (2024/10/19 18:38:13)

エロガキ♂19b ◆> 俺もどっちかといえば悪役側だし、、立場的に親玉だし...   (2024/10/19 18:39:16)

エロガキ♂14C ◆> ……まあうん、否定はしない……というか出来ないかな……   (2024/10/19 18:40:25)

エロガキ♂19b ◆> だろー？、、いつの間にやらこんな立場に？？おかしい！！   (2024/10/19 18:41:23)

エロガキ♂14C ◆> まあきっとこんな事言ってたらその内近所のおねーさんに護摩杖でしばかれる未来がね？？？   (2024/10/19 18:41:36)

エロガキ♂14C ◆> ヤりたい放題だからでは？（直球）   (2024/10/19 18:41:55)

エロガキ♂19b ◆> それはそうかも？その時はおとなしくしばかれるさー、、ついでに護摩貰えないか？   (2024/10/19 18:43:52)

エロガキ♂14C ◆> 自分の得物をほいとくれる様な人はいないでしょー。僕は持ってるけど（夜蘭おねーさん同時PU時の武器ガチャですり抜け）   (2024/10/19 18:45:10)

エロガキ♂19b ◆> もうすぐ来る復刻で...当てて見せる！！   (2024/10/19 18:46:05)

エロガキ♂19b ◆> 召使の武器を更新したいし..   (2024/10/19 18:47:00)

エロガキ♂14C ◆> 頑張ってねー。（他人事）僕は最近武器ガチャはしんどいのがよく分かったから推すと決めたキャラでしか回してないよー。キャラガチャがそもそも推ししか回さないけど。   (2024/10/19 18:47:59)

エロガキ♂19b ◆> 今の推しは召使と隊長、タルタルヤ...あれ、ファデュイしかいない？   (2024/10/19 18:49:42)

エロガキ♂14C ◆> （とてもファデュイです、本当にありがとうございました）   (2024/10/19 18:50:34)

エロガキ♂19b ◆> (やっぱ俺は悪者向きか...よし、これからも遠慮無くヤろう)   (2024/10/19 18:51:52)

エロガキ♂14C ◆> 僕は挙げたら多分数がすごくなっちゃうからなあ。だからせめてこのお部屋で会ってみたいのを挙げるなら、甘雨、ナヴィア、八重神子、雷電将軍、夜蘭……この辺？甘雨だけ餅武器がないよ！！！   (2024/10/19 18:52:45)

エロガキ♂14C ◆> （嗜好ダダ漏れです、本当にありがとうございました。）   (2024/10/19 18:53:45)

エロガキ♂19b ◆> 唯一持ってる星5武器が甘雨の武器やなぁ   (2024/10/19 18:53:45)

エロガキ♂14C ◆> アモス弓ちょーだい！！！（じたばた）さて、それじゃ僕はそろそろご飯食べてくるねー。また来るかも？じゃーねー。   (2024/10/19 18:54:40)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/19 18:54:49)

エロガキ♂19b ◆> あいよー、。いってらー   (2024/10/19 18:54:59)

エロガキ♂19b ◆> 俺も飯たべてこよー！！   (2024/10/19 19:01:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 19:01:42)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/19 20:27:38)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/19 20:30:12)

エロガキ♂18D ◆> おや、こんばんは。お邪魔いたしますね。   (2024/10/19 20:31:03)

エロガキ♂18D ◆> ちょっとそんな気分じゃなさそうですね……また来ますね   (2024/10/19 20:36:36)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/19 20:36:39)

パンドラ ◆> こんばんは、入ってしまっていましたね、、少しだけお待ちいただけますか？   (2024/10/19 20:36:44)

パンドラ ◆> あら、、   (2024/10/19 20:36:46)

パンドラ ◆> 戻っていらしてくれませんか？   (2024/10/19 20:37:12)

パンドラ ◆> どうしましょう、、呼び戻すためにできること、、殿方はこう言うのがお好きだとお伺いしています、、(布捲りあげてみて)   (2024/10/19 20:39:14)

パンドラ ◆> 彼にはまたお会いできた時に謝る事にしましょう、、   (2024/10/19 20:40:05)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/19 20:44:21)

パンドラ ◆> あら、おかえりなさい   (2024/10/19 20:44:55)

エロガキ♂18D ◆> ……あの……確かに、その……こう言うのは好きなんですけども……非常に、コメントに困るといいますか… はい、戻って参りました、何か取り込み中だったのですね。申し訳ないです…気を遣わせてしまいまして…   (2024/10/19
20:46:14)

パンドラ ◆> 先ほどは少し慌ただしくなってしまっていたので反応遅れてしまって申し訳ありません、、よろしければお話などいかがでしょうか？   (2024/10/19 20:46:33)

エロガキ♂18D ◆> いえいえ、自分でよろしければ是非。えぇ、喜んでお話をと思いまして…まぁ、その……連れ戻しかたに少々絶句してしまったので……   (2024/10/19 20:47:35)

パンドラ ◆> あら、男性はこう言ったものがお好きかと、、ですが私も場所を弁えるべきでしたね。脱いでしまっても構わないのですけれど、それでは皆様が対応に困るとの事ですし、、(白布手放して垂らして、足だけ出してて)   (2024/10/19 20:49:20)

エロガキ♂18D ◆> まぁ、その……自分は好きですが……はい…それは、勝負の後の楽しみとして、取っておきますので…脱ぐのも勝負の後でしたらいくらでも脱いで構いませんから、今は控えて戴けると……！   (2024/10/19 20:51:06)

パンドラ ◆> そうですか。これは失礼致しました、、また見たいとのご要望があればいつでも、、   (2024/10/19 20:52:21)

エロガキ♂18D ◆> 多目的か小個室ででしたら……喜んで……いや、小個室もダメそうですね……   (2024/10/19 20:53:23)

パンドラ ◆> きっと構わないかと、、用途の欄にはそう言ったことを想定されていると思われる言葉がございますので、、ですが私は今ここから動くつもりはありませんので、、不意に呼ばれる事も考えなければならない状況なので少しこちらでゆっくりとさせて頂いてます  
(2024/10/19 20:55:58)

エロガキ♂18D ◆> そうですか……いえいえ、何も今ってつもりではございませんので…此方も色々活動的だったゆえに、少々一息つきながら誰かと話したい気分でございましたので…こちらでゆっくりしたいなと思ったのはパンドラさんと同じですね。  
(2024/10/19 20:57:38)

パンドラ ◆> そうですか、、では良いお話し相手になれるかは分かりませんが私でよければお付き合いさせて頂きますね？私からの話題はそう出せませんので何かございましたらお気軽に、、   (2024/10/19 20:59:16)

エロガキ♂18D ◆> いえいえ、むしろ時間が潰せたらそれはそれで御の字かと……話題ですか…そうですねぇ…こうやって言われると非常に悩ましいところではありますが…そう言えば、雰囲気でしょうか……エキドナさんと服の色は正反対ですが、どことなく似ているような……
  (2024/10/19 21:03:14)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 21:06:39)

胡桃
◆> (ばーんっ！)小さい個室についてだけど！もしかして説明足らずだったりするかな？一応行為に発展するなら多目的か個室(裏って言えばいいのかな？)に移動してからでお願いね〜？多分話の流れ的に説明とか要らないと思うけど、一応補足としてね。(もう少し分かり易く書かないとね。私が！)じゃあ、またねー！(闇夜に舞う蝶の如くひらひらとお手を振って。大人しさに欠けるけど、爆速で姿を消したとか…落ち着きの天賦は1らしい。)
  (2024/10/19 21:06:42)

パンドラ ◆> あら、そうですか？彼女は強欲の魔女ですからね。私は少し違いますが虚飾の魔女です。なので同じ魔女なので少し気配が似ているのかも知れませんね？もっとも彼女は自分の欲の為に生きているので私とは会う事は無いでしょうけれども、、  
(2024/10/19 21:06:43)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 21:06:52)

エロガキ♂18D ◆> わーーお……胡桃さんが一瞬だけ見えましたね……ある意味嵐のような人だ……注釈誠にありがとうございます。   (2024/10/19 21:08:06)

パンドラ ◆> 忙しいお方ですね、、ゆっくりされても誰も何も言われませんよ、、？さすがにそちらでは行為を始めようと言うつもりはありませんので大丈夫ですよ、御配慮感謝します。   (2024/10/19 21:08:58)

エロガキ♂18D ◆> 虚飾……ですか……なるほど、魔女にも複数該当者がいるわけですね…見た目についての意味がほぼでしたが、そうでしたか、貴女も……自分の欲のため、ですか…彼女、知識欲と好奇心が少々お強いように思えますが……それが強欲たる所以、でしょうか…  
(2024/10/19 21:10:25)

エロガキ♂18D ◆> まぁあの部屋で行為をするつもりは無かったんですけどね……言ってくれた方がありがたいですね。手間かけさせてすいませんでした(天井に向かって謝り…多分、見てるだろうから)   (2024/10/19 21:12:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 21:12:36)

パンドラ
◆> はい。ただ私は人の営みを素晴らしい物だと思っていますので害する事は必要でない限りありません。ご安心ください。、彼女は知ろうと思えば全てを知れる権能を持ちながら自信で知る事に拘る偏屈な面もありますから、、全てを自分で、と言う強欲なのかも知れませんね？  
(2024/10/19 21:12:52)

エロガキ♂18D ◆> おや、重役さん……お疲れ様です。こんばんは。   (2024/10/19 21:13:04)

パンドラ ◆> こんばんは、   (2024/10/19 21:13:06)

エロガキ♂19b ◆> こんばんは～胡桃ちゃんはー、、でてったあとか   (2024/10/19 21:14:17)

エロガキ♂19b ◆> そして別に俺は重役じゃないからな！！   (2024/10/19 21:15:25)

エロガキ♂18D
◆> 自分で知るというのに対してはそれについては理解できる所はありますね。最も、知ろうと思えば全てを知れる権能を持つか否かでは意味が変わってくると思いますが……本とか何かで知るよりも、事象に触れて、実際に知るというのは、見るだけより理解が出来ますから。  
(2024/10/19 21:15:28)

パンドラ ◆> 主の方へのご要件でしたら、、天井は1部剥がれ落ちていた。という事で(部屋の隅の方の天井落下させておいて)   (2024/10/19 21:15:51)

エロガキ♂18D ◆> え、だって24時間どこかしらに出現してるからもう太客越えて大株主とか重役とかその類いかと(持株大部分所持的な意味で)   (2024/10/19 21:16:24)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 21:16:47)

エロガキ♂19b ◆> わぁ！！でたぁ！   (2024/10/19 21:16:56)

胡桃 ◆> 私に用？(にょきっ。)   (2024/10/19 21:16:57)

エロガキ♂18D ◆> (落ちてきたーーーーーー！！！！)   (2024/10/19 21:17:02)

パンドラ ◆> おかえりなさい、、   (2024/10/19 21:17:02)

パンドラ ◆> 天井は何一つ異常はありません。(天井元通りに、、)   (2024/10/19 21:17:28)

胡桃 ◆> いやー…今は睨めっこの時間だからね。あまり雑談部屋に居座っててもものけのからみたいになりそうだから。   (2024/10/19 21:17:50)

エロガキ♂18D ◆> あれ、天井ちょっと綺麗になってるような……   (2024/10/19 21:17:55)

パンドラ ◆> 私は彼女達のような欲はありませんからね、、   (2024/10/19 21:18:00)

胡桃 ◆> (私が語彙力を振り絞っているとも言うかも。)   (2024/10/19 21:18:43)

エロガキ♂19b ◆> みらめっこしてるなら、俺がいうことはなさそうだなぁ～、、昨日、個室Ok？   (2024/10/19 21:18:44)

胡桃 ◆> あー…なるほどね   (2024/10/19 21:19:07)

パンドラ ◆> 皆様お疲れのようですね、、   (2024/10/19 21:19:23)

パンドラ ◆> 19bの方も主の方も少しお休みになられては、、？   (2024/10/19 21:19:50)

エロガキ♂18D ◆> 皆何かしら動いてたようですから…(……朝も昼もこの部屋ごった返してたような…)   (2024/10/19 21:20:04)

エロガキ♂19b ◆> 私は休まなくて大丈夫！！いま、肉食ってきたから！！   (2024/10/19 21:21:05)

エロガキ♂18D ◆> 肉……(19bさんの場合はどっちの意味だろうか)   (2024/10/19 21:21:56)

エロガキ♂19b ◆> しゃぶしゃぶだよ！！   (2024/10/19 21:22:35)

エロガキ♂18D ◆> あら、それは羨ましい……焼いた肉食いたいですねぇ……久しぶりに   (2024/10/19 21:23:33)

エロガキ♂19b ◆> たまには贅沢～...   (2024/10/19 21:24:18)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/19 21:25:03)

エロガキ♂17L ◆> あまり長くは居ませんが、こんばんは(珍しく白衣に眼鏡姿)   (2024/10/19 21:25:31)

エロガキ♂19b ◆> こんばんは～   (2024/10/19 21:25:43)

エロガキ♂18D ◆> こんばんは、久しぶりに見ましたね、その姿を……   (2024/10/19 21:26:24)

エロガキ♂18D ◆> 人の金で焼き肉食いたいですねぇ……(近日中にやるけど)   (2024/10/19 21:26:53)

エロガキ♂19b ◆> 人のお金で食べる焼き肉が一番美味しい   (2024/10/19 21:27:26)

エロガキ♂17L ◆> えぇ、しばらく着てませんでしたので、久しぶりに着て来た感じですね   (2024/10/19 21:27:39)

エロガキ♂18D ◆> 人の金で食べる焼き肉とステーキが一番至高   (2024/10/19 21:28:29)

エロガキ♂18D ◆> そうだったんですね……何か媚薬とか渡して貰ったのが懐かしいですね……   (2024/10/19 21:29:18)

エロガキ♂17L ◆> 焼肉の話ですか……まぁ、人のお金で食べるのも確かに美味しいですが……頑張った褒美で食べるのも美味しいですよね   (2024/10/19 21:29:53)

エロガキ♂19b ◆> こんど胡桃ちゃんに奢って貰うか...   (2024/10/19 21:30:29)

エロガキ♂17L ◆> ん？媚薬ですか？まだありますよ、この通り(ポーチから媚薬オイル取り出して見せて)   (2024/10/19 21:30:50)

エロガキ♂18D ◆> 頑張った金で安物のステーキ肉をいかにしてハイクオリティなステーキにするかってのを試行錯誤するのが楽しいんですよねぇ……え？堂主の金で焼き肉！？   (2024/10/19 21:31:17)

エロガキ♂18D ◆> まだあったんですね、それ……使えそうな人、ちらほら居るような……   (2024/10/19 21:31:51)

エロガキ♂17L ◆> 確かにいますね……要ります？(在庫ならいくらでもある人の発言)   (2024/10/19 21:33:16)

胡桃 ◆> 焼肉〜？いいけど、極楽浄土まで楽しむ事になっちゃうかもよ？(にへへって悪戯笑い。17Lさんに気が付くと挨拶がてらに視線向けて手を振って。)じゃあ私は戻るね〜！   (2024/10/19 21:34:01)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 21:34:22)

エロガキ♂19b ◆> またね～(フリフリ)   (2024/10/19 21:34:28)

エロガキ♂18D ◆> 使い時があった時に……使わせて貰いますね……貰っても？お代は一度支援で……(繰り広げられる闇取引)   (2024/10/19 21:34:34)

エロガキ♂17L ◆> えぇ、構いませんよ(渡しつつ)堂主、お疲れ様です(見送り)   (2024/10/19 21:35:20)

エロガキ♂18D ◆> 極楽浄土……それは食いすぎで死ぬというヤツでは……え、幸せでは？？あ、お疲れ様でした。お気をつけて。   (2024/10/19 21:35:21)

エロガキ♂17L ◆> っと、どうやら勝負部屋に油断の出来ない相手が来たようですね……彼大丈夫でしょうか……(相手の名前見て少し心配しつつ)   (2024/10/19 21:36:38)

エロガキ♂19b ◆> 援護いっとくか...ちょっと顔だしてくる～   (2024/10/19 21:37:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 21:37:48)

エロガキ♂17L ◆> かしこまりました、いってらっしゃいませ   (2024/10/19 21:38:02)

エロガキ♂18D ◆> これは……まさか初手あの格好とは思わず…行ってらっしゃいませ、重役   (2024/10/19 21:38:13)

エロガキ♂17L ◆> さてと、自分等はどうしますかね……念の為支援のみで行きますか？   (2024/10/19 21:39:21)

