/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月11日 13時57分 ～ 2024年11月12日 22時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レモン・アーヴィン> えっと、大変なことってどんなことですか？   (2024/11/11 13:57:53)
エロガキ♂14MR ◆> やっほー樫野お姉さん！   (2024/11/11 15:13:08)

削除> 削除  (2024/11/11 15:13:16)

削除> 削除  (2024/11/11 15:13:28)

削除> 削除  (2024/11/11 15:13:48)

削除> 削除  (2024/11/11 15:13:52)

星 ◆> 来た人は一応調べて確認してるからね……、って行っちゃった。（初手URL、だいぶ警戒しちゃうからやめておいた方がいいよ、）   (2024/11/11 15:14:38)

エロガキ♂14MR ◆> 最近荒らし多いもんねー！あっ、そのことも含めて...昨日話しそびれたことあったんだよねー！またお部屋行かない？時間できたって言ってたよね？   (2024/11/11 15:15:48)

星 ◆> あまり個室にばかり誘わない方がいいよ、誘うならゲーム部屋！（部屋の活性化に協力してね、）   (2024/11/11 15:17:05)

エロガキ♂14MR ◆> 星お姉さんゲーム部屋行かないじゃん！ちょっとだけだから、困りごとあって！部屋も作ったからさ！   (2024/11/11 15:18:18)

星 ◆> ……はぁ、本当にちょっとだけだよ。30分くらい。   (2024/11/11 15:18:41)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/11 15:18:58)

胡桃 ◆> ストープ！   (2024/11/11 15:19:03)

胡桃 ◆> 困り事なら私が聞くよ〜？   (2024/11/11 15:19:30)

星 ◆> あっ、胡桃だ。（すすす、と近付いた。胡桃成分補給、）   (2024/11/11 15:19:57)

エロガキ♂14MR ◆> 胡桃お姉ちゃんやっほー！   (2024/11/11 15:20:37)

エロガキ♂14MR ◆> うーん...でも今回は昨日の話の続きだから星お姉さんにしよっかな！解決しなかったら胡桃お姉ちゃんにもお願いするー！   (2024/11/11 15:20:50)

胡桃 ◆> その話から私が聞くのも手の一つだけどねー。星に任せちゃっていいの？   (2024/11/11 15:21:34)

胡桃 ◆> って、星に聞いておこうかな。   (2024/11/11 15:21:42)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 15:21:44)

エロガキ♂19b ◆> 終わったからきたけど取り込み中と見た...隠れとこ   (2024/11/11 15:22:06)

星 ◆> まあ……いいよ、今回は私が行く。胡桃の仕事増やしたくもないしね……。   (2024/11/11 15:22:22)

エロガキ♂14MR ◆> じゃ、確認したし落ちるね！19bはすれ違いでごめーん！   (2024/11/11 15:22:48)

胡桃 ◆> その答えは少し私の癪に障るけど…まぁいいかな、行ってらっしゃい。   (2024/11/11 15:22:52)

おしらせ> レモン・アーヴィンさんが入室しました♪  (2024/11/11 15:22:56)

エロガキ♂19b ◆> 気にするな！！(キラッ！)   (2024/11/11 15:23:01)

レモン・アーヴィン> 時間まだあったので戻ってきちゃいました   (2024/11/11 15:23:07)

おしらせ> エロガキ♂14MR ◆uG.g2yTTU2さんが退室しました。  (2024/11/11 15:23:12)

星 ◆> えっ……ご、ごめん。   (2024/11/11 15:23:21)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/11 15:23:26)

エロガキ♂19b ◆> あったんかいー！   (2024/11/11 15:23:30)

星 ◆> ……行ってくるね、胡桃はごめんなさい。   (2024/11/11 15:23:37)

エロガキ♀15kb> いいお尻は健康にいい！と思うアタシです   (2024/11/11 15:23:41)

レモン・アーヴィン> ごめんね。お兄さんもっと遊びますか？   (2024/11/11 15:23:49)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/11 15:23:50)

星 ◆> すれ違いのみんなもごめんね、また！   (2024/11/11 15:23:50)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/11 15:23:51)

胡桃 ◆> いいから早く行っておいで〜。   (2024/11/11 15:23:55)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/11 15:23:58)

エロガキ♂11T> ただいま～   (2024/11/11 15:24:03)

おしらせ> キタサンブラックさんが入室しました♪  (2024/11/11 15:24:04)

胡桃 ◆> Kbちゃんは後で！私を！！癒して！   (2024/11/11 15:24:07)

胡桃 ◆> 卑して…？   (2024/11/11 15:24:15)

エロガキ♂19b ◆> 遊んでくれるの～？でも、俺よりも11t君が遊びたそうにレモンちゃんを見てるよー？(ケラケラ)   (2024/11/11 15:24:30)

キタサンブラック> と、一旦仮面を外しておきましょうかね。　ええ、アタシでよろしかったらいつでもどうぞ～   (2024/11/11 15:24:32)

エロガキ♂11T> レモンお姉さんが選んでください～   (2024/11/11 15:24:52)

レモン・アーヴィン> 選ぶって？   (2024/11/11 15:25:00)

エロガキ♂11T> それともまだ二人に責められたいです？レモンお姉さん   (2024/11/11 15:25:28)

レモン・アーヴィン> えっと、今はお返事がいっぱいいっぱいなので１人ですよね   (2024/11/11 15:25:48)

レモン・アーヴィン> １人のほうが返しやすいです   (2024/11/11 15:25:58)

胡桃 ◆> (一応k…キタちゃんの袖は引っ張っておこう、急に出て行っちゃったし。)   (2024/11/11 15:26:06)

エロガキ♂11T> であれば、レモンお姉さんが選んでください～   (2024/11/11 15:26:17)

エロガキ♂11T> フータオお姉さんは…キタサンとですな…(ニヤニヤ)   (2024/11/11 15:26:46)

胡桃 ◆> 実際問題…複数でするとなると時間的にも厳しい側面はあるから、慣れがないと少し厳しいよね〜。   (2024/11/11 15:27:08)

エロガキ♂11T> レモンお姉さんのお好みで！   (2024/11/11 15:27:16)

エロガキ♂11T> いきなり複数は大変でしたよね～   (2024/11/11 15:27:39)

胡桃 ◆> (11T君から溢れるおじさん味にびっくりした、)   (2024/11/11 15:27:40)

レモン・アーヴィン> えっと、おちんぽの続きいれられたいので１９さんもし可能でしたらどうでしょう   (2024/11/11 15:27:54)

レモン・アーヴィン> １１さんとも遊びたいんですが、入れられたいです   (2024/11/11 15:28:05)

エロガキ♂19b ◆> 何をするにしても時間が足りな～い仕込むまではなかなか難しいよねぇ...おっと、、選ばれた！   (2024/11/11 15:28:06)

エロガキ♂11T> いってらっしゃ～い   (2024/11/11 15:28:25)

エロガキ♂19b ◆> おっけー堂主！この場合はアフターか多目的か個室どれを使えばいい？   (2024/11/11 15:28:53)

胡桃 ◆> うーん、一応アフターってことにして大丈夫だよ？さっき対戦したばっかりだし、お互いが大丈夫なら個室でもって感じかな。   (2024/11/11 15:29:29)

エロガキ♂19b ◆> それじゃあ、レモンちゃんはアフター部屋かツーショットの個室どっちがいいかな？   (2024/11/11 15:30:12)

レモン・アーヴィン> アフターでお願いします   (2024/11/11 15:30:37)

胡桃 ◆> なら軽く説明だけしちゃおうかな。   (2024/11/11 15:30:53)

エロガキ♂19b ◆> 了解ー！説明きいたらいきましょうー   (2024/11/11 15:31:06)

胡桃 ◆> アフターは基本的に罰部屋からの延長戦だから、本部屋の勝ち負けとかはあまり気にしないでお互い合意の上なら攻守の入れ替わりとかも自由。つまり、アフターは基本的に好きに乱れてOK！って軽い説明にしておくね。   (2024/11/11 15:31:46)

エロガキ♂11T> 自分は落ちますね～   (2024/11/11 15:31:58)

胡桃 ◆> あ、ただし！相手が嫌がることはしないように！   (2024/11/11 15:32:05)

レモン・アーヴィン> ありがとうです。では私はいってきますね   (2024/11/11 15:32:12)

胡桃 ◆> 11T君はお疲れさま！またねー。   (2024/11/11 15:32:13)

エロガキ♂11T> フータオお姉さんはキタサンとお楽しみ下さい～   (2024/11/11 15:32:18)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/11 15:32:22)

エロガキ♂19b ◆> 説明ありがとう～。それじゃあ....レモンちゃんに仕込みにいこうー！！   (2024/11/11 15:32:47)

胡桃 ◆> 19b君はエスコートお願いね！   (2024/11/11 15:32:54)

エロガキ♂19b ◆> 11tくんお疲れさま！！   (2024/11/11 15:32:56)

レモン・アーヴィン> お部屋どこでしょうか   (2024/11/11 15:32:57)

エロガキ♂19b ◆> 罰部屋の説明欄にリンクがあるよ～！   (2024/11/11 15:33:14)

エロガキ♂19b ◆> 説明の一番下だったかな！   (2024/11/11 15:33:49)

胡桃 ◆> リンク貼っちゃってもいいけど、一応彼の説明通りだよ。罰部屋の説明欄、下の方にあるよ。   (2024/11/11 15:33:54)

キタサンブラック> と、11さんはお疲れ様です。胡桃さんのご説明を見守っていたキタちゃんです   (2024/11/11 15:33:55)

胡桃 ◆> ご清聴ありがと〜！手短な説明だったけど…(片腕にぎゅって抱き着いてみた、)   (2024/11/11 15:34:34)

レモン・アーヴィン> ありがとうございます入れました抜けますね   (2024/11/11 15:34:37)

おしらせ> レモン・アーヴィンさんが退室しました。  (2024/11/11 15:34:40)

胡桃 ◆> いってらっしゃーい！   (2024/11/11 15:34:50)

エロガキ♂19b ◆> よし、、俺も行ってきまーす   (2024/11/11 15:34:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 15:34:52)

胡桃 ◆> アフター部屋の説明とか、運用のあれこれも整理しなきゃなぁ。   (2024/11/11 15:35:12)

キタサンブラック> と、胡桃さんは大丈夫、ですか？というか多目的じゃないアフタールーム作られたんですね   (2024/11/11 15:35:30)

胡桃 ◆> 多目的はさ、本当に用途様々な形で使われるし…私の管理下にないし、アフター用のお部屋があると安心できるって子がちらほらいたんだよね。ただ、個室に誘うのがダメってわけじゃないの。あくまで個室が苦手だったり、表で見える場所で乱れたい人のため…みたいな？
  (2024/11/11 15:36:54)

胡桃 ◆> って、大丈夫？何がかな？   (2024/11/11 15:37:19)

キタサンブラック> 個室じゃ多人数には対応できませんからね。あ、いえ、先ほど癒して～と言われていたので、お疲れかな～と？（なでなでと、頭、と見せてお尻もなでなでする感じ   (2024/11/11 15:37:58)

胡桃 ◆> それもある！！寧ろあーいうお部屋あれば乱…こほん。複数人でも楽しめると思うんだよね。さっきのは隠語的な…うん、私もアフターしに…あれ、なんか頭以外撫でてない？(健康的なお尻でしょって自慢顔。でも恥ずかしいのは恥ずかしい、)  
(2024/11/11 15:39:45)

キタサンブラック> お時間大丈夫なら、もう少し遊ばれますか？（そういえば、ここだと生なお触りはだめなんでしたっけ？さっき下脱いでもらいましたけど生尻だったかな？なんて）   (2024/11/11 15:40:49)

胡桃 ◆> (今思えば着衣せずすっ飛んできたみたいになってるよね、私が痴女になっちゃう。)   (2024/11/11 15:41:24)

胡桃 ◆> 個室でお願いしちゃってもいい…？   (2024/11/11 15:41:40)

キタサンブラック> と、ちょっと回線が手間取りましたが、お部屋ご用意できましたので～♪   (2024/11/11 15:44:55)

胡桃 ◆> 合流完了！   (2024/11/11 15:45:38)

キタサンブラック> 【ではでは～ごあんなーい】   (2024/11/11 15:45:40)

おしらせ> キタサンブラックさんが退室しました。  (2024/11/11 15:45:44)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/11 15:46:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 16:48:46)

エロガキ♂19b ◆> きかんー！！   (2024/11/11 16:48:51)

エロガキ♂19b ◆> なんだかまたあったのかぁ....ほんと、何であんなことするんだろ？愉快犯？そんなものこの世から消し去ってしまえー！！(ピロロロロロ)   (2024/11/11 16:52:58)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/11 16:58:58)

エロガキ♂11T> まったり～   (2024/11/11 16:59:07)

エロガキ♂19b ◆> ゆっくり～   (2024/11/11 16:59:29)

エロガキ♂11T> あ、レモンお姉さんと楽しめました？   (2024/11/11 16:59:54)

エロガキ♂19b ◆> 楽しんできたよ～   (2024/11/11 17:00:12)

エロガキ♂11T> おー、良かった～   (2024/11/11 17:00:21)

エロガキ♂19b ◆> だから今はじぃーーっと見ながら休憩中～   (2024/11/11 17:00:47)

エロガキ♂11T> アフター部屋なんて出来てたの知らなかったっす   (2024/11/11 17:00:52)

エロガキ♂19b ◆> 最近だからねぇ～。仕方ないどらげない～   (2024/11/11 17:01:09)

エロガキ♂11T> 最近なのか～   (2024/11/11 17:01:57)

エロガキ♂19b ◆> 最近なのだ～   (2024/11/11 17:02:16)

エロガキ♂11T> たまにはお姉さんをめっちゃくちゃにいじめたい(笑)   (2024/11/11 17:03:42)

おしらせ> サトノダイヤモンド ◆v3fIOVOBtg7uさんが入室しました♪  (2024/11/11 17:04:03)

サトノダイヤモンド ◆> こんにちは〜♡♡お邪魔します♡♡   (2024/11/11 17:04:15)

エロガキ♂11T> こんにちは～   (2024/11/11 17:04:32)

エロガキ♂19b ◆> こんにちは～押しが強いおうまちゃんだー！！   (2024/11/11 17:05:00)

エロガキ♂11T> (もしかしてセクハラされたくて来たのかな…じろじろ)   (2024/11/11 17:05:08)

サトノダイヤモンド ◆> ふふ♡自己紹介文見ると…♡♡   (2024/11/11 17:05:59)

サトノダイヤモンド ◆> あ、部屋のルールに反しない程度に…   (2024/11/11 17:06:17)

エロガキ♂19b ◆> ほどほどにね～。セクハラはなにも言わずとも彼がしてくれるよー   (2024/11/11 17:06:43)

エロガキ♂11T> ちなみに今日はどんな服装で？…(サトノお姉さんにどんなセクハラしよっかなと考えながら)   (2024/11/11 17:07:23)

サトノダイヤモンド ◆> ビキニとかお好きですか？♡ダイヤに似合いそうな緑色の…   (2024/11/11 17:08:16)

エロガキ♂11T> 緑色のビキニ…いいですね…出来たら、すこし露出激しいのが…(笑)   (2024/11/11 17:09:53)

エロガキ♂19b ◆> ダイヤちゃんのやらしい雰囲気が伝わってきたぁ...   (2024/11/11 17:10:27)

サトノダイヤモンド ◆> ふふ♡胸が暴れたら外れちゃいそうな…ギリギリビキニ♡♡みなさん好きそう♡♡   (2024/11/11 17:10:43)

エロガキ♂11T> ほんと…胸溢れそうですね…(軽く胸をツンツン)   (2024/11/11 17:11:26)

サトノダイヤモンド ◆> ふふ♡揺れちゃいます♡ところで…御二方はいつもここに？   (2024/11/11 17:12:50)

エロガキ♂11T> 結構来てはいますね…   (2024/11/11 17:13:19)

エロガキ♂11T> 今日は休みなんで、尚更   (2024/11/11 17:13:37)

エロガキ♂19b ◆> 俺はいつもここか、勝負部屋にいるよー。1日の半分ぐらいはいる気がする？....暇人かな？   (2024/11/11 17:13:49)

サトノダイヤモンド ◆> そうなんですか♡私は…別キャラでなら数回来たことあります♡全敗ですけど…   (2024/11/11 17:14:25)

エロガキ♂11T> 別キャラなんだ…(気になるな～)   (2024/11/11 17:15:05)

エロガキ♂11T> それなら勝負部屋行きます？   (2024/11/11 17:15:20)

サトノダイヤモンド ◆> もう少ししたら行こうかと…♡ダイヤがエロガキちんぽに囲まれてたり…♡   (2024/11/11 17:17:02)

エロガキ♂11T> エッチなおっぱいをおもちゃにされたり？   (2024/11/11 17:18:21)

エロガキ♂19b ◆> この時間なら....囲まれちゃうかもねぇ   (2024/11/11 17:18:26)

サトノダイヤモンド ◆> おっぱいボインボイン暴れさせながら…♡ビキニなんか一瞬で剥ぎ取られたり…♡♡   (2024/11/11 17:19:03)

エロガキ♂11T> サトノお姉さんのエロマンコをなめ廻して…めっちゃくちゃにいじめちゃいたい   (2024/11/11 17:19:23)

サトノダイヤモンド ◆> 楽しそう…♡ところでおっぱいの揺れ方の音って何が好みですかね…ボインボインとかよく聞きますが…♡   (2024/11/11 17:20:49)

エロガキ♂11T> サトノお姉ちゃんはエッチそうだからいいね   (2024/11/11 17:21:08)

エロガキ♂11T> ゆっさゆっさとか…プルンプルンとか…(笑)   (2024/11/11 17:21:40)

サトノダイヤモンド ◆> ゆっさゆっさ…♡プルンプルン♡♡バインバイン♡♡とか…ありますよね♡♡   (2024/11/11 17:22:43)

エロガキ♂11T> 大きいおっぱい好きだからね～(笑)   (2024/11/11 17:23:38)

エロガキ♂11T> 一番はプルンプルンかも(笑)   (2024/11/11 17:24:10)

サトノダイヤモンド ◆> ビキニで走っておっぱいプルンプルン♡♡2つとも上下に暴れちゃう♡♡   (2024/11/11 17:25:10)

エロガキ♂11T> サトノお姉ちゃんのおっぱいにパイずりされたいのもあるな…   (2024/11/11 17:25:20)

エロガキ♂11T> プルンプルン揺れるおっぱいを鷲掴みして…乳首を指で挟んでこねてとかね(笑)   (2024/11/11 17:25:51)

サトノダイヤモンド ◆> おっぱいプルンプルンサイコロ対決♡♡ふふ…移動しましょうか…♡   (2024/11/11 17:26:17)

エロガキ♂11T> はーい、移動しよう、あ、エロガキ有利部屋行きます？(笑)   (2024/11/11 17:26:48)

エロガキ♂19b ◆> いってらっしゃい～11くんの年齢ならアナザーとかでもいいんじゃないー？   (2024/11/11 17:27:10)

サトノダイヤモンド ◆> 行っちゃいましょうか…♡   (2024/11/11 17:27:30)

エロガキ♂11T> じゃ、有利部屋で   (2024/11/11 17:27:59)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/11 17:28:06)

サトノダイヤモンド ◆> お邪魔しました♡♡途中参戦も大歓迎ですので是非…♡   (2024/11/11 17:28:43)

おしらせ> サトノダイヤモンド ◆v3fIOVOBtg7uさんが退室しました。  (2024/11/11 17:28:45)

エロガキ♂19b ◆> 2人とも楽しんで～！！   (2024/11/11 17:28:58)

エロガキ♂19b ◆> 横になってよ～(ソファに仰向けに倒れて帽子を乗っけて)   (2024/11/11 17:30:17)

エロガキ♂19b ◆> ....さっぱりしてこようかな。   (2024/11/11 17:33:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 17:33:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/11 18:50:06)

エロガキ♂14C ◆> ……お昼カップうどんだけはやっぱりひもじかった！！！（ぐきゅるる）   (2024/11/11 18:50:32)

エロガキ♂14C ◆> とりあえずこんばんはっと。平日だけど夕方は盛り上がってた……のかな？   (2024/11/11 18:50:59)

エロガキ♂14C ◆> 昨日は本当に酷いいじめられ方して心折れそーだったけどリセット出来たし、今夜もタイミングまた遊びにいこーかなー。   (2024/11/11 18:53:46)

エロガキ♂14C ◆> 今は流石にみんなお夕飯の時間かぁ。誰かにあーんされながらご飯食べたい（自堕落）   (2024/11/11 18:59:07)

エロガキ♂14C ◆> ま、顔出ししたしまたてきとーな頃合に遊びに行くねー。じゃあねー。   (2024/11/11 19:03:43)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/11 19:03:45)

おしらせ> シンデレラさんが入室しました♪  (2024/11/11 19:18:53)

シンデレラ> こんばんは...今夜もいい夜ね..   (2024/11/11 19:19:11)

シンデレラ> 先程までは昨日の彼がいたようね....また苛めてあげるは...♡   (2024/11/11 19:21:01)

シンデレラ> 先に食事を取りましょうか....   (2024/11/11 19:27:38)

おしらせ> シンデレラさんが退室しました。  (2024/11/11 19:27:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 21:18:26)

エロガキ♂19b ◆> 背後が忙しいって思ったら予想以上に早く終わって唖然だよ....( ;´･ω･`)   (2024/11/11 21:19:01)

エロガキ♂19b ◆> 勝負部屋の方は～、、エロガキの勝ち～っと   (2024/11/11 21:36:19)

エロガキ♂19b ◆> あんまり居座ってもあれだしね～、、お話ししてくれる人をもう少し待ってみて来なかったら撤収かなぁ   (2024/11/11 21:45:51)

エロガキ♂19b ◆> 撤退！！   (2024/11/11 22:01:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 22:01:36)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 23:04:15)

エロガキ♂19b ◆> 帰ってきちゃったぜ～。のんびりしてよっと   (2024/11/11 23:05:08)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/11 23:05:28)

エロガキ♂19b ◆> よっす～...こんばんは～   (2024/11/11 23:05:52)

エロガキ♂14C ◆> こんばんは、と。よーやくスランプから脱したかなあ？   (2024/11/11 23:06:02)

エロガキ♂14C ◆> ……ってなんでそんなにテンションダダ下がりなの？   (2024/11/11 23:06:13)

エロガキ♂19b ◆> いえ～～～～～～い！！！！   (2024/11/11 23:06:35)

エロガキ♂14C ◆> （なんなんだ一体）   (2024/11/11 23:06:51)

エロガキ♂19b ◆> なーんてね...いやぁ～ごろごろしてたからさー！！ちょっとテンション低めやったんよー   (2024/11/11 23:07:50)

エロガキ♂14C ◆> すこーし不完全燃焼感が否めないんだけど……この時間じゃあちょっと厳しい気がするんだよなあ。   (2024/11/11 23:07:58)

エロガキ♂14C ◆> あ、そ……一瞬心配したけど無用だったようで何より。（お茶ずずず）   (2024/11/11 23:08:31)

エロガキ♂19b ◆> 貴様がお兄さんの心配をするなんて！！   (2024/11/11 23:09:25)

エロガキ♂19b ◆> 貴様？？なにいってるんだ？   (2024/11/11 23:09:37)

エロガキ♂14C ◆> ………………。   (2024/11/11 23:10:58)

エロガキ♂14C ◆> 熱でもある？   (2024/11/11 23:11:04)

エロガキ♂19b ◆> ないない～   (2024/11/11 23:11:43)

エロガキ♂14C ◆> なんていうか支離滅裂さに熱にうなされて変な人格でも生まれたのかと思って。   (2024/11/11 23:12:08)

エロガキ♂19b ◆> そんなことはないよー...過去ログ見てにやにしてるぐらいですし？   (2024/11/11 23:13:26)

エロガキ♂14C ◆> きもちわる！   (2024/11/11 23:14:48)

エロガキ♂19b ◆> 酷い！！   (2024/11/11 23:15:21)

エロガキ♂14C ◆> いやだって、ねぇ……これだからドン引きされるんだよ、19bにーさん……   (2024/11/11 23:16:05)

エロガキ♂19b ◆> 俺がドン引きされるのはいまに始まったことじゃないからいいんだよ！！   (2024/11/11 23:16:37)

エロガキ♂14C ◆> いいんだ……じゃあもっとドン引きしとくね（？）   (2024/11/11 23:18:06)

エロガキ♂19b ◆> 14cは最近は～負けてはいるけど意外といい思いをしてる感じよねぇ、、羨ましいなぁ～(ごろごろ)   (2024/11/11 23:18:18)

エロガキ♂19b ◆> これ以上引ける？   (2024/11/11 23:18:27)

エロガキ♂14C ◆> ……昨日は地獄だったんだけど？？？？？（血走った眼）   (2024/11/11 23:18:53)

エロガキ♂19b ◆> 昨日のログは見てないからわかんね～。地獄ってマ？   (2024/11/11 23:19:26)

エロガキ♂14C ◆> 見なくていいから。マジで。つーか見るんじゃない。   (2024/11/11 23:20:24)

エロガキ♂19b ◆> よし！！見てくるね！罰部屋？アフター？どっち！？   (2024/11/11 23:20:57)

エロガキ♂14C ◆> 人の不幸は蜜の味、って事？マジで引くわ……   (2024/11/11 23:21:32)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/11 23:21:59)

エロガキ♂19b ◆> あったり前じゃん。普段こんなにボロクソいってくる14cのおもろいとこ見れるんやろ？そんなんいくしかないよなぁ！！とは言いつつもいまはみないけどねぇ   (2024/11/11 23:22:15)

エロガキ♂14C ◆> あ、クラリスおねーさんだ。こんばんはー。   (2024/11/11 23:22:15)

