/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年01月04日 10時57分 ～ 2025年01月15日 21時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> よし！！いこうー！！何だかんだお昼の用意もしないと！！   (1/4 10:57:30)
エロガキ♂19b ◆> これでもやることしてから来てるんだけどね～...やっぱ学生だから来やすいってのがあるね。あー、働きたくない...誰か養ってくれる子いないかなぁ～   (1/5 20:15:09)

エロガキ♂14C ◆> ヒモ志望発言堂々とするのもどーかと思うけど……そもそもヒモになるのって、下手に働くよりも大変そうだなあって僕は思うけどね。   (1/5 20:16:22)

エロガキ♂19b ◆> そのために家事はある程度できるようにしたし、料理の腕も磨いた！...なんならエアコンの設置もできたりする！！必要なスキルはある程度はあるはずだから！！とにかく働きたくない！！(強い意思)   (1/5 20:19:18)

エロガキ♂14C ◆> そーいう意味じゃないんだけど、まあいいや…19bにーさんの人生は19bにーさんが決めることだし。（溜息）ま、とりあえず僕は一旦失礼するよ。ちょっと出かけたりしたいからね、それじゃ。   (1/5 20:20:20)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/5 20:20:24)

エロガキ♂19b ◆> あらー？違ったかぁ...っとと、こんな時間からお出掛けですかいー！寒いから気を付けるんだよ～、いってらっしゃい！！   (1/5 20:21:16)

エロガキ♂19b ◆> 俺もちょっと出よっと～！また来るかも？それはあとになってのおたのしみ～   (1/5 20:30:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/5 20:30:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/6 01:42:03)

エロガキ♂19b ◆> ほいっと！！私です！！...遅い時間に起きてる悪い子はいないかなー？(キョロキョロ)ま、俺じたいがかなり悪い子なのかもしれない？   (1/6 01:42:53)

エロガキ♂19b ◆> ふむ...やっぱりだーれも居ないね～。さすがに寝よっと！！   (1/6 02:01:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/6 02:01:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/6 10:23:42)

エロガキ♂19b ◆> おっはようー！！...色々あって朝から元気いっぱいだぜぇ！！   (1/6 10:24:35)

エロガキ♂19b ◆> 誰もいないってなるとやっぱ暇よねぇ、、ま、へいじつだからしかたないか！   (1/6 10:38:47)

エロガキ♂19b ◆> そろそろ帰ろっと！！待ったねー！   (1/6 10:47:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/6 10:47:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/6 21:52:33)

エロガキ♂19b ◆> ほぼ俺しか来てない気がする！！こんばんは！！...   (1/6 21:52:57)

エロガキ♂19b ◆> あ、やばっ！！そういえばやることあったの忘れてた！！またねー！！   (1/6 22:14:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/6 22:14:42)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/7 06:17:17)

エロガキ♂14C ◆> おはよーございまーす。夜更かしが出来ない（眠気的な意味で）この頃。   (1/7 06:17:44)

エロガキ♂14C ◆> だからってこんな時間に顔出しても仕方なくない？って言われたらそーかもしれない。   (1/7 06:18:06)

エロガキ♂14C ◆> ま、誰とも会えるとは思えないし大人しく支度しようかな。またね。   (1/7 06:29:08)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/7 06:29:15)

おしらせ> 雪花ラミィさんが入室しました♪  (1/7 21:54:41)

雪花ラミィ> アレ？今家帰ってきたとこやんなんか4Gなっとるやん。こんらみー、いやー、やっぱり夜は冷え込むねー。ラミィじゃなきゃ凍えちんどったよ。ラミィを逝去させられるのはお酒と美味しいものだけって相場が…（しかじか）   (1/7 21:56:19)

おしらせ> エロガキ♀15kbさんが入室しました♪  (1/7 22:03:37)

エロガキ♀15kb> （ニョキ）どうも、明けましておめでとうございます。寒さはもうなんだかいろいろどうしようもないけれど、ラミィさんを見つけちゃったのでイチャイチャしながら温めて貰いにまいりました（さぁ、抱きしめてくださいって両手開きポーズ）   (1/7
22:04:32)

雪花ラミィ> ウワッ、めちゃ久しぶりじゃない…！？こんらみぃ〜、カービィちゃんが生えてきたど。こちらこそ、あけおめことよろ〜。元気しとったかい〜？（ふわーっと抱きしめてから頭ぽんぽん。）クソ寒い身体にはっぱおでんだよな（）   (1/7 22:06:43)

エロガキ♀15kb> はい～とってもお久しぶりです。そして相変わらずそのなんでも吸い込むピンク色の悪魔みたいな……（頭ぽふられ耳パタパタしつつ、あでもおでんはいいですね）　最近遊んでます？ここではさすがにセクハラとかできませんけど   (1/7
22:07:59)

雪花ラミィ> もう、カービィちゃんで定着しちゃったわ。kbがキブである事は承知なんだけどネ（）んむ〜〜…最近はホント、まとまった時間が取れたと思ったら眠たい事が多いからさー。寝落ちできる体制でここに雪崩れ込むことしかしてないかも。   (1/7
22:11:35)

エロガキ♀15kb> 北黒なのはまぁ今更……と思うも、最近来た子だとまだ仮面外しで少しは驚いてくれたりも（おでん、おいし、おいしっしつつ）　ゲーム＋罰時間で合わせて1時間ちょっと……まぁ、それに比べると雑談のお手軽さがなんとも言えないくらい絶妙ではありますよね。
  (1/7 22:15:11)

雪花ラミィ> 最近、まだラミィもお話ししてない子が来たりしてるよねー。雑談部屋に来て一緒に酒……は、ダメなんやった（n回目）そーなんよねー…勿論、眠気なんつーもんが無かったら気分転換にサイコロしにいくのも楽しいんだけども…。   (1/7 22:18:03)

エロガキ♀15kb> お酒でもいいですがって言うか、そこは拘りますけど15歳未満と精液飲まされ合っている時点で倫理観という概念はいかがなものかとも？（今更会話その２）　眠らなくても疲れない薬……とかヤバイ発想でしかないので、棚に置いておいて、休み時間、仕事外の時間が睡眠以外で全部使えたら、どれだけいろいろなことが出来るか、ですね。
  (1/7 22:19:55)

おしらせ> エロガキ♂13Wiさんが入室しました♪  (1/7 22:23:38)

エロガキ♂13Wi> こんばんは―お邪魔します。大人のお酒の匂いにつられてふらふらと…あ、あけましておめでとうございます！   (1/7 22:23:40)

エロガキ♀15kb> どうも～いらっしゃいませ～（おでんうめっうめっしつつ、頭ぽふられたあと隣でゴロゴロしてる家ウマ）   (1/7 22:24:48)

雪花ラミィ> いや、それはそう。未飲の前に未淫しちゃってる、なんつってな！ｗ（激おもろギャグ）いやホント常々思うよねーそれ。寝てる暇あったら酒飲みたいし、アルコール摂取したいし、本読みたいしビール飲みたい…。   (1/7 22:26:58)

雪花ラミィ> 213歳嘆きの回してたらこんらみいー。飲むか（飲まん）   (1/7 22:27:38)

おしらせ> エロガキ♂17Cさんが入室しました♪  (1/7 22:28:28)

エロガキ♂13Wi> 新年会って感じですねぇ、あれ、気のせいかシッポが見えるような…あ、せっかくの綺麗なお姉さんからのお酒は断れませんよーいただきます！（手のひらを器にしてすっと）   (1/7 22:29:23)

エロガキ♀15kb> 未インとか未インとか……（カタカナ発音ならもうどっちかわからない、よし）　そうですね。とはいえよく学び、よく動き、よく遊び、よく寝る……は大事なサイクルですし、とはいえ（何気にラミィさんの中に飲酒以外で読書という……頬ぉ。これは一つの情報？　掘り下げる部分が違う？）
  (1/7 22:29:27)

エロガキ♂17C> ……なんだか通りがかったらすげー寒くなったんだけど。誰のせい？こんばんは。13Wiくんは初めまして、だね。   (1/7 22:29:30)

エロガキ♀15kb> どうも～……いらっしゃいませ～（213歳嘆きの会、メスガキ担当、淫乱担当のｋｂです）   (1/7 22:30:24)

エロガキ♂13Wi> 17Cさんこんばんは、お邪魔してますよ！今週はすっごく冷え込むみたいですねぇ…   (1/7 22:31:23)

雪花ラミィ> 亀仙人にも昔同じ事言われたわあ……と言ってもドラゴンボール履修したの数年前やから言うてか…（）ラミィ、お家の中が図書館になるぐらい本はあるぉー。デケえ本棚5つはある。   (1/7 22:31:44)

エロガキ♂17C> 15kbちゃんはお久しぶり……って、もしかしてこの状態で会うのって初めて、だったりしないよな……？いやまあ、冷え込みもあるんだけどなんかこの部屋の中からクソ寒いギャグが聞こえてきてさ？   (1/7 22:32:28)

雪花ラミィ> ほう、活気のええチビ助やないか。そんな子にはこれや！！！（中高生男子が飲む飲み物ランキング堂々の一位ジンジャーエールどばぁぁ）おうおう、じゃあけぇれやあったかくしてけぇれ貴様！！やっぱ嘘、ここにいてね。（）   (1/7 22:33:02)

エロガキ♀15kb> アタシはカラーボックス……ですかね。180くらいの高さで、横幅はさほどでもない肩幅よりは大きいかな？って感じの棚が2個並べてあるくらいしか……その下の方だけ重さの都合で本棚、上半分はいろいろですね（下は保存している書籍、上はよく取りだす資料関係や、そのほか本以外の小物置き場状態……）５つも棚があるのは凄いですね
  (1/7 22:34:29)

エロガキ♂17C> というか。未成年は飲んじゃダメだろ……って思ったらジンジャエールはまあ大丈夫か。なんだよそのドリル並みの回転率した掌返し。情緒不安定にも程があるだろ。（溜息混じりに缶コーヒーぐいっと。）   (1/7 22:34:50)

エロガキ♀15kb> ん？お久しぶり……なんでしょうかね？（正直、エロガキさんを見分けるのが得意じゃないので、どちら様？状態なのは本音なんですけど、アタシはメスガキっていう割とレアものですから別枠なんでしょうけど）   (1/7 22:35:23)

エロガキ♂13Wi> わーこぼれますよこぼれるぅ！？（溢れる先から炭酸飲料をぐびぐびしてげぷー）おねーさん気風がいいですね。はい、じゃあまだここに居ますよ、お隣にちょこんと。あ、おいしいもの何かあります？   (1/7 22:36:24)

エロガキ♂17C> 本棚なあ……部屋が狭いから本当に残したいもの以外は売っちゃったんだよなあ。ん、まあアレだよ。トリップが自己紹介になってた奴。（トリップもなければ見分けも付かないのは仕方ないよね、と両肩竦め。）   (1/7 22:36:35)

エロガキ♀15kb> ここ数年で、何でしたっけ……カカロットってタイトルのゲームでしたっけ？あれでほぼすべてのドラゴンボールを履修できるの、やっぱりお得ですよね。（今でこそ、なんかこの人がすごい悪役、とかM字ハゲさんは味方～とか意識が定着してますが）  
(1/7 22:36:53)

エロガキ♂13Wi> くそ寒いギャグですか…？なんだろ、僕にはちょっとわかんなかったですけど…ハッ、僕の世代ではわからないやつだった…！？   (1/7 22:37:17)

エロガキ♀15kb> ……トリップ？（今、誰か着いてましたっけ？）   (1/7 22:37:39)

おしらせ> 暁山瑞希 ◆za77rifW.Yさんが入室しました♪  (1/7 22:38:33)

雪花ラミィ> ラミィのは横1.3m縦はラミィがギリギリ背伸びで届く幅って感じではある。好きな本を並べてたらこうなっちゃった。（）ほら、アレやん冗談ですやんけ。お酒を飲もうとする意思を確認してオレンジジュースを出そうとしてたんよ！！   (1/7
22:38:57)

暁山瑞希 ◆> こんばんは〜☆お久しぶりな子もいるかな？平日に盛り上がってるの珍しいじゃん！てことで来てみたよ♪(フッ軽) よろしくね♫   (1/7 22:39:49)

エロガキ♀15kb> まぁでも、本来エロガキはエロガキであって、個性を得る存在ではないので、どなたでもいいというのが本音ですが   (1/7 22:40:44)

エロガキ♂17C> ……来たばっかりなのに電話来た。やれやれ……レス蹴りまくりでごめん。オレが誰かの答えはそこのエルフとかが知ってるから適当に聞いといて。それじゃ皆またね。   (1/7 22:40:44)

雪花ラミィ> 美味しいもんかー…。ぽたぽた焼きかお揚げさんか、雪の華かなあ（全部同じ系列でおばあちゃん）すごいよね、三年立つだけでおっぱいっ子がマセちゃうもん（クソニヤニヤエルフ）   (1/7 22:40:50)

エロガキ♀15kb> どうも、そちらの方はいらっしゃいませ。こんちは～　初めまして……でしたかね？   (1/7 22:41:00)

おしらせ> エロガキ♂17Cさんが退室しました。  (1/7 22:41:11)

雪花ラミィ> どっか行きやがった！！おつらみいー。あったかくせえよー   (1/7 22:41:53)

エロガキ♀15kb> とりあえず、初めましてもかねて。汝のあるべき姿に帰れ……とも思いますので（一旦、どろん   (1/7 22:41:54)

おしらせ> エロガキ♀15kbさんが退室しました。  (1/7 22:42:04)

おしらせ> キタサンブラックさんが入室しました♪  (1/7 22:42:17)

暁山瑞希 ◆> kbちゃんとは、ボクの知り合いのアスト…ごほんっ。ピンク髪の理性蒸発してる子ならだいぶ前に会ってるかも   (1/7 22:42:49)

キタサンブラック> （頭に葉っぱの一枚も乗っけて、くるっとバク転の一つも決めれば、ポンッと）可愛いと思いましたか？　残念、キタちゃんでした～♪   (1/7 22:43:00)

エロガキ♂13Wi> あ、じゃあ雪の華もらいますね！（ぱりぱり）うーん、ぼくは三年経ってもおっぱい好きだと思いますけど…？大きくなるとおっぱいに興味なくなっちゃうんですか？   (1/7 22:43:32)

キタサンブラック> アタシはなのも聞いてないので知りません、Asとか誰が誰とか……正直ここで、大きな意味はないので♪アタシはラミィさんが好きで、偶には黒さんにも合わせろエッチなことさせろ～って叫ぶだけです（えっへん   (1/7 22:43:59)

エロガキ♂13Wi> 瑞希は初めましてですね、よろしくお願いします！キタちゃんもお帰りなさい！そういえばメスガキさんってあっちのお部屋には入れるんですか？   (1/7 22:45:33)

雪花ラミィ> さ芸人かと思った。十分可愛いやろ（）んぱっ、一瞬離席…！   (1/7 22:45:58)

暁山瑞希 ◆> だよねー。まぁよろしく〜。奇遇だね、ボクも顔肝臓お姉さんが好きなんだ♪   (1/7 22:45:59)

暁山瑞希 ◆> よろしく、Wiくん☆   (1/7 22:46:42)

キタサンブラック> ん～？別に　エロガキの条件は10代であることと、エロいことですからね。性別の条件はない上に、実際♂♀表記がネーム義務に入って居る通り、OKなんですよ？　最初は裏技みたいな扱いでしたけどね   (1/7 22:47:36)

暁山瑞希 ◆> ………ポーション飲んでるせいで頭ふわふわしてる…。気分が悪いとかじゃないんだけどね〜   (1/7 22:48:10)

キタサンブラック> ラミィさんは行ってらっしゃいませ～　暖かくして動いてくださいね（とりあえずこっちのラミィさんは魂が抜けてる間毛布にでもくるんでおきましょう）   (1/7 22:48:49)

暁山瑞希 ◆> うん、ちょっとボクも離席。戻って来なくても気にしないでねー   (1/7 22:49:11)

キタサンブラック> 行ってらっしゃいませ～   (1/7 22:49:23)

エロガキ♂13Wi> 行ってらっしゃいませー。今日は寒いしシャットダウンする人も多いでしょうね？   (1/7 22:52:57)

キタサンブラック> あ、おじいちゃん（家族）がお風呂あがったみたいなので……アタシも一旦お風呂ですかね（ちょっと様子みしつつ）   (1/7 22:53:59)

キタサンブラック> よし、イケそうなのでアタシも一旦失礼します（ほぼ雪崩ですみません！）   (1/7 22:54:40)

エロガキ♂13Wi> はーい行ってらっしゃいませ！（ふりふり）僕は皆さんの退室を見届けてから落ちますね！   (1/7 22:54:42)

おしらせ> キタサンブラックさんが退室しました。  (1/7 22:54:48)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (1/7 23:11:23)

おしらせ> 無言時間が25分を超えたため、暁山瑞希 ◆za77rifW.Yさんが自動退室しました。  (1/7 23:14:28)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Wiさんが自動退室しました。  (1/7 23:19:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/7 23:45:43)

エロガキ♂19b ◆> こんばんは～。さっきまでは賑わってたぽいかなー？   (1/7 23:46:17)

エロガキ♂19b ◆> 深夜帯だとマジでやることなくて暇になるんだよねぇ、、のんびりとゴロゴロしてると時間が消し飛ぶことになるんだよねぇ...そして朝後悔するまでがテンプレ！！   (1/8 00:02:14)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/8 00:03:15)

十六夜咲夜 ◆> こんばんは。まあ来てみた程度…   (1/8 00:03:28)

エロガキ♂19b ◆> やっほ～。来てみた程度！？俺では役不足というわけだぁ！！っと、、発狂はここまでにしてこんばんは咲夜ちゃん   (1/8 00:04:45)

十六夜咲夜 ◆> そういうつもりではないんですけどね…   (1/8 00:10:10)

エロガキ♂19b ◆> あははっ！冗談冗談～。久しぶり？に女の子と話すかもだからすこし気分がねー   (1/8 00:11:01)

十六夜咲夜 ◆> …もうっ。それにしてもタイミング悪かった感じかしら？   (1/8 00:15:39)

エロガキ♂19b ◆> みんなが集まってるたのがさっきだから俺も咲夜ちゃんもタイミングは悪かったのかもしれない！！...   (1/8 00:16:22)

十六夜咲夜 ◆> そのようねぇ…戻ってきそうにもないですし。   (1/8 00:17:57)

エロガキ♂19b ◆> この時間になると確かにもう戻って来ないかもね、いつもいるのにこういうときは逃すんだよなぁ   (1/8 00:19:01)

十六夜咲夜 ◆> …そのようねえ…   (1/8 00:22:19)

十六夜咲夜 ◆> 1対1以外でもできたら面白いと思ってるんですけどね。   (1/8 00:22:40)

エロガキ♂19b ◆> 最近1対1ばっかだもんね、複数戦なんてほんと全然だし   (1/8 00:23:18)

エロガキ♂19b ◆> ...勝負部屋に女の子がいるね、、これ複数いけるんじゃね！？   (1/8 00:24:23)

十六夜咲夜 ◆> あら、様子見て私も行くかしら？   (1/8 00:25:11)

エロガキ♂19b ◆> とりあいず突撃してくるね。女の子がいるならいくのが俺！！   (1/8 00:25:36)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/8 00:25:37)

十六夜咲夜 ◆> あらあら…私も行ったら集まるかしらね？   (1/8 00:27:39)

おしらせ> エロガキ♂19Hさんが入室しました♪  (1/8 00:30:30)

エロガキ♂19H> こんばんは   (1/8 00:30:35)

十六夜咲夜 ◆> こんばんは。   (1/8 00:31:29)

十六夜咲夜 ◆> あちらでなくていいのです？   (1/8 00:31:39)

エロガキ♂19H> 女性を1人にはできないですしね   (1/8 00:33:02)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (1/8 00:35:04)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (1/8 00:35:13)

十六夜咲夜 ◆> あら、こんばんは。   (1/8 00:35:16)

十六夜咲夜 ◆> まずは観戦しておきますかね。   (1/8 00:35:39)

エロガキ♂13HL ◆> 咲夜お姉ちゃんやほ〜あけましておめでとうございます♪   (1/8 00:35:45)

十六夜咲夜 ◆> ええ、あけましておめでとうね。   (1/8 00:36:15)

エロガキ♂13HL ◆> 今年もよろしくお願いします〜   (1/8 00:37:26)

十六夜咲夜 ◆> こちらこそ皆様よろしくお願いしますね。   (1/8 00:37:38)

エロガキ♂13HL ◆> 観戦するなら紅茶とクッキーでも用意しようかー？   (1/8 00:37:55)

十六夜咲夜 ◆> あ、頼むわね。   (1/8 00:38:15)

おしらせ> エロガキ♂13UCさんが入室しました♪  (1/8 00:40:18)

エロガキ♂13HL ◆> はーいでは……(ずっとどこからか机と椅子を出しては用意してクロスの上に紅茶の入ったティーカップと甘さ控えめのこの時間帯でも気にせずに食べれるクッキーを用意して)   (1/8 00:40:20)

エロガキ♂13UC> 明けまして～……おめでとぉおお！！（っと、咲夜姉ちゃんのお尻ぱちぃぃんん！！   (1/8 00:40:43)

十六夜咲夜 ◆> あらあら、いっぱい来た…きゃっ？？   (1/8 00:42:04)

エロガキ♂13UC> ま、たまには顔を出しておかないと忘れられそうで？（とりあえず、反応はほどほどに、ファーストヒップいただきました～♪）   (1/8 00:42:46)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (1/8 00:43:11)

エロガキ♂13UC> よっす、HLも久しぶり♪   (1/8 00:43:31)

十六夜咲夜 ◆> もう、久々だからってぇ…   (1/8 00:43:48)

エロガキ♂13UC> イイじゃん♪俺ら、エロガキが、エロい悪戯しないでどうすrんの？ってだけど、あんま濃いのはこっちじゃだめでしょ♪（にひひひ   (1/8 00:44:29)

十六夜咲夜 ◆> まあそれもそうですけど…って、濃いのは？んん？   (1/8 00:45:26)

エロガキ♂13UC> 確か、素肌でのあんまり露骨なタッチとかはこっちじゃダメでしょ？雑談だから、さ？（だからパチンと打ち抜きセクハラくらいしかできない）   (1/8 00:46:10)

エロガキ♂13HL ◆> (じとーっ)   (1/8 00:47:02)

十六夜咲夜 ◆> まあそれはそうですけど。   (1/8 00:47:09)

十六夜咲夜 ◆> (あ、HLくんの目線が)   (1/8 00:47:27)

エロガキ♂13HL ◆> (別にー……！)   (1/8 00:48:00)

エロガキ♂13UC> なんだ、羨ましいならHLもやったら？ほらほら（と、咲夜姉ちゃんのスカートのすそ掴んでぺらぺら捲ろうと）   (1/8 00:48:06)

十六夜咲夜 ◆> きゃっ…こ、こらっ？？   (1/8 00:48:32)

エロガキ♂13UC> 怒られるけど、避けられない……つまりは、やってOKってことで！（超☆理論！）   (1/8 00:49:34)

十六夜咲夜 ◆> どういう理屈よ…   (1/8 00:51:05)

エロガキ♂13UC> エロガキにエロが絡むことでまっとうな理屈なんてあるわけないじゃん♪　で、部屋空いたみたい、だけど咲夜お姉ちゃんは遊びに入ったりはしないの？   (1/8 00:51:52)

十六夜咲夜 ◆> 皆様次第なところも。   (1/8 00:53:12)

エロガキ♂13UC> 咲夜お姉ちゃんが移動するなら、俺はついていくよ♪　もっとセクハラもしたいし、サイコロも振りたいし♪   (1/8 00:53:53)

エロガキ♂13HL ◆> んー？行くならいくよ〜ただ複数は下手で苦手なので人数次第なところはあるかもです……(先申告)   (1/8 00:54:52)

エロガキ♂13UC> 俺はサイコロ振るのと、セクハラできればいいから、勝ちの際HLが入ってるなら抜けでもいいよ～   (1/8 00:55:32)

エロガキ♂13UC> で、HLは実際咲夜お姉ちゃんにハメたいのか、俺にハメられるの見せられてもいいのか、どっちよ？   (1/8 00:56:13)

十六夜咲夜 ◆> まあよしんば負けたらお二人からされる分には別に…   (1/8 00:56:16)

エロガキ♂13HL ◆> えー？そりゃもちろんハメたい方ですよーただ勝った時にそれをするかは状況次第ですね♪   (1/8 00:56:54)

エロガキ♂13HL ◆> 上手いこと頑張ります！勝てたらですけど！   (1/8 00:58:13)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19Hさんが自動退室しました。  (1/8 00:58:13)

十六夜咲夜 ◆> 移動しますかね。   (1/8 00:58:31)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/8 00:59:10)

エロガキ♂13HL ◆> はーい   (1/8 01:00:13)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (1/8 01:00:21)

おしらせ> エロガキ♂13UCさんが退室しました。  (1/8 01:00:34)

おしらせ> エロガキ♂17Cさんが入室しました♪  (1/8 06:48:55)

エロガキ♂17C> おはようございます、っと……。やれやれ、昨夜は結局戻ってこれなかった。   (1/8 06:49:21)

エロガキ♂17C> とはいえ、こんな朝から誰かに会うわけでもなく顔出しではあるんだけどさ。   (1/8 06:49:51)

エロガキ♂17C> それにしてもまあ、うん。なんというか、今年もタイミングの悪さはまだまだ続くことになりそうだね。   (1/8 06:51:07)

