/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月22日 12時13分 ～ 2024年10月22日 21時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星 ◆> お腹いたぁい……（よわよわ星ちゃん、）   (2024/10/22 12:13:20)
エロガキ♂19b ◆> まじかよ....まぁ、、睡眠時間については俺は5時半ぐらいからやることあったりするから仕方ない！   (2024/10/22 12:41:54)

パンドラ ◆> 、、またどこかでしっかりお休みになられることをお勧めしておきますね？   (2024/10/22 12:42:41)

エロガキ♂19b ◆> どこかでね～、、休むときは休んでるから大丈夫～   (2024/10/22 12:43:51)

星 ◆> なんだ、通りすがりの脚フェチか……。（珍しくもない、と思ったけどさすがに第三者が来たので体を起こした。ありがとね、って今度はこっちがパンドラの頭を撫で。）   (2024/10/22 12:43:57)

パンドラ ◆> そうですね、(お膝の上から離れた頭を手の届かなくなるまで撫でて、お礼に撫でられて柔らかく微笑んでから目を伏せて)またいつでも言ってください、、私は構いませんので、   (2024/10/22 12:46:36)

エロガキ♂19b ◆> お、、おお....素晴らしい眺めだ....   (2024/10/22 12:47:11)

星 ◆> ならもう少し……って言いたいところだけど、そうもいかないみたい。（着信を知らせるスマホ示して苦笑い。開拓者は忙しいのだ。）ちょっと出てくるね、また。（二人に手を振ると、お部屋を出て行った。明日メンテだから……（？））   (2024/10/22
12:49:56)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/22 12:50:06)

パンドラ ◆> あら、、行ってらっしゃい。お気を付けて、、(お急ぎで出て行かれた彼女見送ってお手振りして)   (2024/10/22 12:51:18)

エロガキ♂19b ◆> いってらっしゃいー！   (2024/10/22 12:51:23)

パンドラ ◆> 私も少し外しましょうか、、もうそろそろ準備をしなければ行けない時間ですので   (2024/10/22 12:51:54)

エロガキ♂19b ◆> 了解！！いってらっしゃいー！   (2024/10/22 12:53:00)

パンドラ ◆> またもう少し落ち着いた後にお話致しましょう、、では   (2024/10/22 12:53:15)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 12:53:17)

エロガキ♂19b ◆> お二人ともお疲れさまだぞ～   (2024/10/22 12:53:51)

エロガキ♂19b ◆> 勝負部屋もこの時間だとあまり動かないよねぇ   (2024/10/22 12:59:04)

エロガキ♂19b ◆> 遊びに行ってみるか   (2024/10/22 13:12:00)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 13:12:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 15:21:00)

エロガキ♂19b ◆> 静かな空間に1人参上！！(シュタッ！)   (2024/10/22 15:21:46)

エロガキ♂19b ◆> マジで～静か...うん、、まだ皆やることやっているんだろう   (2024/10/22 15:33:09)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/22 15:33:29)

エロガキ♂17L ◆> こんにちは〜寝落ちしてこの時間に起きた俺ですよっと   (2024/10/22 15:34:11)

エロガキ♂19b ◆> こんにちは～、、でもこの後最後の夜勤やろ～？   (2024/10/22 15:34:36)

エロガキ♂17L ◆> うん、そんなんよね   (2024/10/22 15:34:45)

エロガキ♂19b ◆> んま、俺もバイトがあるからね、、お互いのんびり頑張ろうな   (2024/10/22 15:35:11)

エロガキ♂17L ◆> せやね、幸い4時間以上寝たみたいだし、動けるのなら働けるしなんとかなるやろ位にしか思ってないからな……   (2024/10/22 15:36:41)

エロガキ♂19b ◆> 俺以上に寝ている...だと...？   (2024/10/22 15:37:10)

エロガキ♂17L ◆> 普段は6~7は寝るように心掛けてるけど……？   (2024/10/22 15:37:42)

エロガキ♂19b ◆> 健康的すぎる！？模範生か？   (2024/10/22 15:37:58)

エロガキ♂17L ◆> いや、俺の場合寝た時間=活動時間だから寝ないと動けないんよ   (2024/10/22 15:38:43)

エロガキ♂19b ◆> なるほど？つまりいまは4時間ほどしか動けない？   (2024/10/22 15:39:55)

エロガキ♂17L ◆> いや、それ以上動けるとは思う、100フルパワー出せるのは短時間かつエネルギー切れが早くなる程度には今は調整出来る……はず   (2024/10/22 15:41:35)

エロガキ♂19b ◆> なるほど、、ちゃんと動けるのは羨ましいな...   (2024/10/22 15:42:53)

エロガキ♂17L ◆> そう？シンプルに俺が可笑しいだけなのかもしれないけど   (2024/10/22 15:44:51)

エロガキ♂19b ◆> 俺はいくら寝ても動く時間は変わらんからねぇ...というか、寝れん！   (2024/10/22 15:45:42)

エロガキ♂17L ◆> 不眠症……？   (2024/10/22 15:45:53)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 15:46:51)

エロガキ♂19b ◆> わからん！！   (2024/10/22 15:46:58)

エロガキ♂19b ◆> エキドナちゃん、こんにちは～   (2024/10/22 15:47:15)

エキドナ ◆> こんにちは、お邪魔させてもらうよ   (2024/10/22 15:47:17)

エロガキ♂17L ◆> こんにちは   (2024/10/22 15:47:19)

エロガキ♂17L ◆> 19bのは1度医者に診てもらった方がいい気もするんだよな……   (2024/10/22 15:48:00)

エロガキ♂19b ◆> 残念だが医者に行く時間がないんだよねぇ～、、暇人に見えて課題に追われてますからね！！   (2024/10/22 15:48:52)

エキドナ ◆> 甘え、、だね。   (2024/10/22 15:49:20)

エロガキ♂19b ◆> まじ？、、ま、まぁ課題が落ち着いたらいくよ、きっと多分   (2024/10/22 15:50:08)

エキドナ ◆> あぁ、優先順位という物はしっかりしておくことを勧めるよ   (2024/10/22 15:50:50)

エキドナ ◆> 刹那主義はボクが言ってもだけれどね   (2024/10/22 15:51:27)

エロガキ♂17L ◆> そうだね、結局は体が壊れたらやれる課題もやれないしな   (2024/10/22 15:51:47)

エキドナ ◆> 課題。が目的ななっている時点で破綻しているとボクは思うけどね   (2024/10/22 15:52:14)

エロガキ♂19b ◆> まぁ、、いうてまだ軽傷よ...、、俺にしかできないこともあるから...   (2024/10/22 15:52:47)

エキドナ ◆> 誰かの誤字癖が伝染ったかな、、   (2024/10/22 15:52:58)

エキドナ ◆> キミたちに深入りするつもりは無いから自由にすれば良いと思うよ？ただボクとしては目的と手段が入れ替わって見えると言うだけさ   (2024/10/22 15:54:49)

エロガキ♂17L ◆> 19b、それは気づいてないだけで多分手遅れになる1歩手前位かアウトかのどっちかだから、俺としては医者に掛かることをおすすめしとくよ   (2024/10/22 15:55:23)

エキドナ ◆> 言って聞かない相手になら何度言っても無駄さ。ボクは1度言っているから後は当人次第だと思っているよ   (2024/10/22 15:56:27)

エロガキ♂17L ◆> まぁね、それはそう   (2024/10/22 15:56:50)

エロガキ♂19b ◆> そうしてくれると助かる～、んま！無理はしてないから大丈夫！！それに昔からあることだからねー！ほれ、こんな話してたら後から俺が堂主に呼びつけられてしまうから、ここでおしまい！！病院には今度いってみるよ！！精神科でいいんか？  
(2024/10/22 15:56:58)

エロガキ♂17L ◆> そうだね、あまりこんな話してたら胡桃が突撃してくるからやめとこうか……うん、精神科だね   (2024/10/22 15:57:53)

エキドナ ◆> そうだね、精神科や心療内科がお勧めだろうね。主の子にも言われているのだから時間が出来たら、では無く時間を作って、行くことを勧めておくよ。これ以上は言わないさ   (2024/10/22 15:59:08)

エロガキ♂19b ◆> そういうことだ！！だから、別の話をしよう...たとえば、、エキドナちゃんの足についてとか...エキドナちゃんが可愛すぎることについてとか、明るい話をしようね！！   (2024/10/22 15:59:23)

エキドナ ◆> ボクの容姿が整っているのは分かっているが、、そんな急に言われても戸惑いが勝ってしまうよ   (2024/10/22 16:00:25)

エロガキ♂17L ◆> あっ……(察し)(飛び火しないうちに背景と同化しとこう…うん、そうしよう)   (2024/10/22 16:00:29)

エロガキ♂19b ◆> 足フェチのお兄さんをなめない方がいいよ！例え隠していてもその白い足の魅力は誤魔化せないからね！！戸惑うのも、まぁ、わかるけど...自分の欲求は隠せないのだ...(←なにいってんだこいつ)   (2024/10/22 16:02:21)

エキドナ ◆> 17のキミ。隠れていないで何とかしてくれないか？   (2024/10/22 16:03:01)

エロガキ♂17L ◆> バレてら……とりあえず19bは落ち着いて、エキドナが困ってるから……ね？   (2024/10/22 16:04:04)

エロガキ♂19b ◆> 仕方ない...また今度にするか...   (2024/10/22 16:04:27)

エキドナ ◆> 足なら、、主の子でも褒めておくといいよ(←)   (2024/10/22 16:05:01)

エロガキ♂19b ◆> もう褒めたよ...   (2024/10/22 16:05:15)

エロガキ♂17L ◆> 別の方向に飛び火したなぁ……   (2024/10/22 16:05:22)

エキドナ ◆> 足りてないだろう？キミの熱意はその程度かい？   (2024/10/22 16:05:36)

エキドナ ◆> (魔女だからね、仕方ないね？←)   (2024/10/22 16:06:05)

エロガキ♂19b ◆> ほほう、、なら...褒めたいところだけど、本人がいないところでやると後で怒られちゃうからね！見かけたら突撃しにいこう   (2024/10/22 16:06:51)

エキドナ ◆> 是非そうすると良いよ、(後は主の子に任せようか、←)   (2024/10/22 16:07:22)

エロガキ♂17L ◆> ふう……ひとまず一件落着かな？   (2024/10/22 16:08:06)

エロガキ♂19b ◆> 火種いる？   (2024/10/22 16:08:17)

エロガキ♂17L ◆> 要らん要らん   (2024/10/22 16:08:29)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/10/22 16:08:43)

エキドナ ◆> ボクはもうすぐ出るが、、キミたちは仲が良いね、、   (2024/10/22 16:08:50)

エロガキ♂19b ◆> 俺もそろそろバイトの準備～   (2024/10/22 16:09:04)

エキドナ ◆> 要らない心配だったね   (2024/10/22 16:09:10)

エロガキ♂17L ◆> 俺もそろそろ出るかな、ま、仲良いだけマシじゃないかな？ギスギスするよりかはマシだし   (2024/10/22 16:09:43)

エキドナ ◆> ギスギスは主の子があの棒？振り回して降りて来てしまうんじゃないかな？   (2024/10/22 16:10:18)

エキドナ ◆> 名前は忘れたよ   (2024/10/22 16:10:33)

エロガキ♂19b ◆> そうなったら護摩の杖は没収だな   (2024/10/22 16:10:47)

エロガキ♂17L ◆> それはそうだな……護摩の杖は本人の持ち武器だし多分何時でも呼び出せるから意味ないと思うけどな   (2024/10/22 16:11:13)

エキドナ ◆> それだったね。あまり関心が無いとあまり覚えようと思えないのも難しい問題だね、、   (2024/10/22 16:11:35)

エロガキ♂19b ◆> ちくしょう！！   (2024/10/22 16:11:37)

エキドナ ◆> さて、、ボクはもう出るよ。後は仲良しのキミたちに任せるとするよ   (2024/10/22 16:13:11)

エロガキ♂19b ◆> さて、、今日の夜にどうやって登場するかを考えないとな..   (2024/10/22 16:13:15)

エキドナ ◆> ではまたどこかで、、   (2024/10/22 16:13:19)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 16:13:21)

エロガキ♂17L ◆> お疲れ様、エキドナ   (2024/10/22 16:13:23)

エロガキ♂19b ◆> エキドナちゃんお疲れさま～   (2024/10/22 16:13:31)

エロガキ♂19b ◆> そんじゃ俺も行くか、、バイトでこってり絞られてくるよ...   (2024/10/22 16:13:56)

エロガキ♂17L ◆> いってらっしゃい、頑張ってな   (2024/10/22 16:14:11)

エロガキ♂19b ◆> では！！さらば！！(扉を蹴破って走り去っていき)   (2024/10/22 16:14:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 16:14:43)

エロガキ♂17L ◆> 扉ァ！(扉……どうしようの目)   (2024/10/22 16:15:34)

エロガキ♂17L ◆> ……はぁ、やれる範囲のことはしておこうかな……(工具持ってきて扉完璧では無いが修理しておこう、うん)   (2024/10/22 16:17:45)

エロガキ♂17L ◆> そんじゃ、サラダバー   (2024/10/22 16:18:22)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/22 16:18:24)

おしらせ> エロガキ♂17M ◆za77rifW.Yさんが入室しました♪  (2024/10/22 17:17:04)

エロガキ♂17M ◆> こんばんは〜♪   (2024/10/22 17:17:54)

エロガキ♂17M ◆> この時間に訪れるのは久々だけど、誰か来てくれるかなぁ…   (2024/10/22 17:20:02)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/22 17:24:59)

エロガキ♂17L ◆> (人のいる気配して何となく戻ってきた人)こんばんは〜   (2024/10/22 17:26:00)

エロガキ♂17M ◆> あっ！来てくれた！こんばんはっ☆   (2024/10/22 17:26:10)

エロガキ♂17L ◆> お話し相手待ってた感じかな？俺でよければ少し相手になるよ   (2024/10/22 17:27:01)

エロガキ♂17M ◆> やった♪ありがと   (2024/10/22 17:27:36)

エロガキ♂17M ◆> いや〜、今日は体調崩してベッドの上でダウンしてたから暇だったんだよねぇ…   (2024/10/22 17:28:36)

エロガキ♂17L ◆> あ〜、気温の変化激しいからね〜   (2024/10/22 17:29:19)

エロガキ♂17M ◆> そうかな？そうかも。ぐっすり寝たらマシになってきたから、ただ単に疲れてたのかも？でも気温の変化には気をつけなきゃねぇ   (2024/10/22 17:30:55)

エロガキ♂17L ◆> あ〜、寝てマシになったなら良かった、疲れから来る場合なら大体直ぐに治るから良いんだけどね、気温の変化はマジで侮れないからな……   (2024/10/22 17:32:31)

エロガキ♂17M ◆> にゃあ…早朝と夜の気温がバク下げになるのやめてほしい…つい最近まで暑かったイメージなのに   (2024/10/22 17:34:52)

エロガキ♂17L ◆> まぁ、そうだね夜中とか寒過ぎてコート着てないと外歩けないし……普通に夜中でも25℃とかあったのにね   (2024/10/22 17:36:42)

エロガキ♂17M ◆> そうなんだよ、上着が必要になってくる。秋の新作を買い忘れててちょっと鬱……   (2024/10/22 17:38:06)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 17:38:59)

エロガキ♂17M ◆> 秋の味覚も早く食べないと、あっという間に冬になっちゃう…   (2024/10/22 17:39:06)

エロガキ♂17L ◆> 俺もそろそろ冬服なんか買ってこないとな〜……ズボンとか基本ジーパンだから関係無いけど   (2024/10/22 17:39:31)

エロガキ♂17M ◆> こんばんは〜♫   (2024/10/22 17:39:52)

エロガキ♂17L ◆> っとこんばんは   (2024/10/22 17:39:56)

パンドラ ◆> こんばんは、、少しだけだと思いますけれどお邪魔しますね？(扉壊れてます、、？)   (2024/10/22 17:39:59)

エロガキ♂17M ◆> え、パンドラちゃん壊したの？扉   (2024/10/22 17:40:37)

パンドラ ◆> 壊したのは私ではありませんよ？   (2024/10/22 17:40:55)

エロガキ♂17L ◆> (一応応急処置程度で治したけど……やっぱり胡桃か誰かに任せた方がいいかな……って表情)   (2024/10/22 17:41:17)

エロガキ♂17M ◆> うん、知ってるw なんかボクが来たときは壊れてたよ？   (2024/10/22 17:41:24)

エロガキ♂17M ◆> ……犯人は17Lくん？   (2024/10/22 17:41:48)

パンドラ ◆> 気のせいでしょう。扉はいつも通り何事もありません。(見間違いでしょう。扉は元通りなのですから、、)   (2024/10/22 17:42:17)

エロガキ♂17L ◆> あら、治ってる？   (2024/10/22 17:42:42)

エロガキ♂17L ◆> ちなみに俺でもないからな〜   (2024/10/22 17:42:52)

エロガキ♂17M ◆> でも…こう…開け閉めしてるときに変な音が……(ぎぃ…ぎぃ………ばきっ！) あ、……   (2024/10/22 17:43:16)

パンドラ ◆> あら、、私はもう知りませんよ、、？   (2024/10/22 17:43:46)

エロガキ♂17L ◆> 何やってんだか……   (2024/10/22 17:44:47)

エロガキ♂17M ◆> ちょっ…！見捨てるの？！こ、これは不可抗力でしょ！ね？ね？(冷や汗だらだら…今部屋主さんが来たら怒られるのボク…？！)   (2024/10/22 17:44:54)

エロガキ♂17M ◆> パンドラちゃん！こう、なんか、魔法でどうにかならニャイ？   (2024/10/22 17:45:39)

エロガキ♂17L ◆> 権能で治せるかもしれないけど……本人はその気多分無いぞ？   (2024/10/22 17:46:29)

パンドラ ◆> 私の目の前で壊されてしまったので見間違いではありませんね、、(ドアノブも根元もばきっ、て、、)   (2024/10/22 17:46:29)

エロガキ♂17M ◆> NO〜〜！(頭抱え…)   (2024/10/22 17:47:06)

エロガキ♂17M ◆> ボク、そんなゴリラみたいな力ないからね？か弱いくて可愛い男の娘だからね？こんなの普通ムリなんだよ〜！(ｱﾜｱﾜ…ｱﾜｱﾜ…)   (2024/10/22 17:48:08)

パンドラ ◆> と、言っていますが、、実際はどうなのでしょうね？(17L様ちら、)   (2024/10/22 17:48:50)

エロガキ♂17M ◆> と、とりあえず…応急処置…(工具なんてないし、一旦形だけでも直して…) こう…押し込めば……んぎぎ…っ！もとに…もどれぇ…(ドアノブを強めに押し込んで)   (2024/10/22 17:50:36)

エロガキ♂17L ◆> さ、さぁ？実際はパワー系って線も有るからわからんな(肩竦めながら工具取り出し)   (2024/10/22 17:51:09)

エロガキ♂17M ◆> (ポロッ…) ………ドアノブ外れちゃった…(手に収まってしまったドアノブ見て顔面蒼白)   (2024/10/22 17:52:24)

エロガキ♂17L ◆> (17Mの手に収まってるドアノブだけを取って電動ドリルやら色々使ってドアノブ修復)   (2024/10/22 17:54:26)

パンドラ ◆> (2人の近くで屈んで修理眺めてましょうか、、)   (2024/10/22 17:55:20)

エロガキ♂17M ◆> あ…神ぃ……(涙目で合掌) ……この扉、今日だけ全開にしておかない？絶対また壊す子が現れるって   (2024/10/22 17:56:33)

パンドラ ◆> 何を仰られているのでしょう、、？この扉は壊れてなどいませんよ？(壊れてなどいませんから、いつも通りの扉です、、)   (2024/10/22 17:57:57)

エロガキ♂17L ◆> いや、治しておかないと後々胡桃が苦労することになるから治しとく……(元の扉の通り治そうとしたら治ってて)oh......   (2024/10/22 17:58:27)

エロガキ♂17M ◆> ア、ハイ、オッシャルトオリデス   (2024/10/22 17:58:43)

パンドラ ◆> 助け合いの心は素晴らしいですね、、友情では無くもはや友愛と言えるでしょう。愛、とても良いものですね、、   (2024/10/22 17:59:42)

エロガキ♂17M ◆> そうだね。うん、持つべきは友、同志(うんうん、手を組んで頷きながら)   (2024/10/22 18:02:35)

エロガキ♂17L ◆> 助け合うのは人としておかしくない行動だからな……(工具を部屋の隅に片付けながら)   (2024/10/22 18:03:17)

エロガキ♂17M ◆> そうそう、それじゃあ同志の17Lくんよ。これから一勝負仕掛けに行かないかい？２人もガキがいれば、早々負けることなんかないでしょ〜   (2024/10/22 18:05:56)

エロガキ♂17L ◆> ん？勝負しにいくの？いいよ、相手が来るかは別問題だけど   (2024/10/22 18:06:51)

エロガキ♂17M ◆> やった♪確かにまだ時間的には早いかもだけど、ワンチャンあるかもだし？(今日何もすることがなかったからウズウズしてる)   (2024/10/22 18:08:01)

エロガキ♂17L ◆> なるほどね、じゃ行くか   (2024/10/22 18:08:33)

エロガキ♂17M ◆> は〜い♪仮部屋の方に行くねっ☆   (2024/10/22 18:08:56)

エロガキ♂17L ◆> 了解っと   (2024/10/22 18:09:02)

エロガキ♂17M ◆> そういうことで、パンドラちゃんバイバ〜イ(手ﾌﾘﾌﾘ♫)   (2024/10/22 18:09:24)

おしらせ> エロガキ♂17M ◆za77rifW.Yさんが退室しました。  (2024/10/22 18:09:36)

エロガキ♂17L ◆> じゃ、また会えたら   (2024/10/22 18:09:44)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/22 18:09:46)

パンドラ ◆> 行ってらっしゃい、、   (2024/10/22 18:10:06)

パンドラ ◆> 私も外しましょうか、、(欠伸が出てきてしまいますね、)   (2024/10/22 18:16:02)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 18:16:07)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 19:15:20)

エキドナ ◆> 賑わって来ているね、、ボクももう少し落ち着いたら遊びに行こうかな？   (2024/10/22 19:16:39)

エキドナ ◆> 自尊心と比例しているのかな、、？少し男性時に聞くのも躊躇われるけど、そこの関係性は気になるね、、   (2024/10/22 19:19:01)

エキドナ ◆> 聞いて大丈夫そうな人に聞いてみようかな、、   (2024/10/22 19:21:12)

エキドナ ◆> 、、恐らくだが支援は無粋なのだろうね   (2024/10/22 19:23:52)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/22 19:29:30)

エキドナ ◆> おや、、こんばんは   (2024/10/22 19:29:38)

エロガキ♂14C ◆> 長かったぁ……こんばんはー。   (2024/10/22 19:29:50)

エキドナ ◆> 何かしていたのかな、、？   (2024/10/22 19:30:02)

エロガキ♂14C ◆> うん、長距離移動をねー……身体がバッキバキだよー（のびー）   (2024/10/22 19:30:50)

エキドナ ◆> 同じ姿勢で長時間と言うのはリンパや関節にも悪い上に座っているのなら腰への負荷もあるだろうから1時間に1度は休憩した方が良いだろうね、、   (2024/10/22 19:33:08)

エロガキ♂14C ◆> ところで、何かを男性陣に聞きたがってるよーにも見えたんだけどどーかしたの？   (2024/10/22 19:33:17)

エロガキ♂14C ◆> 暫く柔軟して身体解さないとだねー。（ぐねぐね）   (2024/10/22 19:34:37)

エキドナ ◆> 聞いて良いものなのだろうかと今も悩んでいるよ、、ここで聞いてしまえば偏見や反感を買いそうとも思っているからどうしたものかなと、、   (2024/10/22 19:35:16)

エロガキ♂14C ◆> ……？よく分かんないけど、表で聞きづらいんなら別に個室とかで聞こーか？   (2024/10/22 19:36:05)

エキドナ ◆> それも大事だろうね。ただ目の疲れにも気を付けるべきかも知れないね？   (2024/10/22 19:36:24)

エロガキ♂14C ◆> 寝てたから目もかなり休んだしだいじょーぶっ。お気遣いありがとねっ。   (2024/10/22 19:37:02)

エキドナ
◆> そこまで大袈裟な話でも無いと思っているから悩んでいるんだ、、うん、聞いてしまおうか。キミは掲げていないし大丈夫だろうと思って聞くけれど、どうして逸物の大きさをアピールしているのだろうか、、とね？なんと言うか、、別のアピールをしてくれている方がボクとしては助かるから疑問に思っているだけさ
  (2024/10/22 19:38:54)

エキドナ ◆> 感謝には及ばないよ。社交辞令なのだからね？(くす、)   (2024/10/22 19:40:00)

エロガキ♂14C ◆> 今は書いてないだけだけどね！<大きさ 僕の場合、イメージしやすい方がいいかな？って思って書いたりもするけど……やっぱり人にも寄るんじゃないかなー？   (2024/10/22 19:40:48)

エロガキ♂14C ◆> けど、確かに髪型とかその辺り書いてくれる方が有意義ではって言われると確かにそれもそのとーりだと思う。結局は自分がどういう存在なのかを伝える要素として、ここだけは譲れないってものなのかもしれないね？   (2024/10/22
19:42:41)

エキドナ ◆> イメージなら身長や体格の方がボクとしては嬉しいけれど、、、そういうものなのだろうね、、   (2024/10/22 19:42:50)

エロガキ♂14C ◆> ほら、僕たちっていわばモブみたいなもんだから大雑把な外見はお相手の想像に任せちゃう、みたいな。なんてたってただのガキじゃなくてエロガキ、だからねっ（くすくす）   (2024/10/22 19:44:04)

エキドナ ◆> 明らかに内臓を突き破りそうなものを幾つか見ていてね、、どうしても違和感と言うか、むしろ想像が追い付かない物の方が多いけれどね、、凶器なんだ。一重に言ってしまえばね   (2024/10/22 19:45:04)

エロガキ♂14C ◆> あー、なるほど？大きさについては確かに他にも言及してた人はいたかも。そーなってくると、そーいうお兄さんたち相手には入れるのはNGって言ってあげないとかもね？一応仮部屋準拠なら「可能な限り対応」だからさ。   (2024/10/22
19:47:38)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/22 19:49:31)

エキドナ ◆> 一応ボクから、そう、ならないようにはしているのだけど見る度に疑問だっただけだから気にしないでくれるとたすかるよ。もしそうなってもボクは可能な限りの対応しか出来ないからね、、   (2024/10/22 19:49:46)

エロガキ♂18D ◆> お邪魔いたします～、大将、やってます……？って大将居ないんでしたね……   (2024/10/22 19:50:00)

エロガキ♂14C ◆> ん、りょーかいっ。ならこれ以上深堀はしないよーにしとくねっ。（ぽふぽふ）   (2024/10/22 19:50:22)

エキドナ ◆> お疲れ様だね、仕事終わりにお酒。ならここでは無いよ   (2024/10/22 19:50:47)

エロガキ♂14C ◆> ……幻覚見てない？というか18Dおにーさんも（年齢設定的には）飲んじゃいけない歳だよね？こんばんは。   (2024/10/22 19:51:12)

エロガキ♂18D ◆> 残念ながら酒は飲めないので……それに、遅くなったのは普通に外食してきたからですから…   (2024/10/22 19:51:32)

