/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月25日 01時03分 ～ 2024年10月25日 12時24分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> こんばんは～   (2024/10/25 01:03:54)

エロガキ♂19b ◆> 部屋が消えるから何されたかわからない、、だからこそどんなことでもできるんやねぇ～   (2024/10/25 01:23:14)

エロガキ♂14C ◆> じゃあ今度シャーロットおねーさんと個室に行くような事があれば楽しみだねっ（にぃー）   (2024/10/25 01:23:39)

十六夜咲夜 ◆> なにそれ怖いってやつかしら   (2024/10/25 01:23:42)

エロガキ♂13J> それは楽しみだな〜…寝落ちした相手を好きにか…いいことを聞いた   (2024/10/25 01:24:32)

エロガキ♂14C ◆> それはそれはもしかするとすごいことされてるかも知れないけど、残らない以上は後の祭り、って事だね。……残す方法はあるけど（ぼそっ）   (2024/10/25 01:24:47)

十六夜咲夜 ◆> 後で何したのかは小一時間ほどお話をですね…あら、どんな方法なのかしら？   (2024/10/25 01:25:06)

シャーロット・レイス ◆> 色々とやらかしてるからね。私は   (2024/10/25 01:25:53)

エロガキ♂14C ◆> 咲夜おねーさんに事情聴取（意味深）されちゃう……！それはねー、ないしょっ♪でも、そんな大した方法でもないんだよね。   (2024/10/25 01:26:04)

エロガキ♂13J> ……14お兄さん、もしかしてSSかな？   (2024/10/25 01:26:32)

エロガキ♂14C ◆> やらかし……まあ、僕もここではないけど、なくはないから人のことは責められないんだよねー。   (2024/10/25 01:27:02)

エロガキ♂14C ◆> はずれー。>13Jくん   (2024/10/25 01:27:13)

エロガキ♂19b ◆> やらかしで俺に勝るものはいないと勝手に思ってる～(不名誉)   (2024/10/25 01:27:37)

エロガキ♂13J> えーー！てっきりそれだと思ったのになぁ〜…ちぇー   (2024/10/25 01:27:39)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/25 01:27:56)

十六夜咲夜 ◆> やらかしはまあ…   (2024/10/25 01:27:59)

栞葉るり> 正解は全ログ表示画面を別タブで開いておく、ですね(インターネットに強い犬)   (2024/10/25 01:28:17)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/25 01:28:18)

エロガキ♂14C ◆> 案の定ネタバラシしにきたー！！！！！   (2024/10/25 01:28:33)

エロガキ♂13J> やらかしか…まだそんなに無いかな。   (2024/10/25 01:28:41)

十六夜咲夜 ◆> なるほどその手が…   (2024/10/25 01:28:51)

エロガキ♂13J> ありがと〜！今度、美味しいローストビーフ置いとくねー！   (2024/10/25 01:28:58)

エロガキ♂19b ◆> ネタバラシだけしてどっかにいった！？   (2024/10/25 01:29:02)

エロガキ♂14C ◆> （扉の外に向けて骨投げつけ）   (2024/10/25 01:29:02)

エロガキ♂14C ◆> ……ま、知っちゃったならそれはそれで楽しみの一つにはなるね？（ポジティブシンキング）   (2024/10/25 01:30:11)

エロガキ♂13J> それにしても、よく思いついたね〜   (2024/10/25 01:30:58)

十六夜咲夜 ◆> どれだけ好き勝手に使われたのかは確かに気になるところね…(ここのところ負け続きなもので聞いてるだけでお腹の奥がぞくっとしてきた)   (2024/10/25 01:30:58)

シャーロット・レイス ◆> それは、極大魔法で消さないといけなくなるわね。   (2024/10/25 01:31:14)

エロガキ♂13J> ガチマゾだ……（チラッ）   (2024/10/25 01:32:14)

エロガキ♂14C ◆> 思いつく、というよりは経験則的な部分が大きいかなー？ここだとそこまでだけど、僕ちゃんとした時はかなりの文量でやってるからさー。   (2024/10/25 01:32:30)

エロガキ♂14C ◆> ぼーりょくはんたいっ……魔法は暴力なのかな……？   (2024/10/25 01:32:58)

十六夜咲夜 ◆> マゾではなくて…寒気というかなんというか…   (2024/10/25 01:33:17)

エロガキ♂13J> なるほどなるほど。そんなに書くんだねぇ…   (2024/10/25 01:33:21)

エロガキ♂13J> 寒気って背中だよ（にこっ）   (2024/10/25 01:33:35)

エロガキ♂19b ◆> 俺はあんま文章かけないからなぁ、羨ましいぜ   (2024/10/25 01:33:55)

シャーロット・レイス ◆> 大丈夫…物質が消えるだけだから。   (2024/10/25 01:33:59)

十六夜咲夜 ◆> とりあえずJくんは背筋に寒気走った方がいいかしら？(にこー)(後ろからナイフ用意して)   (2024/10/25 01:34:11)

エロガキ♂14C ◆> ここだと別にいいんじゃない？寧ろ徒に長くしちゃうと罰ゲームが時間内に完走出来ないでしょ。   (2024/10/25 01:34:48)

エロガキ♂13J> 僕はいつも股間に熱気を溜めてるんだけどな…（メモ帳をそそくさと手渡し）   (2024/10/25 01:35:15)

エロガキ♂14C ◆> 暴力以前の問題だった！！！！（魔法禁止の貼り紙ぺたぺた）   (2024/10/25 01:35:15)

十六夜咲夜 ◆> 時間限られてるなら確かにサクサクの方がいいかもですわねえ。私も描写は飛ばしてるわね   (2024/10/25 01:35:27)

エロガキ♂19b ◆> 俺が長文書くときはだいたいキャラの魅力を語るときだけよ～   (2024/10/25 01:35:31)

シャーロット・レイス ◆> まあ、罰ゲーム中に完走しないのはよくあることですよ。(消し炭にもならないわよ。当たると)   (2024/10/25 01:35:54)

エロガキ♂13J> なるほど、時間さえあればねっとりすると   (2024/10/25 01:35:54)

エロガキ♂14C ◆> だから、ここでいるとかはなるべく削るようにはしてるよ。……個室だとそれは、まあ。うん。   (2024/10/25 01:36:12)

十六夜咲夜 ◆> 無制限だとやっぱり長くなるわね…飛ばしてるせいで声だけとか言われそうですが…   (2024/10/25 01:36:23)

エロガキ♂13J> ……でも、シャーロットお姉さんって魔力水無い無理なんじゃ   (2024/10/25 01:36:24)

エロガキ♂13J> そんな咲夜お姉さんの本気が見てみたいと思っちゃった！   (2024/10/25 01:36:58)

十六夜咲夜 ◆> さて、何を書いたのかしらねぇ。(時間止めてメモ帳を手に)ふむふむ…   (2024/10/25 01:37:11)

エロガキ♂14C ◆> どういう行為を好むか、とかにもやるかもだけどやっぱり挿れちゃうとどうしても時間かかっちゃうよねー。   (2024/10/25 01:37:55)

シャーロット・レイス ◆> まあ、ある程度無いと撃てないわね。(大魔王バーンみたいなことはできません。)   (2024/10/25 01:38:22)

エロガキ♂13J> 僕の犯したお姉さんの名前と数は見ないで〜！（顔を真っ赤にし）   (2024/10/25 01:38:26)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/25 01:38:27)

エロガキ♂13UC> o,   (2024/10/25 01:38:30)

エロガキ♂19b ◆> 13J君..いいことを教えてあげようー！ここはいろんな作品がクロスオーバーしている謎空間だからね、普段できないこともなんでもできるんだよ！！こんな風にね！！(ゴミ箱の中に飛び込んだと思ったら押し入れを開けて飛び出してきて)  
(2024/10/25 01:38:31)

エロガキ♂14C ◆> （僕があまり挿れないのは単に嗜好を拗らせてるだけです）   (2024/10/25 01:38:45)

エロガキ♂13UC> お、シャーロットお姉ちゃんと……メイドのお姉ちゃんだぁ（よし、このタイミングなら、って咲夜さんの胸にダイビング狙ってとぉ！）   (2024/10/25 01:38:59)

十六夜咲夜 ◆> あら、こんばん…わぁっっ？？(いきなり飛びかかられて反応遅れる)   (2024/10/25 01:39:26)

エロガキ♂13J> わーー！！19お兄さんはもはやこの部屋の住人レベルだね……（ぱちぱち）   (2024/10/25 01:39:33)

エロガキ♂14C ◆> o 13UCくんこんばんは……って、ここでそれするのか……！   (2024/10/25 01:39:41)

エロガキ♂13UC> んふぅ～（よっしゃ～咲夜お姉ちゃんのおっぱいは頂いた！）   (2024/10/25 01:39:54)

エロガキ♂19b ◆> っと、こんばんは～UNICORN君   (2024/10/25 01:40:00)

エロガキ♂13J> UCくん、こんばんは〜   (2024/10/25 01:40:34)

エロガキ♂13UC> やっほぉ～みんな、ここでも服の上から触るスキンシップはOKって聞いたし？　メイドのお姉ちゃんもシャーロットお姉ちゃんもおっぱい大きいし、触っとくとなんか得した気分になるじゃん？   (2024/10/25 01:40:43)

十六夜咲夜 ◆> UCさん、いきなり…ここでそう来るとは…   (2024/10/25 01:41:30)

エロガキ♂14C ◆> （まあOKはOKだろうけどしばかれないとは言ってないというやつだね（お茶ずずず））   (2024/10/25 01:41:56)

エロガキ♂13UC> 勝負は最近負けが多かったからね～、こうやってご利益をえようかな～なんて？   (2024/10/25 01:42:15)

エロガキ♂19b ◆> そんじゃ、こういうこともできるってことかな？行ってこい！(レイスの胸元に向かって13Jを軽く蹴飛ばしてみて)   (2024/10/25 01:42:19)

シャーロット・レイス ◆> こんばんは、ユニコーン君(流石に目を逸らし)   (2024/10/25 01:42:47)

エロガキ♂13J> すごいなぁ……その行動……うえええぇぇぇ！！！（蹴飛ばされるとボロ雑巾のように吹き飛び）   (2024/10/25 01:42:56)

十六夜咲夜 ◆> ご利益って、最近負け多いわよ私も…   (2024/10/25 01:43:06)

エロガキ♂13UC> やっほぉ～ん？……シャーロットお姉ちゃんの胸に飛び込んでほしかった？（）   (2024/10/25 01:43:15)

シャーロット・レイス ◆> (いきなり胸に飛び込んでくるのに反応ができずに谷間に13Jの顔が)   (2024/10/25 01:44:35)

エロガキ♂14C ◆> うーん、これはラッキースケベ。   (2024/10/25 01:44:46)

十六夜咲夜 ◆> (おっぱい好きのCくんの目線が…)   (2024/10/25 01:44:52)

エロガキ♂13UC> ファッキュースケベ？   (2024/10/25 01:45:01)

エロガキ♂19b ◆> あっはは！！最高ー！！よく飛ぶねぇ...   (2024/10/25 01:45:18)

エロガキ♂14C ◆> （据わった目で咲夜おねーさんちらり）   (2024/10/25 01:45:23)

十六夜咲夜 ◆> 19さんはほんとに色々考えるわねぇ…ポンコツらしいですが…(その所以は知らない)   (2024/10/25 01:45:26)

エロガキ♂13J> あ、あありがとう……お姉さん……（シャーロットお姉さんに感謝しつつ、頬を擦り寄らせ）   (2024/10/25 01:45:29)

シャーロット・レイス ◆> 消し炭にするわよあなた達(19bを睨み付けて)   (2024/10/25 01:46:03)

十六夜咲夜 ◆> …あの、目が怖いんですけど？？というかUCくんはそろそろ離れません…？   (2024/10/25 01:46:06)

エロガキ♂13UC> え？このままおっぱい枕してたらだめ？   (2024/10/25 01:46:28)

エロガキ♂19b ◆> あっはは！やるなら相手になるよ～⭐手加減してね！   (2024/10/25 01:46:40)

エロガキ♂13J> 19お兄さん、飛ばされるのは流石にびっくりだよ（しがみつき）   (2024/10/25 01:46:47)

エロガキ♂14C ◆> 僕はこの部屋では基本触らないようにしてるんだけどね。（視線？それくらいは向けるよ。）   (2024/10/25 01:47:24)

エロガキ♂19b ◆> ごめんな～、ほんとは14Cを投げようと思ったんだけど..前やったからさ、、必然的に君が標的と言うわけだ！   (2024/10/25 01:47:29)

エロガキ♂14C ◆> 人の気も知らずに突然おねーさんの方に投げた時からぽんこつにーさんと呼ぶ事にしました（真顔）   (2024/10/25 01:48:06)

エロガキ♂13J> ……転んだフリをして向かう手もあったような……（真顔）   (2024/10/25 01:48:13)

エロガキ♂13UC> 19お兄ちゃんくらいデカいとさすがにアレだけど、俺くらいだとまだやっても怒られねぇじゃん？（140cm弱、成長期前）   (2024/10/25 01:48:33)

十六夜咲夜 ◆> あら、ここではそうなのね   (2024/10/25 01:48:40)

シャーロット・レイス ◆> 負けたら、今度はエロガキ同士で実演してもらうわよ。   (2024/10/25 01:48:57)

エロガキ♂13J> え！？何を実演されるの？今の流れ？   (2024/10/25 01:49:22)

エロガキ♂13UC> 実演？……って、え？なに？どゆこと？   (2024/10/25 01:49:24)

エロガキ♂19b ◆> いや、多分俺がUNICORNみたいなこと仕様としたら咲夜ちゃんに串刺しにされる未来しか見えないからねぇ～、それはそれでいいけど   (2024/10/25 01:49:26)

エロガキ♂14C ◆> 抱き締められて当たるとかはノーカンだけどねー。……してくれてもいいんだよ、咲夜おねーさんっ？（ちらり、にこー）   (2024/10/25 01:49:29)

エロガキ♂14C ◆> 体位のお勉強じゃない？さっき駅弁云々言ってたし。<実演   (2024/10/25 01:50:32)

十六夜咲夜 ◆> 19bさんには散々いろいろね…確かに勝負の場以外ならナイフの雨もありかもしれませんわねぇ…(もっとも人間相手には普段はしないわよ)   (2024/10/25 01:50:46)

エロガキ♂19b ◆> 俺は女の子からの攻撃は全て受け止めると決めている！！(胸ドン！)ゴホッ！ゴホッ！   (2024/10/25 01:51:23)

シャーロット・レイス ◆> 軽い火傷くらいな魔法を撃つのは大丈夫ですよね。   (2024/10/25 01:51:32)

十六夜咲夜 ◆> も、もう何を…っ(UCくんが引っ付いたままなので…Cくんがダイブしてくることになるけどそれ)   (2024/10/25 01:51:59)

エロガキ♂13UC> 14C……エロはできないでも甘えるってのはいいもんだぞ～♪（咲夜お姉ちゃん優しくて、柔くていい匂いするぞ～ってエロガキのささやき）   (2024/10/25 01:52:49)

十六夜咲夜 ◆> なるほど、どこかのシティーハンターみたいですわねぇ…(言うとまさしくそれな100tハンマーをどこからともなく)   (2024/10/25 01:52:57)

エロガキ♂14C ◆> 僕は自分からダイブはしないんだってばー。それに今したら13UCくん、窒息するでしょ？   (2024/10/25 01:53:08)

エロガキ♂13J> シャーロットお姉さん、お願いします！どうか……足の小指とかを狙って！（手を合わせて懇願し）   (2024/10/25 01:53:20)

エロガキ♂13UC> ……（アスファルトタイヤを切りつけながら？）   (2024/10/25 01:53:20)

十六夜咲夜 ◆> いい子だからそろそろ離れなさいねー…   (2024/10/25 01:53:33)

エロガキ♂19b ◆> ...んま咲夜ちゃんならうまくやるだろ？投げ飛ばそうか？14C？   (2024/10/25 01:53:49)

エロガキ♂13UC> ちぇ～、しゃーないな～♪（と、本気で怒られる前には体離すけど）   (2024/10/25 01:53:57)

エロガキ♂13J> …（暗闇走り抜ける？)   (2024/10/25 01:54:02)

エロガキ♂14C ◆> （溜息）……そんなもん知ってるよ。ある程度場の空気を乱さないように心掛けて、あえてそーしないようにしてるだけだよ。   (2024/10/25 01:54:05)

エロガキ♂13UC> そういえばさ、シャーロットお姉ちゃん。　魔法使いって聞いてるけど……   (2024/10/25 01:54:15)

エロガキ♂14C ◆> ぽんこつにーさんからガラクタにーさんに扱い変えていいなら好きにしていいよ？   (2024/10/25 01:54:27)

エロガキ♂13UC> 炎とかは出せそうだけどさ、呪いとかって使えないの？   (2024/10/25 01:54:33)

エロガキ♂19b ◆> そういえば、咲夜ちゃんはそのハンマーはどうするつもりなんだい？   (2024/10/25 01:54:52)

エロガキ♂13J> 呪い……呪詛的な？魔法使いだけど、魔女では無いからどうなんだろう……   (2024/10/25 01:55:07)

エロガキ♂19b ◆> ガラクタ！？失礼な！！(プンプン)   (2024/10/25 01:55:09)

十六夜咲夜 ◆> えーと…天誅ーっっ！！(本家さながら、19bさんに振り下ろす)   (2024/10/25 01:55:46)

エロガキ♂13UC> なんかこぉ、さ？　次に勝てるまで、負けたら一週間に1回、寝起きに箪笥の角に小指をぶつける呪い、とか？（すげぇ嫌なじゃね？   (2024/10/25 01:55:52)

エロガキ♂14C ◆> （いよいよ本気でガラクタ（物理）にされてしまうのか……南無。）   (2024/10/25 01:56:21)

エロガキ♂19b ◆> まじかよ！？うわぁぁ！！(床に叩きつけられた19bであった...)   (2024/10/25 01:56:38)

エロガキ♂13J> うわ……そうやって自分に大して負荷をかけていくとかストイックだね……   (2024/10/25 01:57:07)

シャーロット・レイス ◆> 私のは攻撃だけで破壊するしか無いからな。   (2024/10/25 01:57:27)

エロガキ♂13J> 戒名誰かつけたことある人いますか〜？   (2024/10/25 01:57:47)

エロガキ♂13UC> そっか～、魔法ってもいろいろやっぱ得意不得意ってのとかもあるんだなぁ   (2024/10/25 01:57:52)

エロガキ♂14C ◆> 坊さんはいないと思うよ……ここの地主なら葬儀屋みたいなもんだけど。   (2024/10/25 01:58:34)

エロガキ♂19b ◆> 勧誘が止まらないよね～(何事もなかったかのように起き上がり)   (2024/10/25 01:59:10)

エロガキ♂19b ◆> 営業か..   (2024/10/25 01:59:31)

十六夜咲夜 ◆> あ、やっぱりこのハンマーは安全なものみたいですわね。   (2024/10/25 01:59:48)

エロガキ♂13J> そっか、適当に着けておこう（ポンコツお兄さんと札に書いて頭にぺたり）   (2024/10/25 02:00:06)

エロガキ♂14C ◆> ギャグ補正100%効いたハンマーじゃそうなるんじゃないかなぁ、   (2024/10/25 02:00:24)

エロガキ♂13UC> すっげーくだらないことを思うんだけどさ？   (2024/10/25 02:00:32)

エロガキ♂19b ◆> 大丈夫大丈夫、、腹パンされたり腹切られたり爆弾食らっても生還してるから(適当)   (2024/10/25 02:00:52)

エロガキ♂13UC> 100tって……そこら辺のトラック10台とか20台分じゃん？   (2024/10/25 02:00:54)

エロガキ♂13UC> そのハンマー、本当の意味で振り下ろしたら、周囲ってやっぱり地震みたいな振動とか起こるのかな？   (2024/10/25 02:01:21)

エロガキ♂19b ◆> ここらいったいは壊滅するんじゃない？知らんけど   (2024/10/25 02:01:44)

エロガキ♂13UC> ……（魔法の言葉、しらんけどが発動した   (2024/10/25 02:02:11)

エロガキ♂14C ◆> 真面目に答えると、砂利とかを積んだ工事車両が近くを通るだけでそれなりに地面揺れるから、まあ間違いなく大きく揺れると思うよ。   (2024/10/25 02:02:50)

十六夜咲夜 ◆> ふぁあ…やっぱり夜遅いですわねぇ…   (2024/10/25 02:03:05)

エロガキ♂14C ◆> そーだね。……おねんねの時間かな？（じー）   (2024/10/25 02:03:22)

十六夜咲夜 ◆> かもしれませんわねぇ…   (2024/10/25 02:03:42)

エロガキ♂13UC> どんくらい揺れるかな？　シャーロットお姉ちゃんとメイドお姉ちゃんのおっぱい揺れるくらいになるかな？   (2024/10/25 02:03:43)

シャーロット・レイス ◆> こんな時間ですか   (2024/10/25 02:03:47)

エロガキ♂13J> さて……僕はちょっと待ってみよーと！   (2024/10/25 02:04:10)

エロガキ♂19b ◆> 咲夜ちゃん眠そうだね～。ここに3人のエロガキがおるじゃろ？(14C　13UC　13Jを指差して)   (2024/10/25 02:04:13)

エロガキ♂13J> サラダバー（手を振り）   (2024/10/25 02:04:37)

エロガキ♂14C ◆> うるさいよポンコツ博士。   (2024/10/25 02:04:39)

おしらせ> エロガキ♂13Jさんが退室しました。  (2024/10/25 02:04:44)

エロガキ♂14C ◆> 13Jくんいってらっしゃーい   (2024/10/25 02:04:48)

エロガキ♂13UC> さらだばー   (2024/10/25 02:04:50)

十六夜咲夜 ◆> 振り下ろす時点でだいぶ揺れるわね。勢いでブラの留め具飛ぶわね間違いなく(煽   (2024/10/25 02:04:51)

エロガキ♂19b ◆> あ..候補が、、いってらっしゃい～   (2024/10/25 02:04:59)

十六夜咲夜 ◆> えーと…エロガキ図鑑でも作るのかしら？(乗っかる)   (2024/10/25 02:05:27)

エロガキ♂14C ◆> まあ候補とか関係なしに僕はストレートに誘うんだけどね、添い寝。   (2024/10/25 02:05:56)

エロガキ♂13UC> Cコモン　UCアンコモン　J……J？   (2024/10/25 02:06:01)

エロガキ♂19b ◆> 咲夜ちゃんが勝ったエロガキから図鑑に登録していくとしようかのぉ～、、まずはこの2人のどちらかを登録しようじゃないか～(さらに便乗)   (2024/10/25 02:06:27)

十六夜咲夜 ◆> Junkかも(ひどい)   (2024/10/25 02:06:36)

エロガキ♂14C ◆> ジャンボ。（ゲームで使えない記念品的なでかいサイズのカード）   (2024/10/25 02:06:39)

エロガキ♂13UC> ジャンボリー？   (2024/10/25 02:06:49)

エロガキ♂19b ◆> ハハッ！！夢の時間は終わったんだよ！   (2024/10/25 02:07:15)

十六夜咲夜 ◆> ミッキー？(例のダンス)   (2024/10/25 02:07:31)

エロガキ♂13UC> 人の夢は、終わらねぇよ！　じゃないの？   (2024/10/25 02:07:38)

エロガキ♂14C ◆> （ﾊﾊｯ）   (2024/10/25 02:07:48)

十六夜咲夜 ◆> そして勝ったら、といいつつ、皆さんに一通り負けてるのよねぇ…   (2024/10/25 02:07:57)

シャーロット・レイス ◆> 流石に今日は寝ようかしら?(よりどりみどり)   (2024/10/25 02:08:09)

エロガキ♂13UC> ……（そのCは耳の形だったか）   (2024/10/25 02:08:14)

エロガキ♂19b ◆> レイスちゃんも添い寝相手を選んだらどうじゃ～？(巻き込み)   (2024/10/25 02:08:29)

エロガキ♂14C ◆> （勘のいいエロガキは嫌いじゃない）   (2024/10/25 02:08:32)

エロガキ♂13UC> ん、シャーロットのお姉ちゃん大丈夫？無理しない方が良いよ？　おっぱい揉んであげようか？   (2024/10/25 02:08:35)

十六夜咲夜 ◆> なんなら甘えてきたそうな2人とも両サイドに受け持ちましょうか？(絶対大変なことになるやつ)   (2024/10/25 02:09:56)

