/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月27日 11時40分 ～ 2024年11月29日 16時31分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 気合いと根性で勝つよ～！(負け続き)   (2024/11/27 11:40:35)
おしらせ> 無言時間が25分を超えたため、エロガキ♂14C ◆0ppa1.X0ssHPさんが自動退室しました。  (2024/11/27 15:46:35)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/27 15:46:53)

エロガキ♂14C ◆> 僕の方が急に電話きて固まってしまった！！！銀狼おねーさんごめんなさーい！それだけ！   (2024/11/27 15:47:23)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/27 15:47:26)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/27 20:15:48)

エロガキ♂17C ◆> 参ったね、急に気分が変わるっていうのも。   (2024/11/27 20:16:14)

エロガキ♂17C ◆> そんなわけでこんばんは。昼間はホント、意図しないとは言え申し訳ないことをしてしまったな。   (2024/11/27 20:16:53)

エロガキ♂17C ◆> それにしても寒暖差の激しさには参るね、風邪こそ引きはしなくてもかなり気怠さに襲われるというか。気圧の変化で昔の怪我の跡が痛んだりとかもするし。   (2024/11/27 20:19:21)

エロガキ♂17C ◆> それにしても……こう、頻繁に顔を出しすぎて暇人と思われそうなのは少しアレな気もしなくもない、というか。（溜息）   (2024/11/27 20:23:44)

エロガキ♂17C ◆> やっぱり平日はもっと遅い時間じゃなくちゃ人とは会えそうにもないね。出直すとするよ。お邪魔しました。   (2024/11/27 20:29:48)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/27 20:29:58)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/27 20:45:03)

栞葉るり> えっ。クリスマスの新規衣装はトップロードさんとアヤベさん…？！サイゲ、エロガキ部屋見て決めてませんか？実は…(陰謀論)   (2024/11/27 20:45:53)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/27 20:45:59)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/27 21:52:23)

星 ◆> 陰謀論にも程がある……、（トプロは見たことあるけど……、って顔した。ウマやってないけどさ！）   (2024/11/27 21:53:00)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/27 21:53:05)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/27 23:51:50)

エロガキ♂15M ◆> こんばんはぁ♪久々に来たら勝負部屋に鍵がかかってた件！ボクがいない間にルールとかも変わったみたいだね(これが浦島太郎の島流し、なんか色々と表現が街買ってるにゃ…)   (2024/11/27 23:53:56)

エロガキ♂15M ◆> おっと、久しぶりだからか誤字も酷いや☆   (2024/11/27 23:54:35)

おしらせ> 胡桃さんが入室しました♪  (2024/11/27 23:55:04)

胡桃> 鍵は開けたよ！   (2024/11/27 23:55:08)

胡桃> ……で、出られない！   (2024/11/27 23:55:20)

おしらせ> 胡桃さんが退室しました。  (2024/11/27 23:55:22)

エロガキ♂15M ◆> あっ、わざわざ教えてくれてありがと〜。一時的なものだったんだね   (2024/11/27 23:55:51)

エロガキ♂15M ◆> ん〜……ちょっとだけ勝負相手を募集してみようかにゃぁ…。いってきまーす！   (2024/11/27 23:57:31)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/27 23:57:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/28 00:21:13)

エロガキ♂19b ◆> 支援の時は勝てるんだよなぁー、こんばんは！   (2024/11/28 00:21:27)

エロガキ♂19b ◆> っとと、色がおかしいな   (2024/11/28 00:23:35)

エロガキ♂19b ◆> この時間はやっぱいないね、、さーて帰ろっと！   (2024/11/28 00:36:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/28 00:36:22)

おしらせ> エロガキ♂15AM ◆za77rifW.Yさんが入室しました♪  (2024/11/28 00:55:46)

エロガキ♂15AM ◆> ん〜、いい勝負だった！サイコロバトルはシンプルだから面白いよねぇ♪そして、まだ眠くないから夜更かししちゃいます！   (2024/11/28 00:57:19)

エロガキ♂15AM ◆> 眠くないとかいいながら、しっかり寝落ちしちゃうなんてことないように気をつけよ…   (2024/11/28 00:59:14)

おしらせ> 無言時間が25分を超えたため、エロガキ♂15AM ◆za77rifW.Yさんが自動退室しました。  (2024/11/28 01:24:32)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/28 13:32:11)

エロガキ♂17C ◆> なんとなしにこんな時間にこんにちは。……いや、トプロさんは確かにこの部屋来てたけどアヤベさんはまだ来たことない……ような？記憶にはないっ。   (2024/11/28 13:33:12)

エロガキ♂17C ◆> アヤベさんと言えば、ドラクエ3の遊び人がバニースーツ来たアヤベさんなんて言われてたっけ。改めて見ても……か、髪型のせいだよね、きっと。でも着せたくなったからアヤベさんも来て（天井に向けて圧））   (2024/11/28
13:35:43)

エロガキ♂17C ◆> なんだかんだ言ってもう直ぐ年末だよね……ああ、お年玉がガチャに消えちゃう……！   (2024/11/28 13:36:28)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/28 13:38:40)

クラリス ◆> こんにちは〜   (2024/11/28 13:38:53)

エロガキ♂17C ◆> 大体どのゲームもクリスマスとお正月に掛けてオレらのお小遣い搾りあげようとするんだもんな。エロガキ的には搾られるのは精液だけでいいよ……っと、こんにちは。   (2024/11/28 13:39:04)

エロガキ♂17C ◆> （そういやクラリスさんにも罰ゲームで一度バニースーツ着せたなって思い出した。）   (2024/11/28 13:40:36)

クラリス ◆> （そのまでに色々と着せましたからね…因果応報…）   (2024/11/28 13:42:04)

エロガキ♂17C ◆> あの時は黒だったけど、今度は赤とか白の方も着せてみたい、なんなら全員まとめてバニースーツ着せるような罰ゲームがしてみたい。……いや、勝てるかわからないけど。   (2024/11/28 13:43:25)

クラリス ◆> それ系の罰ゲームって版権側から仕掛けるほうが多い気がしますね（みんな罰に困って、ってなりがち？）   (2024/11/28 13:46:03)

エロガキ♂17C
◆> 確かにあまり他のエロガキ諸兄が女性陣を着替えさせるところをあまり見た覚えはないかな。一瞬過ぎて印象に残らないのか、はたまた……。オレは着替えさせるの好きだから割とやってるけど、それでもやっぱ女性陣が着替えさせてる印象の方が強いのは、罰に困るパターン説あるかも。
  (2024/11/28 13:48:00)

クラリス ◆> （着替えで1レス消費する暇があったら直ぐにヤリ始めたい、ってなるんでしょうね…≫あまり見た覚えはない）   (2024/11/28 13:49:44)

エロガキ♂17C ◆> （もしくはあまりお着替えに興味がない説はあるかもしれない……。オレも別にヤる事には固執しない事も多いから余計にそれは感じるかも<あまり見ない）   (2024/11/28 13:51:57)

クラリス ◆> （たぶん現役だと対戦数は5本の指に入りますけど、着替えを挟むケースは滅多にないですね…着替えに興味がないというか初手で全裸に剥かれるケースが大半かな？）   (2024/11/28 13:53:09)

エロガキ♂17C ◆> （クラリスさんは確かに大体負けてる時はひん剥かれてる印象強いの否めないなあ……。ある意味負けらしい光景ではあるかもだけど。……そしてそのフリはお着替えさせられたいと受け取っていいだろうか。）   (2024/11/28
13:54:48)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/28 13:57:16)

クラリス ◆> （フリといっても否定はしませんけど、お着替えに限らずバリエーションは欲しいかなと…正直なところリアクションの使い回しが増えてるのは自覚していたところなので）   (2024/11/28 13:57:16)

クラリス ◆> こんにちは〜   (2024/11/28 13:57:32)

エロガキ♂17C ◆> こんにちは。   (2024/11/28 13:58:07)

エロガキ♂19b ◆> こんにちは～何時もひん剥いてごめんよ～！そろそろ別のを考えるべき？(手遅れ)   (2024/11/28 13:58:20)

エロガキ♂17C ◆> （確かに毎回同じリアクション取る方もしんどちですもんね、でもバリエーションないとそうなるのも事実…（ぽふぽふ））   (2024/11/28 13:58:52)

エロガキ♂17C ◆> 19bにーさんに関しては基本脱がしてなんぼみたいに見える（※印象です）   (2024/11/28 13:59:29)

クラリス ◆> たまには脱がすヤる以外の罰をください！ 今からでも遅くないです！（ぺちぺち）   (2024/11/28 14:00:29)

エロガキ♂19b ◆> 考えておこうー！！...マジで脱がしてしかいないからな俺   (2024/11/28 14:02:08)

クラリス ◆> 他の子にはそういう罰もやってるの見てますからね！（今あなたの後ろにいるの）   (2024/11/28 14:02:09)

エロガキ♂17C ◆> オレの場合全裸より着衣プレイ好きだからなあ……。最近も着替えさせるパターン入れてるし。   (2024/11/28 14:02:49)

エロガキ♂17C ◆> （マリみてならぬ、クラみて……）   (2024/11/28 14:03:05)

クラリス ◆> （さっきも言いましたが、ヤるなら初手で剥きたくなるのは理解できます！ 30分は短いですよね！）   (2024/11/28 14:03:38)

エロガキ♂19b ◆> うーん...亀甲縛り目隠しプレイでもする？...逆バニーで   (2024/11/28 14:04:58)

エロガキ♂17C ◆> しかしクラリスさんに着せたいもの、かあ。……水着、はきっとハロウィンのアレでお腹いっぱいだろうしなあ。   (2024/11/28 14:05:19)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/28 14:05:39)

クラリス ◆> こんにちは〜   (2024/11/28 14:06:03)

エロガキ♀15kb> どうも～こんにちは～、最近よく使う160前後IPが軒並み使えないメスガキ仮面です   (2024/11/28 14:06:20)

エロガキ♂19b ◆> こんにちは～！   (2024/11/28 14:06:28)

エロガキ♂17C ◆> こんにちはー。   (2024/11/28 14:06:59)

クラリス ◆> 目隠しはともかく緊縛系はイメージしにくくてリアクションも取りづらいというか（注文が多くてめんどくさい女）   (2024/11/28 14:07:17)

エロガキ♂17C ◆> （重複してるんだろうなあ、あのIPのゲートウェイ使ってる人）   (2024/11/28 14:07:53)

エロガキ♀15kb> 目隠しと緊縛はかなりアクティブに動いてくれる攻めさんじゃないと、受けてる方も反応に困ってきますよね   (2024/11/28 14:07:53)

エロガキ♂19b ◆> ぐっ...なら別のを考えよう、、そうだなぁ...いいのはいくつかあるけど..まぁ、勝ったときのお楽しみにしておこう～   (2024/11/28 14:09:14)

エロガキ♀15kb> US経由の42‐245のサーバーは安定性が高いのですが、ずっと昔からあるのですでに使ってる人多いので避けてますしね（見つけやすいものは被りも多くて）   (2024/11/28 14:09:38)

エロガキ♂17C ◆> イメージがしづらいネタは対応出来る人じゃないと確かにリアクション困る、とかはありそう。野郎だとそれこそ掘られるイメージなんてなかなか出来る奴いないと思うし…（溜息）   (2024/11/28 14:10:24)

エロガキ♀15kb> で、何かの話題見たいですが、今度やる一発芸か何かのご相談ですか？   (2024/11/28 14:10:38)

エロガキ♂17C ◆> 野郎はすぐひん剥くよね、ってお話でした。<話題   (2024/11/28 14:10:59)

エロガキ♂19b ◆> 掘られるのはね....勘弁して欲しいね(遠い目)   (2024/11/28 14:11:08)

エロガキ♀15kb> あ～……その、男性陣は脱がせないと挿せないですからね。思考がそこに向き過ぎてるとは思いますよ。（その点、アタシは脱がさないでもいろいろ策を講じるというか、挿すものがそもそもない。えっへん）   (2024/11/28 14:11:54)

クラリス ◆> （亀甲縛りって、縛り方に意味があるんじゃなくて、縛ろうとすると大体こうなるって理解でいいんでしょうか？）   (2024/11/28 14:12:15)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/28 14:13:07)

エロガキ♀15kb> 亀甲縛りって要するに局部を隠す割合を減らして動けなくするのに最適な縛り方というか……ボンレスハムをムチムチに見せながら締め上げる見た目を再現しているというか？   (2024/11/28 14:13:28)

エロガキ♂17C ◆> ハメるのが主目的になると、それこそひん剥くのは1番楽なんだろうな、とか思うことはある。……ほら、版権側はどうなってんだよこの構造！？って衣装着てる人も、ね？   (2024/11/28 14:13:39)

エロガキ♂12Ω ◆> おいっすー。縛り方ならまんぐり返しで床に転がす肉便器スタイルも良くねー？つって。   (2024/11/28 14:13:45)

エロガキ♂17C ◆> 今日は昼間なのに珍しく人が多い気がするな、こんにちは。   (2024/11/28 14:14:01)

エロガキ♀15kb> あー、どうも～   (2024/11/28 14:14:19)

エロガキ♂19b ◆> こんにちは～   (2024/11/28 14:14:55)

エロガキ♀15kb> 実際難しい衣装が多いのも事実なので、ハメやすく局部だけをどういう風に処理するかは難題ではありますが……まぁ、そこは事前に話して置いて、素肌ワイシャツとか水着とかにしておくとハメ早くはなりますけどね。（ま、ハメがすべてじゃないので、その辺りは人によりけりですが）
  (2024/11/28 14:15:35)

クラリス ◆> （意味もちゃんとあるんですね！≫亀甲縛り）   (2024/11/28 14:15:37)

エロガキ♀15kb> 女性のお腹を上に向けた時、手足が動かせず、お腹周りが亀の甲羅の様に見えて肉感的、それでいて動きがとりにくくて、局部の隠れる面積が少ない。確かそんなじゃなかったかと   (2024/11/28 14:16:46)

エロガキ♂17C ◆> （そもそも亀甲縛り自体は今でこそ緊縛のスタンダードになってるけど、元は荷物縛ったり罪人縛ってた手段だしなぁ……）   (2024/11/28 14:16:58)

エロガキ♀15kb> 網の目状に縛ると、大きさと重量のあるものはほどけにくく、逆に言うと手足のところを吊るす側に見立てて縛ると、手足を引っ張るほどほどけにくいので、捕縛にも便利なのは事実ですね   (2024/11/28 14:18:16)

エロガキ♂12Ω ◆> (亀甲縛りで思い出したけど、巨体オークにハメながら肉盾？鎧みたいにされてる女性キャラみたいなのあったなぁ。)   (2024/11/28 14:18:29)

エロガキ♂17C ◆> そもそもオレは緊縛の趣味はないからやらないし、あまりそそられないからアレだけどな！……ハメられたい人は敢えてそういうハメやすい服装にしておくのは確かにあり、なのかも。   (2024/11/28 14:18:41)

クラリス ◆> （クラリスに関していえば大体ハメられてる時点で色々マックスボルテージなので、その体位で羞恥を煽られても上積みの余地はあんまりないかも…≫12Ωさん）   (2024/11/28 14:19:17)

エロガキ♂12Ω ◆> (確かに、と言うかクラリス姉ちゃんの場合はハメる前の煽りとか弄りで興奮させた方が色々効きが良さそう≫クラリス姉ちゃん)   (2024/11/28 14:20:56)

エロガキ♂17C ◆> ま、同じ相手とヤり合うならスパイスも重要って事だよね。（ずずず）   (2024/11/28 14:21:18)

エロガキ♂12Ω ◆> スパイスかぁ、ウコンにターメリックにナツメグにコリアンダーに…。   (2024/11/28 14:22:02)

エロガキ♀15kb> 縛りとか道具はアクセントですからね。手足が使えないのは長時間なら意味を持ちますが、短時間とわかってると其処まで興奮は少ないかも？   (2024/11/28 14:22:06)

クラリス ◆> （日常会話じゃなくてロール絡みの話題だから…？≫珍しく人が多い）   (2024/11/28 14:22:12)

エロガキ♀15kb> あと、縛るのであれば縛ったことに意味を持たせる何か、が無いとあまり効果もありませんからね。大切なのはそこに何の意味が重なるか、ですね   (2024/11/28 14:23:05)

エロガキ♂17C ◆> （ロールネタ話したい人もやっぱりいるよねって話だよね（ごろごろ<ロール違い））   (2024/11/28 14:23:17)

エロガキ♂19b ◆> スパイス～...でも最近は剥いてもハメるとこまではいかないからなぁ...だったらもっと、こう...ピチピチの服着せるとかした方がいいのかもしれない(なんなら負けすぎ...( ;´･ω･`))   (2024/11/28
14:23:51)

エロガキ♀15kb> ……（岩男さんのパートナー的な……赤い衣装に金髪の？）   (2024/11/28 14:24:05)

エロガキ♂17C ◆> まあ確かに何かしら意味のある行為じゃなきゃ、アクセントのつもりが空振りとか目も当てられないよね……（遠い目）   (2024/11/28 14:24:33)

クラリス ◆> （そのへんは実際のロールで確かめましょう、乞うご期待！ 時間が合うかはまた別の問題ですが！≫12Ωさん）   (2024/11/28 14:24:37)

エロガキ♂12Ω ◆> んだね、縛って床に転がして横で蕎麦打ちだかするAVとかあるみたいだし、身動き取れない状態で何かされるって内容の方が重要ではある。   (2024/11/28 14:24:37)

エロガキ♂17C ◆> （ロールだけで大喜利始まるな、これ……）   (2024/11/28 14:25:18)

エロガキ♀15kb> ま、30分で遊びきるか、口説いて次に持ち込むか……そういう思考の違いですかね。アタシは、挿入がそもそもないので30分で次につなぐ遊びをするだけなので   (2024/11/28 14:25:28)

エロガキ♀15kb> メ□ンパンナちゃんのお姉ちゃんが……   (2024/11/28 14:25:53)

エロガキ♂12Ω ◆> (所謂身体に聞けって話ですな、今度遊ぶ時様にドスケベコス考えとくー。≫クラリス姉ちゃん)   (2024/11/28 14:25:58)

エロガキ♂17C ◆> 19bにーさんに関してはここ数日負けが込んでるよね。目指せ17連敗。   (2024/11/28 14:26:06)

エロガキ♀15kb> おや、トワさんの15連敗の記録はもう塗り替えられたのですかね   (2024/11/28 14:26:38)

クラリス ◆> きのう負けたのも1対2（1対1なら勝ってる）ですもんね…≫負けが込んでる   (2024/11/28 14:27:13)

エロガキ♂19b ◆> 嫌です～！！そろそろ勝ちたい！   (2024/11/28 14:27:19)

エロガキ♂12Ω ◆> 男の負け側リアクションってどうしたもんかねー。   (2024/11/28 14:27:51)

エロガキ♂17C ◆> 15連敗+1程度じゃ生ぬるいかなと思って更に盛ってみた。<17連敗   (2024/11/28 14:27:56)

エロガキ♂19b ◆> そういえば昨日クラリスちゃんには勝ったか....(俺はいないようなものだけど)   (2024/11/28 14:28:01)

エロガキ♂17C ◆> 相手次第じゃないのかな、と思うところはある。素直に負けを認める、拗ねる、煽るetc<エロガキ敗北時   (2024/11/28 14:29:03)

エロガキ♂12Ω ◆> キャラ的に上手く盛り上げて攻めてくれる人相手なら素直に喘げるけど、何か相手雰囲気によって素直に反応し難い時があったり。   (2024/11/28 14:30:04)

クラリス ◆> それはもう相手によるとしか…こちらが負けた時もそう変わりませんし（事前に決め過ぎると逆にチグハグしそう）≫リアクションどうする問題   (2024/11/28 14:30:13)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/11/28 14:30:53)

エロガキ♂19b ◆> なんなら、負けたときよりも複数で勝ったときの方が難しい....2日前に完全に置いてかれたし！(精進します)   (2024/11/28 14:30:56)

エロガキ♂17C ◆> うわでた！！！   (2024/11/28 14:31:00)

エロガキ♀15kb> 男性受けと言われても、アタシは正直特定の顔が無い相手にそういうの求めないタイプですからねぇ（そちら側だと勝っても基本雑談になる）   (2024/11/28 14:31:07)

クラリス ◆> こんにちは〜   (2024/11/28 14:31:09)

エロガキ♀15kb> ラミィさんだ～（抱き着け～）   (2024/11/28 14:31:26)

エロガキ♂12Ω ◆> お、ラミィ姉ちゃんおひさー   (2024/11/28 14:31:30)

雪花ラミィ> どっ、こいせと…み、みんな、こんらみ寒すぎ（がくぶる）   (2024/11/28 14:31:30)

エロガキ♂19b ◆> こんにちは～   (2024/11/28 14:31:32)

エロガキ♂12Ω ◆> 氷の妖精が一番寒さ耐性無いの草なんだわ。   (2024/11/28 14:32:05)

クラリス ◆> ラミィさんが寒がるレベル（がくぶる）   (2024/11/28 14:32:09)

エロガキ♀15kb> 雪系エルフが寒がるほど……今年の冬はやばいのですかね。（ササ、抱き合って温めましょう   (2024/11/28 14:32:15)

エロガキ♂17C ◆> はいはい、こんらみー。ってなんか1番雪が似合いそうな奴No1が凍えてる。   (2024/11/28 14:32:18)

エロガキ♂12Ω ◆> 今年は確かに例年より寒いよね。と言うか急に寒くなったと言うか。   (2024/11/28 14:32:59)

エロガキ♂17C ◆> ちょうどいい例が来たからアレだけどこのエルフ相手に負けたら煽るの楽しい。勝っても煽るの楽しいけど。   (2024/11/28 14:33:07)

雪花ラミィ> ラミィの母国と暑さがちげーすぎるんよ！もう肌も順応しちゃったよ！！もっと、こう…なんだろう、寒くなるのは良いけどゆっくりこう、なだらかに気温下げてほしい。ガクン！！（10度低下）はマジで終わってる   (2024/11/28 14:33:53)

クラリス ◆> なんか言われてますよラミィさん！   (2024/11/28 14:34:11)

雪花ラミィ> おいコラ。おねえさん揶揄うの楽しむんちゃうぞ   (2024/11/28 14:34:18)

エロガキ♂17C ◆> まあ……寒さって意味ではせめて緩やかに寒くなるのはわかるんだけど、少しくらい前まで半袖でいても平気な気温の中から急激に下がるのは頂けないよね。   (2024/11/28 14:34:55)

エロガキ♂12Ω ◆> 打てば響くと言うか叩けば鳴る玩具みたいな良いリアクションするから仕方ないな。   (2024/11/28 14:35:04)

エロガキ♂19b ◆> この程度の寒さなら裸でもなんとか！(凍結).....   (2024/11/28 14:35:07)

エロガキ♀15kb> ラミィさんはしゃべってよし、勝負して勝ってよし、負けてよし、まぁにオールマイティなスペックがうらやましいんですよね   (2024/11/28 14:35:25)

クラリス ◆> やかんのお湯を注がなきゃ…≫凍結   (2024/11/28 14:35:47)

エロガキ♀15kb> マイクラワールドでマグマに放り込むのもありかと？   (2024/11/28 14:36:12)

エロガキ♂12Ω ◆> 取っつきやすいしプロレス出来るしで居るだけで空気が美味しい存在なのは分かり見   (2024/11/28 14:36:15)

エロガキ♂17C ◆> 煽り耐性ないから……<煽って楽しい 喋り上手いのはほんと、素直に羨ましく思うよ。……勿論褒めてるよ？煽りじゃないよ？   (2024/11/28 14:36:31)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/28 14:36:44)

おしらせ> キタサンブラックさんが入室しました♪  (2024/11/28 14:36:54)

エロガキ♂12Ω ◆> お、CCおつ。   (2024/11/28 14:37:09)

エロガキ♂17C ◆> お湯はその場では溶けるけど、後から凍るからやめたげて……   (2024/11/28 14:37:12)

キタサンブラック> とりあえず、仮面は外しておきましょうかね。（色合いが被るので、今日はピンクのままですが）   (2024/11/28 14:37:20)

雪花ラミィ> ラミィをそこら辺のぱっぱらぱー（古い）と一緒にしないでもらえますぅー！？も、もーーそんな褒めても何も出ないかんねーー♥お酒飲む？♥（未飲）   (2024/11/28 14:37:26)

エロガキ♂17C ◆> み、みなれないピンクキタちゃん……！   (2024/11/28 14:37:28)

エロガキ♂12Ω ◆> お酒飲めないんでラミィ水でよろしこー   (2024/11/28 14:37:58)

キタサンブラック> もう少しブラック系に寄せつつ……甘酒なら頂きたいです♪（お酒、お酒？   (2024/11/28 14:38:17)

エロガキ♂12Ω ◆> 下着がピンク概念のキタサン姉ちゃんって事？   (2024/11/28 14:38:26)

クラリス ◆> ほとんど未成年なので！（没収）≫お酒   (2024/11/28 14:38:26)

エロガキ♂19b ◆> ちなみに本当に裸で外に出るのはやめた方がいい...足が凍結してお風呂が辛くなるからね...(○祭りのせいだよ！ちくしょう！)   (2024/11/28 14:38:32)

エロガキ♂17C ◆> 雪夜月飲んでみたいんですよ。（※）   (2024/11/28 14:38:55)

雪花ラミィ> ラミィ水はスナックゆきはなのメニューにないんだワ。没収することないじゃんねーーーラミィの水分補給があああ（アルコールがカロリー）   (2024/11/28 14:39:14)

雪花ラミィ> あ、キタちゃんの下着は黒か白かの少し清楚めなヤツが良いです（厄介エルフ）   (2024/11/28 14:39:44)

キタサンブラック> ワミィ水とペンライト、そしてお酒を用意いたします。（さぁ、コラボだ！   (2024/11/28 14:39:46)

キタサンブラック> き、基本は白なんですけど……あの、偶には可愛いのが良いな～ってレモン色とか薄青くらいは持ってますけど……後、一応黒のも   (2024/11/28 14:40:30)

エロガキ♂19b ◆> 副店長としてなにかお酒用意した方がいい？(ガサゴソ)   (2024/11/28 14:40:34)

エロガキ♂17C ◆> 全裸で外に出たことはないけど、その昔身体が弱い時に外で冷水摩擦とか言って氷水に浸したタオルで身体を擦ってた事あったなあ。おかげで多少は寒さに強くなったはず……はず……   (2024/11/28 14:40:43)

キタサンブラック> 下着でベランダまでならありますけど……まぁ、冬はもちろんですが、夏でも精々夜にしましょう、かな？   (2024/11/28 14:41:17)

クラリス ◆> 没収したものの、そろそろ呼ばれそう（中身が）ので返しますね！≫ラミィさん   (2024/11/28 14:41:55)

