/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月09日 11時24分 ～ 2024年12月10日 07時01分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 11:24:49)
おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 13:05:29)

エロガキ♂19b ◆> まーけーたー！！自分のダイス運を恨む！！   (2024/12/9 13:06:34)

エロガキ♂19b ◆> んんー、、ごはん食べ終わり～！！そして帰ってきても誰もいない！！( ;´･ω･`)   (2024/12/9 13:20:21)

エロガキ♂19b ◆> 長居してたら寝そうになるからでかけてこよーっと！   (2024/12/9 13:42:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/9 13:42:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 15:01:33)

エロガキ♂19b ◆> お出掛け終わりにちょこっと覗いてみたり～？誰もいなかったけど！！   (2024/12/9 15:02:59)

エロガキ♂19b ◆> ふむふむ、、まだ皆忙しい時間帯っぽいかな？   (2024/12/9 15:13:20)

エロガキ♂19b ◆> でなおしましょうー！   (2024/12/9 15:16:18)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/9 15:16:20)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/9 20:06:42)

エロガキ♂17C> 気まぐれにこんばんは、っと。随分と冷え込みが厳しくなってきたな。   (2024/12/9 20:07:39)

エロガキ♂17C> オレたちエロガキには飲酒はNGだけど…こう寒いと飲んだら温かく感じるんだろうか、なんてね。罰ゲームで大人にでもされない限りは無理な話だけど。   (2024/12/9 20:11:34)

エロガキ♂17C> それにしても空気の乾燥のせいかな、やけに喉がイガイガしたような感覚だ……。風邪ではないとは思うけど、注意しておかないとかもしれない。皆も気を付けてね。   (2024/12/9 20:15:45)

エロガキ♂17C> 今朝の冷え込みは酷かったよなあ。目が覚めたらあまりに寒くて布団被り直したくらいだし。   (2024/12/9 20:25:27)

エロガキ♂17C> ぼやいた所で人も来るわけでなし、ゲーム部屋に顔を出してみようかな。   (2024/12/9 20:34:19)

エロガキ♂17C> ではこれで。お邪魔しました。   (2024/12/9 20:34:33)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/9 20:34:35)

おしらせ> 遠野みづきさんが入室しました♪  (2024/12/9 20:53:37)

遠野みづき> こんばんは   (2024/12/9 20:54:22)

遠野みづき> 12月、師走……みんな忙しそう   (2024/12/9 20:58:12)

遠野みづき> また、来るね   (2024/12/9 21:00:27)

おしらせ> 遠野みづきさんが退室しました。  (2024/12/9 21:00:33)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/9 22:46:43)

エロガキ♂18hx> こんばんは～   (2024/12/9 22:46:48)

エロガキ♂18hx> まぁ、そんなこともあるよね   (2024/12/9 22:47:52)

エロガキ♂18hx> よし、みなさんおやすみなさい   (2024/12/9 22:54:54)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/9 22:54:57)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/9 23:16:47)

エロガキ♂17C> 一度気分じゃなくなっちまうと戻すにも一苦労、ってね。こんばんは。   (2024/12/9 23:17:55)

エロガキ♂17C> とは言っても流石にこの時間に顔を出したところで、なんだがな。……参ったね、どうも。   (2024/12/9 23:22:20)

エロガキ♂17C> ……しばらく様子を見る、か。   (2024/12/9 23:30:51)

エロガキ♂17C> まあいいや、今夜はこれで失礼するよ。   (2024/12/9 23:37:47)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/9 23:37:50)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/10 00:43:59)

エロガキ♂13Al> 寝る前の寂しさを埋めに来ました！   (2024/12/10 00:44:12)

おしらせ> 常闇トワさんが入室しました♪  (2024/12/10 00:45:50)

常闇トワ> こんやっぴ〜   (2024/12/10 00:46:13)

エロガキ♂13Al> こんやっぴー　お先にお邪魔してます！   (2024/12/10 00:46:36)

常闇トワ> そうだね〜   (2024/12/10 00:47:13)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/12/10 00:47:51)

エロガキ♂17L ◆> こんばんは   (2024/12/10 00:47:55)

常闇トワ> こんばんは〜   (2024/12/10 00:48:02)

エロガキ♂13Al> トワ様はやっぱり悪魔だから夜の方が元気なんですか！   (2024/12/10 00:48:05)

常闇トワ> でもそろそろ寝ようかなと思ってたの   (2024/12/10 00:48:26)

エロガキ♂13Al> そんな……健康になっちゃう……   (2024/12/10 00:48:40)

エロガキ♂17L ◆> あらま、珍しくトワ様来てたから話に来たんだけどな   (2024/12/10 00:49:05)

常闇トワ> 健康が一番だよ   (2024/12/10 00:49:08)

エロガキ♂17L ◆> 不健康の極みみたいな生活してる俺にすごくその言葉は刺さる...   (2024/12/10 00:49:54)

エロガキ♂13Al> たしかにー　じゃあせっかくだから寝る前にトワ様に言いたいこと聞きたいこと言っとくといいですよ！   (2024/12/10 00:50:03)

エロガキ♂17L ◆> いや、トワ様の睡眠時間削る訳にはいかないから今度にするよ   (2024/12/10 00:51:06)

常闇トワ> じゃあトワもう寝ようかな〜   (2024/12/10 00:53:08)

エロガキ♂13Al> 健康のためなら止めるわけにはいかないゼ……   (2024/12/10 00:53:34)

エロガキ♂17L ◆> うん、おやすみなさい   (2024/12/10 00:54:02)

常闇トワ> じゃあね〜   (2024/12/10 00:54:23)

エロガキ♂17L ◆> うん、またね〜   (2024/12/10 00:54:31)

エロガキ♂13Al> おやすみなさーい   (2024/12/10 00:54:50)

おしらせ> 常闇トワさんが退室しました。  (2024/12/10 00:55:28)

エロガキ♂17L ◆> ちなみに13よ、アナザーの方に対戦待ち居るよ   (2024/12/10 00:55:45)

エロガキ♂13Al> 対戦するほどの元気はなさそうなのでふにゃふにゃしています……（ふにゃふにゃ）   (2024/12/10 00:56:21)

エロガキ♂17L ◆> あ、そうなの、ま、俺はここで落ちるよお疲れ様   (2024/12/10 00:56:47)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/12/10 00:56:57)

エロガキ♂13Al> お疲れ様。みんなそれぞれに人生と生活があるのだなあ   (2024/12/10 00:57:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 01:19:00)

エロガキ♂19b ◆> こんばんは～！この時間に起きてる悪い子を探しにって...いたー！！！   (2024/12/10 01:19:24)

エロガキ♂13Al> ぷるぷる……ぼく悪い子じゃないキシャよ。   (2024/12/10 01:20:39)

エロガキ♂19b ◆> この時間に起きてる時点で悪い子だぞ～？まぁ、捕まえてもやることもないしなーんもしないけどねー、クックック...でもいいのか？この時間に起きていると起こる恐ろしいことを教えてあげよう....   (2024/12/10 01:23:12)

エロガキ♂13Al> お、おそろしいこと？　それは……！？   (2024/12/10 01:25:07)

エロガキ♂19b ◆> 朝起きたときに....時計を見て遅刻を確信する恐怖を...学校に遅れるとわかった時点でサボりたくなるこの感情を！！13歳の君に背負うことができるかな！！(中身は考慮しないものとする！！)   (2024/12/10 01:25:12)

エロガキ♂19b ◆> ちなみにお兄さんは9時半に1時間目が始まるのに9時に起きて絶望したぞ(キラッ)   (2024/12/10 01:26:05)

エロガキ♂13Al> ひいー怖いーーーー。遅刻はよくないね……。   (2024/12/10 01:26:25)

エロガキ♂19b ◆> そうなんだよね～、遅刻はよくない...それに一回それで遅れると2回目からは慣れるんだよね...   (2024/12/10 01:28:10)

エロガキ♂13Al> 怠け癖がついちゃうとよくないっていうねー。（ひとごと）   (2024/12/10 01:29:44)

エロガキ♂19b ◆> そういうこったぁ！！だから夜更かしはほどほどにね～(おまいう)   (2024/12/10 01:30:53)

エロガキ♂13Al> でもできればお姉さんに寝かしつけてほしい……暖かな毛布を掛けて「よくがんばったわね」とか言われたい。がんばってないけど。   (2024/12/10 01:31:54)

エロガキ♂19b ◆> そんなお姉さんを俺は知っている！！...来るかは知らないけど   (2024/12/10 01:32:25)

エロガキ♂13Al> いまいない人に期待を持たせるのはよくない……ニャン。そのうち来たらいいねの気持ちニャン。   (2024/12/10 01:33:04)

エロガキ♂19b ◆> 待機してみたらもしかしたら現れるかも？知らんけどね！！...でも13AI君って以外と攻め攻め系じゃなかったっけ？....気のせい？   (2024/12/10 01:34:52)

エロガキ♂13Al> 求められれば攻め攻めになることも……あるいは本来の無垢さを解放しての受け受けショタちゃんにも……それが可能性ということさ……   (2024/12/10 01:36:52)

エロガキ♂19b ◆> 可能性....可能性の獣(意味深)....か   (2024/12/10 01:37:57)

エロガキ♂13Al> 本格的に深夜になってきたからねまーす　またねっ   (2024/12/10 01:41:46)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/10 01:41:51)

エロガキ♂19b ◆> おやすみー！！！ゆっくり眠って明日も頑張って！！   (2024/12/10 01:42:19)

エロガキ♂19b ◆> もうさすがに皆寝たかなー？   (2024/12/10 01:57:48)

エロガキ♂19b ◆> 悪い子はもういなさそうだね～...いいことかもしれない！！   (2024/12/10 02:18:52)

おしらせ> さくらみこさんが入室しました♪  (2024/12/10 02:22:07)

さくらみこ> にゃっはろ〜   (2024/12/10 02:22:12)

エロガキ♂19b ◆> お、やっほー！！ここに来たってことはお相手見つからなかったかなー？   (2024/12/10 02:22:46)

さくらみこ> そうなのー   (2024/12/10 02:22:58)

エロガキ♂19b ◆> あーら...でもすでに2戦してるっぽい？ふふっ、なかなかのバトルジャンキーですねぇ   (2024/12/10 02:24:46)

さくらみこ> まぁにぇ〜   (2024/12/10 02:25:34)

エロガキ♂19b ◆> でももうみこちゃんは寝るっぽい？し、お兄さんがお相手するのは難しいかな？お時間あるなら全然付き合うけどねぇ～！   (2024/12/10 02:27:40)

さくらみこ> じゃあお願いしよっかなー   (2024/12/10 02:28:37)

エロガキ♂19b ◆> お、いいのー？...ならどっちでやる？   (2024/12/10 02:29:26)

さくらみこ> 好きなところでどーぞー   (2024/12/10 02:29:54)

さくらみこ> どこでもうぇるかむだにぇ〜   (2024/12/10 02:30:54)

エロガキ♂19b ◆> そのいい方だと最初から個室につれていきたくなっちゃうねぇ～、まぁ無難に普通の方の勝負部屋かな？...   (2024/12/10 02:31:30)

さくらみこ> おっけー   (2024/12/10 02:32:03)

エロガキ♂19b ◆> よーし、んじゃ行こうか！！   (2024/12/10 02:32:32)

さくらみこ> 移動！   (2024/12/10 02:33:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/10 02:33:13)

おしらせ> さくらみこさんが退室しました。  (2024/12/10 02:33:18)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/12/10 03:08:36)

雪花ラミィ> 先輩の気配がありますね、こんらみぃー。変な時間に起きちまって、寝ようにも寝られない…。お酒でも呑みながらふらりふらりと居続けちまお。   (2024/12/10 03:10:16)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/10 03:12:49)

エロガキ♂13Al> ふらりふらり……ガキはなぜ起きているのか、いつ寝るのか、どこへ寝に行くのか（問い）   (2024/12/10 03:13:24)

雪花ラミィ> およ、こんらみ〜。アレ？さっき寝るって言っとらんかった？（）   (2024/12/10 03:19:01)

エロガキ♂13Al> そんなところまで俺の言ったことに注目してるなんて……俺のこと好きなのかな……！（どきどき）　寝るって言ったからって寝るとは限らない、そういうわけです！   (2024/12/10 03:19:41)

雪花ラミィ> 履歴は見る系女子、雪花ラミィです。（キリッ）ラミィも、禁酒するって言ったから禁酒するわけじゃないから分かるー。ともあれ、無理はせんようにするんよー？   (2024/12/10 03:25:23)

エロガキ♂13Al> 何度も禁酒に成功する実績すごいぜー。ありがとー。寝るのが昔から苦手なんだよねー。ふかふか柔らか真っ白なおっぱいに包まれて耳元でひしょひしょ声で良い感じのことを囁いてもらえれば安眠できるかもしれない。   (2024/12/10
03:27:01)

雪花ラミィ> まあね（成功した経験が数多にあるエルフ）おっ、それはね、ノエル先輩のあまあまASMRを購入することを推奨するぞ。エルフのASMRはメン限じゃないと発狂しっぱなしやからね（）   (2024/12/10 03:30:30)

エロガキ♂13Al> キュレーターのエルフだあ。（あこがれ）おっぱいは……おっぱいはご利用対象外なんですか……（じーっと見つめて口を閉じるのを忘れているからたらーとよだれを垂らしている）   (2024/12/10 03:32:04)

雪花ラミィ> 酒の在庫しか管理せんよ、このキュレーターエルフ（）ラミィの胸よりノエル先輩のおっぱいの方がひとまわり大きいからさ、だいじょび。（欲が思考を超えとるで！！）   (2024/12/10 03:34:31)

エロガキ♂13Al> 酒の在庫の管理ができてて偉い！　じゃあ全部飲み尽くしちゃって夜中に買い足しに行ったりする必要はないですね！　現実的にを考えれば、手には入らない爆乳より近くにあるバーチャルエルフおっぱい。そういう妥協の産物で世の中は回ってるから……（じゅるり）
  (2024/12/10 03:36:25)

雪花ラミィ> なんと、自分の飲酒のキャパは管理出来ないので夜な夜なフラついて酒を買いに行くエルフの姿は度々目撃されるとかされないとか。あ゛あ？ラミィのおっぱい妥協つったかオラ！！ぽふぽふさせてやらんぞ！？（般若顔）   (2024/12/10
03:39:02)

エロガキ♂13Al> 何が管理されているのか、根本的な部分から考え直さないといけないですね。議題に回しときます。（？）　ちっちがっ……目の前の相手に対して素直になれない思春期の血迷った言動です！　本人もこの通り反省しています！（ははーって床に這いつくばってちらちら……うまいこと裾の中見えないかと伺っている）
  (2024/12/10 03:41:56)

雪花ラミィ> や、やめてください…！株主総会でラミィの役職奪わないでください…！（生々しい媚び声）そういうの相場は仲介役の第三者が言うやつなんよ。そんで全然反省しとらんなあオラァ！！（ぺちぃぃん）   (2024/12/10 03:45:56)

エロガキ♂13Al> 続けたいなら……わかりますね？（何が？）　しまった。自分が言うフォローは言い訳になってしまう！（語義の話）あいたーーー！（覗こうとしたことがバレて手痛いお仕置きを受けてしまったのでした。テヘッ☆）   (2024/12/10
03:47:35)

雪花ラミィ> うわっ、こ、これが女社員の社会か……（ダメです）まったくもー。ラミィのおっぱいは高く付くんやからね。ノーパン健康法実施中なんやからね！！   (2024/12/10 03:50:22)

エロガキ♂13Al> そんなドスケベ情報が投下されたらますます眠れなくなるんですけど！　ちょっと膝枕してもらえませんか！（ビーンって横向きになって転がって、あとは頭の下に膝を差し込むだけで膝枕の完成だ！）   (2024/12/10 03:52:07)

雪花ラミィ> ラミィの敬愛する先輩の事をドスケベっつったかあ！？……いやまぁ、すけべかもしれんね。（客観視）んー…ラミィのお膝も高（ry）1か2を選択して1d2して、選択した方が当たったらしてあげようじゃあないか。   (2024/12/10
03:54:37)

エロガキ♂13Al> すけべも尊敬する、そういうことがこれからの時代求められているのかもしれないね（ふんわり）　わかりました。じゃあ、1が出たら膝枕、2が出たらおっぱい枕ということで……（エロガキ特有の激しいルール歪曲）   (2024/12/10
03:56:14)

エロガキ♂13Al> 1d2 → (2) = 2  (2024/12/10 03:56:22)

エロガキ♂13Al> よろしくおねがいしまーーーーーす！（きりもみ状に回転しながら胸元に飛び込んでいく）   (2024/12/10 03:56:52)

雪花ラミィ> スケベのサマーウォーズやめろ！！！……むー、寝るまでだかんね。（よしよし）   (2024/12/10 03:57:36)

エロガキ♂13Al> はふんっ……これはすごい、ふかふかのやわやわ……邪な考えがすべて洗い落とされていくような……（おっぱいに抱きついて谷間の香りをすーはーすーはー）   (2024/12/10 03:59:06)

雪花ラミィ> そういう膝枕とかでうつ伏せになるのあんまなくない…！？…ん、はいはい、寝付け寝付け…！（わしゃわしゃわしゃ）   (2024/12/10 04:01:15)

エロガキ♂13Al> 忘れかけていたものが蘇ってくる気がする……ママみとか清楚さとかが……（谷間にふかーっとくっ付いたまま、わしゃわしゃされるとさすがにかなり満足げ。さらにセクハラできる気もしてきたけどここまでよくしてもらってるのにそれは悪いぜ……と心の中の悪魔が囁く。心の中の天使は「おっぱい見るまで眠れねえ」と言っていた）
  (2024/12/10 04:04:57)

雪花ラミィ> ラミィは清楚すぎておかしいぐらい清楚なんだが…？…はいはい、君たちのすけべへの執着心は目を光るかんね。ここ雑談部屋やし、寝落ちは他所でやるぞー？（はい、しゅーりょー！って身を引いて。）雑談部屋以外やったらもう、どうぞ好き勝手になって寝落ちてもろて（）
  (2024/12/10 04:08:55)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/10 04:10:42)

エロガキ♂13Al> 清楚を突き抜けた先にある景色とは……（これがそれなのか……ってみつつ。温かい密着感がなくなるとしゅんとしながらぷるぷる震え出す）はーい……というか寝落ちする前には退出するけどー……ん、つまり他のところで寝落ち囁き膝枕ASMRやってくれるって……コト！？（興奮の余り60ワットくらい光る目）
  (2024/12/10 04:10:50)

雪花ラミィ> んあ、成長期の学生クンが来た（）   (2024/12/10 04:11:43)

エロガキ♂17C> ……あーあ、なんつー場面に出会しちまったんだ。   (2024/12/10 04:11:53)

エロガキ♂13Al> こんばんはー……いやもしかしておはよう……？   (2024/12/10 04:12:31)

エロガキ♂17C> ま、世間一般的にはおはようなんだろうよ。（くぁ、と欠伸浮かべつつちらりと。）まあうん、添い寝はいいんじゃないかな。   (2024/12/10 04:14:23)

雪花ラミィ> 世間一般的にはおはようってなんだよ、キミの中ではこんばんはなのかよ（）でもなー、ひとり残してどっか行くのもアレって思っちゃうラミィはめんどくさい女やな。膝枕してく？（）   (2024/12/10 04:16:41)

エロガキ♂17C> オレは多分とっさにはこんばんは、って言うかもしれないけど。……って、興奮してたはずの少年が突然電池切れ起こしてやしないかな、これ。   (2024/12/10 04:19:34)

エロガキ♂13Al> むむむ……膝枕してもらったら事実上上からも挟まれるのではないかという仮説を検証したかったが……（腕組み）   (2024/12/10 04:19:43)

エロガキ♂17C> いや、大丈夫だったらしい。   (2024/12/10 04:20:08)

雪花ラミィ> ラミィってやっぱり罪な女なんやなあ…。   (2024/12/10 04:21:35)

エロガキ♂13Al> いま悲劇のヒロイン感を味わう隙間あったかなぁ……！？   (2024/12/10 04:22:03)

エロガキ♂17C> ホント重罪人だと思うよ、この酒呑み。本気で添い寝したいならがっつり連れ去るくらいしなきゃ寝落ちされるぞ、なんてな。   (2024/12/10 04:23:02)

雪花ラミィ> 本当にあのね、その節は本当にごめんなさい（ﾄﾞｹﾞｻﾞ）   (2024/12/10 04:23:44)

エロガキ♂13Al> （土下座の前に「全裸」と書き込めないか、タイミングを伺っている）   (2024/12/10 04:24:40)

エロガキ♂17C> 雑談部屋だから程々にしときなよ。（ぺし、と13Alくん嗜めとこ。）逆に素直に謝ってるのがまたなんともだな……弄りづらい。（ぇ）   (2024/12/10 04:26:34)

エロガキ♂17C> （まーた予測変換PON入ってる…）   (2024/12/10 04:27:10)

エロガキ♂13Al> あいたー。ちゃんと断れる余地は残してるし……（ぶつぶつ）遊んでもらってたからもうだいぶ満足はしている……   (2024/12/10 04:29:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 04:30:13)

雪花ラミィ> マリン先輩とかねねとかなら喜んでやってくれるんとちゃう、全裸土下座。ラミィはセコムがいるからダメやね。うおお、続々…。   (2024/12/10 04:30:38)

エロガキ♂17C> はいはい、まあ満足できてるんなら何よりじゃないかな。……うわあ、この時間から更に五月蝿いのが。   (2024/12/10 04:31:02)

エロガキ♂19b ◆> こんばんは～、、深夜に食べる女はうまいよね～ってわけで副店長の登場ですよ～！！   (2024/12/10 04:31:07)

エロガキ♂17C> 手前は深夜じゃなくてもいつでも食らってるだろうよ。   (2024/12/10 04:32:28)

エロガキ♂19b ◆> まあね、でも深夜に食べるのは本当にうまいんだよ！！今回のはすぐに壊れちゃったけどさ(テヘッ)   (2024/12/10 04:33:04)

エロガキ♂13Al> この時間は深夜というより夜明け前……これで1人寂しく残る必要はなくなったけど、やっぱりエロガキだけ残していくのは気が引けるから、今日のところはラミィちゃんの健やかな入眠を願っておくことにしましょうか。インタラクティブ膝枕ASMRはまたの機会にとっておこうね……
  (2024/12/10 04:33:35)

雪花ラミィ> ゴメンネ、今度はなんでもしたるから（謎の爆弾投下）   (2024/12/10 04:34:26)

エロガキ♂17C> ん？   (2024/12/10 04:34:40)

エロガキ♂19b ◆> パコパコの未来が見えた！   (2024/12/10 04:34:49)

エロガキ♂13Al> いま全知全能って   (2024/12/10 04:35:07)

エロガキ♂17C> 言ってないな……   (2024/12/10 04:35:18)

エロガキ♂17C> しかし壊れちゃった、ね……。詳しい事はよくは知らねーけど、壊したの間違いじゃあないのかね、19bのそれ。エロガキの本領発揮と言おうかなんと言おうか。   (2024/12/10 04:37:08)

雪花ラミィ> 強キャラ感滲み出とるよね（）   (2024/12/10 04:37:40)

エロガキ♂13Al> だいぶ前に寝なきゃいけない時間を過ぎてるけど今度こそ寝なきゃ行けないので！　ラミィちゃんがお話ししてくれて楽しかったです、ありがとう！　お休みなさい   (2024/12/10 04:38:01)

エロガキ♂19b ◆> 3回戦しただけなんだけどなぁ(小並感)   (2024/12/10 04:38:04)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/10 04:38:16)

エロガキ♂19b ◆> おやすみー！！！   (2024/12/10 04:38:45)

エロガキ♂17C> おやすみ、13Alくん。睡眠は大切だよ、ちゃんとゆっくり寝るんだぞ。   (2024/12/10 04:38:45)

雪花ラミィ> おつらみぃ、またねー。   (2024/12/10 04:39:11)

エロガキ♂17C> 3回戦しただけ、ねぇ。羨ましいもんだ。こちとらゲーム開始にすら恵まれないってのに。   (2024/12/10 04:39:54)

雪花ラミィ> おしゃべりと性欲に長けたお兄さんて。万能かよ…！   (2024/12/10 04:41:01)

エロガキ♂17C> それ以外の要素がPONだから……（溜息）   (2024/12/10 04:41:53)

エロガキ♂19b ◆> リソースを性にブッパしたからね！！   (2024/12/10 04:43:21)

エロガキ♂17C> まあでも、素直に羨ましいもんだけどな。……相手が蕩けちまう程にヤりたい、ってのは否定しないよ。自分がどうこうより、相手がどうにかなっちまうのがいい。   (2024/12/10 04:44:22)

エロガキ♂19b ◆> 休憩無しで3回はからだが持たなかったんだろう(遠い目)でも、あれなんだよね...壊れた女の子って美しいんだよ...   (2024/12/10 04:45:45)

雪花ラミィ> ラミィがエッチみたいになるからこの話には関与できやんな。ちょっと静観してます。（ぐびぐび（））   (2024/12/10 04:46:02)

エロガキ♂19b ◆> そういいながらお酒を飲むのはどうかと思いますよ店長！！子供の前ですよ！！   (2024/12/10 04:47:31)

エロガキ♂17C> 清楚ラインとうの昔に超えてるヤツが今更何言っても誤魔化せないよ。酒に逃げるな、酒に。美しい、って表現には微妙に賛同しかねるけどね。   (2024/12/10 04:47:33)

雪花ラミィ> はああーー！？？ラミィはいついかなる時もラインを踏み外したことなんて無いわ！！（いまがそのとき）もう大人さ、この子らも。達観。   (2024/12/10 04:48:44)

エロガキ♂17C> そして副店長きどってる手前もガキのガワだろうが、19b。（げし）   (2024/12/10 04:48:57)

