/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月20日 12時41分 ～ 2024年10月20日 21時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ13♂AC ◆> あっ、大丈夫だよ♪心配してくれてありがとねー   (2024/10/20 12:41:39)
星 ◆> エロガキの全員が全員人形イケるわけでもないからなぁ……。（何故か触ってるスマホの画面が見えない。充電切れか、胡桃の帽子に顔を埋めてるかのどっちかが理由か…？）   (2024/10/20 12:48:11)

エロガキ♂16r> 俺褒めも貶しもしてない()   (2024/10/20 12:48:48)

エロガキ13♂AC ◆> 楽しいけどさすがにグルグルしてきたぁ…。ちょっと休むねー。お話しありがとー♪   (2024/10/20 12:48:55)

おしらせ> エロガキ13♂AC ◆r.gzYz8YH.NIさんが退室しました。  (2024/10/20 12:48:58)

エロガキ♂19b ◆> あの人ですか、、そもそも来てくれるの？   (2024/10/20 12:49:00)

星 ◆> ピノコニーの顔嵌めパネルには来てくれたし……。   (2024/10/20 12:49:23)

キタサンブラック> お疲れ様です。そしてアタシの状況が飲み込めてないんですけどね   (2024/10/20 12:49:25)

エロガキ♂19b ◆> 13AC君お疲れさま～   (2024/10/20 12:49:25)

エロガキ♂18D ◆> そのときには喜んで……？(いつお世話になるか分からないけど…)まぁ全員魅力的であるということで……人は覚えますから。   (2024/10/20 12:49:28)

星 ◆> あ、お疲れ。   (2024/10/20 12:49:32)

エロガキ♂16r> おつん   (2024/10/20 12:49:37)

胡桃 ◆> …星、私の帽子あげるからちゃんと前見て！(ずっと帽子に埋まってるし、お顔退けてくれたら帽子位今日一日貸し出すから、前見て！)   (2024/10/20 12:49:38)

エロガキ♂18D ◆> ACさんお疲れ様でした。また会うことがあれば。   (2024/10/20 12:49:49)

胡桃 ◆> 13AC君お疲れさま！   (2024/10/20 12:49:57)

ゆんゆん> わ…わたしもお昼の用意してくるね…！お話ありがとう…！またね   (2024/10/20 12:50:04)

おしらせ> ゆんゆんさんが退室しました。  (2024/10/20 12:50:07)

胡桃 ◆> 状況は混沌かなぁ＞キタちゃん   (2024/10/20 12:50:17)

エロガキ♂16r> おつー   (2024/10/20 12:50:23)

胡桃 ◆> ゆんゆんさんもまたねー！   (2024/10/20 12:50:24)

エロガキ♂19b ◆> ゆんゆんちゃんお疲れさま～   (2024/10/20 12:50:36)

キタサンブラック> ちょっと、アタシも遊んできますかね。（すっと立ち上がり   (2024/10/20 12:50:39)

エロガキ♂18D ◆> ゆんゆんさんもお疲れ様でした。またどこかで……   (2024/10/20 12:50:41)

キタサンブラック> では！   (2024/10/20 12:50:44)

星 ◆> ぷは。ううん、大丈夫。胡桃の匂いで肺は満たしたから。（顔離し。ようやく顔が見えたね、）   (2024/10/20 12:50:45)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/20 12:50:48)

星 ◆> お疲れキタサン、お疲れゆん……ゆんゆん？   (2024/10/20 12:51:03)

エロガキ♂19b ◆> キタちゃんはいってらっしゃい～   (2024/10/20 12:51:09)

エロガキ♂16r> てらさー   (2024/10/20 12:51:16)

エロガキ♂18D ◆> キタちゃんも行ってらっしゃいませ……ご武運を(敬礼)   (2024/10/20 12:51:33)

胡桃 ◆> 私の匂いで肺を満たすって…？(言葉が謎だけど、大丈夫？お線香とかの匂いじゃないよね？)   (2024/10/20 12:52:09)

星 ◆> ちょっと多いか……。（ゲーム部屋をちらり、）   (2024/10/20 12:52:09)

エロガキ♂16r> 胡桃自体の匂いじゃね(知らんけど)   (2024/10/20 12:52:30)

胡桃 ◆> キタちゃんも行ってらっしゃい！   (2024/10/20 12:52:32)

星 ◆> そ、そんなに変なこと言った……？（謎なのか、ただ私の体内の空気をすべて胡桃を経由したものに変換しただけなのに……。）   (2024/10/20 12:53:11)

胡桃 ◆> 私自体の匂いって普通にデリカシー…。私も流れに乗って…一応何か食べてこようかな。(なんだろう。星のそれは恥ずかしいから、結局今回も私が恥ずかしい！)   (2024/10/20 12:54:28)

エロガキ♂16r> つまり開拓者の勝利(星の手首掴んで上へと上げ)   (2024/10/20 12:55:28)

星 ◆> ご飯か……うん、いってらっしゃい。（私はなのかじゃないのでデリカシーはあるよ！たぶん！腕を掲げられた、）   (2024/10/20 12:55:41)

エロガキ♂16r> いってらー   (2024/10/20 12:55:55)

エロガキ♂19b ◆> いってらっしゃいー   (2024/10/20 12:56:10)

エロガキ♂18D ◆> これはそっとしといた方がいいですねぇ……   (2024/10/20 12:56:12)

エロガキ♂18D ◆> 行ってらっしゃいませ、堂主……   (2024/10/20 12:56:22)

胡桃 ◆> 18Dさんどうかしたの？   (2024/10/20 12:56:27)

エロガキ♂18D ◆> いえ、対戦部屋ですね、これは自分は入らない方がいいですねって話でした……   (2024/10/20 12:57:00)

エロガキ♂19b ◆> 対戦部屋にいくかどうか悩んでたんじゃない？   (2024/10/20 12:57:00)

エロガキ♂18D ◆> 自分も少々昼寝しようかと……   (2024/10/20 12:57:19)

胡桃 ◆> (デリカシーはね、気にしないで大丈夫だよって星にウインク。)   (2024/10/20 12:57:21)

星 ◆> 遠慮せず行けばいいのに。   (2024/10/20 12:57:23)

エロガキ♂18D ◆> 睡眠欲と性欲が……どっちかといえば、睡眠欲の方が強いので……眠ります。おやすみなさいませ……   (2024/10/20 12:58:11)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/20 12:58:27)

星 ◆> そういう理由なら仕方ない、おやすみ。   (2024/10/20 12:58:30)

エロガキ♂19b ◆> 18D君お休みなさい～   (2024/10/20 12:58:41)

胡桃 ◆> おや…おやすみなさい！   (2024/10/20 12:58:45)

エロガキ♂16r> おやすみ   (2024/10/20 12:58:51)

星 ◆> （胡桃のウインクに胸元押さえて倒れた、かわヨ。）   (2024/10/20 13:00:02)

胡桃 ◆> お昼時ってなんだか眠くなるよねー…じゃあ私も行ってくるね。(居残り組が解散するか知らないけど、一応方法に投げキッスでもしちゃう？しないけど、微笑みだけ見せてお手を振っていくね。)   (2024/10/20 13:00:22)

胡桃 ◆> 星が倒れた…！……私の出番？(本業する気。)   (2024/10/20 13:00:38)

星 ◆> お昼食べて来ていいよ。（真下から胡桃を眺める開拓者。）   (2024/10/20 13:01:02)

エロガキ♂16r> メディーック   (2024/10/20 13:01:37)

胡桃 ◆> 今日ほどスカートじゃなくて良かったって思うことが…おも、う……い、行ってくるよ！(スカートじゃないから平気、平気…。なんだろう、逆に恥ずかしい気がしてきた。星の顔踏まないように御御足だけ見せ付けて行ってくるね。)   (2024/10/20
13:02:32)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/20 13:02:47)

エロガキ♂19b ◆> 胡桃ちゃんお疲れさま～   (2024/10/20 13:03:15)

星 ◆> （むくり、上半身起こし。）原神はぱんつのガードが固すぎると思う。   (2024/10/20 13:03:25)

エロガキ♂16r> スタレもホットパンツみたいなものじゃん   (2024/10/20 13:04:07)

星 ◆> まあそうなんだけど……。ねえ、どっちかゲームの気分だったりしない？どっちもでもいいんだけど。   (2024/10/20 13:04:50)

エロガキ♂19b ◆> やるなら付き合うよ～、、ムラムラしてるし   (2024/10/20 13:05:08)

エロガキ♂16r> 付き合えるよ。暇だし   (2024/10/20 13:05:30)

星 ◆> いや、私じゃないんだけどね……。なら呼び出しておこうかな。（スマホすいすい、よし。）   (2024/10/20 13:05:45)

エロガキ♂16r> 誰が出てくるか楽しみだ   (2024/10/20 13:06:03)

星 ◆> 私から言うのも変な話だけど、頑張ってね。   (2024/10/20 13:06:05)

星 ◆> ………頑張ってね。   (2024/10/20 13:06:11)

エロガキ♂16r> 誰呼んだの?!   (2024/10/20 13:06:19)

星 ◆> （取次に行きます。退室！）   (2024/10/20 13:06:25)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/20 13:06:29)

エロガキ♂19b ◆> ほな仮部屋いくかぁ～、、ルアンか！？   (2024/10/20 13:06:31)

エロガキ♂19b ◆> いきまーす   (2024/10/20 13:06:42)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/20 13:06:44)

エロガキ♂16r> 俺も   (2024/10/20 13:06:49)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/20 13:06:50)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/20 13:13:07)

エロガキ♂14C ◆> （完全にタイミング外したなあ、とぼんやり眺め中）   (2024/10/20 13:13:28)

エロガキ♂14C ◆> 増えたけど、それでもなお同数かあ。……さあ、どうなるものかなあ。   (2024/10/20 13:14:44)

エロガキ♂14C ◆> 【観戦用ドリンクラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/10/20 13:15:47)

エロガキ♂14C ◆> 1d6 → (5) = 5  (2024/10/20 13:15:51)

エロガキ♂14C ◆> （げほげほ）   (2024/10/20 13:16:18)

エロガキ♂14C ◆> なんかレアキャラがいるなあ、ある意味1番メスガキ……。   (2024/10/20 13:18:10)

エロガキ♂14C ◆> 最終的に4vs4になったみたいだね。   (2024/10/20 13:19:44)

エロガキ♂14C ◆> と言っても、ここでだらだら実況してるのも気が引けるし。外出とくか。   (2024/10/20 13:21:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/20 13:21:08)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/20 13:39:28)

エロガキ♂12Ω ◆> …むぅ、皆楽しそうに集まって遊んでる。良いなぁ。(部屋の隅で膝抱え。)   (2024/10/20 13:40:01)

エロガキ♂12Ω ◆> …暇だしダイス振っとくか。   (2024/10/20 13:44:40)

エロガキ♂12Ω ◆> 1d6 → (3) = 3  (2024/10/20 13:44:48)

エロガキ♂12Ω ◆> ……｡(水道水ごくり。)   (2024/10/20 13:45:11)

エロガキ♂12Ω ◆> そろそろ遊びに行った誰かしらが戻ってくる頃かね。邪魔になる前に退いとくか。お邪魔しましたっと。   (2024/10/20 13:50:28)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/20 13:50:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/20 14:12:31)

エロガキ♂19b ◆> 帰還～！   (2024/10/20 14:12:43)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/20 14:14:53)

エロガキ♂16r> とりあえずこっちへ   (2024/10/20 14:15:00)

エロガキ♂16r> というわけでただいま   (2024/10/20 14:15:09)

エロガキ♂19b ◆> お帰り～   (2024/10/20 14:15:21)

エロガキ♂19b ◆> どうだった～？   (2024/10/20 14:15:47)

エロガキ♂16r> 面白かった(？ )よ   (2024/10/20 14:16:03)

エロガキ♂19b ◆> それはよかったよかった、こっちも楽しかったよ～   (2024/10/20 14:16:48)

エロガキ♂16r> ちなみに？つけた理由はこれで質問に対する答えが合ってるかわからんかっただけなので   (2024/10/20 14:17:28)

エロガキ♂19b ◆> なるほどね～   (2024/10/20 14:18:37)

エロガキ♂19b ◆> んま、久しぶりにスタレキャラと遊べたからかなりまんぞく   (2024/10/20 14:19:57)

エロガキ♂16r> おめでとう？   (2024/10/20 14:20:10)

エロガキ♂19b ◆> ありがとう～？   (2024/10/20 14:23:07)

エロガキ♂16r> 30分とかで収めれる人すごいなと思う今日この頃   (2024/10/20 14:23:58)

エロガキ♂19b ◆> わかる、、ほんとすごいよね   (2024/10/20 14:24:48)

エロガキ♂16r> ロル回して考えてってしたら絶対時間足らんのよ   (2024/10/20 14:25:17)

エロガキ♂19b ◆> でも以外と時間はちょうどいいんだよね...足りんけど   (2024/10/20 14:26:14)

エロガキ♂16r> 時間はね、私はもう全部するのは諦めてる()   (2024/10/20 14:26:38)

エロガキ♂19b ◆> 次ヤる時は何かに特化してみようかな～   (2024/10/20 14:27:56)

エロガキ♂16r> 私基本的に前戯だけだわ()   (2024/10/20 14:28:33)

エロガキ♂16r>    (2024/10/20 14:28:38)

エロガキ♂19b ◆> 無理に先にいこうとしない方がいいか～...過去ログ見て参考にさせてもらおー   (2024/10/20 14:30:25)

エロガキ♂16r> 中途半端になるからねぇ……   (2024/10/20 14:30:52)

エロガキ♂19b ◆> ね！！よし、、次は別のを試して見よー   (2024/10/20 14:32:32)

エロガキ♂16r> さて。どーしよ   (2024/10/20 14:44:34)

エロガキ♂19b ◆> もう1勝負してこようかな、、飯も食ったし   (2024/10/20 14:45:16)

エロガキ♂16r> んじゃ、ついて行こうかな   (2024/10/20 14:45:44)

エロガキ♂19b ◆> それじゃ、、いこうー   (2024/10/20 14:45:53)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/20 14:45:54)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/20 14:46:02)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/20 15:44:28)

胡桃 ◆> 休憩だよ〜？私だよ、おやつはねー…用意し忘れちゃった(おやつの時間におやつ無しってどうなんだろ)   (2024/10/20 15:45:48)

おしらせ> ラム ◆r8To80Q7JEさんが入室しました♪  (2024/10/20 15:49:16)

ラム ◆> 私もサボり、、いえ、目を盗んで来たわ   (2024/10/20 15:50:06)

胡桃 ◆> 私…「も」？(それだと私がサボってるみたいじゃない？…間違いではないけど！)やっほー！一体誰の目を盗んできたのかは知らないけど…深くは聞かないよ(サボり仲間だし。)   (2024/10/20 15:51:17)

ラム ◆> 喰らいなさい、(主のお方の口に熱々の蒸かし芋突っ込んで、)焼きたて、、いえ、蒸かしたてよ♪   (2024/10/20 15:52:43)

胡桃 ◆> く、喰らい？はつい！！(熱々は拷問。普通に熱いから、後で舌がヒリヒリしそう。とりあえず一口程度に噛み切ってはふはふ。いや熱いよこれ…何とか咀嚼してお腹に収めた。)…で、出会い頭に酷い拷問…！おやつかもしれないけどさ！   (2024/10/20
15:54:46)

ラム ◆> 拷問じゃないわ、食事よ。ラムの得意料理だからありがたく食べる事ね。もう1つあげるわ(主の御方へ緩い放物線描いて胸の前に熱々の蒸かし芋投げて)   (2024/10/20 15:58:15)

胡桃
◆> あっつ！？あちち…熱いって！得意料理ならもう少し配慮ある渡し方とかしようよ！(飛んできた食べ物、落とすのも悪いし受け取り…いや無理！お手玉みたくお芋さんぽいぽいっと。この時期なら少し冷めるの早いし、適温になるまでお手玉ならぬお手芋。ふーふーして冷ましとこう。)
  (2024/10/20 16:00:47)

胡桃 ◆> …ラムちゃんは得意料理が蒸かし芋なの？   (2024/10/20 16:01:14)

ラム ◆> 受け取れない間抜けには投げないわ。安心なさい(蒸かし芋のお手玉見てからちょっとドヤ顔してて、私の見る目に狂いは無いわって顔して、、)何を隠そう私は蒸かし芋以外は苦手よ   (2024/10/20 16:06:52)

胡桃 ◆> それ絶対自慢できないやつじゃない…？(私のパッシブスキル的に微妙な料理量産する事からは目を逸らしてる。)本当に得意料理…いや、これはもうその道を突き詰めたプロなの？   (2024/10/20 16:10:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/20 16:10:29)

胡桃 ◆> 反り立つ寝不足さんこと19bさんやっほー！   (2024/10/20 16:11:03)

エロガキ♂19b ◆> こんにちは～...おやつタイムと聞いてヒョコっとやってきましたよー   (2024/10/20 16:11:09)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/20 16:11:14)

胡桃 ◆> (ざんねーん！今は4時だよ！)   (2024/10/20 16:11:28)

エロガキ♂16r> ただいま   (2024/10/20 16:11:52)

エロガキ♂19b ◆> (なんだって！？)   (2024/10/20 16:11:53)

胡桃 ◆> 16rさんもこんにちは！   (2024/10/20 16:12:13)

ラム ◆> そうかしら、私は自慢するわよ(これ以外料理はレムの方が上手だもの、)私は蒸かし芋だけなら負けないわよ   (2024/10/20 16:12:49)

ラム ◆> そこの2人も喰らいなさい！(16の方と19の方の開いた口に熱々の蒸かし芋突っ込んで、、)   (2024/10/20 16:13:32)

エロガキ♂16r> あっつ?!(ふかし芋もぐもぐ)美味   (2024/10/20 16:14:17)

ラム ◆> そろそろ呼び戻されているから行くわ。ありがたくこれを食べてラムへの貢物を用意しておきなさい(籠の中のいっぱいの湯気立ってる蒸かし芋置いて、、)   (2024/10/20 16:14:37)

おしらせ> ラム ◆r8To80Q7JEさんが退室しました。  (2024/10/20 16:14:43)

エロガキ♂19b ◆> んん！！あっふ！！んぉ！！(ワタワタしながら必死に咀嚼して)、、うまいけど突っ込まないでって！ってもういない！   (2024/10/20 16:15:10)

エロガキ♂16r> お疲れ様   (2024/10/20 16:15:17)

胡桃 ◆> 籠の中いっぱいに蒸かし芋を置いていくのも珍しいね〜…行ってらっしゃい、気をつけてね。   (2024/10/20 16:15:26)

エロガキ♂19b ◆> いってらっしゃい～   (2024/10/20 16:16:13)

エロガキ♂16r> 美味しいならいいんじゃない？(バターぺとり)   (2024/10/20 16:16:18)

エロガキ♂19b ◆> こういうの何もつけないで食べる派なんだよね～(パクり)   (2024/10/20 16:17:15)

胡桃 ◆> 2人は仲がいいねー、さっきも同伴でお出かけしてたよね？どういう馴れ初めなの？   (2024/10/20 16:19:26)

エロガキ♂19b ◆> いや、全く？   (2024/10/20 16:20:01)

エロガキ♂16r> 馴れ初め？ナニソレオイシイノ？   (2024/10/20 16:20:13)

胡桃 ◆> 2人揃っての即否定！これはきっと裏で何かの繋がりが……あぁ、嘘嘘！冗談だからそんな反応しないでよ！   (2024/10/20 16:20:59)

エロガキ♂16r> よし、今度開拓者が来たらそこの人差し出そう。   (2024/10/20 16:21:39)

エロガキ♂19b ◆> そうだな..そしてそれは今日の夜には叶いそうな予感がする！！なんなら胡桃ちゃんのブロマイド写真でもさしだして...   (2024/10/20 16:22:23)

胡桃 ◆> だってさー、19bさん。   (2024/10/20 16:22:38)

胡桃 ◆> え、私なの？   (2024/10/20 16:23:06)

エロガキ♂19b ◆> 何を当たり前のことを...胡桃ちゃん以外に誰がいると思うの～？   (2024/10/20 16:23:39)

エロガキ♂16r> そーだそーだ   (2024/10/20 16:24:52)

胡桃 ◆> えー？私ってそんなに魅力的〜？(うふんって言っておけばいいの？)うーん…私は今日遊びに行くかわかんないしなー…。私を差し出すより、大層ご立派なモノを持ってる子とかショタくんの方がいいんじゃない？   (2024/10/20 16:26:41)

エロガキ♂16r> けど多分あの開拓者のお気に入りって胡桃だよね   (2024/10/20 16:27:19)

エロガキ♂19b ◆> 星ちゃんはショタには安間興味ないみたいよ～   (2024/10/20 16:27:19)

胡桃 ◆> そういう話って本人居ないところでしちゃっていいものなの？(私がお気に入り？…匂いとか堪能はされてるね。)あー！せっかくだから2人に聞きたい気があるんだけど〜…いいかな〜？(にや、にや…。)   (2024/10/20 16:29:14)

エロガキ♂19b ◆> たしかに...うん、本人が来たときに存分に胡桃ちゃんを差し出すことにしようそうしよう！それで、聞きたいこととは？   (2024/10/20 16:30:11)

胡桃 ◆> ×気が〇ことが   (2024/10/20 16:30:13)

胡桃 ◆> 人身売買禁止！あの世に…送っちゃうよ…！(無駄に低音。ちょっとキメ顔。似合うかな？)   (2024/10/20 16:31:08)

エロガキ♂16r> 聞くだけならどーぞ、答えるとは言ってない   (2024/10/20 16:31:48)

エロガキ♂19b ◆> なかなか聞けない低い声、、背中がゾクッとしたぁ...   (2024/10/20 16:32:32)

胡桃 ◆> 正直私より旅人の方がスタイル的にも？衣装的にも？惹かれる？(悪気はない。ごめんね旅人…でもほら…その衣装は男の子の目を奪うと思うんだ、私は。)   (2024/10/20 16:32:35)

エロガキ♂16r> それに答える前に真面目な質問するなら真面目に答えた方がいい？ネタ回答の方がいい？   (2024/10/20 16:33:26)

胡桃 ◆> えーっと…質問に質問で返されてもって感じだけど…好きな方でいいよ？   (2024/10/20 16:34:31)

エロガキ♂16r> んじゃ真面目に。   (2024/10/20 16:36:37)

エロガキ♂16r> ひかれるのはひかれる   (2024/10/20 16:36:54)

エロガキ♂16r> けどキャラ自体に貴賎はないでしょ   (2024/10/20 16:37:08)

胡桃 ◆> 思ったより回答が重いって！   (2024/10/20 16:38:27)

エロガキ♂16r> だから聞いたんだよ！   (2024/10/20 16:38:37)

エロガキ♂19b
◆> 惹かれる惹かれないで答えるならどっちも同じぐらい魅力的よ、、旅人ちゃんはまぁ、全体的に際どい衣装で胸も若干あって可愛い...目は確かに引かれる、、胡桃ちゃんは上全体を覆うような服装で旅人に比べたら確かに露出は少ない....ただ！！！！胡桃ちゃんにはその！生足がある！！上半身の防御力に対して圧倒的に足りてない下半身の防御力、正直目でおうだけならずっと生足見てるよ！なんてったって俺は足フェチだからな！！、、つまり両方ともに圧倒的な魅力があって、どっちかに過度に引かれるとかはない、、というか俺は女の子皆愛してるからな！！(ドヤ！)
  (2024/10/20 16:39:39)

胡桃 ◆> あー、はいはい…私が悪かったよー。(むすー。)   (2024/10/20 16:39:56)

エロガキ♂19b ◆> 長文投稿～(みょんみょんみょん～)   (2024/10/20 16:40:21)

エロガキ♂16r> ネタで返してよかったんならちゃんと分かりやすくネタで返してたのに()   (2024/10/20 16:42:14)

胡桃 ◆> お、おぉ…凄い。何が凄いって19bさんは熱量が凄い！！そしてさらっとこの質問で自分のフェチを語ってるし…脚フェチねー…違う！この人は単純に女の子が好きな人だ…！(怖…少し距離置こう。あと膝掛け用意した方がいい？目の毒？)   (2024/10/20
16:43:47)

エロガキ♂16r> 多分言っちゃいけないこと言うなら聞く人間を間違ってる   (2024/10/20 16:44:12)

胡桃 ◆> 16r君少し個室にいいかな？   (2024/10/20 16:44:47)

エロガキ♂19b ◆> そりゃそうだー！俺に聞くのは間違いだぞ、、ちなみに今までしてきた女の子なら皆好きなとこ語れるしね～   (2024/10/20 16:45:00)

エロガキ♂16r> ほい？   (2024/10/20 16:45:01)

エロガキ♂16r> お説教かしら   (2024/10/20 16:45:11)

胡桃 ◆> い、い、か、ら！お部屋はとってきたよ！   (2024/10/20 16:45:42)

エロガキ♂19b ◆> いってらっしゃい～   (2024/10/20 16:45:56)

胡桃 ◆> 19bさんは守備範囲広いね…ちょっと行ってくるね〜！   (2024/10/20 16:46:16)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/20 16:46:21)

エロガキ♂19b ◆> 俺は胡桃ちゃんの生足写真でも見てよ～   (2024/10/20 16:46:24)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/20 16:46:26)

エロガキ♂19b ◆> 静かになったなぁ...   (2024/10/20 17:07:06)

エロガキ♂19b
◆> 好きな原神キャラ発表ドラゴン！！　第3位　タルタリヤ、、イケメン！それにつきる　第2位召使、、女性の方とは思えないような威厳に、、ふくよかな胸の膨らみ、身長が高いようにみえて実はヒールがすごい高いっていうのが最高によい、子供たちのために動いてる姿もほんと見てて惚れちゃうよね～　　第1位、、隊長　、、はい、まじで良き...女性キャラを押さえて1位にランクインしてしまうほどの圧倒的なかっこよさ！そして何よりも仲間思いなところな、、若干お母さん属性もありそうなところもとてもよい！プレイヤブルしたら絶対ひきます
  (2024/10/20 17:27:05)

エロガキ♂19b ◆> さて、、とんでもない爆弾をおいてしまったところでそろそろ、失礼するぞ！！   (2024/10/20 17:42:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/20 17:42:03)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/20 18:17:41)

パンドラ ◆> ン、、少し落ち着きましたでしょうか、、(伸び、、)   (2024/10/20 18:18:12)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/20 18:22:08)

パンドラ ◆> あら、、今日はよくお会いになられますね？   (2024/10/20 18:22:24)

エロガキ♂18Z> (お風呂上がりのほこほこ)   (2024/10/20 18:22:28)

パンドラ ◆> こんばんは、   (2024/10/20 18:22:34)

エロガキ♂18Z> こんばんは〜。風呂上がりに開いたら居られたので〜(ふきふき)   (2024/10/20 18:23:08)

エロガキ♂18Z> とあまあ、お疲れ様ですよ〜(頭にタオルマキマキ)   (2024/10/20 18:24:02)

パンドラ ◆> おふこの時お風呂はとても心地の良いものですからね、、お疲れ様です、、ですがよく冷えますのでしっかりと拭って下さいね、、？   (2024/10/20 18:25:09)

エロガキ♂18Z> ですね〜。湯船に浸かると眠気が程よく来たりしますからね〜。パンドラさんの方がお疲れ様ですぜ…。あぁ、そこは大丈夫です〜。温度50℃のシャワーでしっかり温まっているので(ぐっ)   (2024/10/20 18:27:18)

