/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月12日 23時32分 ～ 2024年10月13日 03時48分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エキドナ ◆> 窓から出入りする不審者ならすぐ治るよ   (2024/10/12 23:32:33)
エロガキ♂12Ω ◆> 雑に始まる黒ひげ危機一髪   (2024/10/12 23:37:03)

エロガキ♂16r> 黒ひげかぁ、当たったら勝ちじゃん(公式ルール)   (2024/10/12 23:37:25)

エキドナ ◆> 自動追尾だったのかもしれないね   (2024/10/12 23:37:26)

エロガキ♂19u> 16r君に振られたので泣きながらお兄さんの運命を決めますよ、わんわん。   (2024/10/12 23:37:26)

エロガキ♂19u> 1d100 → (75) = 75  (2024/10/12 23:37:36)

エロガキ♂19u> ……(←)   (2024/10/12 23:37:53)

エロガキ♂12Ω ◆> ちっ、無事回避か   (2024/10/12 23:38:02)

エキドナ ◆> ここに回避を望まないショタが居るね、、   (2024/10/12 23:39:34)

愛宕> さて、ごめんなさい。お姉さん日付が変わっちゃうからシャワーを済ませてくるわね～♪（時計見上げ   (2024/10/12 23:39:37)

エロガキ♂19u> 行ってらっしゃいませ〜。   (2024/10/12 23:39:47)

エロガキ♂16r> いってらー   (2024/10/12 23:39:48)

エキドナ ◆> お疲れ様、またどこかで、、   (2024/10/12 23:40:01)

エロガキ♂12Ω ◆> いってらっさーい。お疲れ愛宕姉ちゃんー   (2024/10/12 23:40:04)

愛宕> それじゃ、エキドナさんは、また今度もオナホ友達しましょうね～   (2024/10/12 23:40:05)

おしらせ> 愛宕さんが退室しました。  (2024/10/12 23:40:11)

エキドナ ◆> ボクは玩具になったつもりは無いんだが、、言い逃げされてしまったか   (2024/10/12 23:40:35)

エロガキ♂12Ω ◆> いやー、だって何か起きるか何も無いかって言われると、ね？   (2024/10/12 23:40:44)

エロガキ♂19b ◆> いってらっしゃい～   (2024/10/12 23:41:24)

エロガキ♂19u> 寒いから押し入れ篭もります(ﾋﾟｼｬｯ)   (2024/10/12 23:41:36)

エキドナ ◆> (黙って包丁着き箒でどす、)   (2024/10/12 23:42:00)

エロガキ♂12Ω ◆> (押入れの中にバルサンすっ)   (2024/10/12 23:42:04)

エロガキ♂16r> (ウィッカーマンを入れようとしたけどやめよ)   (2024/10/12 23:42:29)

エキドナ ◆> ここ殺意高くないかい？   (2024/10/12 23:42:32)

エロガキ♂16r> 1番最初に刺した人がなんか言ってる   (2024/10/12 23:42:51)

エロガキ♂12Ω ◆> (真っ先に刺そうとした姉ちゃんがそれ言う？)   (2024/10/12 23:42:56)

エロガキ♂19u> 向けられる殺意僕だけな件についてはいかがかな？裁判長！   (2024/10/12 23:42:57)

エキドナ ◆> はて、なんの事やら   (2024/10/12 23:43:13)

エロガキ♂16r> 被告人は静粛に   (2024/10/12 23:43:31)

エロガキ♂19u> (16r君天使かな？め、、めざ……目覚め……)   (2024/10/12 23:43:37)

エロガキ♂19u> ア、ハイスミマセン。   (2024/10/12 23:43:43)

エロガキ♂12Ω ◆> え、19兄ちゃん俺にも刺されろって？酷ーい   (2024/10/12 23:43:58)

エロガキ♂19u> (裁判長だったぁぁあ……！)   (2024/10/12 23:43:58)

エキドナ ◆> 判決はボク以外有罪。10kmくらいウサギ跳びしてるといいよ   (2024/10/12 23:44:09)

エロガキ♂16r> 入れようとしてたもの的に問題しかないが   (2024/10/12 23:44:18)

エロガキ♂16r> せんせー、ウサギ跳びは現代体育だと腰を潰すからって禁止になってます   (2024/10/12 23:44:54)

エロガキ♂19u> 調べたらとんでもなかったのですがそれは……   (2024/10/12 23:45:10)

エロガキ♂12Ω ◆> 異議ありー。俺は幼気なお子様ショタなのでそんな体力ありませーん。もっと優しくしてくださーい。   (2024/10/12 23:45:34)

エロガキ♂16r> そだぞ   (2024/10/12 23:45:38)

エキドナ ◆> じゃあ30年のトイレとお風呂掃除でいいかな   (2024/10/12 23:46:17)

エロガキ♂19b ◆> 優しいようなきついような罰だなぁそれは   (2024/10/12 23:46:53)

エロガキ♂16r> それもされでやだなぁ。掃除したらえらいことになる()   (2024/10/12 23:47:00)

エロガキ♂12Ω ◆> じゃあ俺お風呂掃除担当でー。   (2024/10/12 23:47:06)

エロガキ♂12Ω ◆> (姉ちゃん達のアンダーヘア狙い)   (2024/10/12 23:47:26)

エロガキ♂19b ◆> (怖！？)   (2024/10/12 23:48:07)

エキドナ ◆> 男子寮のお風呂掃除でいいね、彼らのアンダーヘアを狙いたまえ   (2024/10/12 23:48:15)

エロガキ♂12Ω ◆> (あ、でも毛単体じゃあれか。やっぱり生えてる現場があってこそだ。)   (2024/10/12 23:48:34)

エロガキ♂12Ω ◆> 三人がかりで男子風呂だけは効率悪くないー？   (2024/10/12 23:49:28)

エロガキ♂16r> (それはそうなんだけど)   (2024/10/12 23:49:38)

エロガキ♂19u> 大変だね……(他人事、)   (2024/10/12 23:49:57)

エキドナ ◆> 密室で男子が3人、何も起きるはずもなく、、かな   (2024/10/12 23:49:58)

エロガキ♂16r> 12が1人でしたらいいんじゃない？   (2024/10/12 23:50:01)

エロガキ♂19b ◆> 真夏の夜は始まらないか   (2024/10/12 23:50:27)

エロガキ♂19u> 秋の夜長だよ   (2024/10/12 23:50:40)

エロガキ♂12Ω ◆> エキドナ姉ちゃん以外が有罪判決だからー。じゃあ16兄ちゃんは男子トイレ一人でする？   (2024/10/12 23:50:57)

エロガキ♂19b ◆> 何もしらない俺も有罪なの！？   (2024/10/12 23:51:17)

エロガキ♂19u> (男子トイレで一人でする！？)   (2024/10/12 23:51:22)

エロガキ♂16r> そもそも俺も何もしてないんだが   (2024/10/12 23:51:42)

エロガキ♂19u> いや押し入れ放火されてるんだけど！！！   (2024/10/12 23:52:01)

エロガキ♂16r> 未遂にしたでしょうが！   (2024/10/12 23:52:15)

エロガキ♂19u> この魔女様はよォ！！！   (2024/10/12 23:52:15)

エキドナ ◆> 90秒かかったね。   (2024/10/12 23:52:30)

エロガキ♂12Ω ◆> 赤信号皆で渡れば集団交通事故だね！   (2024/10/12 23:52:32)

エロガキ♂19u> 計られてるの笑っちゃうんスよ。   (2024/10/12 23:52:45)

エロガキ♂19b ◆> ただの大惨事なんだよなぁ..   (2024/10/12 23:52:57)

エキドナ ◆> 棺を焼くように焼いてあげてるだけさ   (2024/10/12 23:53:29)

エロガキ♂16r> 敬礼しとくね   (2024/10/12 23:53:33)

エロガキ♂12Ω ◆> あれ怖くないって言うけど、渡られてる側はいい迷惑だよね   (2024/10/12 23:53:44)

エロガキ♂19b ◆> そもそと赤信号を渡るな(定期)   (2024/10/12 23:54:12)

エロガキ♂16r> それもそう   (2024/10/12 23:54:20)

エロガキ♂12Ω ◆> 後は石橋を叩いて渡るとかも、石橋さん(君)可哀想じゃん(誰？)   (2024/10/12 23:54:56)

エロガキ♂16r> 石橋さんが何したって言うんだ   (2024/10/12 23:55:14)

エロガキ♂19u> 棺が押し入れとなった。(享年19u歳)   (2024/10/12 23:55:14)

エキドナ ◆> それを言ったら薮さんから棒は意味が深いのかな？   (2024/10/12 23:55:34)

エロガキ♂12Ω ◆> 一緒にヘビも出てくるね   (2024/10/12 23:56:14)

エロガキ♂16r> んー、薮さんの性別しだいじゃない？知らんけど()   (2024/10/12 23:56:17)

エロガキ♂16r> つまり薮さんはキメラ   (2024/10/12 23:56:27)

エキドナ ◆> 棚さんからぼた餅をもらったらお礼をしておくんだよ   (2024/10/12 23:56:55)

エロガキ♂12Ω ◆> お礼参りか   (2024/10/12 23:57:08)

エロガキ♂16r> 丑の刻参りかもしれん   (2024/10/12 23:57:16)

エロガキ♂12Ω ◆> 現代風に言えば馬の耳に念仏ってASMRって事？   (2024/10/12 23:59:00)

エロガキ♂19u> よし   (2024/10/12 23:59:07)

エロガキ♂19u> ASMR……()   (2024/10/12 23:59:39)

エロガキ♂16r> どうなんだろ   (2024/10/12 23:59:49)

エロガキ♂12Ω ◆> 御経聞いてると眠くならない？   (2024/10/13 00:00:33)

エロガキ♂16r> それは多分興味が無いからじゃないかな()   (2024/10/13 00:01:49)

エロガキ♂19u> 命が狙われている……   (2024/10/13 00:02:03)

エキドナ ◆> 3分だね   (2024/10/13 00:02:21)

エロガキ♂19u> 死にとうないので帰っていいか！？(窓から、)   (2024/10/13 00:02:23)

エロガキ♂12Ω ◆> 木魚が8ビート刻むドラムで銅鑼がシンバル、お坊さんの低いボーカルと全部合わせて法事はお坊さんのワンマンライブ(罰あたり)   (2024/10/13 00:02:26)

エロガキ♂19u> カップ麺作ってたのだよ(大嘘、でも夕飯だった。)   (2024/10/13 00:02:40)

エキドナ ◆> 普通に部屋に居ないからじゃないかな？   (2024/10/13 00:02:48)

エキドナ ◆> ボクも今日何も食べてないね、、   (2024/10/13 00:03:11)

エロガキ♂16r> 食べよう、今すぐ   (2024/10/13 00:03:20)

エキドナ ◆> 日を跨いだばかりだからね   (2024/10/13 00:03:33)

エロガキ♂12Ω ◆> 下の口だけで栄養補給出来ないぞー？   (2024/10/13 00:03:42)

エロガキ♂19u> 怒りました。今からありったけの食レポ提出します。   (2024/10/13 00:03:46)

エロガキ♂19u> (なるほど！)   (2024/10/13 00:04:03)

エロガキ♂19u> あ！？   (2024/10/13 00:04:05)

エロガキ♂19u> シンデレラの時間すぎちゃったじゃん！！   (2024/10/13 00:04:18)

エロガキ♂16r> 情緒ジェットコースターすぎんか？   (2024/10/13 00:04:20)

エキドナ ◆> 1人で楽しそうだね   (2024/10/13 00:04:27)

エロガキ♂19u> 情緒の快速列車だからね   (2024/10/13 00:04:40)

エロガキ♂12Ω ◆> じゃあ今から夜食飯テロに好きなご飯とかつまみの話する？   (2024/10/13 00:04:44)

エロガキ♂19u> 居酒屋か！？(がた、)   (2024/10/13 00:04:55)

エロガキ♂16r> 新快速じゃないならセーフ   (2024/10/13 00:04:59)

エロガキ♂16r> んー、堅揚げポテトかなあ、ツマミは   (2024/10/13 00:05:18)

エロガキ♂19u> (うん？今一人楽しそうとか言われてた？気のせい？？)   (2024/10/13 00:05:20)

エキドナ ◆> そうだね、、飯テロか、、この時間に食べたくなるのはご飯ものより麺類かな   (2024/10/13 00:06:01)

エキドナ ◆> 麺類の、、うどんとか美味しそうじゃないかな   (2024/10/13 00:06:18)

エロガキ♂16r> 素うどんでもこの時間ならあるいは   (2024/10/13 00:06:38)

エロガキ♂19b ◆> さーて、、そろそろ自分も落ちようかな～、まったく話しにはついていけなかったけど、これで失礼する！！   (2024/10/13 00:06:39)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/13 00:06:41)

エロガキ♂12Ω ◆> 麺類かー。チンした冷凍うどんに卵と醤油、松茸のお吸い物の奴で釜玉うどんしたら美味しいぜー。   (2024/10/13 00:06:57)

エキドナ ◆> 温かいお揚げと、コシのあるうどん、柔らかい匂いのお出汁。   (2024/10/13 00:07:01)

エロガキ♂19u> 19bの兄様お疲れさま、今度は得意なお話し聞かせてたくださいませー。   (2024/10/13 00:07:11)

エキドナ ◆> これだけでも絶品じゃないかな   (2024/10/13 00:07:12)

エロガキ♂16r> そういえばセブンにクリームうどん的なやつがあったね   (2024/10/13 00:07:21)

エキドナ ◆> お疲れ様だよ   (2024/10/13 00:07:23)

エロガキ♂12Ω ◆> 19b兄ちゃんお疲れー。   (2024/10/13 00:07:23)

エロガキ♂16r> お疲れ様   (2024/10/13 00:07:30)

エロガキ♂19u> (自分も19だからお疲れされとこ…)   (2024/10/13 00:07:55)

エキドナ ◆> なんと言うか、、混ぜて食べるものは納豆以外あまり食べないね   (2024/10/13 00:07:57)

エロガキ♂16r> まぁ、この時間的にはそれで良き   (2024/10/13 00:08:02)

エロガキ♂16r> おや、そうなのね   (2024/10/13 00:08:06)

エロガキ♂12Ω ◆> じゃあエキドナ姉ちゃんねるねるねるね、粉キメるのかー   (2024/10/13 00:08:44)

エロガキ♂16r> そもそも食べてないんじゃないかね   (2024/10/13 00:09:06)

エキドナ ◆> ねる、、あの駄菓子食べたことないんだよ   (2024/10/13 00:09:22)

エロガキ♂16r> パスタもあんまり食べてなさそう   (2024/10/13 00:09:31)

エキドナ ◆> パスタは好きだよ   (2024/10/13 00:09:44)

エロガキ♂12Ω ◆> 俺も食べたことないなー   (2024/10/13 00:09:47)

エロガキ♂16r> おや。パスタはセーフだった   (2024/10/13 00:10:03)

エキドナ ◆> 生パスタがローソンは美味しかったかな   (2024/10/13 00:10:06)

エロガキ♂16r> ないんかい   (2024/10/13 00:10:08)

エロガキ♂19u> お出かけの民。皆エキドナママの言うこと聞くんだよ。   (2024/10/13 00:10:43)

おしらせ> エロガキ♂19uさんが退室しました。  (2024/10/13 00:10:48)

エロガキ♂16r> この時間から?!   (2024/10/13 00:10:55)

エキドナ ◆> 今からかい？   (2024/10/13 00:11:07)

エキドナ ◆> 寒いから暖かくするのと防犯ブザーを忘れないようにしたまえ   (2024/10/13 00:11:31)

エロガキ♂12Ω ◆> わー、不良だー。警察に補導されたらインタビューでこの人ならヤると思ってましたって答えとこ。いってらー。   (2024/10/13 00:11:39)

エロガキ♂16r> ついでにブザーを鳴らされないように   (2024/10/13 00:12:17)

エキドナ ◆> ボクは君たちの母親では無いのだけどね、、   (2024/10/13 00:12:20)

エキドナ ◆> それは手遅れだろう。窓から出入りするのだし   (2024/10/13 00:12:36)

エロガキ♂16r> よく知らないお姉さんだと思ってる   (2024/10/13 00:12:37)

エロガキ♂12Ω ◆> 寧ろママはママでも仕込まれる側だよね   (2024/10/13 00:12:56)

エキドナ ◆> 仕込むのは構わないが、責任は取りたまえよ？   (2024/10/13 00:13:23)

エロガキ♂16r> それはそう   (2024/10/13 00:13:41)

エロガキ♂12Ω ◆> はーい。元気で可愛い赤ちゃん産んでねー。(お腹なでなで)   (2024/10/13 00:13:53)

エキドナ ◆> お小遣いは毎月300円でいいね？   (2024/10/13 00:14:04)

エロガキ♂16r> 12の方ならいいんじゃない？   (2024/10/13 00:14:27)

エキドナ ◆> 生涯だよ   (2024/10/13 00:14:49)

エロガキ♂12Ω ◆> せめて後15倍は欲しいです。   (2024/10/13 00:14:51)

エロガキ♂12Ω ◆> 後食費交通費雑費は別支給で。   (2024/10/13 00:15:20)

エキドナ ◆> 減給制だからた増えないよ、減りはするけどね   (2024/10/13 00:15:24)

エロガキ♂12Ω ◆> えー、年に何回ボーナスあるの？   (2024/10/13 00:16:07)

エキドナ ◆> 食費は草でも食べられるから無料だね。交通費はヒッチハイクすれば掛からないね(←)   (2024/10/13 00:16:15)

エロガキ♂16r> てかエキドナ様って妊娠するの？無視できそうだけど   (2024/10/13 00:16:21)

エキドナ ◆> 30年に1度追加で10円のボーナスで構わないかな？   (2024/10/13 00:16:53)

エロガキ♂16r> 5円チョコ買えるじゃん   (2024/10/13 00:17:11)

エキドナ ◆> しないだろうね、既に死んでいる身だからね   (2024/10/13 00:17:19)

エロガキ♂12Ω ◆> 昔の1円貨幣レベル価値ならそれでよし   (2024/10/13 00:17:31)

エロガキ♂16r> あ、死んでるんだ。それは知らんかった   (2024/10/13 00:17:40)

エキドナ ◆> 精神体と言う便利なものだよ、ボクは   (2024/10/13 00:17:40)

エキドナ ◆> ネタバレしてしまったかな、すまないね   (2024/10/13 00:17:54)

エロガキ♂12Ω ◆> じゃあメメントモリで純愛だね。   (2024/10/13 00:18:09)

エロガキ♂16r> んや、気にしてないから大丈夫   (2024/10/13 00:18:18)

エキドナ ◆> 触れるし話せるし食事もできる精神体だよ   (2024/10/13 00:18:28)

エロガキ♂16r> 会話ができるならいいんじゃないかな   (2024/10/13 00:19:01)

エキドナ ◆> 死を恐れることなかれ、、だったかな。それと純愛は分からないね   (2024/10/13 00:19:43)

エロガキ♂16r> なるほどね？   (2024/10/13 00:20:15)

エキドナ ◆> ボクは困っていないからね。   (2024/10/13 00:20:22)

エロガキ♂12Ω ◆> どっちかと言うと死が二人を別つとも、の方かなー   (2024/10/13 00:20:48)

エロガキ♂16r> 精神体で摂取したカロリーってどこ行くんだろう、という純粋な疑問   (2024/10/13 00:20:49)

エロガキ♂12Ω ◆> それに精神体なら見掛けって結構自由効きそうだよね   (2024/10/13 00:23:13)

エキドナ ◆> すまないね、少し外していたよ   (2024/10/13 00:25:05)

エキドナ ◆> ボクと純愛は結び付かないから期待はしない方がいい   (2024/10/13 00:25:27)

エキドナ ◆> ボクはボクが淹れた紅茶しか口にしないからね、僕の中で循環しているんじゃないかな？ま   (2024/10/13 00:26:20)

エキドナ ◆> 見かけはこの通りさ(紺のブレザーにグレーのスカートひら、)   (2024/10/13 00:27:07)

エロガキ♂12Ω ◆> そうかねー？エキドナ姉ちゃん優しいし似合うけどなー純愛とか   (2024/10/13 00:27:35)

エキドナ ◆> ボクは知識欲の権化でしかないよ、興味が無くなればはいさよならだ   (2024/10/13 00:28:33)

エキドナ ◆> さて、、ボクも少し出てくるよ   (2024/10/13 00:28:45)

エキドナ ◆> またどこかで   (2024/10/13 00:28:55)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/13 00:28:58)

エロガキ♂12Ω ◆> あいあい、お疲れー。   (2024/10/13 00:29:15)

エロガキ♂12Ω ◆> 16兄ちゃんは寝ちゃったのかね？俺もどっか出てくるかなー。じゃあのー。   (2024/10/13 00:29:43)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/13 00:29:52)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16rさんが自動退室しました。  (2024/10/13 00:46:18)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/13 00:49:26)

シャーロット・レイス ◆> こんばんは   (2024/10/13 00:49:49)

シャーロット・レイス ◆> 多分こんな時間に誰も来ないかも知らないけど   (2024/10/13 00:50:05)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/13 00:51:55)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/13 00:51:58)

エロガキ♂13HL ◆> こんばんは♪   (2024/10/13 00:52:01)

シャーロット・レイス ◆> こんばんは   (2024/10/13 00:52:14)

エロガキ♂14C ◆> こんばんはー……って秒差かぁ、びっくりした。シャーロットおねーさんは先日ぶりです。   (2024/10/13 00:52:28)

エロガキ♂13HL ◆> 初めましてシャーロットさん♪(ぺこっ)   (2024/10/13 00:52:50)

エロガキ♂13HL ◆> 14Cさんもこんばんは♪   (2024/10/13 00:53:13)

シャーロット・レイス ◆> 今日は雑談だけですけど。(多分)   (2024/10/13 00:54:54)

エロガキ♂14C ◆> んー？このままどこかへ連れてくと思われたのかなー。おねーさんが乗り気ならともかく、そーでないなら無理強いなんてすることないしっ。   (2024/10/13 00:55:54)

エロガキ♂13HL ◆> ふふっ…大丈夫ですよ〜僕はちょっともう少しサイコロ振りたいので…少し休憩したらもしかしたらお部屋いどーするかもですね♪もちろん無理強いはしないのでご安心を♪…おふたりとも…紅茶飲みます？   (2024/10/13 00:57:29)

エロガキ♂14C ◆> 僕はいいかなー、多分今飲んだら寝付けなくなる気がするから。気持ちだけもらっとくよ。   (2024/10/13 00:58:35)

シャーロット・レイス ◆> まあ、ゆっくりとしたいときもありますからね。(無防備に延びをしていていて)なら私はもらおうかしらね。   (2024/10/13 00:59:17)

エロガキ♂14C
◆> 遊びたい気持ちもなくもないんだけど、今日は殆ど空振りに終わっちゃってるんだよねー……。ま、そういう日もあるから仕方ないんだけどさ。だから、ここでお話したり添い寝してくれるおねーさんをさがそーかなって心算だよ。（伸びをするシャーロットおねーさんの傍へと歩み寄り、腰を下ろしつつ欠伸を漏らし。）
  (2024/10/13 01:01:56)

エロガキ♂13HL ◆> 分かりました♪シャーロットさんどうぞ……♪…深夜に食べても少し罪悪感の少ない…低糖質クッキーも良ければ♪(そう言って準備すればシャーロットさんの目の前に紅茶とお菓子を用意して)   (2024/10/13 01:02:15)

エロガキ♂13HL ◆> 14Cさん…そういう日もありますよね…。待っても誰も来ない日もあればすぐ来る日も……   (2024/10/13 01:02:55)

シャーロット・レイス ◆> そうね。そんな日もあるわね。添い寝ね…(そばに来る13には微笑んでは、目の前に用意されたクッキーに手を伸ばして一口食べて)上手いなこれ…   (2024/10/13 01:04:43)

エロガキ♂14C
◆> 僕は基本空振りで終わるのも仕方ないと思ってるかな。僕の罰ゲームは無茶苦茶はしないから、サレたいおねーさんたちからしてみれば物足りないだろーし。（自虐気味に笑いを漏らしつつ、両肩を竦めて。）そ、添い寝。えっちなことをしたい時もあれば、おねーさんたちの温もりが欲しくなったりねっ。（なんてたって甘えん坊だから、と笑って見せて。）
  (2024/10/13 01:05:43)

エロガキ♂13HL ◆> ふふっ…僕のお手製クッキーです♪良ければお持ち帰りされますか？(袋に詰めたものをご用意して)   (2024/10/13 01:06:11)

エロガキ♂13HL ◆> さてと…少しだけ…昨日お世話になった方に恩返しをしてきますね♪(戻って来れたら戻ってきますので♪)一旦失礼しました……♪(シャーロットさんの傍に袋を用意して)   (2024/10/13 01:07:45)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/13 01:07:51)

エロガキ♂14C ◆> あー、なるほどね。いってらっしゃい。（慌ただしいな、なんて感想を抱きつつ13HLくんを見送って。）   (2024/10/13 01:08:32)

シャーロット・レイス ◆> ふ～んそうなのね。(13を見ては、頭をなでていて)いろんな人がいるからな。ここには(少し考えた風な顔をしては)勝ったらどんなことをしてるのかな。   (2024/10/13 01:09:23)

エロガキ♂14C
◆> どんな事をしてるか、って？ここで教えちゃっていいのかなっ？（聞いて顔真っ赤になったりしない？なんて少し揶揄うような問い掛けをしつつ、少しの思案の後に。）そーだね……それこそ、僕はおっぱいが、特に大きいのが好きでね？顔埋めて撫でてもらったり、吸わせてもらったり、挟ませて貰ったり……って感じかな？（おねーさんもおっぱい大きいよね？なんて煽りつつも、手は伸ばさずにじーっと見つめるのみ。）
  (2024/10/13 01:12:24)

シャーロット・レイス ◆> 知らん。ただ気になっただけだ…(なぜ聞いたかは知らん)ふ～ん。そうかそんなに…好きなのか…(少し頬を紅くしては少し13から目を逸らしてはどうするか悩んでいると、無意識に手を組んで下からの持ち上げるような形になってしまって)  
(2024/10/13 01:16:48)

エロガキ♂14C
◆> うん、だーいすきだよっ？添い寝お願いするときだっておっぱい枕でおねんねさせて貰うようにするくらいだから、ねっ。（向けた視線からは逸らして顔を赤くする様子にやっぱり、なんて愉しげに笑いを漏らして。わざとなのか無意識なのか、胸元を強調するような腕を組む姿勢に敢えて真横から顔を近づけて。）ふーん……やっぱり大きくて柔らかそーだねっ。うーん、ここでは触らないのが残念だなーっ。（あと、僕は13じゃなくて14だね、とぼそり。）
  (2024/10/13 01:21:21)

シャーロット・レイス ◆> 【その間違いは、本当に申し訳無いです。】   (2024/10/13 01:23:14)

エロガキ♂14C ◆> 【そんなに気にしなくていいよー、ドンマイドンマイっ。】   (2024/10/13 01:25:36)

シャーロット・レイス ◆> そうなのか…(この胸を枕にして…相手の言葉に自信でしたらから手で持ち上げては)そうだろ…(14の問に少し嬉しそうにしては)触りたいのか?(煽るかのように)   (2024/10/13 01:27:10)

エロガキ♂14C
◆> むー、おねーさん僕が触れないからって揶揄ってるのー？（わざとらしく胸元の膨らみを持ち上げて見せるシャーロットおねーさんに向けて、頬を膨らませて。）触っていいの？……ホントはね、お触りより上が禁止だから、おねーさんが許してくれるなら僕は触っちゃうよっ？（更に煽る様子にじりじりと距離を詰めては手を伸ばして、ギリギリ触れない位置で揉むような素振りをして見せて。）
  (2024/10/13 01:30:14)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/13 01:31:32)

