/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 06時26分 ～ 2024年10月19日 11時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂14Y ◆> アカネは余んないだろ、オレなんか即指名するだろうし   (2024/10/19 06:26:22)
新条アカネ> ルミネちゃん！   (2024/10/19 06:35:32)

エロガキ♂15KS> 実際クラリスちゃんの言う通り、ヤっていいのはやられる覚悟ありだよね。どっちが勝つかのVSなわけだから。   (2024/10/19 06:35:34)

星 ◆> （抱きつくのはやめて隣に座るだけにした。蛍の服は抱きついてたら変な気分なる、）   (2024/10/19 06:35:51)

エロガキ♂15KS> まぁ、女の子側が鍾離するとどうしようって悩む人もいるんだけど。   (2024/10/19 06:36:04)

エロガキ♂15KS> 原神変換になっちゃった……（落ちる隕石）   (2024/10/19 06:36:18)

エロガキ♂19b ◆> 先生！！   (2024/10/19 06:36:35)

蛍 ◆> (胡桃もやってたし私も…。むむ、って念じて。別室に呼びかけするのって不自然に見えるけど、新鮮かも？＞エキドナさん)   (2024/10/19 06:36:37)

エロガキ♂14Y ◆> こんな場所で落とすなぁ！？   (2024/10/19 06:36:39)

新条アカネ> プロレスとおんなじだね。受けも責めも上手くこなせる人はここでめっちゃモテそう   (2024/10/19 06:36:49)

蛍 ◆> 私が来た途端(？)星から何か邪なものを感じたような…(あと英名で呼ばれてた？)   (2024/10/19 06:37:38)

クラリス ◆> さて、そろそろ戦ってきます（物騒な。）   (2024/10/19 06:37:44)

星 ◆> いってらっしゃい、クラリス。   (2024/10/19 06:37:56)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/19 06:38:01)

エロガキ♂15KS> 頑張れー、クラリスちゃん！最カワ！   (2024/10/19 06:38:06)

新条アカネ> いってらっしゃーい、がんばってねー！   (2024/10/19 06:38:17)

エロガキ♂14Y ◆> お、負けて犯されるに一票(唐突)   (2024/10/19 06:38:23)

エロガキ♂14Y ◆> いってら〜   (2024/10/19 06:38:27)

星 ◆> ……………私最近この辺でクラリスのお母さん見たよ。（見送ってからぽそり、）   (2024/10/19 06:38:29)

エロガキ♂18D ◆> 行ってらっしゃいませ   (2024/10/19 06:38:39)

エロガキ♂19b ◆> いってらっしゃい～！15ksもチュートリアルついでにクラリスちゃんとパコって来たらどうよ？   (2024/10/19 06:38:45)

エロガキ♂15KS> ふしだらな母だと笑いなさい！！！   (2024/10/19 06:38:45)

蛍 ◆> バトルジャンキークラリスさん、行ってらっしゃい。(旅人は静かに手を振った。)   (2024/10/19 06:38:48)

エロガキ♂19b ◆> それは会長だよ...   (2024/10/19 06:39:01)

星 ◆> あ、そうだ蛍。罰リストとか…そういう裏方のことだったら手伝えるから。時間のある時に声かけてね。（小声でぽそぽそ、）   (2024/10/19 06:39:14)

エロガキ♂15KS> とりあえず向こうにいるJとのバトルを見てみるかなー。   (2024/10/19 06:39:15)

エロガキ♂18D ◆> …………それ自分も見た気がする…………そして彼女がバトルジャンキーなのは否定しない自分がいます……   (2024/10/19 06:39:17)

星 ◆> 表で仕切るのは私に向いてないからやんない。   (2024/10/19 06:39:48)

エロガキ♂15KS> けど、なんだかんだやれって言われたらやりそうなカリスマを開拓者ちゃんからは感じる…   (2024/10/19 06:40:10)

エロガキ♂14Y ◆> 母娘丼とか食ってみてぇ…条件がムズいだろうけどさぁ   (2024/10/19 06:40:12)

エロガキ♂15KS> そもそも母娘が並ぶことが…稀ッ！   (2024/10/19 06:40:35)

星 ◆> ホテルの経営もこなせるくらいだからね、株主だから！＞KS   (2024/10/19 06:40:36)

蛍 ◆> 星…？うん、ありがと。(お兄ちゃんに見せるような時程じゃないけど、可愛らしく微笑み作って星にお返ししとくね。)   (2024/10/19 06:40:39)

蛍 ◆> (エキドナさんにはパイモンを貸してあげよっか？(ちっこいし、良い抱き枕になるかも。＞エキドナさん)   (2024/10/19 06:41:19)

蛍 ◆> ……(罰リスト進んでないって、胡桃が倒れた。)   (2024/10/19 06:41:56)

エロガキ♂15KS> し、死んでる……。   (2024/10/19 06:42:05)

エロガキ♂19b ◆> というか、これだけ派生べやあって、版権♂の部屋はないんだよね、需要低いからか   (2024/10/19 06:42:11)

星 ◆> （構想とかイメージとか、ざっくりしたものがあれば教えてね。）＞リスト   (2024/10/19 06:42:22)

エロガキ♂18D ◆> 堂主が棺桶に入ってしまわれた……   (2024/10/19 06:42:26)

エロガキ♂14Y ◆> 過労◯…   (2024/10/19 06:42:41)

エロガキ♂15KS> （昔ブラックジャックとかで遊んでた時に作った罰ゲームリストとかあったな～…。）   (2024/10/19 06:42:49)

蛍 ◆> クラリスさんが居る時に聞いておけばよかった気がするけど…これはまた個々に聞いておこうかな。……星、この後少しでもいいけど時間ある？   (2024/10/19 06:43:11)

エロガキ♂14Y ◆> 版権ショタならワンチャン…？   (2024/10/19 06:43:18)

星 ◆> 催眠術とかお薬とか、割と鉄板なジャンルも罰たりえるし……メタなことだけど演じる人も一風変わったRPできて楽しいし、エロガキ側も性癖に従ったものを選べたりするかもね。   (2024/10/19 06:43:34)

エロガキ♂14Y ◆> ……需要ないか   (2024/10/19 06:43:37)

エロガキ♂18D ◆> よし、自分はもう一眠りしてきます…また会えましたら……   (2024/10/19 06:43:38)

新条アカネ> また口移しで今度は栄養剤補給させるかな？   (2024/10/19 06:43:41)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/19 06:43:43)

星 ◆> いいよ、いつでも。＞蛍   (2024/10/19 06:43:46)

エロガキ♂15KS> 版権♂に関しては確かに人を選ぶからね～。Yくんの言う通りショタのけつまんこ！とかが好きな人はいても。みたいな。   (2024/10/19 06:43:49)

星 ◆> おやすみ。   (2024/10/19 06:43:51)

エロガキ♂15KS> おやすみー！   (2024/10/19 06:43:52)

エロガキ♂19b ◆> お休みー！！   (2024/10/19 06:44:03)

蛍 ◆> リストの構想？…なるべくオーソドックス(？)な形、誰でも受け入れやすそうな内容が良さそうかな。(アブノーマル過ぎなければ大丈夫だと思ってる。)   (2024/10/19 06:44:05)

新条アカネ> おやすみぃ♪(手振り振りー)   (2024/10/19 06:44:08)

エロガキ♂14Y ◆> おやすみ〜   (2024/10/19 06:44:13)

エロガキ♂15KS> やっぱ男はおっぱいが好きなんだ…あ、うちは太腿の境目から見える土手の盛り上がりが好きです。   (2024/10/19 06:44:28)

新条アカネ> 版権ショタとか男の娘とかなら喜んで行くかも？   (2024/10/19 06:44:56)

蛍 ◆> アカネさんが口移しを企んだから胡桃即復帰したよ。(元素爆発でしっかり回復してるし。……あの、取っといて欲しかったんだけど。)   (2024/10/19 06:45:05)

新条アカネ> んなアホなぁ！？   (2024/10/19 06:45:41)

蛍 ◆> (少しづつ主の子が推しの子のフレーズになってきた…＞エキドナさん)   (2024/10/19 06:45:59)

エロガキ♂19b ◆> やっぱ、ここショタ好き多いよねぇ   (2024/10/19 06:46:22)

エロガキ♂15KS> ヌ　シ　ノ　コ　。　うん、発音も似てる…   (2024/10/19 06:46:28)

エロガキ♂14Y ◆> ……ツチノコ？語感が…   (2024/10/19 06:46:49)

蛍 ◆> じゃあ…少し星を借りていこうかな。もしかしたらすぐ戻っ……あ、あれ？18Dさん行ってらっしゃい。(反応が遅い。)   (2024/10/19 06:46:49)

星 ◆> しゅのこ。   (2024/10/19 06:47:02)

エロガキ♂15KS> 実際向こう（クラリスちゃんとJくんが戦ってる場所）でも、何度もバトルが発生してるもんね。＞ショタスキー。   (2024/10/19 06:47:10)

蛍 ◆> ツチノコノコノコ…？   (2024/10/19 06:47:12)

新条アカネ> ワニノコともおなじー   (2024/10/19 06:47:12)

エロガキ♂15KS> のこたんたん。   (2024/10/19 06:47:22)

新条アカネ> こしたんたん？   (2024/10/19 06:47:22)

エロガキ♂14Y ◆> ショタ来てなんぼでしょ〜、アナザー部屋あるくらいやし   (2024/10/19 06:47:24)

エロガキ♂19b ◆> お兄さんには到底関係ない世界だなぁ～   (2024/10/19 06:48:00)

蛍 ◆> (星、聞こえてる？今あなたの脳内に直接…胡桃と私、どっちの方がいい？(お部屋取りに行く用意。)   (2024/10/19 06:48:25)

エロガキ♂15KS> とと、蛍ちゃんと星さんはいってらっしゃいー！   (2024/10/19 06:48:46)

エロガキ♂14Y ◆> お薬飲めば、19お兄さんもショタに(某少年探偵風)   (2024/10/19 06:48:55)

新条アカネ> エロガキって書いてあるからね。そのくらいの年齢の方が子供っぽさ感あって好きかなー。大人から見たら18や19もガキに見えるんだろーけど   (2024/10/19 06:49:01)

星 ◆> （どっちでもいいよ、話しやすい方で。建設的な話をしよう！（威勢だけ、））   (2024/10/19 06:49:04)

蛍 ◆> あのフレーズ一度唱えると暫く頭に残るから呪いかなにかかなって。   (2024/10/19 06:49:08)

エロガキ♂19b ◆> 今さら俺がショタになっても需要なんてねぇよ！   (2024/10/19 06:49:19)

星 ◆> 確かに。   (2024/10/19 06:49:25)

エロガキ♂15KS> アニメ自体もなかなかに麻薬だったからなぁ…しかのこのこのここしたんたん。   (2024/10/19 06:49:31)

エロガキ♂14Y ◆> アカネとかからしたら歳上だしな、そこら辺   (2024/10/19 06:49:35)

蛍 ◆> 一応胡桃が宿取りに行ったよ＞星   (2024/10/19 06:50:04)

エロガキ♂15KS> けどショタ可したボスのアナルをいじめたい女の子もいるかもしれない…。   (2024/10/19 06:50:06)

新条アカネ> そうだね、タメや歳上はちょっと違和感   (2024/10/19 06:50:11)

エロガキ♂14Y ◆> マジでいっとき頭から離れなくて危機感覚えたな…   (2024/10/19 06:50:18)

エロガキ♂19b ◆> いないいない！絶対にいないね！！   (2024/10/19 06:50:27)

星 ◆> じゃ、行ってくるね。   (2024/10/19 06:50:37)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/19 06:50:41)

エロガキ♂19b ◆> いってらっしゃいー！   (2024/10/19 06:50:45)

エロガキ♂15KS> 実際うちもエロガキのガキってどのあたり？って思って15っていう絶妙な年齢＋低身長に褐色と好き要素を混ぜてしまった…   (2024/10/19 06:50:46)

エロガキ♂15KS> いってらっしゃい！   (2024/10/19 06:50:48)

蛍 ◆> 私も。皆またね(お手ふりふり。)   (2024/10/19 06:50:52)

新条アカネ> いってらっしゃー♪   (2024/10/19 06:50:52)

エロガキ♂14Y ◆> いってら〜   (2024/10/19 06:50:52)

エロガキ♂15KS> はーい、また！   (2024/10/19 06:50:57)

新条アカネ> ほたちんもいってらっしゃーい   (2024/10/19 06:51:04)

蛍 ◆> あ…出る前に、アカネさんも今度付き合ってもらうかも。その時はお願いね？   (2024/10/19 06:51:17)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 06:51:23)

エロガキ♂19b ◆> というかこの皮でたくさんの女の子食べてるから...もう変えられないぜ！   (2024/10/19 06:51:23)

新条アカネ> あはは、りょーかいでーす♪   (2024/10/19 06:51:40)

エロガキ♂15KS> あー、それは確かに。今までいろいろな人と遊んでたらなおのことね。   (2024/10/19 06:51:47)

エロガキ♂15KS> 実際、うちがさっき入った時にみんなにボス！って認知されてるってことはそゆことだし。   (2024/10/19 06:52:06)

エロガキ♂14Y ◆> んじゃ、次負けたらお薬飲まされて一週間ショタの仲間入りとか！(鬼かな？)   (2024/10/19 06:52:18)

エロガキ♂19b ◆> 一週間！？   (2024/10/19 06:52:35)

エロガキ♂15KS> 一週間はアイデンティティがなくなっちゃうから、3回ヤるまでぐらいがいいんじゃない？   (2024/10/19 06:52:39)

新条アカネ> まぁ無理にショタ化することもないと思うよー   (2024/10/19 06:52:47)

エロガキ♂14Y ◆> まぁ、半分くらいネタだから〜、うん   (2024/10/19 06:53:06)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/19 06:53:09)

エロガキ♂15KS> そうすれば、ショタ化したきみとあそびたーい。って人が来て、すぐ消えるだろうし。そそ、ネタネタ。   (2024/10/19 06:53:16)

エロガキ♂16r> おはあ   (2024/10/19 06:53:17)

エロガキ♂15KS> おっはー。   (2024/10/19 06:53:22)

エロガキ♂16r> 誤変換w   (2024/10/19 06:53:23)

エロガキ♂19b ◆> うーん...ショタ回しがムズいからなぁどこかで試してみるか？   (2024/10/19 06:53:25)

エロガキ♂16r> おはようございます   (2024/10/19 06:53:27)

エロガキ♂14Y ◆> おはよ〜   (2024/10/19 06:53:29)

新条アカネ> おっはよーん♪   (2024/10/19 06:53:32)

エロガキ♂19b ◆> おはよう～   (2024/10/19 06:53:45)

エロガキ♂15KS> 結局この辺り、フレーバーだもんね。うちの場合はショタってよりも…体格？其処描写多めにするし。   (2024/10/19 06:53:52)

新条アカネ> しかし、色んな色のエロガキくんがいるなぁ。ゲーミングエロガキって感じ   (2024/10/19 06:53:57)

エロガキ♂19b ◆> それ虹色に輝いてない？   (2024/10/19 06:54:16)

エロガキ♂16r> そもそもショタってませてても胸揉むとかのことまでしかできないと思うんだよね、知識として()   (2024/10/19 06:54:19)

エロガキ♂15KS> ボスみたいにしっかり骨太な体格で見据えてえっちするのもいいし。Yくんやうちみたいな体格でおっぱいに埋もれながら腰振りとかもいいし。   (2024/10/19 06:54:30)

エロガキ♂14Y ◆> ほな無敵かぁ   (2024/10/19 06:54:37)

エロガキ♂16r> 光るか？俺ら   (2024/10/19 06:54:37)

エロガキ♂15KS> 既にエロガキって単語が縦に並ぶとめっちゃカラフルじゃない？   (2024/10/19 06:54:56)

エロガキ♂19b ◆> ちょっと、、変身してみるか...設定考えよ   (2024/10/19 06:55:04)

新条アカネ> そうそう、単純にカラフルなんだよね   (2024/10/19 06:55:17)

エロガキ♂15KS> ショタとエロガキはまた別な要素だからね～。   (2024/10/19 06:55:26)

エロガキ♂15KS> エロガキはエロガキ。エロいことをする知識を持っているのだ！！（ばばん！）   (2024/10/19 06:55:39)

エロガキ♂15KS> あ、目を離してたら13Jが負けてる！   (2024/10/19 06:56:16)

新条アカネ> ショタはおどおどしながらお姉さんに食われるのがいーのだ♪(個人的な願望)   (2024/10/19 06:56:20)

エロガキ♂14Y ◆> ムッツリなショタとかもいるかもだし！その場合はエロガキの方か？   (2024/10/19 06:56:21)

エロガキ♂16r> ガキとショタって見た目の可愛らしさが大きな違いだと思ってる   (2024/10/19 06:56:33)

エロガキ♂15KS> わかるわかるー。   (2024/10/19 06:56:49)

エロガキ♂14Y ◆> 生意気ショタが骨抜きにされんの好きなんだよなぁ   (2024/10/19 06:57:04)

エロガキ♂19b ◆> 年齢は...12ぐらいにして、、俺の弟設定...性についてまだあまり知らない。おっぱい見たら顔を真っ赤にして背ける...身長145センチぐらいの男の子はどうだい？   (2024/10/19 06:57:16)

新条アカネ> ムッツリも解釈としてはエロガキってことで間違ってないけどね   (2024/10/19 06:57:23)

エロガキ♂15KS> ショタは女の子とも見間違えそうな、みたいな。ガキはなんだかんだ男の子ってイメージかな。文章的なニュアンスやけどね。   (2024/10/19 06:58:07)

エロガキ♂16r> 設定は問題ないと思うけど本館行ったら何も出来なさそうだけどいいのか？   (2024/10/19 06:58:09)

新条アカネ> おぉー、いいんじゃない？エロに免疫がないショタはかわいいよ♪   (2024/10/19 06:58:13)

エロガキ♂15KS> Rの言う通り、設定は素敵だけどその子で勝利した時……そこがネックやねー。   (2024/10/19 06:58:43)

新条アカネ> まー、攻撃はどうしても弱くなるね   (2024/10/19 06:58:43)

エロガキ♂19b ◆> 本館にはこれでいけばいい   (2024/10/19 06:58:49)

エロガキ♂19b ◆> 勝ったときは...お茶会するか   (2024/10/19 06:59:07)

エロガキ♂14Y ◆> あと出しジャンケンすぎるwww   (2024/10/19 06:59:10)

エロガキ♂15KS> えっ！？一服盛るだって！？   (2024/10/19 06:59:27)

エロガキ♂16r> なるほど？   (2024/10/19 06:59:40)

エロガキ♂19b ◆> だめだ！これだと被る！...   (2024/10/19 06:59:44)

エロガキ♂16r> 既にいるな   (2024/10/19 06:59:56)

新条アカネ> いるんだ…   (2024/10/19 07:00:04)

エロガキ♂15KS> いるんだ……。   (2024/10/19 07:00:13)

エロガキ♂14Y ◆> いるね   (2024/10/19 07:00:13)

エロガキ♂19b ◆> 少しだけいたずら好き...スカートめくりとかのセクハラするけど、向こうから来るのは苦手ってのはどうだ！   (2024/10/19 07:00:18)

エロガキ♂16r> 執事服来た13歳がいる   (2024/10/19 07:00:24)

エロガキ♂15KS> 世界に広がれ！エロガキの輪！   (2024/10/19 07:00:27)

エロガキ♂16r> 広がらんでいいと思うぞ()   (2024/10/19 07:01:34)

エロガキ♂15KS> 広がるのは人数飽和して増える部屋ぐらいか……。（？   (2024/10/19 07:01:50)

新条アカネ> 私は好きだけど、それでもまだパンチの弱さがあるかなぁ   (2024/10/19 07:01:57)

エロガキ♂14Y ◆> 執事服13くんで思い出した…久々にあの子引っ張ってくるかな…   (2024/10/19 07:01:58)

エロガキ♂14Y ◆> ちょっと行ってくるねぇ   (2024/10/19 07:02:37)

エロガキ♂16r> 正直増えすぎると供給足りなくて偉いことになりそうだし   (2024/10/19 07:02:40)

エロガキ♂16r> いってら   (2024/10/19 07:02:47)

新条アカネ> いってらっしゃーい   (2024/10/19 07:02:47)

おしらせ> エロガキ♂14Y ◆k8pvtbSZDcさんが退室しました。  (2024/10/19 07:02:47)

エロガキ♂15KS> いってらっしゃーい！   (2024/10/19 07:02:53)

エロガキ♂19b ◆> いってらー   (2024/10/19 07:02:55)

エロガキ♂19b ◆> あとは何が足りない！！このショタの皮を構成するのに足りないのは！！   (2024/10/19 07:03:12)

エロガキ♂15KS> 実際、エロガキで調べるといっぱい部屋該当するしね。このぐらいの部屋数がちょうど良さそう。   (2024/10/19 07:03:17)

エロガキ♂16r> あと純粋に女性枠も足りない()   (2024/10/19 07:03:44)

新条アカネ> エロガキサークルの姫   (2024/10/19 07:03:47)

エロガキ♂16r> オタサーの姫よりタチ悪いな、ガキの精神年齢的な意味で   (2024/10/19 07:04:44)

エロガキ♂15KS> 遊んでくれる女性のみなさまに敬意を込めて！   (2024/10/19 07:04:47)

エロガキ♂16r> それはそう   (2024/10/19 07:04:57)

エロガキ♂15KS> いただきます！（トリコ）   (2024/10/19 07:05:07)

新条アカネ> この前、外見てたらルブルのヘッドラインがエロガキだらけで笑っちゃった♪   (2024/10/19 07:05:23)

エロガキ♂16r> カニバリズムだァ(分かってて言ってる)   (2024/10/19 07:05:29)

エロガキ♂16r> 草   (2024/10/19 07:05:35)

エロガキ♂15KS> シュールすぎる……   (2024/10/19 07:05:47)

新条アカネ> 股間の釘でパンチしてくんのねー   (2024/10/19 07:05:56)

エロガキ♂15KS> 実際、エロガキで検索すると10個20個ぐらい部屋が縦にズラァ…って並んでくるからねー。   (2024/10/19 07:06:07)

エロガキ♂15KS> ヘッドラインに乗ってしまうのも致し方ないんだ…   (2024/10/19 07:06:17)

エロガキ♂16r> 股間の釘はやばすぎて笑う   (2024/10/19 07:06:26)

エロガキ♂19b ◆> おれも最近入室した部屋ほぼエロガキ関係だしクリップボードもほとんどここであった女の子の名前とサイコロの目になってるからなぁ   (2024/10/19 07:06:32)

新条アカネ> まぁこんだけ稼働してればそうなるよねー、あはは♪   (2024/10/19 07:06:45)

エロガキ♂15KS> けど、釘になると細すぎない？   (2024/10/19 07:06:57)

おしらせ> エロガキ♂13 ◆za77rifW.Yさんが入室しました♪  (2024/10/19 07:07:07)

エロガキ♂16r> しかも長さも不安定(種類的な意味で)   (2024/10/19 07:07:38)

エロガキ♂13 ◆> やっほ〜☆久々に引っ張り出したらプロフのデータ全部消えてたぜ   (2024/10/19 07:07:41)

エロガキ♂13 ◆> ♪   (2024/10/19 07:07:46)

エロガキ♂16r> 南無   (2024/10/19 07:07:54)

エロガキ♂15KS> いらっしゃーい…あるある。データってどこに保管してたかわかんなくなるよね。   (2024/10/19 07:08:01)

新条アカネ> 逆に考えるんだよ。ガキなのに太すぎる方が不自然だと……あ、でも細いとアレだからやっぱ、いーや   (2024/10/19 07:08:04)

エロガキ♂19b ◆> そうだ！サイズ決めないと！！   (2024/10/19 07:08:21)

新条アカネ> おっはよー？   (2024/10/19 07:08:33)

エロガキ♂15KS> つ1d100   (2024/10/19 07:08:43)

エロガキ♂13 ◆> サイズなんて可変でいいんだよ♫   (2024/10/19 07:08:47)

エロガキ♂19b ◆> 1d100 → (60) = 60  (2024/10/19 07:08:53)

エロガキ♂16r> 正直大人でも太すぎるのおかしいと思うからな()   (2024/10/19 07:08:57)

エロガキ♂19b ◆> 60センチらしいですね、化物か？   (2024/10/19 07:09:07)

エロガキ♂16r> 単位はミリか？   (2024/10/19 07:09:08)

新条アカネ> ショタはみるけど、男の娘って結構レア？   (2024/10/19 07:09:09)

エロガキ♂16r> 人間やめてて草生える   (2024/10/19 07:09:18)

エロガキ♂15KS> ミリならセーフ。センチだと化け物。   (2024/10/19 07:09:19)

エロガキ♂16r> 希少種   (2024/10/19 07:09:30)

新条アカネ> モンスターじゃん！？   (2024/10/19 07:09:35)

