/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月17日 21時34分 ～ 2024年11月18日 13時25分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/17 21:34:34)
ヒシミラクル> (サイコロを窓から投げ捨てる)   (2024/11/17 22:38:30)

エロガキ♂18Z> (切り刻んだ種入り唐辛子水を手渡して)   (2024/11/17 22:38:34)

エロガキ♂19b ◆> (ワロタ)   (2024/11/17 22:38:52)

ヒシミラクル> ありがとうございますぅ……んきゅんきゅ、んん！？！？   (2024/11/17 22:38:55)

おしらせ> 空条徐倫さんが入室しました♪  (2024/11/17 22:39:02)

胡桃 ◆> (お色直しよし、)   (2024/11/17 22:39:09)

エロガキ♂18Z> こんばんはーーーーー   (2024/11/17 22:39:09)

空条徐倫> こんばんは…   (2024/11/17 22:39:11)

胡桃 ◆> 徐倫さんこんばんは〜！   (2024/11/17 22:39:19)

エロガキ♂12Ω ◆> いとも容易く行われるえげつないプレイ…   (2024/11/17 22:39:24)

エロガキ♂19b ◆> こんばんは～   (2024/11/17 22:39:26)

胡桃 ◆> 私は殆ど挨拶しかしてないけど…(目逸らし、)   (2024/11/17 22:39:37)

エロガキ♂17C ◆> こんばんは。誤落下ついでに聞いていいのか知らないけど、アルファベットはA〜Zオンリーに絞ることにしたの？のルーム説明みてふと思った。>どーしゅ   (2024/11/17 22:39:41)

エロガキ♂18Z> 唐辛子水を引き当てるヒシミラクルさん流石   (2024/11/17 22:39:42)

空条徐倫> 12はさっき会ったばっかね…   (2024/11/17 22:39:48)

エロガキ♂17C ◆> というわけでまだ後ろで色々してるんで天井裏に帰る！さらば！すれ違いな人たちはごめんなさい！   (2024/11/17 22:40:05)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/17 22:40:10)

エロガキ♂12Ω ◆> よすよす。ジョジョ姉ちゃんこっち来んの珍しいなー。   (2024/11/17 22:40:15)

ヒシミラクル> (ボォーーー！！炎を発射して、暖炉みたいなのがあったらそこに点火しておきますね)   (2024/11/17 22:40:17)

エロガキ♂18Z> いってらー   (2024/11/17 22:40:18)

空条徐倫> ここは始めてくるかも？…   (2024/11/17 22:40:33)

エロガキ♂19b ◆> ダメだ...面白すぎる(ケラケラ)   (2024/11/17 22:40:34)

ヒシミラクル> お疲れ様です〜   (2024/11/17 22:40:35)

エロガキ♂19b ◆> おつかれさまー！   (2024/11/17 22:40:44)

エロガキ♂12Ω ◆> うぇーい、何かあったらバルサン焚いて燻しだすわー。   (2024/11/17 22:40:50)

空条徐倫> お疲れ様   (2024/11/17 22:40:54)

エロガキ♂18Z> お口直しにいる？(1ぶどう味の飴玉、2カラムーチョ、3イカの塩辛)   (2024/11/17 22:41:11)

ヒシミラクル> (その後胡桃ちゃんがくれたお水をのみます)……ふぅー   (2024/11/17 22:41:14)

ヒシミラクル> わたしで火遊びするのやめよ？性的な意味でも文字通りの意味でも、ね？   (2024/11/17 22:41:56)

エロガキ♂12Ω ◆> あら、ミラクル姉ちゃん大丈夫かー？辛いやつの後には甘いやつでバランス取らねぇと。(グラブジャムンどうぞ。)   (2024/11/17 22:42:01)

ヒシミラクル> 1d3 → (1) = 1  (2024/11/17 22:42:04)

ヒシミラクル> (よかった♪)   (2024/11/17 22:42:14)

空条徐倫> 何やってんの？…   (2024/11/17 22:42:31)

エロガキ♂18Z> ここで甘い飴玉を引いた(流石だ。ぶどう味の飴玉を手渡し)   (2024/11/17 22:42:35)

エロガキ♂19b ◆> ミラ子は面白いから仕方ないね...うん、きっと皆が群がる(意味深)スターになれるよ！   (2024/11/17 22:42:56)

エロガキ♂18Z> たまにあるお遊びダイスゲーム？   (2024/11/17 22:43:02)

空条徐倫> 面白そうね…   (2024/11/17 22:43:17)

胡桃 ◆> 理由書いてたら本人居なくなってた…   (2024/11/17 22:43:21)

ヒシミラクル> この甘さと辛さの落差がすごいね、舌がバカになっちゃうね〜(飴ちゃんとグラブジャムン、ぱくぱく)   (2024/11/17 22:43:35)

エロガキ♂12Ω ◆> 群がっても両手に花ってか茎なんだよなぁ。   (2024/11/17 22:43:38)

エロガキ♂18Z> 上手い例えだ   (2024/11/17 22:44:04)

ヒシミラクル> スターって、それ、リアクション芸人か何かと思ってるよね！？   (2024/11/17 22:44:31)

胡桃 ◆> (ここに花が居るよって手を挙げとこう。部屋の奥の方の机から、)   (2024/11/17 22:44:39)

エロガキ♂19b ◆> (150点と書いたプラカードを掲げておこう)   (2024/11/17 22:45:11)

ヒシミラクル> なによ茎って！セロリと一緒にマヨネーズ塗って食すぞ！   (2024/11/17 22:45:16)

空条徐倫> フフッ…ここは楽しい方で盛り上がってるのね…   (2024/11/17 22:45:17)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/17 22:45:47)

花海佑芽> こんばんは！   (2024/11/17 22:46:00)

エロガキ♂18Z> (ツッコミも出来る。これはげi…ごほん。スターだ)   (2024/11/17 22:46:05)

空条徐倫> こんばんは   (2024/11/17 22:46:06)

エロガキ♂18Z> こんばんはーーーーーー   (2024/11/17 22:46:13)

エロガキ♂19b ◆> こんばんは～   (2024/11/17 22:46:26)

ヒシミラクル> こんばんみ〜っ   (2024/11/17 22:46:34)

胡桃 ◆> 佑芽ちゃんいらっしゃーーーい！(お部屋の奥の方から失礼。手をぶんぶん振ってる150点の花の堂主、)   (2024/11/17 22:46:43)

エロガキ♂12Ω ◆> おっすー。   (2024/11/17 22:46:46)

ヒシミラクル> (19bちゃんには物理的にツッこまれてばかりなんですけどー！！)   (2024/11/17 22:47:05)

エロガキ♂19b ◆> (それが運命よ...あきらめて受け入れな)   (2024/11/17 22:47:52)

胡桃 ◆> (花は花でも私は彼岸……)   (2024/11/17 22:47:53)

エロガキ♂18Z> 次勝てるさ……。多分   (2024/11/17 22:47:57)

空条徐倫> 悪いけど私そろそろ落ちるわ…   (2024/11/17 22:48:01)

エロガキ♂12Ω ◆> (何だかんだで19兄ちゃんモテるよなぁ、解せぬ)   (2024/11/17 22:48:02)

エロガキ♂18Z> お疲れ様ー   (2024/11/17 22:48:10)

ヒシミラクル> お疲れ様〜   (2024/11/17 22:48:16)

エロガキ♂12Ω ◆> ん、お疲れー。   (2024/11/17 22:48:16)

空条徐倫> お疲れ様っ   (2024/11/17 22:48:24)

エロガキ♂19b ◆> (俺がモテるなら空振りばっかにはなりませんー！！)   (2024/11/17 22:48:28)

おしらせ> 空条徐倫さんが退室しました。  (2024/11/17 22:48:31)

エロガキ♂19b ◆> お疲れ様ぁ～！   (2024/11/17 22:48:38)

エロガキ♂12Ω ◆> (胡桃姉ちゃんそれ毒じゃね？地獄少女？)   (2024/11/17 22:48:53)

胡桃 ◆> 徐倫さんはお疲れ様〜！ぜんっぜんお話できなかったけど！！(遠方から手をぶんぶん、)   (2024/11/17 22:48:54)

ヒシミラクル> (そんな運命、わたしのみんみんみらくるぱわーで、いつかはっ倒す！！)   (2024/11/17 22:48:56)

胡桃 ◆> 言い得て妙かもね〜…＞地獄少女？   (2024/11/17 22:49:22)

エロガキ♂19b ◆> 勘違いされないようにいっておこう！！俺は沢山の女の子を食べてるだけだから端から見たらそう見えるだけなのだ！！(クズ)   (2024/11/17 22:49:28)

エロガキ♂18Z> ウマのパワーでハッ倒されたら洒落にならないやつだ   (2024/11/17 22:49:31)

ヒシミラクル> モテるというより、下手な鉄砲も数射ちゃあたるー、だよねーー？   (2024/11/17 22:49:37)

エロガキ♂12Ω ◆> (何かセミファイナル的な最後の残り火っぽくて草)   (2024/11/17 22:49:39)

エロガキ♂12Ω ◆> 鉄砲は鉄砲でも生臭い水鉄砲で臭   (2024/11/17 22:50:08)

エロガキ♂19b ◆> ガトリングということで   (2024/11/17 22:50:30)

エロガキ♂18Z> 痛くなりそう   (2024/11/17 22:50:39)

胡桃 ◆> (遠目から佑芽ちゃん大丈夫？ってちらちら見てる。)   (2024/11/17 22:50:47)

ヒシミラクル> 「俺の股間は機関銃」みたいな   (2024/11/17 22:50:54)

エロガキ♂12Ω ◆> 銃身回転すんの？   (2024/11/17 22:50:59)

花海佑芽> とりあえず19bさんは女の子の敵ということでいいですか？（タックルの準備）   (2024/11/17 22:51:02)

エロガキ♂18Z> (もしかしたら対物ライフルかもしれない)   (2024/11/17 22:51:17)

ヒシミラクル> グロいんですけど！   (2024/11/17 22:51:18)

エロガキ♂19b ◆> 後お兄さん生息域が多いからね....1番を自負してるよ、、よし！こい！！(両手広げて)   (2024/11/17 22:51:26)

エロガキ♂12Ω ◆> 嫌なスプラトゥーンだなぁ   (2024/11/17 22:52:01)

花海佑芽> 5d10 → (9 + 10 + 5 + 7 + 4) = 35  (2024/11/17 22:52:11)

エロガキ♂18Z> 35以下なら吹き飛ばされるやつだ   (2024/11/17 22:52:29)

エロガキ♂19b ◆> 5d10 → (10 + 1 + 1 + 6 + 9) = 27  (2024/11/17 22:52:36)

ヒシミラクル> 出目上振れてる   (2024/11/17 22:52:39)

花海佑芽> 勝ちました！（吹き飛ばし成功）   (2024/11/17 22:53:01)

エロガキ♂12Ω ◆> 勢いに任せたカウ・ロイでも可   (2024/11/17 22:53:19)

エロガキ♂19b ◆> ｶﾞﾊｧｯ‼(吹き飛んで壁に激突4回バウンドして胡桃ちゃんの隣の床に頭から突き刺さって)   (2024/11/17 22:53:32)

エロガキ♂18Z> そしてここでヒシミラクルさんの追撃が来る展開だ！(鬼)   (2024/11/17 22:53:42)

ヒシミラクル> 5d10 → (10 + 7 + 3 + 9 + 3) = 32  (2024/11/17 22:53:51)

エロガキ♂19b ◆> 5d10 → (2 + 8 + 5 + 8 + 9) = 32  (2024/11/17 22:53:57)

エロガキ♂18Z> 受け止めた！   (2024/11/17 22:54:07)

ヒシミラクル> (がっきいーーーん！な鍔迫り合い！？)   (2024/11/17 22:54:14)

花海佑芽> （このまえ折りたたみウォーキングマシン買ってもらった恩を仇で返す女）   (2024/11/17 22:54:16)

エロガキ♂19b ◆> いよっと...ミラ子に負けるわけがなかろう！！   (2024/11/17 22:54:39)

ヒシミラクル> なんでわたしの時だけ、防御スキルを発動するんですか！！？   (2024/11/17 22:54:43)

エロガキ♂12Ω ◆> そして胡桃姉ちゃんの追撃がまだ残ってるぞ！   (2024/11/17 22:54:46)

エロガキ♂18Z> ジェットスクリームアタックみたい   (2024/11/17 22:55:09)

エロガキ♂18Z> ストリーム！予測変換め   (2024/11/17 22:55:28)

ヒシミラクル> ご褒美みたいなもんだから大丈夫だよー   (2024/11/17 22:55:38)

エロガキ♂19b ◆> ないない、胡桃ちゃんは集中してるからね～、、ほらこんな感じでおちょくってもなにも～(スカスカ)   (2024/11/17 22:55:46)

胡桃 ◆> 5d10 → (8 + 3 + 8 + 1 + 5) = 25  (2024/11/17 22:55:53)

エロガキ♂19b ◆> ん？   (2024/11/17 22:55:58)

エロガキ♂19b ◆> 5d10 → (10 + 3 + 9 + 9 + 10) = 41  (2024/11/17 22:56:11)

エロガキ♂18Z> 草   (2024/11/17 22:56:16)

花海佑芽> たかい！   (2024/11/17 22:56:19)

ヒシミラクル> カウンターえぐい   (2024/11/17 22:56:20)

エロガキ♂18Z> ヒシミラクルさんを防いだから運気が爆発したのかな   (2024/11/17 22:57:12)

エロガキ♂19b ◆> おちょくり成功ってことでっ！(軽くデコピンして戻っていく)   (2024/11/17 22:57:16)

エロガキ♂12Ω ◆> 好きな娘には意地悪するタイプだ   (2024/11/17 22:57:18)

エロガキ♂19b ◆> おいまて！それだと俺が佑芽ちゃんのこと好きじゃないみたいじゃないか！！いいか！俺と佑芽ちゃんはご飯を食べた仲だぞ！！   (2024/11/17 22:58:27)

胡桃 ◆> 私には暴力振るっておいて…？(額押さえてる。)   (2024/11/17 22:59:12)

花海佑芽> 健全！！   (2024/11/17 22:59:19)

エロガキ♂18Z> (そして次に美味しくたべるのね！好きな物は最後に食べるみたいに！)   (2024/11/17 22:59:31)

エロガキ♂12Ω ◆> あーあ、胡桃姉ちゃん泣かせたー。(よしよし)   (2024/11/17 22:59:31)

ヒシミラクル> あわよくば佑芽さんも食べちゃおーぐへへー♡とか思ってたんでしょ！この女たらしー！   (2024/11/17 22:59:50)

花海佑芽> （ばんそうこう持って胡桃さんに駆け寄り！）   (2024/11/17 23:00:17)

エロガキ♂19b ◆> ！？！？んまぁ...いつも叩かれてるお返しってことで！というか痛くなかったでしょ！？音もでないくらい、心底丁寧にやったよ！？   (2024/11/17 23:00:25)

エロガキ♂12Ω ◆> (既に食べられたミラクル姉ちゃんは垂らされ済みってこと？)   (2024/11/17 23:00:42)

胡桃 ◆> た、タックルされる！？(え、どうしよう。私今机から動けないんだけど！！)   (2024/11/17 23:00:52)

エロガキ♂12Ω ◆> 焦り方がガチで草   (2024/11/17 23:01:01)

ヒシミラクル> (胡桃ちゃんの前に両手を広げて立ちはだかります)   (2024/11/17 23:01:30)

花海佑芽> 5d10 → (7 + 9 + 7 + 10 + 2) = 35  (2024/11/17 23:01:50)

エロガキ♂18Z> まあ、今19さん泣かした！せんせーに言ってやろ！ってなってる状態だから焦るわな……   (2024/11/17 23:01:55)

胡桃 ◆> 5d10 → (2 + 5 + 1 + 10 + 2) = 20  (2024/11/17 23:02:02)

エロガキ♂19b ◆> ダメだ...タックルが強すぎる....   (2024/11/17 23:02:10)

ヒシミラクル> 5d10 → (6 + 7 + 1 + 10 + 3) = 27  (2024/11/17 23:02:11)

エロガキ♂12Ω ◆> うみ姉ちゃん人間なの？   (2024/11/17 23:02:31)

ヒシミラクル> 願いましてはー合計82です   (2024/11/17 23:02:48)

エロガキ♂18Z> んま、19さんに加勢しとくか。一応   (2024/11/17 23:02:51)

花海佑芽> （ミラクルさんもろとも胡桃さんに抱きつき！）   (2024/11/17 23:03:13)

胡桃 ◆> (※私がダイス振ったところで私は動けないから0だった、)   (2024/11/17 23:03:17)

エロガキ♂18Z> (支援だから食らうのは19さん任せた！)   (2024/11/17 23:03:23)

胡桃 ◆> (天使だった、ぎゅっぎゅ、)   (2024/11/17 23:03:26)

エロガキ♂19b ◆> (抱きつきだからね...写真撮っておこう...ｶｼｬｶｼｬｶｼｬｶｼｬ)   (2024/11/17 23:03:49)

エロガキ♂12Ω ◆> ミラクル姉ちゃんがサンドイッチされてて草。百合の群像地かここは   (2024/11/17 23:03:58)

エロガキ♂18Z> 売買したら高く売れるな……   (2024/11/17 23:04:27)

ヒシミラクル> 三位一体！！これこそ予定調和まったなしの約束されたミラクルフュージョン！   (2024/11/17 23:04:34)

ヒシミラクル> 急にカメコになるなぁ！、   (2024/11/17 23:04:50)

エロガキ♂19b ◆> 売らないよ！非売品非売品！！   (2024/11/17 23:04:54)

花海佑芽> （きゃっきゃっ）   (2024/11/17 23:05:26)

エロガキ♂18Z> じゃあ、自分は照明係で(ライトぴかー)   (2024/11/17 23:05:34)

エロガキ♂12Ω ◆> 胡桃姉ちゃんとうめ姉ちゃんの継承因子何だろう。(アプリ感)   (2024/11/17 23:05:54)

ヒシミラクル> 百合フィールドに男子は踏み込めないんです！……入っちゃだめ！百合ガチ勢から袋叩きにあいますよ！   (2024/11/17 23:06:19)

エロガキ♂19b ◆> ミラ子から継承できるのは欲求不満因子ぐらいしか....   (2024/11/17 23:06:35)

ヒシミラクル> そんなもの継承しなくていいですよ！☆3くらいありますけど！   (2024/11/17 23:07:03)

エロガキ♂18Z> (言い方が草)   (2024/11/17 23:07:03)

エロガキ♂12Ω ◆> 因子と言うか淫子？   (2024/11/17 23:07:15)

エロガキ♂19b ◆> MAXじゃねえか！？   (2024/11/17 23:07:20)

ヒシミラクル> (12Ωくんに座布団フリスビー)   (2024/11/17 23:07:38)

エロガキ♂18Z> ベッド適正Aか   (2024/11/17 23:07:44)

胡桃 ◆> (…ところで1d20っていう微妙なダイス変えようと思うんだけど…差が大きくてすぐ決まるのと、ある程度希望持てる小さい数字どっちの方がいいかな？皆の脳に語り掛けておくね。)   (2024/11/17 23:08:16)

ヒシミラクル> ウマ娘は良い子といい大人の健全なアプリゲームですからね！？   (2024/11/17 23:08:16)

エロガキ♂12Ω ◆> ほっ。(マトリックス回避)   (2024/11/17 23:08:34)

エロガキ♂19b ◆> ...さて！！エロガキ諸君！勝負部屋にお客さんがきたよ！！   (2024/11/17 23:08:44)

胡桃 ◆> 私だって健全なゲームだからね！(見えない、見せない、謎の泡！)   (2024/11/17 23:08:49)

エロガキ♂19b ◆> 健全？あんなに脚ばっかだしておいて！？   (2024/11/17 23:09:22)

胡桃 ◆> 連敗記録保持者の人！！(酷い覚え方)   (2024/11/17 23:09:23)

ヒシミラクル> 避けないでよっ！？ザイオンの救世主か！！   (2024/11/17 23:09:40)

エロガキ♂12Ω ◆> おっと、姉ちゃん達はー？皆で徒党組んで乗り込みに行くー？   (2024/11/17 23:09:43)

エロガキ♂18Z> 太腿がえちいでしょ！堂主は！   (2024/11/17 23:09:54)

エロガキ♂19b ◆> そして彼女はショタが好きなのだ...つまり、、お兄さんは突撃したら鼻で笑われてしまうぜ   (2024/11/17 23:10:07)

ヒシミラクル> わたしはそろそろ寝ようかなぁ…誰かさんのせいで腰が痛いし…   (2024/11/17 23:10:13)

胡桃 ◆> (机の奥からばってん。ぶっぶー…。)   (2024/11/17 23:10:19)

エロガキ♂19b ◆> ん？いったい誰だ？(キョロキョロ)   (2024/11/17 23:10:28)

胡桃 ◆> でも気持ちよs…こほん。ゆっくり休んで〜！   (2024/11/17 23:10:43)

ヒシミラクル> エッチなことしてない限り全て健全なんです   (2024/11/17 23:10:48)

エロガキ♂12Ω ◆> ふむ、寂しおすなぁ。   (2024/11/17 23:10:49)

エロガキ♂18Z> おやすみー   (2024/11/17 23:10:55)

胡桃 ◆> こんなんで私は一応色々してるからね〜…   (2024/11/17 23:11:07)

ヒシミラクル> お騒がせしましたー、おやすみなさいー   (2024/11/17 23:11:16)

おしらせ> ヒシミラクルさんが退室しました。  (2024/11/17 23:11:19)

エロガキ♂12Ω ◆> まぁ良いや。んじゃショタ枠として遊びに行きますか。   (2024/11/17 23:11:22)

エロガキ♂19b ◆> おやすみー！   (2024/11/17 23:11:28)

胡桃 ◆> ミラクルさんまたねー！   (2024/11/17 23:11:28)

エロガキ♂18Z> 自分も明日があるからそろそろ寝るしねー   (2024/11/17 23:11:41)

胡桃 ◆> (ところでさらっと私の太腿に邪な気持ちを抱いた子がいたね…)   (2024/11/17 23:11:47)

エロガキ♂12Ω ◆> レリゴー。ミラクル姉ちゃんはお疲れー。   (2024/11/17 23:11:53)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/17 23:11:55)

胡桃 ◆> 18Zさんもおやすみなさい！またねー！   (2024/11/17 23:11:56)

エロガキ♂18Z> (誰だろう？はてはて)   (2024/11/17 23:12:02)

エロガキ♂19b ◆> 行ってらっしゃ～い   (2024/11/17 23:12:02)

胡桃 ◆> 12Ω君はいってらっしゃーい！   (2024/11/17 23:12:06)

胡桃 ◆> はっ…仕事なんかしてる場合じゃないよ！！(ばんばん、)   (2024/11/17 23:12:35)

エロガキ♂18Z> んじゃ、雪崩でおやすみー(ノソノソ)   (2024/11/17 23:12:38)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/11/17 23:12:44)

エロガキ♂19b ◆> おやすみー！   (2024/11/17 23:12:47)

胡桃 ◆> せっかく佑芽ちゃん居るんだから、仕事なんてあとあと！   (2024/11/17 23:13:00)

エロガキ♂19b ◆> お兄さん出入り激しすぎて適正がわかってきてるのが怖いぜ....   (2024/11/17 23:13:09)

花海佑芽> ？   (2024/11/17 23:13:12)

胡桃 ◆> えへへ、あまり落ち着いて話したこと…は、つい最近あったばかりだった。まぁ、人も減ったし私も合間になにかしつつ、少しお喋りに参加しようかなって。   (2024/11/17 23:14:07)

胡桃 ◆> 補正ってなんのお話？   (2024/11/17 23:14:55)

花海佑芽> そうですねっ（のんびりー）（さっきタックル連発してたのは忘れる）   (2024/11/17 23:15:32)

エロガキ♂19b ◆> ん...気にしないで～。(軽く2人から距離を取って椅子に座っておこう)   (2024/11/17 23:16:15)

胡桃 ◆> 佑芽ちゃんならもしかしたらヒルチャールくらい倒せるんじゃないかな…(物理特化ビルドかなぁって。)   (2024/11/17 23:16:40)

花海佑芽> なんで急に距離を！？   (2024/11/17 23:16:50)

エロガキ♂19b ◆> 僕はね...女の子がいちゃいちゃしてるところをみたいですよ...   (2024/11/17 23:17:33)

胡桃 ◆> えー、忘れないって。19bさんも忙しくないならお喋りしな〜い…？(ふわりと消えて、距離取った19bさんの耳元で囁いて。皆で談笑しよーって、お座敷に招待してみた)   (2024/11/17 23:17:38)

エロガキ♂19b ◆> 誘われたらそれに乗るのが俺だねっと、(トコトコとお座敷におとなしく蓄積)   (2024/11/17 23:19:17)

エロガキ♂19b ◆> (何を蓄積するんだろう....)   (2024/11/17 23:19:31)

花海佑芽> 罪の数？   (2024/11/17 23:19:48)

胡桃 ◆> 懺悔の時間になっちゃったんだけど！？   (2024/11/17 23:20:21)

エロガキ♂19b ◆> お前の罪を数えろって？....食べた女の子の数なら...ダメだ多すぎる   (2024/11/17 23:20:30)

花海佑芽> 罪の数だけタックルします！（やめなさい）   (2024/11/17 23:21:28)

エロガキ♂19b ◆> 半分ぐらいは受け止めたいぞ！！   (2024/11/17 23:21:51)

エロガキ♂19b ◆> あ、でも1つとんでもない罪ならあるよ。   (2024/11/17 23:22:23)

胡桃 ◆> じゃあサイコロで19bさんの罪の数決める？(理不尽極まりない1d50の一本勝負！)   (2024/11/17 23:22:26)

胡桃 ◆> え…な、なにしたの？   (2024/11/17 23:22:35)

エロガキ♂19b ◆> ...聞きたい？   (2024/11/17 23:22:49)

花海佑芽> （ごくっ）   (2024/11/17 23:23:10)

胡桃 ◆> 1.聞く 2.聞かない   (2024/11/17 23:23:18)

胡桃 ◆> 聞く！(どどん、)   (2024/11/17 23:23:26)

エロガキ♂19b ◆> ダイスなんて無かったんやな...あれはいまから8年前の出来事なんだけど....(ポワポワポワァ)   (2024/11/17 23:24:01)

花海佑芽> （じりじり）   (2024/11/17 23:24:22)

胡桃 ◆> (長そうだからお茶とお菓子用意しとくね、)   (2024/11/17 23:24:33)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/17 23:24:35)

胡桃 ◆> 14C君いらっしゃーい！(座敷に手招き手招き、)   (2024/11/17 23:24:59)

エロガキ♂19b ◆> (そう...これはわたくし19bが11歳のクソガキの頃のお話....聞いたことがあっても始めて聞いたふりしてね！ﾃﾍｯ)   (2024/11/17 23:25:13)

