/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月07日 09時26分 ～ 2022年12月09日 01時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾も昼間は暇なことが多い故客が来ぬ時はだらだらしておるしのぅ   (2022/12/7 09:26:27)
小春六花> あいよー。（と冷蔵庫からとりだしたキンキンに冷えてるウーロン茶。こんなシーズンでも案外冷たいお茶って美味しいよねってコップに入れてとりあえず渡しておいて）   (2022/12/7 15:17:06)

八重神子 ◆> ……ふぅ、寒い時期に炬燵に籠もって食べるアイスのようにのぅ。何とか残業せずに済んでよかったのじゃ……   (2022/12/7 15:18:24)

小春六花> ……ほんと自分の時間は守らないと病んじゃうよ。（目を擦りつつ。今は大丈夫っていうのが一番怖いよね。カエルの話しかり   (2022/12/7 15:19:22)

八重神子 ◆> まぁ、その辺りはわきまえておるから大丈夫じゃろう。絶対に譲れぬところは譲っておらぬしな（お茶飲み、ふーって整った様子）   (2022/12/7 15:20:59)

小春六花> そのラインがもしかして低すぎってこと？（灰色DPSくらい低くない？って胡乱な目）   (2022/12/7 15:22:18)

八重神子 ◆> まぁ、妾としては21時半までに帰れるならば別に……といった感じじゃしのぅ（生憎と妾はタンクじゃからな、って意味不明なドヤ顔）   (2022/12/7 15:24:03)

小春六花> 私との邂逅はどうでもよかったってことぉ！？（がびーーーーん。　タンクさんちゃんと火力出してください。スキル回してますか？（ギス））   (2022/12/7 15:25:40)

八重神子 ◆> まぁ、妾の生活基準は固定と潜水艦じゃからのぅ……（どうでもいいとは思うておらぬぞ？ってショック受けてる六花を撫でり、灰色じゃないからセーフですぅって顔）   (2022/12/7 15:28:22)

小春六花> 固定でいやらしいことしてるんだー！わーん！（何言ってるんだお前）（セーフなら仕方ない。そして固定の消化はもっと仕方ない。でも潜水艦よりは優先してほしいという気持ち。なんていやらしいおかおなんだってくちびるつんつん   (2022/12/7
15:30:00)

八重神子 ◆> 最近は固定以外じゃとOWじゃのぅ……そんなhimechan固定じゃあるまいし……（妾の固定は煽り合い宇宙じゃからのぅ、って宇宙猫顔、潜水艦は固定面子の禁断用じゃしな、って呟いて唇つんつんされると指をぱくっと捕まえて）   (2022/12/7
15:32:30)

小春六花> ふおー。おーばーうぉっちはよくしらないのじゃ…酔っちゃうからね。FPS(こわーい！って顔をしつつ、指フェラさせてあげつつ。改めてみるととっても顔がいいなこの人。前髪がすごいけど。   (2022/12/7 15:34:33)

八重神子 ◆> まぁ……確かに酔う者は酔うじゃろうな……（指咥えながら細いのぅ、なんて考えながら舌先で指先をちろちろーって）……ふむ、元々そういう話じゃったし、どうじゃ？（指先でどこからともなく取り出した鍵をくるくる）   (2022/12/7
15:37:27)

小春六花> そうそう、なんだったか忘れたけどチュートリアルでガチ酔いしたのはいい思い出（銃の振動で寝込んだなど。）……そーね！折角だしいこいこ。エロルゼアでもエオルゼアでもトークがマニアックになりそうだし。（おー、いこいこ、って八重さんの腰をぎゅむん、って抱き寄せて）
  (2022/12/7 15:39:02)

八重神子 ◆> 妾はあまり酔わぬタイプじゃからのぅ……うむ、お主相手じゃとここでは色々と危なそうじゃしな（手を回して抱き返しながらそのまま奥へー）【たーてーたー】   (2022/12/7 15:41:38)

小春六花> そういうのちょっとわかる。私一体何だと思われてるんだろう（うーんって首をかしげながら借りた部屋に案内されつつ―）【はーいったー】   (2022/12/7 15:42:46)

八重神子 ◆> 【こっちは落としておくのじゃ|彡ｻｯ】   (2022/12/7 15:43:29)

おしらせ> 八重神子 ◆zj4nGVXxckさんが退室しました。  (2022/12/7 15:43:34)

おしらせ> 小春六花さんが退室しました。  (2022/12/7 15:43:43)

おしらせ> フィーさんが入室しました♪  (2022/12/7 17:08:39)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/7 17:09:19)

東北ずん子> この間はねちゃいましたぁ！(ずざー   (2022/12/7 17:09:28)

フィー> こんばんはです。寝落ちは仕方ないですよ、よくあることです   (2022/12/7 17:09:42)

東北ずん子> うー、いろいろしたかったんですけど(むぎゅ   (2022/12/7 17:10:00)

フィー> ですねぇ（ぎゅー   (2022/12/7 17:12:28)

東北ずん子> ふふ、気が向いたらまたさせてくださいねぇ(すりすり   (2022/12/7 17:12:50)

フィー> はぁい。今日も少しくらいなら…。   (2022/12/7 17:13:15)

東北ずん子> 少しあそびますー？(つんつん、ぎゅう   (2022/12/7 17:13:54)

フィー> いいですよー？（すり   (2022/12/7 17:14:08)

東北ずん子> ではすこしだけ！(ひょい   (2022/12/7 17:15:01)

おしらせ> 東北ずん子さんが退室しました。  (2022/12/7 17:16:04)

おしらせ> フィーさんが退室しました。  (2022/12/7 17:16:28)

おしらせ> 小春六花さんが入室しました♪  (2022/12/7 21:23:34)

小春六花> 戻ってきたー。   (2022/12/7 21:23:47)

小春六花> 誰か来たらいいんだけどなぁ……（ぐでぐで   (2022/12/7 21:58:48)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/12/7 22:24:36)

おしらせ> 錦木千束さんが入室しました♪  (2022/12/7 23:16:36)

錦木千束> とてもおおきなまちがいをおかしたきがする…   (2022/12/7 23:16:51)

おしらせ> 中野一花さんが入室しました♪  (2022/12/7 23:20:07)

中野一花> …疲れたぁ〜っ…！(どさっ…とたくさんの紙袋を床に落としつつ、満足気でありながらも、疲れた顔でソファにダイブして)   (2022/12/7 23:20:59)

錦木千束> お、一花ぁ、お疲れ〜。何買ってきたの？(紙袋を見やり、やり遂げた顔の一花に手を振りつつ隣に座り。)   (2022/12/7 23:22:15)

中野一花> …妹達へのプレゼント〜♪(紙袋は計10個。自分含め、5人分のようで)   (2022/12/7 23:27:30)

錦木千束> へぇ〜…んぁ、もしかして五つ子で今日が誕生日とか？(首傾げ)   (2022/12/7 23:32:12)

中野一花> クリスマスも近いからね〜……あ！この事妹達に言ったらダメだぞ！！   (2022/12/7 23:37:33)

錦木千束> なぁるほどぉ…。なんだかんだお姉ちゃんしてんだなぁ〜。(えらいえらい)   (2022/12/7 23:39:55)

中野一花> ま〜ね〜…♪(ご機嫌そうに、そっと紙袋をしまって)   (2022/12/7 23:50:09)

錦木千束> なにかってきたの〜？(紙袋除き込み)   (2022/12/7 23:50:40)

中野一花> んーっとね…それは四葉のだねー。中身は…えーっとたしか……運動用のランニングシューズとか……ジャージとかだったような   (2022/12/7 23:52:23)

錦木千束> おー、いいねぇ…。よ〜くみてんだなぁ…(うんうん)   (2022/12/7 23:53:00)

中野一花> …ところで…さっき、どんな間違い…しちゃったの？   (2022/12/7 23:57:37)

錦木千束> それは…なーいしょ！っと、もう0時じゃん。やすまなきゃ。おやすみぃ！   (2022/12/7 23:59:12)

おしらせ> 錦木千束さんが退室しました。  (2022/12/7 23:59:15)

中野一花> ちょっ…？！ナイショかぁ…   (2022/12/8 00:00:05)

おしらせ> クレーさんが入室しました♪  (2022/12/8 00:08:33)

クレー> こーんばんわ♪(がちゃこん、と玄関からこんばんはして。少し前にいたからただいまかな？えへへ)   (2022/12/8 00:09:25)

クレー> あれ…一花お姉ちゃん寝ちゃったかな？(つんつんとソファに座ってる一花お姉ちゃんのほっぺを起こさない程度に触って…よこに沢山の紙袋あるの…！これは大事なものだろうから、そっとしておくの)   (2022/12/8 00:15:20)

クレー> そうだ…！｢七星召喚｣のデッキ整理でもしようかな。(おこたに入っては、今日渡されたカードのデッキを開いて整理を始めて…)   (2022/12/8 00:17:24)

おしらせ> 七七さんが入室しました♪  (2022/12/8 00:25:08)

おしらせ> 無言時間が25分を超えたため、中野一花さんが自動退室しました。  (2022/12/8 00:25:08)

七七> 入れ代わり立ち代わり。流れ行く人の波。こんばんは、クレー。何してる？(おこたに入っているクレー。後ろから声掛けて)   (2022/12/8 00:26:09)

クレー> はわっ！七七ちゃん…！こんばんはっ♡(前にも来てくれた七七ちゃんだよね…？と嬉しそうに挨拶して)   (2022/12/8 00:27:43)

クレー> 今、七星召喚っていうカードゲームのカードの整理してたの！モンドでも人気らしくて…クレーもカードもらったの！だからそれを見てたんだー   (2022/12/8 00:28:29)

七七> こんばんは、クレー。如何にも。前の七七だ。約束は覚えていたが…中々捕まえられなかった。(ぺこり)かーどげーむ……七七は、ルールが覚えられない……。(おこたの隣に入り、カードを眺め)クレーが良ければ、続き、しても……いいが。どうだ？  
(2022/12/8 00:30:01)

クレー> 七七ちゃん…♡うん、クレーもずっと会いたかったんだ…♡(隣に来てくれた七七ちゃんの手をきゅっと掴んでまっすぐ見つめるの…)、みてこれ…えへへ、クレーも鍵使えるようになったの…♡まえの続きクレーもしたい♡   (2022/12/8 00:31:49)

七七> そうか……クレーもついに、オトナに……。七七は少し、羨ましい。(手を掴まれ握り返し…そのまま緩く引いて)間が空いたが……よろしく…。   (2022/12/8 00:33:32)

クレー> 七七ちゃん鍵つきのお部屋でも大丈夫だったよね？   (2022/12/8 00:34:13)

七七> うん、七七は平気…。せきゅりてぃは大事だからな。   (2022/12/8 00:35:27)

クレー> 作ったよ…♡いこっ…♡   (2022/12/8 00:35:56)

七七> ありがとう。いこう♡   (2022/12/8 00:36:36)

おしらせ> 七七さんが退室しました。  (2022/12/8 00:36:40)

クレー> (七七ちゃんの手を引きながら2人で奥のお部屋にとことこといくの…♡クレーちょっと顔赤くなっちゃう//)   (2022/12/8 00:36:43)

おしらせ> クレーさんが退室しました。  (2022/12/8 00:36:49)

おしらせ> キャルさんが入室しました♪  (2022/12/8 06:04:54)

キャル> 今日も相変わらず寒すぎよっ！　こんな時間だから人は…いないわよね？…話をしてくれる奴が来るか待って…みるわ。うん。(軽くノックをした後に中に人がいるかキョロキョロと確認し…部屋に入るとソファーで体を伸ばしては寝転び始め)   (2022/12/8
06:08:00)

おしらせ> 小春六花さんが入室しました♪  (2022/12/8 06:32:02)

小春六花> いちばんのー……あれ、誰かいるぅ？（マ？って顔しながらお部屋の表札二度見して、場所はァ……あってる。良かった。）はよーっす！（とりあえず一度ドアをしめて、開け直してしきりなおし）   (2022/12/8 06:33:42)

キャル> おはよー…。なーんかヤケに元気なのが来たわねぇ…。それ…入り直す必要はあったの？(扉が開きそこから元気よく声が響けば其方に視線を合わせ。扉を閉めてもう一度入り直す行動に疑問を抱きながら)   (2022/12/8 06:39:38)

小春六花> いやほらぁ、やっぱりスタートって大事だからね。だからみんなほら、リセマラとかするじゃ（これ以上はいけない。まぁ、つまり深くは気にしたら負けというやつ）   (2022/12/8 06:42:15)

キャル> まぁ、確かに第一印象っていうのは大事よね…。変な奴…とか思われてたらこの先ずっとそうだろうし…。だからって目の前でやり直すのは変に記憶に残りそうだわ…。ま、ちょうどいいわ。退屈してたし。話し相手として付き合ってくれない？(ソファーから起き上がると体を伸ばして彼女を見つめつつ)
  (2022/12/8 06:48:56)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/8 06:51:49)

桜衣乃> おはようございます……あら、こんなお時間から誰かいる？お邪魔しますね〜。(通学中に寄り道、中に誰かいるの見つけてご挨拶。)   (2022/12/8 06:53:44)

小春六花> まー、評価って人それぞれだから。特に私とか無限に人格ある節あるし。とりあえずインパクトから始めてみようぜって。（あなただけの小春六花を見つけてくださいね！（公式文句）いいよー…って眠い目こすりつつお団子結わえつつ）   (2022/12/8
06:55:05)

小春六花> ちゃおー。   (2022/12/8 06:55:50)

桜衣乃> あ、六花ちゃん！おはようございます   (2022/12/8 06:56:12)

桜衣乃> 【らしい文章ですが誤送信です！】   (2022/12/8 06:56:42)

小春六花> 【私への挨拶は誤りって……ｺﾄ!?】   (2022/12/8 06:58:29)

キャル> まぁ、それがアンタの個性なら、ちゃんと理解しようとはするわよ…。話相手として宜しく…。(会話を続けているうちにまた一人と新しい人が挨拶を…。そちらにも挨拶を返しつつ。ゆっくり話の場に入ろうとして)はよー。結構早い時間なのにここは人が良く集まるのね…。
  (2022/12/8 07:00:10)

桜衣乃> 〜。こんな朝イチからお部屋にいるなんて、またどんな相手をお探しなんですか〜♪ 私も丸一日時間を気にせず、仕事を気にせず、勉強も忘れて入り浸りたいものですが……
残念ながら朝は20分くらいしかいられませんので、軽くご挨拶だけです〜。(おててふりふり、制服で中に入って温まりますっ)   (2022/12/8 07:00:28)

桜衣乃> そしてこちらの猫耳のお姉さんは…？　おはようございます、みんなのアイドル桜 衣乃です♪ 朝イチでも人がいるときはいるし、日中も人がいたり、夜は賑わったり♡
えぇ，本当に人がよく集まる場所ですよ、ここは♡お姉さんもお気軽にご利用くださいませ♪(ぺこりと一礼すれば、アイドルスマイル振り撒いて、私も会話の中にちょっとだけ入りに行きますっ)   (2022/12/8 07:03:03)

小春六花> めっちゃ釘さしてくるじゃん……。（まぁいいんだけど。っていつもの髪型に結わえ終わればへーいって雑談でもなんでも任せろーってやつ。）まぁ、私がだいたいつめてるから人はいるよりだよね。つっても朝から3人もいるのは割合珍しめかなぁ。  
(2022/12/8 07:03:24)

桜衣乃> 【まぁ誤りといえば誤りですね！　間違いないです！】   (2022/12/8 07:03:37)

小春六花> 【そげなふうにいわれてえらいきずつきたったい】   (2022/12/8 07:05:12)

桜衣乃> 【やーん、ごめんなさーい！悪意はないんです〜！】   (2022/12/8 07:06:02)

キャル> アタシの事はキャルでいいわよ…。　ふーん…アイドル…ねぇ？(前々から憧れ…ではあるアイドルという言葉にぴくっと耳を動かし興味を示すもがっつりはいかないように気を付けつつ…)　そうね、こんな朝早くから結構人が集まってるのは珍しいわ…。ん、それなら時間がある時に来させてもらうわよ。
  (2022/12/8 07:08:54)

キャル> 朝から3人は珍しいのね。自分で言うのもなんだけどこの時間帯に一人で待ってて人が来るとは思っていなかったし…。それだと夜とかは沢山いたりする？…出来るだけ顔は覚えてもらえれば後々入りやすそうだし、意識してその時間帯も入ってみるようにしようかしら…。  
(2022/12/8 07:12:13)

桜衣乃> キャルちゃんですね！これからよろしくお願いしますっ♪ …な、なんですか、アイドルを疑われてるような…。まぁ、確かに新人で名も売れてない落ちこぼグループアイドルですけど…。(とまぁ自分達の人気のなさを自覚してはいて…)
私は朝イチお昼夕方に夜中と何度もお部屋の前を通りがかって中の様子確認してますから、平日でなければ割と高頻度でお会いできるかと♪ キャルちゃんと一緒にお話ししたり遊べるのを楽しみにしてますね♡   (2022/12/8 07:13:49)

小春六花> キャる……きゃる……ニャオ……まぁそうだよね。割と最近は夜もまた落ち着いては来てるけど、私がオールウェイズいるからだいたい誰かにゃ会えるよ。（いないわけじゃなくて2-3人程度チラホラ来てらっしゃるし。って指折り数えつつ）まあ、なんとかなるかる。  
(2022/12/8 07:18:18)

桜衣乃> 六花ちゃんなんてお昼中お部屋にいたり、私より利用頻度高いまでありますよね。平日ですよ、平日…。…まぁこんなふうにエッチな子ばかりなので、お気に入りの相手を是非見つけてください♪   (2022/12/8 07:20:16)

キャル> ええ、宜しく…。いや、別に疑ってるワケじゃないのよ。ちゃんと活動していればそのうち人気…とか出るんじゃない？(自ら人気のないいうあたりがグループの事を気になっている様子ではあるものの切り替えは早く。明るく話題を振る彼女に)ふーん…。ならアタシも時間がある時はちょっと覗いたりして、こっちに来るのは意識してみようかしら。　遊ぶのは相性もあるだろうから、話し合いは必要だろうけど。話す事であればいくらでもって所ね。
  (2022/12/8 07:20:19)

小春六花> 仕事と編集をサボる天才とよんでくれたまへ。（どやぁ）まぁ、昼間いたとして私以外に来る人そんなに居ないけどね。たまに石の中から玉をみつけるような出会いもないとは言わんけども。（のびー   (2022/12/8 07:24:17)

キャル> もう一度いっとくわ。アタシは「キャル」　ちゃんと覚えておきなさいよー…？はー…。(名前をわざと間違えている彼女に釘を刺すようにもう一度説明…。呆れるように軽くため息を吐き。)そうして定期的に顔出してくる子なんかがいれば他の子も入りやすいだろうし。いい事だと思うわ。
  (2022/12/8 07:26:34)

桜衣乃> ご安心ください、私…今ここでプチ人気の兆しを感じてますから♪ 好きな子達の為に頑張れるのがとても嬉しいんです♡キャルちゃんも私のファンになってくれると嬉しいですよ…♪
…おや、そういうの気にする派です？ふふ、それじゃあ今夜にでも私とキャルちゃんの相性占いをしてみたいところですね…♡(相性を気にしてそうなキャルちゃんに詰め寄れば、お手をとって…ちょっと照れ顔にお誘いを)   (2022/12/8 07:26:51)

桜衣乃> もー、このお部屋に来る子達なんて私に似てみんな淫乱揃いなんですから、本当は選り好みしないでみんなと仲良くレズレズもとい百合えっちしてほしいんですけどね〜。   (2022/12/8 07:29:07)

小春六花> キャルさんねー。りょー。まぁ、こんな色欲魔ばかりだからね……。適当にあしらったり無理しなくていいのよ？（まじで、って。溜息まじりに発情ピンクを眺めたり）   (2022/12/8 07:29:26)

桜衣乃> …っとと、朝から淫ピが出てしまいましたがもうお時間です！30分早すぎですね…。私も学校がありますので、あとのことは六花ちゃんにお任せしますねっ、キャルちゃんもまたお会いしましょう♪ それでは〜♡(どたばた、と嵐のように去っていきます…)  
(2022/12/8 07:31:50)

おしらせ> ペコリーヌさんが入室しました♪  (2022/12/8 07:31:51)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/8 07:31:59)

キャル> ここで人気になる事も大事だろうけど、もっと欲はでっかく持ったほうがいいとは思うけどね…アタシは。アイドルはたくさん人にチヤホヤされるもんだろうし…　ファンの件も考えとくわ。　ただアタシ結構拘りも強いから。そういう話で相性がよさそうなら是非…ってところだけど。夜のお誘いはまぁ、前向きに考えておくわね
  (2022/12/8 07:32:35)

ペコリーヌ> 夜の話してくれるんですか！（ドタドタドタ、勢いで飛び込んでくるず）   (2022/12/8 07:33:31)

キャル> ま、あたしが行為するって割と珍しい事だと思うから。そういう相手に会えたらハマるかもしんないわねー…。朝からドがつくほどのピンクな奴もさっきまでいたわけだし…。(行動が早い頭の中が桃色の人物のせいで少し照れくさそうにも話を続け)  
(2022/12/8 07:34:08)

小春六花> …選り好みというか、やたら強い身内感というか。（こう、砂を噛むような顔をしながら奥歯に挟まったというか。まぁ、論ずる場じゃないしなぁ……と朝ごはん用の塩鮭を焼きつつ。）そして、新しく来られた方いらっしゃーい！（と、キッチンから顔をニョキッとさせてご挨拶
  (2022/12/8 07:35:04)

キャル> ま、とりあえずお疲れ…。衣乃   (2022/12/8 07:35:29)

キャル> (会話を続けていくうちに何処かで聞きなれた声に耳を傾け…)どっかで聞き覚えのある煩い声だと思ったらやっぱりアンタなのね…ぺコリーヌ。　残念ながら夜の話もご飯の話も今の所はないわよー…。　アタシは話に来てるのがメインだし…。   (2022/12/8
07:37:43)

キャル> まぁそういうのも時間をかけるうちに慣れていくものかしら…？　この部屋の雰囲気に早い所なれるようにしないといけないわね…。   (2022/12/8 07:40:43)

ペコリーヌ> あ、おじゃましまーす、ちょっとキャルちゃん気配がしてお邪魔しにきちゃいました、おいつますー（ひらひらと手をふり塩鮭を見つめて）…ご飯の話はありそうじゃないです？（じゅる、美味しそうですよってじぃっと視線を注ぎ）お話でもなんでも…なんというかこう…挨拶しなきゃという使命感で来たので今のままのキャルちゃんでいてくださいっ（自由ですからってこくこく）
  (2022/12/8 07:40:51)

キャル> アタシの気配って変な気配感じ取って来てんじゃないわよ！…ご飯はありそう…って、そうね。確かに準備に取り掛かってる奴がいるわ…そういう所だけは反応が人一倍早いのよね。アンタは…。(相変わらずのぶれなさに安心するもののいつも通りで溜息を思わず吐きつつ…)言われずともありのままのアタシでいるわよ。
  (2022/12/8 07:44:58)

小春六花> 部屋の風土とか、人の風土はあるから合う合わないの判断でいいと思うなぁ。真面目な回答なら。（無理に合わせるものでもないし、合う人と一緒でもいいのよ。って。真面目な話はするけれど皮目をフライパンに押し付けることで鮭の皮をパリッパリに芳ばしく焼き上げながら……かぶりつくのはまだ我慢。事前に炊き上げておいた白いご飯に千冬ちゃんから分けてもらった梅昆布茶をふりかけよりもちょっと多い程度にふりかけて……その上に剥がした鮭皮を鎮座させてからお湯ザバァ！）
  (2022/12/8 07:45:36)

小春六花> え、な、なに。私は朝ごはんの準備してるだけなんだけど気づいたらどうしてこんなに凝視されてるんですか……？（ねぇ、キャルちゃんこの人どういうことなんですか……ってかお）   (2022/12/8 07:47:43)

ペコリーヌ> お…お腹がすきます（朝ごはんのいい時間ですしそわそわ、お腹をぐぅっとならして）楽しいとかは人それぞれですからね！キャルちゃんと遊ぶも遊ばないも……その時次第です……美味しそうなご飯……その、わけてくれません？（正座して見守り、何か話そうとしたけど空腹には勝てません）
  (2022/12/8 07:49:53)

キャル> その判断ってのが難しい所ではあるのよねぇ…。ま、真面目な回答ありがと。参考にさせてもらうわ。(話を続けながら朝食の準備を行う彼女を見つめていれば助けを求めるような表情…。それに対して察しがついているこちらは少し申し訳なさそうに口を開く…)あー…。まぁ。米粒一つ残る事なく平らげられるって覚悟はしていたほうがいいかもしれないわ。
  (2022/12/8 07:52:27)

キャル> ま、雑談メインで来たけど、そういう機会があれば宜しく…とはお願いしておくわ。色々性癖とかかみ合っていたら…の話にはなるだろうけど。　本当に…ご飯に関しては相変わらずの嗅覚っていうか…。ブレないわね。ほんと   (2022/12/8 07:53:45)

小春六花> ねぇほんとどういうことなんですか……？（その後に焼いた鮭の身を半分ほどほぐしてお茶漬けの具材にしつつ、次第に鮭の旨味と脂がほのかにお茶に溶け出してゆきつつ……あとは海苔をちらして完成です！朝の贅沢、パリパリ鮭茶漬け）なにそれこわい。エンゲル係数とか。名乗る前から張り付けるメンタルとか。
  (2022/12/8 07:54:18)

ペコリーヌ> 流石に全部は食べません…よ、よ！？（はふ…必死に抑えて、やっぱり我慢出来ないのでおにぎり一つ手に取り口にして）んむんむ…なんだか典型的朝ごはんって感じでいいですね♪キャルちゃん、あれが本物の朝ごはんかもしれません！（あ、でも変わったお食事もやっぱりいいなぁってほわり、鮭をおかずにしておにぎりパクパク…んー♪）
  (2022/12/8 08:00:16)

ペコリーヌ> （あ、ちょっとわかりにくいから一応…鮭はエアおかずです、エアおかず。鮭を見てそれをおかずにするのは常識ですよね？）   (2022/12/8 08:04:15)

キャル> そいつ…大食いなのよ…。ドをいくらつけても足りないくらい…。だから、朝食の準備をして匂いを漂わせれば…そうもなるのよ。食料がなくなるまで覚悟はしておいたほうがいいかもしれないわ…。絶対食べられるから。そのご飯(過去の旅で食料を１日で空にされた事を思い出しながら、彼女に申し訳なさそうに回避不可能という選択肢を提案させて…)
  (2022/12/8 08:05:28)

