/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月07日 17時28分 ～ 2023年03月08日 22時08分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

倉田ましろ> んむぅー（むすぅっとして）   (2023/3/7 17:28:31)
イリア・コーラル> ちょっと久しぶりですのでサービス多めです…（一人の頭を胸元にギュッと抱いて…良い香りを感じながらなでなでと）   (2023/3/7 19:43:29)

後藤ひとり> え、えへへ……♡あ、ふかふかです……♡いいサービスですね……♡(撫でられて胸に顔が当たるとその柔らかさにうっとり)   (2023/3/7 19:47:33)

イリア・コーラル> ひとりさんは…相変わらず此処がお好きですね…？（胸に埋まりながらうっとりしている様子に、髪の毛を優しくすくように撫でて梳くようにしてあげて）   (2023/3/7 19:50:17)

後藤ひとり> え……♡やっぱりふかふかなのは好きですし……♡ん……な、撫でられるのも好きです……(撫でられるとすっかり懐いてる様子で胸に顔をすりすり)   (2023/3/7 19:54:41)

イリア・コーラル> ふふ、すっかりひとりさんには懐かれちゃいましたね…メイドの胸枕に…なんて。（ギューッと抱きしめたりして緩急付けて、頭や背中も撫でてあげ）   (2023/3/7 19:57:12)

後藤ひとり> イリアさんの包容力があるからです……ふかふかでとても好きだと思います……(頭や背中を撫でられると目を細めて気持ちよさそうにして……こちらからもハグを返して)   (2023/3/7 20:01:10)

イリア・コーラル> メイドとして最高の誉め言葉ですね…うれしですよ、ひとりさん。あ、そう言えば結束バンドのアルバム買ってしまいました。（ひとりからも抱き付かれると、二人でソファに座り込む様にして…さらに深めに顔を胸に埋めさせて）   (2023/3/7
20:05:33)

後藤ひとり> 【と、すいません……背後で少しだけ離脱します。少しお待ちを……】   (2023/3/7 20:06:00)

イリア・コーラル> 【はい、大丈夫ですよ】   (2023/3/7 20:06:16)

後藤ひとり> あ、か、買ってくれたんですね……ありがとうございます……はい……暇な時に聞いてくれると助かります……(若干息苦しくなりながらも離れる様子は一切なく)   (2023/3/7 20:16:36)

イリア・コーラル> はい…ここ最近はずっと車の中でヘビーローテションしてます。お風呂でも聞いてたりしてますし…ドはまりです…（少しだけ緩めて息苦しさから解放してあげて）   (2023/3/7 20:18:39)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/7 20:20:23)

倉田ましろ> こんばんは...(ほかほか)   (2023/3/7 20:20:39)

後藤ひとり> それはそれは……嬉しいです……そんなにハマってるとは光栄です……(おもわずにやぁ……っとなりながらも呼吸を整えつつも再度おっぱいにぽふり)   (2023/3/7 20:21:19)

後藤ひとり> あ、どうも……   (2023/3/7 20:21:22)

倉田ましろ> どうも...(ふにゃっ)   (2023/3/7 20:21:39)

イリア・コーラル> こんばんは、いらっしゃいませ。多分初めましてですね、ましろさん…イリアとお呼びください。   (2023/3/7 20:22:19)

イリア・コーラル> はい、思わずずっと聞いてしまってます…。オンタイムで見なかっと事を少し後悔してますね（幸せタップリな胸枕で…）   (2023/3/7 20:23:39)

倉田ましろ> イリアさんですか...はい、よろしくお願いします...   (2023/3/7 20:23:41)

後藤ひとり> いやまあ……あとから見る人はほら……待たずに全話すぐに見れるのはそれはそれでいいものです……(うんうんと頷きつつも胸マクラで癒し成分補給)   (2023/3/7 20:26:06)

イリア・コーラル> ましろさんもバンドキャラなのですね…ライバルでしょうか？   (2023/3/7 20:26:52)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/3/7 20:26:59)

後藤ひとり> え！？いや………別に……そういう訳では……あ、こんばんは   (2023/3/7 20:27:19)

イリア・コーラル> 確かにそれは有りますね…一気見をしまくってもいます…。（幸せそうにしてもらえて此方も嬉しそうにして）   (2023/3/7 20:27:57)

倉田ましろ> えっ...嫌ボーカルなので許してもらえると...(おろおろ）　こんばんは   (2023/3/7 20:27:57)

イリア・コーラル> こんばんは三玖さん、お久しぶりですね。   (2023/3/7 20:28:29)

中野三玖 ◆> ひさしぶり…   (2023/3/7 20:30:21)

おしらせ> 廣井きくり ◆lxd9gSfG6Aさんが入室しました♪  (2023/3/7 20:30:41)

後藤ひとり> はい……特に私達のアニメはきらら系なので……作業をしながらでも見れますし……(さすがに人目が多くなってきたのか……恥ずかしげに)   (2023/3/7 20:30:58)

廣井きくり ◆> こんばんは〜（フラフラしながら入室してきて）   (2023/3/7 20:31:01)

後藤ひとり> うわっ！？こんばんは………(知り合いに思わずビック)   (2023/3/7 20:31:20)

倉田ましろ> こんばんは...(ぺこっ）   (2023/3/7 20:31:26)

後藤ひとり> 許してますよ！？……そもそも怒ってないし……   (2023/3/7 20:32:57)

廣井きくり ◆> あ、ぼっちちゃーん！こんなところに、なんか人気者じゃん？（注目の的の知り合いに嬉しそうに近寄って、肩組んで、おにころチャージ...）   (2023/3/7 20:33:29)

イリア・コーラル> 大丈夫ですよライバル＝お友達な感じでしょうからね？   (2023/3/7 20:33:40)

倉田ましろ> よかった...(ほっとして)   (2023/3/7 20:34:04)

イリア・コーラル> こんばんは、はじめまして…姫様と声がそっくりなお方ですね…イリアとお呼びください。   (2023/3/7 20:34:13)

中野三玖 ◆> (すや…)   (2023/3/7 20:34:38)

後藤ひとり> あ、いやそういうことでは……さ、酒くさ………(ぐえっとなりつつも方を組まれて離れられず)   (2023/3/7 20:34:49)

後藤ひとり> アニスさんもいつか酒を吹きかけたりするんでしょうか……   (2023/3/7 20:35:04)

倉田ましろ> あ、はい...お友達になりました...(こくっ）   (2023/3/7 20:35:32)

イリア・コーラル> そうですね…此処でお話しながらとかでも見れる気軽さが有りますよね…ライブシーンは見入ってしまいますけども…（敢えてむぎゅっと抱きしめてみて）   (2023/3/7 20:35:42)

後藤ひとり> 仲間です………   (2023/3/7 20:35:50)

後藤ひとり> ライブシーン以外は比較的に緩いですからね……きららアニメあるあるです………あれ……なんか抱きしめられてる力が強いような……(抱きしめられると顔が真っ赤に……みんなには見えないけど……)   (2023/3/7 20:36:42)

廣井きくり ◆> 姫様？ってのはよくわかんないけどイリアちゃんね。宜しくイリアちゃーん！あ、お酒飲む？（首を傾げながら笑顔で頷けば、酒パックを差し出して）   (2023/3/7 20:37:03)

倉田ましろ> 仲間...(ひとりさんぎゅう）   (2023/3/7 20:37:04)

後藤ひとり> 仲間です……(むぎゅられ)   (2023/3/7 20:37:57)

廣井きくり ◆> ほう？もしかして弾劾裁判的なやつ？魔女裁判？ぼっちちゃんは私が守るぞー！（ギュッと抱きしめてはギャーギャー）   (2023/3/7 20:38:09)

後藤ひとり> なんでそうなるんですか！？……あの別に責められてないので……(色んな人に抱かれて混乱して)   (2023/3/7 20:38:53)

イリア・コーラル> （指を伸ばして三玖さんのほっぺつんつん）   (2023/3/7 20:40:50)

倉田ましろ> 仲間...(陰キャ同盟のとぎゅうすりすり）   (2023/3/7 20:41:02)

後藤ひとり> くらい同盟の出来上がりです((むぎゅ))   (2023/3/7 20:41:56)

イリア・コーラル> そうですね…緩い感じなのですが…所々でみんなの闇を垣間見る感じが良いですね（むぎゅむぎゅしていると…段々と人が集まってきて団子になっていく）   (2023/3/7 20:42:03)

中野三玖 ◆> …(ぴく…)…どうしたの？   (2023/3/7 20:42:20)

廣井きくり ◆> へぇ、そうなんだ。ってかなんか暑くね！？（おしくらまんじゅう状態で目がグルグル）   (2023/3/7 20:42:35)

イリア・コーラル> お酒ですかこの状態で飲むと未成年の子達に毒ですから…きくりさんお一人で楽しんでください？   (2023/3/7 20:42:52)

イリア・コーラル> 混ざってはいかがですか…（？すでに四人ほどが団子になってますが）   (2023/3/7 20:43:24)

中野三玖 ◆> …混ざれないから大丈夫…(もふ…)   (2023/3/7 20:44:11)

後藤ひとり> はい……闇！？ま、まあ闇はありますけど……すごいお団子ですよねこれ……(私のハーレム！？なんて言いつつも三玖さんもおいでおいでと)   (2023/3/7 20:44:11)

倉田ましろ> 陰キャ同盟...(あっ暑くない？ってひとりさん見てて）   (2023/3/7 20:44:11)

後藤ひとり> あ、暑くないです……   (2023/3/7 20:48:19)

イリア・コーラル> 次来る人は…大変な光景を目の当たりにしそうですね…   (2023/3/7 20:48:47)

倉田ましろ> 暑くないならよかった...   (2023/3/7 20:48:51)

後藤ひとり> 6人部屋なのであと一人……   (2023/3/7 20:49:38)

おしらせ> 上杉らいはさんが入室しました♪  (2023/3/7 20:51:27)

上杉らいは> こんばんは〜   (2023/3/7 20:51:35)

廣井きくり ◆> まるでラグビーだね....（上着を脱いでは涼み始めて...）   (2023/3/7 20:51:38)

廣井きくり ◆> はーいこんばんは〜♪   (2023/3/7 20:51:48)

倉田ましろ> こんばんは...   (2023/3/7 20:51:57)

後藤ひとり> こんばんはです……スクラムですか……   (2023/3/7 20:52:27)

イリア・コーラル> こんばんは。はじめまし、らいはさん。   (2023/3/7 20:53:03)

上杉らいは> 初めまして。イリアさん   (2023/3/7 20:53:27)

イリア・コーラル> おしくらまんじゅうにも近いかと   (2023/3/7 20:53:34)

後藤ひとり> 想像したらすごい絵面です……   (2023/3/7 20:54:29)

中野三玖 ◆> (いけない…)   (2023/3/7 20:56:41)

倉田ましろ> (三玖さんおいでおいで)   (2023/3/7 20:57:07)

後藤ひとり> 来てもいいんですよ…   (2023/3/7 20:57:34)

廣井きくり ◆> かもーん！（便乗   (2023/3/7 20:59:15)

後藤ひとり> しーん……   (2023/3/7 21:04:42)

倉田ましろ> しーん...   (2023/3/7 21:05:01)

上杉らいは> しーん   (2023/3/7 21:05:06)

イリア・コーラル> しーん…   (2023/3/7 21:05:08)

後藤ひとり> 三玖さんが動きません……   (2023/3/7 21:06:30)

倉田ましろ> 動かないねぇ...   (2023/3/7 21:08:39)

後藤ひとり> 彼女もまた陰の物なのです……   (2023/3/7 21:09:10)

中野三玖 ◆> (すん…)   (2023/3/7 21:10:20)

倉田ましろ> あっ動いた...   (2023/3/7 21:10:33)

後藤ひとり> あ、生きてた……   (2023/3/7 21:11:26)

後藤ひとり> これ他の皆様大丈夫ですか？   (2023/3/7 21:14:10)

中野三玖 ◆> …いきてるよ   (2023/3/7 21:14:32)

倉田ましろ> どうだろう...?   (2023/3/7 21:14:32)

後藤ひとり> (らいはさんきくりさんイリアさんつんつん)   (2023/3/7 21:15:16)

上杉らいは> ふぇ…？   (2023/3/7 21:16:10)

後藤ひとり> あ、起きてた……(よしよし)   (2023/3/7 21:16:23)

上杉らいは> えへへ…   (2023/3/7 21:16:28)

後藤ひとり> 小さくて可愛い……♪(撫でて)   (2023/3/7 21:16:52)

上杉らいは> ありがとうございますっ（頭のあの毛ぴょこぴょこ）   (2023/3/7 21:17:12)

倉田ましろ> ひとりさんの妹とおなじくらいにねんれいじゃなかったっけ...(ﾎﾞｿｯ）   (2023/3/7 21:17:28)

後藤ひとり> ごさいよりは上そうです……(つんつん)   (2023/3/7 21:18:10)

廣井きくり ◆> .....（暑さにやられてノックアウト中   (2023/3/7 21:19:20)

後藤ひとり> お酒飲ませないと……   (2023/3/7 21:19:31)

上杉らいは> いつか会ってみたいです   (2023/3/7 21:20:00)

倉田ましろ> 年齢乗ってなかった...   (2023/3/7 21:20:24)

倉田ましろ> ...(お酒置いとき)   (2023/3/7 21:20:46)

後藤ひとり> ふたりは5歳……らいはさんは小学生ぽいです…   (2023/3/7 21:21:07)

倉田ましろ> そうだった...   (2023/3/7 21:21:32)

上杉らいは> 宿題出てるので学生で合ってますよ   (2023/3/7 21:21:57)

倉田ましろ> イリアさんだけ反応ない...(つんつん）   (2023/3/7 21:22:11)

イリア・コーラル> あ…済みません幸せな空間になってたので…ついつい和んでました。   (2023/3/7 21:23:24)

倉田ましろ> 和んでいた...   (2023/3/7 21:24:29)

後藤ひとり> 幸せな空間ですよね……私にとってはハーレムです……   (2023/3/7 21:24:57)

倉田ましろ> ひとりさんハーレム空間..,   (2023/3/7 21:26:12)

中野三玖 ◆> (くあ)   (2023/3/7 21:28:04)

後藤ひとり> 後藤はーれむ……   (2023/3/7 21:28:28)

上杉らいは> 後藤分の花嫁…   (2023/3/7 21:29:25)

後藤ひとり> 座布団5枚です   (2023/3/7 21:30:15)

中野三玖 ◆> …ふあ…ぅん   (2023/3/7 21:32:22)

後藤ひとり> 眠そう……   (2023/3/7 21:32:58)

倉田ましろ> 私も眠い...   (2023/3/7 21:33:18)

上杉らいは> 眠いです…   (2023/3/7 21:33:29)

後藤ひとり> みんな眠い！？寝てください……(布団をズルズル)   (2023/3/7 21:34:19)

倉田ましろ> 何か最近甘えるとはんどうでねむくなる...(ふにゃっ）   (2023/3/7 21:35:29)

上杉らいは> お父さんの帰り待ってると眠くなります…   (2023/3/7 21:35:50)

イリア・コーラル> 皆さんねねむねむですね…可愛いですね。   (2023/3/7 21:36:18)

中野三玖 ◆> …(ごろ)   (2023/3/7 21:36:27)

後藤ひとり> 甘えると眠くなるんですね……   (2023/3/7 21:36:29)

後藤ひとり> イリアさんは眠気大丈夫です？   (2023/3/7 21:36:34)

倉田ましろ> なんでだろうね...(布団被って)   (2023/3/7 21:37:06)

上杉らいは> （布団被る）   (2023/3/7 21:37:59)

イリア・コーラル> はい、私はまだ大丈夫ですね。   (2023/3/7 21:38:10)

後藤ひとり> 良かったです……寝落ちする時あるのでつい心配です   (2023/3/7 21:38:55)

イリア・コーラル> ご心配ありがとうござます…ついつい寝落ちをしてしまう事が多くて…   (2023/3/7 21:41:27)

倉田ましろ> 私はねむくなったらねる...(ひとりさん手招き)   (2023/3/7 21:41:56)

上杉らいは> こっちにも来てください！（ひとりさん手招く）   (2023/3/7 21:43:03)

後藤ひとり> やりがちですよね……   (2023/3/7 21:43:21)

後藤ひとり> え！？あの……じゃあおふたりがこちらへ……   (2023/3/7 21:43:29)

後藤ひとり> 寝落ちは誰にでもあるので……   (2023/3/7 21:43:40)

倉田ましろ> んしょっ...(ひとりさんの近くによっていて)   (2023/3/7 21:44:12)

中野三玖 ◆> (ごろ…ころ…)   (2023/3/7 21:44:27)

おしらせ> 無言時間が25分を超えたため、廣井きくり ◆lxd9gSfG6Aさんが自動退室しました。  (2023/3/7 21:44:27)

上杉らいは> じゃあ遠慮なく（ひとりさんに近くによる）   (2023/3/7 21:44:32)

倉田ましろ> 酔っ払いのお姉さんが落ちた...   (2023/3/7 21:44:52)

後藤ひとり> 落ちました……(両手に花)   (2023/3/7 21:45:48)

上杉らいは> わぁ…   (2023/3/7 21:46:20)

倉田ましろ> 眠かったのかな...?(ひとりさんぎゅう）   (2023/3/7 21:46:49)

後藤ひとり> (さすがに２回に３回も行くのはうっとおしいから……中学の頃とおちフル放送前にハナヤマタ再放送しててそれで見てたんですよね……特に11話は同じシーンで２回とも泣いてしまいました……)   (2023/3/7 21:47:11)

後藤ひとり> 多分疲れてるのかと……(お2人を撫でて)   (2023/3/7 21:47:28)

倉田ましろ> お酒飲んでたしそうだよね...(んゆっ)   (2023/3/7 21:47:57)

上杉らいは> よしよぉし。今日は休んでくださいね（撫で返す）   (2023/3/7 21:48:17)

後藤ひとり> 二人とも可愛いです……(撫で撫で……むぎゅ)   (2023/3/7 21:50:25)

中野三玖 ◆> (ころ…ころ…)   (2023/3/7 21:50:46)

上杉らいは> うぅ（むぎゅ）   (2023/3/7 21:51:18)

イリア・コーラル> 次の日は二日酔いコースですね。   (2023/3/7 21:51:23)

倉田ましろ> えへへありがとう（ぎゅう)   (2023/3/7 21:51:28)

後藤ひとり> (おじゃまなんてそんな……)   (2023/3/7 21:53:13)

上杉らいは> （ひとりさん…？）   (2023/3/7 21:53:42)

後藤ひとり> ですね……はい。介錯が大変です……(ましろさんらいはさんの頭をポンポン)   (2023/3/7 21:53:46)

後藤ひとり> (上へのメッセージです)   (2023/3/7 21:54:00)

上杉らいは> ふふ（デレデレ）   (2023/3/7 21:54:45)

上杉らいは> （把握です）   (2023/3/7 21:54:49)

倉田ましろ> えへへ...(すりすり）   (2023/3/7 21:55:40)

後藤ひとり> (分かりました……！)   (2023/3/7 21:56:08)

後藤ひとり> 二人とも可愛いです……妹にしたいくらい…(なでなで……むぎゅ)   (2023/3/7 21:56:25)

上杉らいは> お兄ちゃん独り立ちしたらなりましょうか…？（むぎゅむぎゅ）   (2023/3/7 21:57:29)

倉田ましろ> 同い年だけどそれでもいいなら...(すりすり）   (2023/3/7 21:58:27)

後藤ひとり> なってください……(にへ……むぎゅ)   (2023/3/7 21:59:14)

倉田ましろ> なりたい...(ぎゅう）   (2023/3/7 22:02:10)

上杉らいは> なりたいです…（ぎゅう）   (2023/3/7 22:02:41)

後藤ひとり> 一気に妹が増えました…(2人まとめて抱きしめて)   (2023/3/7 22:03:18)

上杉らいは> お姉ちゃん大好きです…（抱きしめられる）   (2023/3/7 22:03:52)

倉田ましろ> えへへ...(ぎゅう）   (2023/3/7 22:04:05)

中野三玖 ◆> (イリアのほほをつんつん)   (2023/3/7 22:04:16)

後藤ひとり> かわいあ……(なでなで……むぎゅ)   (2023/3/7 22:05:06)

上杉らいは> お姉ちゃんだって可愛いです〜（むぎゅ）   (2023/3/7 22:07:43)

倉田ましろ> ひとりさんもかわいい(ぎゅう）   (2023/3/7 22:08:17)

後藤ひとり> それほどでも……(てれてれ……)   (2023/3/7 22:08:23)

倉田ましろ> 可愛いよ？（頭撫で撫で)   (2023/3/7 22:12:23)

上杉らいは> 可愛いですよ（頭撫でる）   (2023/3/7 22:12:37)

後藤ひとり> そ、そんなこと……(2人に撫でられてにへ)   (2023/3/7 22:12:47)

倉田ましろ> あるよ？(頭撫で撫で）   (2023/3/7 22:14:07)

後藤ひとり> ふ、2人とも……//(恥ずかしそうに)   (2023/3/7 22:14:41)

上杉らいは> よしよし（首も撫でる）   (2023/3/7 22:14:59)

倉田ましろ> どうしたの?(頭撫で撫で）   (2023/3/7 22:15:17)

イリア・コーラル> んっ…   (2023/3/7 22:16:03)

イリア・コーラル> あ、あぶなかったです…   (2023/3/7 22:16:20)

後藤ひとり> あ、起きてた……   (2023/3/7 22:16:23)

後藤ひとり> いえ恥ずかしいだけで……//(もじもじ)   (2023/3/7 22:16:32)

中野三玖 ◆> …(つんつん)   (2023/3/7 22:16:38)

イリア・コーラル> どうしましたか？三玖さん…（むぎゅっと抱き寄せて）   (2023/3/7 22:18:00)

上杉らいは> 今は3人の世界なので恥ずかしがんなくてもいいんじゃないですかぁ？   (2023/3/7 22:18:30)

中野三玖 ◆> ……ん…きになった   (2023/3/7 22:18:58)

後藤ひとり> ふ、普通に照れてるだけです……   (2023/3/7 22:20:25)

後藤ひとり> まさかの三玖さん×イリアさん……   (2023/3/7 22:20:33)

イリア・コーラル> 気が付いたらひとりさんが絡まれてしまってますね？   (2023/3/7 22:20:52)

倉田ましろ> ひとりさん可愛い(よしよし）   (2023/3/7 22:20:56)

イリア・コーラル> そうでしたか…突いてくれたおかげで戻って来れましたよ（なでなで   (2023/3/7 22:21:09)

倉田ましろ> 新鮮なくみあわせだ...   (2023/3/7 22:21:18)

上杉らいは> ひとりさん可愛いですよ（よしよし）   (2023/3/7 22:21:23)

中野三玖 ◆> …ん…(なでなで!   (2023/3/7 22:21:36)

後藤ひとり> はい……2人の妹が出来ました……(むぎゅ)   (2023/3/7 22:23:12)

イリア・コーラル> …ふふっ（むぎゅっと胸枕にご招待して）   (2023/3/7 22:25:47)

後藤ひとり> にしても無性に脳が疲れてます……   (2023/3/7 22:26:45)

倉田ましろ> 私も眠さ限界に...   (2023/3/7 22:27:16)

中野三玖 ◆> んむっ…   (2023/3/7 22:27:17)

上杉らいは> はい…   (2023/3/7 22:27:22)

後藤ひとり> 眠い人は無理せず……(むぎゅ)   (2023/3/7 22:27:59)

上杉らいは> （むぎゅ）   (2023/3/7 22:29:57)

後藤ひとり> (撫で撫で)   (2023/3/7 22:30:04)

倉田ましろ> んっ、じゃあねようかな...お休みなさい...(ひとりさんのほっぺにちゅってキスして出て行き）   (2023/3/7 22:30:20)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/7 22:30:22)

後藤ひとり> あ、お疲れ様でした…(ふりふり)   (2023/3/7 22:32:37)

上杉らいは> お疲れ様でした！   (2023/3/7 22:33:11)

イリア・コーラル> はい、今日はこの辺りでお暇させていただきましょうか…（三玖さんの事を撫でながら）   (2023/3/7 22:34:58)

おしらせ> 後藤ひとりさんが部屋から追い出されました。  (2023/3/7 22:36:27)

おしらせ> 後藤 ひとりさんが入室しました♪  (2023/3/7 22:36:27)

後藤 ひとり> あ、お疲れ様でした……明日の最新話楽しみにしてます   (2023/3/7 22:36:41)

イリア・コーラル> はい、ではまたよろしくお願いしますね？失礼します。   (2023/3/7 22:37:04)

おしらせ> イリア・コーラルさんが退室しました。  (2023/3/7 22:37:09)

上杉らいは> お疲れ様でした。私はもうちょっといます   (2023/3/7 22:37:36)

後藤 ひとり> 分かりました……(らいはさん抱きしめて)   (2023/3/7 22:38:12)

上杉らいは> ありがとうございます…（抱きしめられて照れて）   (2023/3/7 22:38:26)

後藤 ひとり> 三玖さんも来ていいですよ……(らいはさん撫でつつ)   (2023/3/7 22:39:28)

上杉らいは> こっちこっち！（誘ってみる）   (2023/3/7 22:40:00)

中野三玖 ◆> …ふえ……？   (2023/3/7 22:42:58)

後藤 ひとり> え！？こないですか？…   (2023/3/7 22:43:06)

中野三玖 ◆> ………だって   (2023/3/7 22:47:52)

上杉らいは> だって？   (2023/3/7 22:48:11)

後藤 ひとり> だって？   (2023/3/7 22:48:20)

中野三玖 ◆> …らいはちゃんと楽しそうだし   (2023/3/7 22:48:29)

上杉らいは> 私は別に構いませんよ？   (2023/3/7 22:48:47)

後藤 ひとり> さっきまで二人と相手してたし……   (2023/3/7 22:49:54)

中野三玖 ◆> ……んん   (2023/3/7 22:50:51)

上杉らいは> すみません…ちょっと三玖さんって人見知りみたいなところもあるみたいで…（ひとりさんにボソボソ）   (2023/3/7 22:52:14)

後藤 ひとり> あ、いえ……それは私にも刺さります   (2023/3/7 22:54:34)

上杉らいは> ひゃっ！すみません…   (2023/3/7 22:55:12)

中野三玖 ◆> ざくざくささる…   (2023/3/7 22:55:58)

後藤 ひとり> グサグサです……   (2023/3/7 22:56:48)

上杉らいは> あわわ…ごめんなさい…   (2023/3/7 22:56:56)

後藤 ひとり> だ、大丈夫です……(吐血)   (2023/3/7 22:57:55)

上杉らいは> 血！？大丈夫ですかっ！？（ハンカチ出す）   (2023/3/7 22:59:53)

後藤 ひとり> い、生きてます……(ふきふき…)   (2023/3/7 23:01:30)

上杉らいは> 良かったです…私のせいで…すみません…   (2023/3/7 23:01:47)

中野三玖 ◆> (ごろ…)   (2023/3/7 23:03:29)

後藤 ひとり> (うつらうつら)   (2023/3/7 23:04:07)

上杉らいは> （くとくと）   (2023/3/7 23:05:36)

後藤 ひとり> (みんな眠いそうです)   (2023/3/7 23:06:15)

上杉らいは> （そうなんです）   (2023/3/7 23:06:30)

後藤 ひとり> 寝ます？   (2023/3/7 23:09:29)

上杉らいは> ひとりさんに任せます！   (2023/3/7 23:09:49)

中野三玖 ◆> …寝ない   (2023/3/7 23:09:58)

後藤 ひとり> なら起きますか……(二人ともぎゅ)   (2023/3/7 23:13:00)

上杉らいは> はい…（ぎゅ）   (2023/3/7 23:13:09)

中野三玖 ◆> …おきよう   (2023/3/7 23:15:15)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/7 23:16:03)

絹川みちほ> こんばんは   (2023/3/7 23:16:20)

後藤 ひとり> あ、こんばんはです   (2023/3/7 23:16:24)

中野三玖 ◆> …ん…   (2023/3/7 23:16:48)

絹川みちほ> とりあえず起きてるっぽいから来てみました   (2023/3/7 23:17:14)

上杉らいは> こんばんは   (2023/3/7 23:17:24)

絹川みちほ> 上杉さんとははじめましてですね、私は絹川みちほ。よろしくお願いしますね   (2023/3/7 23:18:21)

