/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年11月22日 21時58分 ～ 2020年12月19日 21時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アツコ・カガリ> こんばんはっ！！   (2020/11/22 21:58:52)
安心院なじみ> ふにゅっ（むにっと揉まれて、面白いことになっていて）   (2020/11/22 23:52:16)

アツコ・カガリ> おーっ、柔らか……変な顔〜♪(むにむにと軽く触ってゲラゲラ笑い)   (2020/11/22 23:54:55)

安心院なじみ> アッコちゃんがやってるんじゃんか～（ほっぺ膨らまして）   (2020/11/22 23:57:51)

アツコ・カガリ> ふふ、ごめんごめん〜♪そうだけど面白くって！(手を離してにこにこ微笑み)   (2020/11/23 00:00:49)

安心院なじみ> ふふふ、許すぜ♪（なでなで）　そういえば、この前は聞きそびれたが、アッコちゃんはいったいどんな人物なんだい？   (2020/11/23 00:01:57)

アツコ・カガリ> え、私？うーん、将来はすごい魔女！魔法でみんなを笑顔にするのが夢！絶対叶える！今はあんまり魔法は得意じゃないけど、絶対に！だから今は魔法学校に通ってるんだよっ♪   (2020/11/23 00:04:18)

安心院なじみ> ほぉ、魔法とはねぇ。魔法学校、ホグワーツかな……？   (2020/11/23 00:05:35)

アツコ・カガリ> ほぐわー…って違う違うっ！！ルーナノヴァ魔法学校って言うところだよっ！   (2020/11/23 00:08:12)

安心院なじみ> おぉ、いい突っ込みだぜ。座布団1枚   (2020/11/23 00:08:42)

アツコ・カガリ> 座布団？集めたら何が起こるの！？   (2020/11/23 00:10:05)

安心院なじみ> ふふ、10枚集めたら好きなスキル一つプレゼントだぜ   (2020/11/23 00:12:22)

アツコ・カガリ> すきる？スキルってなになにっ気になる！   (2020/11/23 00:14:50)

安心院なじみ> そうだね、超能力みたいなものさ。ちなみに僕はそのスキルを合計1京2,858兆0,519億6,763万3,867個持っているぜ   (2020/11/23 00:17:10)

アツコ・カガリ> 超能力……いっけいにせんはっぴゃく……？(数字が大きすぎてよく分からなくなっていて)   (2020/11/23 00:22:15)

安心院なじみ> 1京2,858兆0,519億6,763万3,867個だぜ（ﾄﾞﾔｧ）   (2020/11/23 00:23:45)

アツコ・カガリ> ？？？……よくわからないけど、たくさんってことね！！   (2020/11/23 00:29:26)

安心院なじみ> まぁそうだね。でいろんなもの持っているんだが、その中の一つ好きなものあげるぜ   (2020/11/23 00:30:22)

アツコ・カガリ> その中の一つか〜……うーん…いいやっ、私は渡して何とかする！すごい魔女にならないといけないからっ！   (2020/11/23 00:38:38)

安心院なじみ> ふむ、なかなかいいこと言うじゃないか。さすが主人公だぜ   (2020/11/23 00:40:12)

アツコ・カガリ> ふっふーん！それに、魔女になりたいけど超能力者になりたいわけじゃないしね！   (2020/11/23 00:44:23)

安心院なじみ> なるほどね～。ちなみに、今は何か魔法使えるのかい？   (2020/11/23 00:45:03)

アツコ・カガリ> 魔法……変身魔法とか、変身魔法とか……(ぶつぶつ)   (2020/11/23 00:48:51)

安心院なじみ> ほぉ、変身魔法か。得意な変身を見せてくれるかな？   (2020/11/23 00:50:30)

アツコ・カガリ> わかった！見ててね！(ステッキを取り出してフリフリ)メタモールフィーフォシエス!!(呪文を唱えて振りかざすとぼわんっ、と煙が出て小さいねずみに変身して)…ほ、ほら！変身できたよ！…成功して良かった〜……   (2020/11/23
00:58:33)

安心院なじみ> ほ～。なかなかいいじゃないか（ネズミのアツコちゃん抱いてなでなで）   (2020/11/23 00:59:57)

アツコ・カガリ> で、でしょ！ふふ、このくらいのちょちょいのちょいだよっ！(自慢げに胸を張って)   (2020/11/23 01:05:04)

安心院なじみ> 変身か……。それって僕に成りすますこととかもできるのかい？   (2020/11/23 01:06:04)

アツコ・カガリ> え、なじみに？う、うーん……出来るかもしれないけど……(失敗しそう……)   (2020/11/23 01:09:51)

安心院なじみ> ふむ、まだ実力が足りないのかな……？   (2020/11/23 01:11:14)

アツコ・カガリ> なっ、で、できるもん！やってみせる！(ネズミから元に戻って、もう一度ステッキを振ってぼわわんと)……ど、どうかなぁ……なじみになれてる？(見た目は完璧……だけど一回りくらい小さくて)   (2020/11/23 01:14:31)

安心院なじみ> おぉ～。見た目は完璧だが、なんかサイズちっちゃいような……？。90％ってとこかな？   (2020/11/23 01:15:19)

アツコ・カガリ> …ぐぬぬ、惜しい〜……！もう少しで100％なのに！！   (2020/11/23 01:22:07)

安心院なじみ> まぁそのあたりは頑張ればいいんじゃないかな？（なでなで）　さて、僕はそろそろ行くぜ。またね（緑色の土管に入っていき）   (2020/11/23 01:22:55)

おしらせ> 安心院なじみさんが退室しました。  (2020/11/23 01:22:59)

アツコ・カガリ> あ、帰りもそれなんだ……またねなじみっ！   (2020/11/23 01:23:58)

アツコ・カガリ> 私もそろそろっ   (2020/11/23 01:24:06)

アツコ・カガリ> と思ったけどとりあえず自動退室までっ   (2020/11/23 01:24:22)

おしらせ> 無言時間が20分を超えたため、アツコ・カガリさんが自動退室しました。  (2020/11/23 01:45:48)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/11/23 23:37:03)

佐倉杏子> よ、っと。邪魔するよー(ふらりと入ってきてソファーに腰を下ろし)   (2020/11/23 23:37:21)

おしらせ> 鹿目まどかさんが入室しました♪  (2020/11/23 23:46:39)

鹿目まどか> こんばんは、杏子ちゃん。...隣、いい？（少し眠い眼を擦りながら、ソファの近くへ行って）   (2020/11/23 23:49:25)

佐倉杏子> こんばんは、まどか。うん、おいで？(隣に迎えて、珍しく穏やかな笑みを)   (2020/11/23 23:50:40)

鹿目まどか> ありがとう。...えへへ、途中で寝ちゃったらごめんね。（杏子ちゃんの隣に腰を下ろすと、肩に寄り添うように座って）   (2020/11/23 23:52:58)

佐倉杏子> いいよ。あたしもそこそこ眠いしさ？(身を寄せながら肩を寄せ、二人きりになるかい？って)   (2020/11/23 23:53:41)

鹿目まどか> ん...そっか。じゃあ、一緒だね。（それでもいいよ、と軽く頷いて）   (2020/11/23 23:55:47)

佐倉杏子> ん、いこっか。(手をくいっと引いて)   (2020/11/23 23:57:15)

おしらせ> 佐倉杏子さんが退室しました。  (2020/11/23 23:58:26)

鹿目まどか> うん...ありがとう、杏子ちゃん。（手を取ると、一緒に外へ）   (2020/11/23 23:59:12)

おしらせ> 鹿目まどかさんが退室しました。  (2020/11/23 23:59:18)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/24 23:24:55)

アツコ・カガリ> こんばんはっ！   (2020/11/24 23:24:59)

おしらせ> 無言時間が20分を超えたため、アツコ・カガリさんが自動退室しました。  (2020/11/24 23:58:01)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/25 01:05:29)

アツコ・カガリ> 誰か待ってみるよっ   (2020/11/25 01:05:35)

おしらせ> アツコ・カガリさんが退室しました。  (2020/11/25 01:30:39)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/25 01:30:42)

おしらせ> 無言時間が20分を超えたため、アツコ・カガリさんが自動退室しました。  (2020/11/25 02:17:04)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/25 22:43:41)

アツコ・カガリ> こんばんはっ！！   (2020/11/25 22:43:45)

おしらせ> アツコ・カガリさんが退室しました。  (2020/11/25 23:36:18)

おしらせ> アツコ・カガリさんが入室しました♪  (2020/11/25 23:36:19)

おしらせ> 無言時間が20分を超えたため、アツコ・カガリさんが自動退室しました。  (2020/11/26 01:12:01)

おしらせ> 琴葉茜さんが入室しました♪  (2020/11/26 02:25:16)

琴葉茜> うぃー……めーしぱしぱしてお酒が入ってふらふらするわぁ……まぁ、明日おやすみやしちょっとくらいええやろ？(なんて、お風呂上がりのお布団にとびこむでー。)ふぁー………生き返るわぁ………   (2020/11/26 02:26:46)

おしらせ> 無言時間が20分を超えたため、琴葉茜さんが自動退室しました。  (2020/11/26 03:12:53)

おしらせ> 琴葉茜さんが入室しました♪  (2020/11/26 08:52:34)

琴葉茜> ふぁー……おはよーさん。いやぁ……まだ眠いわぁ。つーことで寝ながら待ってみるかぁ…(髪の毛わしゃわしゃしながらあくびをして……)   (2020/11/26 08:53:49)

おしらせ> 琴葉葵さんが入室しました♪  (2020/11/26 09:08:16)

琴葉葵> お姉ちゃんおはよう♪（笑顔で後ろから顔をのぞかせて   (2020/11/26 09:10:30)

琴葉茜> おー。葵ちゃんお久しぶりやなぁ…お久しぶりでええんよな？(なんて、体を倒す感じで後ろを覗いて…したから見上げる感じに？)   (2020/11/26 09:11:33)

琴葉葵> 残念、私ははじめましての私だよ、ゴメンね   (2020/11/26 09:14:48)

琴葉茜> あら？そうやったかー？まぁ、葵ちゃんにはかわりないからええけどなー？(こっちきー？ってベットに手招き擦るで)   (2020/11/26 09:17:35)

琴葉葵> ふふ、それもそうだね。私達はマスターさんたちの数だけいるからね。（クスって笑みを浮かべてベットに飛び込んで   (2020/11/26 09:19:34)

琴葉茜> んんっ…ぎゅーっ……。葵ちゃん暖かいわぁ……この季節やとどうしても明け方さむいでなぁ。だからって暖房つけると乾燥できついし……手とかカサカサになってまう(なんて、布団にとびこむ葵ちゃんを抱き枕にするでー。このまま寝てしまいそう←)  
(2020/11/26 09:22:55)

琴葉葵> るん、お姉ちゃん…いつまでもそんな子供みたいな…あれ？（抱き枕にされれば手に当たる感触に疑問を感じてお股をモノを   (2020/11/26 09:29:20)

琴葉茜> うちは何時やって子供やでー？………んっ…////葵ちゃんそこは…触られるといろいろがまんできんくなってまうで…?(なんて、手で触られるとビクッと体をゆらして…。少し触られただけで葵ちゃんの手の中で大きくなってってまうでー)   (2020/11/26
09:34:44)

琴葉葵> ふふ、お姉ちゃんのコレは素直だね…ん、そうだ…お姉ちゃん、コレじっと見て（ポケットから棒付きのキャンディを取りだして包を剥がせば目が回りそうなマーブルの柄で赤と青がグルグル混ざっていて   (2020/11/26 09:43:22)

琴葉茜> んっ、素直なんが取り柄やからなぁ…///(葵ちゃんがやがってないようすやから遠慮なく葵の体に肉棒を押し当てるようにぎゅっと足絡めてだきつくかぁ。) んっ？なんやそれ？飴ちゃんくれるん？(なんて？不思議そうに飴を眺めてるで？)  
(2020/11/26 09:46:25)

琴葉葵> うん、あげるよ…（ゆっくりと飴をクルクル回しているとお姉ちゃんは段々ボォっとしてくる…質問なんでも答えたくなるよ、そういえば指をパチンと鳴らして…   (2020/11/26 09:51:26)

琴葉茜> ふぁ、ヤバイちょいうとうとしとった………んっ……どうしたん葵？(なんて指を慣らされるとぽーっとした顔で首かしげて？……あかんほんとに寝そうになってしもた←)   (2020/11/26 10:01:05)

おしらせ> 無言時間が20分を超えたため、琴葉葵さんが自動退室しました。  (2020/11/26 10:11:29)

琴葉茜> うーん、ごめんなぁ。少し寝落ちしてもうて……また遊んでなー？(なんて、頭を撫でて……ぎゅーっと抱きついて……そのまま寝るかぁ。)   (2020/11/26 10:12:15)

おしらせ> 琴葉葵さんが入室しました♪  (2020/11/26 10:12:18)

おしらせ> 琴葉茜さんが退室しました。  (2020/11/26 10:12:22)

琴葉葵> あー、本当に眠っちゃったかぁ（ナデナデ）わたしも…   (2020/11/26 10:13:26)

おしらせ> 琴葉葵さんが退室しました。  (2020/11/26 10:13:29)

おしらせ> 琴葉茜さんが入室しました♪  (2020/11/26 10:36:15)

琴葉茜> あ……葵ちゃん起きてたんか……うーん。しまったなぁ。甘えたかったんやけどなぁ…(ぎゅーっと抱きついて…眠いけどどうしよか…なんて)   (2020/11/26 10:37:47)

おしらせ> 琴葉茜さんが退室しました。  (2020/11/26 10:58:08)

おしらせ> 十六夜咲夜さんが入室しました♪  (2020/11/29 00:58:50)

十六夜咲夜> なんとなく来てしまったけれど…なんとなくタイミングが悪い気がしないでもなく…   (2020/11/29 01:00:18)

十六夜咲夜> ま、のんびりするのもいいわよね（どこからともなくティーセットを出すとソファに腰掛け、お茶を飲みながら考え事…）   (2020/11/29 01:02:22)

おしらせ> 博麗霊夢さんが入室しました♪  (2020/11/29 01:17:25)

博麗霊夢> あら咲夜...こんばんは(そう言って先にいた咲夜に挨拶をして)   (2020/11/29 01:18:39)

十六夜咲夜> 今晩は。たしか前は温泉だったかしらね（顔を上げると軽く笑い、霊夢にも紅茶を勧め）   (2020/11/29 01:19:23)

博麗霊夢> 遠慮なくいただくわね...(そう言って咲夜の隣に座って紅茶を淹れて)   (2020/11/29 01:21:13)

十六夜咲夜> 前から思ってたけど…あなたって本当に愛想がないわねぇ（組んだ手の上にあごをのせて、薄く笑っているような顔でじーっとみつめている）   (2020/11/29 01:23:45)

博麗霊夢> 愛想ねぇ...そんなこと無いと思うけど?まぁ、仮になかったとしても別に愛想が無くても困るわけじゃないでしょう？(そいって少し考えて)   (2020/11/29 01:26:05)

十六夜咲夜> あら困るわよ。愛想がないと、なかなか他人にお願いは聞いてもらえないもの。いくらいじめてオーラを出しても…ね（つんとほっぺをつつき）   (2020/11/29 01:28:20)

博麗霊夢> 私は愛想あるわよ...少なくとも自分ではそう思ってるわ...客観的に自分を見れないからね...(ほっぺを突かれるだけで少しだけ赤面する)   (2020/11/29 01:30:05)

十六夜咲夜> 客観的に自分を見れる人間なんかいないわ。そういう話じゃなくて…大切なのは与える心、ってこと。後は少しの勇気…ま、私もそこまで偉そうに言えた義理じゃないけど。   (2020/11/29 01:36:58)

博麗霊夢> 与える心って言われてもねぇ...私には分からないわよ,そんなこと言われても...勇気はあるつもりだけれどね...(少し咲夜の言葉について考えこんで)   (2020/11/29 01:39:12)

十六夜咲夜> そうねぇ…たとえば（ぱ、と手にクッキーの乗った皿が現れる）　ここに霧雨魔法店謹製の媚薬入りクッキーがあるのだけれど（す、と霊夢の前に置き）   (2020/11/29 01:41:07)

博麗霊夢> 何であんたがそんなクッキー持ってるのよ...(明らかに嘘っぽい事を言われたので、事実か確かめるためにクッキーを一枚手にとって口にして見る)   (2020/11/29 01:43:38)

十六夜咲夜> さてここで問題。このクッキーは本当に媚薬入りでしょうか？（ぴ、と指を立て）   (2020/11/29 01:44:43)

博麗霊夢> はぁ...明らかにあんたの嘘でしょうが...(そう言ってクッキーを頬張りつつ)   (2020/11/29 01:45:46)

十六夜咲夜> そうね、その答えは正しい。でも同時に間違いでもある…本当の答えは「わかるわけがない」　なぜなら結果は求める側と求められる側の意思によって変化するから   (2020/11/29 01:47:21)

博麗霊夢> なるほどね...あんたが言いたいことは理解したわよ...(クッキーを頬張りながら咲夜に言って)   (2020/11/29 01:49:07)

十六夜咲夜> 本当に理解したのかしらねぇ…（苦笑）　目の前の相手が何を考えているのか？という問いと同じなのだけど   (2020/11/29 01:51:49)

博麗霊夢> 別にそれくらいは私でも理解できるわよ...馬鹿にしないで欲しいわね(そう言って咲夜のほっぺたを軽くつねってみて)   (2020/11/29 01:53:32)

十六夜咲夜> あいたた。だからね、愛想っていうのは、自分が何を考えているのか他人にわかってもらうってことなの。それなしで距離を詰めてきてくれる人はあんまりいない…いるとすればそれはよっぽどの人格者か、ヒマ人か、あるいは…相手のことを人とも思わないような乱暴者だけ
  (2020/11/29 01:55:37)

博麗霊夢> まぁ...うん、そういうことね...(理解したと咲夜には伝えるが、実際はあまりよく理解しておらず話題を変えようとして)まぁ...こんな話してても頭疲れるし...話題変えましょ...(そう言って無理やり話題を変えようとして)  
(2020/11/29 02:00:00)

十六夜咲夜> うーん残念ながら（くるりと手首を返して時計を見）　タイムアップ、ね。私の夜の時間はここまで。それじゃ、またね（かき消すように姿が消える）   (2020/11/29 02:02:20)

おしらせ> 十六夜咲夜さんが退室しました。  (2020/11/29 02:02:30)

おしらせ> 博麗霊夢さんが退室しました。  (2020/11/29 02:02:49)

おしらせ> 結月ゆかり ◆hAvv3umFdkさんが入室しました♪  (2020/11/29 08:25:09)

結月ゆかり ◆> おはようございます。こんな早くですけど少しだけお邪魔しますね(こっそりお部屋の扉を開けて。部屋内部の安全を確認したあと、スタスタとソファ目掛けて飛び込んでいき   (2020/11/29 08:26:16)

おしらせ> 紲あかりさんが入室しました♪  (2020/11/29 08:44:01)

紲あかり> ゆかりさんおはようございます〜(そう言って部屋に入ってゆかりの横に座って)   (2020/11/29 08:46:28)

おしらせ> 無言時間が20分を超えたため、結月ゆかり ◆hAvv3umFdkさんが自動退室しました。  (2020/11/29 08:53:39)

おしらせ> 紲あかりさんが退室しました。  (2020/11/29 08:54:12)

おしらせ> 結月ゆかり ◆hAvv3umFdkさんが入室しました♪  (2020/11/29 08:56:54)

結月ゆかり ◆> あかりちゃん、ごめんなさい。完全に目を離していました。(誰か来ていた。いや、気配やら諸々でわかる相手ゆえに名指しで謝罪を述べておき。もう一度のんびりと   (2020/11/29 08:57:51)

おしらせ> 時雨さんが入室しました♪  (2020/11/29 09:03:27)

おしらせ> 紲あかりさんが入室しました♪  (2020/11/29 09:03:40)

時雨> おはようございます。と...(ひょっこりはいってくればはじめてなわけでして。緊張しつつも見渡せばゆかりさんにぺこりと頭を下げて   (2020/11/29 09:04:39)

紲あかり> ゆかりさ〜ん戻ってきましたよ〜(そう言って再度ゆかりの隣に座って)   (2020/11/29 09:04:56)

時雨> おはようございます。(新しく来た人にぺこりと頭を下げて   (2020/11/29 09:06:40)

紲あかり> おはようございま〜す(軽く相手に挨拶を仕返して)   (2020/11/29 09:07:46)

結月ゆかり ◆> ん。あれ…はっ。皆さんおはようございます(携帯端末から目を離してみると、先程までいたであろうあかりちゃんと、見知らぬお方が。片手を振り、こちらからも会釈を返してみて   (2020/11/29 09:08:07)

時雨> えっと、時雨です。よろしくお願いします。(緊張ゆえか、初対面なのもあって敬語で。どうやらお二人さんは同郷のかたみたい？なんて。   (2020/11/29 09:10:16)

紲あかり> ゆかりさ〜ん(軽くゆかりの腕に抱きついて)   (2020/11/29 09:11:07)

結月ゆかり ◆> 時雨さんですね。私は結月ゆかりです。(自己紹介されたからには自己紹介を返す。そんな体裁に則りつつ、抱きついてきたあかりちゃんをよしよし。と   (2020/11/29 09:13:47)

時雨> ゆかりさんですね。わかった。(覚えたことを示すようにうなずきつつも早速楽しそうに絡む二人に目を細めて微笑み、自身もとソファーのはじにちょこんと腰かけて   (2020/11/29 09:15:24)

紲あかり> 私は紲あかり、よろしくね〜(そう時雨に軽く自己紹介をしながら、ゆかりの腕に胸をわざとらしく押し付けてゆかりの反応を見て楽しもうとしつつ)   (2020/11/29 09:18:24)

時雨> あかりさんですね。(こくりとうなずきつつもいちゃつくあかりさんを見てはほんのりほほを赤らめて。   (2020/11/29 09:21:19)

結月ゆかり ◆> ねぇあかりちゃん？？それはどういう意味を示しているんですか……？(時雨さんのほうへ「おいで」とも取れる手招きをしつつ、首傾げて真顔で尋ねてみて   (2020/11/29 09:22:21)

時雨> ん(おいでされるとまるでわんこのようにちいさくちかより、ぴったりくっついてじっくり体温を重ねて   (2020/11/29 09:24:00)

紲あかり> 別に特に意味なんてないけど,何か問題でもあった？別にゆかりさんの胸が小さいからって煽ってる訳じゃないですからね(そう言って不敵な笑みを浮かべて)   (2020/11/29 09:25:47)

結月ゆかり ◆> ん……あかり、ちゃん？？(ちょうど手のひらが当たる胸の膨らみあたりをぐぅぅ。と握り、黒い笑みを。時雨には見えないよう優しくなでなで   (2020/11/29 09:28:36)

時雨> (撫でられると心地よくて目を閉じて。特に話す言葉もいらないか、と納得し愛でられる時間に身を委ね   (2020/11/29 09:30:28)

紲あかり> ちょっとゆかりさんっ...何怒ってるんですか、煽ってる訳じゃないって言ったでじゃないですかぁ...(ゆかりの腕を掴んで自分の胸から離そうとしつつ)   (2020/11/29 09:32:23)

結月ゆかり ◆> 煽ってるわけじゃないならこんなわざとらしい当て方しませんよねぇ……？(がっしりにぎりながら、ひっぺがそうとするのに対抗して。時雨を撫でる手にも少し力が入って   (2020/11/29 09:34:21)

時雨> ......(撫でる手に力がこもると二人の様子を見てほほを赤らめてどうしたものかと小さくあわあわ   (2020/11/29 09:36:31)

紲あかり> んっ...だってゆかりさんの胸って小さいから煽りたくなっちゃうんですよ、煽られたの初めてじゃないでしょ(そう言って開き直って笑って)   (2020/11/29 09:36:34)

結月ゆかり ◆> はぁ、そうです、かぁ。誰が胸が小さい、っていいました……？(時雨さんを優しく撫でているつもりだが、半ば気づかれ気味。そんなのも気にせずお説教にはいろうとしていて   (2020/11/29 09:41:35)

時雨> ......(二人を見てるとなんだかほほえましい。楽しそうにしてるのを見ては自分もいたずらしちゃおうか、とささやかに。そっとぎゅーっと腰に抱きついてみて。   (2020/11/29 09:44:10)

紲あかり> (ゆかりの胸を攻めかえそうと胸に手を伸ばすが、途中で止めて)あっ...ゆかりさんは揉む胸も無いんだった...あはは(怒られる覚悟で苦笑いして)   (2020/11/29 09:44:28)

結月ゆかり ◆> し、時雨さん……！？(腰に抱きつかれる感覚。あかりちゃんでは無い手。驚きに目をぱちくりさせながら、あかりちゃんのふくへとてをいれこもうとしていて   (2020/11/29 09:48:25)

時雨> ぼ、僕も...(構ってほしいなぁ、というには少し恥ずかしいのもあってか口には出さないもののスイッチさえ入ればわりと大胆で、やんわりお腹に触れると愛でるようになで回して   (2020/11/29 09:50:02)

紲あかり> ちょ...ちょっとゆかりさん!?どこに手を入れようとしてるんですか(ゆかりの片腕を掴んでゆかりの胸に近づけて胸が小さいことを自覚させる様に煽って)自分の胸でも触っててくださいね(面白すぎて少し吹き出してしまう)   (2020/11/29
09:52:01)

結月ゆかり
◆> あ、時雨さんも、ですか。それなら時雨さん。そこにいる生意気なあかりちゃんを大人しくさせてくれたら、ご褒美を上げましょう(時雨にスイッチが入ったのならば。とあかりちゃんの相手を頼もうかと。時雨さんの腰に軽くてを当てると、口角を上げてあかりちゃんに微笑みかけて
  (2020/11/29 09:57:43)

時雨> ご、ごめんね、あかりちゃん(ご褒美と聞くといけない顔をして。腰に当てられた手にほんのりうっとりしつつもあかりちゃんのおっぱいに触れてこしょこしょ、と。不馴れな手つきでさわり   (2020/11/29 09:59:58)

紲あかり> ちょっと...んっ...私胸弱いからっ...(ソファに仰向けで倒れんで)ゆかりさんっ...助けてくださいよぉ...(ゆかりに向かって手を伸ばして助けを求める)   (2020/11/29 10:02:10)

結月ゆかり ◆> 今更助けを求めてどうしたんですか？私はたすけませんよ？時雨さんにご褒美を上げるお仕事がありますから(助けを求め始めたあかりちゃんにくすくす。と笑みを向けて   (2020/11/29 10:06:01)

時雨> んへ......(おっきいおっぱい素敵だなぁ、と思いながらも乳首指先で擽って。大人しくしようね。といいながらも役得な状況をほんのり喜びゆかりさんを見ると下腹部のそれが競り上がるのをキューって押さえながらもご褒美ほしさに乳首いじめ続けて  
