チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2024年01月30日 07時15分 ～ 2024年02月09日 14時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

甘雨> ぁ、私は今日は大丈夫です。朝は元気な事が多いので…っ（お休み明けで元気いっぱいですよ、って小さくガッツポーズ。ぐ、ぐっ♡――ありがとうございますって微笑んで、ふわ♡）…そうですね…一人より二人。私も、誰かと一緒でいる事が好きです。――だから、モダニアとお会い出来て、とても嬉しいです…♡（朝誰かとお会い出来る事が、そもそも稀ですし…――少し慌ててやんわりと、手を取ってくれる相手の手指。きゅ♡と握り返して、指絡めかえして…）…ううん、大丈夫です。モダニアがいるので、今は、平気です――（有難うございます、って、その手を大事そうに、祈るように口元に運んで…ちゅ♡と。指に口づけて）……？（モダニアは大丈夫ですか？と小首を傾げるそぶり）
  (2024/1/30 07:15:44)

モダニア> そうなんですねっ！朝が元気はとても羨ましいです……わたしは朝は弱い方なので。でもっ！今朝は早起き出来て良かったですっ……！甘雨にも逢えましたっ♡（わたしも頼りない小さな拳を握ると、嬉しそうに上下に振りながら）んっ……♡く、擽ったいですっ……甘雨っ♡でも……心が温かくなります……えへへ♡わたしも……少し寒いです。も…もう少し、甘雨に近付いて良いですか……？♡（指に受け取った柔らかい感触に顔を赤くしながら照れ、艶のある溜息を漏らして。指を絡めて緩く握ると、そっと身体を寄せて正面から控え目に重心を掛けますっ……♡）
  (2024/1/30 07:23:44)

甘雨> そう、なんですか？…（大丈夫…？って少し気遣うような視線。）――はい、モダニアに、お会い出来ました…多分、この瞬間は、きっと二度とない事なんだろう、って、いつも、思ってます。（どちらかが少しボタンを掛け違えただけで。二度と巡り合えないような。…そんな一期一会と。ふふっ、なかよしなかよし♡って握り合った手。上下にふんふん♡）…ぁ、ごめんなさ――……え、と。…はい、どうぞ…♡（大丈夫ですよって、握り合ってた手、ゆるって解いて…いらっしゃいますか？って腕を広げて。…えへへへ♡って、少し気恥しそうにはにかんで）
  (2024/1/30 07:30:48)

モダニア> はいっ！大丈夫ですっ……！甘雨こそ、もう少しゆっくり出来るならちゃんと休んで下さいっ♡わたしもそう思いますっ♡だからこそ……偶然に逢えた事に感謝したいですっ！（両手の細い指を絡めながら、ぎゅ……♡指先からも少し火照る熱を伝えて、緩くにぎにぎ……ですっ♡）あっ……♡お邪魔します……？これは違う気がしますけど……こういう時は、何てお礼を言えば良いのか……♡ありがとうございますっ、甘雨……♡（絡めた指を名残惜しそうに離すと、腕を広げた甘雨の胸に正面からぎゅ……♡っと抱き着き♡胸をぷにっ♡と当てながら緩く擦ると、体温に縋る様に甘えますっ……♡）
  (2024/1/30 07:38:40)

甘雨> ん…っ♡（…やんわりと。モダニアの細い腰に、背中に腕を回して、ぎゅーー…っ♡…お互いの境界がなくなるように。柔らかい胸の膨らみ同士が触れて、潰れて、こすれあう感覚に、少しくすぐったげに吐息を詰まらせて…それでも心地よさげに。頭に髪に、すり♡って頬を寄せて…）…はい、大丈夫です――今、この時間も、ゆっくりしてますから……――ほんとは、少しだけ人肌恋しかったので……モダニアのからだが、温くて、気持ちがいいです……♡（ほう、って、緩んだ吐息。緩くささやいて…好意を伝えるように、髪に触れる頬、ふに…♡すり…♡）
  (2024/1/30 07:43:20)

モダニア> えへへ……♡甘雨も暖かいですっ……♡もっと……欲しくなっちゃいますっ……♡んっ……♡（正面から隙間が無いくらい密着すると、衣服越しに柔らかい胸の形を何度も変えて。双丘を合わせながら、少し身体を揺らすと顔を真っ赤にしながら甘い溜息を、はー…♡っと唇から溢し）わたしも……気持ちいいですっ♡甘雨の体温、とても優しくて……♡もっと下さいっ……♡（背中に手を回してぎゅー……♡っと強く抱き着き、頬を擦りながら太腿も触れ合って脚を絡めたくなってますっ……♡）
  (2024/1/30 07:49:49)

甘雨> …そう、ですね、もっと、もっと♡…って、欲張りに、なっちゃいますね…♡（心地良い時間。人肌の温かさと柔らかさと。ふにゅ♡に…っ♡って少し身じろぎするだけで形を変えて潰しあう胸の膨らみからの甘い刺激に、ん…♡って、淡く甘い吐息。）…ぁ♡（抱き貸されると、ふるっ♡と小さく震えて…何か我慢するみたいに、モダニアの首筋に顔をうずめて…んーーーっ…♡…口をつぐんで、ぎゅー…っ♡ふるふる…♡）
  (2024/1/30 07:54:01)

モダニア> んっ……♡き、気持ちいいですっ……♡甘雨っ……♡（一度、ふにっ♡と形が潰れた胸を離せば、今度は衣服越しに硬くなった先端を探る様に。少しの引っ掛かりを感じると、緩く擦る様に動きながら肩をぴくっ……♡と振るわせてっ）あ……あの、甘雨……♡その……良かったら……少しお部屋に行きたいです……だ、駄目ですかっ？（脚をもじもじと内股で揺らしながら、恥ずかしそうに小声で耳元で囁くと、密着したままで熱い吐息と一緒に言葉にしてっ……♡）
  (2024/1/30 08:00:34)

甘雨> ……ぁっ♡んっっ♡…（弱い先端同士が、すりすり♡って擽りあってしまうと、人肌の温かさより、おなかの奥を疼かせるような甘い疼きの方が少しずつ強くなってきてしまって…ぎゅ、ぅ…♡ってモダニアに回した手に、少し力がこもっちゃって…♡少しだけ、少しだけって、自分に言い訳しながら、自分からも、す、り…♡――その一回だけで、ひくんっ♡って、肩を小さく震わせちゃって…♡）……え？……ぁ…♡……ぇ、と、そう――です、ね……？…えっと、じゃあ、少しだけ……♡（ぽぅ♡って、熱に浮かされたような顔で、こくん、って頷いて…♡ぁ、でも、鍵のかかったお部屋だと、私は入れないですけれど――。大丈夫です？って淡くかしげる小首）
  (2024/1/30 08:06:13)

モダニア> ふぁ……♡んんっ……♡きゃ……ぅ♡（衣服越しに丘の先端の尖りが擦り合うと、涙目で肩を跳ねさせて少し顎を上げてしまうと恥ずかしそうに顔を真っ赤にしながら……♡）はいっ……♡甘雨が無理しない程度に……少しだけ一緒に居たいですっ♡お部屋を立てますっ……♡行きましょう……えへへ♡（鍵は大丈夫ですっ……♡と頷きながら、絡めた指をぎゅ……♡誘う様に引っ張ればお部屋から出ますっ……♡お待ちしてますっ♡）
  (2024/1/30 08:11:08)

おしらせ> モダニアさんが退室しました。  (2024/1/30 08:11:45)
おしらせ> 環いろはさんが入室しました♪  (2024/1/31 22:10:34)

環いろは> こんばんはー…♪(がちゃ…そっととびらを開けてゆっくりと入室してみた私)久しぶりになっちゃった……。さむっ…(百合部屋のお部屋に入るとそこにはみたことある人がいて…！)ほむらちゃん…？(あれ？神浜で会った時はちょっと雰囲気違うかもしれない…！なんて少しびっくりして)
  (2024/1/31 22:13:32)

暁美ほむら> ......こんばんは（挨拶に応えては本を閉じて...）、、、あなたは、...あぁ、環さん...（びっくりしている相手と対極に落ち着いた声で話しかけて）   (2024/1/31 22:21:14)

環いろは> あ、こんばんは…！読書中におじゃましちゃってごめんね…？(気づいてもらえるけど、あわあわ…と少し申し訳なさそうにして)……何読んでたのかな？(ソファのおとなりに座ってみながら訪ねて)   (2024/1/31 22:23:51)

暁美ほむら> いいのよ、ただの暇つぶし、間を持たせる為のものだったのだから（本をしまいつつ...）大したものじゃないわ、ただの小説よ...（隣に座った相手の方を向いては...）始めまして...ではないのよね、、、（少し考える仕草を...）  
(2024/1/31 22:26:21)

おしらせ> 五十鈴れんさんが入室しました♪  (2024/1/31 22:29:05)

五十鈴れん> お…お邪魔します…はい。久し振りにいろはさんを見掛けたので…挨拶だけでも。ほむらさんは多分…は、初めましてだと思います…はい（お部屋をそっと覗き込むと、前髪揺らしながら控え目に挨拶をして。ソファへと腰を下ろすとこくこく頷きながら）  
(2024/1/31 22:31:17)

環いろは> そうなんだね…！(うんうん！と頷きながら)…神浜で会ってると思うけど…(ここで会うのは初めましてかもしれない…！)ううん、よろしくねほむらちゃん…♪(にこっと笑顔でほむらちゃんに)   (2024/1/31 22:31:42)

暁美ほむら> ...そういうことにしておきましょうか（仕方なさそうに微笑んでは...）えぇ、よろしく。   (2024/1/31 22:33:12)

環いろは> あっ、れんちゃん…！久しぶりだね♪(お部屋の扉が開く音にふりむくと私の知ってるれんちゃんがいて…♪)……うん、ここにくるの久しぶりになっちゃった。でも、誰か会えるかなと思って久しぶりにきてみたんだよね。れんちゃんにも会えて今日はラッキーだったよ…♪
  (2024/1/31 22:33:33)

暁美ほむら> こんばんは、そうね...始めまして。（新たな客に挨拶をしては...）   (2024/1/31 22:33:49)

五十鈴れん> は…はいっ。お久し振りです。元気なら良かったです、えへへ。寒いので風邪には気を付けて下さい…（いろはさんに微笑むと、嬉しそうに照れ笑いしながら）   (2024/1/31 22:42:10)

環いろは> 私も以前からここに何度か遊びにきたことがあってね。でも、ちょっと色々忙しくなっちゃったりして、ここに来れなくなっちゃったんだ…。今週は私の中で落ち着いてる方だったからなんとなく…♪(ふたりに自分のことを話しつつ。でも、ふたりに会えてうれしいなー♡ってにこりっ)
  (2024/1/31 22:44:14)

暁美ほむら> そう、、巡り合わせ、というやつかしらね...（嬉しそうな相手に微笑みながら紅茶を淹れ始めて...）   (2024/1/31 22:47:38)

五十鈴れん> そうですね…私も顔を出す回数が大分、減ってしまいましたから…。でもほむらさんも最近はお部屋に居るみたいですし…また顔を出すのも良いかもしれません…はい。そして私は帰宅途中なので…レスポンスが鈍くて…ご、ごめんなさい…（いろはさんの微笑みに釣られて此方も目を細めると、ほむらさんにも頷き掛け）
  (2024/1/31 22:49:11)

環いろは> そうだったんだ…！気をつけて帰ってきてね…♪(お返事はゆっくりで大丈夫だからね♪と、れんちゃんに)……うんうん。あっ、紅茶ありがとうほむらちゃん…♪(とくとく…と注がれてる紅茶をわぁ…♪と見て)……最近寒くなったもんね…！あたたかい飲み物が恋しくなっちゃうね…！
  (2024/1/31 22:54:02)

暁美ほむら> 巴さんほど美味しくはないけれど...、、良ければどうぞ（人数分の紅茶を出し並べては...）そうね、気をつけて帰ってきなさい...。   (2024/1/31 22:57:29)

環いろは> いただきます……♪(ほむらちゃんが注いでくれた紅茶。カップを手に取り、良い香りに心がホッとして……そのままひとくち………ずずっ…)……うん、おいしいよ♪あったかい……。   (2024/1/31 23:01:57)

暁美ほむら> そう、それは良かった...（満足げに頷いては、自分の分の紅茶を飲んで...）...もう少しで冬も終わりね...。   (2024/1/31 23:03:27)

環いろは> ええっ…！私の中で冬ってまだまだこれからのイメージだったのに……でも、テレビのニュースとかでも暖かい冬で少し早い春をむかえることになるでしょうって見たような…。   (2024/1/31 23:10:47)

暁美ほむら> あと1ヶ月...まぁ寒く感じるのはもう少しあるかもしれないけれど...。.....今年の冬も寒いわね（少し眉を下げながら腕を抱えて...）   (2024/1/31 23:13:57)

おしらせ> 無言時間が25分を超えたため、五十鈴れんさんが自動退室しました。  (2024/1/31 23:14:46)

暁美ほむら> あら、お疲れ様かしら。   (2024/1/31 23:16:49)

環いろは> 無事におうちに帰れますように…♪またゆっくりお話しようね…♡>れんちゃん   (2024/1/31 23:18:22)

環いろは> うんうん、私も寒さにちょっと…。ほむらちゃん大丈夫…？(大きめのもふもふブランケットでほむらちゃんをくるん…♪と包みこんであげちゃって)   (2024/1/31 23:19:32)

暁美ほむら> え、えぇ、、今大丈夫になったわ。ありがとう（礼を言ってはぬくぬくと、、、）環さんは大丈夫なの？（ふむ）   (2024/1/31 23:22:21)

環いろは> 私は大丈夫だよ♪………それともこうした方がよりあたたかいのかな？(えいっ…♪ほむらちゃんを包んだブランケットに私もおじゃまする形で一緒にくるまって)   (2024/1/31 23:26:11)

暁美ほむら> え？、、ふぇっ！？（らしくなく素で驚いては一緒にくるまって...）た、環さんがそれでいいなら...（身を寄せつつ一緒に暖まれば一息ついて...）   (2024/1/31 23:28:37)

環いろは> ふふ……♪まどかちゃんもこうするのかなって…。どうかな…？あたたかい？(ひとつのもふもふブランケットにふたりでくるまって。自然と距離も近づいてふとももは少し触れちゃうかもなんて…♪)   (2024/1/31 23:30:06)

暁美ほむら> えぇ、、1人よりよっぽど暖かいわね...（少し頬を赤くしながら、太ももと肩を触れさせて暫しそのままで...）   (2024/1/31 23:33:35)

環いろは> 良かった…♪ほむらちゃんが温かくなってくれると私まで温かくなれそう…♪(私からもぴと…ってくっついて。ブランケットでしっかり包み込んで…ぬくぬく……♪)   (2024/1/31 23:35:53)

暁美ほむら> ....それならいいのだけれど（静かに頭を相手の肩に乗せて、、無意識に甘える仕草を...）   (2024/1/31 23:37:36)

環いろは> ほむらちゃん……♪(わたしの肩にほむらちゃんが頭を乗せてきて…//黒髪が少し触れるのがこそばゆく…でも、その仕草に少しどき…♡としつつ)…ほむらちゃんたら……♪   (2024/1/31 23:42:37)

暁美ほむら> 【ごめんなさい、休養で落ちます】   (2024/1/31 23:42:38)

おしらせ> 暁美ほむらさんが退室しました。  (2024/1/31 23:42:47)

環いろは> ゆっくりやすんでね…！それじゃ、私もそろそろお風呂はいらないとだから、みかづき荘に帰らないと…！また機会があったら遊びにきますね♪それではまた…！(使ったブランケットはていねいに畳んで私もお部屋を後にするのでした…♪)   (2024/1/31
23:46:06)

おしらせ> 環いろはさんが退室しました。  (2024/1/31 23:46:16)

おしらせ> 暁美ほむらさんが入室しました♪  (2024/2/1 23:42:23)

暁美ほむら> .......（ソファに座っては待機を...）   (2024/2/1 23:42:37)

暁美ほむら> 誰も来ないわね.....（本を開いてはくつろぎ始めて...）   (2024/2/1 23:53:37)

おしらせ> 無言時間が25分を超えたため、暁美ほむらさんが自動退室しました。  (2024/2/2 00:29:53)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが入室しました♪  (2024/2/4 20:25:41)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 余だヨ！！（元気よく入室しては...）む、誰もおらぬではないか...まぁ良い。待機するぞッ（ソファに座っては...）   (2024/2/4 20:26:32)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> .......（そわそわ...）   (2024/2/4 20:56:04)

おしらせ> 東北ずん子さんが入室しました♪  (2024/2/4 20:59:21)

東北ずん子> ずんだがきましたよ！(ずんだ餅をそーっと進呈して   (2024/2/4 20:59:55)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ！？（突然の到来に驚いては...）ずんだが来たのだな！？......ありがたくいただくぞ!（驚きながらずんだ餅を頂いて...）余はネロ･クラウディウス、好きに呼ぶが良い...（もぐもぐしながら自己紹介を...）   (2024/2/4
21:02:48)

東北ずん子> はい、どうも、東北ずん子です(ぺこりっと小さくお辞儀して)いやー、色々と遊んでておちついたのでお邪魔させてもらいましたよっ(はふーっとおおきくいきをはき、大きく伸びをして)……は、ずんだを食べたから悪戯してもいい理論を発動すればいいでしょうか(ついでのように付け足しながらお隣にぽすっとすわりこみ)
  (2024/2/4 21:06:23)

