/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月24日 03時12分 ～ 2023年02月25日 13時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

犬走椛> 他の人にはお尻を…   (2023/2/24 03:12:01)
おしらせ> 無言時間が25分を超えたため、結月ゆかりさんが自動退室しました。  (2023/2/24 04:23:58)

森久保乃々> はい、お仕事頑張ってください、です……   (2023/2/24 04:24:30)

森久保乃々> 4時ってなにもすることないんですよね……ゲームのデイリーは5時からですし……この時間が一番虚無なのでは…   (2023/2/24 04:31:41)

おしらせ> 五十鈴れんさんが入室しました♪  (2023/2/24 04:56:37)

五十鈴れん> お、おはようございます…はい。乃々さん…今朝は早かったんですね…あっ、デイリーなら…私は気にしないでこなして下さい…（こくこく…）   (2023/2/24 04:58:18)

森久保乃々> はい、おはようございます……今日は結構早起きなもりくぼです……いえいえ、デイリーなんて片手間にこなせますので…   (2023/2/24 04:59:26)

五十鈴れん> 3時起床はやり過ぎです…はい。ち、ちゃんと寝れましたか…？最近のデイリーはスキップとか駆使できますから…便利です…はい   (2023/2/24 05:00:48)

森久保乃々> そうですね…早起きしすぎて眠いくらいではありますし……ふふ、もりくぼは原神なのでちゃんとやらないといけないんですけどね……それでもすぐ終わらせられますけど   (2023/2/24 05:02:01)

五十鈴れん> この時間なら…まだ二度寝も余裕です…無理せずに寝落ちても大丈夫です…はい。乃々さん…原神も遊んでたんですね…面白いですか…？（傾げ…）   (2023/2/24 05:04:39)

森久保乃々> とはいえ、せっかく人が来てくれたのですからお話しててもいいですけど……原神は面白いですね…日々の忙しさでイベント忘れるときも多いですけど…   (2023/2/24 05:06:20)

五十鈴れん> 原神…PCで遊んでるんですか…？わ…私、PCあると言えばあるのですけど…コントローラー持ってないので…はい   (2023/2/24 05:08:43)

森久保乃々> もりくぼはゲームはほぼPC勢ですね……コントローラーとかもう何年握ってないかわからないくらいです…   (2023/2/24 05:10:02)

五十鈴れん> あ、あの…原神ってマウスで遊べませんよね…？   (2023/2/24 05:10:52)

森久保乃々> えっ   (2023/2/24 05:11:40)

森久保乃々> もりくぼがしているのは原神ではなかった…？   (2023/2/24 05:11:58)

五十鈴れん> あっ…マウスで遊べるんですね…ということは…DLさえすれば取り敢えずは…すぐに遊べる感じですか…   (2023/2/24 05:16:15)

森久保乃々> そうですね、マウスとキーボードでがちゃがちゃする感じです……はい、すぐに遊べると思いますよ   (2023/2/24 05:20:35)

五十鈴れん> や、やってみようかな…   (2023/2/24 05:23:17)

森久保乃々> おや、もともと興味はあったんですかね……やってみるといいと思いますよ   (2023/2/24 05:23:55)

五十鈴れん> き、興味はありました…で、でも、ソシャゲって…途中から始める敷居、高いじゃないですか…   (2023/2/24 05:24:51)

森久保乃々> 原神は途中からでも入りやすい方だと思いますけどね……基本ソロではありますし…   (2023/2/24 05:26:38)

五十鈴れん> 私から見れば…マルチ面白そうですけど…みんなやってないみたいですね…効率の問題なのでしょうか…はい   (2023/2/24 05:27:35)

森久保乃々> 友達とするようなマルチだと面白いと思いますよ、ランダムマッチで素材の周回とかするような場だと…まあ、いろいろありますから   (2023/2/24 05:28:39)

五十鈴れん> でもソロでも稼げるのは…親切です。マルチの方が効率いいのが普通な気もしますし…（こくこく…）   (2023/2/24 05:30:43)

五十鈴れん> あ、後で落としてみようかな…   (2023/2/24 05:30:58)

森久保乃々> それはそうです、適切な編成なら効率よくなるのは当たり前ですしね。ええ、ぜひ楽しんでみるといいですよ   (2023/2/24 05:31:41)

おしらせ> 桜衣乃さんが入室しました♪  (2023/2/24 05:31:59)

桜衣乃> おはようございまーす♪ 桜衣乃が帰ってきましたよ〜♪   (2023/2/24 05:33:11)

五十鈴れん> あっ…い、衣乃さん…お帰りなさいです、はい…（ぎゅ…♡）   (2023/2/24 05:33:14)

森久保乃々> おや、おはようございます……イノさんも早起き、ですね…   (2023/2/24 05:33:46)

桜衣乃> 自分でも不思議なほど早起きしちゃいました♪れんちゃんはお待たせしました〜、復活祭とか別にやってませんから、気を落とさないでくださいね〜♪(ぎゅー♡)   (2023/2/24 05:35:48)

五十鈴れん> で、でも衣乃さん…もうこれからずっと顔出せるんですか…？一時的な復帰ですか…？   (2023/2/24 05:40:16)

森久保乃々> でもこれだけ早起きなのも心配、ですけどね…？休む前も睡眠時間そのくらいで、大変みたいなこと言っていたような気がしますし…   (2023/2/24 05:42:52)

桜衣乃> ずっと出ますよ？　私の用事は済みましたから、これからは今まで通りちゃんと顔を出します♪ …れんちゃんみたいに寂しい思いをさせた子達にもファンサいっぱいしてあげないといけませんね♡(なでなで   (2023/2/24 05:43:04)

五十鈴れん> えへへ…お、お疲れ様でした…それと、お帰りなさいです…はい（撫でて貰うと嬉しそうに…頬を擦り身体寄せちゃいます…）   (2023/2/24 05:44:08)

桜衣乃> それを言うと乃々ちゃんやれんちゃんみたいな子達がこんな時間に起きてる方が心配ですよ〜？　乃々ちゃんは昨夜はちゃんと眠れましたか…？(おいでおいで、って乃々ちゃんにも手招きを…)   (2023/2/24 05:45:01)

森久保乃々> もりくぼはあれから…6時間程度は眠れましたかね…？（手招きされればイノさんのお隣に……肩を寄せて）   (2023/2/24 05:45:57)

五十鈴れん> わ、私は今日もお休みなので…はい。後で寝れます…乃々さんはもう少し寝るべきです…はい…（こくこく…）   (2023/2/24 05:46:22)

桜衣乃> はい、ただいまです♪ …あ、お話の途中でしたら、続けてもらって大丈夫ですからね…。(頬擦りするれんちゃんに、ひとつ…。　乃々ちゃんも来たなら、両手に2人とも抱きしめちゃいます♪) …乃々ちゃんは結構眠れたみたいですね♡   (2023/2/24
05:47:46)

桜衣乃> 添い寝のかいはありましたね…♡(乃々ちゃんのお耳にぼそり…♪)   (2023/2/24 05:48:45)

森久保乃々> なんかいつももりくぼは寝ろ寝ろ言われる気がします……もりくぼも言う方ではありますけど……（もりくぼからもぎゅっとイノさんに抱き着いてはすりすり…耳打ちされるとぴく、と肩震わせ）   (2023/2/24 05:49:22)

五十鈴れん> 乃々さんは大分、睡眠時間が摂れる様になった感じで…良かったです…はい   (2023/2/24 05:49:24)

桜衣乃> 乃々ちゃん寝るの早くて起きるの早すぎてちゃんと寝てるか不安ですからね。みんなが同じように思うのは仕方ないかもしれません……でも、れんちゃんの言う通りちゃんと眠れているならいいことなんだと思いますよ♪(ふたりのほっぺに挟まれて…ぽわぽわ…♡)  
(2023/2/24 05:52:00)

五十鈴れん> た、確かに乃々さんは起きる時間が早過ぎて…寝てないイメージありますけど…その分、早く寝てます…はい（頬擦り甘えちゃいます…）   (2023/2/24 05:53:54)

森久保乃々> 明らかに睡眠時間短そうな二人に言われるのも……もりくぼは以前より眠れているのでご心配なく…（女の子二人にすりすりされて喜ぶイノさん…いつも通りですね…ほっぺにちゅぅ…もして）   (2023/2/24 05:54:48)

桜衣乃> はい♪心配不要とのことであれば、私は乃々ちゃんを信じます♪ …んっ…♪…れんちゃんも…してくれますか…♡(乃々ちゃんのほっぺちゅーさせたまま、もう片方のほっぺに…と、れんちゃんにも目線送って…♡)   (2023/2/24 05:56:46)

五十鈴れん> あっ…は、はい。勿論です…えへへ…んっ♡（抱き着きながら…衣乃さんのもう片方の頬に唇を優しく当てます…♡）   (2023/2/24 05:59:34)

五十鈴れん> ご…ごめんなさい、ちょっと離れます…直ぐ戻ります   (2023/2/24 06:00:34)

桜衣乃> はぁぁぁぁん……♡♡♡私……左右から女の子に一緒にキスされるの夢だったんです……♡♡♡(念願かなってぞくぞく…♡) …あ、いってらっしゃいませ…♪   (2023/2/24 06:00:52)

森久保乃々> はーい、いってらっしゃいです   (2023/2/24 06:01:02)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/2/24 06:01:28)

森久保乃々> そんな夢、ここでなら何回でもできそうですけどね……（ちゅ、ちゅ…♡）   (2023/2/24 06:01:47)

桜衣乃> …短い夢でした…♪でも、またしてくれますよね、乃々ちゃんも…♡(ちゅー…♡今度は乃々ちゃんの唇もらっちゃいます…♡ちゅ、ちゅ、ちゅ…♡)   (2023/2/24 06:02:00)

羽鳥智世 ◆> おはようございます…。少しの間お邪魔しても…？（顔を覗かせて）   (2023/2/24 06:02:15)

桜衣乃> あ、チセちゃん…♡おはようございます…♡少しと言わずにどうぞどうぞ…♡(と手招きを…)   (2023/2/24 06:02:54)

森久保乃々> ん、おはようございます……智世さん……   (2023/2/24 06:03:11)

森久保乃々> 今度は唇、ですか……いいですけど……んん……（しっかりイノさんと向き合って……唇押し付けつつ、ちゅ…♡）   (2023/2/24 06:03:50)

羽鳥智世 ◆> あ、どうもです。皆おはよう…。（そそくさと部屋に入れば百合百合している。　相変わらず凄いな、といった面持ちで横目で眺めつつ、反対側のソファに）   (2023/2/24 06:04:48)

桜衣乃> えへへ…♡乃々ちゃんとはスキンシップ長らくおあずけしてましたからね…♪まだまだ全然足りてませんから、もっといっぱい…♡(ぎゅっぎゅっ♡ちぅぅ…♡)   (2023/2/24 06:05:45)

桜衣乃> …んん、チセちゃん、もっとこっち…。私の隣とか、私と乃々ちゃんの間とかにどうぞ…♪(乃々ちゃんに、いいですよね…？とアイコンタクトしながら…)   (2023/2/24 06:06:39)

森久保乃々> ふふ、智世さんも遠慮することないと思うんですけど……もりくぼとちゅーしても、いいんですよ？（イノさんのアイコンタクトに頷き…ぷぁ、と唇を離せば、智世さんのほうに向けて唇突き出して誘ってみたり…）   (2023/2/24 06:07:39)

羽鳥智世 ◆> き、今日は人待ち…なはずなので…。間に入ると……うぅ……。キス、だけですからね…。（乃々に突き出されると、断れない。と、一度は座ったソファから立ち上がって乃々の前に。唇を塞ぐようにキスをするが、衆人監修でするのは少し恥ずかしいと耳を赤くさせて）
  (2023/2/24 06:09:46)

五十鈴れん> あっ…智世さんもおはようございます…はい。早起きです…（衣乃さんに抱き着きながら、前髪揺らしてこくこく…）   (2023/2/24 06:12:23)

森久保乃々> ああ、人待ちなら仕方がないですね……ええ、キスだけでも結構、楽しめるので……ん、んぅ…（誘惑に成功してもりくぼのほうに近づいてくる智世さんに喜んでは、しっかりキスし合って……恥ずかしそうにするのも、また可愛らしく感じて…）  
(2023/2/24 06:12:31)

桜衣乃> …あ、そういえば人待ちでしたね♪まだ来てないみたいですね〜…。　…ふふ、もちろんキスだけ、ですよ♪この後あるみたいですし…♡(乃々ちゃんがしてる隣で、チセちゃんの……首筋に、ちぅぅ…♡と残りそうなキスしちゃいます…♡)   (2023/2/24
06:14:07)

桜衣乃> あ、れんちゃんおかえりなさいませ…♡…ふふ、れんちゃんにも…♪(と、乃々ちゃんにしてあげたようなバードキスを、ちゅ、ちゅ、ちゅ…♡と落として…♡お部屋中、キス音でいっぱいです…♡)   (2023/2/24 06:15:26)

羽鳥智世 ◆> あ、れんも…おはよう。この前はありがとう。（薄く微笑んで、少し手を振って。唇のキスを見せつける形に顔は真っ赤なままで。）　   (2023/2/24 06:16:00)

五十鈴れん> えっ…⁉︎あ、あの…んっ♡（恥ずかしそうにキスを貰えば、こちらからもひとつだけ衣乃さんに啄み返して…照れ笑いしながら腕に…ぎゅ♡抱き着きます…）   (2023/2/24 06:17:49)

森久保乃々> いつの間にかキスだらけになっちゃいましたね……やっぱりこれも、イノさんの効果でしょうか……   (2023/2/24 06:18:41)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/24 06:20:24)

結月ゆかり> まぁ、覗いてはいるのでお部屋立ててもらえれば行きますけどね！   (2023/2/24 06:20:43)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/24 06:20:47)

五十鈴れん> あっ…い、いえ…私で良ければ…また何時でも呼んで下さい…えへへ（智世さんのキスを眺めれば、オープンになりました…なんて前髪の隙間から覗く瞳を細めて…）   (2023/2/24 06:20:51)

桜衣乃> こんな触れ合うだけのキスだけでも……して嬉しいし、されて嬉しい…でしょう？♪ ふふ、私がいなくたってみなさんちゅっちゅらびゅらびゅしていいんですよ…♪(抱きつくれんちゃんをよしよししながら…乃々ちゃんの首筋にも、キスマークひとつ残るようなのを…♡)
  (2023/2/24 06:20:52)

羽鳥智世 ◆> もう立ててますね…。   (2023/2/24 06:21:11)

五十鈴れん> ゆかりさん、そういうのだけは早いので…はい   (2023/2/24 06:21:27)

桜衣乃> ……だそうです。まだ仕事中でしょうに、ふふ。(ゆかりちゃんにもおはようございます、と声をかけたことにしましょう♪)   (2023/2/24 06:22:04)

森久保乃々> ゆかりさんはいつもこうですからね……   (2023/2/24 06:22:17)

森久保乃々> もりくぼからこう……ちゅっちゅの雰囲気にするのはなんとなく恥ずかしいというか……（あわあわ……イノさんにキスマーク付けられては、お返しにとイノさんの首筋に…ちゅぅぅ…）   (2023/2/24 06:23:36)

羽鳥智世 ◆> もう少し忙しいとのことなので…こちらに。お邪魔してますね…。　えっと…れんにも…（少しだけあるけば、こちらにも私から唇にキスを一つ落として）   (2023/2/24 06:24:26)

桜衣乃> 今日は一番最初にキスしてくれたのは、乃々ちゃんですよ…♡…恥ずかしいというわりには、自分がこの空気にしたのをお忘れで…♡(はう…♡と、乃々ちゃん印つけられちゃいます…♡)   (2023/2/24 06:25:04)

森久保乃々> ……そういえばそうでした、いや、ほっぺにちゅーはまだセーフだと思うんですよ…それを昇華させたのはイノさんというか…（苦しい言い訳…）   (2023/2/24 06:26:01)

桜衣乃> どこにちゅーしたっておんなじですよ…♡ねぇ、れんちゃん？(私がつけた首筋のキスマークの上、指をつー…とその形になぞって…)…積極的な乃々ちゃん、好きですよ…♡もちろんいつものもりくぼちゃんも好きですけど…♡(と、もう一度…重ねるだけのキス、乃々ちゃんに…♡)
  (2023/2/24 06:28:17)

五十鈴れん> えへへ…ありがとうございます…智世さん♡でも、私からもあげないと不公平です…はい（キスをひとつ貰えば嬉しそうに顔を蕩けさせて…頷きながら智世さんの手を取ってこちらへと引くと、唇もう一回、重ねて…こちらからは小さな舌を少しだけ挿れて、滑りをあげちゃいます…）
  (2023/2/24 06:30:11)

森久保乃々> うぅ、百合百合空間を作り出してしまいました……朝から百合百合するのは目論見通りではありましたけど…んぅ…（イノさんともう一度ちゅぅ…♡れんさんの温もりもちょっとだけ感じて…）   (2023/2/24 06:31:35)

羽鳥智世 ◆> うう…みんな大胆だ……わたしの友達は…。（唇まで貰えば…。今日は無理でも、また近いうちに誘おうと決意して。　心臓がドキドキしてしているの、伝わらないことだけが救いだろうか。）   (2023/2/24 06:32:04)

五十鈴れん> お、同じですか…⁉︎で、でも…頬の方が…挨拶代わりに出来ます…はい。お口は…あの、えっちな気分になり易いので…（こくこく…）   (2023/2/24 06:33:04)

森久保乃々> そうですね……お口はえっちな気分になりやすいです……現に今も…ちょっと…はい…（てれてれ）   (2023/2/24 06:34:29)

桜衣乃> …♡乃々ちゃんとれんちゃんがちょっと遠いですね…♡よいしょ♪(私と乃々ちゃんのポジションを変えて、ふたりを隣同士にさせたら、私とチセちゃんがソファの前に立つ形に…)
…ふふ、かわいいでしょう…♡みなさんこうやって、誰とでも気兼ねなく百合百合できる…とても、いいことだと思います…♡(向こうがべろちゅーしてるの見たら、私も乃々ちゃんの口の中に舌をつんつんと…♡)   (2023/2/24 06:35:08)

五十鈴れん> あ、あの…衣乃さんの気の使い方です…はい（顔を赤らめて俯き、表情隠しながら…）   (2023/2/24 06:37:39)

桜衣乃> 頬へのキスはまだ挨拶ですもんね…♪でも私はほっぺにされたら、それが開始の合図ですよ…♡…いっぱいキスマーク付けちゃいますから…♡(れんちゃんに目配せひとつ…♡)   (2023/2/24 06:37:47)

森久保乃々> そう、ですね……もりくぼも気軽にゆりゆりできるようになりたい、ですし……んぁ……（誘い込むように舌を入れられれば、もりくぼも応えるように…舌を差し出して、イノさんの舌に絡めるように……れろぉ…）   (2023/2/24 06:38:01)

羽鳥智世 ◆> あ、じゃあ私はそろそろ…。みんなとはまた、その…遊びたいので…はい。   (2023/2/24 06:41:41)

桜衣乃> れー…♡れる、ちゅ…♡あむ…♡(ぴちゃっ♡ちゅぷっ♡と、水の弾ける音を響かせるようなべろちゅー♡周りにむしろ聴かせるように、見せるように…♡2人で口の外でつつきあったり、絡めたりして…♡)   (2023/2/24 06:41:45)

羽鳥智世 ◆> 仲良くしてください……それでは、また…   (2023/2/24 06:41:47)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが退室しました。  (2023/2/24 06:41:53)

桜衣乃> ……あ、チセちゃんいってらっしゃいませ…♪   (2023/2/24 06:42:06)

森久保乃々> はい、もりくぼも智世さんとまた遊びたいです……いってらっしゃい…   (2023/2/24 06:42:19)

五十鈴れん> はい、またです。行ってらっしゃいです…智世さん（緩く手を振って…）   (2023/2/24 06:42:38)

五十鈴れん> わ、私も朝食の用意をしてきます…はい。また戻ります…一旦、お疲れ様でした…   (2023/2/24 06:43:50)

おしらせ> 五十鈴れんさんが退室しました。  (2023/2/24 06:43:57)

森久保乃々> れんさんもはい、いってらっしゃいです…   (2023/2/24 06:44:09)

桜衣乃> はい、れんちゃんも行ってらっしゃい…♡   (2023/2/24 06:44:26)

桜衣乃> …ぷは…♡(乃々ちゃんと透明な橋作りながら…)…ふたりっきり、ですね…♡   (2023/2/24 06:45:07)

森久保乃々> んふ、ちゅぅ……♡ぁ、む……っ♡（イノさんとたっぷり唾液を絡めたキスして……♡見せつける…つもりでしたけど、いなくなっちゃいましたね…？でもまあ…続けちゃいますけど…♡と、見つめ合いながら、舌をれろれろ…♡）   (2023/2/24
06:45:12)

森久保乃々> そう、ですね……どうします…？   (2023/2/24 06:46:02)

桜衣乃> …乃々ちゃんは朝ごはんとか、まだいいんですか…？…私もあと1時間ありませんけど…キスだけじゃ、ちょっと足りなくなってきちゃいましたよ…♡   (2023/2/24 06:46:20)

森久保乃々> もうとっくに食べてますから大丈夫ですけど……そうですね、もりくぼもちょっと足りない感じです…♡   (2023/2/24 06:46:53)

桜衣乃> それを抑えてあえてキスだけ…っていうのもいいですけど…♡…今度は乃々ちゃんに選んでもらいたいです…♡どこまでいくか…♡   (2023/2/24 06:47:27)

森久保乃々> ふふ、それなら…おさわりするくらいはしたい、ですね……♡   (2023/2/24 06:48:14)

桜衣乃> もちろんですよ…♡ここで、いいですか…？♡(セーラー服脱いだら…ふるんっ、と薄桃色のブラと共に胸を曝け出して…♡)   (2023/2/24 06:49:50)

森久保乃々> まあ、はい…たまには表で……いいんじゃないでしょうか…♡はぁ……イノさんの…♡（さらけ出されたピンクのブラと肌色に……思わず手を差し出し…ふにゅんと掴んで…♡）   (2023/2/24 06:51:23)

桜衣乃> おっぱいですよ…♡…ふふ、表でいいんですね…♪まぁ裏に行っちゃったらきっと…1時間じゃ終わりませんもの、ね…♡(ブラ越しに掴まれるおっぱい、いっぱいキスをしてたおかげか、突起がもう見えるほどに…♡)…ぁ…♡…乃々ちゃんのは、どうでしょうか……♡(と、こちらも乃々ちゃんのお胸、服の上から撫でるようにまさぐります…♡)
  (2023/2/24 06:54:28)

森久保乃々> ええ、きっと1時間じゃ…足りなくなっちゃいますし……♡ああ、とっても…触り心地がいいですよ…♡（ふにゅふにゅ……揉んでいると先端がとがっているのに気づいて…ブラ越しにそこをすりすりしてみて…♡）ん、はぁ…♡もりくぼも…脱いじゃいましょうか…♡（胸に触れられると、ぴくりと震えて…♡触りたそうにしているので、上の服を脱いでは…薄緑の控えなブラを見せ…♡）
  (2023/2/24 06:57:25)

桜衣乃> 私は…今してるこれだけでも、1時間では足りないと…思ってますけど、ね……っ…♡ぁ、ぁ…♡(すりすりされる敏感なそこ…♡当然刺激強くて…♡…乃々ちゃんのブラと、まだ小さなお胸を見れば…)…ありがとうございます…♡とってもかわいいブラ付けてますね…♡乃々ちゃんのおっぱいも、いただきます…♡(ブラの上から、乃々ちゃんのおっぱい手で覆ってまさぐって…♡…肝心の乳首を避けるように…♡)
  (2023/2/24 07:00:36)

森久保乃々> 確かに、そうですね……ずっとしていたい、そう思っちゃいそうです……♡ここ、やっぱりいいですよね…♡（すりすり……♡もりくぼも乳首好きなので、弄り方は当然熟知していて…♡気持ちいいけど、少しだけ焦らすような感じで…♡）も、もりくぼはそこまでかわいいのでは…お胸だってイノさんみたいではありませんし…♡ん、はぁぁ…♡んん…♡（おっぱい触られているけど、一番触ってほしいところは触れられなくて…♡もどかしそうに乳首はぷっくり膨らんで主張して…♡）
  (2023/2/24 07:03:33)

桜衣乃> はい…♡えっちな気分になって硬くしちゃったここをいじられるのは…いつされてもいいものです…♡…ぁ♡あっ♡…で、も…♡(いいところを触れながらも焦らす乃々ちゃんと…乳首を絶対触ってあげない私と…♡対照的な責め方で…♡)…こうやって…♡触れてあげない、のも…♡かえって効く、でしょう…？早く触って…♡って、乃々ちゃんのちいさなおっぱいがおねだりしてるようです…♡(でもだぁめ…♡指は乳輪まで触れて、でも先端に擦りもせず…♡)
  (2023/2/24 07:07:55)

森久保乃々> もりくぼは……乳首を触ってあげるのも、触られるのも…大好きですからね…♡ふふ、どうしました…♡気持ちいいですよね…？♡（ゆっくりと、触れたり触れなかったりを繰り返してみたり…♡乳首の側面をなぞるみたいにしてみたり…♡触れることでも性感は上げられますからね…♡）んぅ…♡そう、ですね…♡こうやって焦らされるのも、気持ちいいですから…♡でもそろそろ直接でも…いいんじゃないですか…♡（ぞくぞくと乳首への期待高められて…♡触るのも触られるのも…ブラが邪魔になってきて…♡）
  (2023/2/24 07:11:54)

桜衣乃> …はいっ…♡…私の方が、むしろ我慢できませんっ…♡(ぷちぷちっ、とブラを投げ捨てれば、乃々ちゃんの目の前には痛そうなほどにつん…と尖らせたピンクの乳首を見せつけて…♡)
直接…♡うん、直接乃々ちゃんの指…ほしいです…♡乃々ちゃんもブラ外してくれますよね…♡(発情しきった顔でそうおねだりして…♡乃々ちゃんの目の前で、指が鉤爪状にして、こんな動きで責めますよ…♡って、指が細かく動くところ見せちゃいます…♡)  
(2023/2/24 07:15:24)

森久保乃々> ふふ、イノさんの方が我慢できなかったんですね……じゃあ、もりくぼも…♡（目の前にこんなに尖った乳首が……いじりたくて仕方ない衝動に駆られそうなほどで…それを一旦抑えては、もりくぼもブラを外して…♡控えめな胸に、ぴんと立派に立つ乳首をイノさんに見せ…♡）それじゃあ、いっしょに…乳首、いじっちゃいましょうか…♡（イノさんの指の動きを見れば、どう気持ちよくされちゃうか想像しては…♡もりくぼもイノさんの胸に直接手を置いて…♡少しだけ爪を立てては、かりぃ…♡）
  (2023/2/24 07:18:51)

桜衣乃> はいっ…♡もっと、強く…♡……あ、ぁ…♡乃々ちゃんのも…かちかちぃ…♡(今まで焦らした分…♡指の腹が、爪が、乃々ちゃんの乳首を引っ掻いて、弾いて、それも小刻みに絶え間なく…♡ち、ち、ちっ…♡と掠めていきます…♡)あっ、ひぁぁぁっ……♡爪、爪ぇ…♡乃々ちゃんのぉ…い、いいっ……♡♡(少し爪を立てられただけなのに、敏感な乳首されて身を捩るほどに…♡くね、くね、と悶えちゃいます…♡)
  (2023/2/24 07:22:32)

