/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月01日 20時37分 ～ 2023年03月02日 10時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

森久保乃々> ひとりさんを好きにして…？！   (2023/3/1 20:37:11)
後藤ひとり> 私は尊いのが好きですね……(ののさんに布団をかけて)   (2023/3/1 21:04:27)

桜花あさひ ◆> とーとい…！あさひもそういうの好きだぞ〜♪   (2023/3/1 21:07:11)

おしらせ> 無言時間が25分を超えたため、森久保乃々さんが自動退室しました。  (2023/3/1 21:07:53)

後藤ひとり> 寝ちゃいましたね……   (2023/3/1 21:08:32)

おしらせ> 謎のヒロインXオルタさんが入室しました♪  (2023/3/1 21:09:08)

後藤ひとり> あ、こんばんは……えっちゃんさん   (2023/3/1 21:09:35)

謎のヒロインXオルタ> こんばんはです、ひとりさん…それと、そちらの方は、初めましてですね…(また今日もふらりと現れて、もぐもぐ…スティック菓子を啄みながら)   (2023/3/1 21:10:16)

後藤ひとり> なんか久しぶりな気もします……元気してました？   (2023/3/1 21:11:57)

謎のヒロインXオルタ> ふふ、ほんの数日くらいかなと思いますが…久しぶりな感じもします、ぼっち同盟の方はの活動は順調ですか？   (2023/3/1 21:13:32)

後藤ひとり> あ、はい……新しい人は見つかってませんが……そっちの調子はどうですか？   (2023/3/1 21:14:42)

謎のヒロインXオルタ> ええ、色々と有意義に親睦を深めさせてもらってますよ…(眼鏡越しの顔がほんのりと緩む)…もちろん、ひとりさん達とも仲良くなりたいと思ってますし、ギターテクの拝見などもしたいですからね…   (2023/3/1 21:16:32)

桜花あさひ ◆> こんばんはだぁ♪   (2023/3/1 21:17:55)

後藤ひとり> そうですね……雷電さんと仲良くしてたのを見ましたね私は……(お友達が増えて幸せそうで何よりです)あ、ありがとうございます……私のギターの演奏なら何時でも……   (2023/3/1 21:18:06)

謎のヒロインXオルタ> はい、えっちゃんとお呼びください…ふふっ   (2023/3/1 21:19:59)

桜花あさひ ◆> えっちゃん…ふふ、あさひはあさひだぞっ♪よろしくなぁ♪   (2023/3/1 21:21:11)

謎のヒロインXオルタ> えぇ、そうですね…雷電さんとは同じ趣味で随分と意気投合させて頂きましたので、すっかり仲良しさんです…、知らない世界の方とこうして親睦を深めるというのも…良いものです、ふふ、ではまた時間がありそうな時にお願いしましょうか、私もその時はアイドルモードで、お付き合いします…
  (2023/3/1 21:21:50)

謎のヒロインXオルタ> はい、あさひさんですね…宜しくです、元気そうな方で…ひとりさんとは対照的ですね   (2023/3/1 21:23:25)

後藤ひとり> らしいですね……趣味が合うのはいいものです……私の場合お菓子は……チョコとかケーキとかは好きですね……あまり食べませんが……おせんべいとかも好きです……しょっぱいほうですが……(うんうん)ですね……えっちゃんさんは今は時間ない感じです？  
(2023/3/1 21:23:52)

桜花あさひ ◆> あさひはいつも元気だぞ〜♪ふふ、ひとり姉ちゃんと真逆だな〜…♪   (2023/3/1 21:26:13)

後藤ひとり> ぐはっ…   (2023/3/1 21:27:33)

桜花あさひ ◆> だからひとり姉ちゃんにあさひの元気分けるんだぞ〜♪(むぎゅ)   (2023/3/1 21:28:27)

謎のヒロインXオルタ> 私にとっての一番は老舗の和菓子ですが、もちろん洋菓子も好きですよ、糖分は心を豊かにしてくれます…甘さは力ですっ…(ぐっ…としながら目を輝かせて…)私ですか、一応時間はありますが…早速レクチャーして頂ける機会が？   (2023/3/1
21:28:52)

謎のヒロインXオルタ> 陰キャに過度の輝きは毒ですよ、あさひさん…   (2023/3/1 21:29:25)

後藤ひとり> なるほど……和菓子……渋いですね……糖分は……はい……取りすぎなければ問題ないので……(目逸らし)ま、まあ演奏くらいなら   (2023/3/1 21:30:12)

後藤ひとり> ま、眩しい……溶けそう……(むぎゅ)   (2023/3/1 21:30:20)

桜花あさひ ◆> 毒…！？あさひ毒なのか……っ   (2023/3/1 21:31:54)

謎のヒロインXオルタ> 私は摂取した糖分をオルトリアクターのエネルギーに変換しますので、いくら食べても平気です(ふふんっ…と自慢げ)そうですね、一度聴かせて欲しいです…   (2023/3/1 21:32:21)

後藤ひとり> いやそういう訳では……(あわあわ)   (2023/3/1 21:32:49)

謎のヒロインXオルタ> 毒と言うか…特攻でしょうか？ 距離感を狂わされると、最悪溶けます   (2023/3/1 21:33:27)

桜花あさひ ◆> とっこう……んぅ、ひとり姉ちゃんどろどろになっちゃうのか……？(じっ)   (2023/3/1 21:35:04)

謎のヒロインXオルタ> 既に表情が少し溶けがかってるような…？   (2023/3/1 21:37:25)

後藤ひとり> なんですか………そのエネルギー都合良すぎます……とりあえず演奏なら……(ギターを取りだして)   (2023/3/1 21:37:40)

謎のヒロインXオルタ> ぁ、はい…宜しくお願いします…(間近のソファーに腰掛ける、じっとギターを手に構える様を眺めて…)   (2023/3/1 21:38:43)

後藤ひとり> で、では……(とりあえず……「ギターと孤独と蒼い星」を演奏し始めて)   (2023/3/1 21:39:57)

桜花あさひ ◆> はっ、ひとり姉ちゃんのギター初めて聞くぞ……っ！(えっちゃんの隣に座って)   (2023/3/1 21:40:56)

謎のヒロインXオルタ> ふふっ、私もです…(ギターソロとはいえ、情熱的なメロディ…感情を訴えるような歌詞…強いビートに圧倒される様に…)   (2023/3/1 21:42:56)

後藤ひとり> ま、まあこんな感じ……です……特に面白みもなくてすいません……(演奏し終えて頬をポリポリ)   (2023/3/1 21:43:36)

謎のヒロインXオルタ> いえ、ありがとう…ございます(表情は乏しいが、感激を訴えるような拍手で…)、素敵な歌でした…ひとりさんの孤独を感情に任せるように訴える…みたいで…(音楽にして訴える手段がある、それはとても素晴らしい事…)   (2023/3/1
21:45:51)

桜花あさひ ◆> ほわ……ひとり姉ちゃんすっごくギター上手いなぁ……っ♪   (2023/3/1 21:49:24)

後藤ひとり> あ、ありがとうございます……そ、そんな深く分析してくれるとは……ほ、ほかにも演奏してるのYouTubeに上がってるので聞いてくれれば是非……(さりげなく宣伝しつつも緊張し)   (2023/3/1 21:49:55)

謎のヒロインXオルタ> ふふ、あまり自信のある感想が言えたわけではないですが…そうですね、時間があった時に聞いてみることにします(スッとスマホを手に取りポチポチ…と軽く操作して)ファンが増えるならいいことでしょう？   (2023/3/1 21:52:21)

後藤ひとり> も、もちろんですよ……色んな人に聞いてもらってゆくゆくは全国ツアーとか……うへへ……(妄想を膨らませてうへへ……となり)   (2023/3/1 21:56:10)

桜花あさひ ◆> 全国ツアー！えへへ、おっきい夢だな〜♪じゃあじゃあ〜っ、ぶどーかん？でもライブして欲しいぞっ♪   (2023/3/1 21:58:31)

後藤ひとり> はい！いつか有名になれば……いつになるかは未定です……   (2023/3/1 21:58:51)

謎のヒロインXオルタ> 夢は大きい方がいいですからね…ふふ、遠巻きながら応援させて頂きます…(妄想は逞しいらしいが、実力は本物だと…そう思えます)けど、有名になったらその分人との接触も増えるでしょうが…そちらの方は大丈夫ですか？   (2023/3/1
21:59:28)

後藤ひとり> その時はえっちゃんさんも是非お客として入ってきてください………あ、その事考えて無かった……！(がびょーん)   (2023/3/1 22:01:59)

謎のヒロインXオルタ> そうですね、その時は是非とも…チケットを回してください(眼鏡をちょっとくいっ…と正しながら)本当に大丈夫ですか？ 未来のトップアーティストさん…(くすっ…と小さく笑って)   (2023/3/1 22:05:53)

桜花あさひ ◆> あさひも応援するからなっ！光る棒ふりふりしながらっ！   (2023/3/1 22:10:17)

後藤ひとり> 嬉しいです……ノルマ達成(うへへ……)だ、だ、大丈夫です！私には隠れる用の完熟マンゴーのダンボールがあるので！   (2023/3/1 22:11:48)

後藤ひとり> あ、はいペンライトお願いします！   (2023/3/1 22:11:55)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/1 22:13:10)

絹川みちほ> こんばんはー   (2023/3/1 22:13:15)

後藤ひとり> あ、こんばんは   (2023/3/1 22:14:07)

謎のヒロインXオルタ> …ライブ会場でダンボールに隠れるんですか？ 尚更注目を集めそうな気もしますが…、まぁ…そう言うイベントもアリ…かもしれませんね？(くすっ…)ステージに立つ高揚は私も知っています…もちろん声援を飛ばす方もです   (2023/3/1
22:14:19)

謎のヒロインXオルタ> こんばんはです、みちほさん…先日はどうも   (2023/3/1 22:14:32)

桜花あさひ ◆> みちほ姉ちゃんもこんばんはだっ♪   (2023/3/1 22:15:39)

後藤ひとり> は、はい……初ライブの時も私ダンボールの中いましたので………(目逸らし)てはい……えっちゃんさんも公演する時は是非呼んでくれれば……うちわとか持参しますよ！   (2023/3/1 22:15:49)

絹川みちほ> えっちゃん、あさひちゃん、ひとりちゃんこんばんは〜   (2023/3/1 22:17:20)

絹川みちほ> ひとりちゃんのライブ、その時は私も絶対見に行くよー   (2023/3/1 22:17:47)

後藤ひとり> あ、はい……嬉しいです……♪   (2023/3/1 22:21:58)

謎のヒロインXオルタ> …ふふ、ひとりさんは本当に楽しい人ですね…♪ はい、私のライブの際には是非とも…熱いビートを刻んで差し上げます、アイドルは…ビームが命っ、です…   (2023/3/1 22:22:24)

後藤ひとり> はい……その時は……もう応援しますよ……！うちわとかハチマキとペンライト……び、ビーム！？光線打つんですか！？   (2023/3/1 22:25:01)

桜花あさひ ◆> あさひちょっとだけ静かになるぞ……っ   (2023/3/1 22:25:27)

絹川みちほ> 了解だよ、あさひちゃん   (2023/3/1 22:26:13)

絹川みちほ> えっちゃん、アイドルなの？   (2023/3/1 22:26:28)

謎のヒロインXオルタ> …ひとりさんもたまに限界化する感じの人ですか…ふふ、クレーンさんみたいです…あ、クレーンさんというのは私のファンの一人でアイドル衣装を織ってくれたりした人です…、ええ、激闘のライブですからね、ビームくらいは飛ぶこともありますよ…  
(2023/3/1 22:28:30)

謎のヒロインXオルタ> ええ、一時アイドルをしていた縁がありまして…機会がありましたら、そちらの姿もお見せするかもです   (2023/3/1 22:29:38)

絹川みちほ> ふふっ、えっちゃんのその姿……それは楽しみだなあ   (2023/3/1 22:30:39)

後藤ひとり> そうなんですか！？あたったら死ぬビームですよね！？   (2023/3/1 22:32:00)

絹川みちほ> ジャニーズとか演歌とかヴィジュアル系バンドとかでファンの人が作って持ってきてる名前や顔写真とかがついたうちわとかを持って、ひとりちゃんに向けて振りながら応援して、みようかな？   (2023/3/1 22:32:03)

謎のヒロインXオルタ> 鍛えていれば大丈夫ですし、そもそも観客席に飛ばすわけではありません、アイドル同士の熱いセッション、己のパッションをぶつけあい…最後は熱いグルーヴィーを交わす、そう…それがグレイルライブです…っ！(まぁそういうイベントでしたからね…としか説明のしようがないですが…)ふふ、私のアイドル姿の輝きに酔いしれてください…！♪
  (2023/3/1 22:35:46)

後藤ひとり> はい！うちわとかあるのは嬉しいかも……   (2023/3/1 22:36:07)

後藤ひとり> な、なるほど……熱い戦いなんですね……   (2023/3/1 22:36:46)

謎のヒロインXオルタ> はい…まぁ、いつかひとりさんとセッションを交わすときは、そちらの流儀に合わせましょう…楽しく歌えるのが一番ですから…♪   (2023/3/1 22:40:23)

後藤ひとり> あらはい……暴力は無い方向で……   (2023/3/1 22:41:31)

絹川みちほ> 熱いセッション……それはそれですごそうだね   (2023/3/1 22:41:44)

絹川みちほ> よし！その時は頑張ってうちわ作っちゃうよー   (2023/3/1 22:42:02)

絹川みちほ> ごめんね、ちょっとお風呂呼ばれたから行ってくるね。また戻るから   (2023/3/1 22:42:24)

謎のヒロインXオルタ> はい、いってらっしゃいませ   (2023/3/1 22:42:57)

後藤ひとり> 行ってらっしゃいです   (2023/3/1 22:43:05)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/1 22:44:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ〜。   (2023/3/1 22:44:24)

後藤ひとり> あ、どうも…   (2023/3/1 22:44:32)

謎のヒロインXオルタ> ふふ、こんばんはです、初めまして…えっちゃんです…   (2023/3/1 22:45:39)

桜花あさひ ◆> ただいまだっ   (2023/3/1 22:45:49)

後藤ひとり> おかえりです   (2023/3/1 22:46:05)

桜花あさひ ◆> お風呂中だったから時間かかっちゃったぞ〜…♪(ほかほか)   (2023/3/1 22:47:50)

謎のヒロインXオルタ> おかえりなさい…   (2023/3/1 22:48:12)

後藤ひとり> お風呂だったんですね……   (2023/3/1 22:52:19)

桜花あさひ ◆> お風呂入りながらだったんだぞ〜♪   (2023/3/1 22:52:38)

謎のヒロインXオルタ> 心だけ入浴中…ぽかぽか、温まりそうですね   (2023/3/1 22:53:54)

桜花あさひ ◆> ぽかぽかいい匂いになって帰ってきたぞっ♪   (2023/3/1 22:57:32)

後藤ひとり> いい匂いなんですね……♪   (2023/3/1 22:57:53)

桜花あさひ ◆> うん♪ふふ、お風呂入ったばかりだから〜♪   (2023/3/1 22:59:58)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが入室しました♪  (2023/3/1 23:03:52)

後藤ひとり> なるほど……♪   (2023/3/1 23:03:54)

後藤ひとり> あ、こんばんは……   (2023/3/1 23:04:45)

大道寺きら ◆> 邪魔するぞ？きら様変身！！（２でも入ったときみたいに白衣を脱ぎスク水に変身して）   (2023/3/1 23:04:49)

謎のヒロインXオルタ> …こんばんはです、水着鯖の方…でもなさそうですね…   (2023/3/1 23:05:59)

大道寺きら ◆> 残念だが私は鯖ではない、きら様だ！（仁王立ち）   (2023/3/1 23:06:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーあ   (2023/3/1 23:06:53)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/1 23:07:36)

大道寺きら ◆> すれ違ったか・・・お疲れだ   (2023/3/1 23:08:13)

桜花あさひ ◆> こんばんはだっ♪と、みちほ姉ちゃんおつかれさまだぁ   (2023/3/1 23:08:27)

謎のヒロインXオルタ> …きらさま、ですか…私はえっちゃんです、宜しくお願いします   (2023/3/1 23:10:02)

大道寺きら ◆> 本名は大道寺きら、通称きら様だ！そちらこそよろしくだ！えっちゃん！   (2023/3/1 23:10:34)

後藤ひとり> キラさんですか……私は後藤ひとりです   (2023/3/1 23:10:35)

大道寺きら ◆> そちらもよろしく頼むぞ？ひとりよ   (2023/3/1 23:10:53)

桜花あさひ ◆> あさひはあさひだぞっ♪よろしくなぁ♪   (2023/3/1 23:11:08)

大道寺きら ◆> ああ！あさひもよろしくだ！   (2023/3/1 23:11:23)

後藤ひとり> よろしくお願いします……   (2023/3/1 23:12:57)

謎のヒロインXオルタ> …いろんな世界の交差点には、不思議ないでたちの方も現れるものですね…人のことを言えた義理ではないかもしれませんが   (2023/3/1 23:13:10)

大道寺きら ◆> 確かにな？（スライムの上にのって生脚を片方の脚に乗せて）   (2023/3/1 23:14:05)

後藤ひとり> きらさんはザ ロリ見たいな見た目ですね   (2023/3/1 23:14:49)

大道寺きら ◆> だが、脚はアイドルやモデルにはひけをとらんぞ？（生脚を見せ付けて）   (2023/3/1 23:16:09)

後藤ひとり> いい太ももですね……はあ   (2023/3/1 23:16:39)

桜花あさひ ◆> …ちょっと寒そうだなぁ…(ぶるるっ)   (2023/3/1 23:16:42)

後藤ひとり> はい   (2023/3/1 23:16:43)

大道寺きら ◆> うむ！脚フェチホイホイの生脚そのものだ！ん？私はそれなりに暑かったが？   (2023/3/1 23:18:27)

謎のヒロインXオルタ> …少し、美味しそうなスライムです…(じゅるり)   (2023/3/1 23:19:07)

大道寺きら ◆> おい！それは流石に食えんぞ？戦う時は一緒にいるからな？   (2023/3/1 23:20:01)

後藤ひとり> スライムに食欲感じてる！？   (2023/3/1 23:21:17)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/1 23:21:47)

絹川みちほ> ただいま   (2023/3/1 23:21:59)

大道寺きら ◆> おかえりだ   (2023/3/1 23:22:07)

後藤ひとり> あ、おかえりです   (2023/3/1 23:22:56)

謎のヒロインXオルタ> …はっ、これは失礼…青いゼリー状の塊についつい食欲をそそられてしまいました…でもちょっとだけ味見も…ダメですよね…   (2023/3/1 23:22:57)

謎のヒロインXオルタ> おかえりなさいです   (2023/3/1 23:23:09)

絹川みちほ> スライム……？   (2023/3/1 23:23:31)

大道寺きら ◆> 当たり前だ！腹でも壊してまで食うつもりか！   (2023/3/1 23:23:31)

桜花あさひ ◆> みちほ姉ちゃんおかえりだ〜♪   (2023/3/1 23:23:52)

大道寺きら ◆> 私の僕みたいなものだ＞みちほ   (2023/3/1 23:23:59)

絹川みちほ> なるほどね、スライムストロングスタイルと見たかな？…私は絹川みちほ。よろしくね   (2023/3/1 23:24:59)

大道寺きら ◆> 私は大道寺きら様だ、よろしくな？   (2023/3/1 23:25:18)

後藤ひとり> 気持ちは分かります……ゼリー美味しいですよね   (2023/3/1 23:26:54)

絹川みちほ> きらちゃんだね、よろしくねー   (2023/3/1 23:27:43)

大道寺きら ◆> きらちゃん？・・・まぁいい、ゼリーは飲むほうがすきだな私は（スライムはぶるぶる震えて）   (2023/3/1 23:28:43)

絹川みちほ> きら様のスライムちゃん、ゼリーみたいに食べられるんじゃないかって怖がってるねー   (2023/3/1 23:29:49)

大道寺きら ◆> 無理もない、自分はそんなめで見られていたのかと非難していたな   (2023/3/1 23:30:31)

後藤ひとり> スライムが怯えてます……   (2023/3/1 23:30:45)

謎のヒロインXオルタ> 腹を壊しますか…それは残念です、むぅ…怯えられてしまっては困りますし、我慢しましょう…帰りに寒天ゼリーでも買って気を紛らわせましょう   (2023/3/1 23:31:50)

大道寺きら ◆> それがいい、おい！誰も食いはさっさとこい！！（とスライムに手招きして）   (2023/3/1 23:32:46)

後藤ひとり> ガヴさん……起きてます？(つんつん)   (2023/3/1 23:32:53)

絹川みちほ> 私の世界のなら寒天ゼリーあるよー   (2023/3/1 23:33:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おきてるぞー？(もそもそ   (2023/3/1 23:33:28)

後藤ひとり> よかったですまた果ててるのかと……   (2023/3/1 23:33:56)

謎のヒロインXオルタ> みちほさんは何でも持ってますね…ですが私は糖分に目がないので差し出されるならありがたく頂戴いたします、ギブミー   (2023/3/1 23:34:39)

後藤ひとり> 糖分を夜にそんなに積極的に……   (2023/3/1 23:35:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 果ててはないよー   (2023/3/1 23:36:12)

後藤ひとり> よかったです……にしてもこの部屋半分の人が青色系の色ですね   (2023/3/1 23:37:16)

謎のヒロインXオルタ> 前述の通り糖分は全てオルトリアクターの魔力炉に変換されますので、寝る前でも安心です…燃費は良くないので蓄えは多いに越したことはありません   (2023/3/1 23:37:41)

後藤ひとり> よく分からないカタカタ用語……燃料……えっちゃんさんは機会なんですね！   (2023/3/1 23:38:28)

絹川みちほ> ふふふ、生徒会副会長たる者、皆のニーズには答えなきゃだからね、えっちゃん   (2023/3/1 23:39:15)

大道寺きら ◆> メカかなにかかえっちゃんは？うちにもまぁ中国拳法をこなすメカ少女がいるが？   (2023/3/1 23:39:33)

絹川みちほ> 私が薄い青、きら様が青、えっちゃんが紫、だね。ひとりちゃん   (2023/3/1 23:40:20)

後藤ひとり> そういうことです……   (2023/3/1 23:41:05)

謎のヒロインXオルタ> 機械ではありませんよ、霊基的には…とは言えこの説明を始めると気が遠くなるほど長い説明が必要なので割愛します、要するに私がこの暗黒のフォースを行使するエネルギーを生むのに最適なのが糖分の摂取という事です(と軽く右手をかざすとﾊﾞﾁﾊﾞﾁｯ！と黒い電気が手に走ります)
  (2023/3/1 23:41:58)

大道寺きら ◆> ほう？お前も戦士の一員なのか？糖分とやらがエネルギーの源と？   (2023/3/1 23:43:18)

後藤ひとり> おおー！？凄いです！魔法使い見たいですね……(ぱちぱち)   (2023/3/1 23:44:16)

絹川みちほ> なるほどね、ひとりちゃん、えっちゃん   (2023/3/1 23:45:00)

謎のヒロインXオルタ> 戦士…まぁそれに近いものでしょうか…いずれ銀河を暗黒に染める騎士…所謂ヴィラン…それが私、まぁそれは今は停滞中です、気が向くまでは何もしませんのでご安心を、争いは良くないです…時には友情を育みましょう   (2023/3/1
23:48:07)

謎のヒロインXオルタ> アイドルなんかを通じて今の私はやや光墜ち状態です、平和が一番…   (2023/3/1 23:49:03)

大道寺きら ◆> ふむ、まぁ私も無益な殺生は好まん、少なくともスク水仲間が欲しいところはあるが   (2023/3/1 23:50:37)

後藤ひとり> 仲良くが1番ですよ……はい……敵から味方になる展開好きです……(さりげなく恐ろしいのを聞いてびっくり)   (2023/3/1 23:52:09)

絹川みちほ> そうだね、仲良くが一番だよ   (2023/3/1 23:54:22)

大道寺きら ◆> だな・・・   (2023/3/1 23:54:50)

謎のヒロインXオルタ> ふふ、そうですね…スクール水着の御同行を探すというのも変わった目的ですが…(私の二次絵もたまにスク水あったりしますけど…などと考えたり…)ひとりさんの言う通りです、ここで出会う皆さんとは、仲良くしたいです…おや、好きですか光墜ち…所謂ヒーロー作品の王道とも言えますが
  (2023/3/1 23:55:17)

後藤ひとり> はい……ここで戦闘されたら叶わないです…ちなみに敵から味方になった途端弱くなるのも付き物ですが……   (2023/3/1 23:56:26)

絹川みちほ> まあ、より強い敵が出てくるからね……   (2023/3/1 23:57:08)

大道寺きら ◆> ２の方もそうだがここの連中は気のいい者ばかりだからな   (2023/3/1 23:58:56)

後藤ひとり> この中で戦闘要員多くないです…   (2023/3/1 23:59:54)

後藤ひとり> あさひさんは寝ましたね   (2023/3/1 23:59:59)

絹川みちほ> 寝ちゃったね   (2023/3/2 00:00:36)

大道寺きら ◆> まぁ私も格闘ゲームが原作だからな・・・（少しメタな発言して）   (2023/3/2 00:00:48)

後藤ひとり> あ、確かに……助かります   (2023/3/2 00:01:22)

謎のヒロインXオルタ> 寝る子は育つです…ふふ、きら様さんはその青いゼ…もといスライムさんが屈強そうですし、質量いずぱわー…   (2023/3/2 00:04:28)

後藤ひとり> いつかあさひさんも育つんですね……   (2023/3/2 00:05:03)

大道寺きら ◆> 肉弾戦なら私とこいつの右に出る者はいないといっても過言ではないからな？近づかれたら最後プロレス技のデパートになることも・・・ふふふ   (2023/3/2 00:06:13)

桜花あさひ ◆> まだねてないぞ…っ   (2023/3/2 00:06:43)

後藤ひとり> ボコボコにされそう……私なら……   (2023/3/2 00:07:00)

後藤ひとり> あ、起きた   (2023/3/2 00:07:02)

桜花あさひ ◆> ぎりぎり〜…ねてないぞぉ…   (2023/3/2 00:08:49)

謎のヒロインXオルタ> プロレス技…所謂投げキャラでしょうか、私の世界にもそういう神霊さんがいらっしゃいましたね…ゲームはそれなりに嗜みますが一発の大きい相手は苦手です…   (2023/3/2 00:09:09)

謎のヒロインXオルタ> ギリギリでしたら無理せずおやすみ何った方がいいですよ   (2023/3/2 00:09:25)

後藤ひとり> 私はアニメ見てますので……   (2023/3/2 00:09:37)

大道寺きら ◆> 既に午前０時をすぎているからな   (2023/3/2 00:09:49)

大道寺きら ◆> ほう？えっちゃんの世界にもそのような人物が？   (2023/3/2 00:10:09)

絹川みちほ> 私はホラーゲーム出身だよー   (2023/3/2 00:11:16)

桜花あさひ ◆> んぅ、眠いけど〜…でもおはなししたいぞ〜……   (2023/3/2 00:11:54)

後藤ひとり> お話してたいです   (2023/3/2 00:12:30)

謎のヒロインXオルタ> …そういえば、もうこんな時間ですか…、ええ、居ますよ、豪快にジャーマンスープレックスを決めたりするような方が…割と、そこそこ………カルデアって変な人ばかりですね(ﾎﾞｿｯ)、ホラーゲームはあまり嗜みませんが、出身と言われるとルート次第で実は…みたいな不穏な感覚を覚えます、ホラーは全てが油断なりませんからね…
  (2023/3/2 00:14:54)

大道寺きら ◆> どっちのジャーマンスープレックスが華麗か是非比べてみたいものだな？   (2023/3/2 00:17:27)

絹川みちほ> 私もしてたいな   (2023/3/2 00:19:01)

桜花あさひ ◆> お話するの楽しいから〜…眠たくてもっ！   (2023/3/2 00:19:11)

絹川みちほ> えっちゃん、あはは。まあＺ指定ホラーゲームだしね、そんな感覚になるのも仕方ないね   (2023/3/2 00:20:14)

大道寺きら ◆> ホラーときくとバイオシリーズのイメージが強いな私としては   (2023/3/2 00:22:13)

後藤ひとり> ですね…   (2023/3/2 00:23:13)

謎のヒロインXオルタ> 華麗さを競うものだったのですか…知りませんでした   (2023/3/2 00:23:58)

謎のヒロインXオルタ> ホラーゲーも色々ありますからね、プレイヤー側からアプローチができたりできなかったり…スタイルとしては千差万別です   (2023/3/2 00:24:26)

大道寺きら ◆> その通りだな（こくりとうなづいて）   (2023/3/2 00:26:34)

後藤ひとり> アニメ見終えました……   (2023/3/2 00:27:57)

桜花あさひ ◆> おもしろかったか〜♪？   (2023/3/2 00:28:07)

絹川みちほ> 私の出身はテキスト系ホラーアドベンチャーだよ。選択肢やコマンド選択式や探索要素もあったりするかな   (2023/3/2 00:28:08)

絹川みちほ> 何見てたのかな？   (2023/3/2 00:28:38)

後藤ひとり> よかったです……物語としても百合としても……   (2023/3/2 00:29:04)

後藤ひとり> 転天アニメって調べれば出るかも   (2023/3/2 00:29:21)

大道寺きら ◆> 桜トリックか？   (2023/3/2 00:29:22)

