/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月20日 20時13分 ～ 2023年03月21日 18時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

朝倉可憐> だいたい女の子だから大丈夫かな…そしたら…。   (2023/3/20 20:13:58)
絹川みちほ> こんばんは、ひとりちゃん   (2023/3/20 21:50:20)

朝倉可憐> あんまり読まないけれど…旅する海とアトリエとかかな…。   (2023/3/20 21:57:22)

後藤ひとり> 分からないなぁ……   (2023/3/20 21:58:34)

朝倉可憐> 一応きららだけどね。   (2023/3/20 22:04:00)

後藤ひとり> そうなんですね……   (2023/3/20 22:07:42)

絹川みちほ> しらべてみたけど、たしかにきららだったよ   (2023/3/20 22:11:24)

後藤ひとり> アニメ作品しか……   (2023/3/20 22:15:42)

絹川みちほ> 私もアニメ中心かなあ   (2023/3/20 22:20:40)

後藤ひとり> 基本アニメですね私も……   (2023/3/20 22:22:30)

絹川みちほ> うにゃ…だよね。「け○おん！」の放送当時は雑誌も買ってたけどね(汗)   (2023/3/20 22:23:40)

絹川みちほ> 可憐さんは離れちゃったかな   (2023/3/20 22:25:06)

朝倉可憐> いるけど…何を言ったらいいかしら。   (2023/3/20 22:26:05)

絹川みちほ> あっ、ごめんね可憐さん   (2023/3/20 22:27:24)

後藤ひとり> あ、すいません……   (2023/3/20 22:28:18)

朝倉可憐> あ、うんうん…私も気の利いたこと言えなくてごめんね…。   (2023/3/20 22:28:49)

絹川みちほ> 私も話を広げられなくてごめんなさい   (2023/3/20 22:29:33)

後藤ひとり> 私こそすいません……   (2023/3/20 22:31:36)

朝倉可憐> そんなに気にしないで…？私も頑張るから。   (2023/3/20 22:33:28)

絹川みちほ> 私も頑張るよ。可憐さんの言ってたコミックス、また探してみるね   (2023/3/20 22:33:55)

後藤ひとり> アニメ以外かと…きららならしずねちゃんは今日も眠れない……とか   (2023/3/20 22:36:11)

後藤ひとり> 見てました   (2023/3/20 22:36:14)

絹川みちほ> しらべてみたけど、また読んでみよう   (2023/3/20 22:39:01)

朝倉可憐> コミックFuzのアプリで全話読めるんです、アトリエ。   (2023/3/20 22:39:38)

絹川みちほ> アプリで読めるんだ   (2023/3/20 22:42:16)

朝倉可憐> はい、無料で読めるので…ちょっとおすすめかもしれないわ。   (2023/3/20 22:42:46)

後藤ひとり> 絵も私好みだ……   (2023/3/20 22:43:46)

絹川みちほ> あらすじ見てみたけど、旅行系かつ人情ドラマもあるっぽいね   (2023/3/20 22:47:40)

後藤ひとり> きららだと珍しいタイプですへ   (2023/3/20 22:49:26)

後藤ひとり> ですね   (2023/3/20 22:49:28)

朝倉可憐> まとめて読みたいなら買うしかないけど…もしよかったら…アプリいれて、少しずつ読み進めてくれたりすると…かな？この人、艦これの同人誌の頃から好きなんです（作家さん）   (2023/3/20 22:50:53)

絹川みちほ> なるほどね、その時からファンなんだね…φ(..)メモメモ   (2023/3/20 22:52:26)

後藤ひとり> 古参ということですね…   (2023/3/20 22:53:56)

朝倉可憐> そうですね…。オリジナルをきららで連載って知って…すごい嬉しかったんだ。   (2023/3/20 22:54:36)

絹川みちほ> より思い入れが有るんですね(⁠*⁠´⁠ω⁠｀⁠*⁠)   (2023/3/20 22:58:25)

後藤ひとり> 顔文字可愛い…   (2023/3/20 23:00:44)

絹川みちほ> そう？えへへ   (2023/3/20 23:01:16)

朝倉可憐> でも流行らないしはやらせない…かな？   (2023/3/20 23:01:18)

後藤ひとり> はやらせない……   (2023/3/20 23:02:22)

絹川みちほ> 私だけのオンリーワン、みたいな？   (2023/3/20 23:02:53)

朝倉可憐> それは、世界に一つだけの花だと思う。   (2023/3/20 23:05:26)

後藤ひとり> ナンバーワンにならなくてもいいーもともと特別なおーんりわーん   (2023/3/20 23:05:57)

絹川みちほ> 地味に「そうさ僕らは」が最後だけ「そうさ僕らも」になってる曲   (2023/3/20 23:07:42)

後藤ひとり> エモいですねえ…   (2023/3/20 23:09:28)

絹川みちほ> えもいねー(⁠*⁠´⁠ω⁠｀⁠*⁠)   (2023/3/20 23:10:12)

後藤ひとり> 顔文字可愛い…   (2023/3/20 23:11:12)

絹川みちほ> (*´σｰ｀)ｴﾍﾍ   (2023/3/20 23:11:25)

朝倉可憐> でも流行らないし流行らせ……ユキさんがいたらつっこみが上がってるよ、これ。   (2023/3/20 23:12:05)

絹川みちほ> 何かしらツッコまれてるのね   (2023/3/20 23:12:35)

後藤ひとり> なんでやねん   (2023/3/20 23:14:34)

朝倉可憐> 可愛いツッコミね。   (2023/3/20 23:14:49)

絹川みちほ> 可愛い   (2023/3/20 23:16:37)

後藤ひとり> ええやねん   (2023/3/20 23:16:49)

朝倉可憐> えっと…それはなに…？   (2023/3/20 23:17:59)

後藤ひとり> 適当なツッコミを……   (2023/3/20 23:22:40)

朝倉可憐> てきとうすぎるわー、ってツッコミの人から突っ込まれそう。   (2023/3/20 23:23:39)

絹川みちほ> 適当すぎるんじゃ〜（千鳥のノブみたいに）   (2023/3/20 23:27:42)

後藤ひとり> せやろー   (2023/3/20 23:27:45)

朝倉可憐> ツッコミなのにボケしかいない…。   (2023/3/20 23:28:51)

絹川みちほ> たしかにボケ倒してるかも(汗)   (2023/3/20 23:29:46)

後藤ひとり> 私はボケかも…   (2023/3/20 23:33:17)

朝倉可憐> 私も…ボケかな……。ツッコミ大変そうだし。   (2023/3/20 23:34:09)

絹川みちほ> 私もボケかも。ツッコミ出来る自信ないなあ   (2023/3/20 23:37:11)

後藤ひとり> ツッコミはたまにしてます…   (2023/3/20 23:37:34)

絹川みちほ> たまにしてるんだね   (2023/3/20 23:38:20)

朝倉可憐> カレンちゃんは時々突っ込んでるみたい。   (2023/3/20 23:38:52)

絹川みちほ> 可憐ちゃん、時折ツッコんでるんだね   (2023/3/20 23:40:29)

朝倉可憐> 私じゃなくて、カレンちゃん。   (2023/3/20 23:41:02)

おしらせ> カレンさんが入室しました♪  (2023/3/20 23:41:50)

絹川みちほ> あ、別のカレンってキャラ？   (2023/3/20 23:41:53)

カレン> カレンちゃんでぇーすっ！！   (2023/3/20 23:42:00)

おしらせ> カレンさんが退室しました。  (2023/3/20 23:42:02)

絹川みちほ> なるほど…   (2023/3/20 23:42:25)

朝倉可憐> 私の多重人格……と言ってもカレンちゃんしかいないんだけど……。殺人鬼の人格のカレンちゃん。……最近突っ込まされてるみたい。   (2023/3/20 23:44:44)

後藤ひとり> 九条カレンデース！   (2023/3/20 23:45:53)

絹川みちほ> ああ…そういうことね。そう表記して区別してるんだ   (2023/3/20 23:46:05)

絹川みちほ> 私、今日誤射が少なかった気がします！（それはカノン）   (2023/3/20 23:46:35)

朝倉可憐> 私も多分、名前の色赤くしたりして芸としてできるけど、ドン引きとか絡みにくくならないかなぁ、って。   (2023/3/20 23:50:46)

後藤ひとり> 怖いですよね……   (2023/3/20 23:52:44)

絹川みちほ> 怖いね…   (2023/3/20 23:53:26)

朝倉可憐> だから、分離型カレンちゃんに一任…かな。   (2023/3/20 23:54:40)

絹川みちほ> なるほどね…よしよし   (2023/3/20 23:54:59)

後藤ひとり> なるほど……   (2023/3/20 23:55:35)

おしらせ> カレンさんが入室しました♪  (2023/3/20 23:55:42)

カレン> 呼んだか朝倉？（にゅっと分裂する体）   (2023/3/20 23:56:10)

朝倉可憐> あ、おかえり。カレンちゃん。   (2023/3/20 23:56:15)

朝倉可憐> よんでは…えっと、どうなんだろう。   (2023/3/20 23:56:32)

絹川みちほ> わーお   (2023/3/20 23:57:04)

カレン> ツッコミ不在で静まり返っておったからのう。朝倉もそこまで盛り上げ役は出来んじゃろうし…手を貸してやろう   (2023/3/20 23:57:52)

朝倉可憐> あ、うん。でもスプラッタパーティーとかやめておいてね、一応。   (2023/3/20 23:59:32)

絹川みちほ> うん、それは……ね   (2023/3/21 00:00:43)

カレン> そんなもんやらんわ！そういうプレイはNGなんじゃろう？朝倉が望むならやらんこともないが…♡（大鎌ぺろり）   (2023/3/21 00:01:39)

後藤ひとり> あ、また分裂した……   (2023/3/21 00:02:13)

朝倉可憐> だしてる…！セラフ勝手に出してる…！（がーん。ツッコミ役じゃないのに思わず突っ込まざるを得なくなった朝倉）   (2023/3/21 00:03:06)

後藤ひとり> ボケしかいないときついですね…   (2023/3/21 00:03:24)

絹川みちほ> ボケ倒してるのを止める人が居ないもんね   (2023/3/21 00:03:52)

カレン> これも盛り上げるためじゃ、許せ朝倉。（しゅぅん。収納）…ほれ、そこのボケ共。早くボケてみせろ。ワシを退屈させると…どうなるか、そこの朝倉が一番知っておるが。な？（ちらり目配せ）   (2023/3/21 00:06:32)

絹川みちほ> 怖いです……   (2023/3/21 00:07:42)

後藤ひとり> おばあちゃん……飯はまだかのぉ……   (2023/3/21 00:08:08)

絹川みちほ> はじめましてー、担当の紅ズワイガニ海老美ですー   (2023/3/21 00:09:07)

朝倉可憐> うん、カレンちゃんを退屈させると…サイコにキルが始まる。ここの平和を守るためのボケ倒しが今始まる……（ナレーション）   (2023/3/21 00:09:48)

絹川みちほ> しゅんごい笑えないシーンだね   (2023/3/21 00:11:56)

後藤ひとり> みんな死ぬしかないですね   (2023/3/21 00:12:13)

カレン> ほう、まだ食い足りないとな？吐くまでワシが食らわせてやろうではないか…げんこつだが（ひとりの首根っこ掴みつつ拳をぐりぐりとほっぺたに。）カニぃ？ならばバラさねばならんなぁ？手足もいで、身体の真ん中からくぱぁっとなぁ！！（ひゃっはー！！もう我慢ならんっ！押し付けた拳から急に現れた大鎌でみちほの首根っこに切っ先を引っ掛け、つつつー♡♡）
  (2023/3/21 00:12:17)

絹川みちほ> ひ、ひいぃ……   (2023/3/21 00:14:09)

後藤ひとり> い、いででで……は、離してください……(ぐえええっと……拳が頬にめり込み)   (2023/3/21 00:15:08)

カレン> ふん。そんな程度の低いボケ、突っ込む気にもならんわ（ぱっと二人共開放。）   (2023/3/21 00:15:54)

朝倉可憐> ま、またセラフ出してる……！ツッコミがボケてる…！コード無視して出してる…！（突っ込まされてる。　ユキさん、ユキさんはいませんか。もしくは眼鏡のツッコミのかた）   (2023/3/21 00:16:10)

絹川みちほ> はあ、はあ…切れてなかったからよかったけどほんとに切れたらどうするの…   (2023/3/21 00:16:55)

カレン> どうもせんぞ？死体が転がるだけじゃ…♡   (2023/3/21 00:18:13)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/21 00:18:34)

倉田ましろ> こんばんは...(はふっ）   (2023/3/21 00:18:53)

朝倉可憐> こんばんは、ましろさん。   (2023/3/21 00:19:12)

後藤ひとり> あ、こんばんはましろさん   (2023/3/21 00:19:34)

絹川みちほ> こんばんは、ましろちゃん   (2023/3/21 00:19:42)

朝倉可憐> ホントに切れても、私の殺人件数が１件増えるだけ…なんだよね…。   (2023/3/21 00:19:51)

絹川みちほ> だからこそ、切れちゃ駄目なんだって！   (2023/3/21 00:20:19)

カレン> ほう、ボケが増えたのか。よく来たな、ワシを楽しませろ   (2023/3/21 00:20:59)

倉田ましろ> えーと、何が起きてるかわからないけど...みんな落ち着いてゆっくり深呼吸しようね...   (2023/3/21 00:21:11)

朝倉可憐> 私の殺人鬼人格のカレンちゃんが場を盛り上げようとしてくれてるだけだよ。   (2023/3/21 00:21:50)

カレン> 1も10も大差など無いわ。つまりそういうことだ（ニヤリ）   (2023/3/21 00:22:00)

倉田ましろ> ボケはしたことないなぁ...(別時空の私ならボケだけど)   (2023/3/21 00:22:07)

カレン> 盛り上げようとした結果、動かない奴が出ただけじゃろ？ワシに非などないわ。つまらん貴様らが悪いんじゃ（ふーん）   (2023/3/21 00:22:56)

倉田ましろ> (あれでもそっちツッコミもちょくちょくしてたっけ)   (2023/3/21 00:23:14)

カレン> …まぁ、未遂じゃし全員健在ではあるがのう   (2023/3/21 00:23:24)

倉田ましろ> 殺したら駄目だと思います...はい...(落ち着いたものいい)   (2023/3/21 00:24:03)

カレン> （ワシを超えるイカれ具合のやつをちょくちょく見るせいでツッコまざるを得んのじゃ…。イカれたサイコキラー（笑）じゃこんなもの…。）   (2023/3/21 00:24:27)

絹川みちほ> （ヘブバンどんだけよ）   (2023/3/21 00:24:53)

後藤ひとり> 怖いのでましろさんに隠れます   (2023/3/21 00:25:08)

倉田ましろ> (ヘブバンは危ないゲームだったはず...)   (2023/3/21 00:25:21)

倉田ましろ> なんで!?   (2023/3/21 00:25:32)

朝倉可憐> （月歌さん、カレンちゃん相手に躊躇わずにボケるから…）   (2023/3/21 00:25:34)

倉田ましろ> (とりあえず10連ガチャ引いてきます...)   (2023/3/21 00:26:47)

カレン> なれば貴様。その腹の中の飯は誰の命をも奪わずに満たしておるのか？草木とはいえ命じゃ、それにヒトも植物も関係ないじゃろう？（前かがみで顔を突き出して片手でましろのお腹をさすさす。）   (2023/3/21 00:26:58)

カレン> （あいつの話はやめろ！ワシのキャラが薄れるじゃろうが！！）   (2023/3/21 00:27:29)

絹川みちほ> （私の出身ゲームも危ないけど、ヘブバンも危ないんだね）   (2023/3/21 00:28:17)

倉田ましろ> それは...そうだけど...人間がいきていくためには抗えないので...はい...(さすられてもおどおどせずにすごい冷静にいってるましろ)   (2023/3/21 00:28:48)

朝倉可憐> （全人類人口６００万程度まで減っている終末世界かな…？）   (2023/3/21 00:29:01)

倉田ましろ> (少ない方なのかな...?)   (2023/3/21 00:29:25)

絹川みちほ> （んにゃ…）   (2023/3/21 00:30:01)

朝倉可憐> （今世界の総人口は約79億です。）   (2023/3/21 00:30:06)

倉田ましろ> (圧倒的少なさだった...)   (2023/3/21 00:30:39)

カレン> （80億から比べたら随分減っとるしの。だいぶマズイぞ、殺す人間が減るのは、実にもったいない！）   (2023/3/21 00:30:45)

カレン> ワシも抗えんの、貴様と同じじゃぞ…？欲には忠実に、ならんとなぁ？（ニヤリ。だから殺す♡と耳元でぼそり）   (2023/3/21 00:31:43)

朝倉可憐> （殺人鬼のカレンちゃんと、私を釈放して軍属にするほどもう、なりふりが待ってられない状態…みたいな。）   (2023/3/21 00:31:48)

絹川みちほ> （なんちゅう…）   (2023/3/21 00:32:23)

カレン> （利用したければすればいい、好き勝手暴れてやるわ！！…そんな感じのノリじゃ）   (2023/3/21 00:32:39)

倉田ましろ> そうですか...なら、その欲望をしてもいいけど他の人にはしないでね...?(にこっとしながらこっちも耳元でささやき)   (2023/3/21 00:33:47)

カレン> …なかなか難しい事を言うのだな。お、つまり貴様は良いということか♡（両手をわきわき♡）   (2023/3/21 00:34:38)

朝倉可憐> カレンちゃんが月歌さん以外にちょっと気を許した…！（言い方）   (2023/3/21 00:35:06)

絹川みちほ> 気を許した…？   (2023/3/21 00:35:26)

倉田ましろ> (   (2023/3/21 00:35:34)

倉田ましろ> いいけど...他の人にしたら私は怒るからね...?(にこっとするけど目は怖いましろ)   (2023/3/21 00:36:42)

倉田ましろ> (ひとりさんつんつん）   (2023/3/21 00:36:59)

後藤ひとり> え？あ、はい   (2023/3/21 00:37:16)

倉田ましろ> 会話に混ざって来ないから...   (2023/3/21 00:37:34)

カレン> そりゃあ、ムラムラを解消できるんじゃ…♡利用できるものは利用せねばな♡（はー♡はー♡早く殺らせろ♡と両肩で呼吸繰り返しながらよだれジュルリ♡）   (2023/3/21 00:38:03)

朝倉可憐> ……あんまり人を差別はしないから…。（いい言い方）   (2023/3/21 00:39:41)

カレン> …人に睨まれた程度じゃ怯まんぞ？人でない言葉も通じない化け物に睨まれる前に殺しにかかられるせいでそんな顔も可愛いもんじゃ♡   (2023/3/21 00:39:45)

倉田ましろ> あーそういうことか...なるほどね...(はいはい、わかったわかった落ち着いてって頭撫で撫で）   (2023/3/21 00:40:19)

おしらせ> 滞在時間が360分を超えたため、朝倉可憐さんが自動退室しました。  (2023/3/21 00:40:19)

倉田ましろ> おめでとう...   (2023/3/21 00:40:29)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/21 00:40:35)

後藤ひとり> ぼーっとしてました   (2023/3/21 00:40:43)

カレン> 朝倉…。そんなに居たのか此処に。   (2023/3/21 00:40:50)

朝倉可憐> そういえば…お夕飯の時間からだれかしらいてくれたから…（目逸らし   (2023/3/21 00:41:04)

倉田ましろ> 金背景で星4ってでることあるんだ...びっくりした...   (2023/3/21 00:41:13)

倉田ましろ> あーそっかあの時から居たからね...   (2023/3/21 00:41:29)

絹川みちほ> そうだったんだね   (2023/3/21 00:41:58)

後藤ひとり> たまに金でも星4出ますよ   (2023/3/21 00:42:02)

倉田ましろ> 2体でたからびっくりした...   (2023/3/21 00:42:22)

後藤ひとり> なるほど……   (2023/3/21 00:42:30)

倉田ましろ> 彩先輩と瀬田先輩の星４が...   (2023/3/21 00:43:05)

カレン> なんじゃ、もう焦らすでない♡ここでやるぞ、ここで…♡（刺すぞ、バラすぞ♡♡ってふーっ♡ふーっ♡）   (2023/3/21 00:43:06)

後藤ひとり> ふむふむ……   (2023/3/21 00:43:27)

カレン> 朝倉、今日は平日じゃぞ…？（ちょっと引くサイコキラー）   (2023/3/21 00:43:34)

朝倉可憐> カレンちゃんにひかれるの地味にショックかも…（じー）   (2023/3/21 00:44:12)

倉田ましろ> ここじゃさすがにできないかな...それにするのは私じゃないよ...(ぼそっ)   (2023/3/21 00:44:35)

倉田ましろ> グラブルでもやばい引きしたけどここまでか...   (2023/3/21 00:45:51)

絹川みちほ> 【噛・ん・で・い・い？】   (2023/3/21 00:45:52)

カレン> …ま、まぁ平日でも暇なやつはおるからの！気にせんぞワシは！   (2023/3/21 00:46:04)

絹川みちほ> さっきのガチャかな？   (2023/3/21 00:46:35)

カレン> …？どういう意味じゃ…？ハッキリ言わんか   (2023/3/21 00:46:40)

朝倉可憐> ちょっとまってカレンちゃん。私お昼からいたわけではないんだよ？   (2023/3/21 00:46:48)

倉田ましろ> 非公開はだいじょうぶ?   (2023/3/21 00:48:39)

倉田ましろ> 朝と夜だよね...   (2023/3/21 00:48:49)

カレン> 分かっておる。夕方から居たのじゃろう？   (2023/3/21 00:49:07)

カレン> …何じゃ、移動しないと言えんことか？   (2023/3/21 00:49:31)

倉田ましろ> うんさっきのガチャ   (2023/3/21 00:49:35)

倉田ましろ> まーねっ...   (2023/3/21 00:49:43)

カレン> 構わん、言え。ワシは困らん（ふん）   (2023/3/21 00:50:13)

朝倉可憐> 私今日は自室にいただけなの。（ちょっと必死）   (2023/3/21 00:50:43)

倉田ましろ> 機械生命体...   (2023/3/21 00:51:22)

カレン> …そ、そうか。ワシは何も言わん。   (2023/3/21 00:52:39)

朝倉可憐> うぅ……。   (2023/3/21 00:53:09)

倉田ましろ> まっ...じゃあ、呼んでこようかな試験運用もしたかったし...   (2023/3/21 00:53:40)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/21 00:53:42)

おしらせ> 天童アリスさんが入室しました♪  (2023/3/21 00:53:59)

後藤ひとり> あ、どうも……   (2023/3/21 00:54:12)

天童アリス> はふっ...   (2023/3/21 00:54:16)

後藤ひとり> (やることないのでダンボールに隠れ)   (2023/3/21 00:54:30)

天童アリス> どうも(ペコッ)   (2023/3/21 00:54:31)

絹川みちほ> んにゃ？   (2023/3/21 00:54:34)

絹川みちほ> こんばんはー   (2023/3/21 00:54:44)

朝倉可憐> えっと、こんばんは？   (2023/3/21 00:54:45)

天童アリス> (ダンボール剥がして)   (2023/3/21 00:54:46)

後藤ひとり> なんで！？   (2023/3/21 00:55:00)

天童アリス> 隠れるのはよくないです(ふんすっ)   (2023/3/21 00:55:23)

後藤ひとり> じゃあメンダコぼっちになります   (2023/3/21 00:55:47)

カレン> …ヘイロー。なるほどな。てっきりワシは2Bかあっちのほうかと思ったんじゃが   (2023/3/21 00:56:17)

天童アリス> それもよくないです。   (2023/3/21 00:56:45)

後藤ひとり> じゃ、じゃあツチノコぼっちに   (2023/3/21 00:57:01)

天童アリス> 私たちも機械生命体ではあるので(痛みこそはありますが)   (2023/3/21 00:57:39)

絹川みちほ> ブルーアーカイブ？   (2023/3/21 00:58:00)

天童アリス> それもよくないです。   (2023/3/21 00:58:15)

天童アリス> そうですよぉ(ふんすっ）   (2023/3/21 00:58:27)

絹川みちほ> 可愛いー   (2023/3/21 00:58:34)

後藤ひとり> じゃあ承認欲求モンスターに…   (2023/3/21 00:58:48)

カレン> 脱げ（即答）   (2023/3/21 00:58:58)

天童アリス> ありがとうございます   (2023/3/21 00:59:00)

天童アリス> それならいいでしょう(基準)   (2023/3/21 00:59:19)

天童アリス> はーい(脱いで)   (2023/3/21 00:59:31)

カレン> 朝倉の黙っとらんでなんとか混ざるのじゃ   (2023/3/21 00:59:38)

カレン> なんで貴様が脱ぐ…ワシは承認欲求モンスターに言ったんじゃ！   (2023/3/21 01:00:08)

後藤ひとり> いいねくれー！   (2023/3/21 01:00:16)

後藤ひとり> え゛っ！？なんで私が脱がないと！？   (2023/3/21 01:00:27)

天童アリス> え、てっきり私かと(きょとん)   (2023/3/21 01:00:42)

カレン> いいね欲しいんじゃろ？   (2023/3/21 01:00:44)

朝倉可憐> 軽率に脱ぐのは良くないと思うよ…？   (2023/3/21 01:01:31)

天童アリス> はーい(きなおして)   (2023/3/21 01:02:11)

後藤ひとり> だと言うので脱がないです……メンダコぼっちになります………   (2023/3/21 01:02:12)

天童アリス> ゾンビぼっちさんになりましょう。   (2023/3/21 01:02:57)

後藤ひとり> 死にたくない……   (2023/3/21 01:03:15)

カレン> 脱ぐのを多少なりとも拒まないとそこにエロスは産まれんからのう   (2023/3/21 01:03:20)

後藤ひとり> カレンさんが脱げば良いのでは？……   (2023/3/21 01:04:25)

天童アリス> 死にたくないですか(しゅん)   (2023/3/21 01:04:26)

後藤ひとり> なので引きこもります……(押し入れを開けて)   (2023/3/21 01:05:09)

天童アリス> 引きこもりは駄目ー(押し入れにたって)   (2023/3/21 01:05:48)

後藤ひとり> どうしろと………怖いです……   (2023/3/21 01:06:12)

天童アリス> 私たちと話すのです。   (2023/3/21 01:07:04)

絹川みちほ> アリスちゃん、脱ぐのに抵抗ないのかな？   (2023/3/21 01:07:15)

後藤ひとり> は、はい……   (2023/3/21 01:07:36)

天童アリス> はい、ないですよぉー(ユウカとかは恥ずかしがりますけど)   (2023/3/21 01:07:58)

天童アリス> やっとわかってくれました。   (2023/3/21 01:08:11)

絹川みちほ> そうなんだ、意外   (2023/3/21 01:08:28)

天童アリス> 意外ですか?   (2023/3/21 01:10:23)

後藤ひとり> すやぁ……   (2023/3/21 01:10:54)

絹川みちほ> うん、そうは見えなかったな   (2023/3/21 01:10:57)

天童アリス> よしよし   (2023/3/21 01:11:31)

天童アリス> なるほどぉ   (2023/3/21 01:11:56)

後藤ひとり> ん……(むぎゅ)   (2023/3/21 01:12:22)

絹川みちほ> ふふー   (2023/3/21 01:14:52)

天童アリス> 可愛いですねぇ(よしよし）   (2023/3/21 01:15:19)

天童アリス> 二人のカレンさん寝た?   (2023/3/21 01:15:46)

後藤ひとり> ていうか寝ましたね……(すりすり)   (2023/3/21 01:15:52)

