/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月22日 16時02分 ～ 2023年01月23日 22時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> クレー栄養ドリンク飲めないや…。   (2023/1/22 16:02:46)
森久保乃々> …その最近はいったい何年前のことを指してるんでしょうね   (2023/1/22 16:13:29)

結月ゆかり> げっぷは仕方ないですね！むしろ我慢すると胃の炭酸が抜けなくて危ないんじゃ、とか思ってます   (2023/1/22 16:13:42)

結月ゆかり> 最近…ガンダムダブルオーくらいでしょうか(めそらし)   (2023/1/22 16:14:02)

森久保乃々> もりくぼも炭酸飲料はよく嗜みますよ…！期間限定のものがあるとすぐ手に取っちゃうくらいには…   (2023/1/22 16:14:24)

五十鈴れん> あ…あの、は…初めまして…。このお部屋は殆ど初めてみたいなものですけど…よ、よろしくお願い…します（目を合わせずにそっと小声で挨拶をすれば少し離れた場所へと座り）   (2023/1/22 16:14:40)

結月ゆかり> じゃあ、乃々さんは昔ペプシが出してたしそコーラとかどうでしょう   (2023/1/22 16:14:56)

結月ゆかり> はい、はじめまして♪よろしくお願いしますね♡(逃しませんよって隣にぴったり寄り添うように腰掛け、にこり)   (2023/1/22 16:15:35)

クレー> わぁ……♪こんにちはー！クレーはクレーだよ…！よろしくね…♪(入ってきた白髪のお姉ちゃんのところにとことこきてごあいさつ♡)   (2023/1/22 16:16:38)

森久保乃々> 初めまして…森久保乃々と言います…どうぞよろしく…（ぺこり、これは…内気なタイプですね…つまり…ドスケベ！さっそくゆかりさんにロックオンされてますしね…）   (2023/1/22 16:17:15)

結月ゆかり> 自分が内気だからって一緒にしないでくださ   (2023/1/22 16:17:40)

結月ゆかり> い   (2023/1/22 16:17:42)

五十鈴れん> あっ…は、はい…こ、こちらこそ…よろしく…お願いします…あの…五十鈴れん…です（隣へと座って貰うと驚きを隠さずに背筋を伸ばして真っ赤な顔を俯かせながら、消えそうな声で頑張って声を溢し）   (2023/1/22 16:18:02)

森久保乃々> もりくぼはもはや内気というものでもなくなっている気がしますけど…   (2023/1/22 16:19:09)

結月ゆかり> ふふふ、そんな…大丈夫ですよ、そういう顔をするのは今だけ…ですからね♡(おーよしよし♡って伸びた背筋に合わせて腰に腕を伸ばして脇腹あたりをさすさす♡)   (2023/1/22 16:19:17)

結月ゆかり> むっつりだけどむっつりじゃないって言ってるだけのスケベですよね   (2023/1/22 16:19:37)

森久保乃々> はい   (2023/1/22 16:20:03)

五十鈴れん> クレーちゃん…ですね。はい…よろしくお願いします…皆さん優しそうな方で…よ、よかったです。乃々さんも…是非、仲良くしてください…（嬉しそうに大袈裟に頷きながら照れ笑いをして）   (2023/1/22 16:20:13)

森久保乃々> そういう顔は今だけと…どういう顔させるつもりなんでしょうねぇ…（ぼそ）   (2023/1/22 16:21:05)

クレー> よろしくね五十鈴お姉ちゃん…♪(クレーもゆかりお姉ちゃんの反対側の、五十鈴お姉ちゃんのおとなりにぽふり…と座って失礼しちゃうの♪)   (2023/1/22 16:21:28)

結月ゆかり> んー……。ダブルピースとか？   (2023/1/22 16:21:47)

クレー> だーめっ…！五十鈴お姉ちゃんにそんなことさせないのっ…(ぎゅっ…と守るように五十鈴お姉ちゃんだきしめて)>ゆかりお姉ちゃん   (2023/1/22 16:22:49)

五十鈴れん> あ…っ、えっ…？く、擽ったいですっ…（脇を擽られると身体を少し強張らせながらゆかりさんの服をぎゅっと握り）   (2023/1/22 16:23:14)

森久保乃々> 五十鈴さんですね…よろしくお願いします。そう、ここの皆さんは優しい方が多いので安心していいですよ…！（まあ…もりくぼはさらにクレーちゃんのとなりに座っていますかね）   (2023/1/22 16:23:34)

結月ゆかり> ……クレーちゃんの中でダブルピースする場面ってどんな場面なんですか？逆に気になりますね♡(意外とプリクラ撮るときとか、小顔に見えるからってやる人多いんですけど…って、にぃ♡)   (2023/1/22 16:23:57)

森久保乃々> えへ顔ダブルピース…ですよね、ですよね！   (2023/1/22 16:24:06)

五十鈴れん> は、はい…クレーちゃん、大丈夫です。心配してくれて…嬉しいです…えへへ（こちらからもぎゅっと優しく抱き締めてふにゃっと頬を緩め）   (2023/1/22 16:24:47)

結月ゆかり> …ふふ。緊張しっぱなしじゃ疲れますからね？リラックスですよ、リラックス♪(握られた服の上から片手を重ねて軽く握ってあげてから脇腹を擦る手で頭をぽんぽん)   (2023/1/22 16:25:13)

クレー> 小顔効果にみせるのは、こーだよっ…♡(両手をほっぺにあてて…♡ウインク…♪きゃるん♡)   (2023/1/22 16:25:34)

結月ゆかり> それもどうなんですか。もりくぼ的にやる場面ありますか？   (2023/1/22 16:26:17)

森久保乃々> …トロ顔ダブルピースのほうが多そうです   (2023/1/22 16:26:50)

五十鈴れん> 乃々さんも優しいです…嬉しい、えへへ…今日は寒いので…皆さんでぎゅっとすれば暖かい…です、はい…（乃々さんの方にも少し擦るように身体を寄せると微笑みながら）   (2023/1/22 16:27:28)

結月ゆかり> ピースとかさせませんけどね。押さえつけます   (2023/1/22 16:27:52)

クレー> わぁ……♪そうだよねっ…♡うん…！クレーもはぐする…(五十鈴お姉ちゃんに抱きつきてぎゅー…♪)五十鈴お姉ちゃんのこともクレーたちが温めてあげるね！   (2023/1/22 16:28:55)

五十鈴れん> は、はい…皆さん優しいので…緊張もほぐれました…あ、ありがとうございます…んっ（ゆかりさんに頭撫でられると目をとろんとさせながら重なる手の平を力なく握り返し）   (2023/1/22 16:29:42)

森久保乃々> みんなで温まる…いいですね…！寒いときは人肌恋しくなりますし…（もりくぼのほうによってくれば、肩を合わせるようにすりすり…）   (2023/1/22 16:30:14)

森久保乃々> まあ…ピースよりかは手を繋いでいたいですしね…   (2023/1/22 16:30:35)

結月ゆかり> さて、と。場を和ませたところでゆかりさんはそろそろ寝ますか…(くしくし)乃々さんと手を繋いで行きましょうか、おやつ感覚で持ち去りますよ   (2023/1/22 16:31:27)

五十鈴れん> えへへ…ありがとうございます。クレーちゃんも優しいです…嬉しい。もっと、ぎゅってして欲しいです…んっ（正面からクレーちゃんに抱き付くと幸せそうにすりすりと頬を寄せ）   (2023/1/22 16:31:31)

森久保乃々> えっ…ここで持ち帰ります？いいですけど…   (2023/1/22 16:32:07)

結月ゆかり> はい、みんなで寄ってたかると忙しいと思いますしね？   (2023/1/22 16:32:41)

結月ゆかり> それじゃお疲れ様でした…(ずるずる)   (2023/1/22 16:33:19)

おしらせ> 結月ゆかりさんが退室しました。  (2023/1/22 16:33:22)

森久保乃々> あぅあぅ…おふたりともごゆっくりぃ…（持ち帰られ）   (2023/1/22 16:33:44)

おしらせ> 森久保乃々さんが退室しました。  (2023/1/22 16:33:54)

クレー> あらら…いってらっしゃいー(おててふりふり)   (2023/1/22 16:34:04)

五十鈴れん> で…ですね、みんなでぎゅっとすれば温かいです…それに安心しますし…乃々さんも温かい…です（肩寄せながら少し頭を預けると体温に誘われるように）あっ…お疲れ様でした。ま…またお話してください…（慌てて見送ると頭を下げ）   (2023/1/22
16:34:27)

クレー> ごめんね？あの2人とっても仲良しなの…！別に気を使わせちゃったとか、変なこと思わなくていいからね…？(せっかく五十鈴お姉ちゃんの正面に抱っこしてもらったから…クレーからもぎゅう…♡と抱きついちゃうの)   (2023/1/22 16:35:52)

五十鈴れん> そ…そうなんですね。皆さんお知り合いでしたか…私はずっと前に…一度だけ顔を出した程度なので…知り合いも居ないし…仲良くしてくれると嬉しいです…はい♡（正面から密着すると恥ずかしくも嬉しそうに身体をすりすりと合わせ）   (2023/1/22
16:38:22)

クレー> あー…？そうなんだっ…！過去ログノート見た時にお姉ちゃんと同じ名前の人見たことあったから、その人かな？と思ったんだけど…そうなのかな？(きょと…、すりすりされてクレーもにこにこ…♪)   (2023/1/22 16:40:14)

五十鈴れん> た…たぶん、私かもです…はい。半年くらい前に…一度だけでしたから…クレーちゃんは良く遊びに来てるのですか…？（お膝に来ますか…？と、膝をぽんぽん叩くと髪を撫でながら柔らかく微笑み）   (2023/1/22 16:42:52)

クレー> クレーは去年の11月くらいからだよ。そこからよく来てる感じかなっ…♪(うん…のりたい…♡なんてよいしょ…と五十鈴お姉ちゃんのおひざの上に座って…えへへ♡)   (2023/1/22 16:44:53)

五十鈴れん> あっ…11月ですか…最近ですね…わ、私が顔を出した時は…あまり人が居なかったので…でも、最近は賑わってるみたいで…思わず引き寄せられちゃいました…えへへ（お膝の上にクレーちゃんを乗せて支えると、背後から優しく抱き締めて嬉しそうに身体を揺らし）  
(2023/1/22 16:48:11)

クレー> そうだよね…！最近は毎日だれか来てるイメージだし、実は2階ができたんだよ？(お部屋と同じ名前(2)がこのお部屋の2階扱い♪)、えへへ…みんなでお話したり仲良くしたり…って感じかなっ♡   (2023/1/22 16:51:12)

クレー> (五十鈴お姉ちゃんに抱きしめられて、柔らかくて温かく包まれてクレーもほわーとリラックスしちゃうの…♡ほんのり香るすずらんのいい匂い…♪)   (2023/1/22 16:52:20)

五十鈴れん> に…2階…ですか？ほ、本当です…ちょうど今、あちらにも…利用者の方が居ますね。誰かしら居ると…嬉しいですよね…覗くのが楽しみになります…はい。んっ…眠くなったら何時でも…どうぞ。か、可愛い…♡（背後からクレーちゃんの肩へと顔を埋めると、優しく髪を撫でながらぎゅーってしちゃう）
  (2023/1/22 16:55:47)

クレー> うん…♪ありがとう…！でもぉ…クレーもうちょっと五十鈴お姉ちゃんといたいなぁ…♪(五十鈴お姉ちゃんにしっかり抱きしめられてクレーも嬉しくなっちゃう…)   (2023/1/22 16:58:05)

五十鈴れん> えへへ…嬉しいです。私も夕飯まではクレーちゃんと一緒に居ます…。とはいえ…準備もあるので…そ、そんなに長くは居れませんけど…（少し強くぎゅーっと抱き締めながらクレーちゃんの小さな手へと自分の手を重ねて握り）   (2023/1/22
17:02:58)

クレー> 同じ……♪クレーも夕ご飯までかなっ…(五十鈴お姉ちゃんの細くてきれいな手がクレーの小さな手を握ってくれて…クレーもきゅっと握り返しちゃうの…♡)はわぁ…五十鈴お姉ちゃん…♪ふふっ…温かいよね♡クレーの体温いっぱいもらっちゃっていいからね♪  
(2023/1/22 17:05:15)

五十鈴れん> んっ…では、ご飯までゆっくりしましょう…はい♡クレーちゃんのおてて…可愛くて、温かいです♡（背後から両方の手の平を握ると、密着したままもっと欲しがるように身体をすりすりと寄せ）   (2023/1/22 17:08:09)

クレー> ふふっ…五十鈴お姉ちゃんけっこー甘えんぼさん？♡…あのね、過去ログ見た時にクレー五十鈴お姉ちゃんのお名前見て会ってみたいなって思ってたの…♪(マギレコで一番好きなキャラだから…！リセマラして始めたきっかけがれんちゃん♡)…だからお話できてうれしい…♪おなまえの色も五十鈴お姉ちゃんらしくていいね…！
  (2023/1/22 17:10:51)

五十鈴れん> あ…甘えん坊…かもです…ご、ごめんなさい…（真っ赤になって俯き）えっ…あっ、クレーちゃん…マギレコ…知ってたんですね…あ、ありがとうございます…何か、私でいいのか…申し訳ない気持ちでいっぱいです…はい（驚いて前髪に隠れる瞳を丸くすれば急に恥ずかしくなって顔を隠すように俯き、ぎゅーっと抱き締め）
  (2023/1/22 17:15:21)

クレー> いいんだよ…♪クレーも甘えんぼさんだもん…。甘えんぼさん同士で甘えっ子するのも楽しいよ…？♡(にまにまと笑って)…クレー五十鈴お姉ちゃんのクリスマスのも持ってるし…♡五十鈴お姉ちゃんの見た目すっごく好きなのっ…！(今は制服？それとも変身バージョン？まさかのクリスマス衣装！？)…ねえねえー…クレーも五十鈴お姉ちゃんの方向いてぎゅっ…したいー♡
  (2023/1/22 17:17:54)

五十鈴れん> そ、それなら…甘えんぼ同士で…仲良しですね…えへへ♡あっ…クリスマス…梨花ちゃんと一緒のですね。初めてのペアユニットでした。わ…私なんて…見た目も暗いですし…も、もっと…可愛い子、たくさんいます…（恥ずかしそうに真っ赤な顔を伏せると上目でそっと見つめ返して）えっと…今は制服です…クレーちゃん、好きな衣装とか…ありますか？あっ…は、はい。も…勿論です…♡（クレーちゃんの身体をこちらへと向けると、正面からぎゅーっと）
  (2023/1/22 17:23:00)

クレー> えへへ……♡甘えっ子だよー♡(ぎゅうう……♡♡五十鈴お姉ちゃんに抱きついて…ぎゅうぎゅう♡)…五十鈴お姉ちゃんはかわいいよ…？♡きれいな髪色とひとみ…あと、優しい性格もそーだし、五十鈴お姉ちゃんはとっても可愛いんだから…♪自信もって…(ほっぺに指つんつん…♪)五十鈴お姉ちゃんの好きな衣装…やっぱり変身した五十鈴お姉ちゃんは一番好きかもっ…♡(クリスマス衣装も制服も好きだけどね…♪ちなみにクリスマス衣装のメモリアだけなかなか出なくて初登場から数年かけて引いたことある…汗)
  (2023/1/22 17:27:37)

五十鈴れん> んっ…可愛い…です♡わ…私からもぎゅー…♡（受け止めながらこちらからも背中に手を回して密着しつつ）あっ…ありがとう…ございます…クレーちゃんが好きって言ってくれるなら…少しだけ…自信持てるかも…です（頬に指が埋まると、ふにゃふにゃな笑顔を照れ笑いしながら）そ…それなら…今度は魔法少女できますね…（メモリアも出ない時は出ませんから…マギレコを遊んでる方は初めて会ったかもですので…す、少しテンション上がっちゃいました…♡）
  (2023/1/22 17:33:07)

クレー> ぎゅー♡♡五十鈴お姉ちゃんかわいい……♡(くんくん…なんて匂い嗅いでみて…)お姉ちゃんってお花の匂いする…♡スズランっていうんだよね♪いいにおい…♡(むぎゅう…♡五十鈴お姉ちゃんを大事に抱きしめちゃって…♡クレーの小さな身体もすりすり…)  
(2023/1/22 17:35:55)

クレー> (れんちゃんもやっぱりれんちゃんが好きなの？♡)   (2023/1/22 17:36:45)

五十鈴れん> ご、ごめんなさい…そろそろ夕飯の準備を始めないと…またお邪魔しますね。クレーちゃん、お話ありがとうございました…♡（名残惜しそうに身体を離すと少し固まり考えながら、頬へと軽く唇を寄せて恥ずかしそうに俯き）   (2023/1/22
17:38:26)

クレー> んっ……♡えへへ、ありがとう♡またきてね♪   (2023/1/22 17:38:47)

五十鈴れん> （そうですね…私はどちらかといえば、私と梨花ちゃんのカップリングが好きって感じですね…マギレコカップリングならみんな好きですけど…はい）   (2023/1/22 17:39:29)

クレー> (クレーから五十鈴お姉ちゃんのほっぺにちゅー♡)   (2023/1/22 17:39:41)

五十鈴れん> （途中で本当にごめんなさい、また会えたら遊んで下さい…マギレコのお話も…したいです…ん♡し…失礼しますね）   (2023/1/22 17:41:02)

おしらせ> 五十鈴れんさんが退室しました。  (2023/1/22 17:41:10)

クレー> 行ってらっしゃい♪   (2023/1/22 17:41:42)

クレー> クレーはご飯までちょっとあるから、漫画でも読もっ…♪(本棚から何冊か取り出してソファのうえで読みながらごろごろり…)   (2023/1/22 17:44:57)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/22 17:45:32)

桜衣乃> ただいま帰りました〜♪ こんばんは〜♪   (2023/1/22 17:45:57)

クレー> あ、衣乃お姉ちゃんこんばんは♪   (2023/1/22 17:46:09)

桜衣乃> さっきまでどなたかとお話してたみたいですね♪ この時間にも人がいていいことです♪   (2023/1/22 17:48:10)

クレー> 久しぶりにきてくれたんだって～♪えへへ、クレーちゃんと2階の存在宣伝しておいたっ(敬礼ポーズでぴしゃ♪)   (2023/1/22 17:49:14)

桜衣乃> まぁ♡流石クレーちゃん、宣伝ありがとうございます♪ ……最近は気がつけばお部屋が満員だったりしますから、使いやすく他の経路を案内しておくと使いやすいですからね♪(こちらも敬礼返しては、クレーちゃんを撫でて褒めてあげます♪)   (2023/1/22
17:52:30)

クレー> えへへ……♪そういえば…1月の過去ログのぶあついね…！   (2023/1/22 17:56:21)

桜衣乃> 一階も二階も、1日で2ページも増えてるなんて私もびっくりです。ここでお話していく方々がたくさんいるみたいですね。   (2023/1/22 17:59:57)

クレー> うんうん…。お話したり仲良くしたり…みんながお部屋で楽しんだ分が増えてくからそういうことだね♡   (2023/1/22 18:01:19)

桜衣乃> お部屋の利用者も、需要も増えていていいことです…♪みなさん仲良く利用してくださっているみたいで嬉しい事ですね…♪   (2023/1/22 18:04:55)

クレー> そおそお…♪(にゃん、と寄ってきてごろごろ…♡ちょっぴり甘えちゃう)   (2023/1/22 18:09:25)

桜衣乃> あら？クレーちゃん、今日は猫さんの気分なんですか…♪おいでおいで〜♡(ごろごろしてるクレーちゃんの顎の下をこちょこちょ〜♡)   (2023/1/22 18:12:05)

クレー> んんっ……♡ごろごろ…♪さっきあまえっこ大会してたからちょっとまだよいんが…♡クレーこのあと夕ご飯になっちゃうけどねっ   (2023/1/22 18:13:59)

桜衣乃> そんな素敵なことを…♪ はーい、私もおゆはんにしますから、しばらくあまえっこしましょうか…♪とはいえ、私は甘やかす側、ですが…♪   (2023/1/22 18:16:57)

クレー> 自分のキャラの作品知っててくれてると嬉しい気持ちクレーもわかる気がするのっ   (2023/1/22 18:18:46)

クレー> (ごろごろ…♡にゃあ…♪)   (2023/1/22 18:19:28)

桜衣乃> それはそうですよ〜、自分の出身を知ってくれているだけでも好きなもののジャンルが合いそうなのに、同作となったら話も弾むというものです…♪(クレーちゃんをお膝の上に乗せて、顎の舌……鼻先……くるくる〜って指先で撫でてあげて…♪)とはいえ、私はここのお部屋のクロスオーバーという部分に惹かれているので……そういった垣根を気にせすお話してもらえれば、もっと嬉しいですね…。
  (2023/1/22 18:22:56)

クレー> それはそう…！それはそれ、これはこれなのっ(クレーもクロスオーバー大歓迎だよ♪)…百合はどの異世界、どのワールドでも共通なの♡(ごろごろ……猫口になってにこにこ♡にゃあ…♡)クレーねこしゃん…//   (2023/1/22 18:26:02)

桜衣乃> まだ知らない子とお話するというのもひとつの楽しみですからね…♪こうして私とクレーちゃんが仲良し姉妹になれたのも、このお部屋の縁あってのことです♪(ぎゅー♡)こんなにかわいい猫ちゃんは拾って私のお部屋に連れて行っちゃいますよ〜♪  
(2023/1/22 18:29:28)

クレー> にゃんにゃん…♪クレーも衣乃お姉ちゃんに合っておちフル毎週アプリで読んでるの！(衣乃お姉ちゃんにぎゅーされてクレーもぎゅー♡)…にゃあ、連れてかれちゃう//(なんて…♡お夕飯があるからお預けなのっ)   (2023/1/22 18:34:01)

桜衣乃> …私もテイワットのことを勉強しないと、ですね…！クレーちゃんにそっちのことを教えてもらうのもいいですが……さて、そうと決まればクレー猫ちゃんは私が連れ去ってしまいます♪(と、それは知っての通りですから…晩ごはんのために、一緒にお外に出ましょうか…♪)
  (2023/1/22 18:38:47)

クレー> う、うん…？(とりあえず任せるように衣乃お姉ちゃんの手を繋ぐのっ)   (2023/1/22 18:40:27)

桜衣乃> (私が晩ごはんで先に出ないといけませんので〜… あ、クレーちゃんはまだでしたら残ってていいですよ！)   (2023/1/22 18:41:24)

クレー> (あー！なるほど…！実はクレーもすぐご飯になると思ったらちょっと伸びそうなの…)   (2023/1/22 18:42:44)

桜衣乃> (あら、そうでしたか！　では、私の最後のレスは見なかったことにしていただいて……ちょっとお先に失礼しますね！また会いましょう♡)   (2023/1/22 18:44:11)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/22 18:44:33)

クレー> はーい、夜ご飯たべてらっしゃーい♪   (2023/1/22 18:44:34)

クレー> クレーも抜けとこっ   (2023/1/22 18:49:59)

おしらせ> クレーさんが退室しました。  (2023/1/22 18:50:02)

おしらせ> カールスルーエ ◆xbO5t8yYyIさんが入室しました♪  (2023/1/22 21:28:35)

カールスルーエ ◆> 久しぶりの顔出しになりますがこんばんは、お邪魔しますねぇ。…流石に明日が月曜だとこの時間に来る方は少なそうですかねぇ。（もぐ、もぐ。カレーまんを頬張りながらお部屋の中へ。今日はカレーの日との事で。）   (2023/1/22
21:31:31)

おしらせ> シルヴィ（影）さんが入室しました♪  (2023/1/22 21:35:11)

シルヴィ（影）> こんばんは。この部屋に来るのも久しぶりな気がするよ。まだ寝るには早い時間帯だけど、なぜか眠い…（コタツに潜り込んで顎を板にのっけて）   (2023/1/22 21:36:18)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/22 21:39:47)

カールスルーエ ◆> あら、こんばんは♪私も同じく久しぶりな気がしますねぇ。…本来哺乳類はこの時期冬眠をする種が多いのですから、我々人間もその名残があるかと思いますが。（炬燵に入ると尚更。斜め側にコタツに入ってはつんつん、軽く頬に指を突いてみたり。）  
(2023/1/22 21:39:49)

シルヴィ（影）> んしょっと（天板におっぱいのっけて無二っと横につぶし広げ）この部屋的には突っつくのはこっちの方があってるような…　そう言えば、カールスルーエ君推しのうちのリディア君が主役？イベントが火曜から始まるよ（爽やかなステマ）   (2023/1/22
21:41:41)

桜衣乃> お久しぶりのおふたりにこんばんは♪ こんな時間帯でも来ちゃう私みたいな人もいますよ！(と、私もこたつに入ります…)   (2023/1/22 21:41:57)

シルヴィ（影）> これで3人そろったから、麻雀漫画なら「打てますか？」と四人目が現れるところ…   (2023/1/22 21:42:38)

カールスルーエ
◆> はぁい、お久しぶりです衣乃ちゃん♪今夜は遊びたいところですが…今週いっぱいは少し厳しいと思いますねぇ。（お仕事と予定が…なんて。シルヴィの胸をターゲット切り替えてつんつんぷにぷに。）あぁ、リディアさんが主役なのですねぇ。…果たして無料ガチャでお迎えできるのでしょうか。（来たらする、来なかったら…お察し。）
  (2023/1/22 21:44:17)

シルヴィ（影）> 性格にはみくにゃん…もとい、エデルガルド君が主役の中の主役で、リディア君とミルヴァ君が2番目、3番目ってところだね。私は…（遠い目）   (2023/1/22 21:45:18)

桜衣乃> あら〜…かるるんちゃん、お忙しそうですねぇ……。いえいえ、予定はどなたにもあるものですから、都合のいいときに遊びましょう♡ 私は麻雀はあんまり上手ではないですが…打ちに来る人、いますかねぇ…？   (2023/1/22 21:47:05)

シルヴィ（影）> 脱衣ルールとか、箱下にしたらお持ち帰りできるとか…　うん、実際に麻雀を始めたら時間がかかりすぎるからネタとして知ってる人に限っても、この部屋に来る人では難しいかもしれないね   (2023/1/22 21:49:19)

カールスルーエ ◆> えぇ、忙しいと言うよりは…ハマってしまったものがありまして。（ガテテル…ハナちゃんの影響で初めてしまったとか。）＞衣乃ちゃん ふふふ、私はそこそこ打てますよぉ？まぁあと最低2人参加してもらわなければですがねぇ。（四人よりも三麻が好き。）
  (2023/1/22 21:51:42)

桜衣乃> ハマれる趣味があるのはいいことです♪自分のやることを優先してくださいね！私みたいにやることよりお部屋優先するようになっちゃったら、アレですから……(めそらし。)   (2023/1/22 21:55:02)

シルヴィ（影）> 私の中の人は趣味にはまる以前にお仕事で体力を使い果たして、平日も休日も眠るのに忙しいとか…   (2023/1/22 21:56:03)

桜衣乃> 平日もですね〜……帰る頃にはくたくたで、遊ぶ気力がないなんてことはよくありますからね。私も22時まで帰れないとかなんて日は流石に夜遊びは回避でしょうか……   (2023/1/22 21:57:48)

カールスルーエ ◆> …お二人の中で、私は衣乃ちゃん側の方でしたねぇ…（目逸らし。） ともあれ、シルヴィさんもかなり分かります。掃除を、ゲームを、と言うよりも睡眠を優先してしまって
────嗚呼。（朝の10時に起きるはずが夜の10時まで寝ていたとか…ぷるぷる。）   (2023/1/22 21:58:31)

シルヴィ（影）> 体力や気力のある時は掃除…は面倒だからあんまりやらないけど、電源付きゲームをするよりも、休憩室の広いスーパー銭湯に行きたいと中の人が。   (2023/1/22 21:59:57)

桜衣乃> 実際睡眠は大事ですよ。…寝落ち対策会議の結果、数日連続で夜更かししてる私が言うことではありませんが…… 私も近く、ちゃんと早めに寝なくては……   (2023/1/22 22:01:38)

おしらせ> クレーさんが入室しました♪  (2023/1/22 22:02:44)

クレー> こんばんは～♪(げんかんがちゃこん)   (2023/1/22 22:03:13)

桜衣乃> あ、クレーちゃん♪さきほどぶりです〜♪今はおこたを囲んでるんですよ〜♪   (2023/1/22 22:03:56)

シルヴィ（影）> よし、みんな。遠しのサインはちゃんと伝わったね？（クレーを見るなり、いきなりコタツの空いてるところに座らせてからテーブルの上に麻雀牌を並べ）1000点ごとに一枚脱いで、原点割れしたらさせた人がお持ち帰りルールだ。   (2023/1/22
22:04:38)

クレー> そうなの？クレーも入る～♪(とことこ…ぽふっ)   (2023/1/22 22:04:47)

桜衣乃> …クレーちゃん麻雀わからないと思うんですが……(素早い準備に仰天……あと通しのサインって、これコンビ打ちなんです…？)   (2023/1/22 22:06:20)

シルヴィ（影）> 何も知らない素人を3人がかりでハメるのは麻雀でもエロでも漫画なら良くある話じゃないか。（さすがに罪悪感はあるのですぐに型付け）   (2023/1/22 22:07:55)

クレー> わかんないよ？クレーのすーあんこーがさくれつしちゃうかも？(にまり…♪)   (2023/1/22 22:08:47)

