/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月04日 07時46分 ～ 2022年12月06日 13時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/4 07:46:39)
小春六花> 誂いはしないんだけれど、こう、ねー？（相手のことは色々知りたいじゃん？ってきょうのおちゃうけってひねりあげの菓子盆を真ん中に置きつつ…   (2022/12/4 08:27:27)

雷電将軍> まあいいでしょう、不愉快な思いをしたわけではありませんので…それに相手を知るのは確かに大切ですから。(置かれた菓子盆に反応、一つ手にとっては早速味わおうともぐもぐ…)…おいしい。   (2022/12/4 08:30:17)

小春六花> 愉悦で快楽なことはたくさんしたいよねぇ……（うんうん）…わたしもこれ好き。カロリーとかあるけど。（今日は見ないふり   (2022/12/4 08:31:10)

雷電将軍> ………えぇ(大きな声は出さなかったけど小さく頷いて)食べた分動けばいいです、健康的ですそれが(キリッとした顔をしてはまた一つ食べる、デリシャス)   (2022/12/4 08:33:25)

小春六花> 電ちゃんもそのうち気が向いたら遊んでね。（塩気には緑茶って、急須から注いだそれを電ちゃんにもひとつ次に手渡しては）私達の世界そんなにバトったりしてないし…！   (2022/12/4 08:34:49)

雷電将軍> いいですよ、あなたを楽しませることが出来ればいいんですが…(ふぅ、と溜息をついては渡されたお茶を受け取りお礼を言ってから味わって飲んでいき…やっぱりお茶は美味)わたしは正直…体を動かすことのほうが得意ですね。   (2022/12/4
08:37:49)

小春六花> そのへんは大丈夫大丈夫。今おしゃべりしてでも私は楽しい。   (2022/12/4 08:41:24)

小春六花> （ね、って頷きつつ。自分もお茶をずずり、湯気に溶けるお休みの時間が心地良いわぁ……って）私もそういう系だけど、飛んで跳ねて切って張ってむーりぃー   (2022/12/4 08:42:41)

雷電将軍> 本当ですか？それなら私も良かったのですが…(少し自信なさげに微笑んではお茶も飲み終え体をいい感じに暖まる、穏やかな時間…)人には得手不得手がありますし、そんなに気にすることはないですよ。   (2022/12/4 08:43:58)

小春六花> そんなに自信なさそうにしなくてもいいんじゃないかなぁ。（自信持ってってだらーんと腕を伸ばして頑張って背中を叩こうと）得手不得手っていうか、モンスターがいないだけというか。   (2022/12/4 08:45:40)

雷電将軍> あふっ。そ、そうですかね。ならもう少し自信を持ってみようかと…(背中をばし、とされればシャキッとしつつ照れくさそうに笑顔を見せた)なるほど魔物の類がいないんですね、もし何かあれば私が助太刀しようと思ったのですが…。   (2022/12/4
08:47:56)

小春六花> そーそ、別に上手い下手より相手が好きかどうかよ。（タブンネ、ってズルズル自分の席にもどりつつ）そーなのよ。基本的にそういうたぐいのモンスターもないし魔法もないんだよね。   (2022/12/4 08:50:28)

雷電将軍> 確かに六花の意見は正しいのかもしれませんね、相手への好意がないといくらお喋りがうまくても楽しくないですし…(軽くコタツに突っ伏す、たまの休みだからだらけよう)そうなのですか…私からすれば未知の世界、です。   (2022/12/4
08:53:20)

小春六花> そうそうー。とりあえず好きがあれば相手に尽くせるからね。（プレイなんて、そんなもんよ、ってほっぺたがてんばんにびたーん）うーん……こう……なんだろう…平和といえば平和…？   (2022/12/4 09:02:46)

雷電将軍> 私はまだここへ来て日が浅いですが…六花や神子が親切にしてくれて嬉しいです、好きですよ(そう簡単に好きって言っていいのか分かんないけど正直な気持ちを伝えて)平和が一番ですよ、今みたいな状況が最高ですから！   (2022/12/4 09:06:29)

小春六花> いやー…ほら、ねー？みんなプレイが好きなだけかもしれないよー？（きゃーんっててれてれしつつ、私も電ちゃんすきーってにっこり）ほんとねー。何事も平和にこうしていちゃつけるくらいが一番だよね   (2022/12/4 09:17:29)

雷電将軍> それは…人によってはそういう人もいるかもしれませんね、私はこうやってのんびりお話しするのが多いですが…(彼女から好き、と言われればほんのり赤くなりつつ「ありがとうございます」とてれてれ)今日は休みですが静かですね、みんな忙しいのでしょうか。  
(2022/12/4 09:21:25)

小春六花> 私はどっちも好きかなぁ。いつか、一緒に遊びたいとは思うよ？（うん、っててれてれさられると私もきゅーんってなったり。）まあ、日曜日くらいみんなのんびりしてたいよね。わかるわかる。   (2022/12/4 09:24:18)

雷電将軍> さっきも言った通り、普段は寝落ちの可能性が高くて中々じっくり遊べる機会がないといいますか…はち…(もじもじ。睡魔に勝てないのが悔しい)ふふ、布団の中ですやすやしてるのでしょうか。   (2022/12/4 09:26:38)

小春六花> 寝落ちは確率じゃなくて……うーん、あくまで体調管理の範疇だよ？（マジレス。ガチャではない、っておめめをみて）   (2022/12/4 09:34:30)

小春六花> 布団の中で寝てたり、あるいはおでかけしたりねー。   (2022/12/4 09:34:41)

雷電将軍> 体調管理…でしたら、寝落ちてしまう前に大人しく寝るほうがいいですね…(来る時間を早めたりするべきか、など頭の中でほわほわーんと考えて)いいですね、今は寒い時期なので出かける人尊敬します…   (2022/12/4 09:37:41)

小春六花> あとは、チャットする場所を布団の中じゃなくて椅子にするとかねー？（いろいろあるよ？って小さく頷いては。）寒さごときでは止められないこと結構あるよね……   (2022/12/4 09:39:22)

雷電将軍> 場所も大切ですよね、冬場はどうしても暖かい布団へと逃げたくなってしまいますが…(毛布も装備すべきか、と。ポカポカしすぎると眠くなる！)私は断然休みの日は篭ります、篭りまくりです。   (2022/12/4 09:41:31)

小春六花> 少し過酷なところに身を置くのも大事大事。（かぶりすぎるといいことないのよ……寝ないならともかく。って。）私も籠りがちかなぁ……なにかあればためらわないけど。   (2022/12/4 09:45:00)

雷電将軍> ふふ、修行ですねまるで……(炬燵にいるとウトウトしそうになるので一旦出てから体を伸ばした)六花も今日は布団でゆっくりするんですか？   (2022/12/4 09:47:41)

小春六花> 修行なのかなぁ……まぁ、寝ないって本能に反するから…（そうかもしれない……ってえらいぞー…こたつむりっかちゃん）んー、流石に必需品は買いに行かないとねー…寒いけど。   (2022/12/4 09:49:49)

雷電将軍> 過酷なところに身を置き、本能に逆らうのですからそれはもう修行です(体を伸ばしては気持ちがいい、今度はソファに腰掛けて)…もうこんな時間ですか、はやいですね？   (2022/12/4 09:51:43)

小春六花> まぁー…うん、何事も程々になんだけどねー。（結局のところ楽しめればいいのよねー。って頷き頷き）もうすぐ午前中が終わると見るか……休みのピークが始まると見るべきか…！   (2022/12/4 09:56:37)

雷電将軍> う、それは…たしかに……私も楽しみたいですね時には(真面目なのも良いけど、ずっとそれは疲れちゃう)休みがまだ終わった欲しくないので後者の捉え方でよろしくお願いします。   (2022/12/4 10:00:24)

小春六花> あれー？今は楽しめてないー？（じー、とみつめつつ。ほっぺたつんぷに）じゃあ、休みのピークにドスケベ行きますか…   (2022/12/4 10:02:07)

雷電将軍> いえ！いえ！今のは言葉の綾です、楽しめてますよ！(ツンツンされると目を丸くして、慌てた否定。)どす……どすけべですか……(思わず聞き返す将軍様)   (2022/12/4 10:05:25)

小春六花> それならいいんだけどー。いいんだけどねー？（なんて、罰ゲームと言わんばかりに同じソファですぐ隣に密着して見せては）するかしないかはまぁあれなんだけど。（恋人の距離感で瞳を見つめて）   (2022/12/4 10:08:58)

雷電将軍> 楽しくなかったら私もこんなに喋りませんし…(彼女と密着し合う形に、ぬくもりが伝わってきてこたつとはまた違うポカポカ。)嫌なわけではないのですが…(見つめられると恥ずかしそうに俯いて)   (2022/12/4 10:11:59)

小春六花> えへへ……流石に照れるぜ……（そう言われると、って体重預けるように密着して）なにか懸念とかある感じ？不安とかあるなら聞くよ？（なんて、うつむいちゃった相手にどったの？って   (2022/12/4 10:14:06)

雷電将軍> それは私も同じですから、ね？(体重を預けられるとそっと頭に触れては優しく撫でるのを始めて)懸念というか上手く出来るか、とかそういう感じで…(俯いたのはどうやら照れ隠しだったようで)   (2022/12/4 10:16:35)

小春六花> んふー……電ちゃんすっごくいい気持ち…（なんて、しふくー。ってちょっぴりと甘えてみたり。）んー…うまくやろうとしなくていいんだよう。（なんて、照れ隠しの電ちゃんのほっぺたを両手で挟んでは。無理には誘わないけど、したいなら誘ってみるほうがいいんだよーってね）
  (2022/12/4 10:18:54)

雷電将軍> それなら良かったです……(髪の毛を梳くように、乱さないように慎重に触りながらなでなで…)……そうなんですか……？(頬を挟まれてはもちもち、見た目こそ大人だが案外子供っぽいところもある。彼女の話を聞いたら少しは安心したのか肩の力が抜けて)  
(2022/12/4 10:23:09)

小春六花> 別にちょっとくらい乱れてもいいよ？（なんて、慎重な手付きに、お団子なんてすぐ出しって。）そーそ。うまくやるより遊びたいって気持ちを大事にしていこー。（適当に適当に、重すぎない程度に楽しんでいこうぜ！って）   (2022/12/4
10:24:53)

雷電将軍> …あなたの髪の手触りが良くて、ついつい…(ハッとしては一旦ナデナデする手を止めて)それ、でしたら…あまり長くは出来ませんが…親睦を深めるためにも、少し遊びたいって気持ちは…あり、ます…(もごもご、と小さい声でなんとか伝えて)  
(2022/12/4 10:29:27)

小春六花> いいよいいよー？（好きなだけ触ってちょーだいってあんまり気にしてない様子）ん、喜んでー？（にこーって笑いながら。お部屋と、ここどっちがいい？って   (2022/12/4 10:31:58)

雷電将軍> ありがとうございます…(また何回か撫でて穏やかな顔をしながら「可愛い」と呟いて)出来れば奥の部屋で…お願いします、鍵は一応持っているので(ヒソヒソ)   (2022/12/4 10:35:17)

小春六花> んふー…私はかわいいりっかちゃんだからね。（どやだってしつつも、ありがとって。）はあーい、了解だよー。（って笑いかけてはお部屋の鍵借りてきたよ？って伝えて起き上がって。それじゃ、いこーよなんて手を差し伸べて   (2022/12/4
10:38:43)

雷電将軍> (彼女の手を掴んではこちらも立ち上がる、ほんのり赤くなって恥ずかしそうにちょっと手を握る力が強くなりながらも頷いて)ええ、行きましょう…！　【お部屋入りました！】   (2022/12/4 10:40:58)

小春六花> んふー、のんびり楽しもうねー？（なんて、つかんだままこちらのお部屋をあとにして。ひねり上げにはご自由にどうぞとだけ書いてぱたぱたー   (2022/12/4 10:41:41)

おしらせ> 雷電将軍さんが退室しました。  (2022/12/4 10:42:01)

おしらせ> 小春六花さんが退室しました。  (2022/12/4 10:43:10)

おしらせ> 小春六花さんが入室しました♪  (2022/12/4 20:42:49)

小春六花> ラキストン「復ッ活ッ！！！小春刃牙花、復活！！！」   (2022/12/4 20:45:03)

小春六花> してェ……ヨーグルト食べてェ〜〜〜〜〜〜〜……   (2022/12/4 20:46:02)

小春六花> はてさて、日曜日のラストチャンス。明日から言ってしまえば仕事。この現状を私達はどう受け止めたものですかね。（休みがもっとほしい休みをくれという感情   (2022/12/4 20:53:24)

おしらせ> アリアルさんが入室しました♪  (2022/12/4 21:27:04)

アリアル> やぁ、こんばんは。週末のアリアルさんだよ   (2022/12/4 21:27:24)

小春六花> やぁ、アリアルさんだね。   (2022/12/4 21:30:26)

アリアル> うむ。あと3時間で月曜日、また寒空の下に駆り出されるアリアルさんだ   (2022/12/4 21:32:08)

小春六花> 出撃は辛いよねぇ……。   (2022/12/4 21:34:41)

アリアル> この季節はねぇ。前まで少しは暖かかったのに、今月に入ってからは急に気温が下がったようだよ   (2022/12/4 21:36:03)

小春六花> ほんとだよねー…一気に一桁までおちたし……   (2022/12/4 21:38:51)

アリアル> 外に出るにも防寒具が欠かせないね。マフラーとか手袋とか…装備が嵩張りがちだ(温かいお茶で手を温めながら)   (2022/12/4 21:43:26)

小春六花> 私はあんまりもこもこしない派だからなんとか……なんとか（？）マフラーも手袋もなんか嫌いなのよねー…（とお煎餅ばりぼりと）   (2022/12/4 21:45:52)

アリアル> 外に居ると素手だと冷えてしまわないかい？身にまとわないものだと…カイロとか？   (2022/12/4 21:49:48)

小春六花> あー…カイロだねー。（うんうん）なんかむずむずして痒くなっちゃうというかさ。   (2022/12/4 21:50:30)

アリアル> 確かに肌に合わないものだとボクもそういう感覚があるなぁ。逆にボクはカイロだと熱すぎて火傷しそうになってしまってね   (2022/12/4 21:52:32)

小春六花> マフラーとか首に巻くのはそもそも首になにか巻くのが苦手なんだよねぇ……   (2022/12/4 21:54:14)

アリアル> 息苦しさを感じる？まぁ首の辺りは着こめば誤魔化せるところでもある…かも(?)   (2022/12/4 21:57:02)

小春六花> そうそう、息苦しさを感じやすいというか、うぇってえずいちゃうかんじ？   (2022/12/4 21:57:30)

アリアル> あー、それは嫌な感覚だ。普段使いに向くものではないねぇ…   (2022/12/4 21:59:27)

小春六花> くびまわりのあっぱくかんにひじょーによわいのです。りっかちゃんは。   (2022/12/4 22:01:54)

アリアル> 首が弱点と…いや首が弱点部位でない生物なんてそうそういないが   (2022/12/4 22:04:34)

小春六花> しかも、ガチの弱点だから性感帯どころかゲロ吐くのよ   (2022/12/4 22:06:56)

アリアル> そうなったら行為どころじゃないね…取り扱い注意だ   (2022/12/4 22:09:46)

小春六花> 首絞めとか絶対無理…   (2022/12/4 22:10:52)

アリアル> ああ、だろうね。もともと人を選ぶものでもあるし…   (2022/12/4 22:13:53)

小春六花> まぁねぇ……のーまるいちばんよ。たぶん。   (2022/12/4 22:16:37)

アリアル> ボクも痛みを伴うものよりは甘々としたものの方が接種しやすい…ね。勿論そういうものにも良さはあるのだけれど   (2022/12/4 22:18:59)

小春六花> 否定はしないけれどってやつだねぇ……。   (2022/12/4 22:19:46)

アリアル> うむうむ。多様性があることは良いことで、棲み分けが出来ればそれが一番さ   (2022/12/4 22:23:04)

小春六花> 互いを否定しないの一番多様だよねー。動画も投稿終わってるし、あとは6日にもう一回広報したら今月の投稿活動は終わりだー   (2022/12/4 22:30:03)

アリアル> おー、無事投稿できた？よしよし、お疲れ様だ。一種の仕事納めだね   (2022/12/4 22:32:13)

小春六花> そうそう、これで今年の仕事は終わったーって気持ちでいっぱいよ……   (2022/12/4 22:32:38)

アリアル> ふふ。自分の目標を達成できる良い子だ…頑張ったねぇ   (2022/12/4 22:34:35)

小春六花> 趣味だからそこはなんとかねー…   (2022/12/4 22:35:04)

アリアル> ん。義務じゃないからこそさ。よしよし…(撫でる仕草)   (2022/12/4 22:37:57)

小春六花> わーい、あざっすあざっす！   (2022/12/4 22:43:06)

アリアル> ふふっ…それに頑張った分他の好きなことも楽しいさ。最近は何をしてるんだい？   (2022/12/4 22:45:52)

小春六花> 今はポケモンの対戦準備をもっぱらかなー…準備と言いつつ色探しだけど……   (2022/12/4 22:46:34)

アリアル> ポケモン…ボクはまだストーリーの序盤も序盤だ。小春君は色違いとかも拘るのかい？   (2022/12/4 22:48:10)

小春六花> 全部はこだわらないけど今回出やすいし少し集めようかなって感じかなぁ   (2022/12/4 22:51:19)

アリアル> 流石に全部となると時間がねぇ。数匹とかならむしろ特別感…もとい思い入れも深くなるかな   (2022/12/4 22:53:50)

小春六花> 対戦用半分くらいかなーって。　まぁ全部はね……流石に修羅。開幕でやるには。   (2022/12/4 22:56:07)

アリアル> あぁ。それよりかは最低限の対戦用をね…ボクもまずそこまで進めないと   (2022/12/4 22:57:53)

小春六花> ストーリーとかしっかり楽しむのよー？そこも楽しめたほうがいいし。   (2022/12/4 22:59:11)

アリアル> それは勿論ね。今までにない進行の仕方でじっくりと楽しんでいるよ。突然のレベル差に狩られるのも経験済みさ   (2022/12/4 23:00:32)

小春六花> 行き過ぎるとあるあるだよね……そういうところで色違いに出くわすし……   (2022/12/4 23:03:28)

アリアル> 後はよく道に迷うね。アリアルさんセンサーは今日も調整中…尤もそれも楽しみではあるのだが   (2022/12/4 23:04:41)

小春六花> ポンコツになってらっしゃる……   (2022/12/4 23:05:25)

アリアル> そ、そんな。ポンの者では…ボクは少し道に迷いやすいだけのハイスペックお姉さんだよ   (2022/12/4 23:07:03)

小春六花> 道に迷いやすい時点でだめなんじゃないかなぁ……。私も迷ったケド……   (2022/12/4 23:09:57)

アリアル> 小春君もじゃないか。そう、誰でも迷うんだ。次の街を目指した筈が最初の街へ戻ってくる…というのを3回やったくらいで…   (2022/12/4 23:12:09)

小春六花> 3回はおかしいよ……（？）   (2022/12/4 23:17:31)

アリアル> 街に行くまでに迷ったからキャンプに飛んで近くに扉があったんだ。それが次の街だと思って入ったら最初の街だった…これって怪談にならないかな   (2022/12/4 23:19:59)

小春六花> ならない……っすね……ちゃんと地図見てみよ…？   (2022/12/4 23:21:33)

アリアル> そんな…で、でも地図が回って…いやこまめに開いた方がいいのはそうなのだが…   (2022/12/4 23:23:49)

小春六花> いやぁ、フラッグ立てれるじゃん……   (2022/12/4 23:27:34)

アリアル> その機能に気が付いたのは…街に付いた時だった…   (2022/12/4 23:29:02)

小春六花> 気づけてよかった……   (2022/12/4 23:29:51)

アリアル> ボクの遭難日記はここから始まる…(フラッグを膝の上に置く)   (2022/12/4 23:32:17)

小春六花> おかしいフラッグおいたのに…（？）   (2022/12/4 23:36:47)

アリアル> この時はまだ気が付いていなかった…地図だけでは高低差や川の地形に対応できないことに…(フラッグひらひら)   (2022/12/4 23:39:27)

小春六花> ぽ、ぽんこつだーーーーーーーー！！！！   (2022/12/4 23:44:11)

アリアル> …ぐ、ぅぅ。ま、まあ…バトルに勝てばそれが正義さ(突然の脳筋)   (2022/12/4 23:47:30)

小春六花> 勝てる（？　今の戦力の比嘉で。   (2022/12/4 23:48:10)

アリアル> すぅ…(戦力がアチゲータとパモットの2匹)地面が来なければ…(指をつんつんと)   (2022/12/4 23:49:45)

小春六花> すぅ……（キノガッサとミミッキュ）   (2022/12/4 23:51:16)

アリアル> 殿堂前のボクに容赦が無い…！   (2022/12/4 23:51:55)

小春六花> ネタバレに配慮してる有能さを褒めてほしいなぁ！   (2022/12/4 23:53:20)

アリアル> 眠らせていやらしいこと(剣舞)する気だろう…!   (2022/12/4 23:54:44)

小春六花> 地団駄踏むだけだよぉ……（アルカイックスマイル）   (2022/12/4 23:56:03)

アリアル> 地面を踏むだけで死んでいく…！く、古風な表情を…！   (2022/12/4 23:58:02)

小春六花> 古風なのかな…、古風なのかも……   (2022/12/5 00:05:55)

アリアル> 古典…？…顔の良い…(素早さ下降)   (2022/12/5 00:08:14)

小春六花> 遅くなればよく眠れるね♡   (2022/12/5 00:12:11)

アリアル> むしろ地面に張り付けられているかのようなのだが…！(寝転がった姿勢で)   (2022/12/5 00:14:49)

小春六花> 地面は友達、敵じゃない（ヒカセン）   (2022/12/5 00:17:04)

アリアル> 跳ばねば死ぬぞ…納品の舞を…！(テッキュウ)   (2022/12/5 00:18:28)

小春六花> ドコカナー、ワカンナイナー   (2022/12/5 00:20:25)

アリアル> ボクの旅はここまでだ…(目を覆って視界が真っ暗に)   (2022/12/5 00:23:06)

小春六花> 寝よっか……   (2022/12/5 00:40:34)

アリアル> だね…お休み、小春君…   (2022/12/5 00:41:22)

小春六花> おやすみー、またあそぼーねー！   (2022/12/5 00:41:33)

おしらせ> 小春六花さんが退室しました。  (2022/12/5 00:41:35)

アリアル> ふふ…うむ。ではまたね   (2022/12/5 00:42:26)

おしらせ> アリアルさんが退室しました。  (2022/12/5 00:42:30)

おしらせ> 小春六花さんが入室しました♪  (2022/12/5 18:48:44)

小春六花> おしごとおわりーーー！！！（とったかたー。え、今日は御部屋の設定自由にいじっていいんですか！？やったー！って本棚からカタログとってはそふぁーにだーいぶっ   (2022/12/5 18:49:55)

小春六花> 冬場の温かい家とか、ハウジングとか憧れるものは無限にあるよね。例えば暖炉とか。暖炉にあのゆらゆらする椅子とか！（安楽椅子）和風ならどうせなら囲炉裏とかある庭園感ほしいよねー。（うんうん   (2022/12/5 18:54:13)

小春六花> 庭園じゃないよ！こう、荘！って感じの！   (2022/12/5 18:55:39)

小春六花> まぁでもくりすます近いし気分はだいぶ洋風かなぁ（やっぱり暖炉欲しいし……って、一人でも火いじりは楽しそうだし……なんて、遠い目半分）   (2022/12/5 19:32:51)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/12/5 19:58:13)

おしらせ> 小春六花さんが入室しました♪  (2022/12/5 21:29:10)

小春六花> あー…改装依頼出して落ちてた……んぐぐ……（思いっきりぐいーと伸びながら背中ボッキボッキ   (2022/12/5 21:29:42)

小春六花> 気づけば上の階はすっかり盛況じゃーん？（と首を回しつつ。こっちには誰か来るんかねぇ……ってできたて暖炉に向き直りーの。   (2022/12/5 21:33:43)

小春六花> まき……？固形燃料……？ダクト……はある。燃やすためのねんりょうはー…これかぁ…（ふんふんって取説読みながら使い方を調べつつ。   (2022/12/5 21:46:00)

小春六花> ……お、火がついた火がついた！おー……おーー……（げんだいにほんでめったにみれない生ファイアに感動もひとしおーってなりながら。しばらく暖炉の前にヤンキーみたいに座っていたり？）   (2022/12/5 21:54:12)

小春六花> っとと…準備はすすめないとだ！（なんて、向こうにあった安楽椅子を引きずれば、運動してあっつい！とパーカー脱いで。　あとはこの辺って延長コードとサイドテーブル。大きな荷物はこんなとこかー？ってあたりを見回したり）   (2022/12/5
22:10:18)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/12/5 23:15:04)

おしらせ> 小春六花さんが入室しました♪  (2022/12/6 01:22:01)

小春六花> のそのそ……明日がなまじ早いせいで寝坊が怖くてうまく寝れない……ぐぅ   (2022/12/6 01:22:27)

小春六花> 上のは激しそうだしさっき用意した暖炉セットでほどよーくまったり…、   (2022/12/6 01:22:57)

小春六花> まぁ……いいか。のんびりしてよっと。（なんて安楽椅子に体を沈めて上の仄かな喧騒と、パチパチと弾ける暖炉の音に身を委ねるように……   (2022/12/6 01:25:47)

おしらせ> フィーさんが入室しました♪  (2022/12/6 01:28:12)

フィー> こんばんはです。（ふあぁ、とあくびして。あっちは人がいっぱいいますね、とのそのそ）   (2022/12/6 01:28:49)

小春六花> あ、最近ツイ垢乗っ取られた人。（いらっしゃーいって手を軽く振りながら安楽椅子をゆーらゆら   (2022/12/6 01:29:28)

フィー> むぅ、そうなんですよね…ツイ廃のくせにツイ垢乗っ取られてふがいないです。（ソファに腰掛け   (2022/12/6 01:30:59)

小春六花> まぁまぁ笑わせてもらいました。（とりあえずメロンパンはぼっしゅーとって私の胃袋にとびこんでいくぅ）   (2022/12/6 01:32:47)

フィー> …六花さんのヨーグルト全部食べますよ？（威嚇   (2022/12/6 01:38:55)

小春六花> 人間よりも省エネとか言ってたアンドロイドに私のヨーグルトすべて食べられるんですか？（今日は12/「6」）   (2022/12/6 01:40:11)

フィー> 省エネだからって別に小食とは限らないんですからね？（がるる   (2022/12/6 01:44:35)

小春六花> つまり大食らいってことでコスパ悪いですね！（メロンパンざふ）   (2022/12/6 01:45:47)

フィー> これだから矮小な人間は。食いだめって言葉を知らないんですか？（いきりフィーちゃん）   (2022/12/6 01:48:16)

