/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年07月14日 12時57分 ～ 2023年07月17日 00時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

銀狼> オッケー、ピロートークとか、お酒でセイカの心が緩んだ時ね。（らーさ。楽しそうに敬礼しつつ）―――さ、て、と。人と逢う事もできたし、まったりダベる事も出来たし。…私はそろそろお昼ご飯にしようかな。…おなかすいた。（あと土日の仕事に備えて買い物とかもしてこなきゃ。…雨、降ってこないといいなーって、ちらっと窓の外見やりつつ）
  (2023/7/14 12:57:25)

銀狼> こわっ（びくっ！８本！それもう触手では…！？）   (2023/7/14 12:58:26)
京町セイカ> 六花ちゃんもバンド勢だし承認欲求はまぁ大事だものね…   (2023/7/14 15:18:52)

小春六花> 立ち絵の話なので別にバンドは関係ないかな…？   (2023/7/14 15:27:20)

高垣楓 ◆> 私はバンドは関係ないですから……？　お酒が飲めれば幸せです   (2023/7/14 15:28:25)

京町セイカ> というか楓さんこそ宣伝というかそういうのは必要なのでは…？   (2023/7/14 15:29:27)

京町セイカ> さて、いい時間だし私は一度落ちるわねー   (2023/7/14 15:29:45)

高垣楓 ◆> お疲れ様です。宣伝は真面目なお仕事ですから……して普通のことなので特別には？   (2023/7/14 15:30:30)

小春六花> はーい、おむおつー。   (2023/7/14 15:31:33)

高垣楓 ◆> おむつ……ですか？   (2023/7/14 15:31:45)

小春六花> 誤字ですね……   (2023/7/14 15:32:19)

京町セイカ> じゃあ2人ともお話ありがとうー！またねー   (2023/7/14 15:34:07)

おしらせ> 京町セイカさんが退室しました。  (2023/7/14 15:34:09)

高垣楓 ◆> 六花さんも遊ぶようになれば…みなさんがすごい事に………   (2023/7/14 15:39:49)

小春六花> へ？私は一時期もうそれは毎日のように遊んでたタイプですよ（？）   (2023/7/14 15:45:29)

小春六花> 遊び終わった長老さんよ。   (2023/7/14 15:46:01)

高垣楓 ◆> …では、白いかつらをかぶっておひげを付けて　ふぉっふぉっふぉっと   (2023/7/14 15:47:45)

小春六花> おじいちゃんしかなれないの！？   (2023/7/14 15:53:07)

高垣楓 ◆> 長老さんですから……昔語りを……？   (2023/7/14 16:01:00)

小春六花> おばあちゃんの可能性は…？   (2023/7/14 16:01:45)

高垣楓 ◆> 長老と言うよりおばばみたいな感じで置物になってそうです……   (2023/7/14 16:02:59)

小春六花> おだんごがきゅーとなおばば……   (2023/7/14 16:05:19)

高垣楓 ◆> 時々若返って全盛期に…でしょうか   (2023/7/14 16:07:09)

小春六花> そんな、漫画のキャラじゃないんですからー。もー。   (2023/7/14 16:09:17)

高垣楓 ◆> 長老さんですから……若く復活しましょう   (2023/7/14 16:12:12)

小春六花> あれじゃん、ラスボスが出てくるときとかじゃん…   (2023/7/14 16:18:50)

高垣楓 ◆> 私の本当の姿を見せましょう……と？   (2023/7/14 16:20:23)

小春六花> だいたいそんな感じ。後光とかさすよ（？）   (2023/7/14 16:24:27)

高垣楓 ◆> ではキラキラに負けて溶けてしまう人が出てきますね。さて、天気が不安なのでそろそろお買い物に   (2023/7/14 16:29:55)

小春六花> あ、はーい。おつかれさまー。   (2023/7/14 16:31:13)

高垣楓 ◆> はい、では失礼します（ぺこり   (2023/7/14 16:31:26)

小春六花> 避妊薬は忘れずに買ってくるのよー。   (2023/7/14 16:31:38)

おしらせ> 高垣楓 ◆346.Rf.llEさんが退室しました。  (2023/7/14 16:31:41)

おしらせ> 小春六花さんが退室しました。  (2023/7/14 16:31:47)

おしらせ> 桜衣乃さんが入室しました♪  (2023/7/14 19:03:57)

桜衣乃> 今夜は海にしましょう！　ナイトビーチです！   (2023/7/14 19:04:27)

桜衣乃> （色んな色のライトが一斉にぺかーっと立ち上り、夕焼けの浜辺と果てしない海が広がります！）   (2023/7/14 19:05:36)

桜衣乃> というわけで、こんばんは♪　仕事終わりの桜衣乃です♪　こんな時間からお肌を焼いたり泳いだりするわけではありませんが、しおさいのテラスで優雅な夜というのはいかがでしょうか♪　あ、こんな時間なので、オシャレに桃色ビキニですが♡   (2023/7/14
19:07:41)

桜衣乃> と、思ったんですけどね、なんか電池が10%しか無くって、充電器があるのにケーブルがないんです！ヤバいですね！   (2023/7/14 19:12:39)

桜衣乃> なのでつづきはおうちに帰ってからですね、とほほ……   (2023/7/14 19:13:50)

おしらせ> 桜衣乃さんが退室しました。  (2023/7/14 19:13:54)

おしらせ> 桜衣乃さんが入室しました♪  (2023/7/14 20:32:29)

桜衣乃> 金曜日の夜ですからね、今頃みなさんゴールデンタイムをお過ごしのことでしょう…♪お疲れ様です〜   (2023/7/14 20:33:08)

桜衣乃> というわけでですね、下の待機ロルで今夜は過ごそうと思います♪　誰かいらっしゃるでしょうか……♪   (2023/7/14 20:33:36)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが入室しました♪  (2023/7/14 20:36:29)

後藤ひとり ◆> 私で良いのなら……(もぞもぞ……お昼にあげた水着姿で……)   (2023/7/14 20:36:48)

桜衣乃> あっ♪ひとりちゃんこんばんは〜♪　うんうん、その水着姿のひとりちゃんもかわいいです〜♡   (2023/7/14 20:38:43)

おしらせ> クエットさんが入室しました♪  (2023/7/14 20:41:02)

後藤ひとり ◆> ありがとうございます……これしかないので……   (2023/7/14 20:41:12)

クエット> ふぁー……こんばんはなのです、なんだかお部屋がビーチっぽく…？（きょろきょろ）ってことでクエットも今日は水着！なのです！   (2023/7/14 20:42:15)

後藤ひとり ◆> こ、こんばんは…   (2023/7/14 20:42:41)

桜衣乃> え〜、そうなんですか〜……いろいろ替えがあったほうが楽しいですよ！ひとりちゃんも今度一緒に水着を選びに行きましょうね〜♡   (2023/7/14 20:42:52)

桜衣乃> あ、クエットちゃんこんばんは〜♡今日はナイトビーチですよ！テラスで優雅な夜を過ごしましょう♪（桃色ビキニでトロピカルジュースちゅるる……♡）   (2023/7/14 20:43:38)

クエット> https://pbs.twimg.com/media/F0--JtUagAEzAcD?format=jpg&name=medium
[/JumpUrl2/?url=https%3A%2F%2Fpbs.twimg.com%2Fmedia%2FF0--JtUagAEzAcD%3Fformat%3Djpg%26name%3Dmedium]   (2023/7/14 20:43:47)

後藤ひとり ◆> えぇ……そんなお金ないし……何より需要ないです………(ぐにゃぐにゃ)   (2023/7/14 20:43:58)

桜衣乃> まぁかわいい♡   (2023/7/14 20:44:10)

クエット> ふふふ、なんとですね……クエット、公式で水着をもらえたのです…！今日実装ということで、クエットもお迎えをしたのです…！（ふたりによく見えるようにくるくるーっと回ってみて）   (2023/7/14 20:44:46)

後藤ひとり ◆> 割と大胆……私はアニメでは水着……一応ありましたね……   (2023/7/14 20:45:58)

桜衣乃> ありますよ〜！ひとりちゃん、ビキニで検索したらあら不思議！マイクロビキニの絵しか出てこな……   (2023/7/14 20:46:09)

後藤ひとり ◆> ええ！る   (2023/7/14 20:46:32)

後藤ひとり ◆> ええ！？   (2023/7/14 20:46:34)

クエット> やっぱりひとりお姉さんのおっぱいが暴力的だから、なのです……？   (2023/7/14 20:47:18)

後藤ひとり ◆> 暴力的とは！？これより大きい人たくさんいますよ…   (2023/7/14 20:47:56)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/7/14 20:48:00)

桜衣乃> クエットちゃんは新衣装ですか！おめでとうございます〜♡　ところでこのフリルの下の紐どうなってるんですか？やっぱり紐なんですか？♡   (2023/7/14 20:48:04)

朝倉可憐> こんばんは、随分ともりあがってる？（ひょこ   (2023/7/14 20:48:45)

後藤ひとり ◆> こんばんは…   (2023/7/14 20:49:07)

桜衣乃> あっ、可憐ちゃんこんばんは〜♪今夜はナイトビーチですよ！夜のテラスを水着で優雅に過ごしませんか♡   (2023/7/14 20:49:45)

クエット> えへへ、昨日の時点で情報は掴んでたのですけど、今日実装の方が見せやすいかな～って思ったので…！ひもは……どうなってるのでしょうね、これ？意外と際どそうな気が…！   (2023/7/14 20:49:57)

朝倉可憐> まだ水着実装されてないのよね…。来週あたり、今年の水着が出るのかしら…。（てをふりふり。夏パーカーには着替えといたり）   (2023/7/14 20:50:31)

クエット> 可憐お姉さんもこんばんはなのですっ！盛り上がってると言えば盛り上がってるのです、主に衣乃お姉さんが…   (2023/7/14 20:50:46)

桜衣乃> ではクエットちゃんの妄想のままに……南無三！（フワーッ！とクエットちゃんのフリルめくり……）   (2023/7/14 20:51:03)

後藤ひとり ◆> 容赦ない……！   (2023/7/14 20:51:41)

桜衣乃> 水着がない方はクロゼットからいろ〜んな水着を持ってきましたから、好きなの選んで着替えてください♡　あ、ひとりちゃんもお金がなくてもレンタルで着せ替えできるんですからね♡（ずら〜っと、選びきれないほどのあらゆる水着が各種サイズも一緒に並んでいます…）
  (2023/7/14 20:53:26)

クエット> はわ、何をめくってるのです…！（にゃー！とフリルを抑えようとしたけど衣乃お姉さんのほうが一手早かった…！スリングショットに似た感じで腰の紐につながってたり…？）   (2023/7/14 20:53:28)

後藤ひとり ◆> ビーチにクローゼット！？……水着ですか…最近はスク水がすきになりましたね……(うんうん)   (2023/7/14 20:54:10)

クエット> いやあ、水着をもらうといいですよね、クリスマスとか正月に比べればワンシーズン着こなせるので……！   (2023/7/14 20:54:50)

桜衣乃> ……クエットちゃんはV系でしたか♡　こんなえっちな水着を着ておいて、見られて恥ずかしがるんじゃありません♡（くいくい、と紐を上に引っ張って食い込ませちゃいます…♡）   (2023/7/14 20:54:56)

クエット> んもー……衣乃お姉さん、クエットのかわいい水着姿を見てもらいたかっただけなのですけどー……んにゃ…ぁ…♡（じとー、って衣乃お姉さん見つめるけど、食い込んじゃうと、声が…♡）   (2023/7/14 20:56:46)

朝倉可憐> うん、お着替え完了、と。   (2023/7/14 20:59:30)

桜衣乃> ええ、ええ♡新衣装もいいですが……（お部屋でもらった水着は着ないんですか……♡と、耳元ぼそり♡）　…ふふ、みなさんで水着のファッションショーみたいなことでもしてみたいですね♪　水着姿でアピールして…♪得点争いというよりは、見て楽しむやつで♡  
(2023/7/14 21:01:25)

後藤ひとり ◆> 得点は余裕で最下位です……   (2023/7/14 21:01:53)

クエット> （あれは……！どう考えても着るものではない、はず……ぼそぼそ）ひとりお姉さんは胸張って歩きさえすれば高評価狙えるのでは……   (2023/7/14 21:03:57)

桜衣乃> おや、可憐ちゃんは……ふむ〜♪　猫さんパーカーですね〜♡とっても似合ってますが、肌の露出が少ないですね……。   (2023/7/14 21:04:37)

後藤ひとり ◆> えぇ……むむむむりですぅ……   (2023/7/14 21:04:44)

クエット> ……前から思ってたのですけど、可憐お姉さんの猫しっぽはどうやって自立してるのです…？中に芯が入ってるのでしょうか…   (2023/7/14 21:05:44)

朝倉可憐> なんだろう……こう……勝手に動く感じ…？（うーん）   (2023/7/14 21:06:30)

桜衣乃> そうですよ〜、ひとりちゃんはせっかく私より大きいおっぱいしてるんですから、ちょっと頑張ってみましょうよ♡　素材は私より脚も細いし、かわいいんですから……♡   (2023/7/14 21:06:41)

桜衣乃> ちなみにネズミ荘には小学生の社長にお願いしてウネウネ動く尻尾を作ってもらったのがあるんですよ！　……おしりに挿して固定するタイプの……♡（だと思いますが実際はどうか不明…！）   (2023/7/14 21:07:44)

クエット> ど、どうなってるのです……衣乃お姉さんの言う通り、お尻に挿して動くタイプだったら…！？まあ……人格変わると形すら変わってるようなので謎は謎のままにしておくのです…   (2023/7/14 21:08:48)

後藤ひとり ◆> ありがとうごさいます……////ただ可愛さなら喜多ちゃんや虹夏ちゃんの方がありますね   (2023/7/14 21:09:57)

クエット> つまり、ひとりお姉さんのおっぱい鑑賞会……？   (2023/7/14 21:10:05)

後藤ひとり ◆> 変な会作らないでくださいね！？   (2023/7/14 21:11:17)

朝倉可憐> フードも耳の部分上がるし、ね。（深く考えないほうがいいよね。ってうんうん）   (2023/7/14 21:11:54)

桜衣乃> ずぶっとイってたので挿すタイプだと思うんですよねぇ……使ったのがはゆちゃんとへもちゃんなのでどんな感触か私は知らないんですけど。　今度みなさんでしっぽ生やしましょうか♡　……もちろん動く方で……♡   (2023/7/14 21:12:07)

後藤ひとり ◆> 巻き込まれた……   (2023/7/14 21:13:28)

朝倉可憐> 今度も何もいつも生やしてるのよね……動くやつ。（ぴょこぴょこ）   (2023/7/14 21:13:28)

クエット> クエットはすでにしっぽが生えてるのですけど……増やしたらクエット、猫又になっちゃうのです？   (2023/7/14 21:14:05)

クエット> ひとりお姉さんの巻き込まれ率はすごいのです。でも大抵衣乃お姉さんがいることによって巻き込まれてるので、もはやお約束レベルなのです（うんうん）   (2023/7/14 21:15:50)

後藤ひとり ◆> ひぃ………このままメンダコになって海に逃げるしか……   (2023/7/14 21:16:23)

桜衣乃> メンダコ…………あっ、そういえば   (2023/7/14 21:18:14)

クエット> メンダコになって触手えっち！？   (2023/7/14 21:18:24)

後藤ひとり ◆> 変身するだけですよ！？   (2023/7/14 21:18:50)

桜衣乃> 私が遊んでるやつでも、先月末からメンダコちゃんが実装（コラボですが）されたんですよね…♪少し褐色肌で、ふよふよ空を飛んでてかわいいんですよね……♡   (2023/7/14 21:20:49)

クエット> ひとりお姉さんは体を変化させられるというポテンシャルがあるのですから、有効活用すればいいと思うのです（ふんす）   (2023/7/14 21:21:41)

後藤ひとり ◆> 変幻自在という訳ではないですけどね……ツチノコとメンダコとドロドロだけ…   (2023/7/14 21:22:18)

桜衣乃> これで私もメンダココスプレすれば、メンダコひとりちゃんとメンダコ六花ちゃんとお揃いができますね♡   (2023/7/14 21:22:28)

クエット> わぉ、衣乃お姉さんがメンダコになっちゃったらどろどろのぬるぬるプレイしてそうなのです   (2023/7/14 21:23:41)

朝倉可憐> クエットさんが大変な目に   (2023/7/14 21:23:57)

桜衣乃> ちなみにメンダコはどろどろでもぬるぬるでも思ったより触手でもないので……クエットちゃんの思うような遊び方はできません、ざんねん〜   (2023/7/14 21:24:58)

クエット> えー、そうなのです？残念というわけではないですけど、イメージが崩れる瞬間は……んむむ、まあ触手プレイされたいわけではないのでいいのです   (2023/7/14 21:26:02)

後藤ひとり ◆> らしいです…   (2023/7/14 21:27:12)

桜衣乃> 代わりにヒトの私がぬるぬるにしてあげますからね……♡お部屋いつでも行きましょうね……♡（むしろねっとり…♡）   (2023/7/14 21:27:49)

クエット> たしかに、衣乃お姉さんは人のほうがぬるぬるに長けていそうというか……お部屋はまた気分あるときにでも（ねむい。）   (2023/7/14 21:29:39)

桜衣乃> あん、残念♡　今週もお疲れ様でした、クエットちゃん♪（なでなで〜♡）   (2023/7/14 21:30:16)

桜衣乃> ひとりちゃんと可憐ちゃんはいかがですか？　お疲れじゃありませんか？   (2023/7/14 21:30:43)

朝倉可憐> 私はいつも通り。   (2023/7/14 21:31:01)

後藤ひとり ◆> 私は疲れてますね……あと風邪気味で……   (2023/7/14 21:31:01)

クエット> えへ、衣乃お姉さんこそ……♪みんな生きててえらいくらい言ってもいいのです…！   (2023/7/14 21:31:03)

桜衣乃> あら……調子の悪い人も多いですね。今なんてとても暑いですから、みなさんお気をつけて……   (2023/7/14 21:32:22)

後藤ひとり ◆> まあぼちぼち頑張ります……   (2023/7/14 21:32:49)

桜衣乃> 可憐ちゃんのいつも通りは……元気と受け取っていいのでしょうか……？変わらないこともいいことですよね。   (2023/7/14 21:32:56)

クエット> まだまだ夏はこれからなのです…！でも年々着実に暑くなってきてるのです……   (2023/7/14 21:33:40)

クエット> さて、クエットの水着のお披露目も済んだことですし…クエットはここで失礼するのです。よい連休を～…おやすみなさいなのです   (2023/7/14 21:36:56)

朝倉可憐> そうね、だいたい元気。   (2023/7/14 21:37:21)

おしらせ> クエットさんが退室しました。  (2023/7/14 21:37:32)

後藤ひとり ◆> お疲れ様です   (2023/7/14 21:38:20)

桜衣乃> は〜い、お疲れ様でした♪ゆっくり休んでくださいね〜♪   (2023/7/14 21:38:52)

桜衣乃> 元気で何よりです…♪　とはいえ週の終わりで疲れはあるでしょうから、ちゃんと休んでくださいね♪　私もちょっと今夜はこの辺にしておきましょうかね……？   (2023/7/14 21:42:45)

後藤ひとり ◆> 早いですね……お疲れ様です私も落ちようかな   (2023/7/14 21:43:27)

朝倉可憐> ん、みんな無理はしないでね？   (2023/7/14 21:44:04)

桜衣乃> 明日ちょっとお客さんが来るということで、片付けしておかないといけないんですよ……。おかげでおやすみの間百合部屋にいられるかも心配ですが……   (2023/7/14 21:46:47)

桜衣乃> それでは、みなさんもよい連休を…♪おやすみなさいませ♡   (2023/7/14 21:47:10)

おしらせ> 桜衣乃さんが退室しました。  (2023/7/14 21:47:15)

後藤ひとり ◆> お疲れ様です…私も少し休みますね   (2023/7/14 21:48:36)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが退室しました。  (2023/7/14 21:48:38)

朝倉可憐> お疲れさまでした。   (2023/7/14 21:50:33)

おしらせ> 朝倉可憐さんが退室しました。  (2023/7/14 21:54:59)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/7/14 22:10:01)

朝倉可憐> あ、間違えて戻ってきちゃった…   (2023/7/14 22:10:12)

朝倉可憐> タマさんはいつでもタマさんね…（うんうん   (2023/7/14 22:41:41)

おしらせ> 無言時間が25分を超えたため、朝倉可憐さんが自動退室しました。  (2023/7/14 23:08:24)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/7/15 02:02:12)

桜花あさひ ◆> こんばんはだぁ……♪   (2023/7/15 02:02:18)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが入室しました♪  (2023/7/15 02:08:17)

後藤ひとり ◆> こ、こんばんは……   (2023/7/15 02:08:22)

後藤ひとり ◆> 寝ましたねこれ……(布団をかけて)   (2023/7/15 02:15:29)

桜花あさひ ◆> んぁぅ……ひとり姉ちゃん〜…！(むく)   (2023/7/15 02:19:11)

後藤ひとり ◆> わっ！？起きてた……(びく)   (2023/7/15 02:19:38)

桜花あさひ ◆> えへへ、起きてるぞ〜…♪(ごろん)   (2023/7/15 02:20:57)

後藤ひとり ◆> 良かったです……私も訳ありで少し起きてましたね……   (2023/7/15 02:21:47)

桜花あさひ ◆> そっかぁ…♪ふふ、来てくれて嬉しいぞぉ♪(起き上がってむぎゅーっ)   (2023/7/15 02:23:33)

後藤ひとり ◆> 昨日は気づけなかったので寂しかったです……♪(むぎゅ)   (2023/7/15 02:24:53)

桜花あさひ ◆> う〜……あさひもちょっと離れてた時だったから気づかなかったぞ〜……(すりすり)ふふ、ひとり姉ちゃん〜♪   (2023/7/15 02:27:36)

後藤ひとり ◆> まあまあ夜遅いからそういうこともありますよ……♪(なでなで)どうしました？……♪   (2023/7/15 02:28:50)

桜花あさひ ◆> せっかく来てくれてたのにな〜…(むむぅ)えへへ、呼んでみただけだぞ〜♪   (2023/7/15 02:31:20)

後藤ひとり ◆> 私もあの後直ぐに寝てしましいましたので……(つんつん)久しぶりのあさひちゃんですね…♪   (2023/7/15 02:32:03)

桜花あさひ ◆> そっかぁ……んむ、遅い時間だったしな〜……？……ふふふ♪久しぶりのひとり姉ちゃん〜♪はぐはぐ〜♪(ぎゅぅ)久しぶりにちゅーしてあげるぞ〜♪(ふにゅふにゅ、ほっぺたにキスして)   (2023/7/15 02:37:03)

後藤ひとり ◆> 眠気には叶いません……♪会えてよかったですよ……♪元気してました？♪(抱きしめながらにヘラ)あうっ……///では私も……///(こちらも頬にキスをしつつ顔を赤く)   (2023/7/15 02:39:05)

桜花あさひ ◆> もちろんげんき！……って言いたいけど〜、雨ばっかりであんまりだぞ〜…じめじめだぁ…(しょぼん)ん〜……♪ふふ……えへへっ♪ありがとなぁ〜♪(むぎゅぅぅ)   (2023/7/15 02:42:35)

後藤ひとり ◆> なるほど……梅雨ですものね……私もくせ毛なので毛が……(もさもさ)やっぱり少し恥ずかしいですね……///(てれてれ)   (2023/7/15 02:46:20)

桜花あさひ ◆> 外で遊べなかったりするから晴れてる方が好きだぞ〜……毎日晴れならいいのにな〜っ(すりすり)あ、ひとり姉ちゃん赤くなってるぞ〜♪(なでなでほっぺたを撫でて)   (2023/7/15 02:49:18)

後藤ひとり ◆> 私は外に出る時以外は関係ないけど……出る時に雨なのは困りますよね……(むぎゅむぎゅ)あ、いえ照れてしまって……///(頬に暖かい感触が……)   (2023/7/15 02:50:31)

