/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月23日 02時29分 ～ 2022年12月23日 22時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レム> 向かいますね、クレーちゃん♪   (2022/12/23 02:29:37)
桜衣乃> え？ほら、ずん子さん表でセクハラ好きじゃないですか？だから公開のときはヤりたい放題ですよ♪   (2022/12/23 07:58:04)

おしらせ> 山田リョウさんが入室しました♪  (2022/12/23 07:58:07)

伊地知虹夏> あ、リョウだ。おはよー。   (2022/12/23 07:58:18)

桜衣乃> あ、お部屋埋まった……　おはようございます♪   (2022/12/23 07:58:37)

後藤ひとり> あ、リョウさん…   (2022/12/23 07:59:00)

山田リョウ> ぼっち死んじゃった。虹夏、ちゃんと弔ってあげて。…おはよ。（数珠片手）   (2022/12/23 07:59:29)

森久保乃々> また初めましての方ですね…おはようございます   (2022/12/23 07:59:34)

後藤ひとり> い、生きてます……   (2022/12/23 08:00:17)

伊地知虹夏> 生きてる！まだぎりぎり生きてるよお！   (2022/12/23 08:00:37)

山田リョウ> 生きてた。……生命保険…。（ぼそり、最低。）   (2022/12/23 08:01:53)

後藤ひとり> 何とか耐えました……仮に来てもリョウさんは貰えませんよ！？   (2022/12/23 08:02:18)

桜衣乃> おやおや、ひとりちゃんのお友達の方でしたか…♪はじめまして、すみっこ系アイドルの桜衣乃です♪（ちょこんね   (2022/12/23 08:03:04)

桜衣乃> （ちょこん）   (2022/12/23 08:03:09)

伊地知虹夏> そんな顔してたもんね……。リョウ、流石に保険金は遺族のものだよ。   (2022/12/23 08:03:26)

桜衣乃> …お気軽にイノと呼んでくださいね……♪   (2022/12/23 08:03:28)

東北ずん子> なるほどそういう？　あさからにぎやかでいいことですねぇ。こんばんはぁ   (2022/12/23 08:03:28)

東北ずん子> (とりあえず衣乃のほっぺつんつん   (2022/12/23 08:03:40)

伊地知虹夏> なんか急にすみっこくらしはじめてるし…   (2022/12/23 08:03:48)

桜衣乃> いえ、ひとりちゃん達がお友達とお話したそうだったら、私上に行こうかなと……   (2022/12/23 08:04:44)

山田リョウ> 貰えないなら、今月も残りは草を食べるしかないね。……学校の傍に、良い雰囲気のお店出来たんだけどな。（食べられる雑草もしゃもしゃ）   (2022/12/23 08:04:47)

山田リョウ> ……私は、ぼっちを家族のように思ってるんだけど。（遺族面）   (2022/12/23 08:05:08)

森久保乃々> 本当にすみっこ系アイドルなんでしょうかね…   (2022/12/23 08:05:12)

後藤ひとり> いい事のように言わないでください！？   (2022/12/23 08:05:31)

東北ずん子> あ、じゃあ衣乃さんいっしょにいきますー？(ひょいこ   (2022/12/23 08:05:38)

桜衣乃> 乃々ちゃんも一緒にどうですか〜？（手繋ぎ   (2022/12/23 08:05:55)

森久保乃々> はいぃ…（ぎゅ）また4人揃うところ、見られたらいいですね…♪   (2022/12/23 08:06:35)

後藤ひとり> お、お気を遣わせてすいません……   (2022/12/23 08:06:45)

伊地知虹夏> 第二の家族のようには思ってるけど！そうじゃない！お金で繋がれた家族は辛いんじゃないかなあ！   (2022/12/23 08:07:04)

桜衣乃> というわけで……ぼざろバンドメンバーでお楽しみください…♡それでは…♪   (2022/12/23 08:07:11)

伊地知虹夏> 別に3人共気を使わなくていいんだよ！？   (2022/12/23 08:07:12)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/23 08:07:15)

後藤ひとり> セリフだけはいいんですけど理由が……   (2022/12/23 08:07:27)

東北ずん子> はーい、ではでは   (2022/12/23 08:07:31)

おしらせ> 東北ずん子さんが退室しました。  (2022/12/23 08:07:33)

伊地知虹夏> うわーんごめんね！   (2022/12/23 08:07:41)

森久保乃々> では…失礼します   (2022/12/23 08:07:59)

おしらせ> 森久保乃々さんが退室しました。  (2022/12/23 08:08:02)

後藤ひとり> 気を使わせてしまった……   (2022/12/23 08:08:05)

山田リョウ> この前読んだ雑誌に乗ってた。「金は命より重い・・・・！」って。だから、多分お金の繋がりは凄く強い絆なんだと思う。（無表情）   (2022/12/23 08:09:13)

後藤ひとり> 一方的にたかられただけですけどね……   (2022/12/23 08:09:55)

伊地知虹夏> 凄く強いけど結束ではないんだよリョウ。   (2022/12/23 08:11:21)

山田リョウ> 流石に冗談だよ、本気にしないで。（すん…。何考えてるか分からない顔。）   (2022/12/23 08:12:55)

後藤ひとり> お金を借りようとするのも冗談になるといいですが……   (2022/12/23 08:13:21)

山田リョウ> ……返してるから、お金は。（猫耳みょん）   (2022/12/23 08:13:42)

後藤ひとり> 普通のことをさもいい感じのように言わないでください……(あ、かわいい……)   (2022/12/23 08:14:53)

山田リョウ> 後輩にたかってるわけじゃないよ。（過去発言じぃぃ…）   (2022/12/23 08:14:55)

伊地知虹夏> ぼっちちゃん大丈夫？まだ借りてるお金あったりしない？必要なら土下座させて返させるよ？   (2022/12/23 08:15:22)

山田リョウ> ……ないよね、ぼっち。（猫耳ぴょこぴょこ）もしあったら、虹夏が立て替えるから。もう少し待って。   (2022/12/23 08:16:19)

後藤ひとり> い、今はないです……！多分………   (2022/12/23 08:16:27)

後藤ひとり> 擦り付けた！？   (2022/12/23 08:16:34)

山田リョウ> 虹夏、ほら。（ドヤ顔、ふんすーーーー。）   (2022/12/23 08:16:55)

伊地知虹夏> 多分じゃねーか！（べしぃ   (2022/12/23 08:17:31)

山田リョウ> 無いって、ぼっちはちゃんと覚えてるもんね。（自分の頭さすさす）   (2022/12/23 08:18:35)

後藤ひとり> 自分で自分の頭撫でてる……   (2022/12/23 08:19:26)

伊地知虹夏> ないならいいけど、これからも借りちゃだめだよ？（じとー   (2022/12/23 08:20:49)

山田リョウ> 2人が褒めてくれないから。もっと褒めて良いよ、ほら。（まがお。）   (2022/12/23 08:20:59)

後藤ひとり> え、えらいえらい……   (2022/12/23 08:21:28)

山田リョウ> ……、………。　仕方ない時はあるよね。（ふいー）   (2022/12/23 08:21:54)

伊地知虹夏> 褒めるようなことをしてから言ってくれないかなあ！   (2022/12/23 08:22:45)

山田リョウ> ぼっちちゃんも生きてて偉い。……だから、今日の昼食代貸して？（だめだめベーシスト）   (2022/12/23 08:22:50)

伊地知虹夏> （無言の腹パン）   (2022/12/23 08:23:08)

山田リョウ> （ぐはー、ぐはー、ぐはー）   (2022/12/23 08:23:26)

後藤ひとり> パ、パンくらいなら……   (2022/12/23 08:23:47)

後藤ひとり> ここでそういうことやるとなんなそういうプレイなのかと思われそうですね……   (2022/12/23 08:24:17)

山田リョウ> ……高校の傍に出来たお店は、イタリア料理店なんだけどな。（じー）   (2022/12/23 08:24:34)

伊地知虹夏> ぼっちちゃんは何も渡さなくていいし、もうちょっとピュアで居てほしかったなぁ！   (2022/12/23 08:24:38)

伊地知虹夏> 良かったねリョウその近くに野生のバジルも生えてるよ。   (2022/12/23 08:25:06)

後藤ひとり> それを奢るほどお金ないですけど…！ あ、すいません……今のはなしで   (2022/12/23 08:25:23)

山田リョウ> だってさ。虹夏、良くないよ。（濡れ衣を着せ中）   (2022/12/23 08:25:25)

伊地知虹夏> 何が！？   (2022/12/23 08:25:58)

山田リョウ> ……もう、1週間は野草食べてる。折角ならお店でバジルを食べたい。ソースに使われてるバジル。   (2022/12/23 08:26:10)

伊地知虹夏> 自分でそのへんの石ころで潰してペーストしたら？   (2022/12/23 08:26:46)

後藤ひとり> 健康とかヤバそう……   (2022/12/23 08:27:12)

山田リョウ> ランチなら、新曲を作る時に行った喫茶店のカレーと変わらない値段だよ。……どう？（物欲しそうなお顔）   (2022/12/23 08:27:20)

伊地知虹夏> 喫茶店のカレー結構高くない？   (2022/12/23 08:28:07)

後藤ひとり> えっと……その……(断りたいけど断れない………カバンの中から財布を探して)   (2022/12/23 08:28:12)

山田リョウ> ……そのバジルペーストをパスタに絡めてほしい。サラダと、スープも添えて。   (2022/12/23 08:28:13)

山田リョウ> ぼっち……。（輝く瞳）   (2022/12/23 08:28:34)

山田リョウ> ………。（払ってないから知らないって顔）   (2022/12/23 08:28:44)

後藤ひとり> わ、わたしの野口さんが……(プルプル財布開けて)   (2022/12/23 08:29:20)

伊地知虹夏> くぉらぁ！！！（リョウにいつものバックドロップ）   (2022/12/23 08:30:22)

山田リョウ> ……ぐすん。（後頭部強打）   (2022/12/23 08:30:49)

後藤ひとり> あっ……死んだ   (2022/12/23 08:30:59)

山田リョウ> …虹夏、料理上手だよね。（路線変更のおねだり開始。）   (2022/12/23 08:31:58)

伊地知虹夏> ぼっちちゃんも絶対に渡さない！（くわっ。野口さんは守られた）   (2022/12/23 08:32:44)

伊地知虹夏> 急に何、リョウ（じと   (2022/12/23 08:33:17)

山田リョウ> ……虹夏の手料理、食べたいな。（上目遣い）   (2022/12/23 08:34:14)

山田リョウ> ぼっちも食べたいって言ってる。だよね？（たんこぶさすり）   (2022/12/23 08:34:36)

伊地知虹夏> ん。（手を突き出す。材料費、よこせ）   (2022/12/23 08:35:00)

山田リョウ> ……わん。（お手。）   (2022/12/23 08:35:15)

後藤ひとり> え！？いや確かに食べてみささはあるけど……   (2022/12/23 08:35:26)

伊地知虹夏> ……（握りつぶす）   (2022/12/23 08:35:35)

山田リョウ> ぼっち。後で必ず返すから、二人分の材料費を…。（いたい。）   (2022/12/23 08:36:17)

伊地知虹夏> だーかーらー！タカらないの！！（潰したらベースひけなくなるからこのあたりで辞めるけど。   (2022/12/23 08:37:44)

後藤ひとり> (プルプル震えながら2枚の)   (2022/12/23 08:38:18)

伊地知虹夏> なんでぼっちちゃんはそんなに断れないの！？   (2022/12/23 08:38:35)

後藤ひとり> (野口さんを出し)   (2022/12/23 08:38:42)

後藤ひとり> 断れたら苦労しないです……   (2022/12/23 08:38:49)

山田リョウ> 虹夏の手、ドラムの練習頑張ってる手だった。……いつもありがとう。（感謝の言葉で落そうとしてるベーシスト）   (2022/12/23 08:39:24)

山田リョウ> …ぼっち、自炊は安く済むから野口は一人で大丈夫だと思う。（親指たてて、ぐーっ）   (2022/12/23 08:40:21)

伊地知虹夏> ぼっちちゃん……出さなくていいよ。（にこー。）リョウがちゃんと出すからね。（親御さんにTELLするからって）   (2022/12/23 08:41:41)

山田リョウ> ……虹夏ぁ。（うるうる目の真顔）   (2022/12/23 08:43:27)

伊地知虹夏> ん、なぁに？（にこ   (2022/12/23 08:45:15)

山田リョウ> いつも迷惑かけてごめんなさい。美味しいお店あるから、一緒に行こう。（ごめんなさいの顔）   (2022/12/23 08:47:16)

山田リョウ> ぼっち死んじゃった。（数珠）   (2022/12/23 08:47:31)

伊地知虹夏> リョウのおごりで行こうね（にこ）　あと死んでない、死んでないから。   (2022/12/23 08:48:52)

山田リョウ> お店に入れれば、…入れれば、どうしようもなくなるから。（強行作戦）   (2022/12/23 08:50:12)

山田リョウ> ぼっち死んでないの？（お線香着火）   (2022/12/23 08:52:54)

伊地知虹夏> ……絶対リョウとご飯いかないから。　多分……恐らく……   (2022/12/23 08:53:40)

おしらせ> 喜多 郁代さんが入室しました♪  (2022/12/23 08:54:28)

喜多 郁代> おはようございますっ…♪どうして皆さん朝からおそろいなんですか…！？   (2022/12/23 08:54:59)

伊地知虹夏> 喜多ちゃんおはよー！   (2022/12/23 08:54:59)

山田リョウ> ……私は虹夏と一緒に食べるお昼ご飯、楽しいんだけど。（しゅん）   (2022/12/23 08:55:12)

伊地知虹夏> わ、わかんないなぁ……？   (2022/12/23 08:55:14)

伊地知虹夏> 私もみんなで分け合えるご飯はは楽しいと思うなぁ。（しれ）   (2022/12/23 08:55:33)

山田リョウ> おはよう、郁代。……最近、美味しそうなイタリア料理店が出来たんだ。一緒に行こう。（最速）   (2022/12/23 08:56:05)

