/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 12時07分 ～ 2022年12月26日 19時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クルル ◆> （やりとりにっこにこでココア啜ってる）   (2022/12/26 12:07:23)
ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …うぅ…(ずーん…)   (2022/12/26 13:18:59)

後藤ひとり> あっそんなに落ち込まないで……(ずーん)   (2022/12/26 13:20:24)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/26 13:22:48)

秋山 澪> 邪魔していいか？　上で少しきつかったんでさ   (2022/12/26 13:23:21)

後藤ひとり> 上……上……(助けを求める目)   (2022/12/26 13:24:18)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ひぎゃっ…(サッとひとりさんの後ろに隠れて)   (2022/12/26 13:26:37)

秋山 澪> 駄目なら良いさ、私はぼっちちゃんに比べてなおネガなキャラだからな・・　嫌われるのも仕方がない   (2022/12/26 13:27:00)

秋山 澪> （なんか知らない娘にびびられた　流石にこれはだけだろう私・・・）   (2022/12/26 13:29:16)

後藤ひとり> 私はいいですけど……私もネガよりだし…………(私を盾に……！)   (2022/12/26 13:30:01)

秋山 澪> いいよ、ぼっちちゃんにも断れた　森久保さんにも……もうさ‥少だけ夢を持っても居良いと想った私が馬鹿だったよ……   (2022/12/26 13:32:32)

後藤ひとり> いいって言いましたよ！？   (2022/12/26 13:33:40)

秋山 澪> 断ったじゃん……   (2022/12/26 13:33:53)

後藤ひとり> ……？   (2022/12/26 13:36:18)

秋山 澪> 【いきなりじゃ駄目　もっと親密になって初めて云々』　とか……お断りの定番でしょ、それ」   (2022/12/26 13:37:10)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> 【ぁ…あの…あんまり…そういうのはぁ…】   (2022/12/26 13:37:55)

秋山 澪> なのは？   (2022/12/26 13:38:04)

秋山 澪> 他の娘達等はいきなりしてたのに？   (2022/12/26 13:39:07)

後藤ひとり> 【お言葉ですがそういうこと言うから余計に嫌われるんだと思いますよ………】   (2022/12/26 13:39:24)

秋山 澪> うん、解ってる   (2022/12/26 13:39:48)

後藤ひとり> 【これ以上はスレッタさんが気まずいので言いませんけど………】   (2022/12/26 13:40:36)

秋山 澪> 良いなよ？　   (2022/12/26 13:40:55)

後藤ひとり> 【ここはそういう場では無いので……】   (2022/12/26 13:41:14)

秋山 澪> そう云う場でしょ？　ここ   (2022/12/26 13:41:29)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> 【気まずいです…】   (2022/12/26 13:42:33)

後藤ひとり> 【スレッタさん………すいません】   (2022/12/26 13:43:39)

秋山 澪> 慣れ出るべくジャ？　明日だっていつでの入るんだし？　スレッタさんには申し訳ないけど   (2022/12/26 13:44:08)

秋山 澪> ぼっちちゃん、とっくに拒否してたのは事実だよね？　今更は兎も角   (2022/12/26 13:45:19)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> 【その…ぅ…秋山さんは…できるだけ原作に寄り添ったロルをしたい…ですか？】   (2022/12/26 13:45:30)

秋山 澪> あぁ、そのー   (2022/12/26 13:45:57)

後藤ひとり> だって……ずっと永遠にネガティブなことしか言わないので………   (2022/12/26 13:46:19)

秋山 澪> 変な同人誌読んで其れに影響されちゃって   (2022/12/26 13:46:37)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/26 13:46:53)

秋山 澪> で、行為して始めた以上もう今更じゃない？」   (2022/12/26 13:47:05)

桜衣乃> みなさんこんにちは〜♪   (2022/12/26 13:47:09)

後藤ひとり> あ、こんにちは……   (2022/12/26 13:47:18)

秋山 澪> それに年齢差が有るから　後腕の差があるからどうしてもネアティブに……   (2022/12/26 13:48:21)

桜衣乃> この際、はっきりさせましょう。澪ちゃんのロルではえっちしたい気分にならないと。ロル以前の問題ですよ、といい加減教えてあげるべきかと思いまして。   (2022/12/26 13:49:39)

秋山 澪> 結束バンドすごすぎ！　此方はクラブ活動でしかないし！！   (2022/12/26 13:49:44)

秋山 澪> ぇーと、まだ処女なんで、尊敬してるぼっちちゃんか無理雲さんにして欲しいって設定なんですよ？　それすら駄目なの？   (2022/12/26 13:51:38)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> 【もしもっ…今の秋山さんの話が大学生編の話ならっ…すいませんっ。『放課後ティータイム』は…あのメンバーだからっ、あの演奏ができるんだって…本編で…秋山さん自身がいって…ますっ！】   (2022/12/26 13:51:40)

桜衣乃> お部屋をいつから使ってるとか、誰と仲良くしたいとか、どういうロルがしたいのか、そういうのどうでもいいくらいに、問題外なんですよ。澪ちゃんの文章や交流。   (2022/12/26 13:53:04)

秋山 澪> 【済まない　まｊ目な話をすると家側板フォノが遥かにうえだよ……（　ベーシストの意見）』   (2022/12/26 13:53:18)

秋山 澪> りょ   (2022/12/26 13:53:47)

秋山 澪> 部屋主を自称してる桜さんに従い、ここへの入出は自重します   (2022/12/26 13:55:29)

桜衣乃> 私がお部屋にいても全力で関わるの避けて無視決め込んでくれるのであえてこちらからも関わりませんでしたが、いい加減目に余りました。そういう利用はみなさんが困るだけですので。そうしていただけると助かります。   (2022/12/26 13:57:35)

秋山 澪> 要するに自分が持てないとムカつくと　自分を愛しないやつは除外と　面白い「   (2022/12/26 13:59:09)

桜衣乃> そう受け止めてしまわれたなら、もうそれで結構です。人の話を聞けない方は他のお部屋でも苦労しますよ、とだけアドバイスさせてもらいます。   (2022/12/26 14:00:59)

秋山 澪> （あとsけてないんだけどなぁ　桜とは仲良くしたかったし？　六花並みにお友達だと思ってたし）   (2022/12/26 14:01:31)

桜衣乃> ご冗談でしょう？私があなたに好感を持つ要素が、出会ってから今までありませんでしたが？   (2022/12/26 14:03:02)

秋山 澪> あ＾それ、あれだよ。　渡しが桜とあった時、ちょうどよく桜が他の娘の良い関係だったから声をかけづらかったんだ   (2022/12/26 14:04:12)

秋山 澪> こればっかりは仕方ないだろう？　   (2022/12/26 14:04:50)

桜衣乃> 仕方ないんですか？開き直りですか？ごめんなさいより先に言い訳ですか？   (2022/12/26 14:05:59)

秋山 澪> 何で謝らなきゃいけないだ　逆に声を得るほうが失礼だろう   (2022/12/26 14:07:44)

桜衣乃> あなたが特定個人ばかり気にかけて私のことは眼中にないことくらいわかってましたので。狙ってる人がいるのは別にいいですけど、それでお部屋の人がみんな納得してくれていると思っていましたか？   (2022/12/26 14:09:31)

秋山 澪> 私はぼっちザ・バンド。うちのメンバーイア外で知り合ったのは桜、六花　だから出来る限り仲良くなりたかった　そのため身長にした　それを叩かれたのならそれまでだ   (2022/12/26 14:10:16)

秋山 澪> 好みの相手を望んじゃいけないのか？　それが何か問題が有るのか？　お前は誰でも抱かれるのを望んでいるのか？　そうじゃないといけないというのか？　あたまおかしいのか？   (2022/12/26 14:12:29)

桜衣乃> とりあえず…文章の誤字脱字は仕方ないものとはいえ、１レスに必ずいくつもある、文章が支離滅裂、まず反論からされたなどなど、お話になりません。なりきりをする以前の問題なので、このままみなさんに塩対応されてつらい思いをする前にお引き取りを。  
(2022/12/26 14:13:18)

秋山 澪> 恋は悪なのか？　お前の言ってることはそう云うことだ   (2022/12/26 14:13:22)

おしらせ> 小春六花さんが入室しました♪  (2022/12/26 14:14:47)

桜衣乃> 今後は私はあなたの入室に対して非表示措置を取らせていただきます。それでは。   (2022/12/26 14:14:56)

秋山 澪> 意見の間違いを誤字の存在で誤魔化す、か　鬱陶しい   (2022/12/26 14:15:18)

小春六花> わたしの名前さんざん出されてて見かねてきたけど、ちゃんと言ったじゃん。誰に、どう言われるかが大事なんだって。　   (2022/12/26 14:15:25)

秋山 澪> ｋ」   (2022/12/26 14:15:57)

小春六花> お酒飲んでて酔っ払ってるから誤字は見逃せ、暴言は許せ、リアルに逃げ場がないからここでは自由にさせてくれ、って言うのはこのお部屋でも通用しないから、やめたほうがいいよーって、言ったじゃーん？   (2022/12/26 14:16:41)

後藤ひとり> すいませんイノさんにこんな役押し付けて……   (2022/12/26 14:17:02)

秋山 澪> あー、六花、少し反論して良い？   (2022/12/26 14:17:42)

小春六花> 自分は可哀想は他人を傷つけていい免罪符ちゃうぞ。   (2022/12/26 14:18:04)

桜衣乃> あとは皆さん次第です。はっきり言うのも、このまま強制退出させるのも、おまかせします。   (2022/12/26 14:18:23)

秋山 澪> ちがうちがう　お酒のんでなくても誤字脱字酷いの……   (2022/12/26 14:18:39)

小春六花> それはそれかもしれないけど、結果的にやっちゃいいことないよってこと全部やらかして、居場所なくなったのは自業自得なんだから。   (2022/12/26 14:20:06)

秋山 澪> キータイプ上手くなくてね、ブラインドタッチも出来ないくせに、ひたすら早く返さないといけないと思うからミスタイプ多すぎ……   (2022/12/26 14:20:12)

小春六花> その上で謝らずに偉丈夫に振る舞った責任は取ったほうがいいよ。   (2022/12/26 14:20:44)

秋山 澪> ま、そだね　六花もそっち側なのは解ってるし   (2022/12/26 14:21:15)

小春六花> そっち側というかお部屋の味方ってだけなんだけどね。   (2022/12/26 14:21:38)

秋山 澪> 今私が断罪されてる以上、そっち側でしょ？   (2022/12/26 14:22:14)

秋山 澪> けど……桜さんと六花とは仲良くなりたかったよ……   (2022/12/26 14:23:17)

小春六花> 断ずる段階まで死刑階段駆け上がっといてよく仰る。とりあえず退室しときなよ、もう。これ以上暴れても二度と誰も相手にしないよ。   (2022/12/26 14:23:45)

秋山 澪> んー   (2022/12/26 14:25:27)

秋山 澪> ギロチンが良いかな   (2022/12/26 14:25:45)

秋山 澪> だって、誰かが断罪してくれるじゃん   (2022/12/26 14:26:22)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> あきやまっ…さん。こんなこと…いいたくないんです…けど……。…このへやにもう…来ないでください…。こわいんです…あなたが…   (2022/12/26 14:26:42)

小春六花> ごめんね、スレッタちゃん。ちょっと後で改めて挨拶するし謝るからちょっと、無視してあげてもらっていいかな？   (2022/12/26 14:27:25)

秋山 澪> ぼっちちゃんを説得して＞それ   (2022/12/26 14:27:35)

小春六花> 出ていって、って言ってるの、わかる？   (2022/12/26 14:28:37)

後藤ひとり> なんで私……   (2022/12/26 14:29:12)

小春六花> ひとりちゃんも、無視してて。もう。   (2022/12/26 14:29:35)

秋山 澪> 解るよ？　デモできない　そう云うシステムだから   (2022/12/26 14:29:45)

小春六花> 私が避難用に小樽潮風高校編集室用意してるので、そっちいこ   (2022/12/26 14:30:49)

秋山 澪> その、ここには部屋主が居ない　そう云うことでしょ？」   (2022/12/26 14:30:51)

小春六花> もしくは2階にいこ。   (2022/12/26 14:31:11)

後藤ひとり> 2階がいいですね……   (2022/12/26 14:31:26)

小春六花> じゃあ2階に行こっか。イノちゃんもそれでいいよね？   (2022/12/26 14:31:40)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …わっ…私も…ですよね…   (2022/12/26 14:31:57)

後藤ひとり> スレッタさんもご一緒に……   (2022/12/26 14:32:17)

桜衣乃> わかりました。   (2022/12/26 14:32:20)

小春六花> スレッタちゃんもお願いね。   (2022/12/26 14:32:35)

秋山 澪> 何で誤字脱字が多くて、最初の相手を偉だだけでこうなったのか   (2022/12/26 14:32:39)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> はいっ…！   (2022/12/26 14:32:42)

小春六花> そして私は仕事の途中なので一緒に行けないので   (2022/12/26 14:32:49)

小春六花> イノちゃんごめんね！   (2022/12/26 14:32:55)

小春六花> 後でお話させて！   (2022/12/26 14:33:01)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> いいっ…いって…きますっ   (2022/12/26 14:33:07)

おしらせ> ｽﾚｯﾀ･ﾏｰｷｭﾘｰさんが退室しました。  (2022/12/26 14:33:10)

桜衣乃> ……了解です。いってらっしゃいませ、六花ちゃん♪   (2022/12/26 14:33:32)

秋山 澪> ま、いっか   (2022/12/26 14:33:39)

おしらせ> 小春六花さんが退室しました。  (2022/12/26 14:33:56)

秋山 澪> ぼっちちゃん   (2022/12/26 14:34:10)

秋山 澪> 一度だけ２Fび行くけど無視しないで   (2022/12/26 14:34:36)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/26 14:34:47)

秋山 澪> ……無理か   (2022/12/26 14:35:14)

おしらせ> 秋山 澪さんが退室しました。  (2022/12/26 14:35:24)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/26 14:35:29)

おしらせ> クレーさんが入室しました♪  (2022/12/26 14:40:11)

おしらせ> Wさんが入室しました♪  (2022/12/26 14:41:06)

W> 荒れ放題…。ねぇ、そこのおチビちゃん。あんたも爆弾得意なんでしょう？あたしと花火とかばら蒔いて綺麗にしちゃわない…？   (2022/12/26 14:42:28)

クレー> こんにちはー♪はじめまして…だよね？クレーだよ！よろしくね…♪   (2022/12/26 14:43:20)

W> ま、要するに汚いモノは見えないように流しちゃう、ってやつ？…ッ、ハハ♡古臭いやり方で笑っちゃう。でも、それが一番いいと思うの   (2022/12/26 14:43:45)

クレー> あはは……気持ちはわかるけど…クレーお外以外のばくだん使うの禁止されてるから…   (2022/12/26 14:44:03)

W> そう、クレー。…Wで良いわ、それが今のあたしだもの   (2022/12/26 14:45:04)

クレー> だぶりゅー？   (2022/12/26 14:45:20)

W> そう。W…。覚えやすいでしょう？   (2022/12/26 14:45:43)

クレー> そうなんだ…よろしくねだぶりゅーお姉ちゃん♪   (2022/12/26 14:46:06)

W> 名前なんて記号に過ぎないわ、戦場で使い捨ての駒にされるのに大事に名前を抱えてたってなんの役にも立ちやしない…。……けど、あんたは違いそうね…。まぁ、いいわ。取りあえず適当お話でもしましょう？   (2022/12/26 14:48:11)

クレー> うん♪もちろんだよー！   (2022/12/26 14:50:01)

W> …一人だったら焼け野原にでもするつもりだったけど。二人なら二倍だものね…効率がいいわ   (2022/12/26 14:51:01)

クレー> はわわ…！だめだめっ……お部屋がこわれちゃうよぉ   (2022/12/26 14:51:44)

クレー> あっ…なにか飲む？…だぶりゅーお姉ちゃんが今飲みたいもの教えてー♪   (2022/12/26 14:52:53)

W> ふぅん、大事なのね。この部屋が…。そうね、あんたの思出話でも聞いてみようかしら   (2022/12/26 14:53:03)

W> …そうね、毒が入ってないモノならなんでもいいわ。(くすっ)   (2022/12/26 14:53:40)

クレー> 思い出話…？うーん、クレーこのお部屋来てもうすぐ2ヶ月だけど…短いよ？でも、色々あったかなー。クレー色んなお話したよ？それにお部屋をプールに改造したり、クリスマスみんなでお話したりとか…♪えへへ   (2022/12/26 14:54:54)

W> 十分長いじゃない。それでそれだけ思い出があるのなら、これからはもっと増えるはず。そうは思わない？   (2022/12/26 14:56:29)

クレー> クレーと最近お話した人たちの中の会話に｢来年はクレーと…｣ってお話してくれた人もいたから…、あっ来年もクレーとお話してくれるのかな？って思ったらにこにこしちゃう♪   (2022/12/26 14:58:19)

クレー> あっ、緑茶でいい？あったかいほうの！   (2022/12/26 14:58:54)

W> …ふぅ。少しお仕事ができちゃったわ。飲み物は置いておいて？飲みに戻ってくるから…じゃあね   (2022/12/26 14:59:14)

おしらせ> Wさんが退室しました。  (2022/12/26 14:59:22)

クレー> ありゃ…お仕事がんばってね！クレーの相手してくれてありがとう♪   (2022/12/26 14:59:46)

クレー> とりあえず、ここにいとこうかな…？落ちたらお昼寝しちゃった…ということで♪   (2022/12/26 15:01:17)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/26 15:02:08)

東北ずん子> (ぎゅーっとだきついて)   (2022/12/26 15:02:17)

クレー> あにゃあ…♡ずん子お姉ちゃん♪   (2022/12/26 15:02:40)

東北ずん子> こんばんは、お買い物してきてつかれました(すりすり   (2022/12/26 15:03:01)

クレー> わぁっ…おつかれさま♪ゆっくりしてねー   (2022/12/26 15:03:19)

東北ずん子> 結局クリスマスはクレーとわいわいしてただけなので、クレーと年末までゆっくりさせてもらいます(ぎゅっと凭れ   (2022/12/26 15:04:09)

クレー> クリスマスイブイブ楽しかったねー♡うん、クレーもお時間ある時はゆっくりしたいの♪   (2022/12/26 15:05:39)

クレー> 年末にむけて、お片付けとか来年の予定決めとかしなきゃいけないんだー…全部おうちでできることだけどね♪   (2022/12/26 15:06:13)

東北ずん子> ひとまず年末までなにもしなくても……お、お掃除はしないと(クレーも一緒にしましょうか   (2022/12/26 15:06:58)

クレー> あっ、お話はできるよ！   (2022/12/26 15:07:07)

クレー> クレーは年末は大事な予定があるんだ…(ごくり)   (2022/12/26 15:07:29)

東北ずん子> いちゃいちゃも余裕出来たらしましょうね(つんつん   (2022/12/26 15:07:31)

東北ずん子> あら、がんばってくださいね(なでなで   (2022/12/26 15:08:00)

クレー> じゃあ…2人でこたつでぬくぬくしよ？♡   (2022/12/26 15:08:01)

東北ずん子> 沢山買い物したのでつかれました(ぬくぬく、ぎゅうっとくっついて   (2022/12/26 15:10:24)

クレー> 何買ったのー？(ひみつならひみつで大丈夫♪)   (2022/12/26 15:11:50)

東北ずん子> お肉とか飲み物とか、食べ物ですね。あ、プリンもありますよ(いりますかって一つ出して   (2022/12/26 15:12:23)

クレー> そっかー…運ぶの大変じゃなかった？クレーもお手伝いしてあげたのに♪(プリンー♡)   (2022/12/26 15:14:11)

東北ずん子> 大変でしたよー、お腹もすきました(はいってスプーンでプリンをあーんっとしてあげて   (2022/12/26 15:14:57)

クレー> あーん♡ぱくっ…♪もぐもぐ…♡   (2022/12/26 15:15:24)

東北ずん子> ふふ、美味しく食べてるクレーはやっぱりいいですね(なでなで   (2022/12/26 15:17:11)

クレー> えへへ♡ありがとう…♪おいしいよー♡   (2022/12/26 15:19:35)

東北ずん子> 美味しく食べてるクレー見ながらお昼の準備しますか(よいしょ   (2022/12/26 15:21:33)

クレー> えっ、もうおやつの時間だよ？…ってご飯はいつ食べてもいいと思うけどねっ。   (2022/12/26 15:22:05)

クレー> クレーもお本の整理するね…。ってお部屋でるわけじゃないけど…お話しながら…なんて♪   (2022/12/26 15:22:58)

東北ずん子> あれですよねー、やっぱり部屋にいないとかたづけとかやる気出ませんよね。大体やらないまま終わっちゃってて(なでなで   (2022/12/26 15:26:03)

クレー> え…むしろお部屋にいたら集中できないような…？……ほら、今はずん子お姉ちゃんいるし…♡だから、お部屋出たくないな…って//   (2022/12/26 15:27:40)

おしらせ> Wさんが入室しました♪  (2022/12/26 15:30:38)

東北ずん子> でもほら、ここにいないとほんの整理しよーって思わなくないですか。集中しないまま終わる未来が見えます！   (2022/12/26 15:31:01)

W> それじゃ約束通り、頂いていくわ。案の定、これで終わりじゃないみたいだし…そっちの黒髪の子はまた会えたら挨拶でもしましょう？   (2022/12/26 15:32:04)

クレー> はわわ…やるぞ、やるぞ、やるぞー！   (2022/12/26 15:32:11)

W> またね   (2022/12/26 15:32:15)

おしらせ> Wさんが退室しました。  (2022/12/26 15:32:20)

クレー> あっ、またねー！   (2022/12/26 15:32:31)

東北ずん子> えーっと、いってらっしゃい？(なのかな？   (2022/12/26 15:32:58)

クレー> あってるよ♪   (2022/12/26 15:33:19)

東北ずん子> それじゃあクレーもいってらっしゃーい(ぎゅ、ぎゅ   (2022/12/26 15:34:03)

クレー> そうだよ…ずん子お姉ちゃんは黒髪できれいで……着物も可愛くて……おっぱいもこんなに大きくてね…♪かわいいんだから…♡(と褒めながら、ずん子お姉ちゃんの上に座ってるクレーはおしりをわざと揺らしてすりすり…♡)   (2022/12/26
15:35:06)

クレー> クレーはまだお部屋にいるよ…！   (2022/12/26 15:35:33)

東北ずん子> 急に褒められると恥ずかしいんですがっ！？(クレーのほっぺをぷにぷに   (2022/12/26 15:35:57)

クレー> えへへ…♡ずん子お姉ちゃんと仲良くしてるクレーがずん子お姉ちゃんのいいところたくさん言わなきゃ…ね♡   (2022/12/26 15:36:57)

東北ずん子> そ。そうなんです？クレーはそうやって素直に言ってくれるからとっても好きですよ(なでなで   (2022/12/26 15:39:13)

クレー> ありがとう♪   (2022/12/26 15:40:50)

クレー> プリンもう一口ちょーだい♪   (2022/12/26 15:41:04)

東北ずん子> はーい、いくらでもどうぞ(クレーのお口にプリンを上げて   (2022/12/26 15:41:52)

クレー> あーん、ぱくっ♡もぐもぐ……♪   (2022/12/26 15:42:39)

東北ずん子> ふふ、ご飯炊けるまでクレーとゆっくりしましょうか(お尻をなで、なでって悪戯して♥)   (2022/12/26 15:45:20)

