/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2019年04月28日 14時19分 ～ 2019年04月30日 15時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星井美希> 謝らなくて良いのに…今のうちにってこと？   (2019/4/28 14:19:42)
藤原妹紅 ◆> 鏡花...、触らなさそうな名前だな（ハハハ、と軽く笑って）、、、じゃあ私は6ヶ月で35回死んでる...と、悪ノリしてみたがこの話はやめておこう...（こちらも何事もなかったかのように微笑を浮かべる）   (2019/4/28 22:13:25)

泉鏡花> ……妹紅、面白い。好き。(とぎゅっといきなり抱きつき)   (2019/4/28 22:17:28)

藤原妹紅 ◆> ...うぉ？？なんだその刷り込みみたいな感じで好きになるの...正直さっきの会話で私このまま殺される気がするんだけど？（とカラカラ笑いながら抱きついてきた相手を撫でる）   (2019/4/28 22:19:21)

泉鏡花> もう、殺しはやらない。……妹紅がいるなら、私の異能力も、大丈夫。(撫でられると嬉しそうにはにかむ)妹紅は、何か能力……持ってるの？   (2019/4/28 22:23:53)

藤原妹紅 ◆> 異能力...ね、（私がいるならって...どう言う能力なんだろうな...なんて考えて）ん？私？...私は別に大したことはできないよ、せいぜいが火を起こして空飛ぶくらいだよ...（と苦笑いしながら言う）   (2019/4/28 22:27:14)

泉鏡花> 火……！かっこいい、！空、飛べるの？鳥……？(首を傾げながら言い)   (2019/4/28 22:30:10)

藤原妹紅 ◆> どうも、まぁ危ないからあんまり使わないけど。鳥じゃないよ...列記とした人間だ。（とカラカラ笑って）鏡花はアレだな、お人形さんみたいだ...（と言いながら抱き寄せて撫でてみる）   (2019/4/28 22:33:08)

泉鏡花> でも、すごい。私のは……夜叉を、夜叉白雪を呼び出す異能。そのせいで、殺しをさせられた。……お、にんぎょうさん？(胸元にある兎の小さなぬいぐるみをぎゅっと握りしめ)   (2019/4/28 22:36:02)

藤原妹紅 ◆> 夜叉を呼び出す...ほ、ほーん...なるほど（よく分からん）ん、そうそう。眺めていたくなるって事だな（と言いながら相手の顔を見つめる）   (2019/4/28 22:38:58)

泉鏡花> まあ、気にしなくて大丈夫。(ぎゅ、と服を掴みながら)初めて言われた。嬉しい。……ありがとう(頬に口付けをしてくすりと笑い)   (2019/4/28 22:41:07)

藤原妹紅 ◆> そうか、分かった（言われればすぐに切り替えて）どういたしまして、でもあんまり人を揶揄うと怖い目見るから気を付けなよ？（微笑みながら相手の顔を目の前まで近づける）   (2019/4/28 22:43:37)

泉鏡花> 揶揄うの、駄目だった？……っ！(顔が近づくと目を逸らし、頬を軽く染め)わ、分かった。   (2019/4/28 22:46:04)

藤原妹紅 ◆> ダメってわけじゃないけど、仕返されても文句言えないよって話（パッと離れて掌を広げて冗談しく微笑む）   (2019/4/28 22:47:19)

泉鏡花> う、うん……。妹紅って、可愛いしかっこいい。その大きなリボン、似合ってる(さっきの事をあって少し深呼吸をしてから話し始めて)   (2019/4/28 22:49:47)

藤原妹紅 ◆> あんまり褒めるな...体が痒くなる（肩を揺らして動揺を見せる）ん、そうか？それは嬉しいな。一張羅だからなこの服は（少しリボンを整えて微笑む）   (2019/4/28 22:51:10)

泉鏡花> そういうところが可愛い。……そっか。(相手が微笑めば自分も微笑み)   (2019/4/28 22:54:06)

藤原妹紅 ◆> ...む、（誉め殺しされると目を細めて少し離れてしまう）   (2019/4/28 22:57:56)

泉鏡花> え、ご、ごめん。(ぎゅ、と近づいて抱きつく)   (2019/4/28 22:59:37)

藤原妹紅 ◆> いや、あの、違うんだ...顔見ないでくれ（と顔を逸らして軽く手で隠してしまう）   (2019/4/28 23:01:11)

泉鏡花> ……照れてるの？(ぐ、と手をどかそうと手を伸ばし)   (2019/4/28 23:02:07)

藤原妹紅 ◆> ちょ、やめろ...っ（少し顔を赤くして頬が釣り上がり掛かってる顔を晒されては口を閉じて小さく震える）   (2019/4/28 23:04:17)

泉鏡花> 可愛い……兎と一緒ぐらい、可愛い。(ごめんね、と落ち着かせるように頬に手を添えて)   (2019/4/28 23:09:31)

藤原妹紅 ◆> 兎はやめろ兎は...（頬に手を添えられて更に顔を赤くしながら目を細めて）   (2019/4/28 23:11:48)

泉鏡花> ……あ、そろそろ帰らないと。寝ないといけない。ごめん、またお話しよう。(眉を下げながら笑って)   (2019/4/28 23:18:52)

藤原妹紅 ◆> ん、またな、、、（若干拗ねたような表情で手を振って送り出す）   (2019/4/28 23:21:08)

藤原妹紅 ◆> ...（ソファで静かにさっきの熱を冷やす...）   (2019/4/28 23:35:43)

おしらせ> チルノさんが入室しました♪  (2019/4/28 23:38:06)

チルノ> こんばんはっ！（そう言いながら、颯爽と部屋に入る)   (2019/4/28 23:38:38)

藤原妹紅 ◆> おー、チルノか。こんばんは（ソファに寝たまま返事をする）   (2019/4/28 23:39:02)

おしらせ> 無言時間が20分を超えたため、泉鏡花さんが自動退室しました。  (2019/4/28 23:39:03)

チルノ> 妹紅だぁ、今日もソファでぐたぁってしてるんだね(そう言いながらぴょこんとソファに座る)   (2019/4/28 23:40:44)

藤原妹紅 ◆> そうだな...、ソファは良いよ。私をいつでも受け止めてくれる（と間延びした声で答えながら寝返りを打つ）   (2019/4/28 23:41:44)

チルノ> むぅ…また今日は一段とくつろいでいるんだねっ（間延びした声を聞きながらそう答える) みかんでも食べる？（そう言いながらみかんを掴んで差し出す)   (2019/4/28 23:43:46)

藤原妹紅 ◆> ふ、私の目を覚まさせたいなら何か私が驚く事をして見るが良い（フッフッフッ...）あ、じゃあ頂戴（と口を開けて待機する）   (2019/4/28 23:44:57)

チルノ> ………（カチコチでも、ちょうど良くても驚かないだろうなぁとみかんの皮を剥きながら考える) ……………（かちんこちんに凍らせたみかん丸々一個をおもむろに口へ…)   (2019/4/28 23:47:41)

藤原妹紅 ◆> あの、、驚くとかそう言うのじゃなくて食べれないし死ぬ（冷や汗を出しながら両手を前に出してブロックする）   (2019/4/28 23:49:02)

チルノ> やっぱり…（そう言いながら苦笑いする)ハードル上げられたような感じであたい焦っちゃって…（そう言いながら、剥いた一個を口に咥えて今度は近づいてみる)   (2019/4/28 23:51:08)

藤原妹紅 ◆> 別に無理なんかする必要はないさ...（テキトーで良いのテキトーで、と）...あー（軽く口を開けて待機する）   (2019/4/28 23:53:33)

チルノ> あたいってば普段テキトーだから、いざテキトーを求められると逆に困るかも…（そう言いながら、待機する姿に赤くなりながら) むぅ……ん…(そのまま顔を近づけて、みかんを口へ運ぶ)   (2019/4/28 23:56:25)

藤原妹紅 ◆> ならもう真剣になるしかないな（ケタケタ）...む、、むぐ（みかんを口に咥えても目を閉じたままでちょっと待って見る）   (2019/4/28 23:59:18)

チルノ> むぅぅ…それはそれで…（ケタケタと笑う姿に困り顔) もぅ……せっかくあたいが運んだんだから、食べてよっ（そう言いながら、咥えてるみかんを咥え直して……そのまま唇を合わせる…) んっ…   (2019/4/29 00:02:50)

藤原妹紅 ◆> 冗談冗談...（フフフッ）ん、んむっ（と蜜柑を口の中に収めては目を開いて捕まえたと言わんばかりに相手の頭に手を回して逃げられなくする）   (2019/4/29 00:05:13)

チルノ> ん……んんっ……⁉︎//（そのまま……手を頭に回されて唇を合わせたまま逃げられなくなり…みかんの甘さと酸っぱさを感じつつ…さっきより深く唇を合わせる……)   (2019/4/29 00:07:42)

藤原妹紅 ◆> ...んむ、ん...ん（静かにゆっくりと蜜柑を挟んで舌を絡ませて...）んく、は。（蜜柑を飲み込めば唇を一旦離して微笑む）   (2019/4/29 00:09:52)

チルノ> ん……んっ……//（舌をおずおずと絡ませて……) ん……むぅ……冷凍みかんだったのに……随分甘くて…熱いみかんになっちゃったね……（微笑む姿に、恥ずかしそうに目を逸らしながら)   (2019/4/29 00:11:58)

藤原妹紅 ◆> そうだなぁ...//...それはそうと私はまだ起きれそうに無いけど...（と、詰まる所相手に自分の体と主導権を渡す、と宣言した）   (2019/4/29 00:14:20)

チルノ> なにかがおかしい……（そう…デジャブを感じつつも…起きれそうにないと宣言する妹紅をしょうがないなぁ…と見つめながら…)
じゃあ、起きれないなら、もっかいキスしても大丈夫？んっ………（そう言って、今度はそのまま唇を合わせて…舌をさっきより深く絡めてみる…)   (2019/4/29 00:18:10)

藤原妹紅 ◆> そうかぁ？私は別になんとも...（フフフ...）んっ...んむ、んっ（手を小刻みに震わせながら舌を絡め取られて呼吸を乱す）   (2019/4/29 00:19:40)

チルノ> もぅ……（フフフと笑う、妹紅の震える手も…舌を丁寧に絡ませるとともに、指を絡ませながら、ギュッと繋ぐ……) ん………んっ……//（息を乱すのを見ながら、さらに深く…)   (2019/4/29 00:22:06)

藤原妹紅 ◆> ...んむ、...んっ、ふんっ...///（色々揶揄ってはきたが、舌を深く絡められてはすっかり余裕が消えてて手をきゅぅっ、と握り返して体を小さく悶えさせる）   (2019/4/29 00:25:26)

チルノ> まだ起きられそうにない…？（一旦唇をぷはっと離して……ペロリと妹紅の唇の周りをおずおずと舐めつつ…) じゃあ、またこれ使おうかなぁ……（そう言いながら、いつかのトロトロのローションを…媚薬の入ったローションを取り出して、手にとってトロ〜っと見せる)
  (2019/4/29 00:27:15)

藤原妹紅 ◆> はぁ...はぁ...//（思ってた以上で少し焦りながら呼吸を整えようとするが...）ちょ、おまえ、...それは...///（少し焦りながら思わず少し寝たまま後退りした）   (2019/4/29 00:31:40)

チルノ> え〜なんで逃げるの？あたい、これまた使いたいだけなんだけどなぁ……（困ったように後退する妹紅に、ローションをさらに出しながら、近づく…) それとも…やめておく？   (2019/4/29 00:34:13)

藤原妹紅 ◆> ...ぐ、（冷や汗がじわっと出て）卑怯だぞおまえ...それ言ったらもう止めろとは言えないだろ...（そう言って体の力を抜いて相手に身を委ねた）   (2019/4/29 00:36:07)

チルノ> え〜そんなこと言って、これもう一回使いたいだけでしょう？（自身も手にとってトロトロしているせいか、紅潮させながら近づき…) じゃあ、垂らすね……（そう言って、手をさっきにように絡めた後に、服をめくってお腹に垂らし…徐々にゆっくり広げていく…)  
(2019/4/29 00:39:38)

藤原妹紅 ◆> 意地悪言うな、そう言う時は黙っておくのがマナー...（近づいてくる相手に息を飲んで）...んっ、ふっ...は、、は///（ゆっくりと顔を赤くさせながらお腹に広がる熱さと甘い刺激に呼吸が早く浅くなる）   (2019/4/29 00:42:22)

チルノ> むぅ…だってあたいもさっき恥ずかしかったもんなぁ……（ヌルヌルと…ローションを広げ……広げ……服も下着も…ゆっくり上へ上げていき………)
あ…それに…こっちもう立ってるよぉ……（そう言いながら、ピンと立った乳首を見ながら、乳首には触らないようにしつつ、胸にもローションを塗り込んでいく……)   (2019/4/29 00:45:57)

藤原妹紅 ◆> あ、やまるからっ.....（熱と刺激が体に広がっていくのを感じては余裕がなくなってきて...）ぁ....うく、ぁっ///（小さく声を漏らしつつ触られないが乳首は更に膨らんで主張する）   (2019/4/29 00:50:57)

チルノ> むぅぅ……今さら謝れてもなぁ……（そう言いながら、乳首を触らないように乳輪の周りを揉むように触っていたが……またお腹へと手を持っていき……小さな手で、こないだよりも塗り込んでいくように徐々に、乳首へと滑らせていき……)
まだ触ってないのに………随分主張してるねっ…（そう言いながら、焦らすように、乳首に当たるか当たらないかのところで指を止める…)   (2019/4/29 00:55:31)

藤原妹紅 ◆> ...あくっ、、ふっく、...ひっ////（頭をカクカクと震わせながらどんどん身体が熱くなり身悶えする）ふぐっ、、意地悪...しないで...////（乳首が切なく感じれば弱々しい声を振り絞る）   (2019/4/29 00:58:46)

チルノ> あたい聞こえないなぁ…ちゃんと言ってくれないとぉ……（そう言って、またローションをお腹に垂らし、二の腕や、脇腹…首…耳…と軽く触りながら…) どうして欲しいの…？（完全に変なスイッチが入ったようで……妹紅のおへそを弄りながら、耳元でたずめる…)  
(2019/4/29 01:02:07)

藤原妹紅
◆> ふっぐ、、ぁ...うぅっ...（身体を下から上へと触られればザワザワと鳥肌を立てて...）うぐ、、、、ち、乳首を...私の乳首触ってくれ。何でもするから...///だから乳首をっ、触って...コリコリシコシコして///（声を震わせながらヒューヒューと呼吸を荒げる）
  (2019/4/29 01:05:59)

チルノ> 何でもかぁ…これもデジャブだけど……覚えておくね……（耳元で囁きながら) じゃあ……（そのまま…両手とも……ススッーと乳首へと近づけて) えいっ…//（乳首の周りを一周した後におもむろに、ギュッと人差し指と親指で摘まむ)   (2019/4/29
01:09:38)

藤原妹紅 ◆> 早く...早くっ///（目の色を変えながら声を震わせて）、、、ッッッ...///（乳首に手が添えられて息を飲む）...、ひぎゅっ♡♡♡（頭を仰け反らせながら暫くビクビクと痙攣した）   (2019/4/29 01:11:42)

チルノ> むぅ…//乳首だけで逝っちゃったんだねっ…// しょうがないなぁ……でも、弄って欲しいって言ったのは妹紅だし……（そう言って…痙攣する様子を見ながら、おへそをの穴をズポズポ弄りながら…乳首を強弱つけながら、ギュッ…ギュッと摘まむ…)  
(2019/4/29 01:15:12)

藤原妹紅 ◆> ひっ！！ひくっ...ひゅっ...♡♡（脚を軽くジタバタさせながらお臍から来る刺激に子宮をキュンキュンと反応させて歯を食いしばって悶える）   (2019/4/29 01:17:45)

チルノ> すっごい反応だねっ……じゃあ、なんでもするって言ったから…あたいの言うこと聞いてね…(悶える姿を見ながら耳元で…)あたいがいいって言うまで逝っちゃダメだからねっ
…逝ったらお仕置きだから……（そう言って、スタートとばかりに……さっきよりも強く……乳首をギュッと摘んで、捻るように弄る…)   (2019/4/29 01:20:51)

藤原妹紅 ◆> ひゅぉっ、、むりっ♡♡そんなの無理ッ...（お仕置き、と聞けば焦りつつ我慢しようとするが強めに責められると直ぐに声が漏れてあまり我慢はできそうにも無い）   (2019/4/29 01:22:20)

チルノ> 声は出してもいいよぉ…気持ちいいなら、どんどん喘いで…吐息漏らして、甘い声出しちゃえばいいよぉ…(耳元で囁きながら……ずぽっ…ずぽ…とおへその穴を出したり……入れたりしつつ…)
乳首もピンピンだし……（スッと優しく弱めに乳首の周りを弄った後、ギュッ強めに軽く引っ張りながら、弄る…)   (2019/4/29 01:25:59)

藤原妹紅
◆> あっ！ぁあぁん♡♡♡ひぐっ♡♡ひやっぁあっ♡♡♡♡（我慢しきれずに声を撒き散らしながら絶えず続く責めに限界が来て）あぐっ、無理ッ無理無理むりむりむりっ、イグッまたっイグッッッ♡♡♡（ガクガク、と肩を震わせながら仰け反ったまま痙攣して絶頂してしまう）  
(2019/4/29 01:28:29)

チルノ> むぅぅ……いいって言うまで…逝っちゃダメって言ったのに…逝っちゃったね…(激しく痙攣して、仰け反らせる姿にドキドキしながら……)じゃあ…お仕置きだねっ？（痙攣がおさまるまで待って、そう言う)   (2019/4/29 01:30:50)

藤原妹紅 ◆> ハァッ♡...はぁっ、、///はぁ......（息を整えてから少しぐったりとして）うぐっ......な、何をするんだ？（柄にもなく不安で震えて...）   (2019/4/29 01:33:58)

チルノ> これも…あたいが前やられたからなぁ……（そう言って、スクッと立ち上がって) デジャブだけどぉ…まず、服全部脱いで……立ち上がって、ガニ股になってもらおうかなぁ……（前のお返し…とばかりに、にこりとしながらそう言う)   (2019/4/29
01:35:21)

藤原妹紅 ◆> .....分かった（目を伏せながらヨロヨロとソファから降りて服を脱ぎ...全裸になれば手を後ろに組んでガニ股になる）これで良いのか？...   (2019/4/29 01:39:16)

チルノ> あぅ……手を後ろに組んでとは言ってない…けどねっ（そう言いながら、近づいて) すっごいキレイだねっ…スタイルいいからあたいちょっと羨ましいなぁ…（じーっと見つめながら)   (2019/4/29 01:41:10)

藤原妹紅 ◆> .../////（手を指摘されると顔を真っ赤にして）、、、、///（少し顔を逸らしながら呼吸を静かにする）   (2019/4/29 01:42:33)

チルノ> （顔を真っ赤にする様子を見ながらニヤリとしながら)自分から、手を後ろに組むなんて、実は期待してたりしてっ…(とからかうように言いながら……胸をまた揉み始める…)   (2019/4/29 01:45:38)

藤原妹紅 ◆> ...してない...///（図星なだけあって言葉数が少ない...）うっ、あっ...ひぅ////（ピク、と反応して脚を震わせる）   (2019/4/29 01:47:10)

チルノ> じゃあ……ローション追加して……（トロ〜と胸に優しく垂らし…) 脚も触るね……（そう言いながら、震わせる太ももを…ローションを塗り込んでように、揉んでいく)
え〜、絶対期待してたでしょ？さっきお仕置きって言った時も、嬉しそうにしてたし……（徐々に徐々に、内股へ…)   (2019/4/29 01:49:09)

藤原妹紅 ◆> ...はっぁ（胸に広がる熱に吐息を吐いて）ひぅ....うく（脚を触られれば更にプルプル震えて表情が曇る）して無い...から、ふっ...ふっ////（内股に手が滑るといよいよ態勢を維持するのが難しくなって来る）   (2019/4/29
01:53:03)

チルノ> そう……？脱いでる時も…ガニ股にしている時も嬉しそうだったけどなぁ……だって、どんどん吐息漏れてるし……（そう言いながら、さらに、内股に手を滑らせて股関節をなぞるように、揉むように…塗り込むように触るが、それ以上は触らず……)
こっちも〜(そう言って、アキレス腱の方まで手を滑らせて、脚の指の間を一本一本ヌルヌル……) ガニ股…ちゃんとしててね？   (2019/4/29 01:57:44)

藤原妹紅 ◆> .......ふぐっ...ぅぅ（言い返せないまま内股を弄ばれて腰を軽くカクカクと動かして反応する）ふっ、、ふっ...///（体の至る所に媚薬が回り始めて呼吸すら刺激に変わるようになってしまう...）   (2019/4/29 02:02:50)

チルノ> ほら……っ …ちゃんと脚開いて…（そんな様子を見ながら、ふっーと身体に息を吹きかけながら、耳元で言う…) こっちも、柔らかいねっ……(そう言いながら、お尻を揉むように触りながら) ……っ…(おもむろに、手を滑らせて、さらに内股に焦らすように触る…)
  (2019/4/29 02:07:12)

藤原妹紅 ◆> ヒューッヒューッ...ヒューッ///（身体に息を吹きかけられてビクッと反応する）ッ////（お尻を揉まれて唇を軽く噛んで悶えて...）ハァッ...ハァッ...ハァッ（辛そうに吐息を吐きながら秘部から液体を内股に垂らす）   (2019/4/29
02:10:31)

チルノ> すっごい……ビクッとなっちゃうね……（そう言いながら、秘部から垂れる愛液をみる……) これ、ローションじゃないよね？ （そう言いながら、内股をヌルヌル触る…)   (2019/4/29 02:13:07)

藤原妹紅 ◆> ...フッ..フッ...（呼吸を整えようと口を少しあける）ッ////いや、その.../////（言い訳もできずに黙ってしまう）   (2019/4/29 02:17:54)

チルノ> じゃあ…どうして欲しいか……正直に言ったら、触ってあげるけどなぁ……今度は、逝っちゃダメなんて言わないよぉ…思いっきり逝ってもいいから…（そう言って、おへその穴を指で弄りながら)
想像してみてよぉ……さっきまで乳首で逝っちゃうくらいなのに……こんだけ媚薬回った敏感な状態で……敏感なところを指で思いっきり弄られたらどうなるかって…   (2019/4/29 02:19:12)

藤原妹紅
◆> おへそっ、、やめてっ....うっ...く、、（子宮をキュンキュンと反応させながら猫背になって身体を縮こませて...）......////（相手の言葉に息を飲んで...暫く葛藤するが、）弄って...よ、私のおまんこ弄ってよぉ...!////（涙を少し流しながら足を広げて懇願する）
  (2019/4/29 02:24:30)

チルノ> むぅぅ…ごめんね……イジワル言っちゃって……弄るね………//（キュンキュンさせながら、身体を縮こませる姿を見ながら)
…っ…すごい……トロトロして…熱い……（おへそをズポズポ弄りながら、敏感になった、クリトリスを指で弄りながら、割れ目を撫で上げながら、弄る…)   (2019/4/29 02:29:54)

藤原妹紅 ◆> ひっうぐっ♡♡♡（秘部を弄られて思わず態勢を崩して相手に寄りかかって悶絶する）   (2019/4/29 02:31:22)

チルノ> もっと逝ってもいいんだよぉ…（そう言いながら、さらに……撫で上げながら……指を沈めて、ズポズポする…)   (2019/4/29 02:33:55)

藤原妹紅 ◆> おっご、、お゛♡♡♡んぉお゛お゛♡♡♡（腰をカクカク震わせながら潮を吹いて何度も絶頂する）   (2019/4/29 02:36:01)

チルノ> むぅ……すごいね…//たくさん逝ったね……んっ//（そのまま、さっきみたいにキスしながら、ソファに座ってもらう…) どうかなっ？目覚めた？ どする？(そう聞いてみる)   (2019/4/29 02:38:45)

藤原妹紅 ◆> ...........（呼吸をゆっくり整えて...）眼が覚めるどころか気絶しかけたけど...、そっちはどうなの？まだいけるの？（と聞いてみる）   (2019/4/29 02:41:20)

チルノ> 気絶しかけたのっ？（ぺこりと頭を下げながら)あたいは全然大丈夫だよぉ   (2019/4/29 02:42:53)

藤原妹紅 ◆> 今のは忘れろ（と顔を逸らして）そうか、、まぁ目は覚めたが...何しようか...（ふむ   (2019/4/29 02:44:12)

チルノ> はーいっ！（素直にうなづきながら) あたいはなんでもいいよっ？   (2019/4/29 02:45:32)

藤原妹紅 ◆> 何でもか...んー、、、じゃあ催眠術でもかけてやろうか...（と、適当な発言をしつつ服を着る）   (2019/4/29 02:49:52)

チルノ> 催眠術……また唐突だけど、楽しそうっ！でも、あたいは最強だからそう簡単にはかからないけどねっ   (2019/4/29 02:51:14)

藤原妹紅 ◆> そりゃお前唐突だろうさ...って、早速フラグだな...まぁいいや、じゃあ...どんな催眠がいいよ、割と幅は広いぜ？（と自分も考えながらなんか面白い催眠ねぇかなー、と）   (2019/4/29 02:54:13)

チルノ> んー？あたい凍らせるのは得意だけど、催眠は得意じゃないからなぁ…… でもせっかくだから、気持ちいいのがいいなぁ（おもむろにそう言う)   (2019/4/29 02:56:27)

藤原妹紅 ◆> ふむ、じゃあ...（と、相手の首に手を当てて）今からこことこことここに私が手を叩いたら刺激が走るからね？（と、両乳首と陰核に指で触れて場所を示しながら催眠術をかけた）   (2019/4/29 02:58:50)

チルノ> ふむ……ふむふむ……（と、触れて示された場所を、うなづきながら確認するが…) えっ……ええっ……//場所おかしくないっ？（焦り出す)   (2019/4/29 03:01:09)

藤原妹紅 ◆> と、明後日ももう遅いよ？催眠はこんな感じで（と、掌を叩けば相手の局部に指でなぞられたような刺激が走って）完了してるしね。（微笑んで手を構える）   (2019/4/29 03:04:19)

チルノ> んんっ…//（叩かれただけで、乳首と局部に刺激が走り……小さな身体をピクンと震わせる…) む…ぅぅ……   (2019/4/29 03:06:23)

藤原妹紅 ◆> よいしょ（パァン！パァンパァン）どう？（と笑顔で聞いて）   (2019/4/29 03:07:26)

チルノ> あっ……ちょっと……待って……っ……っ………(手を叩かれるたびに……どんどん刺激が激しくなるようで……ビクビクが増していく……) ……っ///………//（さっきの媚薬の効果もあってか、身体が…火照る…)   (2019/4/29 03:10:20)

藤原妹紅 ◆> ......さっきの威勢のいいセリフはどうしたのかな、催眠術なんてかからないんじゃなかったの？（パチパチパチパチパチパチ、と手を叩きながら質問して）   (2019/4/29 03:11:49)

チルノ> あ……あたいは最強だから……っ…//催眠なんかに負けない…っ…（そのまま、ビクビクと脚を震わせながら、座り込みながら、顔を真っ赤にしつつ言う)   (2019/4/29 03:13:42)

藤原妹紅 ◆> へぇ...（パチパチパチ、と更に連続で拍手くらいの頻度で手を叩きながらニヤニヤする）   (2019/4/29 03:15:13)

チルノ> …………………っ…///…………………っ//////（刺激が………波のように…どんどん押し寄せてきて、耳まで真っ赤にしながら、身体をピクンビクンと震わせながら、吐息を漏らしながらも、声を我慢する…)   (2019/4/29 03:17:03)

藤原妹紅 ◆> 因みに土下座して許しを乞うまでやり続けるからね？（拍手を続けながら相手の隣に座り直す）   (2019/4/29 03:19:01)

チルノ> むぅぅ……//（フルフルと身体を震わせながら、ウルウルした目で見つめるが…) ひゃう……っ//……//（拍手の音とともに押し寄せる快感に我慢できなくなり……) ご……ごめんなさい……許してください……(そのまま……土下座する…)  
(2019/4/29 03:21:38)

藤原妹紅 ◆> ありゃ、早いな降参が...。えっと、つまり催眠に負けたってこと？（と拍手を止めて手を構えたまま聞いて）   (2019/4/29 03:24:28)

チルノ> ぅ……催眠に…負けた……ってこと……（身構えた手を見ながらこくんとうなづく)   (2019/4/29 03:26:04)

藤原妹紅 ◆> ...ふふ、じゃあちゃんと自分はこの程度の催眠にも屈する最弱妖精って宣言しないとね？（パチリ、と耳元で小さな手を叩く音を聞かせて）   (2019/4/29 03:28:17)

チルノ> (ビクッと、音を聞いて身体をくねらせつつ……) あたいは………この程度の催眠にも屈しちゃう……最弱妖精です………（小さな声で…言う)   (2019/4/29 03:30:33)

藤原妹紅 ◆> ん、あんまり調子に乗るとこう言うことがあるから気をつけないとね？（と微笑みながらパァン！とクラップ音を響かせる）   (2019/4/29 03:32:01)

チルノ> ひゃうう…///（そのまま………恥ずかしい声を漏らしてしまいながら、ビクビクと身体を震わせる…)   (2019/4/29 03:35:32)

藤原妹紅 ◆> ほら、もっと必死に命乞いしないと続けちゃうよ？（パチパチパチ、と笑顔で手を叩く）   (2019/4/29 03:37:16)

