/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月26日 19時47分 ～ 2023年02月27日 07時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おきたう！   (2023/2/26 19:47:04)
後藤ひとり> 同じバンドです……ほ、ほら三玖さん呼ばれてますよ……(抱きしめられて背中もふにられて)   (2023/2/26 20:23:48)

絹川みちほ> 結束バンド、だったかな。また生演奏してもらおうかな？なんてね。皆入れるように寄ってくれてるんじゃないかな？   (2023/2/26 20:24:37)

後藤ひとり> 残りメンバー2人来れば……   (2023/2/26 20:26:50)

山田リョウ> そうですそうです、よくご存知で。いつでもいいですよ。…じゃあ、私も。（身体寄せつつ一緒に入り）   (2023/2/26 20:27:01)

山田リョウ> ぼっちには今後グラビア担当も兼任してもらうとして…とりあえずPV稼ぎを…（目に¥マーク浮かべつつ←）   (2023/2/26 20:29:03)

後藤ひとり> あの……そ、そういうのはキラキラしてる今居ないメンバーに頼みましょう………   (2023/2/26 20:30:25)

絹川みちほ> えっと、ひとりちゃんがギターで、リョウちゃんがベースとコーラス、だったかな？あとはドラムとギター、ボーカル、かな？（一糸まとわぬ姿で空いてる隙間に入ろうと）   (2023/2/26 20:30:25)

中野三玖 ◆> …(ひとりちゃんの背中からもみもみ…)   (2023/2/26 20:30:41)

後藤ひとり> ひゃんっ！？………♡(びく)   (2023/2/26 20:31:09)

絹川みちほ> ガヴリールちゃんは背後かな？   (2023/2/26 20:33:49)

中野三玖 ◆> ……♡(もみ…)   (2023/2/26 20:34:40)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、混ざるタイミングなくて見つめてるー   (2023/2/26 20:35:05)

絹川みちほ> まだ入れるからおいでよー   (2023/2/26 20:35:30)

後藤ひとり> んっ……♡んう……♡   (2023/2/26 20:36:53)

山田リョウ> けっこう知ってる人だ……（みちほさんに感心しつつ）…ぼっちはまだ自分の魅力に気付いてないだけ…（ぼっちの脇腹をつんつんしつつ）   (2023/2/26 20:41:19)

中野三玖 ◆> ……ふぅ…♡(耳の中に息を吹きかけて…♡)   (2023/2/26 20:41:34)

後藤ひとり> いやあの……胸が……あるだけ……この部屋だとそんな人山ほど……(耳と脇腹を弄られて顔を赤く)   (2023/2/26 20:42:41)

絹川みちほ> ひとりちゃんいる   (2023/2/26 20:43:19)

絹川みちほ> しっかり調べたからね、リョウちゃん。それにひとりちゃん、いい反応だねぇー♪（ふふっ、と微笑みながら見ていて）   (2023/2/26 20:44:02)

後藤ひとり> いますよ……はい   (2023/2/26 20:44:59)

山田リョウ> …ほほう。それは胸のない私には羨ましい話だ…。（ぼっちの耳元で息を吹きかけつつ、脇腹をくすぐって）   (2023/2/26 20:47:00)

絹川みちほ> 【ごめんねひとりちゃん、さっきのは打ち間違いの途中送信だよ】   (2023/2/26 20:47:27)

山田リョウ> ありがとうございます。…ギターだけじゃなくていい声で鳴きますよ。（一緒にどうですか？と話かけつつ）   (2023/2/26 20:49:03)

後藤ひとり> いやあの……もしかしたらリョウさんも明日には大きくなってるかも………(つつかれてくすぐったそうにして)   (2023/2/26 20:49:16)

後藤ひとり> 【あ、は、はい】   (2023/2/26 20:49:23)

中野三玖 ◆> (ちゅ…ちゅぅ……♡)   (2023/2/26 20:49:25)

絹川みちほ> ふふ…♪じゃあ私もつつこうかな？♪   (2023/2/26 20:50:41)

後藤ひとり> んっ……♡んうっ……♡   (2023/2/26 20:52:34)

山田リョウ> …ぼっちの胸を分けてもらって私のヌーブラにしよう。（耳をはむはむしつつ）   (2023/2/26 20:53:34)

後藤ひとり> 【あ、ご飯なのでお待ちを】   (2023/2/26 20:53:54)

絹川みちほ> 【ごゆっくりだよ】   (2023/2/26 20:54:20)

中野三玖 ◆> (後ろからひとりちゃんの唇をちゅ…ちゅう…)   (2023/2/26 20:54:38)

絹川みちほ> （ひとりちゃんのお腹をつんつん）   (2023/2/26 20:56:37)

山田リョウ> 【私もご飯いってきまーす】   (2023/2/26 20:59:01)

おしらせ> 山田リョウさんが退室しました。  (2023/2/26 20:59:19)

絹川みちほ> 【いってらっしゃい】   (2023/2/26 20:59:27)

中野三玖 ◆> 【私も…さーっと…シャワー行ってくるね】   (2023/2/26 21:01:20)

絹川みちほ> 【いってらっしゃい、私も洗濯物出来たから干してこよ】   (2023/2/26 21:02:36)

後藤ひとり> 【戻りました……】   (2023/2/26 21:14:41)

絹川みちほ> 【おかえりなさい、私も追加の用事がもう少しかかりそう…】   (2023/2/26 21:15:17)

後藤ひとり> 【お気にせず……今はおなかいっぱいなので】   (2023/2/26 21:17:31)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/2/26 21:25:18)

おしらせ> 無言時間が25分を超えたため、中野三玖 ◆WY5HuZnICQさんが自動退室しました。  (2023/2/26 21:26:28)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/2/26 21:28:22)

中野三玖 ◆> (ザバァ…)   (2023/2/26 21:28:38)

後藤ひとり> あ、おかえりです   (2023/2/26 21:32:36)

絹川みちほ> 【終わり……】   (2023/2/26 21:35:25)

後藤ひとり> お疲れ様です   (2023/2/26 21:35:35)

中野三玖 ◆> (ぎゅぅ……)ひとりちゃん   (2023/2/26 21:36:22)

中野三玖 ◆> ……苦しくない…？(ずっと抱きついてる)   (2023/2/26 21:36:43)

後藤ひとり> 苦しくないですよ………(にへら)   (2023/2/26 21:37:02)

中野三玖 ◆> ……(首元に口をつけて、ちゅぅ   (2023/2/26 21:39:31)

絹川みちほ> うんうん、やっぱりひとりちゃんも三玖ちゃんもかわいいね（ひとりちゃんに三玖ちゃんが抱きついているのを近くで見ていて）   (2023/2/26 21:39:39)

おしらせ> 山田リョウさんが入室しました♪  (2023/2/26 21:40:09)

山田リョウ> 【ただいま。】   (2023/2/26 21:40:40)

後藤ひとり> おかえりです   (2023/2/26 21:42:17)

絹川みちほ> 【リョウちゃんおかえりなさい】   (2023/2/26 21:42:40)

中野三玖 ◆> 【おかえり…】   (2023/2/26 21:43:30)

山田リョウ> …のぼせそう。先に身体洗うね。（少し熱くなってきたのか、額に汗を浮かべつつ、湯船から上がって）   (2023/2/26 21:44:56)

後藤ひとり> 私たちも上がります？   (2023/2/26 21:46:04)

中野三玖 ◆> ……ん……(こくこく)   (2023/2/26 21:47:09)

後藤ひとり> では……(ふらふら)   (2023/2/26 21:49:19)

山田リョウ> （スポンジにボディーソープを付けて、自分の腕や身体を洗い始めて）   (2023/2/26 21:50:21)

後藤ひとり> (ふきふき……)   (2023/2/26 21:50:34)

中野三玖 ◆> (首元にバスタオルを下げながら、適当に体を拭いて)   (2023/2/26 21:51:24)

絹川みちほ> （同じくボディータオルにボディーソープをつけて洗いはじめて）   (2023/2/26 21:52:12)

絹川みちほ> 私も上がって身体洗ってるよ   (2023/2/26 21:52:32)

後藤ひとり> 私も上がりますね   (2023/2/26 21:52:59)

山田リョウ> んっ…。（シャワーで泡を流し、髪を濡らすとシャンプーを泡立てて）   (2023/2/26 21:53:02)

後藤ひとり> (ボディーソープで体を洗い)   (2023/2/26 21:53:31)

中野三玖 ◆> …くぁぁ…(歯ブラシを片手に戻ってきつつ…)……(ボディソープを泡立てながら、シャカシャカと歯磨きも同時進行)   (2023/2/26 21:53:59)

絹川みちほ> ふふ…♪（身体を洗いながら皆のスタイルを一人ずつ見ていて）   (2023/2/26 21:54:15)

後藤ひとり> なんという効率……   (2023/2/26 21:54:17)

後藤ひとり> あ、見られてる………///(胸を手でかばい)   (2023/2/26 21:54:28)

山田リョウ> 器用な人がいる…。（チラ見しつつ、シャンプーの泡を流すと、髪にトリートメントを馴染ませて）   (2023/2/26 21:56:17)

中野三玖 ◆> ……(魔法の湯煙発動…！大事なところは隠れてくれる)   (2023/2/26 21:56:30)

絹川みちほ> あ……。むぅ、別にいいでしょ、女の子同士なんだし……（シャワーで身体の泡を洗い流しながら、皆のスタイルはどれも捨てがたいな、なんて思いながら見ていると、どうにかして隠そうとされて不機嫌に）   (2023/2/26 21:58:20)

中野三玖 ◆> (泡立ったボディソープを流すついでに、ぺっと…)気持ちいい…   (2023/2/26 21:59:57)

山田リョウ> ふぃー…。（トリートメントを洗い流すと、髪から水を滴らせつつ、ひと息ついて）   (2023/2/26 22:00:19)

後藤ひとり> も、もう、あ、上がりますよ！……(体を流しながら)   (2023/2/26 22:00:28)

絹川みちほ> あっ、ごめんって……（シャンプーをしているともう上がるという言葉が聞こえて、慌ててトリートメントに取り掛かって）   (2023/2/26 22:03:12)

中野三玖 ◆> (しゃんぷーわしゃわしゃ…みんなよりもちょっと遅れ気味)   (2023/2/26 22:03:28)

後藤ひとり> お、怒っては無いですよ(わたわた)   (2023/2/26 22:03:54)

山田リョウ> ん……先に上がるね。ごゆっくり。（髪の水気を軽く切ってから、一足先に脱衣場へ）   (2023/2/26 22:05:07)

後藤ひとり> わたしも……(体をタオルで吹いて)   (2023/2/26 22:05:39)

絹川みちほ> ん、そう、なの……よかった？…あっ、リョウちゃん終わりかな？（ひとりちゃんに言葉を返しつつ、トリートメントを終えて上がったリョウちゃんとひとりちゃんに声をかけて、器用に歯磨きとシャンプーを同時進行する三玖ちゃんを見ていて）  
(2023/2/26 22:05:54)

後藤ひとり> はい大丈夫です……(くて)   (2023/2/26 22:06:46)

中野三玖 ◆> (1人だけのこった。のんびりとシャンプーの泡を流して…)……ドライヤーしなくちゃ…   (2023/2/26 22:06:49)

山田リョウ> …ぼっち。髪拭いてあげる。（バスタオルを片手に）   (2023/2/26 22:07:54)

絹川みちほ> 三玖ちゃんも上がる？じゃあみんなで出たね。（トリートメントを流して身体をバスタオルで拭いていると、三玖ちゃんも出てきたのを見て、お風呂場の扉を締めて）   (2023/2/26 22:08:29)

後藤ひとり> あ、お、お願いします……(わくわけ)   (2023/2/26 22:08:41)

後藤ひとり> (わくわく)   (2023/2/26 22:08:45)

山田リョウ> ぼっちは髪も綺麗だなー…癖がなくて。（長い髪を優しく拭きながら）   (2023/2/26 22:09:54)

絹川みちほ> こうやってみんなでお風呂入るのもいいね。…はい、三玖ちゃんドライヤー。（頭にタオルを巻いてから三玖ちゃんに先にドライヤーを渡しつつ、ひとりちゃんとリョウちゃんの方も見ていて）   (2023/2/26 22:10:10)

中野三玖 ◆> (ドライヤー片手にバスタオルを床に落として。)……(お母さん譲りの長い茶色の髪を乾かしはじめて)   (2023/2/26 22:10:37)

山田リョウ> 賑やかくていいですよね。（うん、とみちほさんの言葉に頷きつつ）   (2023/2/26 22:11:17)

後藤ひとり> 普通の髪の毛ですよ……はい……(眺められながらも)   (2023/2/26 22:12:39)

絹川みちほ> そうだねリョウちゃん、また皆で入りたい、かな。私。（身体を拭いてからそっと髪も拭きつつ、リョウちゃんのほうに言葉を返して）   (2023/2/26 22:12:51)

後藤ひとり> お風呂も楽しいですよね   (2023/2/26 22:13:54)

絹川みちほ> そうだね、ひとりちゃん。三玖ちゃんはどうかな？   (2023/2/26 22:14:15)

山田リョウ> ん…今度は私のも拭いて。（ぼっちの髪を拭き終えると、バスタオル手渡して）   (2023/2/26 22:15:13)

中野三玖 ◆> ……賑やかなのもいいって思う   (2023/2/26 22:15:45)

絹川みちほ> それはよかったよ、三玖ちゃんっ   (2023/2/26 22:16:15)

後藤ひとり> 分かりました……(リョウさんの服をふきふき)   (2023/2/26 22:17:10)

山田リョウ> ……ふふ。ありがと。（髪を拭いてもらいながら）   (2023/2/26 22:18:44)

後藤ひとり> はい……(髪にドライヤーをかけて)   (2023/2/26 22:18:58)

中野三玖 ◆> (ちょっと大きめの長袖ワイシャツを一枚羽織って)じゃあ、リビングにいるから…   (2023/2/26 22:19:09)

後藤ひとり> あ、行ってらっしゃいです   (2023/2/26 22:19:46)

絹川みちほ> いってらっしゃい、三玖ちゃん。（私もドライヤーをかけながら）   (2023/2/26 22:20:28)

山田リョウ> いってらっしゃい。…さっぱりしたね。（三玖さんを見送りつつ、ドライヤーで髪を乾かして）   (2023/2/26 22:23:51)

中野三玖 ◆> ……(こそこそとアイスを冷凍庫から取り出して)   (2023/2/26 22:24:28)

後藤ひとり> 私たちもリビングへ……   (2023/2/26 22:24:43)

絹川みちほ> 私達も終わったらリビング行こっか。   (2023/2/26 22:26:20)

中野三玖 ◆> (バニラバーを口に咥えて…)   (2023/2/26 22:26:21)

後藤ひとり> (ガリガリ君はむ)   (2023/2/26 22:27:33)

山田リョウ> そうだね。行こっか。（髪を乾かし終えると、2人にこくんと頷いて。Tシャツとハーフパンツに着替えて）   (2023/2/26 22:27:51)

中野三玖 ◆> (ぽたっ…ぽた…)…ん……おかえり   (2023/2/26 22:28:34)

絹川みちほ> うん、リビングでゆったりしよ。（先に行ったひとりちゃんを見送りつつ、リョウちゃんに続いて白いパジャマに着替えて）   (2023/2/26 22:29:00)

山田リョウ> あっ、いいなー……私も食べよ。（アイス食べる2人を眺めながら、冷蔵庫へ向かって）   (2023/2/26 22:29:36)

後藤ひとり> ただいまです…(ソファに座り)   (2023/2/26 22:31:02)

中野三玖 ◆> (…美味しい)   (2023/2/26 22:31:30)

山田リョウ> みちほさんは何食べますか？（冷蔵庫から、ホームランバーとガリガリ君を取り出し）   (2023/2/26 22:32:18)

絹川みちほ> あっ、私も食べたいな。…うーん、じゃあ私もホームランバーほしいな。（先にリビングでアイスを食べてる二人を見ていると、リョウちゃんがアイスを出してくれたので、食べたいのをお願いして）   (2023/2/26 22:33:44)

中野三玖 ◆> ……(mgmg)   (2023/2/26 22:34:23)

後藤ひとり> (はむはむ)   (2023/2/26 22:34:56)

中野三玖 ◆> (アイスを食べ終わってから、ゴミをゴミ箱に)   (2023/2/26 22:36:46)

後藤ひとり> (ソファにどてり)   (2023/2/26 22:37:07)

山田リョウ> はい、どうぞ。（冷蔵庫の扉を閉めて、みちほさんにホームランバーを手渡すと、ガリガリ君の包みを開けてソファに座り）…お風呂上がりのアイスって贅沢。最高。（はむはむ）   (2023/2/26 22:38:49)

中野三玖 ◆> (ひとりちゃんをツンツン)   (2023/2/26 22:39:00)

後藤ひとり> ど、どうしました？   (2023/2/26 22:39:07)

中野三玖 ◆> …いきてた   (2023/2/26 22:42:00)

絹川みちほ> ありがと、リョウちゃん。そうだね、お風呂上がりのアイス、最高だなぁ……（ホームランバーを受け取ると、そっとリョウちゃんの隣に座ろうとして）   (2023/2/26 22:42:10)

後藤ひとり> 殺さないで！？   (2023/2/26 22:42:20)

中野三玖 ◆> …ふふ(つんつん)   (2023/2/26 22:42:55)

後藤ひとり> も、もう……(むにむに)   (2023/2/26 22:43:02)

中野三玖 ◆> んッ…   (2023/2/26 22:47:18)

後藤ひとり> (ほっぺたをつんつん)   (2023/2/26 22:48:39)

山田リョウ> ふふ…お2人は仲のいいことで。（向かいのソファのぼっちと三玖さんをを見ながら、みちほさんの座るスペースを空けて）   (2023/2/26 22:49:25)

後藤ひとり> え、えへへ、2人も仲良さそうです   (2023/2/26 22:49:43)

中野三玖 ◆> (裸ワイシャツ)   (2023/2/26 22:54:10)

後藤ひとり> (じー)   (2023/2/26 22:54:25)

絹川みちほ> ありがと、リョウちゃん。そうだね、仲いいよね。（ホームランバー片手にリョウちゃんが空けてくれたスペースにそっと座って、リョウちゃんにそっとくっつこうとして）   (2023/2/26 22:55:24)

中野三玖 ◆> ……(視線を感じながら)   (2023/2/26 22:56:53)

後藤ひとり> (お胸つんつん)   (2023/2/26 22:57:23)

山田リョウ> 食べさせっこ、します？　ガリガリ君は難易度高そうですけど。（隣に座ったみちほさんに身体を寄せながら、自分の食べていたガリガリ君の先をみちほさんに向けつつ）   (2023/2/26 22:58:49)

絹川みちほ> いいねリョウちゃん。…たしかにガリガリ君は難しそうだね。ちょっとずつかじるしかないかな…？（お互いに身体を寄せ合いながら、リョウちゃんの差し出すガリガリ君の先に口を持って言って、なるべく落とさないように歯先で削るように少しずつかじっていく）  
(2023/2/26 23:04:00)

山田リョウ> 自分で食べてても落としそうになる時ありますからね。…んっ。（なるべく落とさないように、みちほさんの口の前でガリガリ君を持ちながら、食べる様子を眺めて）   (2023/2/26 23:07:07)

中野三玖 ◆> (胸をツンツンされてはすこしびくりっ…♡)   (2023/2/26 23:08:21)

後藤ひとり> 相変わらず柔らかい旨ですね……えいっ……♡(柔らかい乳房を揉んだり乳首を指で弄ったりして)   (2023/2/26 23:09:43)

絹川みちほ> そうそう、あんまり食べてないのに落としたら最悪だよね……んん、やっぱりおいしいなあ。次はリョウちゃんも、ね？（私の口の前でアイスをキープしてくれてるリョウちゃんに言葉を返しつつ…私のも食べる？と言いながら自分のホームランバーをリョウちゃんのほうに）
  (2023/2/26 23:11:08)

中野三玖 ◆> んっ……♡ぅ…？♡ひとり…ちゃん、…♡   (2023/2/26 23:11:41)

後藤ひとり> どうかされましたか？……♡三玖さんがそんなに姿なのが悪いんですよ……♡(ワイシャツの上からくっきり見える胸をつんつんふにふに)   (2023/2/26 23:13:30)

山田リョウ> 氷からシャーベットに変わる部分と、棒の付近が難しいんですよね……はい、いただきます。（こく、と頷くと口の前に差し出されたホームランバーをひと口あむ、と食べて）…一緒に食べたら口の中でクリームソーダできそう。   (2023/2/26
23:15:00)

中野三玖 ◆> ……ぁっ…ぅ…ん…♡(ぞくっ…♡)   (2023/2/26 23:19:35)

後藤ひとり> んちゅ……♡はむ……♡(ワイシャツの上から乳首を甘噛み)   (2023/2/26 23:19:49)

絹川みちほ> そうそう、大体その辺りが鬼門だよね。……ふふっ、そうだね。ソーダとバニラアイスでクリームソーダだね。（美味しそうに食べてるリョウちゃんを微笑ましく見ていて）   (2023/2/26 23:23:35)

中野三玖 ◆> んっ…ぅ……はぁ…♡ひとりちゃん…♡   (2023/2/26 23:31:46)

山田リョウ> …ん、美味しいです。（ホームランバーを口に含みつつ、自分のガリガリ君も一口食べて。口の周りに付いたバニラアイスを指先で軽く拭うと、唇で指をちろっと舐めて）   (2023/2/26 23:31:54)

後藤ひとり> 三玖さん……♡(抱きしめて愛おしそうにすりすり)   (2023/2/26 23:33:29)

絹川みちほ> ふふっ、おいしいよね。リョウちゃんと二人で食べてるから、もっとおいしい…かな？（わたしも真似してガリガリ君を少しもらってからホームランバーを食べて。口の周りに付いたアイスを拭った指を舐めてるリョウちゃんの頬をそっと軽く突いてみて）  
(2023/2/26 23:35:57)

中野三玖 ◆> …うっ……ぅぅん…♡(うっすらと内股気味になりつつ…♡!   (2023/2/26 23:36:48)

後藤ひとり> もっとしてもいいですか？……♡   (2023/2/26 23:38:28)

中野三玖 ◆> …うんっ……♡ひとりちゃんなら…いいよ♡   (2023/2/26 23:40:23)

後藤ひとり> 良かった……♡(そういうと股間に指を入れて)   (2023/2/26 23:41:09)

山田リョウ> …んっ…なんか恋人ごっこみたいじゃないですか、これ。（真似して一緒に食べているみちほさんを見ながら、頬を突かれて。少し照れくさいのか目を伏せつつ）…あっちはまぁ…いっか。うん。（向かいのソファをチラ見して←）   (2023/2/26
23:45:49)

後藤ひとり> あ、す、すいません……()   (2023/2/26 23:47:08)

中野三玖 ◆> …ふあぅっ………♡ぅぁ…♡   (2023/2/26 23:47:22)

山田リョウ> いいよ気にしなくて。続けなよ。（手をひらひら）   (2023/2/26 23:49:28)

後藤ひとり> 濡れてる……♡かわいい……♡(くちゅ…)   (2023/2/26 23:49:35)

絹川みちほ> んっ…たしかに、それっぽいね。でもリョウちゃんとの距離が縮まった気がするから私は嬉しい、かな。（私も少し頬を染めつつ、同じく照れくさそうにするリョウちゃんに向けてそっと微笑んでみて）そうだね、ひとりちゃんと三玖ちゃんにはそのまま続けてもらおっか。
  (2023/2/26 23:50:15)

中野三玖 ◆> …さわって…さわって…♡   (2023/2/26 23:57:39)

後藤ひとり> もちろんですよ……♡(そう言うと指を入れては何度も抜き差しして)   (2023/2/26 23:58:49)

中野三玖 ◆> …んぁ…ぁぁっ……♡   (2023/2/27 00:00:51)

山田リョウ> …優しくしないでくださいよ。なんか…その、恥ずいんで。（距離を意識してしまうとこちらまで赤くなってしまって、髪で目を隠すように）…すみません、眠いんでそろそろ行きますね。おやすみなさい。（ソファから立ち上がると、ぺこりと頭を下げつつ）  
(2023/2/27 00:02:24)

おしらせ> 山田リョウさんが退室しました。  (2023/2/27 00:03:02)

後藤ひとり> 逝ってもいいですからね……♡(ゆびをぬぷぬぷと)   (2023/2/27 00:03:29)

絹川みちほ> おやすみ、リョウちゃん。ふふ、可愛いな。また会おうね。（照れた表情でソファから立ち上がってリビングから出ていくリョウちゃんを見送って）   (2023/2/27 00:04:36)

中野三玖 ◆> …まらぁ……♡(こしをへこへこ…♡軽く浮かせちゃいながら…♡)   (2023/2/27 00:05:47)

後藤ひとり> でも感じちゃってます……♡かわいい……♡(指を掻き回したり出し入れしたりして)   (2023/2/27 00:07:16)

中野三玖 ◆> …ふーっ…ぅっっ…♡(着替えたてのふくなのに…♡)   (2023/2/27 00:08:30)

後藤ひとり> ほら……♡もっと声とか出して欲しいです……♡(くちゅ……♡ぬちゅ……♡)   (2023/2/27 00:11:59)

中野三玖 ◆> でもっ…ぁ…はずかしい……♡   (2023/2/27 00:14:02)

後藤ひとり> じゃあ……♡一気にして恥ずかしい思いさせるまでもなくしてあげますね……♡(指を2本掻き回して)   (2023/2/27 00:18:39)

中野三玖 ◆> 〜っ♡///(びくんっ……♡♡)…ひとりちゃんっ…♡ふぅ…♡すき…すきっ…♡♡   (2023/2/27 00:19:49)

後藤ひとり> 私も好きです……♡眠気は大丈夫ですか？……♡(達した三玖さん撫でて)   (2023/2/27 00:23:16)

後藤ひとり> (みちほさんも布団をかけて)   (2023/2/27 00:23:22)

中野三玖 ◆> ……♡♡そろそろねないと…♡♡   (2023/2/27 00:24:32)

絹川みちほ> ふぁ……ありがと、ひとりちゃん（二人を眺めているうちにうとうとしてしまってて）   (2023/2/27 00:24:37)

後藤ひとり> 2人とも寝ていいですよ……♡(よしよし)   (2023/2/27 00:24:56)

中野三玖 ◆> …んっ…ならおやすみ♡(ちゅーっ…♡♡♡)   (2023/2/27 00:26:37)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/2/27 00:26:41)

後藤ひとり> お疲れ様でした……♡   (2023/2/27 00:27:05)

絹川みちほ> んん、ごめんねひとりちゃん。もう少し一緒に居たいけど、私も寝るね。（寝る前にそっと擦り寄って）   (2023/2/27 00:27:56)

後藤ひとり> 大丈夫ですよ……夜も遅いですし……♡(すりすり)構ってあげれずすいません   (2023/2/27 00:29:05)

