チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月24日 22時20分 ～ 2023年06月29日 00時21分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> う、うん…じゃ、じゃあ…//   (2023/6/24 22:20:49)
朝倉可憐> 夜間の任務をしているのね……お疲れ様。（こく   (2023/6/25 01:36:30)

白峯理沙 ◆> あはは、ありがと〜。(頷かれると笑顔を向けて   (2023/6/25 01:37:08)

朝倉可憐> 暗いところでの作業とかは大変。私も覚えあるし…生活リズムとか、お肌とかに気をつけてね。   (2023/6/25 01:37:42)

白峯理沙 ◆> 心配してくれるの嬉しいかなぁ〜。生活リズムは最近崩れてきちゃってるけどね…(深いため息をついてしまい   (2023/6/25 01:39:00)

朝倉可憐> 私も崩れがちだから、気をつけようね……本当にお肌とか…（はふ…   (2023/6/25 01:39:29)

白峯理沙 ◆> そうだね〜…。リズム崩れると色々辛いし…。そろそろ私はお風呂とか行きたいから落ちちゃうね…。また来れたら来るよ〜(バイバイと手を振って部屋を出ていき)【風呂落ちとか明日少し早いのでお暇します。お相手感謝でした〜】   (2023/6/25
01:43:11)

おしらせ> 白峯理沙 ◆QkvgbqiYg2さんが退室しました。  (2023/6/25 01:43:23)

朝倉可憐> おつかれさま、来てくれて嬉しかった。   (2023/6/25 01:44:44)

朝倉可憐> うぅ…そろそろねないと…（くしくし   (2023/6/25 02:01:12)

おしらせ> 朝倉可憐さんが退室しました。  (2023/6/25 02:06:21)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/6/25 02:50:27)

後藤ひとり> こん   (2023/6/25 02:50:29)

おしらせ> 後藤ひとりさんが退室しました。  (2023/6/25 02:50:39)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/6/25 02:55:31)

後藤ひとり> 他窓衣乃死ね   (2023/6/25 02:55:35)

後藤ひとり> 私を見習え   (2023/6/25 02:55:44)

おしらせ> 後藤ひとりさんが退室しました。  (2023/6/25 02:55:45)

おしらせ> 名無しさんが入室しました♪  (2023/6/25 03:05:21)

名無し> お前は何も特別じゃないんだから 大人しくくたばってろよ凡夫のデブニートが🤣🤣🤣   (2023/6/25 03:05:33)

名無し> 死ね後藤ひとり😂😂😂   (2023/6/25 03:05:52)

おしらせ> 名無しさんが退室しました。  (2023/6/25 03:05:57)

おしらせ> 後藤ひとり(笑)さんが入室しました♪  (2023/6/25 03:08:39)

後藤ひとり(笑)> お、おお落ち着、落ち着いてw   (2023/6/25 03:09:01)

後藤ひとり(笑)> しょしょしょ承認欲求がぁwﾈｶﾏﾁﾝﾎﾟ抜き抜き欲求モンスターが生まれっぢゃうううううううっwww   (2023/6/25 03:09:26)

おしらせ> 後藤ひとり(笑)さんが退室しました。  (2023/6/25 03:09:33)

おしらせ> 名無しさんが入室しました♪  (2023/6/25 03:26:53)

名無し> にしてもなんで反論せず帰っていったんだろう…？🤔   (2023/6/25 03:27:06)

名無し> あ、クソミーハーなのもデブニートなのも作品を何も理解出来てないクズ以下の役にも立たない百合モクなのも何もかも事実だからか；；   (2023/6/25 03:27:10)

名無し> 実際個室でバケモンのネカマ仲間に 「私頑張るか頑張らないかのどっちかしか出来ない両極端な子なのぉ…＞＜ 今日も休むか迷ってるの…＞＜」って零してたもんな；；   (2023/6/25 03:27:23)

名無し> いや死ねよ社会のお荷物が😂😂😂   (2023/6/25 03:27:39)

おしらせ> 名無しさんが退室しました。  (2023/6/25 03:27:45)

おしらせ> 名無しさんが入室しました♪  (2023/6/25 03:28:34)

名無し> 仕事でもプライベートでも他人様に迷惑掛けて生きてんじゃねえよゴミ虫がwww   (2023/6/25 03:28:36)

名無し> 塵藤独り；；   (2023/6/25 03:29:05)

おしらせ> 名無しさんが退室しました。  (2023/6/25 03:29:08)

おしらせ> 名無しさんが入室しました♪  (2023/6/25 03:45:42)

名無し> 調べてみたけど今3番の部屋に居る千束色盲で草   (2023/6/25 03:46:06)

名無し> このネカマのバケモン専用部屋障害者しか来ないのな；；   (2023/6/25 03:46:33)

おしらせ> 名無しさんが退室しました。  (2023/6/25 03:46:50)

おしらせ> 名無しさんが入室しました♪  (2023/6/25 03:49:02)

名無し> おい色盲千束。RGBのRって解るか？わかんねぇだろうなぁw色盲フィルター掛けたら千束の着てる赤い制服もお前の名前の文字も似たような色になるもんなwww   (2023/6/25 03:49:06)

名無し> 😂😂😂   (2023/6/25 03:49:15)

おしらせ> 名無しさんが退室しました。  (2023/6/25 03:49:23)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/25 07:31:37)

おしらせ> 京町セイカさんが入室しました♪  (2023/6/25 07:34:09)

おしらせ> 無名さんが入室しました♪  (2023/6/25 07:34:18)

京町セイカ> おはようー！ちょっとだけ顔出し   (2023/6/25 07:35:51)

廣井きくり ◆> はーっ…♡あー！朝まで飲み明かすぞって思ってたらほんとに朝になってる〜♪あはははっ♪（いつも通り悪酔い中、目の下にクマを作りながら朝日を見てけたけた笑って）   (2023/6/25 07:38:10)

無名> おはよう。私も顔出し   (2023/6/25 07:38:11)

廣井きくり ◆> おはよー♪二人共朝早いねー？もしかして私と同じで徹夜…？あははははっ♪//（話した後に逐一笑う酔っ払いムーブをしながら二人に挨拶をして）   (2023/6/25 07:40:20)

京町セイカ> 無名ちゃんもきくりちゃんとおはよ、徹夜！？   (2023/6/25 07:41:07)

無名> いやぁ私、昨日カバネと戦ったりしちゃったから快眠できたんだよね。良い朝だよ！   (2023/6/25 07:41:24)

廣井きくり ◆> うん、正確には意識を失って三十分後に起きてを何回か繰り返してるけど……なんかさぁ、眠いはずなのにテンションは上がっちゃうんだよねっ♪//（テンション高めにセイカちゃんに絡んで肩を並べたりして）   (2023/6/25 07:43:56)

京町セイカ> もー！私も昨夜はちょっと夜更かししたから人のこと言えないけどあまり無理しちゃダメよー？(からみ酒しはじめるきくりちゃんの肩をだいて)   (2023/6/25 07:45:03)

廣井きくり ◆> それって…運動したってことぉ…？カバネっていうのは怪物か何かかな……すごいなー、私が出ていったら瞬殺されちゃいそうだぁー♪//（お酒の匂いを放ちながら話すと知らない言葉が出てきたことに興味を示して）   (2023/6/25
07:46:52)

無名> 怪物...うんそうだよ。あれは人を食べて生きているからね。大丈夫、そうならない様に私がいるからカバネに遭遇したら助けに行くよっ（朝からこの匂いするの初めて...となりながらカバネの話をする）   (2023/6/25 07:49:38)

廣井きくり ◆> えへへー、夜更かししたんだぁ？セイカちゃんも私と同じだ〜♡//……もしかして…私以外の人とエッチなことしてたりとかー？（肩を抱いて貰ってセイカちゃんを見つめながら、まさかね…って、笑っていてもどこか影のある表情で）   (2023/6/25
07:49:55)

京町セイカ> ……っ！   (2023/6/25 07:50:34)

廣井きくり ◆> 【セイカちゃん、これ演出だからねー♪】   (2023/6/25 07:50:45)

京町セイカ> 【うう……はい…】   (2023/6/25 07:51:06)

京町セイカ> えーと、あのー…お、お酒！お酒飲んでただけだから…//   (2023/6/25 07:54:33)

廣井きくり
◆> ええっ、人を食べて生きる怪物…そんなのがこの辺をうろついてるの？怖いなぁ…しばらく公園で飲むのはやめとこ…。えへへっ、ありがと〜♪//あっ…もしかして、無名ちゃんはそれを取り締まってる警察官とかなの？//（流石に恐怖を覚えたみたいで昨日無防備に外に出てた事を思い返して体を震わせながら自分の両腕を抱いて）
  (2023/6/25 07:56:15)

おしらせ> 絹川みちほさんが入室しました♪  (2023/6/25 07:56:47)

絹川みちほ> おはよう……久々に顔出しかな〜   (2023/6/25 07:57:23)

京町セイカ> あ、みちほちゃん久しぶり   (2023/6/25 07:57:55)

絹川みちほ> 久しぶりだねー   (2023/6/25 07:58:19)

廣井きくり ◆> あっ、そうだったんだー♪//えへへ…セイカちゃんには私っていう恋人がいるんだもん、簡単に他の人になびいたりするわけないよね？疑ったりしてごめんね…//（慌てた様子を見てあれ？って思いながらも、セイカちゃんを信じなきゃって思って更に肩を寄せて）
  (2023/6/25 07:59:12)

無名> 普通に私たちのいるところはうろついているね...私は警察官じゃないんだけど甲鉄城ってのに乗って生駒たちとそのカバネと日々戦っているんだ（大丈夫大丈夫！私がいるから！と励ましの声をかける）   (2023/6/25 08:00:03)

京町セイカ> う、うんうん！そう、そうだよ？あははは…(きくりちゃんの追求にちょっと目を逸らしつつ)   (2023/6/25 08:00:26)

絹川みちほ> あたしの世界もまあまあ危険な世界だけど、無名ちゃんの世界は本当に危険そうだよね…   (2023/6/25 08:00:28)

無名> あ、おはよう   (2023/6/25 08:00:42)

京町セイカ> みちほちゃんとこは直球の化け物とかじゃないから少し身近なのが怖いのよね   (2023/6/25 08:01:10)

絹川みちほ> おはよう、無名ちゃん。この前は零余子ちゃんをありがとうね〜   (2023/6/25 08:01:18)

無名> 零余子と話すの凄い楽しかった！私の方こそありがとね   (2023/6/25 08:01:57)

廣井きくり ◆> はじめまして、おはよー♪みんな危険な世界で生きてるんだね…あははっ、もしホラーな世界なら私は一番最初に死ぬ役だ〜♪   (2023/6/25 08:02:07)

絹川みちほ> そうそう、所謂怪異、幽霊っていった存在がいるからね。本当に身近な怪談、怪奇現象ってやつだね、セイカちゃん   (2023/6/25 08:03:19)

絹川みちほ> はじめまして、きくりさん。あたしは絹川みちほです。よろしくね〜。　あはは、あたしはホラーゲーム出身だからね〜   (2023/6/25 08:04:47)

絹川みちほ> えへへ、零余子ちゃんも楽しかったって言ってたよ〜、これからもあたし共々よろしくね、無名ちゃん   (2023/6/25 08:05:31)

廣井きくり
◆> だよねぇ〜♪あはははっ//……あの……セイカちゃん…。私、昨日ね……実は…先輩の家で……。（これは話しておかなきゃいけないこと…例えセイカちゃんを傷つけることになっても……。そう思ってもセイカちゃんの顔を見るとどうしても勇気が出なくなって）あ…ごめんっ、やっぱりなんでもないや…♪//
  (2023/6/25 08:06:12)

無名> うんっ。よろしくねみちほ   (2023/6/25 08:06:22)

京町セイカ> …？きくりちゃん？どしたの？   (2023/6/25 08:06:48)

絹川みちほ> よろしくね〜（無名ちゃんに笑顔を向けて）   (2023/6/25 08:06:52)

廣井きくり ◆> 化け物と戦う甲鉄城？えへへぇ、すごいなぁ…私も乗ってみたい♪//あっ、でも飲酒運転になっちゃうか〜//（心強い励ましの声に元気を取り戻しながら）   (2023/6/25 08:10:34)

無名> 私は後ろなただ乗ってるだけだから運転してないんだよね。きくりも後ろに乗ったら飲酒運転にはならないかも？（きくりが乗ったらどうなるか？と予想する）おっと...生駒が呼んでるし私もう行くね。またねっ   (2023/6/25 08:12:39)

おしらせ> 無名さんが退室しました。  (2023/6/25 08:12:40)

京町セイカ> またねー！   (2023/6/25 08:12:55)

絹川みちほ> いってらっしゃい   (2023/6/25 08:13:02)

廣井きくり ◆> うん、私は廣井きくりだよ♪よろしくねぇ♪ホラーな世界なんだ……この辺でも花嫁のおばけとか、体のパーツがが動物になってる先生の噂とかは聞いたことあるなぁ…//   (2023/6/25 08:13:09)

絹川みちほ> きくりさんも聞いたことあるんだ……あたしも先生からその話聞いてるよ〜。先生が過去に対峙したらしいからね〜   (2023/6/25 08:15:09)

廣井きくり ◆> 本当になんでもないよ//セイカちゃん…約束した初めてってさぁ、例えばオモチャとかで失くしちゃった場合はどうなるの…？（セイカちゃんの質問を全力で誤魔化してから恐る恐る聞いて）   (2023/6/25 08:16:25)

京町セイカ> うーん…そうだなぁ…私もそういうの憧れてたからさ！きくりちゃんが受け入れてくれるなら嬉しいけど！(ちょっと的外れな回答を笑顔で伝えて)   (2023/6/25 08:18:25)

京町セイカ> …きくりちゃんちょっと変よ？酔いが回ってきた？(四つ這いできくりちゃんに近づくと顔を間近に近づけて)   (2023/6/25 08:19:05)

廣井きくり ◆> じゃあその先生が過去にもうやっつけてくれたのかな？深夜の電話ボックスとか避けて歩いてたけど、もしそうならもう心配しなくて良いんだ〜♪//   (2023/6/25 08:19:40)

廣井きくり ◆> 【シビトマギレ…もう発売してたんだ…。死印をプレイし終わった時に絶対買うって決めてたのに忘れてたなんて…。気づかせてくれてありがとー！】   (2023/6/25 08:22:15)

絹川みちほ> あくまでも始めてっていうのは、セッ○ス、つまり性行為をした始めてになるから、厳密には玩具とかはそれに当たらないからノーカンなんだよね……（そっと耳打ち）   (2023/6/25 08:22:49)

絹川みちほ> うんうん、やっつけてくれたよ。だからもう大丈夫だよ〜、今はあたしの通う学園での怪異現象に対応してくれてるね〜【発売してますよ〜是非是非遊んでくださいね。知ってる人に会えて嬉しいです】   (2023/6/25 08:25:00)

廣井きくり ◆> あっ、興味あるんだぁ？//いいよー、私を縛ってオモチャで思いっきり犯してね♡昨日先輩がしたみたいに…♪（聞こうと思ってた事とはちょっと違ったけど、話に乗って楽しそうに話していくと大きな暴露をしてしまった事にも気づかなくて）  
(2023/6/25 08:26:20)

京町セイカ> ………え？(さあっと血の気が引くのを感じて目が丸くなる…)   (2023/6/25 08:27:30)

京町セイカ> 【ちなみに…本当に誰かとしたやつ？】   (2023/6/25 08:27:47)

廣井きくり ◆> ひゃっ//だ…大丈夫〜♪//（近くにあるセイカちゃん顔にドキッとして大げさに後ろに倒れるとセイカちゃんに押し倒されるみたいな格好になって）   (2023/6/25 08:27:55)

絹川みちほ> ん〜……？   (2023/6/25 08:28:06)

廣井きくり ◆> 今度は学校で怪奇現象が起きてるんだ…？必ず行かなきゃいけない場所がそんな事になってるなんて怖いね…//もし通いたくなくなったらベース教えてあげるからバンドマンになろーよぉ♪   (2023/6/25 08:31:17)

廣井きくり ◆> あ…っ……。（しまったと思って口に手をあてて、怒ってないかなってセイカちゃんの顔を恐る恐る見て）   (2023/6/25 08:32:34)

廣井きくり ◆> 【演出だよ〜♪もしセイカちゃんがそうして欲しいなら誰かに犯されてくるけど…♡】   (2023/6/25 08:33:35)

絹川みちほ> そうそう、怖いもの見たさ…って感じもあるけど、やっぱり怖いからね。先生（主人公）に期待してるかな。あたしも手伝える事は手伝うよ〜   (2023/6/25 08:35:37)

絹川みちほ> ベース、その時はよろしくお願いしますね   (2023/6/25 08:36:15)

京町セイカ> ………っ(少し泣きそうだけど穏やかな笑顔できくりちゃんを見て…)そっか…きくりちゃんから、お願いしたの？   (2023/6/25 08:36:32)

京町セイカ> 【そうして欲しいわけじゃないけど…もしそうだったら、ドキドキしたかも♡】   (2023/6/25 08:37:05)

絹川みちほ> 二人共尊いね〜羨ましいな〜   (2023/6/25 08:37:20)

廣井きくり ◆> 【みちほちゃんを巻き込んじゃってるけど、こういうプレイなだけだから期にしないでねー？//あとセイカちゃんの独占とかしないから、全然手を出したり混ざったりしていいよー♪】   (2023/6/25 08:40:15)

絹川みちほ> 【なるほどね〜了解しましたー】   (2023/6/25 08:41:08)

おしらせ> 桜衣乃さんが入室しました♪  (2023/6/25 08:41:24)

京町セイカ> 【ふええ…きくりちゃんが…きくりちゃんがぁ…】   (2023/6/25 08:41:59)

京町セイカ> 【あ、30分くらいに抜けないといけないからあまりちゃんとはできないけど…今夜とか大丈夫？きくりちゃん】   (2023/6/25 08:42:29)

桜衣乃> 【ご連絡〜　2階と3階の合言葉制を解除しました〜　みなさんにはご迷惑をおかけして申し訳ございません〜】   (2023/6/25 08:42:37)

おしらせ> 桜衣乃さんが退室しました。  (2023/6/25 08:43:32)

廣井きくり ◆> なるほど、じゃあ今は解決してもらってる途中って感じなんだー？先生かぁ…やっぱり霊能者で片手が鬼になったりしてる感じ？//うん、いつでも教えたげるからね♪   (2023/6/25 08:43:48)

京町セイカ> 【お疲れ様、イノちゃん】   (2023/6/25 08:43:52)

絹川みちほ> 【お疲れ様だね、衣乃ちゃん】   (2023/6/25 08:47:24)

廣井きくり
◆> えっと……違くて…。多分勘違いだけど…先輩がぼっちちゃんに嫌われたと思ったらしくて落ち込んでて……私、軽口で言っちゃったんだ…。女子高生に手を出すとかヤバイですって〜♪私とかPAさんを犯して我慢しとけばいいじゃないですかーっ♪って……。（明らかに我慢してるセイカちゃんを見てると辛くて、歯切れ悪く言いながら視線を下に落として）
  (2023/6/25 08:48:30)

廣井きくり ◆> 【お疲れさまー♪】   (2023/6/25 08:49:09)

絹川みちほ> それはまた別のアニメになっちゃうかなあ…。楽器は気になってたから楽しみ。　どうなるかは、是非是非きくりちゃん自身がシビトマギレの世界を楽しんで見届けてほしいな。   (2023/6/25 08:50:06)

京町セイカ> ……ふーん♡そっか(ニヤリと笑って答えながら)私を犯してって…言ったんだ♡…まぁ、私も昨夜はエッチしてたし…きくりちゃんのことはいえない…かな？(押し倒した姿勢で意地悪言いながら…唇重ねて吐息を送り込む)   (2023/6/25
08:50:25)

廣井きくり ◆> 【えー？今はドキドキしてないの？//今夜は時間があるかどうかはまだわからないけど、何時頃がいいのかな？//】   (2023/6/25 08:51:14)

京町セイカ> 【してるっしてるよっ！多分9時暗いならって感じだからもし大丈夫そうだったら声かけてね】   (2023/6/25 08:52:41)

絹川みちほ> （ふふっ、と笑いながら二人を見つめて）   (2023/6/25 08:52:50)

廣井きくり
◆> えっ…そんな…。やだっ…やだよ……セイカちゃんが私以外の誰かとなんて…。あうぅ…。……ん//ふぅ…うぅ…//（絶望して泣きそうな顔になるけどセイカちゃんの事を責めれる立場じゃないしただ狼狽える事しかできなくて、そこに突然のキスをされて吐息を送り込まれると頭はクラクラで熱くなって、もう何も言えなくなっちゃう♡）
  (2023/6/25 08:56:32)

廣井きくり ◆> 【わかったよー、もし来れたらくるね♪】   (2023/6/25 08:57:14)

京町セイカ> 今もみちほちゃんとばっかりお話ししちゃって…？この後誘っちゃうのかな？…おもちゃでかき回してもらっちゃうのかな…？でも、私も…昨夜はいっぱいイっちゃったし…ね？(微かな笑い声が混ざる囁き声を耳打ちして)   (2023/6/25
08:58:30)

廣井きくり ◆> よーし、わかったぁ…！じゃあ先輩に土下座してお金借りて、すぐにお店に行ってくるね〜♪えへへ…楽しみ〜♪百鬼夜行とかの伏線がどんな風に回収されてるんだろ…//   (2023/6/25 08:59:31)

廣井きくり ◆> 【セイカちゃんが用事があって混ざれないのに私がみちほちゃんに犯してもらったら…セイカちゃんすごく興奮してくれそう…♡】   (2023/6/25 09:00:54)

絹川みちほ> え〜、セイカちゃんだってきくりちゃんと話してたじゃ〜ん。今夜は二人で行ってきたら？ね？（少し離れた所でクスクスわらって）   (2023/6/25 09:01:20)

京町セイカ> 【自分がシで欲しいんじゃないのかな…？私が部屋出るの待ってたりして♡】   (2023/6/25 09:02:31)

廣井きくり
◆> ち、違うよぉ…//みちほちゃんは可愛いしお話しも楽しいけど…私みたいな酒飲みに興味あるわけないよ…//あ……うぅぅ…。セイカちゃんが…楓さんに……？やだぁ……やだよぉ…アイドルになんて絶対勝てないし、セイカちゃんが盗られちゃう…。私のセイカちゃんなのに……ふぇぇ…っ。やだぁ…っ…（耳打ちされると顔をぐしゃぐしゃにしながら、悔しそうに大粒の涙を零しはじめて）
  (2023/6/25 09:07:20)

京町セイカ> えへへ、やっぱり気づいてた♡(いつもは唇のキスを今度はあえてほっぺに…)乳首とクリいっぱい触られて…簡単に潮まで吹かされちゃった♡   (2023/6/25 09:08:35)

絹川みちほ> シビトマギレ、まあまあ高いからね(汗)　じゃ、あとはお二人で、ね。またね、セイカちゃん、きくりちゃん。会えて嬉しかったよ〜   (2023/6/25 09:09:32)

おしらせ> 絹川みちほさんが退室しました。  (2023/6/25 09:09:41)

京町セイカ> みちほちゃんお疲れ様ー   (2023/6/25 09:09:55)

廣井きくり
◆> ん…。やだよぉ……なんで…唇にキスしてくれないの…？（きっと私になんてもう興味がないんだ…そう思いながらキスされた頬を手でおさえて）うぅ…私が触ってあげたかったのに……私の手で気持ちよくさせてあげたかったのに…//（触りたい…上書きしたい…。そう思っても昨夜体を許してしまった後ろめたさから手を伸ばしきれず、セイカちゃんの胸の前で止めてしまって）
  (2023/6/25 09:12:42)

京町セイカ> 先輩のおもちゃ…気持ちよかったのかな？…きくりちゃんどんな声出したのかな？ふふ、気になるなぁ…♡今夜、いっぱい聞き出しちゃおうかな？(顔を間近に近づけるけど唇には触れてあげずに)   (2023/6/25 09:14:36)

廣井きくり ◆> メルカリでって手もあるねー。お疲れ様だよ〜♪   (2023/6/25 09:14:44)

廣井きくり
◆> やだっ…言いたくないもんっ…！ぜったいやだぁっ…。あっ…！『お前のせいで…ぼっちちゃんはアタシから離れてくんだ…。お前から始めたことだからな…ちゃんと責任とれよ…？』『やだっ！先輩…謝るから……さっきのは冗談で…ひぃっ！？……ぁ……ぁ…♡セイカちゃん……ごめん…私のはじめて……もぅ…。ごめんなさ…ひぃぃんっ♡』（キスしたいのに唇を近づけられなくて、イヤイヤって首を振ってたらポケットに入れてたスマホが地面に落ちちゃって、その拍子に先輩に撮られたハメ撮り映像が流れ出しちゃう）
  (2023/6/25 09:21:44)

京町セイカ> くすっ♡あーあ、今時間があったらなぁ…おなじこと、してあげられたのに(軽く唇にちゅってすると起き上がって)じゃあ、そろそろ時間だから、今日もがんばってくるね？きくりちゃん   (2023/6/25 09:23:31)

廣井きくり
◆> あっ…あぁぁ…っ。（セイカちゃんには絶対に見られたくなかった映像…それを見られると目からはハイライトが消え、してもらったキスにも薄い反応しか返せなくて）……え…えへへ…。がんばってね？セイカちゃん…。（セイカちゃんが特に気にしてないような感じだったのもまたショックで、感情が壊れていくのを感じながら…離れていくセイカちゃんに無理やりに作った愛想笑いを返す事しかできなくて）
  (2023/6/25 09:27:14)

京町セイカ> 【あーっ本当に今日仕事なのが無念！もっといたかったー】   (2023/6/25 09:28:10)

廣井きくり ◆> 【興奮してもらって…今夜までのオカズにしてもらえたらうれしいな♡いってらっしゃいセイカちゃん♡】   (2023/6/25 09:28:11)

廣井きくり ◆> 【私も家でだけどやらないとだから、終わったらまた…ね…♪】   (2023/6/25 09:28:41)

京町セイカ> 【きくりちゃんも！あまりのめり込みすぎないようにね♡】   (2023/6/25 09:28:43)

おしらせ> 京町セイカさんが退室しました。  (2023/6/25 09:28:44)

