/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月21日 11時23分 ～ 2022年12月22日 05時41分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

紲星あかり> つまり、ひとりさんはサンドバックと…   (2022/12/21 11:23:31)
紲星あかり> 誰が進化するんですか！？   (2022/12/21 11:33:47)

結月ゆかり> ゆづきづの書き方好きなんですけど一瞬をん？ってなりますよね、なりました   (2022/12/21 11:34:21)

結月ゆかり> やめるのだずんだをおもちゃにするのはやめるのだ、と聞こえてきそうですね(にこ)   (2022/12/21 11:35:24)

小春六花> (チャット中にパチンコにいってるずんだもん）の可能性も……   (2022/12/21 11:36:07)

紲星あかり> そこはずんだを出し入れする穴じゃないのだ、とかですか？   (2022/12/21 11:37:07)

結月ゆかり> えっちょっとちょっと、何で帰るの？みんな残って頑張ってるんだよ？(上司ゆかり)   (2022/12/21 11:37:37)

結月ゆかり> …食べ物を粗末にしてる感じがヤバかったのでそれはやめておきました   (2022/12/21 11:38:21)

小春六花> でももう定時なので……   (2022/12/21 11:38:22)

結月ゆかり> じゃあ自分の仕事くらい片付けて帰ってよ(キチゲ上昇中)   (2022/12/21 11:39:06)

小春六花> いや、でももう定時なので……今日はあがります。(鋼の意思)   (2022/12/21 11:40:13)

結月ゆかり> ダメです(きっぱり)   (2022/12/21 11:42:51)

紲星あかり> アソコのずんだもんは全然見てないんですよねぇ   (2022/12/21 11:44:20)

小春六花> （努力未来 A ビューティフルスターBB）……   (2022/12/21 11:44:40)

結月ゆかり> 下ネタまみれなのであかりちゃんにはちょっと早いかも知れませんね   (2022/12/21 11:44:45)

紲星あかり> そうなんですか？   (2022/12/21 11:45:22)

小春六花> 割とひどい作風ですからね。ゆかりさんの胃に。   (2022/12/21 11:45:30)

結月ゆかり> ちん○こが痒くて早退するずんだもんとか、セックスしないと出られない物件を探すずんだもんとか色々ありますよ   (2022/12/21 11:46:16)

結月ゆかり> …You TubeAIくんに真っ向勝負するその姿、嫌いじゃないですが   (2022/12/21 11:47:10)

小春六花> あれは立ち向かってるのはグーグルなのか、公式なのか。　　   (2022/12/21 11:47:45)

結月ゆかり> どっちにも喧嘩売ってますね、ゆかりさんはまだマトモなキャラ付けされてますが   (2022/12/21 11:48:39)

小春六花> 割とまともですよね。わかる   (2022/12/21 11:49:32)

結月ゆかり> お腹空きましたね、ずんだもん食べますか   (2022/12/21 11:51:07)

小春六花> ファンキーになったじゃん……   (2022/12/21 11:52:32)

結月ゆかり> まぁ結構美味しいですよ、ずんだのお団子とか餅とか。ゆかりさん的には砂糖ほんのりで塩気もある粗目に刻まれたずんだの餡が好きです   (2022/12/21 11:54:44)

紲星あかり> 美味しいですよね、ずんだ   (2022/12/21 11:54:59)

紲星あかり> 近くにお店があるならずんだシェイクもいいですよ？   (2022/12/21 11:55:20)

結月ゆかり> 流石にシェイク売ってるとこはまだ見たことないですね、大きいショッピングモールとかあるきまわればありそうですが   (2022/12/21 11:56:27)

小春六花> ずんだは美味しいけどずんだもんはちょっと……   (2022/12/21 11:56:50)

結月ゆかり> なんでずんだ(どっちもどっちも)はあんなキャラ付けになってしまうんでしょう…   (2022/12/21 11:58:02)

紲星あかり> あれでも一応東北復興キャラクターなんですよ？   (2022/12/21 11:58:25)

結月ゆかり> 風評被害ばら撒かれてますね…大丈夫でしょうか？   (2022/12/21 11:58:59)

紲星あかり> それは心配するところではあったりしますね…   (2022/12/21 11:59:16)

紲星あかり> その東北は東北で、とある企業がなんかフリモ麺とかいうの作ろうとクラファンしてますが   (2022/12/21 11:59:31)

小春六花> (めそらし）　   (2022/12/21 11:59:44)

結月ゆかり> そういえばマイナンバーカードのキャンペーンキャラに小倉唯さんを蹴散らしてずんだもんが就任してましたね   (2022/12/21 12:00:07)

結月ゆかり> …検索したらイケオジと全身タイツが出てきたんですがこれは   (2022/12/21 12:01:09)

小春六花> ……一応中の人の設定です、あれが。(すごく渋い顔）   (2022/12/21 12:02:20)

紲星あかり> 六花さんのお兄さんです！   (2022/12/21 12:03:14)

小春六花> ちげーし！！！！！！   (2022/12/21 12:03:32)

結月ゆかり> なるほど、だから検索欄に　フリモメン　六花　と出てきたんですね   (2022/12/21 12:04:19)

紲星あかり> 検索サジェストまで汚染されてるんですか…   (2022/12/21 12:04:45)

小春六花> かんけいねーーーし！！！！   (2022/12/21 12:05:27)

おしらせ> 鈴木つづみさんが入室しました♪  (2022/12/21 12:05:34)

鈴木つづみ> あ、まちがえた。   (2022/12/21 12:05:42)

おしらせ> 鈴木つづみさんが退室しました。  (2022/12/21 12:05:46)

おしらせ> すずきつづみさんが入室しました♪  (2022/12/21 12:06:08)

紲星あかり> フリモメンは元はFLASH作成ソフトのイメージキャラだった、全身青タイツの男です（まじめなせつめい）   (2022/12/21 12:06:23)

小春六花> 私とマキちゃんだけ全身青タイツ野郎がやたら絡んでくるだけだし！！！   (2022/12/21 12:06:54)

小春六花> つづみちゃんになってる……   (2022/12/21 12:07:21)

結月ゆかり> 全身タイツ形態これいる？状態ですね。まぁ、ただのイケオジじゃパンチ不足ですが   (2022/12/21 12:07:45)

すずきつづみ> ……やっぱり慣れないものはするものじゃないと思う反面、せっかくという気持ちがないわけでもなくもなく。どうも、すずきつづみです。   (2022/12/21 12:08:17)

紲星あかり> つづみちゃん、こういうとこだと初めて見た気がします   (2022/12/21 12:08:53)

結月ゆかり> ……。(つづみさんの顔をじぃーっと。)…あのー、失礼ですが艦これに姉妹が居ませんか？瞳に陽炎型駆逐艦の面影を感じました   (2022/12/21 12:09:24)

小春六花> というか、イケオジのガワを脱ぐと私が出てくる扱いするのなくならないかなぁ……（？）   (2022/12/21 12:09:31)

すずきつづみ> お昼休憩がてら来てみたわ。話の流れ的にはずんだもんが来たほうがよかったのかもしれないし、ささらちゃんのほうがメジャーかもしれないけど。出来そうなのは私だったということで。   (2022/12/21 12:10:08)

結月ゆかり> 今ずんだもんで来たら私は帰りましたね   (2022/12/21 12:10:39)

小春六花> 公式ツイッターがおもしれー女だ……（自分のことを棚にダンクシュート）   (2022/12/21 12:10:51)

すずきつづみ> ……？（ググりググり）…いえ、そもそも私に艦船の知り合いはいないはずだけれど。誰のことかしら？   (2022/12/21 12:11:46)

結月ゆかり> まぁまぁ、どうぞおいでくださいました♪変な話題しかありませんがゆっくりしていってください   (2022/12/21 12:11:57)

結月ゆかり> …ん。なら気の所為でしたね、他人の空似でした♪   (2022/12/21 12:12:26)

結月ゆかり> しかし9年も塩漬けん   (2022/12/21 12:13:10)

すずきつづみ> ええ、あと48分しかないけれど、みんなのオハナシに入れたら嬉しいわ。今47分になったわね。   (2022/12/21 12:13:18)

結月ゆかり> んん！塩漬けにされてたんですかこれ…。設定発表が13年なんですけど…   (2022/12/21 12:13:50)

紲星あかり> 意外と短いですね…   (2022/12/21 12:15:42)

小春六花> そこにびた声やらなにならもらったんですけど、とにかく何故か小春六花と絡むんだよね、あのタイツ   (2022/12/21 12:16:05)

結月ゆかり> 他のコンテンツだと始まって終わるくらいの期間でしたね…   (2022/12/21 12:16:35)

紲星あかり> フリモメンがなぜ六花さんにあそこまで絡むのかはCevio七不思議の１つといわれていて…（捏造   (2022/12/21 12:17:38)

すずきつづみ> のこりの6つは？   (2022/12/21 12:18:03)

紲星あかり> イタコさんの立ち絵の背後の狐が何者なのか、とかですか？実はNHKではないらしいとか   (2022/12/21 12:18:52)

結月ゆかり> …おっと(電池3%)そろそろ離脱します。お疲れ様でした！   (2022/12/21 12:19:03)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/21 12:19:06)

小春六花> おつかれさまー。　　   (2022/12/21 12:19:15)

紲星あかり> おつかれさまです！   (2022/12/21 12:19:16)

小春六花> あれってNHKじゃないんだ？   (2022/12/21 12:19:59)

すずきつづみ> お疲れ様ね。   (2022/12/21 12:20:31)

紲星あかり> みたいな話が以前聞いた気がして…（ソース不明）   (2022/12/21 12:21:14)

小春六花> 7不思議といえばタカハシの下の名前もあるよね……   (2022/12/21 12:22:03)

すずきつづみ> …、いきなり日本放送協会の名前が出て何かと思ったら、ニヒルでハンサムなキツネって言うのね、あの子。   (2022/12/21 12:22:17)

紲星あかり> はい、小説とかの設定なのでボイロ劇場とかだけ追ってるとなかなか出てこない…   (2022/12/21 12:22:54)

すずきつづみ> タカハシの下の名前……そんなものはない……。   (2022/12/21 12:23:37)

すずきつづみ> そうなのね、レアキャラ…？なのかしら。小説版があるのは密かに聞いていたけど、まだ触れたことがないのよね。   (2022/12/21 12:26:37)

紲星あかり> レアキャラとしてはたんちゃんのほうがレアな気がしますね…   (2022/12/21 12:27:02)

小春六花> 設定なだけで特に必要ないからねぇ……使うために知ってる必要は。   (2022/12/21 12:28:50)

すずきつづみ> すごいわ。NHKのことを調べただけで知らない子の名前がたくさん。ボイスロイドの世界はこんなにも広かったのね。   (2022/12/21 12:29:27)

紲星あかり> ボイスロイドというか、東北ずん子プロジェクトだけでもかなり登場人物多いんですよね   (2022/12/21 12:29:57)

すずきつづみ> そんなに。みんなお話を追っていて、全員のことを記憶できてるの？   (2022/12/21 12:32:39)

小春六花> ずんちゃん周りはご当地キャラまみれだからねー……大江戸ちゃんこ、なんちゃらあわも、北海道メロン、中国うさぎ、九州そら、四国めたん、暗黒大将軍だっけ。大体   (2022/12/21 12:33:49)

紲星あかり> まず震災後の復興プロジェクトの一環として東北ずん子プロジェクトとしてずんだモチーフの東北ずん子ができて、そこからずんだ文化のない秋田と青森のなまはげとイタコモチーフのきりたんとイタコが姉妹になって、世界観を広げるにあたってほかの地域のご当地キャラがでてきて…って感じですね
  (2022/12/21 12:35:20)

紲星あかり> さすがに小説版は読めてない（そもそも現在入手困難）のでそっちは追えてないですね…   (2022/12/21 12:35:50)

すずきつづみ> その中ではボイスボックスになってるめたんだけ知ってるわね。あと動画にもよく出てくるし。……で、他の子はぜんぜんわからないわね。ボイスロイド勢もお部屋に増えてくるとなったら、私もちゃんとその子達を把握しておかなくちゃいけないかしら。  
(2022/12/21 12:35:52)

紲星あかり> その必要はないとおもいますよ？雰囲気でいいんです、雰囲気で   (2022/12/21 12:36:25)

紲星あかり> あとボイボの九州そらも同じプロジェクトですね   (2022/12/21 12:36:41)

小春六花> 別に知ってる人だけでいいんじゃない？ぶっちゃけ私達もここ最近、企業増えてきてわかんないまである。   (2022/12/21 12:37:14)

小春六花> 企業というか、プロジェクトというか。   (2022/12/21 12:37:39)

紲星あかり> 特にコエフォントとコエイロインク勢とか…   (2022/12/21 12:37:45)

すずきつづみ> そうね、まだ見ぬ子を進んで調べるより、そのときにあって初めて知った感動とともにお話をするのが私の主義だから、お言葉に甘えることにしようかしら。   (2022/12/21 12:41:39)

小春六花> フォントはアリアルちゃんやミリアルちゃん…インク葉だけだっけ。まつかリスクくらいしか知らないや。   (2022/12/21 12:41:56)

紲星あかり> 私は最近はディアちゃんとアルマちゃんがきになってますね、そこらへん。   (2022/12/21 12:42:38)

小春六花> 私達はこういう難しい話に好きな立ち絵の話とか、好きな動画シリーズと常に話題がアップデートされるのがたのしみよ……   (2022/12/21 12:46:14)

すずきつづみ> 最近は動画でさえもVtuberのしか追ってなくて…　立ち絵がかわいい子が多いから、ひと目見ればきっと好きになるはずなのでしょうけど。六花ちゃんやあかりちゃんとそういう話をするのは難しそうね。ごめんなさい。（ぺこり。）   (2022/12/21
12:50:14)

紲星あかり> Vtuberですか。つづみさん的なおすすめは誰ですか？（ここでは見たことない気がしますね）   (2022/12/21 12:50:53)

すずきつづみ> で、ちょっとお電話入って緊急の用事が入ったからお昼がおしまいになっちゃった。またいつか、私で来たときにお話をできれば嬉しいわ。それでは、失礼します。   (2022/12/21 12:51:15)

紲星あかり> はーい、おつかれさまでした。とはいえ私ももうすぐお時間・・・   (2022/12/21 12:51:36)

すずきつづみ> あーっ、と、今のおすすめは……ウサコ・ディストピアよ。よろしくね。   (2022/12/21 12:51:37)

おしらせ> すずきつづみさんが退室しました。  (2022/12/21 12:51:45)

小春六花> はぁい、またねー。   (2022/12/21 12:53:11)

紲星あかり> さて、名残惜しいんですがそれではそろそろ私も・・・夕方にはまた来るかもです   (2022/12/21 12:59:01)

おしらせ> 紲星あかりさんが退室しました。  (2022/12/21 12:59:08)

小春六花> んじゃ私も一回落ちとくかぁ…   (2022/12/21 13:05:31)

おしらせ> 小春六花さんが退室しました。  (2022/12/21 13:05:32)

おしらせ> 廣井きくりさんが入室しました♪  (2022/12/21 13:18:32)

廣井きくり> ん゛ぁぁぁ……。…ひ、ふー。…ひ、ふー。……うぉぉ…。（強烈二日酔い！苦しむダメな大人、片手にはそれでもおにころ）   (2022/12/21 13:21:01)

おしらせ> 小春六花さんが入室しました♪  (2022/12/21 13:33:24)

小春六花> 迎え酒はやめましょうね！   (2022/12/21 13:33:51)

廣井きくり> 六花ちゃんが、朝ご飯作ってくれなかったから…。お姉さん、悲しい…（時既に遅し。ぐびー。）   (2022/12/21 13:35:26)

小春六花> 図々しいなぁ！！勝手に追加注文したくせにぃ！！！（くわわっ！！）そして流し込むなぁ！！   (2022/12/21 13:36:45)

廣井きくり> オーダー通ってたじゃーん、お客様は神様なんだぞぉー！……出てくるより良くない？（お酒の香りぷーはー！）   (2022/12/21 13:38:35)

小春六花> 当店お客は客なんだがー！私の布団使わせてあげたでしょー！？　……出すのも突っ込むのもダーメー！（うわさけくさっ   (2022/12/21 13:41:37)

廣井きくり> あははは！そりゃそーだけどさぁ、でも幸せスパイラル終わっちゃう…怖い……。出すのも入れるのも駄目なら、私は一体どーしたら！？（うがー！ヤケ酒だーー！）   (2022/12/21 13:45:57)

小春六花> 終わらない終わらない、別の幸せ多分見つかる。ひとりちゃん脱がせるスパイラルとか（しらんけど）。そこでこっそりいれようとするんじゃあない！！（飲むのはっや！？）   (2022/12/21 13:46:58)

おしらせ> 森久保乃々さんが入室しました♪  (2022/12/21 13:47:13)

森久保乃々> こんにちは～…ぅ、お酒くさい…（用事を終えて帰ってみれば修羅場というか酒羅場？）   (2022/12/21 13:48:19)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/21 13:48:37)

小春六花> うまいこと言ってないで！？二人はいらっしゃーい！   (2022/12/21 13:48:56)

結月ゆかり> …昼間から酒を飲むとかダメ人間待ったなしですよ！お邪魔します   (2022/12/21 13:49:14)

森久保乃々> どうも初めまして、森久保乃々です…（ぺこり）   (2022/12/21 13:50:11)

結月ゆかり> …という訳でここは森久保さんをひとつまみ(酒臭さを森久保さんの匂いで中和しましょう、くんかくんか)   (2022/12/21 13:50:12)

廣井きくり> ぼっちちゃん脱がしたら先輩に怒られっからなー、一度脱がしたら循環しないしー。でもお酒は良いよぉ、循環するからね。血液にぃー♡（幸せー♡）いーじゃん、別にぃ。減るのは私の寿命だけだし。（ごきゅごきゅ）   (2022/12/21 13:50:35)

結月ゆかり> 寿命もそうですが、信用とか信頼とか評価とかそういうのも落ちますからね！(あ、こいつだめだってなるやつ)   (2022/12/21 13:51:28)

森久保乃々> も、もりくぼは清涼剤ではないんですけど…！   (2022/12/21 13:51:42)

廣井きくり> やほ～～。その内慣れるよぉ、気にすんなってー。（悪びれない人間）   (2022/12/21 13:51:45)

結月ゆかり> 清涼じゃなくっても良いんです、中和さえ出来れば！(要はシールド、盾、壁)   (2022/12/21 13:52:32)

小春六花> 着せかえするとかで循環するからぁ！！！　そのサイクルは失うものが多すぎるのよ！？あと、ベースの所在に、お金もなくしてますよねぇ！？（かべ……って聞いてなんとなくゆかりさんの方にいこうと…？）   (2022/12/21 13:53:11)

おしらせ> 白石杏さんが入室しました♪  (2022/12/21 13:53:54)

結月ゆかり> …森久保さんも結構壁だと思うんですけど。(じぃー。実は脱いだらあるとか言うやつですか？)   (2022/12/21 13:53:56)

森久保乃々> もりくぼひとりにはこの場の中和は荷が重いような…いや原因になってるのもひとりではあるんですけど…   (2022/12/21 13:54:11)

白石杏> ババババババ(機関銃でゆかりを攻撃   (2022/12/21 13:54:12)

おしらせ> 白石杏さんが退室しました。  (2022/12/21 13:54:14)

廣井きくり> あははー、そんなもん最低値だから気にしなーい！   (2022/12/21 13:54:17)

結月ゆかり> 等価交換ってやつですね、アドは取れてませんが。(ゆかりさんにそんなことをしたら森久保さんが蜂の巣になりますよ？ってちらり)   (2022/12/21 13:55:16)

廣井きくり> あ、ベース取りに行くの忘れてた。私の魂～～！六花ちゃんはこっち側だかんね？（おにころぐいー。片手で六花ちゃんの腕抑えーの）   (2022/12/21 13:55:51)

結月ゆかり> …あー、やっぱり。六花さん南無…(合掌)   (2022/12/21 13:56:11)

森久保乃々> うぅ…もりくぼは壁になんてなりたくないんですけどぉー！（すれ違う銃弾に慄いて）   (2022/12/21 13:57:14)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが入室しました♪  (2022/12/21 13:57:37)

結月ゆかり> …ですが、攻撃が止まないとも限らないので、どこかに避難でもしますか！(作戦変更)   (2022/12/21 13:57:59)

渋谷凛 ◆> 何か色々と大惨事が起こってるのかな……（変な騒ぎを望コンでひょいと）   (2022/12/21 13:58:35)

小春六花> なにが！？一体何がなの！？なにがこっちがわなの！？にじったんばったん）お昼なのにみんなこんにちは！   (2022/12/21 13:58:43)

廣井きくり> やほやほ～～、みんな音楽やってんねえ。（嬉しくてお酒がすすむ！）   (2022/12/21 13:59:53)

結月ゆかり> 音楽はつまみかなにかなんですか！…スルメ曲とか確かにありますけども   (2022/12/21 14:00:29)

渋谷凛 ◆> ボイロはなんかVチューバーって感じもある気がするけれどね……？（うんと首を傾げて）   (2022/12/21 14:02:00)

小春六花> 私もゆかりさんもボカロでもあるから……（実質）   (2022/12/21 14:02:15)

結月ゆかり> 最近のVtuberは歌って踊りますからね！   (2022/12/21 14:02:29)

廣井きくり> あはははー、六花ちゃんマブダチじゃん？そゆことー。逃がさないよ、六花ちゃんは私の宿……んーん。宿じゃなくて、あー。あれ、あれだわ！（じたばたしても逃がさなーい）   (2022/12/21 14:02:49)

結月ゆかり> つまり雪の花やオドループを歌ってるずんだもんも…   (2022/12/21 14:03:00)

森久保乃々> vtuber、下手なアイドルよりアイドルしてたりしますからね…   (2022/12/21 14:03:29)

結月ゆかり> …あれとかそれとか完全に酔っぱらいですよ(ひそ)   (2022/12/21 14:03:38)

小春六花> マブダチはちょっと嬉しい（唐突に冷静）いや、宿！？宿じゃなくてなに！？こわ！？この先何なの！？（聞きたくねぇ！！ってぜんりょくのwavファイル再生）   (2022/12/21 14:04:45)

渋谷凛 ◆> そういえな昨日思ったけれど…ずんだに飽きるずん子さんはきっと偽物だと思う……全てをずんだに染め上げることくらいはやるよ…あの人…   (2022/12/21 14:04:47)

渋谷凛 ◆> 乃々は…その辺に対抗しなきゃね…（よしよしとなでて）   (2022/12/21 14:05:18)

廣井きくり> んえ、酔っぱらいだよ？（当然！）   (2022/12/21 14:05:25)

結月ゆかり> 仙台在住は食べ飽きてるそうなのでずん子さんは仙台在住じゃない疑惑ありますよ！   (2022/12/21 14:05:49)

森久保乃々> あぅ…もりくぼとしてはこれ以上目立つのは避けたいところなんですけど…   (2022/12/21 14:06:25)

結月ゆかり> じゃあ目立たないように何処かに隠れるのはどうでしょうか。(トーチカとか防空壕とか)   (2022/12/21 14:07:06)

渋谷凛 ◆> ずん子さんは飽きるほどに食べさせて回る側だからね……   (2022/12/21 14:07:07)

渋谷凛 ◆> 目立たないように捕まったりする（ひょいと抱えて見せて）…静かにこっそりと   (2022/12/21 14:07:27)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/21 14:07:38)

結月ゆかり> 自分で食べない……あっ   (2022/12/21 14:07:39)

廣井きくり> ちょっと？もっと喜びなよー、ちょっとじゃなくて滅茶苦茶！（背中ッパーーン！）……カプセルホテル？（お酒ちゅー……。）   (2022/12/21 14:07:47)

後藤ひとり> こ、こんにちは……   (2022/12/21 14:07:47)

小春六花> 東北のずんだ、北海道のヨーグルト   (2022/12/21 14:07:51)

結月ゆかり> この時間に満室とは…   (2022/12/21 14:07:56)

森久保乃々> それって死地ってことじゃないですかぁ…！そんなの無理無理、むりくぼですけど…！   (2022/12/21 14:07:58)

後藤ひとり> 珍しいですね   (2022/12/21 14:08:11)

結月ゆかり> いらっしゃいませー   (2022/12/21 14:08:13)

結月ゆかり> じゃあひとりさん拐っていきますか   (2022/12/21 14:08:30)

廣井きくり> ぼっちちゃんだー、やほやほー。   (2022/12/21 14:08:41)

渋谷凛 ◆> 自分でも食べてるよあの人は人で……　【https://seiga.nicovideo.jp/comic/35365
[/JumpUrl2/?url=https%3A%2F%2Fseiga.nicovideo.jp%2Fcomic%2F35365]　そして4コマ持ち出し】   (2022/12/21 14:08:49)

小春六花> い゛だぁ゛！！！（ぬわっふ）格下げで利用しやすくしようとするんじゃあない！！！！（じたばた   (2022/12/21 14:08:53)

小春六花> 公式よりなかなかおかしくなれない東北ずんこだ…！   (2022/12/21 14:09:16)

渋谷凛 ◆> うん、いらっしゃい…人が人を呼ぶってやつだね……？　   (2022/12/21 14:09:28)

結月ゆかり> 実は他人に食べさせる用はずんだもんに変身するナニカで構成されてたりしませんか？   (2022/12/21 14:09:39)

後藤ひとり> あ、どうも……拐わないで！？   (2022/12/21 14:09:57)

森久保乃々> うぅ…いつのまにかまた凛さんに捕まってしまいました…（ぐでー）   (2022/12/21 14:10:01)

渋谷凛 ◆> ずんだアローで作ってるだろうからナニかはありそうだね……   (2022/12/21 14:10:04)

小春六花> ﾀｽｹﾃ……ｹﾃ……ﾀｽ……ｹﾃ……   (2022/12/21 14:10:25)

渋谷凛 ◆> 乃々…素直に捕まるから（抱え込めたのでよしよし撫でて）   (2022/12/21 14:10:37)

結月ゆかり> 全員誰かに補食されてますね…つまり(きらーん)   (2022/12/21 14:10:53)

後藤ひとり> わ、私は何も聞いてません……   (2022/12/21 14:11:11)

結月ゆかり> ひとりさんはこっちだぁあああ！(がば)   (2022/12/21 14:11:19)

森久保乃々> 凛さんのなでなでには魔力があるような…これがナデポというものでしょうか…（ぽわぽわ）   (2022/12/21 14:11:46)

廣井きくり> あはははは！身体ほっそ！ご飯食べてんの？（ブーメラン。）あー……漫画喫茶？もっとカジュアル？高級がいいの？シャワーと朝ごはん付きだから、ビジネスホテルかーー？（お酒で頭ぐるぐるー）   (2022/12/21 14:12:15)

結月ゆかり> ナデポ…？(ナタデココ+ポテトみたいな)   (2022/12/21 14:12:17)

後藤ひとり> ひい！？   (2022/12/21 14:12:24)

結月ゆかり> という訳でお茶しませんか？そろそろ二人で語り明かしましょう。おしりペンペンとか。おしりペンペンとかスパンキングとか   (2022/12/21 14:13:24)

後藤ひとり> わ、私はそんなに居られませんよ！？   (2022/12/21 14:13:51)

渋谷凛 ◆> そんなこと言ってると…またあっさり乃々は浚われちゃうよ（顎の下ごろごろ…わんこ？）   (2022/12/21 14:13:53)

森久保乃々> あ、ナデポというのはなろうとかで揶揄されたりするときに使われる感じで、撫でるだけで好感度アップ、みたいな…？   (2022/12/21 14:13:57)

小春六花> 私はめっちゃ普通にたべてるから！！！（わりとけんこうぼでー）そもそもそういう名前つけるのならあれだぞー！おかねとるが！！！！！（くわわっ   (2022/12/21 14:14:14)

結月ゆかり> ふふふ、ゆかりさんもたぶん寝落ちかますので構いませんよ！むしろ望むところです   (2022/12/21 14:14:26)

後藤ひとり> 90分だけですよ居れるの……(じー)   (2022/12/21 14:14:57)

結月ゆかり> へぇー…へぇええ。森久保さん物知りですね…！   (2022/12/21 14:15:04)

結月ゆかり> 十分です。45で発射した早打ち(候)ゆかりんですよ   (2022/12/21 14:15:35)

小春六花> 90分15000円　のひとりちゃん！？   (2022/12/21 14:15:41)

結月ゆかり> まぁ、ナニする訳でもないので！   (2022/12/21 14:15:55)

森久保乃々> さらう側が何を言ってるんですかね…嫌いじゃないですけど（わんわん…わんくぼ？）   (2022/12/21 14:16:06)

後藤ひとり> な、ならそれでもいいですけど…… ていうか安い！？30分で5万！？   (2022/12/21 14:16:12)

