/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年07月03日 02時21分 ～ 2018年07月09日 19時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アティ> （おうちがありました。そのままひきづらーれー。（未来予測。））   (2018/7/3 02:21:10)
九条カレン> しつれいするデース！   (2018/7/3 18:41:32)

セリカ> あら、こんにちは。(部屋に入ってきたカレンに笑顔で挨拶して)   (2018/7/3 18:42:28)

九条カレン> 九条カレンデース(あれ何処か声が似てるなんて)【この2人声優さんが同じです】   (2018/7/3 18:44:03)

セリカ> 私はセリカよ。よろしくね？(なんとなく親近感覚えながら)【そうなんだ？知らなかった♪】   (2018/7/3 18:45:44)

九条カレン> よろしくお願いするデース～♪(ニコリと)【東山奈央でしたよー】   (2018/7/3 18:47:10)

セリカ> 話し相手が出来て良かったわ(隣の椅子を相手に向けて)一緒に話しましょ？【今の３ＤＳ作品声優豪華過ぎ♪】   (2018/7/3 18:52:01)

九条カレン> お話するデース！(なんて隣に座って)【ですよねー】   (2018/7/3 18:52:48)

セリカ> もう7月に入ったわね～夏は何か予定があるのかしら？(首傾げて質問して)【ただ３ＤＳにすると目が痛くなる(泣)】   (2018/7/3 18:55:28)

九条カレン> 思い切り遊ぶデース！(なんてどや顔で)【わー、分かります、基本使わない方針なのです】   (2018/7/3 18:56:19)

セリカ> 遊ぶのね？何をして遊ぶのかしら？(楽しげに)【そうそう、３ＤＳなのに使われないＤＳ(笑)ソフトは何をしてるの？】   (2018/7/3 18:58:32)

九条カレン> いろいろデース！(要は考えてない)【ドラクエとかです）】   (2018/7/3 18:59:28)

セリカ> 海には行かないのかしら？(ふと)【ＤＱか。７とか？】   (2018/7/3 19:01:48)

九条カレン> 海デース？行きたいデース！【はいはいー、】   (2018/7/3 19:02:58)

セリカ> 私も旅で海を航ったりしたけど海は気持ち良いわよ？(思い出しながら)【私は最近ⅢをDLして遊んでる。FEが忙しいけどね(笑)】   (2018/7/3 19:06:00)

九条カレン> 私も海に泳ぎに行ったデース！(なんて楽しげに)【ふむふむ、頑張ってくださいー】   (2018/7/3 19:06:57)

セリカ> でも、日焼けをしない様にするのは大変だったわ(自分の白い肌を見せながら)【Ⅲはちょっと進めたけどLV20もまだ(汗)】   (2018/7/3 19:09:55)

九条カレン> おおー！凄いデース(私も白い方だと)【おやま、なるほどです】   (2018/7/3 19:10:44)

セリカ> 貴女も日焼けしてないのね？(カレンの肌を見ながら)【FEは直ぐにLVMAXなるけどＤＱはLV上げが大変だよね】   (2018/7/3 19:14:16)

九条カレン> YES！もちろんデース！(なんて笑い)【分かりますよー、大変ですよねー】   (2018/7/3 19:15:12)

セリカ> 水着ってどういうのを貴女は着るのかしら？【メタスラ探しに行くけど倒せずが多いよね】   (2018/7/3 19:18:08)

九条カレン> えっとビキニデース！(なんて笑い)【そうなのですよー】   (2018/7/3 19:20:22)

セリカ> まあ、大胆な水着を着るのね？(驚きながらもすぐ笑み浮かべて)【７もやっぱメタスラ居るよね？】   (2018/7/3 19:25:07)

九条カレン> HAHA！セリカは何着るデース？(キョトンと)【ですね、】   (2018/7/3 19:27:58)

おしらせ> チトさんが入室しました♪  (2018/7/3 19:28:13)

チト> ぁ……暑い……乗り物じゃ無しじゃ無理だ……（そう言って部屋に入ってきて）　先客がいたか　はじめまして   (2018/7/3 19:29:15)

セリカ> 私は侍女が用意してくれた水着は白のワンピースだわね？(思い出しながら)【はぐれメタスラとか可愛いよね】   (2018/7/3 19:29:55)

おしらせ> カチュアさんが入室しました♪  (2018/7/3 19:30:26)

カチュア> セリカ様、こんばんわ   (2018/7/3 19:30:37)

九条カレン> こんばんはデース！   (2018/7/3 19:30:38)

セリカ> こんばんは(新たに入ってきた相手に挨拶して)   (2018/7/3 19:30:38)

チト> チト、だ……よろしくたのむ……   (2018/7/3 19:31:10)

カチュア> カレン様もこんばんわです   (2018/7/3 19:31:20)

カチュア> 初めまして、チト様   (2018/7/3 19:31:31)

九条カレン> よろしくお願いするデス！   (2018/7/3 19:31:47)

チト> とりあえず、水を飲ませて……（そう言って水道に水筒を当て、それを飲み）   (2018/7/3 19:32:20)

セリカ> カチュア、この間はごめんなさいね？今日なら時間があるわよ？お話し出来るわ(にっこり笑み浮かべて)【FE談義出来ます(何笑)】   (2018/7/3 19:32:21)

カチュア> 【少々回線の問題を修正するので一瞬接続とレスポンス悪くなります】   (2018/7/3 19:32:25)

チト> この世界は暑すぎて、死ぬかと（上着は脱いで腰に巻き付け、上半身は薄いブラに）   (2018/7/3 19:33:29)

カチュア> ふふ…セリカ様、今夜は……お時間あります？ごめんなさい、どうにも暑さのせいか……（顔を赤くして、セリカに寄り添い）   (2018/7/3 19:35:26)

セリカ> まあ、大丈夫カチュア？熱中症に気を付けないと…(寄り添ってくるカチュアの額に手を当てて熱を計り)   (2018/7/3 19:38:22)

チト> （水道で頭から水を浴び、タオルで拭いて　有るのならSファーにぐったりと）　   (2018/7/3 19:38:29)

カチュア> ……熱は熱でも、別の熱ですよ？（ふふっと笑みを浮かべて、不意にセリカのふとももをさわっと撫でる   (2018/7/3 19:39:15)

カチュア> 【ここってえっち展開ありなのでしょうか！】   (2018/7/3 19:40:00)

セリカ> え？どうしたのかしら？(カチュアの動きに首傾げてみつめ)【非公開で別部屋に行けるなら。ちょっとここでは…】   (2018/7/3 19:41:56)

チト> 【思いっきりやって頼みたし、あたしもしたけど……】   (2018/7/3 19:42:23)

カチュア> 【ラブルで、でしょうかね？】   (2018/7/3 19:43:35)

カチュア> 【まぁスタンスは人それぞれだと思います】   (2018/7/3 19:43:49)

セリカ> 【はい、行けますか？】   (2018/7/3 19:43:56)

カチュア> 【問題なしですー】   (2018/7/3 19:44:13)

カチュア> 【では、と言う感じに介抱される体でセリカさんをお持ち帰りー？】   (2018/7/3 19:44:38)

チト> 【いってらっしゃい　楽しんでくると良いよ】   (2018/7/3 19:45:00)

カチュア> 【チトさんお相手できなくてすみませぬー】   (2018/7/3 19:45:39)

セリカ> 【部屋立ておねがいできますか？】   (2018/7/3 19:45:45)

チト> 【きにしないで　遠慮されるのもあれだし】   (2018/7/3 19:46:11)

カチュア> 了解です、名前はまんまでもOKです？   (2018/7/3 19:46:20)

カチュア> 【では待ち合わせのほうに】   (2018/7/3 19:46:47)

セリカ> 【はい、カチュアで探しますから。おねがいします】   (2018/7/3 19:47:02)

カチュア> 【ではこちらはいったん抜け】   (2018/7/3 19:47:25)

おしらせ> カチュアさんが退室しました。  (2018/7/3 19:47:33)

チト> さ、残りも静かになってしまったし　あたしも少しねむるか……   (2018/7/3 19:47:42)

セリカ> 【そんな感じでお話ししてきます。お二方また今度です♪】   (2018/7/3 19:47:53)

おしらせ> セリカさんが退室しました。  (2018/7/3 19:47:59)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/7/3 19:52:00)

おしらせ> チトさんが退室しました。  (2018/7/3 19:59:25)

おしらせ> チトさんが入室しました♪  (2018/7/3 21:04:46)

チト> 温泉は良いなぁ……　外は暑いけど、それでも汗が流せるし……下着も洗えるし   (2018/7/3 21:05:24)

チト> （と、体と髪を洗い、下着を洗ってから温泉に）   (2018/7/3 21:06:09)

チト> びぅがあったらなぁ……ユーも心配だけど……   (2018/7/3 21:06:48)

チト> 乗り物がない以上、あの暑さじゃ2時間も歩いていられないし……元の世界にはいつ戻れることやら……   (2018/7/3 21:07:46)

チト> （ぐてー）   (2018/7/3 21:09:15)

チト> 誰も居ないし、また眠ろう……   (2018/7/3 21:09:49)

おしらせ> チトさんが退室しました。  (2018/7/3 21:09:53)

おしらせ> チトさんが入室しました♪  (2018/7/4 23:14:09)

チト> 一向に何もすす穴井……どうしたものか……   (2018/7/4 23:14:42)

チト> 一向に何も進まない   (2018/7/4 23:23:30)

おしらせ> 無言時間が20分を超えたため、チトさんが自動退室しました。  (2018/7/4 23:44:37)

おしらせ> 巽紺さんが入室しました♪  (2018/7/5 14:52:35)

巽紺> 【お部屋はリビングにしておきましょ】   (2018/7/5 14:53:17)

巽紺> 【う】   (2018/7/5 14:53:21)

おしらせ> 無言時間が20分を超えたため、巽紺さんが自動退室しました。  (2018/7/5 15:13:26)

おしらせ> アビゲイル・Wさんが入室しました♪  (2018/7/6 01:38:24)

アビゲイル・W> （ふわ、となびく長い袖の黒い服、小さな帽子の姿に長い金色の髪を踊らせて、お部屋にお邪魔。今日はりびんぐに）　こんにちは、こんばんはかしら？（ひっそりと顔を出しながら）   (2018/7/6 01:40:06)

アビゲイル・W> せっかくだから、おともだちにきいたいろんな所にお邪魔してみようと思ったのだけれど……ここも楽しそうな場所、なのかしら（ソファにお行儀よく座った後、誰も見てないのをキョロキョロ見回した後、はふー、と背中を背もたれにもたらせかけ）  
(2018/7/6 01:45:57)

おしらせ> 渋谷凛さんが入室しました♪  (2018/7/6 01:47:32)

渋谷凛> こんばんわ、かな？（リビングにふらりと顔を覗かせて先客に視線を向けて）迷子のようにも見えるけれど   (2018/7/6 01:48:43)

アビゲイル・W> （物音にビクっと飛び起きて、ソファに浅く腰掛けなおして）　あ、その、こんばんは。お邪魔しています（小さく、でも丁寧に頭をさげて。迷子、という言葉については色々悩んだ後に）　いえ、そうとも言えるし、そうでもないともいえるというか……お世話になっているところから、遊びに歩いている所なの（そのあとに、聞こえるか聞こえないかくらいの声で、悪い子だわ、わたし、って小さく呟いて）
  (2018/7/6 01:50:36)

渋谷凛> 別にそんなに悪い事をしてるわけでもないのに……（びくびくとしている様子に近づいてはその顔を覗き込んで）遊びに来るくらいはいいと思うよ。それとも何か悪い事でもするつもりだったのかな？　すごく悪いことしたようにも見えちゃうけれど……（ぎゅっと肩を抱いては覗きこんで）
  (2018/7/6 01:52:17)

アビゲイル・W> そう、かしら？　やっぱり人前だと、ちゃんとしないといけないと思うのだけれど……（近くにきての、スキンシップには然程、それ自体には動じた事はないけれど、見上げる視線は動揺中）　ちょっと、よるの、おやつを……（つまみぐい。自分基準で、ちょっぴり悪いこと）
  (2018/7/6 01:54:52)

渋谷凛> ちゃんとするの意味次第かな？　気楽に遊びに来るところでそうして肩に力を入れてたら疲れるしね（視線を合わせて目元に触れて）……たしかにそれは凄い悪いことだね（お腹の辺りを軽く撫でてむにとつまんでみせる）   (2018/7/6 01:57:21)

アビゲイル・W> そういうもの、かしら？　気軽に……そういうところ、なのね（聞いた子も、そんなふうにいっていたけど、なんて言いつつ、ちょっとだけ肩から力を抜いた、ところで）　ひゃっ。そ、そんなにお肉は、ついていない、のよ？（筋肉が硬いというほどではなく、分厚くなっているというわけではないけれど、しっかりつまめる程度には脂肪の層のある部位をつままれて、わたわた）
  (2018/7/6 01:59:51)

渋谷凛> そういうところだよ。だから気にしないでね（ぎゅっと抱きしめ直して身体を抱えて）……そうだね……すごく細い子だもんね？（つまんだ後をゆっくりとなでてお腹が擽られて）   (2018/7/6 02:01:52)

アビゲイル・W> これからちゃんと育つもの……　？？（お膝にのっけてもらって、ほんのりご満悦のようす。　そのままお腹をくすぐられると、おかしそうに身体をよじって）　くすぐったいわ、おねえさま……んっ。あ。ええと、わたしは、アビゲイル、アビゲイル・ウィリアムス。アビーって、呼んでくださいな。
  (2018/7/6 02:04:49)

渋谷凛> 育つところ次第だけれどね？（抱えこんで自分の側に引き寄せた彼女のおでこにキスをして）……お姉様なんだ？　結構大きく見えるけれど他の国の人だからかな　渋谷凛だよ。凛でいいからねよろしくね   (2018/7/6 02:06:52)

アビゲイル・W> あら、黒い髪の方は、少し年かさが若く見えるから、ってマスターに聞いたのだけれど……違った、かしら（これでも身長、150は超えているので。　つるっとしたおでこにキスをしてもらったら、ちょっと積極的に、頬へ口づけを返して）　これでもまだお酒は飲めない年頃なのよ。凛おねえさま。
  (2018/7/6 02:10:56)

渋谷凛> 私よりは若いかもしれないけれどね？　貴女みたいな子は大人びても見えるし（くすぐったく首を竦めて頬にキスを返してあげる）難しく考えなくてもいいかな…私も飲めないし。でも、悪い事に興味はもちそうだけどね   (2018/7/6 02:13:54)

アビゲイル・W> そういうものなのかしら……？　ん。ふふ。おねえさまは、積極的、なのね。　まだ飲んだ事はないのだけれど、許可が貰えるのは楽しみなのだけれどね。　その……ちょっと早く飲んでしまうのは、悪い事かもしれないけれど（嘘がつけないものだから、視線とか表情に、わるいこと、の動揺はしてしまったり
  (2018/7/6 02:16:20)

渋谷凛> アビーは可愛いしね。それとももっと積極的に悪い事をこっそりとしてしまったりする？（じっと見つめたまま目元を指先で擽る。彷徨う視線を自分に向けたままぎゅっと抱く手に力が篭もり）   (2018/7/6 02:19:14)

アビゲイル・W> どういうこと、かしら？　あんまり長くはいられないから、長くは難しいのだけれど……（うに、と目元を柔らかくへこませながら……少し、不思議そうな、でもほんのり安らいだように表情を和らげながら抱きついて）   (2018/7/6 02:23:50)

渋谷凛> 少しでもかな？　アビーが好きなことを確かめながらだね（ぎゅっと抱きしめては少し身体を起こして立ち上がり）うん、アビーが付き合えるだけでいいし…もっとゆっくりとお部屋でお話してみたりかな？   (2018/7/6 02:27:16)

アビゲイル・W> そうね……お姉さまがお望みなら、少しくらい、は、かまわないのよ？（でも、重たくないかしら、ってちょっぴり心配しつつ、抱きかかえられていったり。腕を首のあたりにまわして、支えられる格好で   (2018/7/6 02:28:50)

渋谷凛> （そっと抱きかかえて支えたまま二人でゆっくりと出て行くように）   (2018/7/6 02:29:55)

おしらせ> 渋谷凛さんが退室しました。  (2018/7/6 02:30:05)

おしらせ> アビゲイル・Wさんが退室しました。  (2018/7/6 02:30:16)

おしらせ> アティさんが入室しました♪  (2018/7/6 03:52:36)

アティ> スマホから何度も警報が鳴り響いてますね。（うとうとしてたけど…びっくりして目が覚めてしまいました。）地震？とおもいきや…完全に天気のせいみたいです。（雨が凄い。）   (2018/7/6 03:53:32)

アティ> んっ。（むずりっ。衣類の襟元をくぃっとひっぱると…ちょぴりむわっと汗ばんだ香り…。）…うん、少しお風呂にでもはいってきましょうか。（寝起きは寝汗がやっぱり結構凄いですね、この季節。）   (2018/7/6 04:06:13)

おしらせ> アティさんが退室しました。  (2018/7/6 04:06:16)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/7/6 06:27:31)

リグル・ナイトバグ> (んーっと身体を伸ばしてリビングの中に入り――)…久々な感じがしなくもないね――(この時間帯だしそんな長居は出来ないだろうけれどって頬を掻き。けど割と勝手知ったるリビング、若干朝だと肌寒いからか暖かめの飲み物でも頂いて行こうと)  
(2018/7/6 06:28:44)

おしらせ> アティさんが入室しました♪  (2018/7/6 06:29:53)

アティ> （ぱふりっ。頭にタオルをひっかけながらの帰還です。）っと…私としたことが…少々だらしない姿みせてしまったでしょうか？（先客さんがいましたねっ。慌ててタオルを…頭から取れば…ぺこんっ。一礼。）おはようございまっす。   (2018/7/6
06:31:05)

リグル・ナイトバグ> (頭にタオルを引っかけてご帰還する様子を見ればシャワーかなって思ったり思わなかったり)　あ、うん。おはようだねっ。(こちらはこちらで少し温めのお茶を手に戻ってきた様子。暑すぎると猫舌だから飲めないのだった。一礼をしてからいったんテーブルに自分の飲み物を置いてもう一度奥へ消えてから麦茶をコップに注いで戻って来よう)
  (2018/7/6 06:33:48)

アティ> （シャワー帰りなのでまだ髪の毛が少ししっとり、手櫛で軽く髪の毛整えると、挨拶もすませば…ソファにぽふんっと座りましょうか。）早起きさんですかね？私はお昼すぎに眠るので寝てないんですけど。（…こー、少しいったりきたりと慌ただしいリグルさんにクスっと笑いを漏らしながら。）
  (2018/7/6 06:36:56)

リグル・ナイトバグ> (ソファに座る様子のアティさんの前に麦茶のコップを置いておこう！)　変に早起きしちゃったからね、何だか勿体ないって思って顔を出してみたりしたよ。…眠って無いていうのもそれはそれで大変そう…ああ、けど一定の時間を過ぎちゃうと逆に眠ろうと思っても眠れなかったりはする時はあるかなぁ。(なんて、言葉にしながら自分の分のお茶を一口…ふう)
  (2018/7/6 06:39:46)

アティ> あ、わざわざありがとうございますっ。（私のためのお茶でした！出来る…！執事さんのような！…手に取ればくぴ、くぴ。と…火照った身体にひんやりして美味しいです。）あぁ、私は基本は夜基準の生活なので慣れっこですね。（べ、べつに夜会話でずっと起きてたわけじゃないですよ？普段のお仕事が夜なものでっ。）
  (2018/7/6 06:41:54)

リグル・ナイトバグ> いえいえ、どういたしましてだよ。自分の分を用意したついでっていう事にしとこう。(執事のような事をもとい給仕さんみたいな事に割と慣れたのはきっと気のせい)　あ、それなら少し安心…かな？そういう基準での生活なら身体が慣れているだろうし…(寧ろそこを逆に弄ろうとすると崩れてしまうだろうしねって。夜会話でずっと起きてたってなるとそのシステムが若干意味深な響きに聞こえてくる不思議さ)
  (2018/7/6 06:44:02)

アティ> そういう細かいお気遣いはとても素晴らしいとおもいますよ。（RPGなどでは天然ジゴロだとかいわれそうな逸材です。いえ、リグルさん女の子ですけど！）そうなんです、もうすっかり慣れてしまって日に当たると溶けるんではないかと。（それはない。　…いえ、まぁ意味深なほうも先生としてはやぶさかではないんですけど…♥（ぽっ。））
  (2018/7/6 06:47:02)

リグル・ナイトバグ> せっかくなら来てくれた人により良い環境をっ！(※別にお部屋の主では無い。…女の子だよ、間違えられたりネタにされやすいけど！)　アティ先生は夜の住人…けど灰とかになったりしない分まだ良いのかもしれない。(吸血鬼扱いになりそうだった。　先生割と爛れちゃってる様子だった！…ああ、けど、このお部屋の人なら結構それが普通な気がするのが不思議…何故だろう)
  (2018/7/6 06:49:41)

アティ> きっと結婚したら相手はとても楽できそうですねっ。（話が飛躍しすぎです。　はい、女の子です。でもありますよね…！こう…例えば艦これなどではレーベさんは女の子ですのに…生えてるほうが自然に見えてくるそのような。）さ、さすがに灰になっちゃうのは困りますからね。（…ぁ、でも先生不老不死ですので…わりと吸血鬼に近いのかもしれません。　…いい大人ですので♥　きっとリグルさんもそうなのでしょう？ちら。どこかを見るとふたなり可の文字。）
  (2018/7/6 06:52:55)

リグル・ナイトバグ> 今ものすごく段階を駆け足かつ跳躍して飛び越えて行った！(色々な前提を飛ばして結婚した後なお話。……「でも」あるっていうのが一番しっくりくるのが不思議なのだった。…姿かたちは知っているからすごく想像しやすい気がする。例えが的確かもしれない)　けど実際吸血鬼の人が灰になってる姿は見てない…かな。(結局のところ、真意は定かではない。…不老不死って聞こえは良いけど実際なったら大変だろうなぁって。…大人だもんね！…ま、まあ、うん。この表記は割とあって無かったりしなくも無い気がするのだった。割と状況に応じてこの部屋の人も臨機応変だしねって)
  (2018/7/6 06:57:08)

アティ> 尺の問題です。（いえ、ただの雑談に尺とか別にないんですけど。　まぁメタな話キャラによってそういう植え付けみたいなのはよくあります。）…実際灰になるとこみるとそれはそれで悲しいといいますか。普通に接せてる分には見なくていいといいますか。（個人的には不老はいいですけど、不死はちょっと邪魔だなとおもいますね。　はい、大人ですっ。　…でもリグルさんも爛れてますよね？（どうしても口にだしていわせたいご様子。））
  (2018/7/6 07:01:06)

リグル・ナイトバグ> 尺の問題なんだね……(納得しかけるのだった。　こう、ネタ的な意味でのイメージが先行しちゃったりはあるよね絶対。一度植え付けられたイメージは中々払拭できない)　むしろそこを気にしだしたら色々とダメな気がしてきちゃうっていう所もあるもんね。(弱点に忠実過ぎてもあれだ！っていう感じに。不死はこう、悲しい結末にしかならない気がする。…た、爛れてるね！(凄く誘導された気がするけど、まあ、実際問題そうな気がする)
  (2018/7/6 07:04:06)

アティ> そうです。結婚するまでをシナリオに書き下ろすとすごく時間かかってしまいますので。（何の話でしょうかこれ。　あります、あります。まぁ大体…同人誌のせいでもあるんですけど。）そうですね、吸血鬼がニンニクに弱いは…ただの食わず嫌いだったり、十字架に弱いは…信仰宗教がただ違うだけだったり、銀に弱いはアレルギーだとおもうことにしてます。（一気に人間臭くなりました。　（言質とれて…むふー♥っとご満悦顔。））
  (2018/7/6 07:07:10)

リグル・ナイトバグ> 都合上カットになっちゃう事も多々あるよね……(そしてカットしすぎて何が何だか分からなくなってしまうのかもしれない。何の話だろうこれ。　アティ先生だけじゃ無く先生な属性の人が大体やらしいようなイメージを植え付けられてたりもする)　...あれ、途端に吸血鬼が割とその辺に普通に居る人みたいな感じに……(威厳が、吸血鬼の人が居ない状況で威厳が凄く損なわれて行ってる…。　(凄い、ご満悦な顔してるこの先生…！！)
  (2018/7/6 07:10:23)

アティ> はい、だからクールは出来るだけ余裕をもって取れれば…。（アニメの尺的話…？　そうなんです…私別にゲーム内でエッチなことしてるわけでもないですのに…！（…大体服装のせい。））ちょっと血が好きなだけな一般人説ですよっ。（ほら、馴染みやすくなりました。　言質とったら後は実践…？…でもリグルさんにお時間なさそうでした。（くっ。））
  (2018/7/6 07:14:03)

リグル・ナイトバグ> な、なんだろうこの手のお話は悲しい未来が見える。(尺が長かったのに全然ダメっていうパターン、ある気がする。　ゲーム内だとむしろちょっぴりほんわかな癒しの先生なイメージなのにね！…服装の所為だった)　血を見ちゃうと興奮する一般人だね。(…あれ、おかしいな。ちょっと変だぞ。　実践させられてしまう…！　お茶を飲み終え、はふっと)
  (2018/7/6 07:17:09)

アティ> ですね。尺があれば名作にもなりえたのに…。のような。（こくん。　生みの親が改心のエッチさに描けたといってしまったのも原因かと。）…それはそれで…ただの変態さんな気もしないわけでもないんですけど。（吸血鬼って一体。　またお時間あるときに是非♥なのとあのお方にも是非よろしく伝えておいでくださいねっ。（と謎の伝言。））
  (2018/7/6 07:19:57)

リグル・ナイトバグ> 私がぽろっと漏らしてた都合上色々カットも悲しい結末になる原因だった。(うっうっ。　悲しい、けど実際そうな気がする」　……吸血鬼さんは変態だった。(風評被害。　あのお方、で察する。私ではない私、アティ先生の出演作品のシリーズに出てきたあの人だね！って謎の伝言を受け取ったのだった。とりあえず、この辺りで、って手をひらり！ぱたぱた)
  (2018/7/6 07:23:09)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/7/6 07:23:13)

アティ> （こくん。謎の伝言も伝えれたので…先生もこのまま一度ひっこみましょう。（どなどなどなー。いえ、別に売られていくわけでもないですけど。））   (2018/7/6 07:25:37)

おしらせ> アティさんが退室しました。  (2018/7/6 07:25:39)

おしらせ> ハルファスさんが入室しました♪  (2018/7/6 16:57:34)

ハルファス> （今日のアジトは雨ふり。いつものリビングにちょっとだけお邪魔するね）   (2018/7/6 16:58:15)

おしらせ> チトさんが入室しました♪  (2018/7/6 17:03:56)

ハルファス> チト、こんにちは   (2018/7/6 17:04:05)

チト> 【こんにちわ、ちょっとだけ挨拶に】   (2018/7/6 17:04:12)

チト> 【当分旅に出られなくなったので、またあってもらえるかな】   (2018/7/6 17:04:51)

チト> 【はーはすとのこと……忘れられなくて】   (2018/7/6 17:05:23)

ハルファス> （うん。私の方こそ、喜んで。   (2018/7/6 17:05:25)

チト> じぶんじゃ……上手にできないから……おねがい、だよ   (2018/7/6 17:05:51)

ハルファス> （私も、あのね、チトに「はーはす」って、呼んでもらえるの、好き……）   (2018/7/6 17:05:55)

チト> （したたらずだから　　）   (2018/7/6 17:06:18)

ハルファス> チト……私も、ぶきっちょだけど、チトがそう言うなら、頑張るね。   (2018/7/6 17:06:41)

チト> それと、この間……有る娘とシタンたけど……やっぱり、その……   (2018/7/6 17:06:44)

チト> おしっこが・・（飲まされたほうだけど）   (2018/7/6 17:07:03)

チト> と、とにかく今はそれだけ！　時間があったらまた来るからね（頬にチュッとキスして）   (2018/7/6 17:07:33)

ハルファス> ……！　う、うん、チト、あの、ありがとう   (2018/7/6 17:07:54)

チト> ・・やくそく、だよ・・   (2018/7/6 17:08:07)

おしらせ> チトさんが退室しました。  (2018/7/6 17:08:10)

ハルファス> うん……約束、だよ、チト   (2018/7/6 17:08:24)

ハルファス> （…………チト。会っちゃった、会えちゃった。この間のことを思い出してむずむずもじもじしてしまうよ）   (2018/7/6 17:10:32)

