/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月02日 00時22分 ～ 2023年01月03日 01時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花> おっぱい同盟…   (2023/1/2 00:22:22)
花隈千冬> なんか、私のことも理不尽に敵にカウントしたのはそっちでは？   (2023/1/2 00:59:13)

巴マミ> ……そ、それは……(思わず目逸らし   (2023/1/2 01:02:32)

花隈千冬> それは。   (2023/1/2 01:03:31)

巴マミ> ぅぅぅ…そ、そんな所追求しなくても良いじゃないっ……(てしてしっ   (2023/1/2 01:04:02)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/2 01:06:42)

花隈千冬> まぁ、ぶっちゃけ敵でも味方でもいいんですけど。（てしられ）   (2023/1/2 01:07:55)

後藤ひとり> あ、おかえりなさい……   (2023/1/2 01:08:40)

桜衣乃> (2階からとんとんとん…と階段を降りてくる、汗だくシャツ一枚と桃色ショーツぐっしょり濡らした姿で…)……こんばんは〜♡まだ起きてるんですね…♡マミちゃん、改めてあけましておめでとうございます〜…♡   (2023/1/2 01:08:43)

巴マミ> こ、これだからもうっ………(ぷくーっ…   (2023/1/2 01:08:47)

花隈千冬> おかえりなさい。服くらいきたらどうなんです？   (2023/1/2 01:09:08)

後藤ひとり> とりあえずお疲れ様です……   (2023/1/2 01:09:27)

桜衣乃> ひとりちゃんと千冬ちゃんはただいまです〜…♡ …大丈夫ですよ、暖房効いてますし…♡今服着てもすぐべっとりしちゃうでしょうし…♡   (2023/1/2 01:09:44)

花隈千冬> これだからも何も、手を出さないし興味も示さないという意味では一番安全では？   (2023/1/2 01:10:07)

巴マミ> Σ桜さっ………！？何て格好してっ……そんな格好でして良い挨拶じゃないわよっ…(思わず目のやり場に困ってぷぃっと   (2023/1/2 01:10:37)

巴マミ> ……それはそれで何か、こう…淋しくない、かしら………   (2023/1/2 01:13:33)

花隈千冬> まぁ、それはそれで構いませんけど近寄らないでくださいね。ばっちいですし。（じと）   (2023/1/2 01:13:45)

桜衣乃> ふふ、さっきのさっきまでセックスしてたのでお風呂に入る余裕もなくてごめんなさいね♡
…マミちゃんも早く姫初めしたいでしょうに、誰からも手を出されなくてかわいそうなマミちゃんに救いの手を差し伸べに来ましたよ…♡(ぷいっとするマミちゃんの正面にひたひた近づいて…♡むんっ…♡と匂い漂わせながら、マミちゃんのお隣へ…♡)   (2023/1/2
01:13:58)

桜衣乃> えぇ、大丈夫ですよ…♡千冬ちゃんに迷惑はかけませんから…♡   (2023/1/2 01:14:23)

花隈千冬> いちいち危険だの何だのと誹りを受けたいわけでもないので……   (2023/1/2 01:15:04)

花隈千冬> ……わたしにかけないなら六花先輩にもかけないでほしいところなんですけどね。   (2023/1/2 01:16:42)

桜衣乃> そのことは六花ちゃんが帰ってきたら本人に聞きますよ…♪   (2023/1/2 01:18:27)

巴マミ> んんんっ……ちょ、と……ゴメンナサイ流石に眠くなってきた、から…失礼するわ……お休み、なさ………もうっ…(何やら側に毒の塊が…思わず去り際にぺちりと､頭頂部に一閃だけ入れてから姿を消して…   (2023/1/2 01:19:09)

おしらせ> 巴マミさんが退室しました。  (2023/1/2 01:19:20)

花隈千冬> お疲れさまです。   (2023/1/2 01:19:48)

桜衣乃> ……流石に遅すぎましたね♡ こないだは朝の4時までも遊んでくれたんですが…♡   (2023/1/2 01:19:54)

後藤ひとり> お疲れ様です……   (2023/1/2 01:22:49)

桜衣乃> さて、それでは私も今日は既に3人の姫初めのお相手をさせていただいて疲労困憊なので私も寝ますね…♡今日はかるるんちゃんと添い寝ですので…♡ あ、そうそう。明日は日中帯は私もおでかけしますので悪しからず…♡   (2023/1/2 01:25:53)

後藤ひとり> あ、はいお疲れ様です………♪   (2023/1/2 01:26:19)

桜衣乃> それでは、おやすみなさいませ…♡(と、上のお部屋に帰っていきます…)   (2023/1/2 01:26:20)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/2 01:26:26)

花隈千冬> 淫乱も度が過ぎるとなんとやら……お疲れさまです。   (2023/1/2 01:30:31)

後藤ひとり> 私もそろそろ寝ないと……   (2023/1/2 01:34:33)

花隈千冬> そしたら解散ですかね。お疲れさまです。   (2023/1/2 01:34:55)

後藤ひとり> ではまた……お疲れ様です   (2023/1/2 01:35:32)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/2 01:35:35)

おしらせ> 花隈千冬さんが退室しました。  (2023/1/2 01:36:08)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/1/2 04:38:36)

井ノ上たきな> 入って早々に寝落ちなんてしていませんよ…？　(じーっと視線の感じる扉の方に視線を向けていて) ただ…ソロルは苦手ってだけですのでお気になさらずに…   (2023/1/2 04:47:08)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/2 04:57:56)

喜多 郁代> こんばんは…♪初めまして、かしら？もし良かったら1人で特にすることがないなら一緒にお話でもどうかしら…♪（扉からひょっこりと顔をのぞかせては先客さんに明るく声をかけてみて）   (2023/1/2 04:59:25)

井ノ上たきな> 初めまして… 1人で特にすることもないので貴女のお話相手になってあげようと思います (表情変えずに近くのソファに腰掛けて隣をとんとん、と招くようにしていて)   (2023/1/2 05:02:55)

喜多
郁代> ふふ、ありがとうっ…♪とりあえず、あなたとかそういう呼び方だと色々不便だと思うし…♪私、喜多郁代っていうの♪喜多さんとか、喜多ちゃんって呼んでくれたら嬉しいわ…♪あなたは？（表情こそ静かなものの隣を軽く叩いてくれるとぱぁっと表情を明るくしながら招かれたところに座り、前傾姿勢になって顔をのぞき込みながら満面の笑みで自己紹介…！）
  (2023/1/2 05:05:23)

井ノ上たきな> 郁代… 私は井ノ上たきなです。呼び方は貴女のお好きなように呼んでください特に呼んで欲しい呼び方など私にはないので、郁代はここの常連ですよね？青髪の子から話は色々と…
笑顔が眩しいって…実際に笑顔が眩しくて顔を見られません。(制服からサングラスを取り出し掛けていて。)これで見やすくなりましたよ、郁代   (2023/1/2 05:08:45)

喜多
郁代> 井ノ上さんね…♪って、どうしてそっちで呼ぶの！？喜多さん♪とかで良くないかしら！？むぅ…まぁ、いいけれどっ…（何故かしわしわネームで呼ばれれば不満そうに頬を膨らませつつも諦めた様子で息を吐き…）青髪…えっと、レムさんとかかしら…？（きょとん、青髪で浮かぶのはリョウ先輩と彼女くらい…？）サングラスしなくちゃいけないほど！？
  (2023/1/2 05:11:34)

井ノ上たきな> 私は基本さんを付けて呼ぶ人は目上の人くらいですので…仲良くられる人近しい人だと下の名前で呼ぶようにしています、ご不満なら…呼び方を変えますけど？　(首を傾げて頬を膨らませて不満そうにしてる貴女を不思議そうにみていて)
はい、レムから色々とこのお部屋のお話は聞かせてもらったのである程度このお部屋の人たちの情報は頭に入っています。　郁代が名前で呼ばれたくないって理由もしっかりと…♪ (クスクスっと表情は柔らかく笑みを浮かべていて… 理由が可愛いものですから…♪)  
(2023/1/2 05:15:30)

喜多
郁代> あ、ううん。大丈夫…大丈夫…！（多分あんまり大丈夫じゃない濁り目…）名前で呼んで欲しくない理由知ってて呼ぶのはいじわるじゃないですか！？むぅ…（初めて楽しげな笑みを見せてくれた彼女に喜びたいものの、理由が理由だけに複雑そうな顔でその笑みを見つめ…）  
(2023/1/2 05:18:41)

井ノ上たきな> ごめんなさい…♪ 千束がこのお部屋で楽しく過ごせているってお話もちょくちょく聞いていたので…私もここでなら楽しく過ごせると思います　(サングラスを取りながら笑顔で見つめてくる貴女を見つめ返します…♪) 私の顔に何かついているんですか？郁代  
(2023/1/2 05:22:52)

喜多
郁代> 錦木さんからそんな風にお話を聞いてたのね♪えぇ、井ノ上さんも他のみんなときっと仲良く出来ると思うわ♪とってもフレンドリーな人達ばかりだもの…♪（どうやら気に入ってくれそうな感触がすればｷﾀｰﾝｯ♪とオーラを輝かせながら嬉しそうに微笑み…）な、なにもついてないわよ…？（井ノ上さん、顔がいい…！一瞬どき、っとしてしまうめんくい喜多の図）
  (2023/1/2 05:27:45)

井ノ上たきな> 千束のように上手く振る舞える自信は… ですが、私は私なりに頑張ろうと思います… フレンドリーですか… 仲良くできるように努力は惜しみませんけど… (相変わらずの眩しさに目を細めて…少し睨んでるようにも見えるかも…)
そうですか…？そんなに熱い視線を向けられたら私でも少し困ってしまうので… (逆にじーっと見つめて…どんな反応をするのか少し興味本位です。)   (2023/1/2 05:31:22)

喜多
郁代> 大丈夫よ♪きっとみんな井ノ上さんと仲良くなりたくて沢山声掛けてくれたり、一緒に遊んでくれたりするもの…♪（なんか睨まれてるような？と感じつつも特に怒られるようなこともしてないので笑顔継続…！）いや、えっと…井ノ上さんこそ、私の顔になにか着いてたりする、かしら？（何故かずっと見つめられてしまえば少しだけ落ち着かない様子で目を泳がせて…）
  (2023/1/2 05:36:04)

井ノ上たきな> 一緒に遊んだらりは…私はあまり得意ではないのでお話くらいなら頑張ります。(眩しさを失えば普通の表情に戻っていて) 郁代のお顔には整った素敵な目と鼻に唇などがついていますよ…♪
(目を泳がせて落ち着きの無い貴女を眺めていたら微笑ましく眺めてしまいます。)   (2023/1/2 05:40:31)

喜多 郁代> そうだったのね？それなら全然お花だけでもいいと思うわ…♪みんなあたらしい人とは仲良くなりたいと思うだろうし♪（くす…♪）それは嬉しいんだけど…！もう、からかわないの…！（むすー…とほっぺ膨らまなが）   (2023/1/2 05:44:17)

喜多 郁代> （膨らませながら楽しげな表情をみつめ…）   (2023/1/2 05:44:31)

井ノ上たきな> 郁代はまだ寝足りないんですね？　あまり無理をしてはダメですよ、睡眠は大切なことの一つなので… (頬を膨らませてくる貴女を少し心配そうに見つめながら…)
二度寝も良いものなのでこのまま寝てしまいますか？　私に無理に付き合わせてしまうわけにもいきませんので…   (2023/1/2 05:46:43)

喜多 郁代> ぅ…（まだ少し眠たいの見抜かれてる…そっと目を逸らし…）どうしようかしら…でも、せっかく井ノ上さんとこうして会えたからお話したいきも…このまま行ったら寝落ちする気も……！お言葉に甘えて寝ておこうかしら…   (2023/1/2 05:49:01)

井ノ上たきな> さっきから変換ミス多発してますから…郁代には元気で毎日過ごして欲しいと私は思います。無理に起きて今日の活動に問題など出てしまったら大変ですから… 私も人のことはあまり言えませんけど…
郁代と話したくないって言ってるわけでないですからね？　もちろん、私だってもっと話していたいですけど…お互い寝落ちしてしまいそうなので… 私は寝落ちくらい気にはしませんけど… 郁代が無理をしているなら困りものです。   (2023/1/2 05:52:15)

喜多
郁代> 言われて振り返ってみるとたしかにちょっと誤字多すぎるわね…（苦笑い…）ふふ、もちろんそんなふうに思われてるだなんて思ってないわ…♪井ノ上さんっかく気を使ってくれたわけだし、私は今日の所は素直に寝ておくことにするわね？ありがとう、井ノ上さん…♪またお話しましょ？
  (2023/1/2 05:55:40)

井ノ上たきな> また会えた時にはゆっくりと… (眠そうな貴女を眺めて微笑ましく見つめて片手を上げて…小さく振って…   (2023/1/2 05:57:27)

井ノ上たきな> お休みなさい、と小さな声で伝えていて)   (2023/1/2 05:57:57)

喜多 郁代> ええ、またお話してね♪おやすみなさい♪（ｷﾀｰﾝｯ☆と最後に陽のオーラを振りまいてから軽く手を振りつつお部屋を後にし…）   (2023/1/2 05:58:13)

おしらせ> 喜多 郁代さんが退室しました。  (2023/1/2 05:58:19)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/2 06:01:59)

井ノ上たきな> お疲れ様…郁代　(ソファに凭れるようにしていて) ふぅ… あまり慣れていないのでとても疲れが… 衣乃…全然休めていないみたいですけどお身体は平気なんですか？ (しっかりとログを確認している真面目さんです。)   (2023/1/2
06:03:16)

桜衣乃> あけましておめでとうございます〜♡ …おや、さきほどキタちゃんが出ていかれましたが、だいぶ眠そうでしたね…。夜遅くまでキタちゃんもお疲れ様ですねっ。(扉の向こうでぺこりと見送り…)
…私ですか？私は全然大丈夫ですよ！お正月休みのせいかなんだか有り余ってる気がするので…おはようございます、たきなちゃん！   (2023/1/2 06:05:22)

井ノ上たきな> あけおめです。たきなちゃん…？　元気が有り余っているなら良いことですね、私も貴女くらい元気になれたら良いんですけど… 衣乃は朝からテンションが高いですね、お休みを満喫しているみたいで安心しました。
(楽しそうな衣乃を見ながらソファでくつろいでしまいます。)   (2023/1/2 06:07:56)

桜衣乃> …ん〜、自己紹介してない気がしますが、まぁ細かいことはいいでしょう！　ただまぁ私も寝起きなところがありますので、あまり頭が回ってなさそうなところはご容赦を…。(ソファのお隣を自然といただきに…)
それにしても朝早いですね。そちらこそ眠かったりしませんか？   (2023/1/2 06:12:17)

井ノ上たきな> 眠気は…少々…ですが、来てくれた人を無碍にはできませんので…もう少し頑張ろうと思います。　私はレムから色々とお話を聞いているので色々と貴女達には詳しいんですよ… 衣乃が少しスケベってお話ももちろん聞いているのでご安心を…
(横目で見ながら目は自然と細くなって少し眠そうに…)   (2023/1/2 06:18:20)

桜衣乃> ほら、やっぱり。四時半なんて人が起きてるような時間じゃないところから待ってたみたいですから、もう限界でしょう。　…私の伝わり方がややどストレートな気がしますがまぁ間違ってないので、たきなちゃんの姫初めのお手伝いか、あるいは寝落ちるまでお話と、どちらがいいでしょうかね…。(眠そうにしてるたきなちゃんにぴとりと身体を寄せて…)
  (2023/1/2 06:21:56)

井ノ上たきな> 姫初め…私は千束が良いと思っていたのですが…衣乃は昨日相手が寝てしまったので満足できていないんですか？(腰に手を回してぎゅっと抱き寄せるようにしながら目線は貴女より少し上から見下ろすように見つめていて。)
ちょっと待ってください、私が人ではないみたいな言い方は納得できません…   (2023/1/2 06:27:40)

桜衣乃> 千束ちゃんこんな時間に来ますかねぇ……もうちょっと遅い時間だと思いますけど…。私の場合は満足できてないというよりも…無限の性欲、っていうんですかね？尽きることない欲求なので、満足はしていて、でもまだできますって感じです♪(こちらは上目遣い気味に見つめて、にこり。抱き寄せられるのをよしと受け取って…)
…そんなつもりで言ったんじゃないです〜。眠気を心配してるだけです〜。   (2023/1/2 06:33:44)

井ノ上たきな> 少し眠気もあるので衣乃が側で寝かしつけてくれますか？ (ぎゅっと少し力を込めて断られたらこのままここで寝てしまってもいいと考えていて) 千束は夜に来ると思います… 会えないのは仕方ないですね、タイミングですから。   (2023/1/2
06:39:25)

桜衣乃> ふむ〜、であるなら…了解です。たった今お部屋ご用意しましたから、そっちで添い寝といきましょう♪レムちゃんに似てたきなちゃんもすぐ寝落ちしそうな気配がしますが、それも一興ということで…♡(肩を支えながら、お部屋へご案内…) …それでいいんですよね…？
  (2023/1/2 06:42:25)

井ノ上たきな> ダメな理由はありませんので、このまま衣乃に寝かしつけてもらっちゃいますね… それでは一足先に向かっていますので   (2023/1/2 06:43:40)

おしらせ> 井ノ上たきなさんが退室しました。  (2023/1/2 06:44:28)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/2 06:44:45)

おしらせ> ペコリーヌさんが入室しました♪  (2023/1/2 06:47:19)

ペコリーヌ> 新年から賑やかですね。おいっすー。あけましておめでとうございます！今年はウサギ年。ウサギ年といえばですね、私の知り合いのギルドにいい子がいまして。とってもいいんですよ。よ！(朝は意外と人がいるんでしょうか。あえてちょっとのんびりしに炬燵にミカン用意しときましょう
  (2023/1/2 06:49:19)

ペコリーヌ> ……うっかり当たりました(天井ぎりぎりですけど。追い込みで来てくれたのはありがたい限りですって一安心　いやぁ、来てくれない雰囲気だったんですが。ちょっとした誤算ですね、早めにつかえるのは嬉しい限りですしっ(ミカン食べつつやることやっちゃいましょう、もふもふ……んー。すっぱいミカンの味がとってもいい感じです♪
  (2023/1/2 07:02:02)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/2 07:13:21)

後藤ひとり> おはようございます……(うとうと)   (2023/1/2 07:13:28)

ペコリーヌ> おや、ひとりさんおはようございまーす、よくねれましたかっ(ぎゅうっと布団に引き寄せて   (2023/1/2 07:14:29)

後藤ひとり> はい……昨日ぶりですね………3時間しか眠れなかなったのと初詣で早めに行く予定なので全然寝れませんでした……(布団に引き寄せられたらすぐ寝る自信が！)   (2023/1/2 07:15:40)

ペコリーヌ> なるほど、確かさんがにちまでなら大丈夫なんでしたっけ？(ぼんやり　なんにせよ、さむいのであたたかくしていってくださいね！   (2023/1/2 07:20:26)

後藤ひとり> 分かりませんが………少なくとも昨日は人が多くて大変そう……あとは朝早い方が人がいないので……(うとうと……はい、ホカホカな格好で行きますね)   (2023/1/2 07:21:47)

ペコリーヌ> 確かに正月付近は人が人が多そうですもんねぇ。行く途中にねちゃだめですよ？(きょと   (2023/1/2 07:24:04)

後藤ひとり> 人が多いと拒絶反応が……大丈夫です！一応近場なので………(………zzzz)   (2023/1/2 07:25:59)

ペコリーヌ> わかりますぅ、人がおおいとこまっちゃいますもんね(こくこく   (2023/1/2 07:30:33)

後藤ひとり> ペコリーヌさんは人が多くても困らなさそう……(陽キャぽい見た目だから……)   (2023/1/2 07:31:43)

ペコリーヌ> (とりあえずねちゃわ内容につんつんしちゃいましょう　人がおおすぎると人よいしちゃう気持ちはわかりますけどねっ。　あ、でもおせちとか。美味しいものがおおいのはいいことです♥(やたいっていいですよねってきらきら   (2023/1/2
07:36:07)

後藤ひとり> (つんつんされると何とか起きて……)私は人が多いと消えちゃいそう………美味しいものは好きですけどね……(食欲の塊だ！と)   (2023/1/2 07:39:54)

ペコリーヌ> おみやげにおいしい焼きそばおねがいしますね♪(あ、でもさすがにないかな)　甘酒とか、この時期ならではですし…うーん、おなかすいてきちゃいます(はふ   (2023/1/2 07:41:28)

後藤ひとり> もしあっても帰る頃には冷え冷えになってそうですね…………お腹すいてるなら朝ごはん食べましょう………(うとうと)   (2023/1/2 07:44:37)

ペコリーヌ> 朝ごはん用意しときます、ひとりさんはいつごろおでかけでしょうか(家族とならいますぐでもないでしょうしってうーん   (2023/1/2 07:49:46)

後藤ひとり> あと30分くらいだと思います……   (2023/1/2 07:50:50)

ペコリーヌ> なるほど、それならもう少しおきてないと、ほら。ちゃんとおでかけしますよー(ほっぺぷにぷに   (2023/1/2 07:51:24)

後藤ひとり> は、はい………(ほっぺぷにぷにされてあうあう……)でも眠くて……   (2023/1/2 07:53:15)

ペコリーヌ> 私も寒くてねれませんですけどねー。帰ったら私がぎゅーってしてあげますからっ(ぎゅうっとしっかりだきつき   (2023/1/2 07:59:35)

後藤ひとり> ならそうしてくれると助かります……(抱きつかれるとそのままおっぱいに顔埋め)   (2023/1/2 08:01:14)

ペコリーヌ> がんばれ、がんばれー。ひとりさん、これからですよ、やればできる。もっと熱くなりましょう！(燃えてるおーら   (2023/1/2 08:07:06)

後藤ひとり> あ、そんな熱いオーラ出されると灰になっちゃいますもうお外なので……(さらさらーっと)   (2023/1/2 08:09:52)

ペコリーヌ> むしろ温かくした方がいいのでは(ぎゅう、ちゃんと神社に無事にまずはつきましょう   (2023/1/2 08:12:13)

後藤ひとり> 確かに………ならこの前しばらく………(抱き合い胸に顔寄せて)   (2023/1/2 08:14:17)

ペコリーヌ> ほっかいろがわりにどうぞどうぞ(どれくらい温かいかきになってますけど、なでなで。おおきなむねにむにゅううー   (2023/1/2 08:19:00)

後藤ひとり> ホカホカです………それにここ大きいですね………(この部屋でもだいぶ大きい方では……と顔すりすり)   (2023/1/2 08:20:55)

ペコリーヌ> おっきいですよ、結構柔らかいのも自慢ですっ大きなおっぱいにぎゅ、ぎゅうっとしっかりくっつけて   (2023/1/2 08:24:07)

後藤ひとり> ふかふかでいつまでもこうしてたい………(手でさりげなくふにふに)   (2023/1/2 08:26:14)

ペコリーヌ> ひゃん、もう、いたずらっこでうｓね(ぎゅうっとくっついて   (2023/1/2 08:28:56)

後藤ひとり> 目の前にこんな胸があったら揉まない訳には…あ、柔らかい…(手をふにふに………)   (2023/1/2 08:30:39)

ペコリーヌ> んもー、ひとりさんは意外と胸がすきなんですか？(柔らかな胸をぎゅうっと押し付けて   (2023/1/2 08:32:07)

後藤ひとり> 嫌いな人なんてここにはいないかと…(顔でスリスリ……手でもにゅもにゅ)   (2023/1/2 08:33:40)

ペコリーヌ> それは確かに？でもまぁ遠慮なく触る人もいがいといないですけどね(たぷっと豊満な胸をゆらし、ふに、ふに、顔にしっかりおしつけ   (2023/1/2 08:35:36)

後藤ひとり> あっ、それはついつい……(目逸らしながら顔全体で胸の感触を確かめてうへへ……)   (2023/1/2 08:39:33)

後藤ひとり> あ、着きました……   (2023/1/2 08:44:32)

ペコリーヌ> まずはおまいりとか、そういうのしましょうね、神社は一応申請な場所ですし！   (2023/1/2 08:46:28)

後藤ひとり> 今並んでます………あと焼きそばの屋台もありました………   (2023/1/2 08:47:22)

ペコリーヌ> 屋台、いまもあるんですね！(きらっきら   (2023/1/2 08:56:00)

後藤ひとり> 唐揚げとかもんじゃ焼きも……   (2023/1/2 08:57:00)

ペコリーヌ> おー、からあげ、ちょっと珍しい。ご、ごはんのおかずにします(おにぎり用意中   (2023/1/2 08:58:45)

後藤ひとり> 普通の白米でいいのでは……ていうかほんとに色々な屋台ありますね……朝食べたので食べないですけど……   (2023/1/2 08:59:30)

ペコリーヌ> 正月って感じでいいですねー♪　とりあえずおみくじはひいてみては？   (2023/1/2 09:01:32)

後藤ひとり> 引きました……凶でした………(ずーん)   (2023/1/2 09:04:55)

ペコリーヌ> 凄いですね、あまりないと噂なのでそれはとてもついてますよ！今年はいいことあります(本当にありそうなきがします   (2023/1/2 09:05:49)

ペコリーヌ> 一応あるかは置いといて…大凶もあるんですね(へーって、実はあんまり引いた事ないおみくじ   (2023/1/2 09:07:47)

後藤ひとり> 家族3人のうち2人が凶でした……(真顔)   (2023/1/2 09:07:52)

ペコリーヌ> それは凄く愛されてるのでは？(おめめぱちぱち   (2023/1/2 09:10:51)

後藤ひとり> 疫病神にですか？………(黒いオーラドロドロ)   (2023/1/2 09:11:39)

ペコリーヌ> あ、あの。おみくじで凶なら今年落ちることないですから、セーフですせーふ！   (2023/1/2 09:15:41)

後藤ひとり> ちなみに待ち人は来ないらしいですよ………(悲しみのギター演奏)   (2023/1/2 09:16:50)

ペコリーヌ> 待ち人ですかー。今年はのんびり過ごしましょう(大体待ってると誰も来ないのでおおらかな心でいます   (2023/1/2 09:18:03)

後藤ひとり> 病気が危ないみたいなので……ここに私が来なくなったらそういうことです……(にこ)   (2023/1/2 09:20:25)

ペコリーヌ> ひとりさん、とりあえず寒くて風邪ひかないでくださいね   (2023/1/2 09:22:58)

ペコリーヌ> (私も寒くて風邪ひきそうですし、ふるふる)   (2023/1/2 09:23:19)

後藤ひとり> 暖かくしてください！？   (2023/1/2 09:23:42)

ペコリーヌ> あ、寝ちゃいそうかも(ひとりさんかえるまではみおくりましょう、うとうと   (2023/1/2 09:30:14)

後藤ひとり> え！？今から一駅分あるきますよ？(ぎゅ)   (2023/1/2 09:30:34)

ペコリーヌ> ひとりさん何気に結構がんばりますね？(自電車でならやりますけど、なでなで   (2023/1/2 09:32:11)

後藤ひとり> 親がそういうので……それに運動もしてないので……(撫で受け)   (2023/1/2 09:32:55)

ペコリーヌ> あー、なるほど。新年だからあるいておけは確かに正しいかも（うんうん、そのまま動かないってなっちゃいますもんね   (2023/1/2 09:35:19)

後藤ひとり> そういうことです……ペコリーヌさんは無理せず寝てもいいですよ？ぎゅ   (2023/1/2 09:38:42)

ペコリーヌ> 多分ゆだんしたらねてます！(なでなで   (2023/1/2 09:40:37)

後藤ひとり> なら寝てください！(すりすり)   (2023/1/2 09:41:38)

ペコリーヌ> （つんつん   (2023/1/2 09:58:15)

後藤ひとり> はい！   (2023/1/2 10:04:09)

ペコリーヌ> お、さむくないですかー（ぎゅう   (2023/1/2 10:04:35)

後藤ひとり> 寒いです……(ぎゅ)   (2023/1/2 10:08:33)

ペコリーヌ> おぉ、こちらはあったかいです（すり、すり   (2023/1/2 10:16:14)

後藤ひとり> ならよかったです……(むぎゅ…すり)   (2023/1/2 10:20:43)

ペコリーヌ> えへへー、ひとりさんがかえるまでがえんそくです(ぎゅうっと胸をおしつけて   (2023/1/2 10:23:18)

後藤ひとり> ふかふかでモチモチですね……(顔で感触を堪能したり指でつんつん)   (2023/1/2 10:24:00)

ペコリーヌ> ふふふー、もちもちですー(柔らかな胸をぷに、ぷにりっとおしつけ   (2023/1/2 10:27:08)

後藤ひとり> えっちで素敵です……(むにむに……もみもみ)   (2023/1/2 10:28:19)

おしらせ> ミホノブルボンさんが入室しました♪  (2023/1/2 10:29:44)

