/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月26日 15時18分 ～ 2018年06月27日 09時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

田井中律> まだこんにちはじゃね？(笑いながら背泳ぎぷかぷか～)   (2018/6/26 15:18:42)
田井中律> 魚の泳ぎって……サメになりそうだな？(笑)   (2018/6/26 15:36:09)

弱音ハク> ぁぁ、ゆったり……（背泳ぎでふよふよと浮かんで）　ぁ、知ってます？サメって泳いでないと沈んじゃうんですよ   (2018/6/26 15:37:21)

弱音ハク> で、沈んでもいいじゃん？　と開き直ったのがエイです   (2018/6/26 15:37:59)

弱音ハク> あの2つ全く同じ生物なんですよ……私はエイになりたいですけど   (2018/6/26 15:38:40)

田井中律> そうなんだ？泳いでないと死んじゃうマグロみたいだな。魚の習性は色々大変だ。   (2018/6/26 15:39:07)

田井中律> 私はシャチが良いなぁ～♪(足だけばたついて)   (2018/6/26 15:39:52)

弱音ハク> マグロは死んじゃいますね……鰓呼吸ができないので口から酸素を取り込まないと酸欠に   (2018/6/26 15:39:54)

弱音ハク> 変な魚ですよね   (2018/6/26 15:40:13)

田井中律> 魚はどれも変っていうより適切に環境に応じて生きているだけだから(苦笑)   (2018/6/26 15:41:18)

弱音ハク> （軽く足を動かすだけでスイーッと泳ぎ）　どうなんでしょうね、それ……人間もそうですけど進化失敗してますし……   (2018/6/26 15:41:54)

弱音ハク> 体（潜り、脚だけだして、くるくると回転し開脚してますます回転を早め……（突然顔を出して軽くポーズを取り）　………   (2018/6/26 15:43:33)

弱音ハク> 久しぶりの水泳ですけど、まだなんとかなるものですね……   (2018/6/26 15:43:58)

田井中律> シンクロか？(笑)なんでもやるんだな？   (2018/6/26 15:44:46)

弱音ハク> まぁ一応……いろいろ手を出してはいましたから……（若い頃はお金あったしなぁ）   (2018/6/26 15:45:30)

田井中律> 進化失敗とは言い切れないけどな～火星移住計画とかあったりする位あるしな～   (2018/6/26 15:45:41)

弱音ハク> あーむりでしょ、それ   (2018/6/26 15:45:58)

田井中律> ムギみたいな奴だな？(笑)   (2018/6/26 15:46:16)

弱音ハク> もう人類に未来はありませんし   (2018/6/26 15:46:19)

田井中律> Σもう否定してる？！ちょっとは頑張ろうよ！   (2018/6/26 15:47:03)

弱音ハク> この50年で宇宙に言った人類は300人程度。そして人口倍増期は25年と言われています   (2018/6/26 15:48:40)

田井中律> (平泳ぎしてちょっと泳いでみたり)   (2018/6/26 15:48:53)

弱音ハク> そして人口は既に70億人ですが……恥丘にはそれだけのカロリーも燃料もないんですねー   (2018/6/26 15:49:29)

弱音ハク> 100年後には8倍……不可能に決まってるじゃないですか   (2018/6/26 15:50:06)

弱音ハク> あと、律さん　ちょっといいですか？   (2018/6/26 15:50:29)

田井中律> 知ってるさ、そこら辺はな～でも個人どうこうレベルじゃないからそれ   (2018/6/26 15:50:41)

田井中律> ん？何だよ？(きょと)   (2018/6/26 15:51:03)

弱音ハク> ハイだからもう辞めるので別の話をしようかなと   (2018/6/26 15:51:12)

弱音ハク> さっきシンクロ、褒めてくださいました？   (2018/6/26 15:51:33)

田井中律> 話変換は全然良いよ？う？うん、そうなるかな？(首傾げて)   (2018/6/26 15:52:40)

弱音ハク> もしお褒めいただけたのなら、チュってしてほしいなぁとか想ってるだけで言ってません（言ってる）   (2018/6/26 15:53:23)

田井中律> なんだよ、そういうのはねだる事じゃないだろうに…(ハクの側に泳いで行くと肩に掴まり頬にチュッ)   (2018/6/26 15:55:06)

弱音ハク> ひゃん……積極的な方ですね   (2018/6/26 15:55:52)

田井中律> 自分でねだっといて言うか？ソレ(あははと笑いながら)   (2018/6/26 15:56:40)

弱音ハク> ねだってません　それと、その……泳ぎ方から気になったんですけど、指にも後がありますね？ドラムの   (2018/6/26 15:56:59)

田井中律> そりゃ、部活でドラム叩いてるから跡になるだろ？スティックのさ～(片手でスティック回すフリをしてみせて)   (2018/6/26 15:58:23)

弱音ハク> よろしければ少し練習します？　あれでしたらご指導も出来るかもしれませんし（ベースは世界レベル、ドラムも出来る）   (2018/6/26 15:58:28)

弱音ハク> やっぱり……   (2018/6/26 15:58:48)

弱音ハク> まぁ水中じゃよくわかりkませんし、律さんの気が向いたらで……（またスイーッと背泳ぎ（たゆん））   (2018/6/26 15:59:54)

田井中律> え～？プールで遊んでるのに、練習はヤダなぁ～(ブーブーと頬膨らませて拗ねて)   (2018/6/26 16:00:04)

弱音ハク> いえいえ、息抜きも大事ですから……でも……   (2018/6/26 16:00:29)

弱音ハク> 若い時期の時間ってあっという間ですよ……   (2018/6/26 16:00:55)

弱音ハク> （14歳ではかなり売れてたが10年後の今じゃもう……）   (2018/6/26 16:01:34)

田井中律> ハク暗いぞ！(泳いで近づくとバシャバシャと水掛けてやり)   (2018/6/26 16:01:50)

弱音ハク> ひゃん……やりましたね……お返しです！（両手で変な形を作ると水流が律の顔めがけて）   (2018/6/26 16:03:26)

田井中律> うわっ！なんだソレ卑怯だぞ！(水流がやってきてもはや水掛けレベルじゃない事に文句言って)   (2018/6/26 16:06:23)

弱音ハク> （あれです、あれ。お風呂で遊ぶ荒れ）   (2018/6/26 16:06:52)

弱音ハク> 先にやったの律さんですもーん（しれっと）   (2018/6/26 16:07:30)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/26 16:07:40)

田井中律> (え？どれの話？？)   (2018/6/26 16:07:41)

弱音ハク> （水かけたの）   (2018/6/26 16:07:57)

霍青娥> 【律さんごめんなさい…寝ちゃってしまいました！！（土下座   (2018/6/26 16:08:03)

田井中律> 【あ～大丈夫ですよ？(にへら)】　   (2018/6/26 16:08:34)

弱音ハク> 【寝落ち、嫌い……ですけど謝られたら許すしか無いじゃないですか……】   (2018/6/26 16:09:01)

弱音ハク> さ、もっといきますよー？（今度はざばぁっと水をかけ）   (2018/6/26 16:09:53)

霍青娥> 【今から用事があるもので、今からは何もできないですが、戻りまして律さんが暇でしたらその時埋め合わせしますっ、本当に申し訳ありませんでしたっ   (2018/6/26 16:09:59)

田井中律> 【寝落ちは誰にでもあるのですよん？】   (2018/6/26 16:10:01)

おしらせ> 霍青娥さんが退室しました。  (2018/6/26 16:10:05)

田井中律> うわ！(ざぱぁと水かけられて髪が水でびしょびしょになってしまい)   (2018/6/26 16:11:02)

弱音ハク> 【まぁ判らないでもないですし私がされたわけじゃないですけど……ここの所ずっと寝落ちされてて】   (2018/6/26 16:11:17)

田井中律> 【おきにならさずです♪】   (2018/6/26 16:11:37)

弱音ハク> くすくす、律さんｋqい（スイート近づいておでこにキスしようと）   (2018/6/26 16:12:10)

弱音ハク> 可愛い、です   (2018/6/26 16:12:20)

田井中律> 【まあ、途中で寝落ちられたら辛いよね？(うんうん)】   (2018/6/26 16:12:20)

弱音ハク> 【特に個室だと1時間待ったりとか、きついです…・】   (2018/6/26 16:13:03)

田井中律> (近付いてくるハクになんだろうと無防備にみつめて)ハク？？   (2018/6/26 16:13:39)

弱音ハク> 【部屋ならまだ20分でわかるんですけどね】   (2018/6/26 16:13:51)

弱音ハク> ………キスしたいです   (2018/6/26 16:14:10)

田井中律> 【私は予告しますね。それ込みで誘ってくる人良く居るし】   (2018/6/26 16:14:35)

弱音ハク> 【オナq軸値落ちはしないように、きついときは血ゃNGと言うようにしてます】   (2018/6/26 16:15:15)

田井中律> ばぁか。そういうのは言わないでするんだよ？(ハクの鼻を摘まんでやり笑ってから自分から不意討ちで唇にチュッ)   (2018/6/26 16:15:46)

弱音ハク> きついときはちゃんというようにしてます   (2018/6/26 16:15:50)

弱音ハク> んｌ！（いきなりされても、やっぱり嬉しそうに抱き血て……）   (2018/6/26 16:16:40)

弱音ハク> でもやっぱり同意は必要かと……それに私、ほら……BBAですし   (2018/6/26 16:17:26)

田井中律> 【ハク、変換は落ち着けって(笑)ちゃんと言った上で一昨日はいっぱい付き合ってくれたよ(至福)】   (2018/6/26 16:17:39)

弱音ハク> 【ちょっと眼の具合が良くなくないもので、すみません】   (2018/6/26 16:18:27)

田井中律> な…何？(いきなり抱き付かれてびっくりして)   (2018/6/26 16:18:48)

田井中律> 【それもあるんじゃないのか？相手様が気分乗らなくなったとか？】   (2018/6/26 16:19:39)

弱音ハク> す、すみません……（はっとしてすぐ離れ）　まさかこんな私にキスしてくださるとか想ってなかったもので、つい   (2018/6/26 16:20:12)

弱音ハク> 【誤字多すぎですよね、確かに】   (2018/6/26 16:21:00)

田井中律> そういう自虐的なのは良くないぞ？ちょっとのネタなら良いけどな？(ムムムと眉寄せて)   (2018/6/26 16:21:49)

弱音ハク> 私から自虐を取ったら酒しか残らないって知ってました……？（事実かもしれない）   (2018/6/26 16:22:43)

田井中律> 【後、プレイの波にその自虐的なの入ってるのはちょっとダメかな？】   (2018/6/26 16:22:59)

弱音ハク> 【一応ギャグ枠で来てるんですけど、弱音ハクってもう名前からしてあれかと】   (2018/6/26 16:23:49)

田井中律> いやいや、ちゃんと自分を出せば良いだろ？(そんな事ないだろうに)   (2018/6/26 16:24:15)

弱音ハク> 【なので自虐を入れてますけど、地味に人気等体外は何でも出来るぞ―と入れてるんです】   (2018/6/26 16:24:56)

弱音ハク> 人気と歌以外です   (2018/6/26 16:25:17)

田井中律> 【ギャグ枠で固定するなら個室行ったらアカンだろ？】   (2018/6/26 16:25:23)

弱音ハク> ま、まぁそのへんはいろいろありまして……   (2018/6/26 16:25:49)

弱音ハク> 【律さんにはギャグ枠、そして一応プロの技を伝授したり、キスしたりしたいなぁと】   (2018/6/26 16:26:47)

田井中律> じゃあ、いっそCCするしか無いんじゃないか？(根本的解決法)   (2018/6/26 16:26:54)

弱音ハク> 【だってハク大好きなんですもの！　後、アニメ見てないのでよく知らないんですよ、軽音は見ましたが】   (2018/6/26 16:28:09)

おしらせ> 籾岡 里紗さんが入室しました♪  (2018/6/26 16:28:37)

田井中律> 【ギャグはツッコミ好きだから良いけど、ドラムの件は要らないかな？そゆの目的じゃないから(ぁ)キスだけで良いのか？(笑)】   (2018/6/26 16:28:48)

田井中律> 【なら軽音で出来るじゃん(笑)】   (2018/6/26 16:29:13)

籾岡 里紗> やっほー！こんにちはー(休憩中なのでひょっこり顔だけだしておててひらひらご挨拶)   (2018/6/26 16:29:20)

弱音ハク> キス以上も何もやっぱり同意が……ただ襲いかかったらレイプですしここはそう言う部屋じゃないですし   (2018/6/26 16:29:44)

田井中律> 里沙だ！やっほ～(手を振ってから里沙を手招きして)   (2018/6/26 16:30:02)

弱音ハク> 軽音で好きなのは澪、憂ですが　これ絶対固定になっちゃいますよね、どっちも   (2018/6/26 16:30:55)

籾岡 里紗> わぁ、律のスク水姿可愛いんだけどっ！(くぅーん、襲いたい…)えっと、すぐいなくなっちゃうんだけどさ、律…今日の夜空いてる？(お誘いお誘い♪)   (2018/6/26 16:31:14)

弱音ハク> こんばんわ   (2018/6/26 16:31:26)

田井中律> ハクは根本的な解釈が違うんだよきっと。ちょっと待ってて？(ハクにお座り(笑))   (2018/6/26 16:31:29)

弱音ハク> はい（素直にお座り、正座）   (2018/6/26 16:32:03)

田井中律> そうか？へへ、里沙に見られちゃったな？(プールから出ると里沙に近付いて水着を引っ張ってチラッと胸を見せつける)夜？日付変わるまで位なら大丈夫だけど何時から里沙は暇なの？(首傾げて)   (2018/6/26 16:33:26)

弱音ハク> 【ステイ中】   (2018/6/26 16:34:01)

おしらせ> 大宮忍さんが入室しました♪  (2018/6/26 16:34:10)

田井中律> 【里沙にお誘い貰っちゃった(///∇///)】   (2018/6/26 16:34:20)

大宮忍> こんにちはー🎶   (2018/6/26 16:34:30)

田井中律> こんにちは～♪   (2018/6/26 16:34:52)

籾岡 里紗> ぐっ…さらに襲いたくなるからそれはだめっー！(と、顔を背けながらちらっと見せられた隙間に手を差し込んで濡れた胸をもみもみ)９時からなら大丈夫だからおやすみまであそぼー！(ぶいぶい)   (2018/6/26 16:34:56)

弱音ハク> こんばんわ（絶賛正座中）   (2018/6/26 16:35:00)

籾岡 里紗> こんにちはー！   (2018/6/26 16:35:10)

大宮忍> どうも…大宮忍です～♪(なんてニコリと笑いつつ)   (2018/6/26 16:35:58)

籾岡 里紗> 【えへへ、お誘いおっけーもらっちゃった♪】   (2018/6/26 16:36:22)

田井中律> ぁん…言いながら胸を揉んでる癖に…は…んっ//////(胸を揉まれて乳首が堅くなって里沙の掌に伝わり)分かった。21時ね？ちゃんと待ってるね♪チュッ(里沙の唇にキスしてにっこり笑って頬染めて)   (2018/6/26 16:37:27)

弱音ハク> （プールの端で正座してます……いい加減痛く、でも我慢   (2018/6/26 16:37:29)

田井中律> 【わ～い♪21時から里沙と遊べる(///∇///)】   (2018/6/26 16:38:04)

大宮忍> えっと…何をなされているのですか？(正座してる女の子を見つめ)   (2018/6/26 16:38:45)

田井中律> (忍じーっと見ながら)カレン…かな？(はて)   (2018/6/26 16:39:15)

籾岡 里紗> んぅ…これで九時まで頑張れそう♪(キスされると私も少し頬を赤めて…)はーいっ、またあとでね！(硬くなった乳首をくりっと優しく捻ってから手を離して手をブンブン振って)   (2018/6/26 16:39:24)

弱音ハク> 律さんに正座してろと言われて……   (2018/6/26 16:39:35)

籾岡 里紗> 【お部屋汚しごめんなさいでしたー。またねっ】   (2018/6/26 16:39:37)

おしらせ> 籾岡 里紗さんが退室しました。  (2018/6/26 16:39:41)

田井中律> 【は～い♪里沙、後でね♪】   (2018/6/26 16:40:02)

大宮忍> カレンは私のお知り合いですっ(操作してる人が同じなのです)>律さん な、なぜそのような…>ハク   (2018/6/26 16:40:44)

田井中律> と、こんな感じでお誘いするのはレイプとかでは無いからな？(里沙とのやり取り見本にハクにお小言)   (2018/6/26 16:41:03)

弱音ハク> はい……？   (2018/6/26 16:41:27)

田井中律> あ～やっぱり。トオルと待ち合わせ？忍   (2018/6/26 16:41:40)

弱音ハク> （それは同意があって、じゃないかなぁと想いながら、それをいったんだけどなぁと）   (2018/6/26 16:42:22)

大宮忍> 人待ちではないですよ…♪誰でもです～(ニコリと笑いつつ)   (2018/6/26 16:43:27)

田井中律> (襲うの根本的な件は自分が仕掛けた事が相手が良いか嫌かの違いでしょ？嫌がったら引けば良いんだよ)   (2018/6/26 16:44:19)

田井中律> ふ～ん、それじゃ、ちゃんと水着を着ないとじゃないかな？(じー)   (2018/6/26 16:44:56)

弱音ハク> （じゃぁ無理ですよぅ……）   (2018/6/26 16:45:01)

弱音ハク> （そんな度胸ありませんし……）   (2018/6/26 16:45:30)

弱音ハク> 【未だに正座してます】   (2018/6/26 16:46:06)

大宮忍> …あう…着替えてきます…(なんてそっと)   (2018/6/26 16:46:26)

田井中律> ググったら鬼畜こけし出た(何笑)   (2018/6/26 16:46:45)

削除> 削除  (2018/6/26 16:47:26)

田井中律> 【正座は解除して良いよ？】   (2018/6/26 16:47:51)

大宮忍> (水着のイメージです)鬼畜こけし…(なんの話だろうと)   (2018/6/26 16:48:03)

弱音ハク> あら可愛い   (2018/6/26 16:48:07)

田井中律> 私も分かんない！ググったらタグにあった(笑)   (2018/6/26 16:49:37)

弱音ハク> （正座を解除されるとあざの跡をもみ、何度も柔軟しながら）   (2018/6/26 16:49:42)

大宮忍> 【彼女の無意識の鬼畜ですね、よく言われてます】おやおやあざも出来てますよ…   (2018/6/26 16:50:28)

田井中律> よし、忍と二人でハクがどうやったらお誘い出来るか考えよう♪(なんか始まった)   (2018/6/26 16:51:08)

弱音ハク> はい、流石にもう水に入るのはやめておこうかと……   (2018/6/26 16:51:11)

弱音ハク> はい？   (2018/6/26 16:51:28)

田井中律> 【無意識に鬼畜って凄いな(汗)】   (2018/6/26 16:51:42)

弱音ハク> 私金剛モザイクとか知らないんですけど！！   (2018/6/26 16:51:59)

田井中律> ハクがちゃんと相手が落ちずに居られる様に話し合うんだ！   (2018/6/26 16:52:22)

大宮忍> 【色々とあるのです、金剛モザイクはカレンと金剛の声優が同じだなのですね】   (2018/6/26 16:52:40)

弱音ハク> 意味が全くわかりません！！日本語でお願いします！   (2018/6/26 16:53:03)

田井中律> というか、ハクは作品しらないって強く出すのダメだよ？(メッ)   (2018/6/26 16:53:07)

弱音ハク> でも知ってるふりはできませんし……   (2018/6/26 16:53:39)

田井中律> 私人を見る目有るから、そゆの得意(笑)   (2018/6/26 16:54:00)

弱音ハク> ちゃんと言わないと失礼かと……   (2018/6/26 16:54:02)

田井中律> 忍にはトオルを知り合わせました！(忍指差し)   (2018/6/26 16:54:32)

弱音ハク> （何を言ってるんだろうこの人）   (2018/6/26 16:54:40)

大宮忍> はい、そうでしたか…   (2018/6/26 16:54:44)

田井中律> え？私は作品自体殆ど知らないけどあえて言わないよ？キャラ確認するだけで、結局話が合うか合わないかだろ？   (2018/6/26 16:55:51)

田井中律> 忍(カレン)にはここ来た初日にヤられちゃったよな～(思い出しながら)   (2018/6/26 16:57:23)

大宮忍> なるほど…(うなづいて)   (2018/6/26 16:58:26)

田井中律> ハク？生きてる？(笑)   (2018/6/26 16:59:17)

弱音ハク> ………   (2018/6/26 16:59:29)

弱音ハク> 【寝落ちはしない主義です】   (2018/6/26 17:00:02)

田井中律> どした？黙って？(きょと)   (2018/6/26 17:00:15)

田井中律> 【なんだ？何主張だよ？(笑)】   (2018/6/26 17:00:37)

弱音ハク> いえ、会話に混ざれなかったもので   (2018/6/26 17:00:46)

田井中律> まあ、いいや。ハクはどういうのが一番好きなシチュなんだ？   (2018/6/26 17:01:44)

弱音ハク> ……   (2018/6/26 17:02:13)

田井中律> ん？？   (2018/6/26 17:02:36)

弱音ハク> 無言も答えになります   (2018/6/26 17:02:56)

田井中律> ………   (2018/6/26 17:04:00)

田井中律> これで相手に何が伝わると？(むぅ)   (2018/6/26 17:04:47)

田井中律> 今度は忍か？(むぅ)   (2018/6/26 17:05:11)

大宮忍> はい？(キョトン)え、えっと話すことありませんでした   (2018/6/26 17:06:57)

弱音ハク> 律さんに魅力を感じなくなった、それは伝わりましたよね   (2018/6/26 17:06:58)

弱音ハク> こじんとのCPは禁止といいながら、自分の恋人が来た途端にそっちしか相手しないとか   (2018/6/26 17:08:19)

弱音ハク> いってることがむちゃくちゃです   (2018/6/26 17:08:38)

田井中律> 二人してそんな事言うんだ？心配して損した！(プイと二人から離れてプール飛び込み)   (2018/6/26 17:08:49)

弱音ハク> まさかそれすら気づいていなかったんですか   (2018/6/26 17:09:10)

大宮忍> わ、私何かしましたか？   (2018/6/26 17:10:19)

田井中律> 【そこ違うよね？ちゃんと見てた？休憩中にわざわざ来たんだよ？相手が時間無いんじゃそうなるじゃないか？それに、恋人ではないよ？】   (2018/6/26 17:10:55)

弱音ハク> それ、言い訳にもなってません   (2018/6/26 17:11:53)

田井中律> 【私が言ったあらかさまな固定CPって言うのは例えば律で待機していて澪とか軽音で入って、他の人を無視して私にしか話し掛けないとか、さっきなんかはいきなりエッチに持ってくる無茶苦茶行為の事！】   (2018/6/26 17:12:50)

弱音ハク> えーと、そのさっきはわかりませんが　たしかにそれは異常ですね   (2018/6/26 17:14:04)

田井中律> 【時間が無い人を優先するのは人として礼儀じゃない？じゃあ、ハクは雑談中に緊急電話来ても無視して私と話せとか言っちゃう人なの？嫌でしょ？ソレ】   (2018/6/26 17:15:24)

弱音ハク> それは極論過ぎますので聞かなかったことにします   (2018/6/26 17:16:20)

弱音ハク> 忍さん   (2018/6/26 17:18:20)

大宮忍> はい？   (2018/6/26 17:18:27)

弱音ハク> CCお願いしてはいけませんか   (2018/6/26 17:18:55)

弱音ハク> 華恋さんですよね？   (2018/6/26 17:19:42)

大宮忍> 違いますよ？   (2018/6/26 17:20:14)

弱音ハク> ぇ   (2018/6/26 17:20:19)

弱音ハク> 勘違いしてましたすみません   (2018/6/26 17:20:36)

田井中律> 青娥が何時来るか分かんないから隅っこで一人で泳いでますよっと。(平泳ぎですいすい)【クールダウン中】   (2018/6/26 17:20:47)

弱音ハク> では、邪魔するのもなんですしでますね   (2018/6/26 17:21:09)

弱音ハク> あらしてすみませんでした   (2018/6/26 17:21:23)

大宮忍> 大丈夫ですよ   (2018/6/26 17:21:29)

田井中律> 【どうやら意見の相違があるみたいなのでソロルしてます】   (2018/6/26 17:21:35)

弱音ハク> （ぺこ）   (2018/6/26 17:21:36)

おしらせ> 弱音ハクさんが退室しました。  (2018/6/26 17:21:47)

大宮忍> 【私はよくわからないですが、】   (2018/6/26 17:22:33)

田井中律> 【あらしてないじゃん。お互いの見てる方向が違ってるだけじゃん】   (2018/6/26 17:22:41)

大宮忍> 【そうですね、悪いことしました】   (2018/6/26 17:23:52)

田井中律> 【はぁ…もう何も言うまい。】   (2018/6/26 17:25:46)

大宮忍> 【悪いことをしたといのは止めてあげれなかったって事です】   (2018/6/26 17:26:27)

田井中律> 【まあ、しょうがない。過ぎた話…（苦笑】   (2018/6/26 17:28:04)

大宮忍> 【後でハクさんにも謝らないとです】   (2018/6/26 17:29:06)

田井中律> 【忍、巻き込んだみたいになってごめんな？(頭下げ)】   (2018/6/26 17:29:23)

大宮忍> 【こちらこそ何も話せずごめんなさい！】   (2018/6/26 17:30:07)

田井中律> 【結局私がお節介したせいみたいだし…(ふう)】   (2018/6/26 17:30:58)

大宮忍> 【そんなことはないのです】   (2018/6/26 17:31:32)

大宮忍> 【とにかくまた会えたら謝らないです】   (2018/6/26 17:31:41)

田井中律> 【忍多分とが抜けてる(笑)】   (2018/6/26 17:32:12)

大宮忍> 【は、はわわ、すいません！】   (2018/6/26 17:34:26)

田井中律> 【まあ、いいや。ずっとPLしてんのもあれだから遊びましょう♪】　   (2018/6/26 17:36:49)

大宮忍> えーと、人がいなくなりましたね…【はーい】   (2018/6/26 17:37:19)

田井中律> (隅っこで一人で泳いでいて飽きてプールサイドに出て)疲れた～   (2018/6/26 17:38:16)

大宮忍> お疲れ様です…(なんて微笑みかけて)   (2018/6/26 17:38:49)

田井中律> 忍は泳がないのか？(首傾げて近付いて)   (2018/6/26 17:39:27)

大宮忍> 【と、1度抜けますね】   (2018/6/26 17:41:01)

田井中律> 【は～い。】   (2018/6/26 17:41:27)

大宮忍> ただいまですー   (2018/6/26 17:46:52)

田井中律> おか～(手振り振り)   (2018/6/26 17:47:34)

大宮忍> えっと…私は泳ぐのはあまり得意ではなく…   (2018/6/26 17:48:02)

田井中律> 泳ぐの楽しいじゃん。もしかして、泳げない？   (2018/6/26 17:48:58)

大宮忍> そんなことはないですよ？…【原作でも海で泳いでませんでしたし】   (2018/6/26 17:50:00)

大宮忍> 【どちらかというと、くつろぐ系です】   (2018/6/26 17:51:20)

田井中律> そっか、じゃああっちでジュース飲もうよ？(忍の手を引いてドリンクバーに向かう)【そうなんだ？ブレンドＳにも居たわ～(笑)】   (2018/6/26 17:52:08)

大宮忍> あ、はい…(なんてドリンクバーで飲み物を入れて)【ブレンドS、中の人が忙しくて見れませんでした泣】   (2018/6/26 17:53:36)

田井中律> 私は何にしようかな～(ジュース選びながらも迷っていて)【まだ連載してるし何時かは第２期も(何期待)】   (2018/6/26 17:55:40)

大宮忍> 私は適当にカルピスで…(そう伝えて待ちながら)【どーゆーお話ですかね？】   (2018/6/26 17:58:54)

