/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月20日 06時41分 ～ 2022年12月20日 12時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> 話は聞かせてもらいました！ヨーグルト食べましょう！（バ　ァ　ン   (2022/12/20 06:41:24)
フィー> フィーもうれしいですね♪   (2022/12/20 08:15:51)

後藤ひとり> まだ大学生なら若いかと………   (2022/12/20 08:16:24)

秋山澪> 小春さんにフィーさん、ぼっちちゃん　仲がいい人が増えてくれると本当に嬉しいな　ただでさえ重いネタを振りがちで敬遠されることが多いから、私   (2022/12/20 08:17:14)

フィー> 重い、ですか？   (2022/12/20 08:17:51)

秋山澪> ぼっちちゃん　（またもガシッと肩を掴み）　いい？　JKとJDじゃ……価値が全然違うんだよっ！　もう賞味期限が迫ってる言っても良い！　３割引シールはられてるんだ私は！（偏見）   (2022/12/20 08:18:43)

後藤ひとり> 私も重いですよ…多分……   (2022/12/20 08:19:46)

フィー> 今ここには高校生2人と大学生ひとり、アンドロイドひとりいるわけですね（ふむ   (2022/12/20 08:19:50)

秋山澪> 【ぼっちざろっく見て、結束バンドの腕を見て、バンドを諦め大学も中退した設定なんだ、私　重いと言われたら重い』   (2022/12/20 08:19:54)

後藤ひとり> えっ！？いやいやそんなことは無いです……それを言うなら私もあと3年でそうなりますし！   (2022/12/20 08:20:21)

後藤ひとり> 思い！   (2022/12/20 08:20:28)

秋山澪> ぼっちちゃんの重さはそもそも公式だろ　私は勝手に作った設定だからね   (2022/12/20 08:20:41)

小春六花> 重くて病んでる女の子ってこう依存して欲しくならない？（爆弾発言）   (2022/12/20 08:20:54)

フィー> わかる   (2022/12/20 08:21:02)

秋山澪> （したい）   (2022/12/20 08:21:11)

後藤ひとり> わかるんですか！？   (2022/12/20 08:22:24)

秋山澪> （特に年下の娘に依存したくなる……）   (2022/12/20 08:22:36)

後藤ひとり> オリジナル設定でしたか……   (2022/12/20 08:22:38)

秋山澪> 漫画（公式）では大学半年が書かれてるだけなので、別に辞めたりしてないよ？   (2022/12/20 08:23:30)

小春六花> よかった、仲間がいた   (2022/12/20 08:23:48)

後藤ひとり> ほんとにそんな設定ないですよね………よかった……   (2022/12/20 08:24:30)

秋山澪> ただ、ぼっちざろっく見ると……次元がちがすぎて絶対諦めるとしか思えないんだよ   (2022/12/20 08:24:33)

秋山澪> ３つも年下なのにあの完成度　あとけいおんの話になるけど結衣＆憂の才能……　心折れるよ絶対   (2022/12/20 08:25:50)

後藤ひとり> 全然まだまだですよ……私なんて1人ならともかく合わせられないですし……   (2022/12/20 08:26:57)

秋山澪> スタジオなら合わせられるんじゃない？   (2022/12/20 08:27:30)

後藤ひとり> ま、まあ前よりは   (2022/12/20 08:28:12)

秋山澪> っていうか噂で聞いたんだけど、いきなりろどうライブしたとか？　びっくりだよ　よく捕まらなかったね？   (2022/12/20 08:29:09)

後藤ひとり> よく知ってますね……つ、捕まりはしなかったですけど……   (2022/12/20 08:30:26)

秋山澪> 噂を聞いただけ　そう云うのはちゃんと許可取らないとだめなんだ　注意程度で済むことが多いみたいだけど   (2022/12/20 08:31:26)

後藤ひとり> ま、まあ高校生なら捕まりはしないですよね………でもたまに街中で演奏する人いますもんね……   (2022/12/20 08:32:01)

秋山澪> これも噂なんだけど、池袋に名物おじさんが居てね　毎日のように演奏しては警察の人に怒られてたんだってさ   (2022/12/20 08:32:55)

後藤ひとり> 警察もしつこいですね……   (2022/12/20 08:33:16)

秋山澪> しつこいのはおじさんの方だと思うけど……   (2022/12/20 08:33:37)

小春六花> 急に国家権力に逆らい始めた   (2022/12/20 08:33:54)

秋山澪> ぼっちちゃんだね、逆らったの（あの酔っぱらいが原因だと知らない）   (2022/12/20 08:34:33)

後藤ひとり> いやそういうのは普通にほっとくか捕まえるべきなので……しつこいというか粘り強い？   (2022/12/20 08:34:33)

秋山澪> 条例じゃ中止させることしか出来ずに、逮捕はできないらしいよ？　詳しくは解らないけど   (2022/12/20 08:35:33)

後藤ひとり> な、なるほど……！ていうかバスに座ってからいきなり眠気が……   (2022/12/20 08:36:21)

小春六花> 寝ちゃう？寝ちゃう？（わくわく   (2022/12/20 08:36:53)

秋山澪> もう少しぼっちちゃんを弄りたいんだけど、ちょっと離席しないと　３０分ほど   (2022/12/20 08:36:58)

後藤ひとり> ならとりあえず寝て起きれたら会います？   (2022/12/20 08:37:16)

秋山澪> 一旦離れるよ　もしまだ居てくれたら嬉しいんだけど　それじゃね   (2022/12/20 08:37:36)

後藤ひとり> はいではまた……   (2022/12/20 08:37:44)

おしらせ> 秋山澪さんが退室しました。  (2022/12/20 08:37:50)

後藤ひとり> おやすみなさいです   (2022/12/20 08:37:54)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/20 08:37:56)

小春六花> みんやおつかれさまー。   (2022/12/20 08:38:02)

フィー> おつかれさまです。   (2022/12/20 08:39:40)

フィー> …寒いですね。   (2022/12/20 08:39:43)

小春六花> まぁ、少し寒いね？   (2022/12/20 08:41:58)

フィー> あっためてくれません？（両手広げ   (2022/12/20 08:42:46)

小春六花> フィーちゃん排熱モードは？（ぢぃー   (2022/12/20 08:47:53)

フィー> 人肌のあったかさがほしいなぁって（   (2022/12/20 08:48:20)

小春六花> 甘えん坊フィーちゃんだ（なで   (2022/12/20 08:49:15)

フィー> えへへ（すり   (2022/12/20 08:49:33)

小春六花> 今日なに、どしたの？なんでそんなに甘えたなの？   (2022/12/20 08:49:54)

フィー> そういう気分ってだけですよ？   (2022/12/20 08:50:23)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/20 08:53:59)

小春六花> なるほど…？（なでりこもふりこ）おかえりー   (2022/12/20 08:54:19)

秋山 澪> ただいｍ……って　あれ、お邪魔ムードかな   (2022/12/20 08:54:37)

フィー> わぁい（ほわほわふぃーちゃん   (2022/12/20 08:54:43)

小春六花> 特にそゆのではないからへーき。秋山さんもこっちくるー？（フィーちゃんの顎を撫でつつ。   (2022/12/20 09:01:44)

秋山 澪> えっと、邪魔でないのなら……側に座っても、いいか？　（背負ったベースを壁に立てかけ、小春さんを挟むように　フィーさんの反対側におずおずと腰掛け））   (2022/12/20 09:03:47)

