/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月05日 23時19分 ～ 2018年06月06日 18時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子 ◆> 私も・・・あと少しだけ・・・   (2018/6/5 23:19:20)
リグル・ナイトバグ> 私自体珍しいのは…あるかもしれない。(私の作品、目立つ人はもっと居るからって視線を逸らしてソファにぽすん)   (2018/6/6 02:37:35)

おしらせ> 泉 こなたさんが入室しました♪  (2018/6/6 02:40:46)

マシュ・キリエライト> 珍しいのだったら、わたし関係者の木幡茜さんもそれなりにそれなりです。   (2018/6/6 02:40:50)

マシュ・キリエライト> 初めまして、こなたさん。マシュ・キリエライト、通りすがりの公務員と誤認識ください   (2018/6/6 02:41:23)

弦巻マキ＠リボン> マイナーな子呼んでいいならいっぱいいるけど、どのくらいマイナーな所からでいいのかって悩むものね……（高確率で調べなきゃわかんないとかだと厳しいのかなとかすこしなやむ）　　おっとと。こんばんは、で、はじめましてー？   (2018/6/6
02:41:43)

マシュ・キリエライト> ……ご認識下さい。誤認識では大変なことになります   (2018/6/6 02:41:44)

泉 こなた> 眠れぬ夜に東〇書店。こんばんはー寝る前に少しだけ。   (2018/6/6 02:41:45)

渋谷凛> はいこんばんわだね   (2018/6/6 02:42:04)

弦巻マキ＠リボン> マシュちゃんが洗脳でもしたのかと（ぽそ）   (2018/6/6 02:42:12)

渋谷凛> あなたを犯人です　と言い出しそうだね…   (2018/6/6 02:42:42)

マシュ・キリエライト> キャラ的に似ていますが、ご奉仕推奨波など撃ちませんし特に洗脳もしません。   (2018/6/6 02:42:47)

泉 こなた> あはは、随分可愛らしい公務員さんだねー。よろしくだよ。   (2018/6/6 02:42:55)

リグル・ナイトバグ> 誤認識されるマシュさん…。(させるの方が正しいのか)　マイナ―な作品も知るきっかけになって良いと思うけれど。(悩んでるマキさんにえーいってタックルじゃなくてちょっと抱き着きに行こう)   (2018/6/6 02:43:12)

リグル・ナイトバグ> そして、こなたさんはこんばんはだよ！(片手をふりふり)   (2018/6/6 02:43:35)

マシュ・キリエライト> はい。ちょっといろいろがいろいろなのです。（さすがに秘密魔術組織とは大っぴらに言えないわたしです）   (2018/6/6 02:43:36)

弦巻マキ＠リボン> 残念、それならちょっと面白そうかと。洗脳ぷｒぬひゃー（たっくる気味に抱きつかれてなにか言おうとして途切れた）   (2018/6/6 02:44:12)

泉 こなた> こんばんは。はじめましてー。こなただよん。かわいいポニテっ子ちゃん。   (2018/6/6 02:44:36)

マシュ・キリエライト> 誤認識される私、ですか……わたしに酷似した成人向けデジタルノベルのキャラクターさんがいらっしゃるとは聞きますが   (2018/6/6 02:44:42)

リグル・ナイトバグ> マキさんがマシュさんの洗脳プレイならちょっと見てみたいって。(※言ってない)   (2018/6/6 02:45:17)

渋谷凛> 出身タマトイズあたりにすれば　いいんじゃないかな？   (2018/6/6 02:46:40)

泉 こなた> うん、凛ちゃんもリグルちゃんもこんばんは。普段はおやすみ３秒な私だけど、ちょっぴり寝付けなくてね。（バツが悪そうに頬ポリポリ）   (2018/6/6 02:46:50)

弦巻マキ＠リボン> うん、弦巻マキだよ。よろし……やーかわいいなんて、そんな、ほら（ごにょごにょ。ちょっと照れた）　　いっぱいいるらしくて一覧があるトカないトカ（適当言った）＞酷似した   (2018/6/6 02:46:54)

マシュ・キリエライト> 洗脳プレイ……どのようなラブ行為でしょうか……。   (2018/6/6 02:47:02)

マシュ・キリエライト> おっしゃるとおり、目隠れショートヘアはそれなりにポピュラーです。とある駆逐艦の化身、とあるアイドル歌手、そもそもアンヘルさんも目隠れショートです   (2018/6/6 02:47:49)

弦巻マキ＠リボン> あなたはわたしの恋人ですよって誤認させてツンデレな子をでれっでれにしてみたりとか、裸でいてお胸を揉んで貰うのが普通の挨拶ですよって誤認させてみたりとかそういう……？　あ、ちょっと見たい（見たくなった）   (2018/6/6
02:49:35)

泉 こなた> マキちゃんかー。その照れた感じ、萌えだねー。（ニヤニヤしながら）   (2018/6/6 02:49:55)

リグル・ナイトバグ> 寝付けないことは偶にあるよね……(そしてマキさん可愛いよねって流れ弾を送った)　目隠れちゃう子は意外といるもんね…(ショートヘアの子。多分調べたら本当に一覧がありそうなのが)   (2018/6/6 02:50:26)

マシュ・キリエライト> それは暗示から覚めた時に穴を掘って埋まりたくなるのではないでしょうか……   (2018/6/6 02:50:27)

渋谷凛> 洗脳というか催眠かもね……？　常識改編ともいうかもしれないけれど……   (2018/6/6 02:50:34)

リグル・ナイトバグ> (確かにちょっと見たいって頷いて。深夜テンションだね今の)…あ、凛さんが言ってたのは思ったけどその辺の境界って判りにくいよね。常識改変にもなりえそうだったもん、さっきの。   (2018/6/6 02:51:14)

泉 こなた> 目隠れちゃんは私も好きだよー。小さいころ読んでた漫画に出てた目隠れ魔女っこが好きだったよ。   (2018/6/6 02:53:24)

弦巻マキ＠リボン> 流石にちょっときなりいわれると照れると思うんだなぁって……！＞こなたちゃん　　く、くべつがむずかしい世界だったのかあ……（わりと全体的に一緒くたになってた）　そこまでふくめて楽しいんだとおもう。おもう。＞穴掘って   (2018/6/6
02:53:37)

マシュ・キリエライト> 奥の深い世界なのですね……催眠、洗脳、常識改変……わたしの方が目を回しそうです   (2018/6/6 02:53:37)

泉 こなた> 天からトルテ！のマカロン。歳がバレr（   (2018/6/6 02:54:45)

渋谷凛> 催眠が一時的で　洗脳が恒常的で　常識改変は内容じゃないかな？   (2018/6/6 02:54:46)

マシュ・キリエライト> 魔女っ子、ですか。職場の知人にもお二人ほどいらっしゃいますね。（イリヤさんとクロエさん、ですね。こなたさんとは角川つながりでもあるかもしれません）   (2018/6/6 02:54:54)

マシュ・キリエライト> （大丈夫ですこなたさん、無意識（なかのひと）はともかくわたしたちは設定年齢から年を取りません、そのはずです）   (2018/6/6 02:56:08)

弦巻マキ＠リボン> なるほどそうゆう……わたし賢くなった（うん）＞一時的　恒常　内容   (2018/6/6 02:56:18)

リグル・ナイトバグ> 催眠プレイが一番それっぽいのかも。(穴掘って埋まりたくなっちゃうっていうオチになるならと)　魔女っ子は…(知っている限りでもいっぱいいる、いた。)   (2018/6/6 02:56:28)

リグル・ナイトバグ> (賢くなったマキさんの頭を撫でて褒めてあげとこう。)   (2018/6/6 02:56:53)

渋谷凛> （こなたとマシュはサザエさん時空ではないはず……）   (2018/6/6 02:57:49)

弦巻マキ＠リボン> （えへー♪）　魔女さんかあ。魔法使いさん？　も、楽しそうだなあ（何人かは、ちょっとわかるかも、知り合いじゃないけどって。知り合いには未来人しか、けふん）   (2018/6/6 02:59:08)

マシュ・キリエライト> （……そういえばそうでした……わたしも今年のわたしなのでそろそろこの道3周年です）   (2018/6/6 02:59:17)

リグル・ナイトバグ> (こなたさんに関しては段階踏んで年齢も重ねてたねって頷いてた)　...セイカさんは魔法使いみたいな感じはしなくもないけどね。(未来人、未来道具…ドラ…こほん。マキさんの髪の毛を手櫛ブラッシング)   (2018/6/6 03:00:45)

泉 こなた> 私も気づけば原作で大学生だよー。でもアニメ準拠ってことで強引にJK.Verでなりさせてもらってるとか超ナイショ（   (2018/6/6 03:02:25)

弦巻マキ＠リボン> 基準、大事大事。きっと時代進んでない子と進んだ子がいてもおかしくないんだよ、ここならね（髪を梳いてもらって、くぁあー、って猫みたいにあくびしながら）   (2018/6/6 03:03:25)

渋谷凛> その辺も出身のところに追加しておくとわかりやすいかもねと。　アニメは入ってないかな私は（さらり）   (2018/6/6 03:03:55)

マシュ・キリエライト> 追加……こんなところでしょうか   (2018/6/6 03:04:47)

リグル・ナイトバグ> アニメは見ているけれど原作はまだみたいに、逆の人も居たりもするしね。(備考欄をうまく使っていこうっていう話に。マキさんの髪の毛を梳きつつも欠伸が伝染中。ふぁぁ)   (2018/6/6 03:05:15)

泉 こなた> 変えてみた。なんだかVer.カトキみたいな表記になった気がする（ｼﾈｴﾖ）   (2018/6/6 03:06:59)

マシュ・キリエライト> プラモデルのこなたさん……フレームこなたさんガールでしょうか   (2018/6/6 03:07:37)

弦巻マキ＠リボン> わたしすごい省略してる（ぽそ。流石に某アニメ出店じゃなきゃ普通のだよねって）　あー。あおちゃんチにいそう。＞ふれーむ   (2018/6/6 03:08:00)

リグル・ナイトバグ> 何だろう、凄い機敏というか手慣れた動きをしそうな感じな気がするね、それって。(想像してみた。経験者の動きみたいな感じのを)   (2018/6/6 03:09:06)

泉 こなた> ふれーむがーる にして もびるすーつがーる。オプションユニット山盛りつけたい。   (2018/6/6 03:09:32)

渋谷凛> 深い意味もなく一時的に変えたみたりと……　アーマーガール系の娘はいるかもしれないけれどね   (2018/6/6 03:10:38)

マシュ・キリエライト> （オルテナウスもアーマーといえばいえるのでしょうか……？）   (2018/6/6 03:11:05)

リグル・ナイトバグ> (どうしよう、マキさん。私たち備考欄に記入するような事が無い気がする！)   (2018/6/6 03:11:25)

泉 こなた> 艦これとコラボしたりした私だけど、ホントはもっとメカメカしいのが好きだったりする。ペーネロペーユニット装着したい   (2018/6/6 03:12:33)

弦巻マキ＠リボン> （わ、わたし、はがねオーケストラに出た時版と動画シリーズごとの性格あるから……（ぽそ））　　凛ちゃんの雰囲気がちょっと丸くなった気配……！   (2018/6/6 03:13:16)

渋谷凛> （出身を永夜抄にしてみるとか？）   (2018/6/6 03:13:33)

渋谷凛> ゲームから４コマ出身になったからね……？   (2018/6/6 03:14:11)

弦巻マキ＠リボン> 物理的な丸さも出たかも……そしてわたしのとこだとメカっぽいのは、あれかな……茜ちゃんがめじゃーかな（タイヤみたいなメカが好きな茜ちゃんを思い出しながら）   (2018/6/6 03:15:23)

リグル・ナイトバグ> (あ、マキさんの逃げ道が。…そ、それ言ったら私も動画とかでぶつぶつ)　...とりあえず東方永夜抄に変えとこう…(他に一応出ている作品こそあれど、同人方面な方向な気がする)   (2018/6/6 03:16:01)

渋谷凛> （出身、何でも言うことを聞いてくれるアカネチャン　みたいぼいろが来るかもしれないし？）   (2018/6/6 03:16:57)

弦巻マキ＠リボン> ふっふっふ（地味に出身があったりなかったりなのです。そして、つっこみがアバウトなようで鋭そうなアカネチャンだなあ……） ＞なんでも   (2018/6/6 03:18:49)

渋谷凛> （マキさん出てるからね…ギターソロしそうな感じで）   (2018/6/6 03:19:24)

マシュ・キリエライト> （ぎゅんぎゅーん、ですね。ええんちゃう、という感じです）   (2018/6/6 03:19:43)

リグル・ナイトバグ> マ…マキさんの裏切り…裏切って無かった。(髪の毛ブラッシング終えたから肩のマッサージに移行中。　その括りでいくと葵さんとゆかりさんも行けることに。きりたん...に関しては姿は出てなかった)   (2018/6/6 03:20:33)

泉 こなた> そういえば、何も知らない数年前の私、東方projectをまとめて「東方妖々夢」だと思っていた件。他にもいっぱいあるのにね。…東方と聞いてふと思い出す昔の思い出（   (2018/6/6 03:20:34)

弦巻マキ＠リボン> （そうだった……！）　　ぎゅんぎゅーん！　……ぎゅんぎゅんする、のは夜だからまた今度ね？（うっかりギター取り出しそうになった）   (2018/6/6 03:20:55)

渋谷凛> マキさんの子宮をきゅんきゅんさせた方がいいのかな？（さらっと）   (2018/6/6 03:21:40)

リグル・ナイトバグ> むしろ弾幕ゲームとしてはもっと前から古いのがあるからね…(けど結構あるあるかもしれないそういう勘違い)   (2018/6/6 03:22:08)

泉 こなた> 発言がド深夜だぁ。いいぞもっとやｒ（   (2018/6/6 03:22:25)

リグル・ナイトバグ> マキさんのそこをきゅんきゅんさせちゃえば良いんだね…(凄い深夜のノリだ…)   (2018/6/6 03:23:00)

マシュ・キリエライト> （……ふぁ、と小さくあくびが出てしまいます）すみません皆さん、なんだかお目々がおねむですので、お先に失礼しますね   (2018/6/6 03:23:09)

弦巻マキ＠リボン> ひゃっ！？　え、いやそのそんなに、って、マシュちゃんはおつかれさまっ（あせあせ）   (2018/6/6 03:23:35)

リグル・ナイトバグ> んっ、おやすみなさい。マシュさん。(眠たい時は無理しない、おやすみだよって手を振って)   (2018/6/6 03:23:43)

