/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月19日 23時57分 ～ 2023年06月22日 23時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

零余子> 途中までは見てたけど、ついてけなくなっちゃった(汗)ひとりちゃん   (2023/6/19 23:57:20)
零余子> いや、邪魔にはなってないよ？   (2023/6/20 00:14:49)

無名> 私は大丈夫だよ   (2023/6/20 00:15:17)

後藤ひとり> あ、いやセイカさん達の…   (2023/6/20 00:15:28)

零余子> あっ…そっか、セイカさんときくりさんの…   (2023/6/20 00:16:04)

無名> そういう事…   (2023/6/20 00:17:13)

廣井きくり
◆> あははっ、お酒の力もあってだけどね〜//でもね…私もセイカちゃんと話すのはとっても楽しかったよ♡ありがとう…セイカちゃんっ♡ずっと好きでいるからねー…？♡……ちゅっ♡♡//（恥ずかしそうにもじもじと視線を外した後で、唇をセイカちゃんの唇にそっと重ねて）
  (2023/6/20 00:17:38)

廣井きくり ◆> あー、私はそろそろ寝なきゃだし…あんまり気にしなくていいからねー？//   (2023/6/20 00:18:05)

零余子> たしかになっちゃってるかも…ごめんなさい   (2023/6/20 00:18:12)

後藤ひとり> どちらにしても私も眠くて……   (2023/6/20 00:18:17)

廣井きくり ◆> いいっていいってー//こっちこそ挨拶もできなくてゴメンねー？   (2023/6/20 00:19:35)

零余子> おやすみかな、ひとりちゃん   (2023/6/20 00:19:54)

零余子> いえいえ、仲良しな様子見させていただきました   (2023/6/20 00:20:29)

京町セイカ> そうだよひとりちゃん、それに私もきくりちゃんと同じくあまり夜更かしできないしね   (2023/6/20 00:20:36)

無名> そうそう。言うて私もそろそろ落ちる頃合いだし   (2023/6/20 00:21:33)

後藤ひとり> みんな寝ますか……   (2023/6/20 00:22:08)

京町セイカ> んっ…♡(きくりちゃんの唇が重なると受け入れるように目を閉じて、繋いだ手にまた力が入る)   (2023/6/20 00:23:01)

零余子> じゃあ寝よっか…   (2023/6/20 00:23:40)

廣井きくり ◆> じゃあ私達もおやすみしよっかー？このまま寝たらいい夢見れそうだしさ〜♪//   (2023/6/20 00:23:44)

無名> うんっ。寝よっか   (2023/6/20 00:24:09)

後藤ひとり> ですね……   (2023/6/20 00:25:12)

京町セイカ> そうね、へへっおやすみ(こつんっと額をぶつけて…)ね、きくりちゃん…あのまま本当に楓さんとイチャイチャしてたらどう思った？   (2023/6/20 00:25:18)

零余子> だね。久々に会えて嬉しかったよ   (2023/6/20 00:26:03)

廣井きくり ◆> あむっ…♡……ぢゅ…♡♡…んっ♡（こっちも瞳を閉じると唇の感覚だけを頼りにセイカちゃんを探して、見つけた柔らかい感触へと吸い付いつきながら）   (2023/6/20 00:26:11)

無名> またねっ零余子。私もとっても楽しかったよ。またお話しようね   (2023/6/20 00:26:47)

零余子> ありがと、無名ちゃん。話そう話そう   (2023/6/20 00:27:24)

後藤ひとり> みちほさんはほんとに久しぶりに見ましたからね…   (2023/6/20 00:28:00)

無名> ひとりもありがとう。ガンダムの話とかできて楽しかった   (2023/6/20 00:28:16)

廣井きくり ◆> うん、おやすみぃ♡（おでこが当たるとお酒も飲んでないのに顔が真っ赤になって）えっ？//それは…嫌だったかも…//あっ！でもセイカちゃんがそうしたいなら自由にしていいからね？//   (2023/6/20 00:28:28)

零余子> うん、中々来れなかったからね。久々にひとりちゃんにも会えて嬉しかったよ   (2023/6/20 00:28:48)

後藤ひとり> あ、はい……♪またお話しましょうね……♪   (2023/6/20 00:29:25)

零余子> また話そ、ひとりちゃん、無名ちゃん   (2023/6/20 00:30:58)

京町セイカ> じゃ、その時はいっぱい見せつけちゃうね？(またおどおどしはじめるきくりちゃんにくすりと笑って)   (2023/6/20 00:32:48)

無名> うんっ。話そうね。ひとり、零余子   (2023/6/20 00:33:03)

零余子> セイカさんときくりさんも尊いね   (2023/6/20 00:33:20)

後藤ひとり> お姉さんがいつの間に親しく……   (2023/6/20 00:33:37)

無名> 中々良かった…   (2023/6/20 00:33:38)

零余子> 親しくなってるね   (2023/6/20 00:33:58)

無名> じゃあ私先行くね。おやすみなさい   (2023/6/20 00:34:24)

おしらせ> 無名さんが退室しました。  (2023/6/20 00:34:27)

零余子> おやすみなさい、無名ちゃん   (2023/6/20 00:35:04)

後藤ひとり> おやすみなさい……私も抜けますね   (2023/6/20 00:35:18)

おしらせ> 後藤ひとりさんが退室しました。  (2023/6/20 00:35:20)

京町セイカ> 無名ちゃんもひとりちゃんもお疲れ様   (2023/6/20 00:36:03)

零余子> おやすみなさい、ひとりちゃん   (2023/6/20 00:36:08)

廣井きくり ◆> もちろん楓さんが悪いとか嫌だとかじゃないけど…うぅ〜//……だけど…私も負けないからね？おやすみ、セイカちゃん…♡（最後にセイカちゃんの頬にキスを落とし、そのままお部屋から出ていって）   (2023/6/20 00:37:08)

零余子> じゃ、私もそろそろおやすみなさいかな。それじゃね   (2023/6/20 00:37:09)

廣井きくり ◆> みんなもおやすみー♪   (2023/6/20 00:37:20)

おしらせ> 零余子さんが退室しました。  (2023/6/20 00:37:20)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/20 00:37:23)

京町セイカ> おやすみー   (2023/6/20 00:37:30)

おしらせ> 京町セイカさんが退室しました。  (2023/6/20 00:37:32)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/6/20 00:49:40)

桜花あさひ ◆> んぅ……いつも来るの遅くなっちゃうぞ…   (2023/6/20 00:49:48)

おしらせ> 後藤←デブニート死ねさんが入室しました♪  (2023/6/20 00:50:49)

おしらせ> 後藤←デブニート死ねさんが退室しました。  (2023/6/20 00:51:18)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/6/20 01:05:47)

後藤ひとり> いつもの如く寝れず…   (2023/6/20 01:06:06)

桜花あさひ ◆> あっ、ひとり姉ちゃん〜っ♪   (2023/6/20 01:06:49)

おしらせ> 後藤←デブニート死ねさんが入室しました♪  (2023/6/20 01:07:02)

おしらせ> 後藤←デブニート死ねさんが退室しました。  (2023/6/20 01:07:13)

桜花あさひ ◆> 今日も変な人いるな〜……   (2023/6/20 01:08:01)

後藤ひとり> 何故か今日は花粉症みたいなのを発症しており…   (2023/6/20 01:08:23)

後藤ひとり> 無視するに限ります……   (2023/6/20 01:08:31)

桜花あさひ ◆> かふんしょー…大丈夫か〜…？(じっ)   (2023/6/20 01:10:19)

後藤ひとり> 鼻詰まりが止まらないです…   (2023/6/20 01:10:43)

おしらせ> 名無しさんが入室しました♪  (2023/6/20 01:11:55)

名無し> 死ね片親創価   (2023/6/20 01:12:04)

おしらせ> 名無しさんが退室しました。  (2023/6/20 01:12:06)

桜花あさひ ◆> う、息しづらそうだな〜……可哀想だぞ〜…(ぎゅぅ)   (2023/6/20 01:13:53)

おしらせ> 名無しさんが入室しました♪  (2023/6/20 01:14:56)

名無し> ミーハーと無職指摘されて泣いてそう   (2023/6/20 01:14:59)

おしらせ> 名無しさんが退室しました。  (2023/6/20 01:15:08)

後藤ひとり> 息はできるけど鼻止まらなくて……(すりすり)   (2023/6/20 01:15:34)

桜花あさひ ◆> ティッシュずっと持ってなきゃだなぁ……(なでなで)   (2023/6/20 01:16:03)

後藤ひとり> 大変です……(抱きしめて)   (2023/6/20 01:17:17)

おしらせ> 名無しさんが入室しました♪  (2023/6/20 01:17:51)

名無し> キャラ崩壊すんな死ね   (2023/6/20 01:17:54)

おしらせ> 名無しさんが退室しました。  (2023/6/20 01:18:03)

おしらせ> 。さんが入室しました♪  (2023/6/20 01:18:09)

。> 【私のことはお気になさらず…♪】   (2023/6/20 01:18:25)

桜花あさひ ◆> よしよし〜……んぅ、早く治るといいなぁ…♪   (2023/6/20 01:20:17)

後藤ひとり> 治るまではあさひさんとイチャコラしますね……♪(すりすりちゅ)   (2023/6/20 01:20:58)

桜花あさひ ◆> じゃあ早く治るようにいっぱいぎゅーってしてあげるぞっ♪(むぎゅーっ♪)   (2023/6/20 01:21:49)

後藤ひとり> ですね……♪これで癒されます♪(抱き合いつつ背中をさすり)   (2023/6/20 01:25:03)

桜花あさひ ◆> 早く治りますように〜♪(ちょっと背伸びして、顔を近づけてほっぺたにちゅ、ちゅぅと)   (2023/6/20 01:27:20)

後藤ひとり> 薬探して来ますね……♪(頬にキスされて少しだけ恥ずかしそうに)   (2023/6/20 01:31:03)

おしらせ> 後藤←泣いてるさんが入室しました♪  (2023/6/20 01:32:18)

後藤←泣いてる> ネカマがネカマ守ってて草   (2023/6/20 01:32:21)

おしらせ> 後藤←泣いてるさんが退室しました。  (2023/6/20 01:32:31)

桜花あさひ ◆> お大事になぁ♪(恥ずかしそうにしてるのをくすくすと笑いながら見つめて)   (2023/6/20 01:33:52)

後藤ひとり> ありませんでしたね……(落ち込みながらも抱きしめる力は強めね)   (2023/6/20 01:34:31)

桜花あさひ ◆> そっかぁ……ふふ、じゃあやっぱりギュッてしてないとなぁ♪(ひとり姉ちゃんのほっぺたをすりすりと優しく撫で)   (2023/6/20 01:36:55)

後藤ひとり> でも少しだけ鼻がスッキリしましたね……(頬を撫でられると嬉しそうにしながらもあさひさんの頬も撫でて)   (2023/6/20 01:39:34)

桜花あさひ ◆> えへへ♪効いてるみたいだなーっ♪♪(撫でられれば嬉しそうに笑って、ひとり姉ちゃんの手に頬ずりして)   (2023/6/20 01:40:44)

後藤ひとり> えへへ……♪安心しました……♪明日の朝は早いのであんま長くは出来ないけど少しだけこうしてたいですね……♪(頬を撫でたりつんつんとつついたり)   (2023/6/20 01:44:02)

桜花あさひ ◆> あさひも明日は…！ふふ♪今日も一緒に寝よーなぁ♪(くすぐったそうにしながら微笑み、すりすり擦り寄って)   (2023/6/20 01:45:52)

後藤ひとり> じゃあもう寝ちゃいます？……♪(くすくすと笑いながら布団をかけて)   (2023/6/20 01:49:19)

桜花あさひ ◆> そうだなぁ…♪えへへ、今日も一緒〜♪(布団に潜り、ひとり姉ちゃんに密着して)   (2023/6/20 01:50:34)

後藤ひとり> いつも私ばっかですいませんね……♪(抱き合いながらも頭を下げて)   (2023/6/20 01:51:14)

おしらせ> 無言時間が25分を超えたため、。さんが自動退室しました。  (2023/6/20 01:53:40)

桜花あさひ ◆> ふふ、気にしなくていいんだぞ〜♪(ふるふる首を振って、顔を近づければ唇をふにゅ、とくっつけて)   (2023/6/20 01:54:12)

後藤ひとり> 【…………イノちゃんもありがとうございました♪】   (2023/6/20 01:54:15)

後藤ひとり> よかったです……あさひさんいるとついつい来たくて……♡(唇を重ねられるとドキッと)   (2023/6/20 01:54:49)

桜花あさひ ◆> そうなのか…？ふふ、えへへ♪嬉しいけど照れちゃうぞ〜…っ//♪   (2023/6/20 01:59:39)

後藤ひとり> 私と仲良くしてくれる貴重な存在ですからね……///   (2023/6/20 02:00:10)

桜花あさひ ◆> ひとり姉ちゃんと一緒にいるの楽しいしっ、当たり前だぞ〜♪(ぎゅぅっ)   (2023/6/20 02:06:08)

後藤ひとり> 嬉しいです……///これらも仲良くしましょうね……//(むぎゅうう)   (2023/6/20 02:09:29)

桜花あさひ ◆> もちろんだぞっ！これからももーっと仲良くしようなぁ♪(ほっぺにちゅーっ)   (2023/6/20 02:09:53)

後藤ひとり> ありがとうございます……///そ、そろそろ寝ますか(頬にキスを返して)   (2023/6/20 02:13:24)

桜花あさひ ◆> そうだなぁ…♪ふふ、あさひも眠たくなってきたぞ……♪(ひとり姉ちゃんの背中に手を回してむぎゅぅっと)   (2023/6/20 02:16:48)

後藤ひとり> なら寝ますか……♡(そう言うとこちらも背中に手を回してうとうとと)   (2023/6/20 02:18:27)

桜花あさひ ◆> うん〜……♪えへへ、ひとり姉ちゃん…おやすみなさいだぞ〜…♪(目を瞑ってふにふにと胸元に顔を埋め)   (2023/6/20 02:20:01)

後藤ひとり> おやすみなさい……♪またお話しましょうね……♪(頭を撫でつつも胸に顔を当てさせてあげて)   (2023/6/20 02:22:32)

桜花あさひ ◆> 【今日はおやすみなさいだな〜…♪んぅ、花粉症…？治るといいなぁ…♪】   (2023/6/20 02:26:42)

後藤ひとり> 【ホコリアレルギーかもしれないですね……くしゃみも出ますし…とにかくおやすみなさいです……もうウトウトです……♡(ちゅ)】   (2023/6/20 02:30:23)

桜花あさひ ◆> 【お大事になぁ…♪それじゃあっ、おやすみなさいだぁ……♡】   (2023/6/20 02:36:17)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/6/20 02:36:21)

後藤ひとり> 【おやすみなさい……♡あさひちゃん】   (2023/6/20 02:37:34)

おしらせ> 後藤ひとりさんが退室しました。  (2023/6/20 02:37:40)

おしらせ> ノベタさんが入室しました♪  (2023/6/20 08:02:25)

ノベタ> …おはよう…（もそもそ目を擦りつつ。今日は曇天。窓から見える景色は朝にしては少し暗く――少しだけ、気分が晴れないけれど）……♪（とりあえず。朝のお茶かな。いつも通り誰もいないお部屋。とたとた。ぬるいお茶の準備。――少しずつ体を慣らしていかないと。また、朝型の生活が始まるし…）
  (2023/6/20 08:05:59)

ノベタ> （温く温めたお茶、マグカップに。ふと、誰もいないお部屋を見渡して。少し考えるように僅かな間。…取りあえず。慣れた場所であるクッション多めのソファへと。）…――（ふわ、と膝を抱くように腰を下ろして。そのままマグカップのぬるいお茶、ずずず…）……♪（味。温もり。これも、生魂であった頃には感じえなかったもの。）――♡（やわらかさ。手近なクッションに手を伸ばして。ぎゅ♡と胸に抱きしめる。世界は、今日も美しい。）
  (2023/6/20 08:22:56)

ノベタ> （時間は９時半を回ったくらい。ゆったりと過ごした朝の時間。――んっ、と小さく伸びをして…。）……えっと、まずは探し物をして……（ノベタからお願いされた紙の書類。それから読みかけのENDER
LILIESの物語を進めて。メトロヴァニアは初めてちゃんとプレイしたけど、結構面白い。それからそれからお昼を回ったら一度仮眠して――そんな事を考えながら、使ったマグカップ片付けて。とたたた）   (2023/6/20 09:38:01)

おしらせ> ノベタさんが退室しました。  (2023/6/20 09:38:04)

おしらせ> ガヴリールさんが入室しました♪  (2023/6/20 18:13:49)

ガヴリール> あづぃ……(ぐてぁ   (2023/6/20 18:13:57)

おしらせ> 無言時間が25分を超えたため、ガヴリールさんが自動退室しました。  (2023/6/20 19:04:16)

おしらせ> 京町セイカさんが入室しました♪  (2023/6/20 21:32:53)

京町セイカ> さて…最近ここで飲むのが日課になってきてるわね…   (2023/6/20 21:33:07)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/6/20 21:58:13)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/20 22:11:12)

おしらせ> 京町セイカさんが入室しました♪  (2023/6/20 22:13:37)

京町セイカ> んあ？(奥で飲みつつ入口の物音に振り向いて)   (2023/6/20 22:13:57)

廣井きくり ◆> ぷはぁ…♡久々に大きなハコでライブできたし、機材もちょっとしか壊さなかったし…。今夜は飲み放題だぁ〜♪//（すっかり出来上がった顔をしながらそれでもまだストローでお酒を飲んで）   (2023/6/20 22:14:38)

京町セイカ> うわ、でた！流行りのストロー飲酒勢だ！   (2023/6/20 22:15:56)

廣井きくり ◆> あー、セイカちゃんこんばんはぁ〜♪//あははははっ、もっと流行らせちゃうぞー♪ねぇねぇ、今日は私の奢りでどんどん飲も〜よぉ〜♡（振り向いたセイカちゃんに容赦ないアルハラが襲う！手始めに飲みかけのおにころしのストローをセイカちゃんに向けてみて）
  (2023/6/20 22:18:46)

京町セイカ> す、すっかり出来上がってるわね…？(のみかけのおにころし……のみかけ？ちょっとこれ…)あ、あのさぁ？きくりちゃん…気にならないの？   (2023/6/20 22:19:49)

廣井きくり ◆> えー？なにが〜？（何が気になるのかわからず頭に？を乗せて）ああそっかっ♪セイカちゃんは鬼殺しよりビール派なんだねー♪//   (2023/6/20 22:24:11)

京町セイカ> え？あ、たしかにビールの方が好きだけど…あ、いやそういうことじゃなくて…もうっ(しどろもどろに答えつつ意を決してちょっと口紅の色のついたストローに口をつけて)   (2023/6/20 22:25:34)

廣井きくり ◆> あはっ、ビールもいいけどストローで飲むのも可愛くていいよね〜♪……それに…間接キスで恥じらっちゃうのも初々しくてかわいいっ♡//（渡したお酒を飲んで貰うとにへーっと表情を緩めながら肩を寄せていって）   (2023/6/20
22:32:33)

京町セイカ> ……っ！(間接キスって単語が出てくると咳き込みそうになるのをぐっとこらえて)もう！ちゃんとわかってやってたんじゃない！(ストローから口を離すと緩みきった顔のきくりちゃんに慌て顔を向ける)   (2023/6/20 22:36:02)

廣井きくり
◆> ふふ〜♪昨日はセイカちゃんにたくさん手玉にとってもらったから、そのお返しだよ♡ほら…まだ残ってるのにもったいない…♡……んっ♡//（まだ残っているおにころしをストローでちゅっと吸い上げて、それをセイカちゃんに飲んで貰おうとストローから唇を離してセイカちゃんの唇を奪おうとして）
  (2023/6/20 22:40:07)

京町セイカ> んむっ…？(今度は直接のキス…口移しで流し込まれる熱い液体が直に喉を通ってお腹の奥へ落ちていく…)んっ…♡んっ…♡(こくこくと喉を動かしつつお腹の奥のぼうっと燃えるような感覚に体が痺れていく…)   (2023/6/20 22:42:17)

廣井きくり
◆> ふぅ…♡セイカちゃん……昨日私のこと、たくさん好きって言ってくれたよね…？えへへぇ♡嬉しかったからさ…お礼がしたいな…っ♡（私の口内で熱くてトロトロに育てたお酒がセイカちゃんの中に溶けていくと、今このへんにあるのかなってお腹を撫でながらセイカちゃんを見つめて）
  (2023/6/20 22:48:10)

京町セイカ> お、おれぇ…？(いつもよりずっと早く酔いが回ってしまったみたいで…こちらの声も張りがない…)   (2023/6/20 22:51:52)

廣井きくり ◆> あれ？もう酔い潰れちゃった〜？……それなら私が介抱してあげる…♡//（セイカちゃんの体を支えながら、お腹の手を少し下にずらすとリズム良く押して子宮を体の外側から柔く刺激しようとして）   (2023/6/20 22:57:42)

廣井きくり ◆> 【もし気分じゃなかったら言ってね…？//】   (2023/6/20 22:58:15)

京町セイカ> 【ううん、こっちも誘ってみたかった…から//】   (2023/6/20 22:58:46)

京町セイカ> んんうっ♡(下腹部への優しい刺激に甘ったるい声が漏れて)   (2023/6/20 22:59:17)

廣井きくり ◆> ほら…♡声、もっと聞かせて…♡（セイカちゃんの体をゆっくりと押し倒して、後ろにあった広いソファーの上に二人で倒れながらトン♡トン♡って何度も下腹部へのノックを続けて）   (2023/6/20 23:03:25)

京町セイカ> あっ♡あふっ♡ンッ♡んんっ♡(軽いトントンという刺激が身体の奥へ奥へと響いていく…雰囲気にすっかり呑まれてしまい静かな部屋の中に響く自分の声に性感が敏感になってしまい)   (2023/6/20 23:05:43)

廣井きくり
◆> あー♡もしかして、自分の声聞いて興奮してる〜？……いいよ…私に犯されて、最高に可愛い声出しちゃおうね…♡……ふーっ♡（下腹部への触り方をトン♡トン♡からスリスリ♡に変えながら、もう一方の手でスカートを捲ってから露になった下着へと息を吹きかけてみて）  
(2023/6/20 23:11:36)

京町セイカ> やっ…//そ、そんなこと…ふひいいっ！？(にやりといたずらっぽく笑うきくりちゃんの姿にゾクッとよくない感情が通り過ぎる…)ちょ、きくりちゃっ♡なんれ、なんでえ…♡(下腹部撫でさすられるとこれまでとは違う素っ頓狂な声が上がる…ふーっと吹きかけられる息にも、下着の奥の毛が遊ぶ感覚がなんだかむず痒い)
  (2023/6/20 23:14:20)

廣井きくり
◆> こんなに期待しちゃって…♡……それじゃあちゃんと応えてあげないとねー♪なんて言ったって、可愛い妹とのはじめてなんだから…♡……えへへっ♡（下着の下でウズウズしてる大事な部分に指を1本だけ立ててピトッてくっつけると、それをそのまま上下させて下着の上から可愛らしい入り口をほぐして）
  (2023/6/20 23:21:08)

京町セイカ> や、やぁ…いも、とひゃ…いもうとじゃ、なくてえ…   (2023/6/20 23:23:59)

京町セイカ> (ふと耳に入る言葉にぴくっと反応しつつも頭が回らなくて言葉にならない…)んううっ！(なんとか言葉を紡ごうとするも、すぐに性感マッサージにまた思考が溶けていく)   (2023/6/20 23:24:55)

廣井きくり
◆> ……///えへへ…これも昨日のお返し…♡ちゃんとわかってるよ…本当は妹じゃなくて、大好きで大切な私の恋人なんだからさぁ…♡//（セイカちゃんの伝えたい事はちゃんとわかったから、一度秘部から手を離すと意地悪してごめんねって伝えるように頭を撫でて）……ん…しょっ♡恋人なら…条件は対等にしないと……だよねぇ…//（それから自分のワンピースのスカート部分を捲っていけばパンクな感じの黒い下着をセイカちゃんによく見せながらまた手をセイカちゃんの秘部へ伸ばそうとして）
  (2023/6/20 23:32:35)

京町セイカ> あっ…えへへ//(頭撫でられると安心したように微笑んで…)きくりちゃん…好き…♡(いつの間にかこちらから求めるように股を開いたようなポーズできくりちゃんの手が伸びるのをまつ…そんな中見せつけてくるきくりちゃんの下着にごくりと喉を鳴らしてしまったり)
  (2023/6/20 23:35:57)

廣井きくり ◆> もー//こんなにえっちで可愛くて…セイカちゃんのこともっともっと好きになっちゃうよ…？//……お酒もまだまだ抜けないし…止められなくなっちゃうかも…♡（自分から求めるような事をするセイカちゃんの下着に触れると）   (2023/6/20
23:39:58)

廣井きくり ◆> （Vラインの部分に指を引っ掛けてそっと太ももまで下ろしていって）   (2023/6/20 23:41:42)

京町セイカ> ……あっ♡(下着に手が触れる…柔らかくて思ったより小さい手…すでに少しとろっとした下着の中…バレませんように…なんて今更な気持ちが芽生えていく)   (2023/6/20 23:41:55)

京町セイカ> あ、きくりちゃ…そこは…！(そんな気持ちも虚しくきくりちゃんがショーツを下ろしていく…抵抗もできないまますぐに少し濃いめに茂った陰毛と…それを湿らせる濡れた股間があらわになって)   (2023/6/20 23:43:08)

廣井きくり
◆> うわぁ〜♡セイカちゃんのえっち…♡まだちょっと触れただけなのにヘアまでグッショリにしてるなんて…敏感さんだね…っ♡……んっ♪……あーんっ♡（染み出した愛液でキラキラ光る綺麗なヘアを見るともう興奮を抑えられなくて、お酒を一口くちに含んだ後、湿った唇で割れ目にキスをしながら時折出る呼吸でヘアを揺らしていっえ）
  (2023/6/20 23:49:26)

京町セイカ> んっ……あっ♡ふあ、あ、あぁああぁ〜……♡   (2023/6/20 23:51:09)

京町セイカ> (がっつくように股間にむしゃぶりつくきくりちゃんのキスに股間に顔を埋める頭に手を添えて声をあげる…時折力が入ってしまうせいでまるできくりちゃんの顔を股間に押し付けようとしてるようになってしまうがもちろん、そんなことは気づいてなくて)  
(2023/6/20 23:52:24)

廣井きくり
